,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Payment for heart attack patients (Denominator),Payment for heart attack patients (Payment),Payment for heart failure patients (Denominator),Payment for heart failure patients (Payment),Payment for pneumonia patients (Denominator),Payment for pneumonia patients (Payment)
30,FLOWERS HOSPITAL (010055),2015,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,332.0,21178.0,452.0,14830.0,411.0,14438.0
31,ST VINCENT'S BIRMINGHAM (010056),2015,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,276.0,22788.0,422.0,14892.0,515.0,15268.0
32,BIBB MEDICAL CENTER (010058),2015,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,,,,,62.0,12951.0
33,LAWRENCE MEDICAL CENTER (010059),2015,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,,,52.0,14300.0,119.0,14139.0
34,HIGHLANDS MEDICAL CENTER (010061),2015,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,,,128.0,12554.0,273.0,12409.0
35,WIREGRASS MEDICAL CENTER (010062),2015,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,,,71.0,14114.0,177.0,12762.0
36,RUSSELL HOSPITAL (010065),2015,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,58.0,23319.0,176.0,18080.0,165.0,15823.0
37,MEDICAL CENTER BARBOUR (010069),2015,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,,,78.0,11982.0,107.0,12792.0
38,CLAY COUNTY HOSPITAL (010073),2015,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,,,61.0,12755.0,112.0,12032.0
39,NORTHEAST ALABAMA REGIONAL MED CENTER (010078),2015,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,374.0,24327.0,499.0,15571.0,380.0,14560.0
40,ATHENS-LIMESTONE HOSPITAL (010079),2015,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,,,158.0,14308.0,253.0,13659.0
41,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2015,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,87.0,23421.0,240.0,14111.0,298.0,13119.0
42,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS (010085),2015,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,84.0,20337.0,462.0,14305.0,462.0,13774.0
43,NORTHWEST MEDICAL CENTER (010086),2015,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,27.0,21460.0,74.0,14555.0,219.0,12961.0
44,WALKER BAPTIST MEDICAL CENTER (010089),2015,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,72.0,21177.0,203.0,15344.0,263.0,13742.0
45,PROVIDENCE HOSPITAL (010090),2015,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,235.0,23028.0,459.0,14892.0,495.0,14726.0
46,GROVE HILL MEMORIAL HOSPITAL (010091),2015,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,,,81.0,14800.0,60.0,14717.0
47,D C H REGIONAL MEDICAL CENTER (010092),2015,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,445.0,22638.0,856.0,15586.0,,14974.0
48,HALE COUNTY HOSPITAL (010095),2015,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,,,,,33.0,13913.0
49,ELMORE COMMUNITY HOSPITAL (010097),2015,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,,,33.0,12939.0,61.0,12545.0
50,D W MCMILLAN MEMORIAL HOSPITAL (010099),2015,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,32.0,20567.0,72.0,14702.0,160.0,12589.0
51,THOMAS HOSPITAL (010100),2015,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,172.0,23406.0,263.0,16149.0,224.0,13133.0
52,CITIZENS BAPTIST MEDICAL CENTER (010101),2015,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,25.0,22011.0,107.0,13982.0,95.0,15008.0
53,J PAUL JONES HOSPITAL (010102),2015,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL,,,,,33.0,12244.0
54,BAPTIST MEDICAL CENTER-PRINCETON (010103),2015,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,267.0,21364.0,395.0,15253.0,311.0,13632.0
55,TRINITY MEDICAL CENTER (010104),2015,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,267.0,19936.0,246.0,15332.0,249.0,15772.0
56,PRATTVILLE BAPTIST HOSPITAL (010108),2015,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,26.0,23941.0,132.0,13573.0,165.0,14583.0
57,PICKENS COUNTY MEDICAL CENTER (010109),2015,Acute Care,Government - Hospital District or Authority,49.0,33.274807,-88.089673,AL,,,48.0,14778.0,103.0,14600.0
58,BULLOCK COUNTY HOSPITAL (010110),2015,Acute Care,Proprietary,54.0,32.146182,-85.71638,AL,,,32.0,15083.0,25.0,11916.0
59,BRYAN W. WHITFIELD MEMORIAL HOSPITAL (010112),2015,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,,,58.0,13865.0,113.0,12024.0
60,MOBILE INFIRMARY (010113),2015,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,237.0,23711.0,642.0,16641.0,527.0,14362.0
61,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2015,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,64.0,20534.0,162.0,15441.0,195.0,15193.0
62,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2015,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,149.0,20960.0,260.0,16105.0,167.0,13061.0
63,MONROE COUNTY HOSPITAL (010120),2015,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,,,70.0,13293.0,147.0,12980.0
64,LAKELAND COMMUNITY HOSPITAL (010125),2015,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,,,82.0,13583.0,358.0,11827.0
65,TROY REGIONAL MEDICAL CENTER (010126),2015,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,,,63.0,13336.0,85.0,13043.0
66,JACKSON MEDICAL CENTER (010128),2015,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,,,,,44.0,12316.0
67,NORTH BALDWIN INFIRMARY (010129),2015,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,,,42.0,13402.0,79.0,12460.0
68,ST VINCENT'S ST CLAIR (010130),2015,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,,,97.0,13823.0,233.0,11617.0
69,CRESTWOOD MEDICAL CENTER (010131),2015,Acute Care,Proprietary,163.0,,,AL,180.0,20278.0,323.0,13999.0,321.0,13215.0
70,BROOKWOOD MEDICAL CENTER (010139),2015,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,307.0,24087.0,400.0,15019.0,512.0,14304.0
71,SPRINGHILL MEMORIAL HOSPITAL (010144),2015,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,128.0,22586.0,338.0,18548.0,218.0,14060.0
72,RMC JACKSONVILLE (010146),2015,Acute Care,Proprietary,65.0,,,AL,,,35.0,13767.0,92.0,13662.0
73,EVERGREEN MEDICAL CENTER (010148),2015,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,,,116.0,13111.0,74.0,13849.0
74,BAPTIST MEDICAL CENTER EAST (010149),2015,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,73.0,23443.0,277.0,14551.0,251.0,13671.0
75,L V STABLER MEMORIAL HOSPITAL (010150),2015,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,,,80.0,13350.0,85.0,12975.0
76,SHOALS HOSPITAL (010157),2015,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,,,58.0,14902.0,131.0,13825.0
77,RUSSELLVILLE HOSPITAL (010158),2015,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,31.0,19371.0,85.0,13594.0,186.0,12758.0
78,COOSA VALLEY MEDICAL CENTER (010164),2015,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,47.0,22174.0,139.0,15263.0,252.0,13336.0
79,JACK HUGHSTON MEMORIAL HOSPITAL (010168),2015,Acute Care,Government - State,52.0,32.509045,-85.005696,AL,,,,,25.0,15316.0
80,ATMORE COMMUNITY HOSPITAL (010169),2015,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,,,154.0,14284.0,98.0,11878.0
81,PROVIDENCE ALASKA MEDICAL CENTER (020001),2015,Acute Care,Voluntary non-profit - Church,394.0,61.189798,-149.817622,AK,287.0,23577.0,318.0,15778.0,281.0,12036.0
82,MAT-SU REGIONAL MEDICAL CENTER (020006),2015,Acute Care,Voluntary non-profit - Private,90.0,61.561217,-149.258718,AK,74.0,20711.0,140.0,12764.0,197.0,11334.0
83,BARTLETT REGIONAL HOSPITAL (020008),2015,Acute Care,Government - Local,58.0,58.328696,-134.466829,AK,,,39.0,13159.0,69.0,13053.0
84,FAIRBANKS MEMORIAL HOSPITAL (020012),2015,Acute Care,Voluntary non-profit - Other,213.0,64.831407,-147.736254,AK,101.0,20530.0,67.0,13579.0,72.0,10962.0
85,ALASKA REGIONAL HOSPITAL (020017),2015,Acute Care,Proprietary,169.0,61.20979,-149.827379,AK,108.0,21796.0,81.0,15814.0,52.0,14422.0
86,YUKON KUSKOKWIM DELTA REG HOSPITAL (020018),2015,Acute Care,Tribal,34.0,,,AK,,,,,73.0,8977.0
87,CENTRAL PENINSULA GENERAL HOSPITAL (020024),2015,Acute Care,Voluntary non-profit - Other,186.0,60.493865,-151.077658,AK,,,64.0,13469.0,99.0,12863.0
88,ALASKA NATIVE MEDICAL CENTER (020026),2015,Acute Care,Government - Federal,163.0,61.18189,-149.800578,AK,35.0,18324.0,56.0,12801.0,147.0,12033.0
89,MT EDGECUMBE HOSPITAL (020027),2015,Acute Care,Voluntary non-profit - Private,26.0,,,AK,,,,,32.0,9942.0
90,PROVIDENCE KODIAK ISLAND MEDICAL CTR (021306),2015,Critical Access,Voluntary non-profit - Church,46.0,57.800835,-152.373943,AK,,,,,34.0,12923.0
91,PEACEHEALTH KETCHIKAN MEDICAL CENTER (021311),2015,Critical Access,Voluntary non-profit - Church,51.0,55.352717,-131.686049,AK,,,,,68.0,12171.0
92,SOUTH PENINSULA HOSPITAL (021313),2015,Critical Access,Voluntary non-profit - Private,49.0,59.652133,-151.550296,AK,,,25.0,12308.0,49.0,12222.0
93,ABRAZO MARYVALE CAMPUS (030001),2015,Acute Care,Proprietary,231.0,,,AZ,,,26.0,14888.0,25.0,13089.0
94,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX CAMPUS (030002),2015,Acute Care,Voluntary non-profit - Other,706.0,33.465724,-112.058127,AZ,193.0,25459.0,254.0,19493.0,145.0,15431.0
95,TUCSON MEDICAL CENTER (030006),2015,Acute Care,Voluntary non-profit - Private,520.0,32.250749,-110.880169,AZ,335.0,23330.0,437.0,18265.0,390.0,17230.0
96,VERDE VALLEY MEDICAL CENTER (030007),2015,Acute Care,Voluntary non-profit - Private,102.0,34.736201,-112.031784,AZ,131.0,21540.0,152.0,14101.0,185.0,14284.0
97,CARONDELET ST  MARYS HOSPITAL (030010),2015,Acute Care,Voluntary non-profit - Private,398.0,32.228923,-111.000032,AZ,137.0,20799.0,183.0,15032.0,159.0,14984.0
98,CARONDELET ST JOSEPH'S HOSPITAL (030011),2015,Acute Care,Voluntary non-profit - Other,474.0,32.225946,-110.857838,AZ,198.0,21852.0,238.0,16306.0,298.0,15792.0
99,YAVAPAI REGIONAL MEDICAL CENTER (030012),2015,Acute Care,Government - Local,179.0,34.55938,-112.482065,AZ,361.0,23462.0,176.0,17403.0,345.0,15193.0
100,YUMA REGIONAL MEDICAL CENTER (030013),2015,Acute Care,Voluntary non-profit - Private,397.0,32.683899,-114.633238,AZ,483.0,23280.0,511.0,16156.0,880.0,14719.0
101,JOHN C LINCOLN MEDICAL CENTER (030014),2015,Acute Care,Voluntary non-profit - Private,258.0,33.567754,-112.07063,AZ,105.0,22266.0,242.0,16663.0,176.0,15537.0
102,BANNER CASA GRANDE MEDICAL CENTER (030016),2015,Acute Care,Voluntary non-profit - Other,156.0,32.879608,-111.709253,AZ,86.0,24076.0,104.0,14676.0,285.0,14084.0
103,FLAGSTAFF MEDICAL CENTER (030023),2015,Acute Care,Voluntary non-profit - Private,267.0,35.209534,-111.644835,AZ,166.0,23788.0,183.0,16188.0,172.0,14701.0
104,ST JOSEPH'S HOSPITAL AND MEDICAL CENTER (030024),2015,Acute Care,Voluntary non-profit - Church,560.0,33.480294,-112.079208,AZ,125.0,23437.0,131.0,16698.0,94.0,15458.0
105,ABRAZO CENTRAL CAMPUS (030030),2015,Acute Care,Proprietary,186.0,33.524116,-112.101934,AZ,162.0,23419.0,147.0,16791.0,80.0,15604.0
106,PAYSON REGIONAL MEDICAL CENTER (030033),2015,Acute Care,Voluntary non-profit - Other,36.0,,,AZ,66.0,21920.0,94.0,15540.0,92.0,13662.0
107,CHANDLER REGIONAL MEDICAL CENTER (030036),2015,Acute Care,Voluntary non-profit - Other,318.0,33.298691,-111.873508,AZ,241.0,23493.0,329.0,17758.0,317.0,14593.0
108,ST LUKE'S MEDICAL CENTER (030037),2015,Acute Care,Proprietary,209.0,33.451436,-112.042767,AZ,52.0,26771.0,58.0,20133.0,46.0,16114.0
109,SCOTTSDALE OSBORN MEDICAL CENTER (030038),2015,Acute Care,Proprietary,360.0,33.487639,-111.922725,AZ,165.0,22016.0,339.0,18141.0,356.0,14975.0
110,CANYON VISTA MEDICAL CENTER (030043),2015,Acute Care,Voluntary non-profit - Other,92.0,31.554635,-110.230726,AZ,149.0,21919.0,176.0,15208.0,216.0,13811.0
111,KINGMAN REGIONAL MEDICAL CENTER (030055),2015,Acute Care,Government - Hospital District or Authority,221.0,35.219907,-114.035813,AZ,175.0,22077.0,288.0,13451.0,493.0,12945.0
112,BANNER BOSWELL MEDICAL CENTER (030061),2015,Acute Care,Voluntary non-profit - Other,508.0,33.604798,-112.282538,AZ,360.0,22969.0,486.0,16210.0,545.0,14776.0
113,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER (030062),2015,Acute Care,Voluntary non-profit - Private,91.0,34.201967,-110.01839,AZ,97.0,22507.0,86.0,13599.0,96.0,13021.0
114,BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS (030064),2015,Acute Care,Voluntary non-profit - Private,511.0,32.242362,-110.944092,AZ,203.0,24559.0,215.0,16057.0,264.0,14052.0
115,BANNER DESERT MEDICAL CENTER (030065),2015,Acute Care,Voluntary non-profit - Private,632.0,33.39091,-111.874624,AZ,175.0,22663.0,279.0,16835.0,301.0,16682.0
116,MT GRAHAM REGIONAL MEDICAL CENTER (030068),2015,Acute Care,Government - Hospital District or Authority,45.0,32.821883,-109.732994,AZ,,,28.0,14149.0,112.0,12375.0
117,HAVASU REGIONAL MEDICAL CENTER (030069),2015,Acute Care,Proprietary,169.0,34.47998,-114.338537,AZ,229.0,18498.0,308.0,13869.0,317.0,13348.0
118,FORT DEFIANCE INDIAN HOSPITAL (030071),2015,Acute Care,Government - Federal,54.0,,,AZ,,,25.0,13887.0,159.0,10565.0
119,TUBA CITY REGIONAL HEALTH CARE CORPORATION (030073),2015,Acute Care,Voluntary non-profit - Other,73.0,,,AZ,,,,,114.0,11568.0
120,ABRAZO SCOTTSDALE CAMPUS (030083),2015,Acute Care,Proprietary,129.0,33.640603,-111.997692,AZ,49.0,24008.0,67.0,15130.0,90.0,15055.0
121,CHINLE COMPREHENSIVE HEALTH CARE FACILITY (030084),2015,Acute Care,Government - Federal,60.0,,,AZ,,,,,123.0,10327.0
122,NORTHWEST MEDICAL CENTER (030085),2015,Acute Care,Proprietary,283.0,32.319581,-111.012054,AZ,153.0,21222.0,287.0,16414.0,459.0,13903.0
123,SCOTTSDALE SHEA MEDICAL CENTER (030087),2015,Acute Care,Proprietary,426.0,33.582467,-111.886032,AZ,236.0,22046.0,463.0,18075.0,573.0,15104.0
124,BANNER BAYWOOD MEDICAL CENTER (030088),2015,Acute Care,Voluntary non-profit - Private,340.0,33.410465,-111.688045,AZ,43.0,22398.0,308.0,17167.0,663.0,15041.0
125,BANNER THUNDERBIRD MEDICAL CENTER (030089),2015,Acute Care,Government - Hospital District or Authority,566.0,33.610731,-112.178698,AZ,201.0,24290.0,290.0,17975.0,347.0,15912.0
126,DEER VALLEY MEDICAL CENTER (030092),2015,Acute Care,Voluntary non-profit - Private,201.0,33.666425,-112.117188,AZ,116.0,23601.0,184.0,17909.0,183.0,13797.0
127,BANNER DEL E WEBB MEDICAL CENTER (030093),2015,Acute Care,Voluntary non-profit - Private,390.0,33.658307,-112.371939,AZ,366.0,21019.0,388.0,15982.0,456.0,14287.0
128,ABRAZO ARROWHEAD CAMPUS (030094),2015,Acute Care,Proprietary,244.0,33.655042,-112.202889,AZ,79.0,23472.0,109.0,17055.0,186.0,15447.0
129,WESTERN ARIZONA REGIONAL MEDICAL CENTER (030101),2015,Acute Care,Proprietary,133.0,35.109853,-114.555146,AZ,189.0,21527.0,263.0,14911.0,220.0,14181.0
130,MAYO CLINIC HOSPITAL (030103),2015,Acute Care,Voluntary non-profit - Private,277.0,33.663312,-111.955659,AZ,215.0,21759.0,442.0,16706.0,296.0,13468.0
131,BANNER HEART HOSPITAL (030105),2015,Acute Care,Voluntary non-profit - Private,110.0,33.410378,-111.685273,AZ,418.0,21704.0,510.0,17476.0,,
132,ABRAZO WEST CAMPUS (030110),2015,Acute Care,Proprietary,190.0,33.464283,-112.354024,AZ,120.0,22738.0,119.0,17227.0,189.0,14382.0
133,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS (030111),2015,Acute Care,Voluntary non-profit - Private,207.0,32.177882,-110.930891,AZ,87.0,23694.0,66.0,14159.0,63.0,15422.0
134,WHITERIVER PHS INDIAN HOSPITAL (030113),2015,Acute Care,Government - Federal,39.0,33.875976,-109.959528,AZ,,,,,59.0,12215.0
135,ORO VALLEY HOSPITAL (030114),2015,Acute Care,Proprietary,148.0,32.427183,-110.94954,AZ,118.0,22393.0,161.0,15468.0,211.0,14431.0
136,BANNER ESTRELLA MEDICAL CENTER (030115),2015,Acute Care,Voluntary non-profit - Private,288.0,33.479558,-112.257936,AZ,118.0,23213.0,168.0,15133.0,176.0,13755.0
137,VALLEY VIEW MEDICAL CENTER (030117),2015,Acute Care,Proprietary,82.0,35.002363,-114.597954,AZ,73.0,20544.0,108.0,14237.0,105.0,12106.0
138,YAVAPAI REGIONAL MEDICAL CENTER-EAST CAMPUS (030118),2015,Acute Care,Proprietary,61.0,,,AZ,30.0,20578.0,59.0,13746.0,167.0,15365.0
139,MERCY GILBERT MEDICAL CENTER (030119),2015,Acute Care,Voluntary non-profit - Church,202.0,33.286661,-111.755311,AZ,104.0,22559.0,200.0,17868.0,282.0,15006.0
140,GILBERT HOSPITAL (030120),2015,Acute Care,Proprietary,19.0,,,AZ,,,,,60.0,12598.0
141,"MOUNTAIN VISTA MEDICAL CENTER, LP (030121)",2015,Acute Care,Proprietary,171.0,33.3911,-111.615329,AZ,181.0,25147.0,168.0,19729.0,243.0,17203.0
142,BANNER GATEWAY MEDICAL CENTER (030122),2015,Acute Care,Voluntary non-profit - Other,170.0,33.384225,-111.719634,AZ,25.0,23333.0,123.0,15399.0,134.0,15679.0
143,SCOTTSDALE THOMPSON PEAK MEDICAL CENTER (030123),2015,Acute Care,Proprietary,98.0,33.669777,-111.921803,AZ,63.0,21919.0,126.0,15206.0,201.0,13878.0
144,BANNER IRONWOOD MEDICAL CENTER (030130),2015,Acute Care,Voluntary non-profit - Private,61.0,33.214839,-111.563447,AZ,,,,,39.0,12200.0
145,"FLORENCE HOSPITAL AT ANTHEM, LLC (030132)",2015,Acute Care,Proprietary,36.0,,,AZ,,,,,30.0,12713.0
146,NORTHERN COCHISE COMMUNITY HOSPITAL (031302),2015,Critical Access,Government - Hospital District or Authority,39.0,32.264268,-109.837613,AZ,,,,,96.0,12203.0
147,SAGE MEMORIAL HOSPITAL (031309),2015,Critical Access,Voluntary non-profit - Private,25.0,,,AZ,,,,,44.0,11047.0
148,WHITE MOUNTAIN REGIONAL MEDICAL CENTER (031315),2015,Critical Access,Voluntary non-profit - Private,21.0,34.132136,-109.286545,AZ,,,,,31.0,15578.0
149,LA PAZ REGIONAL HOSPITAL (031317),2015,Critical Access,Voluntary non-profit - Private,25.0,34.135137,-114.285597,AZ,39.0,21814.0,50.0,13797.0,77.0,14655.0
150,SILOAM SPRINGS REGIONAL HOSPITAL (040001),2015,Acute Care,Proprietary,46.0,36.190377,-94.509658,AR,,,71.0,13848.0,141.0,12167.0
151,JOHNSON REGIONAL MEDICAL CENTER (040002),2015,Acute Care,Voluntary non-profit - Private,86.0,35.464384,-93.445797,AR,,,54.0,13828.0,174.0,12491.0
152,WASHINGTON REGIONAL MED CTR AT NORTH HILLS (040004),2015,Acute Care,Voluntary non-profit - Private,314.0,36.110984,-94.157862,AR,292.0,21643.0,478.0,16243.0,315.0,14674.0
153,ST VINCENT INFIRMARY MEDICAL CENTER (040007),2015,Acute Care,Voluntary non-profit - Private,414.0,,,AR,167.0,22301.0,536.0,16934.0,345.0,14714.0
154,MERCY HOSPITAL NORTHWEST ARKANSAS (040010),2015,Acute Care,Voluntary non-profit - Church,201.0,36.309562,-94.184709,AR,201.0,21329.0,299.0,15649.0,261.0,14987.0
155,CHAMBERS MEMORIAL HOSPITAL (040011),2015,Acute Care,Voluntary non-profit - Private,41.0,35.054823,-93.388543,AR,40.0,21472.0,85.0,14387.0,137.0,14034.0
156,WHITE COUNTY MEDICAL CENTER (040014),2015,Acute Care,Voluntary non-profit - Private,315.0,35.250446,-91.696758,AR,196.0,18879.0,483.0,14782.0,696.0,14956.0
157,MENA REGIONAL HEALTH SYSTEM (040015),2015,Acute Care,Government - Local,65.0,34.588386,-94.221383,AR,,,72.0,13516.0,94.0,13631.0
