,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Payment for heart attack patients (Denominator),Payment for heart attack patients (Payment),Payment for heart failure patients (Denominator),Payment for heart failure patients (Payment),Payment for hip/knee replacement patients (Denominator),Payment for hip/knee replacement patients (Payment),Payment for pneumonia patients (Denominator),Payment for pneumonia patients (Payment)
15,ANDALUSIA HEALTH (010036),2023,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,,,122.0,16915.0,48.0,22386.0,119.0,19420.0
16,HUNTSVILLE HOSPITAL (010039),2023,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,549.0,25025.0,895.0,18607.0,366.0,18238.0,1044.0,20106.0
17,GADSDEN REGIONAL MEDICAL CENTER (010040),2023,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,140.0,29469.0,202.0,21367.0,94.0,21564.0,204.0,22356.0
18,MARION REGIONAL MEDICAL CENTER (010044),2023,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,,,31.0,19013.0,,,41.0,17753.0
19,FAYETTE MEDICAL CENTER (010045),2023,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,,,37.0,16996.0,,,59.0,19619.0
20,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2023,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,58.0,25967.0,180.0,19020.0,27.0,22232.0,180.0,23330.0
21,MEDICAL CENTER ENTERPRISE (010049),2023,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,,,75.0,17234.0,105.0,20374.0,122.0,19883.0
22,FLOWERS HOSPITAL (010055),2023,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,238.0,29060.0,252.0,18600.0,153.0,21693.0,250.0,20574.0
23,ST VINCENT'S BIRMINGHAM (010056),2023,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,104.0,28776.0,303.0,18546.0,349.0,21050.0,265.0,20272.0
24,LAWRENCE MEDICAL CENTER (010059),2023,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,,,,,,,38.0,17385.0
25,HIGHLANDS MEDICAL CENTER (010061),2023,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,,,58.0,18961.0,,,81.0,18478.0
26,WIREGRASS MEDICAL CENTER (010062),2023,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,,,,,,,30.0,18262.0
27,RUSSELL MEDICAL CENTER (010065),2023,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,,,65.0,19952.0,,,58.0,21957.0
28,MEDICAL CENTER BARBOUR (010069),2023,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,,,29.0,18699.0,,,34.0,21052.0
29,CLAY COUNTY HOSPITAL (010073),2023,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,,,,,,,29.0,17750.0
30,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER (010078),2023,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,171.0,26250.0,217.0,18893.0,130.0,22669.0,200.0,20182.0
31,ATHENS LIMESTONE HOSPITAL (010079),2023,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,,,115.0,18944.0,130.0,19776.0,137.0,20891.0
32,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2023,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,110.0,26881.0,209.0,18975.0,123.0,19055.0,191.0,18161.0
33,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS (010085),2023,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,40.0,25904.0,294.0,15295.0,64.0,24561.0,361.0,19251.0
34,NORTHWEST MEDICAL CENTER (010086),2023,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,,,33.0,17949.0,,,59.0,18284.0
35,USA HEALTH UNIVERSITY HOSPITAL (010087),2023,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,,,28.0,19464.0,,,34.0,19435.0
36,WALKER BAPTIST MEDICAL CENTER (010089),2023,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,,,127.0,18375.0,,,126.0,19734.0
37,PROVIDENCE HOSPITAL (010090),2023,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,124.0,26329.0,243.0,18547.0,147.0,19739.0,228.0,19676.0
38,DCH REGIONAL MEDICAL CENTER (010092),2023,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,164.0,28648.0,547.0,19064.0,117.0,21942.0,510.0,21536.0
39,D W MCMILLAN MEMORIAL HOSPITAL (010099),2023,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,,,33.0,17783.0,,,38.0,17305.0
40,THOMAS HOSPITAL (010100),2023,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,88.0,27841.0,228.0,18810.0,172.0,20076.0,246.0,18665.0
41,CITIZENS BAPTIST MEDICAL CENTER (010101),2023,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,,,43.0,17557.0,,,52.0,19313.0
42,PRINCETON BAPTIST MEDICAL CENTER (010103),2023,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,96.0,29326.0,136.0,17462.0,59.0,22442.0,80.0,21924.0
43,GRANDVIEW MEDICAL CENTER (010104),2023,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,154.0,26495.0,380.0,20091.0,346.0,20717.0,247.0,20392.0
44,PRATTVILLE BAPTIST HOSPITAL (010108),2023,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,,,85.0,17902.0,,,112.0,18339.0
45,WHITFIELD REGIONAL HOSPITAL (010112),2023,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,,,56.0,17312.0,,,45.0,19255.0
46,MOBILE INFIRMARY MEDICAL CENTER (010113),2023,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,142.0,27398.0,309.0,19735.0,210.0,20226.0,317.0,21558.0
47,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2023,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,,,75.0,18543.0,,,113.0,20480.0
48,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2023,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,,,69.0,17720.0,,,94.0,22284.0
49,MONROE COUNTY HOSPITAL (010120),2023,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,,,,,,,40.0,19171.0
50,LAKELAND COMMUNITY HOSPITAL (010125),2023,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,,,28.0,18609.0,,,260.0,16032.0
51,TROY REGIONAL MEDICAL CENTER (010126),2023,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,,,27.0,19109.0,,,33.0,18551.0
52,JACKSON MEDICAL CENTER (010128),2023,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,,,,,,,26.0,19407.0
53,ST VINCENT'S ST CLAIR (010130),2023,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,,,50.0,18978.0,,,116.0,18048.0
54,CRESTWOOD MEDICAL CENTER (010131),2023,Acute Care,Proprietary,163.0,,,AL,115.0,26871.0,214.0,17314.0,195.0,18291.0,277.0,20446.0
55,BROOKWOOD BAPTIST MEDICAL CENTER (010139),2023,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,62.0,27198.0,115.0,23248.0,48.0,24407.0,131.0,22804.0
56,SPRINGHILL MEDICAL CENTER (010144),2023,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,57.0,26664.0,208.0,18593.0,85.0,21244.0,160.0,19806.0
57,EVERGREEN MEDICAL CENTER (010148),2023,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,,,50.0,16611.0,,,74.0,15990.0
58,BAPTIST MEDICAL CENTER EAST (010149),2023,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,,,171.0,16912.0,,,153.0,21201.0
59,RUSSELLVILLE HOSPITAL (010158),2023,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,,,,,,,63.0,17428.0
60,COOSA VALLEY MEDICAL CENTER (010164),2023,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,,,68.0,18394.0,,,68.0,18387.0
61,JACK HUGHSTON MEMORIAL HOSPITAL (010168),2023,Acute Care,Government - State,52.0,32.509045,-85.005696,AL,,,,,620.0,19053.0,,
62,ATMORE COMMUNITY HOSPITAL (010169),2023,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,,,42.0,17997.0,,,29.0,17897.0
63,ST VINCENTS BLOUNT (011305),2023,Critical Access,Voluntary non-profit - Private,25.0,33.932537,-86.493059,AL,,,26.0,18441.0,,,38.0,20108.0
64,PROVIDENCE ALASKA MEDICAL CENTER (020001),2023,Acute Care,Voluntary non-profit - Church,394.0,61.189798,-149.817622,AK,342.0,25091.0,342.0,17373.0,45.0,19843.0,151.0,18632.0
65,MAT-SU REGIONAL MEDICAL CENTER (020006),2023,Acute Care,Voluntary non-profit - Private,90.0,61.561217,-149.258718,AK,128.0,25540.0,137.0,18254.0,59.0,20009.0,215.0,18434.0
66,BARTLETT REGIONAL HOSPITAL (020008),2023,Acute Care,Government - Local,58.0,58.328696,-134.466829,AK,,,39.0,17749.0,41.0,17475.0,28.0,18137.0
67,FAIRBANKS MEMORIAL HOSPITAL (020012),2023,Acute Care,Voluntary non-profit - Other,213.0,64.831407,-147.736254,AK,51.0,24709.0,89.0,16692.0,146.0,16875.0,68.0,17851.0
68,ALASKA REGIONAL HOSPITAL (020017),2023,Acute Care,Proprietary,169.0,61.20979,-149.827379,AK,108.0,24954.0,140.0,17329.0,470.0,17618.0,122.0,18366.0
69,YUKON KUSKOKWIM DELTA REG HOSPITAL (020018),2023,Acute Care,Tribal,34.0,,,AK,,,,,,,53.0,12385.0
70,CENTRAL PENINSULA GENERAL HOSPITAL (020024),2023,Acute Care,Voluntary non-profit - Other,186.0,60.493865,-151.077658,AK,,,129.0,15189.0,153.0,18681.0,96.0,17796.0
71,ALASKA NATIVE MEDICAL CENTER (020026),2023,Acute Care,Government - Federal,163.0,61.18189,-149.800578,AK,44.0,28889.0,95.0,16686.0,103.0,19946.0,110.0,16840.0
72,PEACEHEALTH KETCHIKAN MEDICAL CENTER (021311),2023,Critical Access,Voluntary non-profit - Church,51.0,55.352717,-131.686049,AK,,,,,36.0,17826.0,34.0,20740.0
73,SOUTH PENINSULA HOSPITAL (021313),2023,Critical Access,Voluntary non-profit - Private,49.0,59.652133,-151.550296,AK,,,,,,,35.0,18412.0
74,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX (030002),2023,Acute Care,Voluntary non-profit - Other,706.0,33.465724,-112.058127,AZ,93.0,27062.0,215.0,21020.0,,,170.0,21638.0
75,TUCSON MEDICAL CENTER (030006),2023,Acute Care,Voluntary non-profit - Private,520.0,32.250749,-110.880169,AZ,243.0,28852.0,495.0,20354.0,341.0,19185.0,384.0,21027.0
76,VERDE VALLEY MEDICAL CENTER (030007),2023,Acute Care,Voluntary non-profit - Private,102.0,34.736201,-112.031784,AZ,84.0,26881.0,154.0,17926.0,,,188.0,19341.0
77,ST. MARY'S HOSPITAL (030010),2023,Acute Care,Voluntary non-profit - Private,398.0,32.228923,-111.000032,AZ,125.0,27140.0,130.0,20799.0,,,154.0,19991.0
78,ST JOSEPH'S HOSPITAL (030011),2023,Acute Care,Voluntary non-profit - Other,474.0,32.225946,-110.857838,AZ,129.0,25957.0,136.0,19143.0,178.0,20437.0,188.0,22185.0
79,YAVAPAI REGIONAL MEDICAL CENTER (030012),2023,Acute Care,Government - Local,179.0,34.55938,-112.482065,AZ,316.0,26277.0,321.0,18597.0,110.0,22424.0,387.0,18996.0
80,YUMA REGIONAL MEDICAL CENTER (030013),2023,Acute Care,Voluntary non-profit - Private,397.0,32.683899,-114.633238,AZ,263.0,27029.0,401.0,18918.0,189.0,20882.0,430.0,21041.0
81,JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL (030014),2023,Acute Care,Voluntary non-profit - Private,258.0,33.567754,-112.07063,AZ,102.0,27140.0,161.0,17743.0,65.0,20090.0,187.0,22576.0
82,BANNER CASA GRANDE MEDICAL CENTER (030016),2023,Acute Care,Voluntary non-profit - Other,156.0,32.879608,-111.709253,AZ,75.0,25058.0,132.0,17329.0,,,208.0,22459.0
83,FLAGSTAFF MEDICAL CENTER (030023),2023,Acute Care,Voluntary non-profit - Private,267.0,35.209534,-111.644835,AZ,151.0,30398.0,221.0,18931.0,100.0,20921.0,161.0,18769.0
84,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER (030024),2023,Acute Care,Voluntary non-profit - Church,560.0,33.480294,-112.079208,AZ,115.0,29698.0,134.0,20292.0,,,179.0,21900.0
85,ABRAZO CENTRAL CAMPUS (030030),2023,Acute Care,Proprietary,186.0,33.524116,-112.101934,AZ,,,38.0,18431.0,,,71.0,22374.0
86,CHANDLER REGIONAL MEDICAL CENTER (030036),2023,Acute Care,Voluntary non-profit - Other,318.0,33.298691,-111.873508,AZ,225.0,26004.0,377.0,20703.0,49.0,22817.0,469.0,22574.0
87,TEMPE ST LUKES HOSPITAL (030037),2023,Acute Care,Proprietary,209.0,33.451436,-112.042767,AZ,,,,,82.0,20820.0,,
88,HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER (030038),2023,Acute Care,Proprietary,360.0,33.487639,-111.922725,AZ,110.0,26069.0,240.0,19643.0,175.0,21393.0,239.0,20686.0
89,CANYON VISTA MEDICAL CENTER (030043),2023,Acute Care,Voluntary non-profit - Other,92.0,31.554635,-110.230726,AZ,79.0,25233.0,136.0,20217.0,140.0,18853.0,224.0,21181.0
90,KINGMAN REGIONAL MEDICAL CENTER (030055),2023,Acute Care,Government - Hospital District or Authority,221.0,35.219907,-114.035813,AZ,118.0,27464.0,210.0,17617.0,41.0,24850.0,254.0,19448.0
91,BANNER BOSWELL MEDICAL CENTER (030061),2023,Acute Care,Voluntary non-profit - Other,508.0,33.604798,-112.282538,AZ,175.0,26375.0,457.0,18477.0,125.0,19610.0,663.0,20782.0
92,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER (030062),2023,Acute Care,Voluntary non-profit - Private,91.0,34.201967,-110.01839,AZ,71.0,28918.0,129.0,19580.0,35.0,21661.0,122.0,18624.0
93,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS (030064),2023,Acute Care,Voluntary non-profit - Private,511.0,32.242362,-110.944092,AZ,76.0,27877.0,184.0,19867.0,,,224.0,22611.0
94,BANNER DESERT MEDICAL CENTER (030065),2023,Acute Care,Voluntary non-profit - Private,632.0,33.39091,-111.874624,AZ,140.0,27162.0,270.0,19817.0,,,429.0,22289.0
95,HAVASU REGIONAL MEDICAL CENTER (030069),2023,Acute Care,Proprietary,169.0,34.47998,-114.338537,AZ,171.0,30394.0,229.0,18713.0,100.0,22585.0,264.0,19474.0
96,FORT DEFIANCE INDIAN HOSPITAL (030071),2023,Acute Care,Government - Federal,54.0,,,AZ,,,32.0,17168.0,,,40.0,13178.0
97,TUBA CITY REGIONAL HEALTH CARE CORPORATION (030073),2023,Acute Care,Voluntary non-profit - Other,73.0,,,AZ,,,,,,,62.0,16701.0
98,ABRAZO SCOTTSDALE CAMPUS (030083),2023,Acute Care,Proprietary,129.0,33.640603,-111.997692,AZ,,,43.0,19129.0,112.0,19975.0,99.0,22196.0
99,CHINLE COMPREHENSIVE HEALTH CARE FACILITY (030084),2023,Acute Care,Government - Federal,60.0,,,AZ,,,,,,,43.0,17922.0
100,NORTHWEST MEDICAL CENTER (030085),2023,Acute Care,Proprietary,283.0,32.319581,-111.012054,AZ,150.0,27153.0,272.0,17930.0,87.0,21577.0,230.0,19366.0
101,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER (030087),2023,Acute Care,Proprietary,426.0,33.582467,-111.886032,AZ,208.0,28298.0,460.0,20312.0,348.0,19257.0,473.0,21578.0
102,BANNER BAYWOOD MEDICAL CENTER (030088),2023,Acute Care,Voluntary non-profit - Private,340.0,33.410465,-111.688045,AZ,,,309.0,19674.0,67.0,21376.0,587.0,22271.0
103,BANNER THUNDERBIRD MEDICAL CENTER (030089),2023,Acute Care,Government - Hospital District or Authority,566.0,33.610731,-112.178698,AZ,124.0,27303.0,263.0,18752.0,,,409.0,22637.0
104,HONORHEALTH DEER VALLEY MEDICAL CENTER (030092),2023,Acute Care,Voluntary non-profit - Private,201.0,33.666425,-112.117188,AZ,106.0,26970.0,215.0,17539.0,95.0,20325.0,228.0,21499.0
105,BANNER DEL E. WEBB MEDICAL CENTER (030093),2023,Acute Care,Voluntary non-profit - Private,390.0,33.658307,-112.371939,AZ,244.0,26617.0,508.0,16862.0,128.0,19799.0,773.0,19855.0
106,ABRAZO ARROWHEAD HOSPITAL (030094),2023,Acute Care,Proprietary,244.0,33.655042,-112.202889,AZ,231.0,31913.0,314.0,21069.0,79.0,21020.0,256.0,21096.0
107,WESTERN ARIZONA REGIONAL MEDICAL CENTER (030101),2023,Acute Care,Proprietary,133.0,35.109853,-114.555146,AZ,140.0,28435.0,142.0,17865.0,,,106.0,20120.0
108,MAYO CLINIC HOSPITAL (030103),2023,Acute Care,Voluntary non-profit - Private,277.0,33.663312,-111.955659,AZ,145.0,28518.0,608.0,18573.0,333.0,19747.0,548.0,20699.0
109,BANNER HEART HOSPITAL (030105),2023,Acute Care,Voluntary non-profit - Private,110.0,33.410378,-111.685273,AZ,291.0,27551.0,295.0,19902.0,,,,
110,ARIZONA SPINE AND JOINT HOSPITAL (030107),2023,Acute Care,Proprietary,23.0,33.379206,-111.734695,AZ,,,,,724.0,17292.0,,
111,THE CORE INSTITUTE SPECIALTY HOSP (030108),2023,Acute Care,Proprietary,32.0,33.531837,-112.099614,AZ,,,,,354.0,19512.0,,
112,ABRAZO WEST CAMPUS (030110),2023,Acute Care,Proprietary,190.0,33.464283,-112.354024,AZ,111.0,26251.0,120.0,19956.0,27.0,20326.0,208.0,20673.0
113,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS (030111),2023,Acute Care,Voluntary non-profit - Private,207.0,32.177882,-110.930891,AZ,40.0,24462.0,53.0,17362.0,,,76.0,21045.0
114,ARIZONA ORTHOPEDIC AND SURGICAL SPECIALTY HOSPITAL (030112),2023,Acute Care,Proprietary,24.0,33.33484,-111.891133,AZ,,,,,337.0,21688.0,,
115,WHITERIVER PHS INDIAN HOSPITAL (030113),2023,Acute Care,Government - Federal,39.0,33.875976,-109.959528,AZ,,,,,,,25.0,17441.0
116,ORO VALLEY HOSPITAL (030114),2023,Acute Care,Proprietary,148.0,32.427183,-110.94954,AZ,100.0,27547.0,201.0,18870.0,203.0,19341.0,174.0,19790.0
117,BANNER ESTRELLA MEDICAL CENTER (030115),2023,Acute Care,Voluntary non-profit - Private,288.0,33.479558,-112.257936,AZ,87.0,29180.0,195.0,17706.0,,,206.0,21061.0
118,VALLEY VIEW MEDICAL CENTER (030117),2023,Acute Care,Proprietary,82.0,35.002363,-114.597954,AZ,,,46.0,17452.0,,,57.0,16334.0
119,MERCY GILBERT MEDICAL CENTER (030119),2023,Acute Care,Voluntary non-profit - Church,202.0,33.286661,-111.755311,AZ,113.0,27682.0,242.0,20037.0,126.0,18123.0,333.0,22392.0
120,"MOUNTAIN VISTA MEDICAL CENTER, LP (030121)",2023,Acute Care,Proprietary,171.0,33.3911,-111.615329,AZ,131.0,26471.0,111.0,19603.0,69.0,22471.0,128.0,19448.0
121,BANNER GATEWAY MEDICAL CENTER (030122),2023,Acute Care,Voluntary non-profit - Other,170.0,33.384225,-111.719634,AZ,,,85.0,18344.0,,,244.0,21810.0
122,HONOR HEALTH THOMPSON PEAK MEDICAL CENTER (030123),2023,Acute Care,Proprietary,98.0,33.669777,-111.921803,AZ,116.0,26427.0,235.0,17986.0,258.0,20913.0,223.0,20052.0
123,BANNER IRONWOOD MEDICAL CENTER (030130),2023,Acute Care,Voluntary non-profit - Private,61.0,33.214839,-111.563447,AZ,,,67.0,17592.0,,,122.0,20751.0
124,O.A.S.I.S. HOSPITAL (030131),2023,Acute Care,Voluntary non-profit - Private,64.0,33.45672,-111.99521,AZ,,,,,1568.0,18245.0,,
125,BANNER GOLDFIELD MEDICAL CENTER (030134),2023,Acute Care,Voluntary non-profit - Other,23.0,33.393343,-111.566796,AZ,,,25.0,18822.0,,,73.0,20695.0
126,DIGNITY HEALTH ARIZONA GENERAL HOSPITAL (030139),2023,Acute Care,Voluntary non-profit - Private,50.0,,,AZ,,,25.0,17847.0,,,51.0,20125.0
127,HONORHEALTH SONORAN CROSSING MEDICAL CENTER (030146),2023,Acute Care,Voluntary non-profit - Private,70.0,,,AZ,,,41.0,17738.0,,,61.0,20127.0
128,BANNER OCOTILLO MEDICAL CENTER (030147),2023,Acute Care,Voluntary non-profit - Private,94.0,,,AZ,,,43.0,20351.0,,,102.0,20571.0
129,LA PAZ REGIONAL HOSPITAL (031317),2023,Critical Access,Voluntary non-profit - Private,25.0,34.135137,-114.285597,AZ,,,,,,,53.0,18437.0
130,BANNER PAYSON MEDICAL CENTER (031318),2023,Critical Access,Voluntary non-profit - Other,25.0,34.231351,-111.321361,AZ,,,42.0,18376.0,,,83.0,20177.0
131,SILOAM SPRINGS REGIONAL HOSPITAL (040001),2023,Acute Care,Proprietary,46.0,36.190377,-94.509658,AR,,,38.0,18302.0,,,31.0,19378.0
132,JOHNSON REGIONAL MEDICAL CENTER (040002),2023,Acute Care,Voluntary non-profit - Private,86.0,35.464384,-93.445797,AR,,,31.0,18375.0,,,59.0,18042.0
133,WASHINGTON REGIONAL MEDICAL CENTER (040004),2023,Acute Care,Voluntary non-profit - Private,314.0,36.110984,-94.157862,AR,166.0,30570.0,448.0,20889.0,223.0,18265.0,308.0,20521.0
134,CHI-ST VINCENT INFIRMARY (040007),2023,Acute Care,Voluntary non-profit - Private,414.0,,,AR,154.0,33593.0,374.0,20318.0,50.0,18391.0,206.0,23541.0
135,MERCY HOSPITAL NORTHWEST ARKANSAS (040010),2023,Acute Care,Voluntary non-profit - Church,201.0,36.309562,-94.184709,AR,160.0,26114.0,278.0,18468.0,34.0,20681.0,324.0,20745.0
136,CHAMBERS MEMORIAL HOSPITAL (040011),2023,Acute Care,Voluntary non-profit - Private,41.0,35.054823,-93.388543,AR,,,81.0,17758.0,,,100.0,18618.0
137,WHITE COUNTY MEDICAL CENTER (040014),2023,Acute Care,Voluntary non-profit - Private,315.0,35.250446,-91.696758,AR,136.0,27813.0,310.0,17508.0,66.0,19368.0,409.0,19400.0
138,MENA REGIONAL HEALTH SYSTEM (040015),2023,Acute Care,Government - Local,65.0,34.588386,-94.221383,AR,,,,,,,60.0,22915.0
139,UAMS MEDICAL CENTER (040016),2023,Acute Care,Government - State,480.0,34.751583,-92.320998,AR,58.0,27609.0,194.0,18119.0,96.0,19877.0,280.0,21819.0
140,NORTH ARKANSAS REGIONAL MEDICAL CENTER (040017),2023,Acute Care,Voluntary non-profit - Other,133.0,36.236281,-93.107148,AR,,,58.0,18842.0,53.0,22502.0,178.0,17873.0
141,FORREST CITY MEDICAL CENTER (040019),2023,Acute Care,Proprietary,68.0,35.039275,-90.771894,AR,,,,,,,60.0,19124.0
142,ST BERNARDS MEDICAL CENTER (040020),2023,Acute Care,Voluntary non-profit - Private,376.0,35.837478,-90.702142,AR,181.0,31322.0,301.0,20815.0,38.0,23697.0,382.0,20781.0
143,NORTHWEST MEDICAL CENTER-SPRINGDALE (040022),2023,Acute Care,Proprietary,325.0,36.181394,-94.136464,AR,195.0,25117.0,203.0,20192.0,25.0,21237.0,190.0,21948.0
144,ST VINCENT HOT SPRINGS (040026),2023,Acute Care,Voluntary non-profit - Church,235.0,34.466035,-93.066396,AR,166.0,27076.0,480.0,19768.0,80.0,23304.0,397.0,20952.0
145,BAXTER REGIONAL MEDICAL CENTER (040027),2023,Acute Care,Voluntary non-profit - Private,214.0,36.343067,-92.395905,AR,175.0,26126.0,351.0,17123.0,226.0,19914.0,314.0,19387.0
146,"CONWAY REGIONAL MEDICAL CENTER, INC (040029)",2023,Acute Care,Voluntary non-profit - Private,151.0,35.084826,-92.457103,AR,110.0,26796.0,180.0,18412.0,123.0,20294.0,314.0,22734.0
