,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Payment for heart attack patients (Denominator),Payment for heart attack patients (Payment),Payment for heart failure patients (Denominator),Payment for heart failure patients (Payment),Payment for hip/knee replacement patients (Denominator),Payment for hip/knee replacement patients (Payment),Payment for pneumonia patients (Denominator),Payment for pneumonia patients (Payment)
23,FAYETTE MEDICAL CENTER (010045),2019,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,,,61.0,15498.0,,,93.0,16287.0
24,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2019,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,88.0,25754.0,292.0,16728.0,101.0,22856.0,370.0,21462.0
25,MEDICAL CENTER ENTERPRISE (010049),2019,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,,,109.0,16653.0,246.0,22231.0,142.0,17652.0
26,LAKE MARTIN COMMUNITY HOSPITAL (010052),2019,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,,,,,,,114.0,14680.0
27,FLOWERS HOSPITAL (010055),2019,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,276.0,23807.0,421.0,17499.0,470.0,22463.0,513.0,18433.0
28,ST VINCENT'S BIRMINGHAM (010056),2019,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,203.0,25668.0,377.0,16988.0,1558.0,21701.0,588.0,17654.0
29,BIBB MEDICAL CENTER (010058),2019,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,,,26.0,17737.0,,,86.0,14298.0
30,LAWRENCE MEDICAL CENTER (010059),2019,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,,,40.0,15707.0,,,77.0,16481.0
31,HIGHLANDS MEDICAL CENTER (010061),2019,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,,,100.0,15448.0,34.0,24785.0,187.0,15117.0
32,WIREGRASS MEDICAL CENTER (010062),2019,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,,,97.0,14898.0,,,146.0,15752.0
33,RUSSELL MEDICAL CENTER (010065),2019,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,60.0,24452.0,184.0,16972.0,80.0,25306.0,213.0,17650.0
34,MEDICAL CENTER BARBOUR (010069),2019,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,,,58.0,16161.0,,,103.0,14778.0
35,CLAY COUNTY HOSPITAL (010073),2019,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,,,46.0,15781.0,,,80.0,14431.0
36,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER (010078),2019,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,384.0,24462.0,464.0,16939.0,340.0,22878.0,448.0,17919.0
37,ATHENS LIMESTONE HOSPITAL (010079),2019,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,,,178.0,15910.0,203.0,24099.0,245.0,16317.0
38,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2019,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,167.0,24496.0,279.0,16854.0,206.0,19795.0,339.0,16279.0
39,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS (010085),2019,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,83.0,23410.0,512.0,15606.0,409.0,22160.0,577.0,16625.0
40,NORTHWEST MEDICAL CENTER (010086),2019,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,,,71.0,15715.0,,,164.0,15548.0
41,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER (010087),2019,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,,,37.0,15928.0,,,28.0,18415.0
42,WALKER BAPTIST MEDICAL CENTER (010089),2019,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,,,159.0,16034.0,246.0,21031.0,266.0,18166.0
43,PROVIDENCE HOSPITAL (010090),2019,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,228.0,25283.0,465.0,15868.0,415.0,20550.0,470.0,16667.0
44,GROVE HILL MEMORIAL HOSPITAL (010091),2019,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,,,38.0,15453.0,,,54.0,16595.0
45,D C H REGIONAL MEDICAL CENTER (010092),2019,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,451.0,24994.0,884.0,18144.0,723.0,22982.0,1124.0,18252.0
46,HALE COUNTY HOSPITAL (010095),2019,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,,,,,,,37.0,17257.0
47,ELMORE COMMUNITY HOSPITAL (010097),2019,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,,,,,,,38.0,12137.0
48,D W MCMILLAN MEMORIAL HOSPITAL (010099),2019,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,,,79.0,15017.0,,,166.0,15772.0
49,THOMAS HOSPITAL (010100),2019,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,161.0,24678.0,260.0,16382.0,565.0,19330.0,340.0,17297.0
50,CITIZENS BAPTIST MEDICAL CENTER (010101),2019,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,,,71.0,15266.0,,,77.0,18745.0
51,J PAUL JONES HOSPITAL (010102),2019,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL,,,,,,,28.0,15120.0
52,PRINCETON BAPTIST MEDICAL CENTER (010103),2019,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,201.0,25394.0,302.0,17462.0,220.0,24071.0,247.0,18663.0
53,GRANDVIEW MEDICAL CENTER (010104),2019,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,243.0,23168.0,457.0,18575.0,788.0,20644.0,388.0,19748.0
54,PRATTVILLE BAPTIST HOSPITAL (010108),2019,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,45.0,26031.0,175.0,16769.0,,,258.0,16029.0
55,PICKENS COUNTY MEDICAL CENTER (010109),2019,Acute Care,Government - Hospital District or Authority,49.0,33.274807,-88.089673,AL,,,33.0,16886.0,,,76.0,14259.0
56,BRYAN W. WHITFIELD MEMORIAL HOSPITAL (010112),2019,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,,,52.0,16762.0,,,83.0,16591.0
57,MOBILE INFIRMARY MEDICAL CENTER (010113),2019,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,214.0,24359.0,602.0,18983.0,568.0,21112.0,614.0,18662.0
58,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2019,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,42.0,25115.0,128.0,17999.0,42.0,24099.0,275.0,17709.0
59,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2019,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,73.0,22690.0,198.0,15451.0,,,231.0,17943.0
60,MONROE COUNTY HOSPITAL (010120),2019,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,,,69.0,16354.0,,,119.0,16433.0
61,LAKELAND COMMUNITY HOSPITAL (010125),2019,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,,,35.0,16120.0,,,460.0,13189.0
62,TROY REGIONAL MEDICAL CENTER (010126),2019,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,,,69.0,14277.0,27.0,19808.0,107.0,15561.0
63,JACKSON MEDICAL CENTER (010128),2019,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,,,35.0,17598.0,,,61.0,16497.0
64,NORTH BALDWIN INFIRMARY (010129),2019,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,,,40.0,15886.0,25.0,21044.0,62.0,14016.0
65,ST VINCENT'S ST CLAIR (010130),2019,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,,,105.0,15501.0,,,255.0,15546.0
66,CRESTWOOD MEDICAL CENTER (010131),2019,Acute Care,Proprietary,163.0,,,AL,194.0,22173.0,316.0,16136.0,862.0,20409.0,551.0,16071.0
67,BROOKWOOD BAPTIST MEDICAL CENTER (010139),2019,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,226.0,23832.0,314.0,17550.0,717.0,21744.0,395.0,18248.0
68,SPRINGHILL MEMORIAL HOSPITAL (010144),2019,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,134.0,23975.0,382.0,17403.0,276.0,23669.0,313.0,17143.0
69,EVERGREEN MEDICAL CENTER (010148),2019,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,,,107.0,13741.0,,,160.0,14919.0
70,BAPTIST MEDICAL CENTER EAST (010149),2019,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,46.0,27067.0,238.0,16772.0,,,273.0,17855.0
71,L V STABLER MEMORIAL HOSPITAL (010150),2019,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,,,70.0,15072.0,,,46.0,15280.0
72,SHOALS HOSPITAL (010157),2019,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,,,62.0,16749.0,25.0,25759.0,136.0,17277.0
73,RUSSELLVILLE HOSPITAL (010158),2019,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,,,59.0,15808.0,44.0,20948.0,189.0,14269.0
74,COOSA VALLEY MEDICAL CENTER (010164),2019,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,41.0,24231.0,116.0,16901.0,42.0,24526.0,209.0,18576.0
75,JACK HUGHSTON MEMORIAL HOSPITAL (010168),2019,Acute Care,Government - State,52.0,32.509045,-85.005696,AL,,,29.0,16888.0,1173.0,20509.0,32.0,21999.0
76,ATMORE COMMUNITY HOSPITAL (010169),2019,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,,,92.0,16043.0,,,102.0,18062.0
77,RED BAY HOSPITAL (011302),2019,Critical Access,Government - Hospital District or Authority,25.0,34.457425,-88.146934,AL,,,,,,,39.0,19670.0
78,ST VINCENTS BLOUNT (011305),2019,Critical Access,Voluntary non-profit - Private,25.0,33.932537,-86.493059,AL,,,26.0,18227.0,,,83.0,17468.0
79,PROVIDENCE ALASKA MEDICAL CENTER (020001),2019,Acute Care,Voluntary non-profit - Church,394.0,61.189798,-149.817622,AK,385.0,23481.0,390.0,15821.0,466.0,19025.0,401.0,14592.0
80,MAT-SU REGIONAL MEDICAL CENTER (020006),2019,Acute Care,Voluntary non-profit - Private,90.0,61.561217,-149.258718,AK,87.0,23593.0,110.0,14804.0,180.0,18061.0,288.0,14441.0
81,BARTLETT REGIONAL HOSPITAL (020008),2019,Acute Care,Government - Local,58.0,58.328696,-134.466829,AK,,,58.0,16023.0,127.0,18092.0,98.0,14106.0
82,FAIRBANKS MEMORIAL HOSPITAL (020012),2019,Acute Care,Voluntary non-profit - Other,213.0,64.831407,-147.736254,AK,120.0,24116.0,101.0,13771.0,165.0,17132.0,125.0,14491.0
83,ALASKA REGIONAL HOSPITAL (020017),2019,Acute Care,Proprietary,169.0,61.20979,-149.827379,AK,137.0,24608.0,148.0,15943.0,684.0,17415.0,188.0,15081.0
84,YUKON KUSKOKWIM DELTA REG HOSPITAL (020018),2019,Acute Care,Tribal,34.0,,,AK,,,30.0,14362.0,,,121.0,11192.0
85,CENTRAL PENINSULA GENERAL HOSPITAL (020024),2019,Acute Care,Voluntary non-profit - Other,186.0,60.493865,-151.077658,AK,,,105.0,16133.0,165.0,18759.0,156.0,14636.0
86,ALASKA NATIVE MEDICAL CENTER (020026),2019,Acute Care,Government - Federal,163.0,61.18189,-149.800578,AK,71.0,24027.0,103.0,14685.0,109.0,16274.0,212.0,15633.0
87,PROVIDENCE KODIAK ISLAND MEDICAL CTR (021306),2019,Critical Access,Voluntary non-profit - Church,46.0,57.800835,-152.373943,AK,,,,,,,27.0,20398.0
88,KETCHIKAN MEDICAL CENTER (021311),2019,Critical Access,Voluntary non-profit - Church,51.0,55.352717,-131.686049,AK,,,31.0,16840.0,46.0,17684.0,78.0,14077.0
89,SOUTH PENINSULA HOSPITAL (021313),2019,Critical Access,Voluntary non-profit - Private,49.0,59.652133,-151.550296,AK,,,,,,,48.0,18104.0
90,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX (030002),2019,Acute Care,Voluntary non-profit - Other,706.0,33.465724,-112.058127,AZ,215.0,25716.0,285.0,19294.0,141.0,20399.0,231.0,19357.0
91,TUCSON MEDICAL CENTER (030006),2019,Acute Care,Voluntary non-profit - Private,520.0,32.250749,-110.880169,AZ,307.0,24466.0,600.0,19156.0,1472.0,18210.0,534.0,20221.0
92,VERDE VALLEY MEDICAL CENTER (030007),2019,Acute Care,Voluntary non-profit - Private,102.0,34.736201,-112.031784,AZ,138.0,22399.0,185.0,17916.0,182.0,19587.0,377.0,18138.0
93,ST. MARY'S HOSPITAL (030010),2019,Acute Care,Voluntary non-profit - Private,398.0,32.228923,-111.000032,AZ,161.0,24390.0,138.0,17666.0,54.0,22838.0,217.0,16702.0
94,ST JOSEPH'S HOSPITAL (030011),2019,Acute Care,Voluntary non-profit - Other,474.0,32.225946,-110.857838,AZ,191.0,23578.0,239.0,16651.0,525.0,20482.0,432.0,18252.0
95,YAVAPAI REGIONAL MEDICAL CENTER (030012),2019,Acute Care,Government - Local,179.0,34.55938,-112.482065,AZ,376.0,23299.0,298.0,16717.0,496.0,20968.0,671.0,16777.0
96,YUMA REGIONAL MEDICAL CENTER (030013),2019,Acute Care,Voluntary non-profit - Private,397.0,32.683899,-114.633238,AZ,578.0,25175.0,651.0,17760.0,682.0,21865.0,1179.0,19617.0
97,JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL (030014),2019,Acute Care,Voluntary non-profit - Private,258.0,33.567754,-112.07063,AZ,153.0,25949.0,268.0,19676.0,231.0,21084.0,523.0,20274.0
98,BANNER CASA GRANDE MEDICAL CENTER (030016),2019,Acute Care,Voluntary non-profit - Other,156.0,32.879608,-111.709253,AZ,168.0,23965.0,171.0,17251.0,224.0,21343.0,365.0,20269.0
99,MARICOPA MEDICAL CENTER (030022),2019,Acute Care,Government - Local,570.0,33.458525,-112.02643,AZ,,,31.0,17099.0,,,31.0,18836.0
100,FLAGSTAFF MEDICAL CENTER (030023),2019,Acute Care,Voluntary non-profit - Private,267.0,35.209534,-111.644835,AZ,198.0,25055.0,212.0,17392.0,746.0,18667.0,386.0,16266.0
101,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER (030024),2019,Acute Care,Voluntary non-profit - Church,560.0,33.480294,-112.079208,AZ,105.0,28134.0,147.0,18913.0,29.0,21883.0,285.0,19933.0
102,ABRAZO CENTRAL CAMPUS (030030),2019,Acute Care,Proprietary,186.0,33.524116,-112.101934,AZ,49.0,27031.0,66.0,19231.0,41.0,21679.0,126.0,19413.0
103,CHANDLER REGIONAL MEDICAL CENTER (030036),2019,Acute Care,Voluntary non-profit - Other,318.0,33.298691,-111.873508,AZ,303.0,25902.0,429.0,20374.0,279.0,19712.0,845.0,20917.0
104,ST LUKE'S MEDICAL CENTER (030037),2019,Acute Care,Proprietary,209.0,33.451436,-112.042767,AZ,65.0,28420.0,57.0,19590.0,1021.0,18357.0,57.0,18515.0
105,SCOTTSDALE OSBORN MEDICAL CENTER (030038),2019,Acute Care,Proprietary,360.0,33.487639,-111.922725,AZ,153.0,23478.0,336.0,17253.0,478.0,19981.0,563.0,18167.0
106,CANYON VISTA MEDICAL CENTER (030043),2019,Acute Care,Voluntary non-profit - Other,92.0,31.554635,-110.230726,AZ,182.0,23610.0,185.0,17689.0,225.0,19151.0,282.0,18737.0
107,KINGMAN REGIONAL MEDICAL CENTER (030055),2019,Acute Care,Government - Hospital District or Authority,221.0,35.219907,-114.035813,AZ,208.0,28206.0,354.0,17587.0,152.0,21323.0,487.0,16904.0
108,BANNER BOSWELL MEDICAL CENTER (030061),2019,Acute Care,Voluntary non-profit - Other,508.0,33.604798,-112.282538,AZ,341.0,23547.0,573.0,16653.0,718.0,18027.0,931.0,18270.0
109,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER (030062),2019,Acute Care,Voluntary non-profit - Private,91.0,34.201967,-110.01839,AZ,128.0,25602.0,126.0,16520.0,293.0,20839.0,208.0,16167.0
110,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS (030064),2019,Acute Care,Voluntary non-profit - Private,511.0,32.242362,-110.944092,AZ,187.0,25062.0,262.0,17785.0,142.0,19139.0,338.0,18869.0
111,BANNER DESERT MEDICAL CENTER (030065),2019,Acute Care,Voluntary non-profit - Private,632.0,33.39091,-111.874624,AZ,235.0,24289.0,329.0,18239.0,173.0,19964.0,643.0,19849.0
112,MT. GRAHAM REGIONAL MEDICAL CENTER (030068),2019,Acute Care,Government - Hospital District or Authority,45.0,32.821883,-109.732994,AZ,,,,,88.0,20978.0,66.0,14817.0
113,HAVASU REGIONAL MEDICAL CENTER (030069),2019,Acute Care,Proprietary,169.0,34.47998,-114.338537,AZ,284.0,24174.0,348.0,15951.0,544.0,18833.0,413.0,16366.0
114,FORT DEFIANCE INDIAN HOSPITAL (030071),2019,Acute Care,Government - Federal,54.0,,,AZ,,,37.0,14002.0,,,154.0,11186.0
115,TUBA CITY REGIONAL HEALTH CARE CORPORATION (030073),2019,Acute Care,Voluntary non-profit - Other,73.0,,,AZ,,,30.0,14299.0,114.0,18645.0,127.0,13043.0
116,SAN CARLOS APACHE HEALTHCARE (030077),2019,Acute Care,Government - Federal,9.0,,,AZ,,,,,,,27.0,12999.0
117,PHOENIX INDIAN MEDICAL CENTER (030078),2019,Acute Care,Government - Federal,119.0,33.49701,-112.047613,AZ,,,,,,,26.0,13678.0
118,ABRAZO SCOTTSDALE CAMPUS (030083),2019,Acute Care,Proprietary,129.0,33.640603,-111.997692,AZ,63.0,27333.0,75.0,17538.0,,,144.0,18908.0
119,CHINLE COMPREHENSIVE HEALTH CARE FACILITY (030084),2019,Acute Care,Government - Federal,60.0,,,AZ,,,,,,,98.0,12462.0
120,NORTHWEST MEDICAL CENTER (030085),2019,Acute Care,Proprietary,283.0,32.319581,-111.012054,AZ,154.0,24771.0,242.0,16906.0,1032.0,19194.0,440.0,18073.0
121,SCOTTSDALE SHEA MEDICAL CENTER (030087),2019,Acute Care,Proprietary,426.0,33.582467,-111.886032,AZ,273.0,24613.0,602.0,18840.0,927.0,20507.0,917.0,18271.0
122,BANNER BAYWOOD MEDICAL CENTER (030088),2019,Acute Care,Voluntary non-profit - Private,340.0,33.410465,-111.688045,AZ,62.0,25535.0,450.0,17979.0,567.0,20683.0,1131.0,18353.0
123,BANNER THUNDERBIRD MEDICAL CENTER (030089),2019,Acute Care,Government - Hospital District or Authority,566.0,33.610731,-112.178698,AZ,210.0,24452.0,313.0,18848.0,149.0,19146.0,623.0,20428.0
124,HONORHEALTH DEER VALLEY MEDICAL CENTER (030092),2019,Acute Care,Voluntary non-profit - Private,201.0,33.666425,-112.117188,AZ,165.0,25542.0,225.0,19457.0,350.0,20688.0,545.0,20376.0
125,BANNER DEL E. WEBB MEDICAL CENTER (030093),2019,Acute Care,Voluntary non-profit - Private,390.0,33.658307,-112.371939,AZ,356.0,23855.0,510.0,17685.0,789.0,18227.0,998.0,18853.0
126,ABRAZO ARROWHEAD CAMPUS (030094),2019,Acute Care,Proprietary,244.0,33.655042,-112.202889,AZ,271.0,26561.0,315.0,19876.0,486.0,21283.0,333.0,18015.0
127,WESTERN ARIZONA REGIONAL MEDICAL CENTER (030101),2019,Acute Care,Proprietary,133.0,35.109853,-114.555146,AZ,216.0,26194.0,301.0,17254.0,167.0,17911.0,239.0,18371.0
128,MAYO CLINIC HOSPITAL (030103),2019,Acute Care,Voluntary non-profit - Private,277.0,33.663312,-111.955659,AZ,235.0,21524.0,649.0,16473.0,1182.0,19288.0,881.0,17948.0
129,BANNER HEART HOSPITAL (030105),2019,Acute Care,Voluntary non-profit - Private,110.0,33.410378,-111.685273,AZ,658.0,25220.0,467.0,19532.0,,,47.0,20934.0
130,ARIZONA SPINE AND JOINT HOSPITAL (030107),2019,Acute Care,Proprietary,23.0,33.379206,-111.734695,AZ,,,,,780.0,18411.0,,
131,"CORE INSTITUTE SPECIALTY HOSPITAL, THE (030108)",2019,Acute Care,Proprietary,32.0,33.531837,-112.099614,AZ,,,,,622.0,17794.0,,
132,ABRAZO WEST CAMPUS (030110),2019,Acute Care,Proprietary,190.0,33.464283,-112.354024,AZ,170.0,26703.0,140.0,15775.0,,,291.0,18689.0
133,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS (030111),2019,Acute Care,Voluntary non-profit - Private,207.0,32.177882,-110.930891,AZ,108.0,23182.0,68.0,17699.0,,,127.0,17746.0
134,ARIZONA SPECIALTY HOSPITAL (030112),2019,Acute Care,Proprietary,24.0,33.33484,-111.891133,AZ,,,,,574.0,23457.0,,
135,WHITERIVER PHS INDIAN HOSPITAL (030113),2019,Acute Care,Government - Federal,39.0,33.875976,-109.959528,AZ,,,,,,,54.0,13680.0
136,ORO VALLEY HOSPITAL (030114),2019,Acute Care,Proprietary,148.0,32.427183,-110.94954,AZ,125.0,26069.0,271.0,16442.0,905.0,17944.0,346.0,16534.0
137,BANNER ESTRELLA MEDICAL CENTER (030115),2019,Acute Care,Voluntary non-profit - Private,288.0,33.479558,-112.257936,AZ,144.0,23806.0,227.0,16544.0,104.0,18515.0,327.0,17541.0
138,VALLEY VIEW MEDICAL CENTER (030117),2019,Acute Care,Proprietary,82.0,35.002363,-114.597954,AZ,51.0,21979.0,144.0,15457.0,196.0,16767.0,169.0,18194.0
139,MERCY GILBERT MEDICAL CENTER (030119),2019,Acute Care,Voluntary non-profit - Church,202.0,33.286661,-111.755311,AZ,156.0,24537.0,290.0,19743.0,355.0,18745.0,601.0,20024.0
140,"MOUNTAIN VISTA MEDICAL CENTER, LP (030121)",2019,Acute Care,Proprietary,171.0,33.3911,-111.615329,AZ,215.0,26046.0,168.0,19002.0,263.0,19334.0,277.0,22216.0
141,BANNER GATEWAY MEDICAL CENTER (030122),2019,Acute Care,Voluntary non-profit - Other,170.0,33.384225,-111.719634,AZ,,,122.0,17480.0,51.0,19608.0,425.0,19290.0
142,SCOTTSDALE THOMPSON PEAK MEDICAL CENTER (030123),2019,Acute Care,Proprietary,98.0,33.669777,-111.921803,AZ,130.0,23718.0,214.0,19025.0,1276.0,18915.0,409.0,19266.0
143,BANNER IRONWOOD MEDICAL CENTER (030130),2019,Acute Care,Voluntary non-profit - Private,61.0,33.214839,-111.563447,AZ,,,74.0,17427.0,58.0,19614.0,126.0,18519.0
144,O.A.S.I.S. HOSPITAL (030131),2019,Acute Care,Voluntary non-profit - Private,64.0,33.45672,-111.99521,AZ,,,,,2454.0,20270.0,,
145,BANNER GOLDFIELD MEDICAL CENTER (030134),2019,Acute Care,Voluntary non-profit - Other,23.0,33.393343,-111.566796,AZ,,,37.0,15400.0,,,90.0,15568.0
