,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Payment for heart attack patients (Denominator),Payment for heart attack patients (Payment),Payment for heart failure patients (Denominator),Payment for heart failure patients (Payment),Payment for hip/knee replacement patients (Denominator),Payment for hip/knee replacement patients (Payment),Payment for pneumonia patients (Denominator),Payment for pneumonia patients (Payment)
19,GADSDEN REGIONAL MEDICAL CENTER (010040),2021,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,197.0,28475.0,267.0,20755.0,319.0,22415.0,416.0,21335.0
20,MARION REGIONAL MEDICAL CENTER (010044),2021,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,,,44.0,15592.0,,,118.0,16474.0
21,FAYETTE MEDICAL CENTER (010045),2021,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,,,30.0,17858.0,,,79.0,17559.0
22,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2021,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,54.0,28051.0,185.0,17886.0,84.0,22121.0,238.0,21962.0
23,MEDICAL CENTER ENTERPRISE (010049),2021,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,,,78.0,18238.0,195.0,21745.0,130.0,17430.0
24,LAKE MARTIN COMMUNITY HOSPITAL (010052),2021,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,,,,,,,53.0,15696.0
25,FLOWERS HOSPITAL (010055),2021,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,264.0,27260.0,364.0,18473.0,445.0,20798.0,382.0,19618.0
26,ST VINCENT'S BIRMINGHAM (010056),2021,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,160.0,29033.0,324.0,18957.0,1252.0,20388.0,416.0,20150.0
27,BIBB MEDICAL CENTER (010058),2021,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,,,,,,,55.0,15759.0
28,LAWRENCE MEDICAL CENTER (010059),2021,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,,,30.0,16497.0,,,64.0,15501.0
29,HIGHLANDS MEDICAL CENTER (010061),2021,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,,,64.0,17553.0,30.0,25402.0,114.0,16009.0
30,WIREGRASS MEDICAL CENTER (010062),2021,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,,,63.0,16689.0,,,88.0,16640.0
31,RUSSELL MEDICAL CENTER (010065),2021,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,30.0,25235.0,127.0,16752.0,,,118.0,19057.0
32,MEDICAL CENTER BARBOUR (010069),2021,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,,,52.0,17832.0,,,70.0,18197.0
33,CLAY COUNTY HOSPITAL (010073),2021,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,,,,,,,49.0,14177.0
34,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER (010078),2021,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,258.0,25631.0,334.0,18318.0,242.0,21356.0,329.0,19098.0
35,ATHENS LIMESTONE HOSPITAL (010079),2021,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,,,140.0,17249.0,169.0,22585.0,178.0,18856.0
36,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2021,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,105.0,26820.0,229.0,18941.0,202.0,19558.0,309.0,17868.0
37,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS (010085),2021,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,57.0,24926.0,355.0,16193.0,161.0,23171.0,510.0,17798.0
38,NORTHWEST MEDICAL CENTER (010086),2021,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,,,54.0,16491.0,,,82.0,14009.0
39,USA HEALTH UNIVERSITY HOSPITAL (010087),2021,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,,,,,,,28.0,18164.0
40,WALKER BAPTIST MEDICAL CENTER (010089),2021,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,,,120.0,17367.0,95.0,21696.0,189.0,18863.0
41,PROVIDENCE HOSPITAL (010090),2021,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,157.0,24396.0,348.0,17145.0,278.0,20220.0,340.0,18344.0
42,GROVE HILL MEMORIAL HOSPITAL (010091),2021,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,,,,,,,47.0,15251.0
43,DCH REGIONAL MEDICAL CENTER (010092),2021,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,267.0,27283.0,655.0,19022.0,516.0,20543.0,761.0,20617.0
44,ELMORE COMMUNITY HOSPITAL (010097),2021,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,,,,,,,26.0,16886.0
45,D W MCMILLAN MEMORIAL HOSPITAL (010099),2021,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,,,67.0,17164.0,,,105.0,14979.0
46,THOMAS HOSPITAL (010100),2021,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,128.0,25803.0,213.0,17201.0,375.0,20038.0,290.0,17313.0
47,CITIZENS BAPTIST MEDICAL CENTER (010101),2021,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,,,48.0,16235.0,,,68.0,20221.0
48,J PAUL JONES HOSPITAL (010102),2021,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL,,,,,,,29.0,14818.0
49,PRINCETON BAPTIST MEDICAL CENTER (010103),2021,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,122.0,26630.0,220.0,17753.0,140.0,23322.0,177.0,19924.0
50,GRANDVIEW MEDICAL CENTER (010104),2021,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,223.0,24799.0,412.0,19493.0,560.0,21259.0,373.0,21056.0
51,PRATTVILLE BAPTIST HOSPITAL (010108),2021,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,,,130.0,16493.0,,,184.0,16019.0
52,WHITFIELD REGIONAL HOSPITAL (010112),2021,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,,,39.0,17251.0,,,54.0,19550.0
53,MOBILE INFIRMARY MEDICAL CENTER (010113),2021,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,182.0,26014.0,441.0,18684.0,434.0,20102.0,461.0,19701.0
54,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2021,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,,,100.0,19650.0,31.0,25964.0,199.0,18890.0
55,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2021,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,29.0,25433.0,142.0,17215.0,,,152.0,19388.0
56,MONROE COUNTY HOSPITAL (010120),2021,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,,,37.0,19692.0,,,76.0,17379.0
57,LAKELAND COMMUNITY HOSPITAL (010125),2021,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,,,25.0,16766.0,,,302.0,13940.0
58,TROY REGIONAL MEDICAL CENTER (010126),2021,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,,,37.0,16716.0,32.0,20959.0,77.0,18332.0
59,JACKSON MEDICAL CENTER (010128),2021,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,,,30.0,16169.0,,,36.0,17353.0
60,NORTH BALDWIN INFIRMARY (010129),2021,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,,,28.0,18339.0,,,45.0,15615.0
61,ST VINCENT'S ST CLAIR (010130),2021,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,,,59.0,16599.0,,,166.0,14909.0
62,CRESTWOOD MEDICAL CENTER (010131),2021,Acute Care,Proprietary,163.0,,,AL,139.0,24106.0,213.0,16462.0,662.0,18731.0,427.0,17671.0
63,BROOKWOOD BAPTIST MEDICAL CENTER (010139),2021,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,106.0,26164.0,180.0,17853.0,299.0,21588.0,230.0,21694.0
64,SPRINGHILL MEDICAL CENTER (010144),2021,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,82.0,27268.0,273.0,17849.0,218.0,21829.0,247.0,17781.0
65,EVERGREEN MEDICAL CENTER (010148),2021,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,,,79.0,15245.0,,,126.0,15543.0
66,BAPTIST MEDICAL CENTER EAST (010149),2021,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,,,163.0,18153.0,,,233.0,19671.0
67,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL (010150),2021,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,,,32.0,16306.0,,,41.0,14632.0
68,SHOALS HOSPITAL (010157),2021,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,,,26.0,19559.0,,,57.0,17196.0
69,RUSSELLVILLE HOSPITAL (010158),2021,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,,,55.0,17306.0,32.0,20856.0,129.0,15529.0
70,COOSA VALLEY MEDICAL CENTER (010164),2021,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,,,87.0,17221.0,34.0,25312.0,134.0,19200.0
71,JACK HUGHSTON MEMORIAL HOSPITAL (010168),2021,Acute Care,Government - State,52.0,32.509045,-85.005696,AL,,,,,967.0,19002.0,26.0,20022.0
72,ATMORE COMMUNITY HOSPITAL (010169),2021,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,,,60.0,15956.0,,,82.0,17893.0
73,ST VINCENT'S CHILTON (010173),2021,Acute Care,Voluntary non-profit - Church,26.0,32.876585,-86.623511,AL,,,,,,,25.0,17021.0
74,ST VINCENTS BLOUNT (011305),2021,Critical Access,Voluntary non-profit - Private,25.0,33.932537,-86.493059,AL,,,,,,,60.0,17786.0
75,PROVIDENCE ALASKA MEDICAL CENTER (020001),2021,Acute Care,Voluntary non-profit - Church,394.0,61.189798,-149.817622,AK,336.0,23339.0,380.0,17459.0,293.0,19551.0,308.0,16205.0
76,MAT-SU REGIONAL MEDICAL CENTER (020006),2021,Acute Care,Voluntary non-profit - Private,90.0,61.561217,-149.258718,AK,103.0,26606.0,98.0,15916.0,133.0,17632.0,284.0,17254.0
77,BARTLETT REGIONAL HOSPITAL (020008),2021,Acute Care,Government - Local,58.0,58.328696,-134.466829,AK,,,53.0,17154.0,106.0,17392.0,58.0,17427.0
78,FAIRBANKS MEMORIAL HOSPITAL (020012),2021,Acute Care,Voluntary non-profit - Other,213.0,64.831407,-147.736254,AK,68.0,25842.0,98.0,16004.0,177.0,16407.0,102.0,15924.0
79,ALASKA REGIONAL HOSPITAL (020017),2021,Acute Care,Proprietary,169.0,61.20979,-149.827379,AK,104.0,25258.0,132.0,15298.0,656.0,17707.0,195.0,15535.0
80,YUKON KUSKOKWIM DELTA REG HOSPITAL (020018),2021,Acute Care,Tribal,34.0,,,AK,,,25.0,15839.0,,,84.0,11083.0
81,CENTRAL PENINSULA GENERAL HOSPITAL (020024),2021,Acute Care,Voluntary non-profit - Other,186.0,60.493865,-151.077658,AK,,,90.0,15641.0,156.0,18766.0,117.0,14134.0
82,ALASKA NATIVE MEDICAL CENTER (020026),2021,Acute Care,Government - Federal,163.0,61.18189,-149.800578,AK,55.0,26162.0,100.0,14631.0,101.0,19358.0,157.0,16341.0
83,PEACEHEALTH KETCHIKAN MEDICAL CENTER (021311),2021,Critical Access,Voluntary non-profit - Church,51.0,55.352717,-131.686049,AK,,,,,57.0,18369.0,63.0,16684.0
84,SOUTH PENINSULA HOSPITAL (021313),2021,Critical Access,Voluntary non-profit - Private,49.0,59.652133,-151.550296,AK,,,,,34.0,18649.0,48.0,15327.0
85,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX (030002),2021,Acute Care,Voluntary non-profit - Other,706.0,33.465724,-112.058127,AZ,132.0,27790.0,227.0,20202.0,60.0,21235.0,176.0,19184.0
86,TUCSON MEDICAL CENTER (030006),2021,Acute Care,Voluntary non-profit - Private,520.0,32.250749,-110.880169,AZ,276.0,25252.0,562.0,20326.0,950.0,18098.0,437.0,18928.0
87,VERDE VALLEY MEDICAL CENTER (030007),2021,Acute Care,Voluntary non-profit - Private,102.0,34.736201,-112.031784,AZ,118.0,25249.0,172.0,17225.0,98.0,19326.0,355.0,18617.0
88,ST. MARY'S HOSPITAL (030010),2021,Acute Care,Voluntary non-profit - Private,398.0,32.228923,-111.000032,AZ,120.0,26081.0,125.0,19503.0,65.0,19957.0,219.0,18497.0
89,ST JOSEPH'S HOSPITAL (030011),2021,Acute Care,Voluntary non-profit - Other,474.0,32.225946,-110.857838,AZ,143.0,25080.0,201.0,18180.0,406.0,19316.0,302.0,19719.0
90,YAVAPAI REGIONAL MEDICAL CENTER (030012),2021,Acute Care,Government - Local,179.0,34.55938,-112.482065,AZ,315.0,28076.0,323.0,17969.0,482.0,20615.0,627.0,16242.0
91,YUMA REGIONAL MEDICAL CENTER (030013),2021,Acute Care,Voluntary non-profit - Private,397.0,32.683899,-114.633238,AZ,418.0,24997.0,513.0,18083.0,536.0,20854.0,796.0,21277.0
92,JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL (030014),2021,Acute Care,Voluntary non-profit - Private,258.0,33.567754,-112.07063,AZ,110.0,29676.0,209.0,19566.0,205.0,20234.0,373.0,20557.0
93,BANNER CASA GRANDE MEDICAL CENTER (030016),2021,Acute Care,Voluntary non-profit - Other,156.0,32.879608,-111.709253,AZ,125.0,25271.0,164.0,17407.0,117.0,20562.0,321.0,22709.0
94,VALLEYWISE HEALTH MEDICAL CENTER (030022),2021,Acute Care,Government - Local,570.0,33.458525,-112.02643,AZ,,,30.0,18885.0,,,26.0,18901.0
95,FLAGSTAFF MEDICAL CENTER (030023),2021,Acute Care,Voluntary non-profit - Private,267.0,35.209534,-111.644835,AZ,164.0,26473.0,210.0,17941.0,471.0,19331.0,308.0,18525.0
96,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER (030024),2021,Acute Care,Voluntary non-profit - Church,560.0,33.480294,-112.079208,AZ,93.0,27543.0,128.0,18972.0,27.0,21557.0,287.0,20096.0
97,ABRAZO CENTRAL CAMPUS (030030),2021,Acute Care,Proprietary,186.0,33.524116,-112.101934,AZ,37.0,25952.0,56.0,19278.0,,,103.0,21017.0
98,CHANDLER REGIONAL MEDICAL CENTER (030036),2021,Acute Care,Voluntary non-profit - Other,318.0,33.298691,-111.873508,AZ,264.0,27993.0,416.0,20977.0,195.0,20234.0,839.0,22519.0
99,ST LUKE'S MEDICAL CENTER (030037),2021,Acute Care,Proprietary,209.0,33.451436,-112.042767,AZ,35.0,28471.0,33.0,18252.0,646.0,18590.0,39.0,19964.0
100,HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER (030038),2021,Acute Care,Proprietary,360.0,33.487639,-111.922725,AZ,123.0,24439.0,252.0,18136.0,381.0,20527.0,413.0,18924.0
101,CANYON VISTA MEDICAL CENTER (030043),2021,Acute Care,Voluntary non-profit - Other,92.0,31.554635,-110.230726,AZ,146.0,25362.0,167.0,19753.0,209.0,17691.0,275.0,19250.0
102,KINGMAN REGIONAL MEDICAL CENTER (030055),2021,Acute Care,Government - Hospital District or Authority,221.0,35.219907,-114.035813,AZ,187.0,28593.0,287.0,18117.0,116.0,21674.0,410.0,18055.0
103,BANNER BOSWELL MEDICAL CENTER (030061),2021,Acute Care,Voluntary non-profit - Other,508.0,33.604798,-112.282538,AZ,257.0,24433.0,504.0,18252.0,405.0,18438.0,830.0,19241.0
104,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER (030062),2021,Acute Care,Voluntary non-profit - Private,91.0,34.201967,-110.01839,AZ,90.0,29415.0,123.0,18171.0,223.0,20195.0,186.0,17065.0
105,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS (030064),2021,Acute Care,Voluntary non-profit - Private,511.0,32.242362,-110.944092,AZ,113.0,25609.0,207.0,17466.0,48.0,19651.0,279.0,20367.0
106,BANNER DESERT MEDICAL CENTER (030065),2021,Acute Care,Voluntary non-profit - Private,632.0,33.39091,-111.874624,AZ,167.0,25478.0,317.0,19880.0,82.0,20288.0,559.0,20842.0
107,MT. GRAHAM REGIONAL MEDICAL CENTER (030068),2021,Acute Care,Government - Hospital District or Authority,45.0,32.821883,-109.732994,AZ,,,,,75.0,20497.0,49.0,16598.0
108,HAVASU REGIONAL MEDICAL CENTER (030069),2021,Acute Care,Proprietary,169.0,34.47998,-114.338537,AZ,229.0,25724.0,312.0,16769.0,332.0,19727.0,296.0,18215.0
109,FORT DEFIANCE INDIAN HOSPITAL (030071),2021,Acute Care,Government - Federal,54.0,,,AZ,,,40.0,14900.0,,,110.0,12177.0
110,TUBA CITY REGIONAL HEALTH CARE CORPORATION (030073),2021,Acute Care,Voluntary non-profit - Other,73.0,,,AZ,,,,,68.0,17226.0,132.0,12758.0
111,ABRAZO SCOTTSDALE CAMPUS (030083),2021,Acute Care,Proprietary,129.0,33.640603,-111.997692,AZ,45.0,28173.0,69.0,18522.0,266.0,18067.0,133.0,21143.0
112,CHINLE COMPREHENSIVE HEALTH CARE FACILITY (030084),2021,Acute Care,Government - Federal,60.0,,,AZ,,,27.0,15150.0,,,69.0,12914.0
113,NORTHWEST MEDICAL CENTER (030085),2021,Acute Care,Proprietary,283.0,32.319581,-111.012054,AZ,157.0,27224.0,257.0,17548.0,530.0,18871.0,375.0,18260.0
114,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER (030087),2021,Acute Care,Proprietary,426.0,33.582467,-111.886032,AZ,196.0,27488.0,530.0,19336.0,1031.0,19195.0,746.0,19779.0
115,BANNER BAYWOOD MEDICAL CENTER (030088),2021,Acute Care,Voluntary non-profit - Private,340.0,33.410465,-111.688045,AZ,40.0,26807.0,370.0,18625.0,376.0,20313.0,810.0,19410.0
116,BANNER THUNDERBIRD MEDICAL CENTER (030089),2021,Acute Care,Government - Hospital District or Authority,566.0,33.610731,-112.178698,AZ,152.0,26043.0,325.0,19453.0,88.0,19954.0,513.0,22588.0
117,HONORHEALTH DEER VALLEY MEDICAL CENTER (030092),2021,Acute Care,Voluntary non-profit - Private,201.0,33.666425,-112.117188,AZ,117.0,27927.0,194.0,18861.0,337.0,19492.0,372.0,21047.0
118,BANNER DEL E. WEBB MEDICAL CENTER (030093),2021,Acute Care,Voluntary non-profit - Private,390.0,33.658307,-112.371939,AZ,272.0,24174.0,478.0,18943.0,505.0,18325.0,931.0,19207.0
119,ABRAZO ARROWHEAD HOSPITAL (030094),2021,Acute Care,Proprietary,244.0,33.655042,-112.202889,AZ,224.0,29473.0,310.0,19725.0,288.0,21750.0,305.0,19001.0
120,WESTERN ARIZONA REGIONAL MEDICAL CENTER (030101),2021,Acute Care,Proprietary,133.0,35.109853,-114.555146,AZ,156.0,26999.0,227.0,16823.0,46.0,21194.0,188.0,20603.0
121,MAYO CLINIC HOSPITAL (030103),2021,Acute Care,Voluntary non-profit - Private,277.0,33.663312,-111.955659,AZ,171.0,23134.0,618.0,16818.0,973.0,18854.0,739.0,18771.0
122,BANNER HEART HOSPITAL (030105),2021,Acute Care,Voluntary non-profit - Private,110.0,33.410378,-111.685273,AZ,436.0,25449.0,369.0,18746.0,,,33.0,21890.0
123,ARIZONA SPINE AND JOINT HOSPITAL (030107),2021,Acute Care,Proprietary,23.0,33.379206,-111.734695,AZ,,,,,840.0,17696.0,,
124,THE CORE INSTITUTE SPECIALTY HOSP (030108),2021,Acute Care,Proprietary,32.0,33.531837,-112.099614,AZ,,,,,812.0,18158.0,,
125,ABRAZO WEST CAMPUS (030110),2021,Acute Care,Proprietary,190.0,33.464283,-112.354024,AZ,143.0,28682.0,147.0,18258.0,42.0,20463.0,275.0,20407.0
126,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS (030111),2021,Acute Care,Voluntary non-profit - Private,207.0,32.177882,-110.930891,AZ,70.0,23257.0,60.0,17200.0,,,108.0,18604.0
127,ARIZONA ORTHOPEDIC AND SURGICAL SPECIALTY HOSPITAL (030112),2021,Acute Care,Proprietary,24.0,33.33484,-111.891133,AZ,,,,,531.0,22453.0,,
128,WHITERIVER PHS INDIAN HOSPITAL (030113),2021,Acute Care,Government - Federal,39.0,33.875976,-109.959528,AZ,,,,,,,36.0,17282.0
129,ORO VALLEY HOSPITAL (030114),2021,Acute Care,Proprietary,148.0,32.427183,-110.94954,AZ,105.0,28864.0,238.0,18823.0,750.0,17672.0,269.0,17185.0
130,BANNER ESTRELLA MEDICAL CENTER (030115),2021,Acute Care,Voluntary non-profit - Private,288.0,33.479558,-112.257936,AZ,91.0,26825.0,213.0,18401.0,72.0,19283.0,299.0,19304.0
131,VALLEY VIEW MEDICAL CENTER (030117),2021,Acute Care,Proprietary,82.0,35.002363,-114.597954,AZ,48.0,25266.0,96.0,16896.0,125.0,16867.0,113.0,15907.0
132,MERCY GILBERT MEDICAL CENTER (030119),2021,Acute Care,Voluntary non-profit - Church,202.0,33.286661,-111.755311,AZ,145.0,27863.0,262.0,19407.0,287.0,17652.0,547.0,21611.0
133,"MOUNTAIN VISTA MEDICAL CENTER, LP (030121)",2021,Acute Care,Proprietary,171.0,33.3911,-111.615329,AZ,183.0,26928.0,135.0,19322.0,200.0,18981.0,177.0,20771.0
134,BANNER GATEWAY MEDICAL CENTER (030122),2021,Acute Care,Voluntary non-profit - Other,170.0,33.384225,-111.719634,AZ,,,103.0,19003.0,,,337.0,20499.0
135,HONOR HEALTH THOMPSON PEAK MEDICAL CENTER (030123),2021,Acute Care,Proprietary,98.0,33.669777,-111.921803,AZ,127.0,23914.0,210.0,19321.0,965.0,18946.0,350.0,19629.0
136,BANNER IRONWOOD MEDICAL CENTER (030130),2021,Acute Care,Voluntary non-profit - Private,61.0,33.214839,-111.563447,AZ,,,74.0,16929.0,39.0,19627.0,129.0,18904.0
137,O.A.S.I.S. HOSPITAL (030131),2021,Acute Care,Voluntary non-profit - Private,64.0,33.45672,-111.99521,AZ,,,,,2378.0,18826.0,,
138,BANNER GOLDFIELD MEDICAL CENTER (030134),2021,Acute Care,Voluntary non-profit - Other,23.0,33.393343,-111.566796,AZ,,,34.0,17066.0,,,93.0,17465.0
139,SANTA CRUZ VALLEY REGIONAL HOSPITAL (030137),2021,Acute Care,Proprietary,49.0,31.807943,-111.010966,AZ,,,74.0,17760.0,,,139.0,16114.0
140,"NORTHERN COCHISE COMMUNITY HOSPITAL, INC. (031302)",2021,Critical Access,Government - Hospital District or Authority,39.0,32.264268,-109.837613,AZ,,,,,,,25.0,19114.0
141,HOPI HEALTH CARE CENTER (031305),2021,Critical Access,Tribal,6.0,,,AZ,,,,,,,25.0,15336.0
142,SAGE MEMORIAL HOSPITAL (031309),2021,Critical Access,Voluntary non-profit - Private,25.0,,,AZ,,,,,,,33.0,16907.0
143,LA PAZ REGIONAL HOSPITAL (031317),2021,Critical Access,Voluntary non-profit - Private,25.0,34.135137,-114.285597,AZ,,,26.0,18243.0,50.0,19415.0,57.0,18517.0
144,BANNER PAYSON MEDICAL CENTER (031318),2021,Critical Access,Voluntary non-profit - Other,25.0,34.231351,-111.321361,AZ,,,42.0,18808.0,,,66.0,19376.0
145,SILOAM SPRINGS REGIONAL HOSPITAL (040001),2021,Acute Care,Proprietary,46.0,36.190377,-94.509658,AR,,,38.0,17582.0,29.0,22626.0,77.0,18104.0
