,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Payment for heart attack patients (Denominator),Payment for heart attack patients (Payment),Payment for heart failure patients (Denominator),Payment for heart failure patients (Payment),Payment for hip/knee replacement patients (Denominator),Payment for hip/knee replacement patients (Payment),Payment for pneumonia patients (Denominator),Payment for pneumonia patients (Payment)
20,HUNTSVILLE HOSPITAL (010039),2017,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,995.0,22338.0,,16333.0,,21675.0,,16787.0
21,GADSDEN REGIONAL MEDICAL CENTER (010040),2017,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,181.0,21954.0,437.0,17144.0,363.0,25202.0,645.0,18074.0
22,MARION REGIONAL MEDICAL CENTER (010044),2017,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,,,38.0,15030.0,,,138.0,15457.0
23,FAYETTE MEDICAL CENTER (010045),2017,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,,,79.0,14143.0,,,129.0,14738.0
24,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2017,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,103.0,24336.0,306.0,15391.0,180.0,24384.0,368.0,18096.0
25,GEORGIANA MEDICAL CENTER (010047),2017,Acute Care,Proprietary,22.0,,,AL,,,,,,,94.0,13791.0
26,MEDICAL CENTER ENTERPRISE (010049),2017,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,,,113.0,14599.0,224.0,22829.0,171.0,15003.0
27,GREENE COUNTY HOSPITAL (010051),2017,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL,,,35.0,14241.0,,,25.0,15673.0
28,LAKE MARTIN COMMUNITY HOSPITAL (010052),2017,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,,,25.0,14236.0,,,124.0,13438.0
29,FLOWERS HOSPITAL (010055),2017,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,307.0,21570.0,435.0,15286.0,495.0,25398.0,523.0,16588.0
30,ST VINCENT'S BIRMINGHAM (010056),2017,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,241.0,23104.0,399.0,16878.0,,22707.0,689.0,17036.0
31,BIBB MEDICAL CENTER (010058),2017,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,,,29.0,15375.0,,,94.0,14321.0
32,LAWRENCE MEDICAL CENTER (010059),2017,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,,,42.0,15423.0,,,134.0,16828.0
33,HIGHLANDS MEDICAL CENTER (010061),2017,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,,,122.0,14369.0,49.0,24717.0,287.0,14465.0
34,WIREGRASS MEDICAL CENTER (010062),2017,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,,,83.0,13832.0,,,151.0,14818.0
35,RUSSELL HOSPITAL (010065),2017,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,68.0,23486.0,198.0,17238.0,106.0,25803.0,288.0,19034.0
36,MEDICAL CENTER BARBOUR (010069),2017,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,,,70.0,13962.0,,,94.0,13055.0
37,CLAY COUNTY HOSPITAL (010073),2017,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,,,57.0,13766.0,,,106.0,14683.0
38,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER (010078),2017,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,351.0,24704.0,537.0,14993.0,384.0,24259.0,518.0,16599.0
39,ATHENS LIMESTONE HOSPITAL (010079),2017,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,,,171.0,14822.0,203.0,23114.0,294.0,15634.0
40,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2017,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,130.0,23761.0,318.0,15437.0,185.0,21267.0,291.0,14807.0
41,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS (010085),2017,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,107.0,22493.0,576.0,14544.0,434.0,22797.0,725.0,15670.0
42,NORTHWEST MEDICAL CENTER (010086),2017,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,,,92.0,14481.0,,,233.0,14090.0
43,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER (010087),2017,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,,,27.0,15200.0,,,27.0,17200.0
44,WALKER BAPTIST MEDICAL CENTER (010089),2017,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,61.0,24201.0,164.0,15779.0,253.0,21506.0,323.0,15862.0
45,PROVIDENCE HOSPITAL (010090),2017,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,242.0,24776.0,508.0,14836.0,474.0,22906.0,588.0,16318.0
46,GROVE HILL MEMORIAL HOSPITAL (010091),2017,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,,,54.0,16043.0,,,59.0,14967.0
47,D C H REGIONAL MEDICAL CENTER (010092),2017,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,471.0,23240.0,923.0,16352.0,775.0,24909.0,,16608.0
48,HALE COUNTY HOSPITAL (010095),2017,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,,,,,,,58.0,16744.0
49,ELMORE COMMUNITY HOSPITAL (010097),2017,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,,,33.0,14875.0,,,52.0,14705.0
50,D W MCMILLAN MEMORIAL HOSPITAL (010099),2017,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,25.0,23097.0,87.0,15391.0,,,202.0,16120.0
51,THOMAS HOSPITAL (010100),2017,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,165.0,22501.0,291.0,16517.0,583.0,20178.0,349.0,16117.0
52,CITIZENS BAPTIST MEDICAL CENTER (010101),2017,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,,,76.0,14951.0,,,95.0,17445.0
53,J PAUL JONES HOSPITAL (010102),2017,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL,,,,,,,46.0,14309.0
54,PRINCETON BAPTIST MEDICAL CENTER (010103),2017,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,217.0,23706.0,346.0,16982.0,269.0,24552.0,337.0,17605.0
55,GRANDVIEW MEDICAL CENTER (010104),2017,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,189.0,20624.0,290.0,16908.0,508.0,20921.0,257.0,19086.0
56,PRATTVILLE BAPTIST HOSPITAL (010108),2017,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,45.0,26452.0,143.0,14785.0,,,223.0,16714.0
57,PICKENS COUNTY MEDICAL CENTER (010109),2017,Acute Care,Government - Hospital District or Authority,49.0,33.274807,-88.089673,AL,,,41.0,14169.0,,,87.0,14333.0
58,BULLOCK COUNTY HOSPITAL (010110),2017,Acute Care,Proprietary,54.0,32.146182,-85.71638,AL,,,,,,,28.0,14452.0
59,BRYAN W. WHITFIELD MEMORIAL HOSPITAL (010112),2017,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,,,72.0,15298.0,,,106.0,15987.0
60,MOBILE INFIRMARY MEDICAL CENTER (010113),2017,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,230.0,22833.0,629.0,16884.0,613.0,22943.0,761.0,17401.0
61,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2017,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,56.0,21844.0,138.0,15521.0,53.0,23351.0,281.0,17354.0
62,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2017,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,85.0,23872.0,246.0,14843.0,,,212.0,16052.0
63,MONROE COUNTY HOSPITAL (010120),2017,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,,,81.0,14264.0,,,152.0,16158.0
64,LAKELAND COMMUNITY HOSPITAL (010125),2017,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,,,54.0,14662.0,,,548.0,13412.0
65,TROY REGIONAL MEDICAL CENTER (010126),2017,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,,,80.0,14702.0,,,113.0,16012.0
66,JACKSON MEDICAL CENTER (010128),2017,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,,,27.0,15878.0,,,49.0,13763.0
67,NORTH BALDWIN INFIRMARY (010129),2017,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,,,46.0,13243.0,,,97.0,14599.0
68,ST VINCENT'S ST CLAIR (010130),2017,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,,,102.0,14745.0,,,296.0,13871.0
69,CRESTWOOD MEDICAL CENTER (010131),2017,Acute Care,Proprietary,163.0,,,AL,204.0,20001.0,362.0,15431.0,775.0,22499.0,509.0,15250.0
70,BROOKWOOD MEDICAL CENTER (010139),2017,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,291.0,23057.0,408.0,15513.0,804.0,21689.0,491.0,16721.0
71,SPRINGHILL MEMORIAL HOSPITAL (010144),2017,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,154.0,21688.0,388.0,16564.0,228.0,23242.0,373.0,17214.0
72,RMC JACKSONVILLE (010146),2017,Acute Care,Proprietary,65.0,,,AL,,,25.0,16129.0,,,78.0,16142.0
73,EVERGREEN MEDICAL CENTER (010148),2017,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,,,111.0,13339.0,,,125.0,15559.0
74,BAPTIST MEDICAL CENTER EAST (010149),2017,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,63.0,24982.0,268.0,15315.0,,,307.0,15871.0
75,L V STABLER MEMORIAL HOSPITAL (010150),2017,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,,,83.0,14650.0,35.0,20139.0,71.0,16483.0
76,SHOALS HOSPITAL (010157),2017,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,,,68.0,15372.0,55.0,25445.0,166.0,15129.0
77,RUSSELLVILLE HOSPITAL (010158),2017,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,,,68.0,14921.0,37.0,22916.0,222.0,15006.0
78,COOSA VALLEY MEDICAL CENTER (010164),2017,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,46.0,22460.0,106.0,16530.0,66.0,25472.0,263.0,15803.0
79,JACK HUGHSTON MEMORIAL HOSPITAL (010168),2017,Acute Care,Government - State,52.0,32.509045,-85.005696,AL,,,,,,21235.0,,
80,ATMORE COMMUNITY HOSPITAL (010169),2017,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,,,152.0,14613.0,,,119.0,16419.0
81,RED BAY HOSPITAL (011302),2017,Critical Access,Government - Hospital District or Authority,25.0,34.457425,-88.146934,AL,,,,,,,29.0,18229.0
82,CHOCTAW GENERAL HOSPITAL (011304),2017,Critical Access,Voluntary non-profit - Private,25.0,,,AL,,,,,,,26.0,16652.0
83,ST VINCENTS BLOUNT (011305),2017,Critical Access,Voluntary non-profit - Private,25.0,33.932537,-86.493059,AL,,,53.0,18900.0,,,90.0,18839.0
84,PROVIDENCE ALASKA MEDICAL CENTER (020001),2017,Acute Care,Voluntary non-profit - Church,394.0,61.189798,-149.817622,AK,346.0,23995.0,355.0,14785.0,534.0,19359.0,376.0,13900.0
85,MAT-SU REGIONAL MEDICAL CENTER (020006),2017,Acute Care,Voluntary non-profit - Private,90.0,61.561217,-149.258718,AK,69.0,21051.0,111.0,13508.0,105.0,18385.0,284.0,13829.0
86,BARTLETT REGIONAL HOSPITAL (020008),2017,Acute Care,Government - Local,58.0,58.328696,-134.466829,AK,,,46.0,15919.0,84.0,17638.0,68.0,12951.0
87,FAIRBANKS MEMORIAL HOSPITAL (020012),2017,Acute Care,Voluntary non-profit - Other,213.0,64.831407,-147.736254,AK,116.0,24985.0,82.0,12490.0,154.0,17067.0,120.0,13690.0
88,ALASKA REGIONAL HOSPITAL (020017),2017,Acute Care,Proprietary,169.0,61.20979,-149.827379,AK,114.0,23295.0,93.0,15901.0,565.0,18234.0,120.0,17218.0
89,YUKON KUSKOKWIM DELTA REG HOSPITAL (020018),2017,Acute Care,Tribal,34.0,,,AK,,,27.0,14775.0,,,89.0,11768.0
90,CENTRAL PENINSULA GENERAL HOSPITAL (020024),2017,Acute Care,Voluntary non-profit - Other,186.0,60.493865,-151.077658,AK,,,90.0,13922.0,153.0,19910.0,174.0,15056.0
91,ALASKA NATIVE MEDICAL CENTER (020026),2017,Acute Care,Government - Federal,163.0,61.18189,-149.800578,AK,51.0,23754.0,71.0,13472.0,95.0,17708.0,205.0,13909.0
92,PROVIDENCE KODIAK ISLAND MEDICAL CTR (021306),2017,Critical Access,Voluntary non-profit - Church,46.0,57.800835,-152.373943,AK,,,,,,,29.0,18395.0
93,PEACEHEALTH KETCHIKAN MEDICAL CENTER (021311),2017,Critical Access,Voluntary non-profit - Church,51.0,55.352717,-131.686049,AK,,,,,34.0,19825.0,77.0,12766.0
94,SOUTH PENINSULA HOSPITAL (021313),2017,Critical Access,Voluntary non-profit - Private,49.0,59.652133,-151.550296,AK,,,,,,,56.0,14735.0
95,ABRAZO MARYVALE CAMPUS (030001),2017,Acute Care,Proprietary,231.0,,,AZ,,,,,,,46.0,17218.0
96,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX (030002),2017,Acute Care,Voluntary non-profit - Other,706.0,33.465724,-112.058127,AZ,201.0,25476.0,263.0,19760.0,189.0,20534.0,239.0,19796.0
97,TUCSON MEDICAL CENTER (030006),2017,Acute Care,Voluntary non-profit - Private,520.0,32.250749,-110.880169,AZ,302.0,23406.0,495.0,17492.0,,19827.0,531.0,19879.0
98,VERDE VALLEY MEDICAL CENTER (030007),2017,Acute Care,Voluntary non-profit - Private,102.0,34.736201,-112.031784,AZ,126.0,22531.0,164.0,16694.0,227.0,19408.0,309.0,17708.0
99,ST. MARY'S HOSPITAL (030010),2017,Acute Care,Voluntary non-profit - Private,398.0,32.228923,-111.000032,AZ,153.0,22640.0,155.0,15095.0,48.0,23255.0,247.0,16958.0
100,ST JOSEPH'S HOSPITAL (030011),2017,Acute Care,Voluntary non-profit - Other,474.0,32.225946,-110.857838,AZ,231.0,22619.0,241.0,17014.0,495.0,22120.0,494.0,18273.0
101,YAVAPAI REGIONAL MEDICAL CENTER (030012),2017,Acute Care,Government - Local,179.0,34.55938,-112.482065,AZ,379.0,23927.0,217.0,17186.0,269.0,22655.0,439.0,16506.0
102,YUMA REGIONAL MEDICAL CENTER (030013),2017,Acute Care,Voluntary non-profit - Private,397.0,32.683899,-114.633238,AZ,598.0,23744.0,567.0,16835.0,710.0,23056.0,,17981.0
103,JOHN C. LINCOLN MEDICAL CENTER (030014),2017,Acute Care,Voluntary non-profit - Private,258.0,33.567754,-112.07063,AZ,126.0,23817.0,237.0,18206.0,271.0,24317.0,512.0,19632.0
104,BANNER CASA GRANDE MEDICAL CENTER (030016),2017,Acute Care,Voluntary non-profit - Other,156.0,32.879608,-111.709253,AZ,122.0,24380.0,135.0,17929.0,225.0,22480.0,363.0,17868.0
105,MARICOPA MEDICAL CENTER (030022),2017,Acute Care,Government - Local,570.0,33.458525,-112.02643,AZ,,,25.0,16002.0,,,32.0,16314.0
106,FLAGSTAFF MEDICAL CENTER (030023),2017,Acute Care,Voluntary non-profit - Private,267.0,35.209534,-111.644835,AZ,186.0,23174.0,201.0,16297.0,729.0,18758.0,374.0,16659.0
107,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER (030024),2017,Acute Care,Voluntary non-profit - Church,560.0,33.480294,-112.079208,AZ,109.0,25976.0,132.0,16767.0,28.0,22392.0,246.0,18982.0
108,ABRAZO CENTRAL CAMPUS (030030),2017,Acute Care,Proprietary,186.0,33.524116,-112.101934,AZ,110.0,25126.0,126.0,18070.0,73.0,22641.0,135.0,17827.0
109,BANNER PAYSON MEDICAL CENTER (030033),2017,Acute Care,Voluntary non-profit - Other,36.0,,,AZ,62.0,23683.0,99.0,16714.0,123.0,21404.0,147.0,18562.0
110,CHANDLER REGIONAL MEDICAL CENTER (030036),2017,Acute Care,Voluntary non-profit - Other,318.0,33.298691,-111.873508,AZ,259.0,23039.0,318.0,18108.0,232.0,20383.0,674.0,18565.0
111,ST LUKE'S MEDICAL CENTER (030037),2017,Acute Care,Proprietary,209.0,33.451436,-112.042767,AZ,76.0,26197.0,55.0,18034.0,751.0,20006.0,51.0,20390.0
112,SCOTTSDALE OSBORN MEDICAL CENTER (030038),2017,Acute Care,Proprietary,360.0,33.487639,-111.922725,AZ,134.0,23919.0,312.0,16869.0,574.0,19894.0,547.0,17686.0
113,CANYON VISTA MEDICAL CENTER (030043),2017,Acute Care,Voluntary non-profit - Other,92.0,31.554635,-110.230726,AZ,192.0,21526.0,167.0,15744.0,100.0,22381.0,276.0,17282.0
114,KINGMAN REGIONAL MEDICAL CENTER (030055),2017,Acute Care,Government - Hospital District or Authority,221.0,35.219907,-114.035813,AZ,205.0,25006.0,323.0,15500.0,111.0,21751.0,524.0,14696.0
115,BANNER BOSWELL MEDICAL CENTER (030061),2017,Acute Care,Voluntary non-profit - Other,508.0,33.604798,-112.282538,AZ,332.0,22246.0,484.0,16731.0,,19591.0,897.0,17829.0
116,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER (030062),2017,Acute Care,Voluntary non-profit - Private,91.0,34.201967,-110.01839,AZ,122.0,25856.0,107.0,14772.0,230.0,20878.0,231.0,17179.0
117,BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS (030064),2017,Acute Care,Voluntary non-profit - Private,511.0,32.242362,-110.944092,AZ,190.0,22977.0,235.0,15271.0,172.0,19526.0,375.0,16892.0
118,BANNER DESERT MEDICAL CENTER (030065),2017,Acute Care,Voluntary non-profit - Private,632.0,33.39091,-111.874624,AZ,234.0,23452.0,300.0,18270.0,324.0,20624.0,616.0,18926.0
119,MT. GRAHAM REGIONAL MEDICAL CENTER (030068),2017,Acute Care,Government - Hospital District or Authority,45.0,32.821883,-109.732994,AZ,,,,,87.0,19351.0,103.0,15686.0
120,HAVASU REGIONAL MEDICAL CENTER (030069),2017,Acute Care,Proprietary,169.0,34.47998,-114.338537,AZ,249.0,21926.0,367.0,14754.0,585.0,18882.0,466.0,15564.0
121,FORT DEFIANCE INDIAN HOSPITAL (030071),2017,Acute Care,Government - Federal,54.0,,,AZ,,,,,,,120.0,11312.0
122,TUBA CITY REGIONAL HEALTH CARE CORPORATION (030073),2017,Acute Care,Voluntary non-profit - Other,73.0,,,AZ,,,38.0,13139.0,108.0,17689.0,123.0,12186.0
123,ABRAZO SCOTTSDALE CAMPUS (030083),2017,Acute Care,Proprietary,129.0,33.640603,-111.997692,AZ,55.0,24602.0,69.0,16588.0,32.0,23581.0,124.0,17580.0
124,CHINLE COMPREHENSIVE HEALTH CARE FACILITY (030084),2017,Acute Care,Government - Federal,60.0,,,AZ,,,,,,,93.0,10778.0
125,NORTHWEST MEDICAL CENTER (030085),2017,Acute Care,Proprietary,283.0,32.319581,-111.012054,AZ,163.0,20490.0,286.0,17056.0,,20024.0,513.0,17473.0
126,SCOTTSDALE SHEA MEDICAL CENTER (030087),2017,Acute Care,Proprietary,426.0,33.582467,-111.886032,AZ,281.0,23053.0,527.0,18810.0,941.0,22888.0,877.0,17577.0
127,BANNER BAYWOOD MEDICAL CENTER (030088),2017,Acute Care,Voluntary non-profit - Private,340.0,33.410465,-111.688045,AZ,51.0,22676.0,379.0,18311.0,595.0,22347.0,,17715.0
128,BANNER THUNDERBIRD MEDICAL CENTER (030089),2017,Acute Care,Government - Hospital District or Authority,566.0,33.610731,-112.178698,AZ,222.0,22790.0,242.0,17759.0,166.0,20030.0,594.0,18978.0
129,HONORHEALTH DEER VALLEY MEDICAL CENTER (030092),2017,Acute Care,Voluntary non-profit - Private,201.0,33.666425,-112.117188,AZ,149.0,24304.0,191.0,18852.0,330.0,22310.0,466.0,19003.0
130,BANNER DEL E. WEBB MEDICAL CENTER (030093),2017,Acute Care,Voluntary non-profit - Private,390.0,33.658307,-112.371939,AZ,374.0,21985.0,399.0,15990.0,704.0,19623.0,773.0,18559.0
131,ABRAZO ARROWHEAD CAMPUS (030094),2017,Acute Care,Proprietary,244.0,33.655042,-112.202889,AZ,157.0,25535.0,175.0,18578.0,558.0,21542.0,298.0,17288.0
132,WESTERN ARIZONA REGIONAL MEDICAL CENTER (030101),2017,Acute Care,Proprietary,133.0,35.109853,-114.555146,AZ,229.0,25780.0,286.0,15439.0,305.0,18127.0,248.0,15904.0
133,MAYO CLINIC HOSPITAL (030103),2017,Acute Care,Voluntary non-profit - Private,277.0,33.663312,-111.955659,AZ,217.0,19890.0,510.0,15815.0,,20244.0,786.0,16483.0
134,BANNER HEART HOSPITAL (030105),2017,Acute Care,Voluntary non-profit - Private,110.0,33.410378,-111.685273,AZ,569.0,22789.0,507.0,18220.0,,,37.0,17580.0
135,ARIZONA SPINE AND JOINT HOSPITAL (030107),2017,Acute Care,Proprietary,23.0,33.379206,-111.734695,AZ,,,,,678.0,20456.0,,
136,"CORE INSTITUTE SPECIALTY HOSPITAL, THE (030108)",2017,Acute Care,Proprietary,32.0,33.531837,-112.099614,AZ,,,,,190.0,19174.0,,
137,ABRAZO WEST CAMPUS (030110),2017,Acute Care,Proprietary,190.0,33.464283,-112.354024,AZ,128.0,24542.0,127.0,17492.0,,,276.0,17815.0
138,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS (030111),2017,Acute Care,Voluntary non-profit - Private,207.0,32.177882,-110.930891,AZ,102.0,23965.0,77.0,16776.0,,,126.0,17414.0
139,ARIZONA SPECIALTY HOSPITAL (030112),2017,Acute Care,Proprietary,24.0,33.33484,-111.891133,AZ,,,,,434.0,24145.0,,
140,WHITERIVER PHS INDIAN HOSPITAL (030113),2017,Acute Care,Government - Federal,39.0,33.875976,-109.959528,AZ,,,,,,,54.0,14989.0
141,ORO VALLEY HOSPITAL (030114),2017,Acute Care,Proprietary,148.0,32.427183,-110.94954,AZ,124.0,23014.0,202.0,14322.0,911.0,18710.0,324.0,15579.0
142,BANNER ESTRELLA MEDICAL CENTER (030115),2017,Acute Care,Voluntary non-profit - Private,288.0,33.479558,-112.257936,AZ,119.0,21983.0,159.0,14997.0,115.0,19398.0,321.0,17435.0
143,VALLEY VIEW MEDICAL CENTER (030117),2017,Acute Care,Proprietary,82.0,35.002363,-114.597954,AZ,61.0,19971.0,146.0,15419.0,129.0,17171.0,134.0,17440.0
144,MERCY GILBERT MEDICAL CENTER (030119),2017,Acute Care,Voluntary non-profit - Church,202.0,33.286661,-111.755311,AZ,117.0,23393.0,217.0,19265.0,323.0,20891.0,573.0,18895.0
145,GILBERT HOSPITAL (030120),2017,Acute Care,Proprietary,19.0,,,AZ,,,,,,,43.0,19775.0
146,"MOUNTAIN VISTA MEDICAL CENTER, LP (030121)",2017,Acute Care,Proprietary,171.0,33.3911,-111.615329,AZ,209.0,25803.0,137.0,19376.0,264.0,22036.0,309.0,21487.0
