,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Payment for heart attack patients (Denominator),Payment for heart attack patients (Payment),Payment for heart failure patients (Denominator),Payment for heart failure patients (Payment),Payment for hip/knee replacement patients (Denominator),Payment for hip/knee replacement patients (Payment),Payment for pneumonia patients (Denominator),Payment for pneumonia patients (Payment)
35,CULLMAN REGIONAL MEDICAL CENTER (010035),2018,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,125.0,23153.0,519.0,16272.0,317.0,21359.0,550.0,17412.0
36,ANDALUSIA HEALTH (010036),2018,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,41.0,22544.0,142.0,14805.0,112.0,21991.0,310.0,16213.0
37,ANDALUSIA HEALTH (010036),2018,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,41.0,22544.0,142.0,14805.0,112.0,21991.0,310.0,16213.0
38,STRINGFELLOW MEMORIAL HOSPITAL (010038),2018,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,82.0,23828.0,124.0,16970.0,50.0,24326.0,149.0,16430.0
39,STRINGFELLOW MEMORIAL HOSPITAL (010038),2018,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,82.0,23828.0,124.0,16970.0,50.0,24326.0,149.0,16430.0
40,HUNTSVILLE HOSPITAL (010039),2018,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,985.0,22856.0,,16354.0,,20481.0,,16944.0
41,HUNTSVILLE HOSPITAL (010039),2018,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,985.0,22856.0,,16354.0,,20481.0,,16944.0
42,GADSDEN REGIONAL MEDICAL CENTER (010040),2018,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,219.0,23546.0,411.0,18316.0,413.0,24922.0,565.0,18481.0
43,GADSDEN REGIONAL MEDICAL CENTER (010040),2018,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,219.0,23546.0,411.0,18316.0,413.0,24922.0,565.0,18481.0
44,MARION REGIONAL MEDICAL CENTER (010044),2018,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,,,45.0,15443.0,,,150.0,15495.0
45,MARION REGIONAL MEDICAL CENTER (010044),2018,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,,,45.0,15443.0,,,150.0,15495.0
46,FAYETTE MEDICAL CENTER (010045),2018,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,,,72.0,15135.0,,,119.0,14739.0
47,FAYETTE MEDICAL CENTER (010045),2018,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,,,72.0,15135.0,,,119.0,14739.0
48,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2018,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,104.0,24160.0,322.0,16413.0,127.0,24074.0,388.0,19943.0
49,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2018,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,104.0,24160.0,322.0,16413.0,127.0,24074.0,388.0,19943.0
50,GEORGIANA MEDICAL CENTER (010047),2018,Acute Care,Proprietary,22.0,,,AL,,,27.0,14180.0,,,91.0,13727.0
51,GEORGIANA MEDICAL CENTER (010047),2018,Acute Care,Proprietary,22.0,,,AL,,,27.0,14180.0,,,91.0,13727.0
52,MEDICAL CENTER ENTERPRISE (010049),2018,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,,,112.0,15247.0,230.0,22411.0,160.0,16064.0
53,MEDICAL CENTER ENTERPRISE (010049),2018,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,,,112.0,15247.0,230.0,22411.0,160.0,16064.0
54,LAKE MARTIN COMMUNITY HOSPITAL (010052),2018,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,,,,,,,126.0,14323.0
55,LAKE MARTIN COMMUNITY HOSPITAL (010052),2018,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,,,,,,,126.0,14323.0
56,FLOWERS HOSPITAL (010055),2018,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,294.0,21779.0,446.0,16007.0,462.0,24056.0,537.0,16796.0
57,FLOWERS HOSPITAL (010055),2018,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,294.0,21779.0,446.0,16007.0,462.0,24056.0,537.0,16796.0
58,ST VINCENT'S BIRMINGHAM (010056),2018,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,211.0,24141.0,418.0,17434.0,,22149.0,644.0,17394.0
59,ST VINCENT'S BIRMINGHAM (010056),2018,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,211.0,24141.0,418.0,17434.0,,22149.0,644.0,17394.0
60,BIBB MEDICAL CENTER (010058),2018,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,,,26.0,17905.0,,,85.0,14310.0
61,BIBB MEDICAL CENTER (010058),2018,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,,,26.0,17905.0,,,85.0,14310.0
62,LAWRENCE MEDICAL CENTER (010059),2018,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,,,44.0,15996.0,,,104.0,16653.0
63,LAWRENCE MEDICAL CENTER (010059),2018,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,,,44.0,15996.0,,,104.0,16653.0
64,HIGHLANDS MEDICAL CENTER (010061),2018,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,,,107.0,14855.0,42.0,24701.0,244.0,14509.0
65,HIGHLANDS MEDICAL CENTER (010061),2018,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,,,107.0,14855.0,42.0,24701.0,244.0,14509.0
66,WIREGRASS MEDICAL CENTER (010062),2018,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,,,85.0,14275.0,,,154.0,14978.0
67,WIREGRASS MEDICAL CENTER (010062),2018,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,,,85.0,14275.0,,,154.0,14978.0
68,RUSSELL MEDICAL CENTER (010065),2018,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,66.0,23992.0,190.0,17752.0,100.0,25474.0,266.0,18443.0
69,RUSSELL MEDICAL CENTER (010065),2018,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,66.0,23992.0,190.0,17752.0,100.0,25474.0,266.0,18443.0
70,MEDICAL CENTER BARBOUR (010069),2018,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,,,59.0,14841.0,,,99.0,12835.0
71,MEDICAL CENTER BARBOUR (010069),2018,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,,,59.0,14841.0,,,99.0,12835.0
72,CLAY COUNTY HOSPITAL (010073),2018,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,,,50.0,15322.0,,,100.0,16250.0
73,CLAY COUNTY HOSPITAL (010073),2018,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,,,50.0,15322.0,,,100.0,16250.0
74,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER (010078),2018,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,374.0,23858.0,494.0,15430.0,385.0,23461.0,504.0,16757.0
75,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER (010078),2018,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,374.0,23858.0,494.0,15430.0,385.0,23461.0,504.0,16757.0
76,ATHENS LIMESTONE HOSPITAL (010079),2018,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,,,180.0,14669.0,211.0,23318.0,262.0,15876.0
77,ATHENS LIMESTONE HOSPITAL (010079),2018,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,,,180.0,14669.0,211.0,23318.0,262.0,15876.0
78,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2018,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,152.0,23186.0,310.0,16286.0,183.0,20144.0,318.0,15260.0
79,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2018,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,152.0,23186.0,310.0,16286.0,183.0,20144.0,318.0,15260.0
80,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS (010085),2018,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,96.0,23363.0,566.0,14948.0,449.0,22371.0,647.0,16006.0
81,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS (010085),2018,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,96.0,23363.0,566.0,14948.0,449.0,22371.0,647.0,16006.0
82,NORTHWEST MEDICAL CENTER (010086),2018,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,,,89.0,15243.0,,,212.0,15457.0
83,NORTHWEST MEDICAL CENTER (010086),2018,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,,,89.0,15243.0,,,212.0,15457.0
84,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER (010087),2018,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,,,35.0,15601.0,,,32.0,18856.0
85,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER (010087),2018,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,,,35.0,15601.0,,,32.0,18856.0
86,WALKER BAPTIST MEDICAL CENTER (010089),2018,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,40.0,25214.0,169.0,15422.0,257.0,20826.0,307.0,16503.0
87,WALKER BAPTIST MEDICAL CENTER (010089),2018,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,40.0,25214.0,169.0,15422.0,257.0,20826.0,307.0,16503.0
88,PROVIDENCE HOSPITAL (010090),2018,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,240.0,25291.0,488.0,15325.0,448.0,21711.0,557.0,16398.0
89,PROVIDENCE HOSPITAL (010090),2018,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,240.0,25291.0,488.0,15325.0,448.0,21711.0,557.0,16398.0
90,GROVE HILL MEMORIAL HOSPITAL (010091),2018,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,,,48.0,15998.0,,,53.0,16240.0
91,GROVE HILL MEMORIAL HOSPITAL (010091),2018,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,,,48.0,15998.0,,,53.0,16240.0
92,D C H REGIONAL MEDICAL CENTER (010092),2018,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,493.0,23789.0,935.0,17324.0,770.0,24121.0,,17067.0
93,D C H REGIONAL MEDICAL CENTER (010092),2018,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,493.0,23789.0,935.0,17324.0,770.0,24121.0,,17067.0
94,HALE COUNTY HOSPITAL (010095),2018,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,,,25.0,16332.0,,,58.0,15713.0
95,HALE COUNTY HOSPITAL (010095),2018,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,,,25.0,16332.0,,,58.0,15713.0
96,ELMORE COMMUNITY HOSPITAL (010097),2018,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,,,37.0,14216.0,,,51.0,13707.0
97,ELMORE COMMUNITY HOSPITAL (010097),2018,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,,,37.0,14216.0,,,51.0,13707.0
98,D W MCMILLAN MEMORIAL HOSPITAL (010099),2018,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,25.0,23399.0,90.0,15482.0,,,192.0,16410.0
99,D W MCMILLAN MEMORIAL HOSPITAL (010099),2018,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,25.0,23399.0,90.0,15482.0,,,192.0,16410.0
100,THOMAS HOSPITAL (010100),2018,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,166.0,22488.0,284.0,16982.0,582.0,19567.0,359.0,16982.0
101,THOMAS HOSPITAL (010100),2018,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,166.0,22488.0,284.0,16982.0,582.0,19567.0,359.0,16982.0
102,CITIZENS BAPTIST MEDICAL CENTER (010101),2018,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,,,72.0,15057.0,,,89.0,16717.0
103,CITIZENS BAPTIST MEDICAL CENTER (010101),2018,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,,,72.0,15057.0,,,89.0,16717.0
104,J PAUL JONES HOSPITAL (010102),2018,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL,,,,,,,38.0,15309.0
105,J PAUL JONES HOSPITAL (010102),2018,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL,,,,,,,38.0,15309.0
106,PRINCETON BAPTIST MEDICAL CENTER (010103),2018,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,222.0,24603.0,341.0,16831.0,245.0,24707.0,299.0,18449.0
107,PRINCETON BAPTIST MEDICAL CENTER (010103),2018,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,222.0,24603.0,341.0,16831.0,245.0,24707.0,299.0,18449.0
108,GRANDVIEW MEDICAL CENTER (010104),2018,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,191.0,22177.0,369.0,17573.0,691.0,20816.0,311.0,19014.0
109,GRANDVIEW MEDICAL CENTER (010104),2018,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,191.0,22177.0,369.0,17573.0,691.0,20816.0,311.0,19014.0
110,PRATTVILLE BAPTIST HOSPITAL (010108),2018,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,52.0,26147.0,167.0,16251.0,,,245.0,16593.0
111,PRATTVILLE BAPTIST HOSPITAL (010108),2018,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,52.0,26147.0,167.0,16251.0,,,245.0,16593.0
112,PICKENS COUNTY MEDICAL CENTER (010109),2018,Acute Care,Government - Hospital District or Authority,49.0,33.274807,-88.089673,AL,,,30.0,15794.0,,,74.0,13761.0
113,PICKENS COUNTY MEDICAL CENTER (010109),2018,Acute Care,Government - Hospital District or Authority,49.0,33.274807,-88.089673,AL,,,30.0,15794.0,,,74.0,13761.0
114,BRYAN W. WHITFIELD MEMORIAL HOSPITAL (010112),2018,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,,,66.0,16744.0,,,93.0,17312.0
115,BRYAN W. WHITFIELD MEMORIAL HOSPITAL (010112),2018,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,,,66.0,16744.0,,,93.0,17312.0
116,MOBILE INFIRMARY MEDICAL CENTER (010113),2018,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,228.0,22788.0,635.0,17664.0,608.0,21994.0,678.0,18321.0
117,MOBILE INFIRMARY MEDICAL CENTER (010113),2018,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,228.0,22788.0,635.0,17664.0,608.0,21994.0,678.0,18321.0
118,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2018,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,53.0,23781.0,135.0,15513.0,46.0,21698.0,279.0,17445.0
119,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2018,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,53.0,23781.0,135.0,15513.0,46.0,21698.0,279.0,17445.0
120,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2018,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,74.0,22320.0,209.0,15207.0,,,206.0,17052.0
121,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2018,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,74.0,22320.0,209.0,15207.0,,,206.0,17052.0
122,MONROE COUNTY HOSPITAL (010120),2018,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,,,82.0,15627.0,,,140.0,16555.0
123,MONROE COUNTY HOSPITAL (010120),2018,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,,,82.0,15627.0,,,140.0,16555.0
124,LAKELAND COMMUNITY HOSPITAL (010125),2018,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,,,41.0,15667.0,,,572.0,13709.0
125,LAKELAND COMMUNITY HOSPITAL (010125),2018,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,,,41.0,15667.0,,,572.0,13709.0
126,TROY REGIONAL MEDICAL CENTER (010126),2018,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,,,81.0,15017.0,,,108.0,15713.0
127,TROY REGIONAL MEDICAL CENTER (010126),2018,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,,,81.0,15017.0,,,108.0,15713.0
128,JACKSON MEDICAL CENTER (010128),2018,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,,,30.0,16609.0,,,67.0,15475.0
129,JACKSON MEDICAL CENTER (010128),2018,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,,,30.0,16609.0,,,67.0,15475.0
130,NORTH BALDWIN INFIRMARY (010129),2018,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,,,43.0,13737.0,,,83.0,15115.0
131,NORTH BALDWIN INFIRMARY (010129),2018,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,,,43.0,13737.0,,,83.0,15115.0
132,ST VINCENT'S ST CLAIR (010130),2018,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,,,100.0,15483.0,,,293.0,15561.0
133,ST VINCENT'S ST CLAIR (010130),2018,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,,,100.0,15483.0,,,293.0,15561.0
134,CRESTWOOD MEDICAL CENTER (010131),2018,Acute Care,Proprietary,163.0,,,AL,200.0,21174.0,341.0,15663.0,824.0,21520.0,545.0,15210.0
135,CRESTWOOD MEDICAL CENTER (010131),2018,Acute Care,Proprietary,163.0,,,AL,200.0,21174.0,341.0,15663.0,824.0,21520.0,545.0,15210.0
136,BROOKWOOD BAPTIST MEDICAL CENTER (010139),2018,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,269.0,23022.0,374.0,16362.0,799.0,21806.0,445.0,16574.0
137,BROOKWOOD BAPTIST MEDICAL CENTER (010139),2018,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,269.0,23022.0,374.0,16362.0,799.0,21806.0,445.0,16574.0
138,SPRINGHILL MEMORIAL HOSPITAL (010144),2018,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,148.0,22208.0,408.0,17150.0,247.0,23520.0,363.0,17128.0
139,SPRINGHILL MEMORIAL HOSPITAL (010144),2018,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,148.0,22208.0,408.0,17150.0,247.0,23520.0,363.0,17128.0
140,RMC JACKSONVILLE (010146),2018,Acute Care,Proprietary,65.0,,,AL,,,,,,,58.0,16777.0
141,RMC JACKSONVILLE (010146),2018,Acute Care,Proprietary,65.0,,,AL,,,,,,,58.0,16777.0
142,EVERGREEN MEDICAL CENTER (010148),2018,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,,,103.0,13699.0,,,143.0,15301.0
143,EVERGREEN MEDICAL CENTER (010148),2018,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,,,103.0,13699.0,,,143.0,15301.0
144,BAPTIST MEDICAL CENTER EAST (010149),2018,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,56.0,26578.0,261.0,15956.0,,,282.0,16268.0
145,BAPTIST MEDICAL CENTER EAST (010149),2018,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,56.0,26578.0,261.0,15956.0,,,282.0,16268.0
146,L V STABLER MEMORIAL HOSPITAL (010150),2018,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,,,81.0,15118.0,30.0,21007.0,55.0,14794.0
147,L V STABLER MEMORIAL HOSPITAL (010150),2018,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,,,81.0,15118.0,30.0,21007.0,55.0,14794.0
148,SHOALS HOSPITAL (010157),2018,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,,,72.0,16052.0,45.0,26047.0,146.0,16744.0
