,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Payment for heart attack patients (Denominator),Payment for heart attack patients (Payment),Payment for heart failure patients (Denominator),Payment for heart failure patients (Payment),Payment for pneumonia patients (Denominator),Payment for pneumonia patients (Payment)
11,BAPTIST MEDICAL CENTER SOUTH (010023),2016,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,290.0,22358.0,414.0,16991.0,160.0,15736.0
12,JACKSON HOSPITAL & CLINIC INC (010024),2016,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,249.0,24344.0,455.0,16363.0,421.0,14629.0
13,EAST ALABAMA MEDICAL CENTER (010029),2016,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,259.0,21940.0,582.0,13941.0,343.0,13196.0
14,WEDOWEE HOSPITAL (010032),2016,Acute Care,Government - Hospital District or Authority,30.0,,,AL,,,45.0,16649.0,70.0,13168.0
15,UNIVERSITY OF ALABAMA HOSPITAL (010033),2016,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,330.0,20470.0,530.0,15680.0,409.0,14671.0
16,COMMUNITY HOSPITAL INC (010034),2016,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,,,98.0,15038.0,98.0,14590.0
17,CULLMAN REGIONAL MEDICAL CENTER (010035),2016,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,101.0,21517.0,432.0,15298.0,363.0,14879.0
18,ANDALUSIA REGIONAL HOSPITAL (010036),2016,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,,,157.0,13543.0,249.0,12546.0
19,STRINGFELLOW MEMORIAL HOSPITAL (010038),2016,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,68.0,23782.0,140.0,17081.0,170.0,13727.0
20,HUNTSVILLE HOSPITAL (010039),2016,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,,21662.0,,16255.0,960.0,14820.0
21,GADSDEN REGIONAL MEDICAL CENTER (010040),2016,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,195.0,22005.0,443.0,16960.0,549.0,14869.0
22,MARION REGIONAL MEDICAL CENTER (010044),2016,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,,,32.0,13920.0,117.0,12616.0
23,FAYETTE MEDICAL CENTER (010045),2016,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,,,79.0,13499.0,161.0,12820.0
24,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2016,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,75.0,23847.0,262.0,16296.0,239.0,15639.0
25,GEORGIANA MEDICAL CENTER (010047),2016,Acute Care,Proprietary,22.0,,,AL,,,,,104.0,13337.0
26,MEDICAL CENTER ENTERPRISE (010049),2016,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,,,112.0,13581.0,140.0,11941.0
27,GREENE COUNTY HOSPITAL (010051),2016,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL,,,42.0,13706.0,25.0,14090.0
28,LAKE MARTIN COMMUNITY HOSPITAL (010052),2016,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,,,26.0,14111.0,97.0,12522.0
29,FLOWERS HOSPITAL (010055),2016,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,338.0,21288.0,456.0,14349.0,416.0,14171.0
30,ST VINCENT'S BIRMINGHAM (010056),2016,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,250.0,23527.0,423.0,16221.0,499.0,15224.0
31,BIBB MEDICAL CENTER (010058),2016,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,,,,,77.0,13558.0
32,LAWRENCE MEDICAL CENTER (010059),2016,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,,,52.0,15980.0,116.0,15020.0
33,HIGHLANDS MEDICAL CENTER (010061),2016,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,,,128.0,13838.0,291.0,13016.0
34,WIREGRASS MEDICAL CENTER (010062),2016,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,,,77.0,13970.0,171.0,13364.0
35,RUSSELL HOSPITAL (010065),2016,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,62.0,24270.0,205.0,18335.0,191.0,16777.0
36,MEDICAL CENTER BARBOUR (010069),2016,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,,,76.0,13369.0,100.0,12984.0
37,CLAY COUNTY HOSPITAL (010073),2016,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,,,58.0,14274.0,104.0,13286.0
38,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER (010078),2016,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,338.0,23871.0,510.0,15574.0,378.0,14262.0
39,ATHENS LIMESTONE HOSPITAL (010079),2016,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,,,169.0,14637.0,240.0,14488.0
40,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2016,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,103.0,22935.0,285.0,15032.0,269.0,13462.0
41,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS (010085),2016,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,111.0,22082.0,517.0,14614.0,537.0,13673.0
42,NORTHWEST MEDICAL CENTER (010086),2016,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,,,86.0,14601.0,223.0,13014.0
43,WALKER BAPTIST MEDICAL CENTER (010089),2016,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,78.0,23486.0,197.0,15678.0,265.0,13731.0
44,PROVIDENCE HOSPITAL (010090),2016,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,224.0,23621.0,484.0,14658.0,510.0,15106.0
45,GROVE HILL MEMORIAL HOSPITAL (010091),2016,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,,,72.0,16743.0,55.0,15981.0
46,D C H REGIONAL MEDICAL CENTER (010092),2016,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,455.0,22902.0,888.0,15862.0,,14832.0
47,HALE COUNTY HOSPITAL (010095),2016,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,,,,,57.0,14777.0
48,ELMORE COMMUNITY HOSPITAL (010097),2016,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,,,42.0,14750.0,65.0,14225.0
49,D W MCMILLAN MEMORIAL HOSPITAL (010099),2016,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,32.0,22071.0,83.0,14561.0,179.0,14144.0
50,THOMAS HOSPITAL (010100),2016,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,155.0,22546.0,280.0,16614.0,252.0,13840.0
51,CITIZENS BAPTIST MEDICAL CENTER (010101),2016,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,26.0,23516.0,95.0,14567.0,87.0,15828.0
52,J PAUL JONES HOSPITAL (010102),2016,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL,,,,,47.0,12526.0
53,PRINCETON BAPTIST MEDICAL CENTER (010103),2016,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,241.0,22088.0,384.0,16150.0,263.0,14201.0
54,GRANDVIEW MEDICAL CENTER (010104),2016,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,220.0,19644.0,240.0,16700.0,190.0,16712.0
55,PRATTVILLE BAPTIST HOSPITAL (010108),2016,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,29.0,25071.0,130.0,14898.0,184.0,16621.0
56,PICKENS COUNTY MEDICAL CENTER (010109),2016,Acute Care,Government - Hospital District or Authority,49.0,33.274807,-88.089673,AL,,,39.0,15029.0,91.0,14154.0
57,BULLOCK COUNTY HOSPITAL (010110),2016,Acute Care,Proprietary,54.0,32.146182,-85.71638,AL,,,26.0,14870.0,31.0,12542.0
58,BRYAN W. WHITFIELD MEMORIAL HOSPITAL (010112),2016,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,,,68.0,14196.0,105.0,13733.0
59,MOBILE INFIRMARY MEDICAL CENTER (010113),2016,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,232.0,24523.0,605.0,16101.0,516.0,15019.0
60,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2016,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,66.0,21022.0,144.0,15454.0,185.0,14921.0
61,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2016,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,130.0,22002.0,261.0,15756.0,145.0,13383.0
62,MONROE COUNTY HOSPITAL (010120),2016,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,,,85.0,14464.0,141.0,13571.0
63,LAKELAND COMMUNITY HOSPITAL (010125),2016,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,,,78.0,14751.0,433.0,12428.0
64,TROY REGIONAL MEDICAL CENTER (010126),2016,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,,,69.0,14500.0,84.0,12163.0
65,JACKSON MEDICAL CENTER (010128),2016,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,,,25.0,14792.0,51.0,13201.0
66,NORTH BALDWIN INFIRMARY (010129),2016,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,,,44.0,13356.0,68.0,12391.0
67,ST VINCENT'S ST CLAIR (010130),2016,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,,,100.0,15109.0,259.0,12778.0
68,CRESTWOOD MEDICAL CENTER (010131),2016,Acute Care,Proprietary,163.0,,,AL,186.0,20007.0,346.0,14229.0,348.0,13258.0
69,BROOKWOOD MEDICAL CENTER (010139),2016,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,298.0,23793.0,414.0,14708.0,479.0,14998.0
70,SPRINGHILL MEMORIAL HOSPITAL (010144),2016,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,144.0,21991.0,392.0,17982.0,269.0,14917.0
71,RMC JACKSONVILLE (010146),2016,Acute Care,Proprietary,65.0,,,AL,,,31.0,15242.0,85.0,16054.0
72,EVERGREEN MEDICAL CENTER (010148),2016,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,,,111.0,13159.0,87.0,14841.0
73,BAPTIST MEDICAL CENTER EAST (010149),2016,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,73.0,23519.0,272.0,15333.0,274.0,14327.0
74,L V STABLER MEMORIAL HOSPITAL (010150),2016,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,,,84.0,14758.0,81.0,14995.0
75,SHOALS HOSPITAL (010157),2016,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,,,68.0,16215.0,128.0,13731.0
76,RUSSELLVILLE HOSPITAL (010158),2016,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,36.0,22917.0,87.0,14826.0,176.0,13480.0
77,COOSA VALLEY MEDICAL CENTER (010164),2016,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,49.0,22282.0,128.0,16056.0,242.0,13136.0
78,ATMORE COMMUNITY HOSPITAL (010169),2016,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,,,158.0,14149.0,101.0,13373.0
79,CHOCTAW GENERAL HOSPITAL (011304),2016,Critical Access,Voluntary non-profit - Private,25.0,,,AL,,,,,30.0,14334.0
80,ST VINCENTS BLOUNT (011305),2016,Critical Access,Voluntary non-profit - Private,25.0,33.932537,-86.493059,AL,,,55.0,18189.0,90.0,15821.0
81,PROVIDENCE ALASKA MEDICAL CENTER (020001),2016,Acute Care,Voluntary non-profit - Church,394.0,61.189798,-149.817622,AK,318.0,24309.0,321.0,15339.0,271.0,12303.0
82,MAT-SU REGIONAL MEDICAL CENTER (020006),2016,Acute Care,Voluntary non-profit - Private,90.0,61.561217,-149.258718,AK,86.0,21764.0,135.0,13346.0,206.0,11822.0
83,BARTLETT REGIONAL HOSPITAL (020008),2016,Acute Care,Government - Local,58.0,58.328696,-134.466829,AK,,,40.0,15379.0,69.0,11889.0
84,FAIRBANKS MEMORIAL HOSPITAL (020012),2016,Acute Care,Voluntary non-profit - Other,213.0,64.831407,-147.736254,AK,108.0,24239.0,65.0,12893.0,67.0,11957.0
85,ALASKA REGIONAL HOSPITAL (020017),2016,Acute Care,Proprietary,169.0,61.20979,-149.827379,AK,121.0,23152.0,82.0,15226.0,46.0,15221.0
86,YUKON KUSKOKWIM DELTA REG HOSPITAL (020018),2016,Acute Care,Tribal,34.0,,,AK,,,27.0,14558.0,77.0,10817.0
87,CENTRAL PENINSULA GENERAL HOSPITAL (020024),2016,Acute Care,Voluntary non-profit - Other,186.0,60.493865,-151.077658,AK,,,65.0,13694.0,118.0,12179.0
88,ALASKA NATIVE MEDICAL CENTER (020026),2016,Acute Care,Government - Federal,163.0,61.18189,-149.800578,AK,40.0,19930.0,59.0,13264.0,144.0,12066.0
89,PROVIDENCE KODIAK ISLAND MEDICAL CTR (021306),2016,Critical Access,Voluntary non-profit - Church,46.0,57.800835,-152.373943,AK,,,,,25.0,12396.0
90,PEACEHEALTH KETCHIKAN MEDICAL CENTER (021311),2016,Critical Access,Voluntary non-profit - Church,51.0,55.352717,-131.686049,AK,,,,,62.0,12857.0
91,SOUTH PENINSULA HOSPITAL (021313),2016,Critical Access,Voluntary non-profit - Private,49.0,59.652133,-151.550296,AK,,,,,42.0,13795.0
92,ABRAZO MARYVALE CAMPUS (030001),2016,Acute Care,Proprietary,231.0,,,AZ,,,,,26.0,14556.0
93,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX (030002),2016,Acute Care,Voluntary non-profit - Other,706.0,33.465724,-112.058127,AZ,181.0,24883.0,254.0,19927.0,143.0,15978.0
94,TUCSON MEDICAL CENTER (030006),2016,Acute Care,Voluntary non-profit - Private,520.0,32.250749,-110.880169,AZ,300.0,23626.0,455.0,18095.0,386.0,16823.0
95,VERDE VALLEY MEDICAL CENTER (030007),2016,Acute Care,Voluntary non-profit - Private,102.0,34.736201,-112.031784,AZ,125.0,22887.0,157.0,15406.0,152.0,15142.0
96,ST. MARY'S HOSPITAL (030010),2016,Acute Care,Voluntary non-profit - Private,398.0,32.228923,-111.000032,AZ,154.0,21728.0,180.0,15014.0,144.0,14665.0
97,ST JOSEPH'S HOSPITAL (030011),2016,Acute Care,Voluntary non-profit - Other,474.0,32.225946,-110.857838,AZ,229.0,22029.0,234.0,17376.0,271.0,15563.0
98,YAVAPAI REGIONAL MEDICAL CENTER (030012),2016,Acute Care,Government - Local,179.0,34.55938,-112.482065,AZ,386.0,24726.0,214.0,17273.0,373.0,14748.0
99,YUMA REGIONAL MEDICAL CENTER (030013),2016,Acute Care,Voluntary non-profit - Private,397.0,32.683899,-114.633238,AZ,527.0,23419.0,542.0,16393.0,974.0,15355.0
100,JOHN C. LINCOLN MEDICAL CENTER (030014),2016,Acute Care,Voluntary non-profit - Private,258.0,33.567754,-112.07063,AZ,109.0,23414.0,228.0,18105.0,187.0,15819.0
101,BANNER CASA GRANDE MEDICAL CENTER (030016),2016,Acute Care,Voluntary non-profit - Other,156.0,32.879608,-111.709253,AZ,96.0,24464.0,119.0,16502.0,258.0,15701.0
102,FLAGSTAFF MEDICAL CENTER (030023),2016,Acute Care,Voluntary non-profit - Private,267.0,35.209534,-111.644835,AZ,183.0,24172.0,198.0,15792.0,173.0,15052.0
103,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER (030024),2016,Acute Care,Voluntary non-profit - Church,560.0,33.480294,-112.079208,AZ,126.0,24378.0,133.0,16602.0,87.0,14691.0
104,ABRAZO CENTRAL CAMPUS (030030),2016,Acute Care,Proprietary,186.0,33.524116,-112.101934,AZ,142.0,24202.0,144.0,16895.0,90.0,15242.0
105,BANNER PAYSON MEDICAL CENTER (030033),2016,Acute Care,Voluntary non-profit - Other,36.0,,,AZ,78.0,23323.0,93.0,16835.0,77.0,14615.0
106,CHANDLER REGIONAL MEDICAL CENTER (030036),2016,Acute Care,Voluntary non-profit - Other,318.0,33.298691,-111.873508,AZ,247.0,23583.0,327.0,17532.0,343.0,14292.0
107,ST LUKE'S MEDICAL CENTER (030037),2016,Acute Care,Proprietary,209.0,33.451436,-112.042767,AZ,72.0,26619.0,59.0,18303.0,37.0,16764.0
108,SCOTTSDALE OSBORN MEDICAL CENTER (030038),2016,Acute Care,Proprietary,360.0,33.487639,-111.922725,AZ,141.0,22998.0,323.0,17631.0,377.0,14468.0
109,CANYON VISTA MEDICAL CENTER (030043),2016,Acute Care,Voluntary non-profit - Other,92.0,31.554635,-110.230726,AZ,198.0,21385.0,151.0,16368.0,205.0,14271.0
110,KINGMAN REGIONAL MEDICAL CENTER (030055),2016,Acute Care,Government - Hospital District or Authority,221.0,35.219907,-114.035813,AZ,199.0,23317.0,312.0,14690.0,470.0,13223.0
111,BANNER BOSWELL MEDICAL CENTER (030061),2016,Acute Care,Voluntary non-profit - Other,508.0,33.604798,-112.282538,AZ,343.0,22764.0,475.0,16643.0,533.0,15304.0
112,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER (030062),2016,Acute Care,Voluntary non-profit - Private,91.0,34.201967,-110.01839,AZ,114.0,25047.0,93.0,14182.0,118.0,14209.0
113,BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS (030064),2016,Acute Care,Voluntary non-profit - Private,511.0,32.242362,-110.944092,AZ,201.0,24380.0,221.0,14811.0,255.0,14383.0
114,BANNER DESERT MEDICAL CENTER (030065),2016,Acute Care,Voluntary non-profit - Private,632.0,33.39091,-111.874624,AZ,187.0,23588.0,281.0,18459.0,318.0,16512.0
115,MT. GRAHAM REGIONAL MEDICAL CENTER (030068),2016,Acute Care,Government - Hospital District or Authority,45.0,32.821883,-109.732994,AZ,,,28.0,14457.0,99.0,13238.0
116,HAVASU REGIONAL MEDICAL CENTER (030069),2016,Acute Care,Proprietary,169.0,34.47998,-114.338537,AZ,227.0,20726.0,339.0,14345.0,331.0,14153.0
117,FORT DEFIANCE INDIAN HOSPITAL (030071),2016,Acute Care,Government - Federal,54.0,,,AZ,,,28.0,14966.0,131.0,11253.0
118,TUBA CITY REGIONAL HEALTH CARE CORPORATION (030073),2016,Acute Care,Voluntary non-profit - Other,73.0,,,AZ,,,35.0,12727.0,109.0,11467.0
119,PHOENIX INDIAN MEDICAL CENTER (030078),2016,Acute Care,Government - Federal,119.0,33.49701,-112.047613,AZ,,,,,27.0,14243.0
120,ABRAZO SCOTTSDALE CAMPUS (030083),2016,Acute Care,Proprietary,129.0,33.640603,-111.997692,AZ,54.0,24328.0,69.0,16516.0,84.0,15682.0
121,CHINLE COMPREHENSIVE HEALTH CARE FACILITY (030084),2016,Acute Care,Government - Federal,60.0,,,AZ,,,,,110.0,10415.0
122,NORTHWEST MEDICAL CENTER (030085),2016,Acute Care,Proprietary,283.0,32.319581,-111.012054,AZ,171.0,21384.0,283.0,16742.0,430.0,15191.0
123,SCOTTSDALE SHEA MEDICAL CENTER (030087),2016,Acute Care,Proprietary,426.0,33.582467,-111.886032,AZ,244.0,22887.0,486.0,18287.0,581.0,15245.0
124,BANNER BAYWOOD MEDICAL CENTER (030088),2016,Acute Care,Voluntary non-profit - Private,340.0,33.410465,-111.688045,AZ,45.0,22268.0,315.0,18615.0,736.0,15215.0
125,BANNER THUNDERBIRD MEDICAL CENTER (030089),2016,Acute Care,Government - Hospital District or Authority,566.0,33.610731,-112.178698,AZ,211.0,23520.0,246.0,17937.0,354.0,16421.0
126,HONORHEALTH DEER VALLEY MEDICAL CENTER (030092),2016,Acute Care,Voluntary non-profit - Private,201.0,33.666425,-112.117188,AZ,128.0,23287.0,194.0,17849.0,184.0,13717.0
127,BANNER DEL E. WEBB MEDICAL CENTER (030093),2016,Acute Care,Voluntary non-profit - Private,390.0,33.658307,-112.371939,AZ,370.0,22176.0,372.0,16929.0,453.0,15067.0
128,ABRAZO ARROWHEAD CAMPUS (030094),2016,Acute Care,Proprietary,244.0,33.655042,-112.202889,AZ,94.0,25122.0,132.0,17582.0,186.0,15072.0
129,WESTERN ARIZONA REGIONAL MEDICAL CENTER (030101),2016,Acute Care,Proprietary,133.0,35.109853,-114.555146,AZ,217.0,24558.0,287.0,15170.0,208.0,14236.0
130,MAYO CLINIC HOSPITAL (030103),2016,Acute Care,Voluntary non-profit - Private,277.0,33.663312,-111.955659,AZ,214.0,20762.0,472.0,15955.0,277.0,13739.0
131,BANNER HEART HOSPITAL (030105),2016,Acute Care,Voluntary non-profit - Private,110.0,33.410378,-111.685273,AZ,490.0,23338.0,519.0,17358.0,,
132,ABRAZO WEST CAMPUS (030110),2016,Acute Care,Proprietary,190.0,33.464283,-112.354024,AZ,120.0,25084.0,129.0,17959.0,201.0,15033.0
133,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS (030111),2016,Acute Care,Voluntary non-profit - Private,207.0,32.177882,-110.930891,AZ,103.0,25530.0,83.0,15782.0,68.0,16309.0
134,WHITERIVER PHS INDIAN HOSPITAL (030113),2016,Acute Care,Government - Federal,39.0,33.875976,-109.959528,AZ,,,,,51.0,13905.0
135,ORO VALLEY HOSPITAL (030114),2016,Acute Care,Proprietary,148.0,32.427183,-110.94954,AZ,121.0,22732.0,187.0,15575.0,239.0,14278.0
136,BANNER ESTRELLA MEDICAL CENTER (030115),2016,Acute Care,Voluntary non-profit - Private,288.0,33.479558,-112.257936,AZ,112.0,21797.0,149.0,14999.0,171.0,14252.0
137,VALLEY VIEW MEDICAL CENTER (030117),2016,Acute Care,Proprietary,82.0,35.002363,-114.597954,AZ,75.0,21071.0,142.0,14975.0,115.0,13422.0
138,YAVAPAI REGIONAL MEDICAL CENTER-EAST CAMPUS (030118),2016,Acute Care,Proprietary,61.0,,,AZ,27.0,21373.0,68.0,15103.0,172.0,16148.0
139,MERCY GILBERT MEDICAL CENTER (030119),2016,Acute Care,Voluntary non-profit - Church,202.0,33.286661,-111.755311,AZ,107.0,23532.0,200.0,18193.0,296.0,15890.0
140,GILBERT HOSPITAL (030120),2016,Acute Care,Proprietary,19.0,,,AZ,,,,,39.0,14752.0
141,"MOUNTAIN VISTA MEDICAL CENTER, LP (030121)",2016,Acute Care,Proprietary,171.0,33.3911,-111.615329,AZ,203.0,25466.0,161.0,19194.0,238.0,16603.0
142,BANNER GATEWAY MEDICAL CENTER (030122),2016,Acute Care,Voluntary non-profit - Other,170.0,33.384225,-111.719634,AZ,27.0,24190.0,133.0,16597.0,153.0,14767.0
143,SCOTTSDALE THOMPSON PEAK MEDICAL CENTER (030123),2016,Acute Care,Proprietary,98.0,33.669777,-111.921803,AZ,82.0,23168.0,170.0,18906.0,210.0,13715.0
144,BANNER IRONWOOD MEDICAL CENTER (030130),2016,Acute Care,Voluntary non-profit - Private,61.0,33.214839,-111.563447,AZ,,,27.0,14404.0,45.0,14992.0
145,"FLORENCE HOSPITAL AT ANTHEM, LLC (030132)",2016,Acute Care,Proprietary,36.0,,,AZ,,,,,39.0,15393.0
146,BANNER GOLDFIELD MEDICAL CENTER (030134),2016,Acute Care,Voluntary non-profit - Other,23.0,33.393343,-111.566796,AZ,,,,,39.0,14129.0
147,NORTHERN COCHISE COMMUNITY HOSPITAL (031302),2016,Critical Access,Government - Hospital District or Authority,39.0,32.264268,-109.837613,AZ,,,,,99.0,13679.0
148,HOPI HEALTH CARE CENTER (031305),2016,Critical Access,Tribal,6.0,,,AZ,,,,,30.0,12396.0
149,SAGE MEMORIAL HOSPITAL (031309),2016,Critical Access,Voluntary non-profit - Private,25.0,,,AZ,,,,,59.0,13559.0
150,WHITE MOUNTAIN REGIONAL MEDICAL CENTER (031315),2016,Critical Access,Voluntary non-profit - Private,21.0,34.132136,-109.286545,AZ,,,,,32.0,16403.0
151,LA PAZ REGIONAL HOSPITAL (031317),2016,Critical Access,Voluntary non-profit - Private,25.0,34.135137,-114.285597,AZ,64.0,23279.0,55.0,14377.0,86.0,14959.0
152,SILOAM SPRINGS REGIONAL HOSPITAL (040001),2016,Acute Care,Proprietary,46.0,36.190377,-94.509658,AR,,,72.0,15437.0,132.0,13613.0
153,JOHNSON REGIONAL MEDICAL CENTER (040002),2016,Acute Care,Voluntary non-profit - Private,86.0,35.464384,-93.445797,AR,25.0,20442.0,62.0,14252.0,193.0,12330.0
154,WASHINGTON REGIONAL MEDICAL CENTER (040004),2016,Acute Care,Voluntary non-profit - Private,314.0,36.110984,-94.157862,AR,298.0,23249.0,536.0,16284.0,291.0,15596.0
155,CHI-ST VINCENT INFIRMARY (040007),2016,Acute Care,Voluntary non-profit - Private,414.0,,,AR,187.0,23600.0,514.0,17102.0,394.0,15643.0
156,MERCY HOSPITAL NORTHWEST ARKANSAS (040010),2016,Acute Care,Voluntary non-profit - Church,201.0,36.309562,-94.184709,AR,192.0,22625.0,301.0,15985.0,260.0,14785.0
157,CHAMBERS MEMORIAL HOSPITAL (040011),2016,Acute Care,Voluntary non-profit - Private,41.0,35.054823,-93.388543,AR,32.0,22707.0,107.0,15552.0,149.0,13482.0
