,Facility ID,Facility Name,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State
1146,010019,HELEN KELLER HOSPITAL,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL
1194,010019,HELEN KELLER MEMORIAL HOSPITAL,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL
1296,010021,DALE MEDICAL CENTER,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL
1420,010022,CHEROKEE MEDICAL CENTER,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL
1466,010022,FLOYD CHEROKEE MEDICAL CENTER,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL
1548,010023,BAPTIST MEDICAL CENTER SOUTH,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL
1674,010024,JACKSON HOSPITAL & CLINIC INC,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL
1800,010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL
1824,010029,EAST ALABAMA MEDICAL CENTER AND SNF,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL
1848,010029,EAST ALABAMA MEDICAL CENTER,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL
1953,010033,UNIVERSITY OF ALABAMA HOSPITAL,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL
2079,010034,COMMUNITY HOSPITAL INC,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL
2201,010035,CULLMAN REGIONAL MEDICAL CENTER,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL
2327,010036,ANDALUSIA HEALTH,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL
2396,010036,ANDALUSIA REGIONAL HOSPITAL,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL
2455,010038,STRINGFELLOW CAMPUS OF NORTHEAST RMC,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL
2461,010038,STRINGFELLOW MEMORIAL HOSPITAL,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL
2578,010039,HUNTSVILLE HOSPITAL,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL
2704,010040,GADSDEN REGIONAL MEDICAL CENTER,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL
2830,010044,MARION REGIONAL MEDICAL CENTER,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL
2952,010044,NORTH MISSISSIPPI MEDICAL CENTER - HAMILTON,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL
2954,010045,FAYETTE MEDICAL CENTER,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL
3078,010046,RIVERVIEW REGIONAL MEDICAL CENTER,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL
3204,010049,MEDICAL CENTER ENTERPRISE,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL
3330,010051,GREENE COUNTY HOSPITAL,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL
3435,010051,GREENE COUNTY HEALTH SYSTEM,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL
3441,010052,LAKE MARTIN COMMUNITY HOSPITAL,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL
3561,010055,FLOWERS HOSPITAL,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL
3687,010056,ST VINCENT'S BIRMINGHAM,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL
3813,010056,ST. VINCENT'S BIRMINGHAM,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL
3815,010058,BIBB MEDICAL CENTER,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL
3935,010059,LAWRENCE MEDICAL CENTER,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL
4059,010061,HIGHLANDS MEDICAL CENTER,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL
4183,010062,WIREGRASS MEDICAL CENTER,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL
4307,010065,RUSSELL MEDICAL CENTER,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL
4377,010065,RUSSELL HOSPITAL,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL
4436,010069,MEDICAL CENTER BARBOUR,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL
4560,010073,CLAY COUNTY HOSPITAL,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL
4684,010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL
4769,010078,NORTHEAST ALABAMA REGIONAL MED CENTER,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL
4814,010079,ATHENS LIMESTONE HOSPITAL,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL
4901,010079,ATHENS-LIMESTONE HOSPITAL,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL
4944,010083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL
5070,010085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL
5118,010085,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL
5202,010085,DECATUR GENERAL HOSPITAL,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL
5219,010086,NORTHWEST MEDICAL CENTER,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL
5343,010087,USA HEALTH UNIVERSITY HOSPITAL,Acute Care,Government - State,161.0,30.708121,-88.099441,AL
5389,010087,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,Acute Care,Government - State,161.0,30.708121,-88.099441,AL
5471,010087,UNIV OF SOUTH ALABAMA MEDICAL CENTER,Acute Care,Government - State,161.0,30.708121,-88.099441,AL
5476,010089,WALKER BAPTIST MEDICAL CENTER,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL
5602,010090,PROVIDENCE HOSPITAL,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL
5728,010091,GROVE HILL MEMORIAL HOSPITAL,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL
5848,010092,DCH REGIONAL MEDICAL CENTER,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL
5872,010092,D C H REGIONAL MEDICAL CENTER,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL
5978,010095,HALE COUNTY HOSPITAL,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL
6092,010097,ELMORE COMMUNITY HOSPITAL,Acute Care,Government - State,34.0,32.551957,-86.185643,AL
6206,010099,D W MCMILLAN MEMORIAL HOSPITAL,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL
6330,010100,THOMAS HOSPITAL,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL
6456,010100,"GULF HEALTH HOSPITALS, INC., D/B/A/THOMAS HOSPITAL",Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL
6462,010101,CITIZENS BAPTIST MEDICAL CENTER,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL
6586,010101,CITIZENS BMC,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL
6601,010102,J PAUL JONES HOSPITAL,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL
6719,010103,PRINCETON BAPTIST MEDICAL CENTER,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL
6804,010103,BAPTIST MEDICAL CENTER-PRINCETON,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL
6855,010104,GRANDVIEW MEDICAL CENTER,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL
6946,010104,TRINITY MEDICAL CENTER,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL
6987,010108,PRATTVILLE BAPTIST HOSPITAL,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL
7111,010110,BULLOCK COUNTY HOSPITAL,Acute Care,Proprietary,54.0,32.146182,-85.71638,AL
7225,010112,WHITFIELD REGIONAL HOSPITAL,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL
7265,010112,BRYAN W. WHITFIELD MEMORIAL HOSPITAL,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL
7320,010112,BRYAN W WHITFIELD MEM HOSP INC,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL
7357,010113,MOBILE INFIRMARY MEDICAL CENTER,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL
7446,010113,MOBILE INFIRMARY,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL
7483,010113,"MOBILE INFIRMARY ASSOCIATION, D/B/A MOBILE INFIRMARY",Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL
7489,010114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL
7613,010114,MEDICAL WEST,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL
7615,010118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL
7734,010118,VAUGHAN REG MED CENTER PARKWAY CAMPUS,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL
7741,010118,"VAUGHAN REGIONAL MEDICAL CENTER, LLC",Acute Care,Proprietary,140.0,32.430248,-87.055174,AL
7743,010120,MONROE COUNTY HOSPITAL,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL
7867,010125,LAKELAND COMMUNITY HOSPITAL,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL
7991,010126,TROY REGIONAL MEDICAL CENTER,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL
8115,010128,JACKSON MEDICAL CENTER,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL
8239,010129,NORTH BALDWIN INFIRMARY,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL
8363,010129,"GULF HEALTH HOSPITALS, INC., D/B/A NORTH BALDWIN INFIRMARY",Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL
8369,010130,ST VINCENT'S ST CLAIR,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL
8493,010131,CRESTWOOD MEDICAL CENTER,Acute Care,Proprietary,163.0,,,AL
8619,010138,HILL HOSPITAL OF SUMTER COUNTY,Acute Care,Voluntary non-profit - Other,33.0,32.491825,-88.296081,AL
8710,010139,BROOKWOOD BAPTIST MEDICAL CENTER,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL
8788,010139,BROOKWOOD MEDICAL CENTER,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL
8841,010144,SPRINGHILL MEDICAL CENTER,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL
8889,010144,SPRINGHILL MEMORIAL HOSPITAL,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL
8988,010148,EVERGREEN MEDICAL CENTER,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL
9112,010149,BAPTIST MEDICAL CENTER EAST,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL
9236,01014F,BIRMINGHAM VA MEDICAL CENTER,Acute Care (VA),Government - Federal,,,,
9305,010150,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL
9349,010150,REGIONAL MEDICAL CENTER OF CENTRAL ALABAMA,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL
9352,010150,L V STABLER MEMORIAL HOSPITAL,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL
9436,010157,SHOALS HOSPITAL,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL
9439,010157,NORTH ALABAMA SHOALS HOSPITAL,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL
9559,010158,RUSSELLVILLE HOSPITAL,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL
9683,010164,COOSA VALLEY MEDICAL CENTER,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL
9809,010168,JACK HUGHSTON MEMORIAL HOSPITAL,Acute Care,Government - State,52.0,32.509045,-85.005696,AL
9933,010169,ATMORE COMMUNITY HOSPITAL,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL
10057,010173,ST VINCENT'S CHILTON,Acute Care,Voluntary non-profit - Church,26.0,32.876585,-86.623511,AL
10121,010174,THOMASVILLE REGIONAL MEDICAL CENTER,Acute Care,Voluntary non-profit - Private,29.0,,,AL
10138,010175,EAMC-LANIER,Acute Care,Government - Hospital District or Authority,30.0,,,AL
10150,010175,EAMC - LANIER,Acute Care,Government - Hospital District or Authority,30.0,,,AL
10151,010175,THE EAST ALBAMA HEALTHCARE AUTHORITY,Acute Care,Government - Hospital District or Authority,30.0,,,AL
10152,01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,Acute Care (VA),Government - Federal,,,,
10219,01021F,TUSCALOOSA VA MEDICAL CENTER,Acute Care (VA),Government - Federal,,,,
10251,011300,WASHINGTON COUNTY HOSPITAL,Critical Access,Proprietary,103.0,31.460296,-88.235291,AL
10304,011302,RED BAY HOSPITAL,Critical Access,Government - Hospital District or Authority,25.0,34.457425,-88.146934,AL
10374,011304,CHOCTAW GENERAL HOSPITAL,Critical Access,Voluntary non-profit - Private,25.0,,,AL
10432,011305,ST VINCENTS BLOUNT,Critical Access,Voluntary non-profit - Private,25.0,33.932537,-86.493059,AL
10492,011306,TANNER MEDICAL CENTER-EAST ALABAMA,Critical Access,Government - Hospital District or Authority,15.0,33.296666,-85.480028,AL
10514,013300,THE CHILDREN'S HOSPITAL OF ALABAMA,Childrens,Voluntary non-profit - Private,341.0,33.503222,-86.805381,AL
10530,013300,CHILDREN'S HOSPITAL OF ALABAMA,Childrens,Voluntary non-profit - Private,341.0,33.503222,-86.805381,AL
10544,013301,USA HEALTH CHILDREN'S & WOMEN'S HOSPITAL,Childrens,Government - State,261.0,30.696082,-88.076883,AL
10563,013301,UNIVERSITY OF S A CHILDREN'S AND WOMEN'S HOS,Childrens,Government - State,261.0,30.696082,-88.076883,AL
10585,020001,PROVIDENCE ALASKA MEDICAL CENTER,Acute Care,Voluntary non-profit - Church,394.0,61.189798,-149.817622,AK
10711,020006,MAT-SU REGIONAL MEDICAL CENTER,Acute Care,Voluntary non-profit - Private,90.0,61.561217,-149.258718,AK
10837,020008,BARTLETT REGIONAL HOSPITAL,Acute Care,Government - Local,58.0,58.328696,-134.466829,AK
10963,020012,FAIRBANKS MEMORIAL HOSPITAL,Acute Care,Voluntary non-profit - Other,213.0,64.831407,-147.736254,AK
11089,020017,ALASKA REGIONAL HOSPITAL,Acute Care,Proprietary,169.0,61.20979,-149.827379,AK
11215,020018,YUKON KUSKOKWIM DELTA REG HOSPITAL,Acute Care,Tribal,34.0,,,AK
11339,020024,CENTRAL PENINSULA GENERAL HOSPITAL,Acute Care,Voluntary non-profit - Other,186.0,60.493865,-151.077658,AK
11465,020026,ALASKA NATIVE MEDICAL CENTER,Acute Care,Government - Federal,163.0,61.18189,-149.800578,AK
11591,02013F,673rd Medical Group (Joint Base Elmendorf-Richardson),Acute Care (DOD),Department of Defense,,,,
11612,02014F,Bassett ACH (FT Wainwright),Acute Care (DOD),Department of Defense,,,,
11633,021301,PROVIDENCE VALDEZ MEDICAL CENTER,Critical Access,Government - Local,21.0,,,AK
11676,021302,PROVIDENCE SEWARD HOSPITAL,Critical Access,Government - Local,46.0,60.105046,-149.445383,AK
11723,021304,PETERSBURG MEDICAL CENTER,Critical Access,Government - Local,27.0,,,AK
11770,021305,SEARHC WRANGELL MEDICAL CENTER-CAH,Critical Access,Government - Local,22.0,56.471646,-132.376414,AK
11789,021305,WRANGELL MEDICAL CENTER,Critical Access,Government - Local,22.0,56.471646,-132.376414,AK
11817,021306,PROVIDENCE KODIAK ISLAND MEDICAL CTR,Critical Access,Voluntary non-profit - Church,46.0,57.800835,-152.373943,AK
11891,021307,CORDOVA COMMUNITY MEDICAL CENTER,Critical Access,Government - Local,23.0,,,AK
11930,021308,NORTON SOUND REGIONAL HOSPITAL,Critical Access,Tribal,36.0,,,AK
12010,021309,BRISTOL BAY AREA HEALTH CORPORATION,Critical Access,Voluntary non-profit - Private,16.0,,,AK
12036,021309,KANAKANAK HOSPITAL,Critical Access,Voluntary non-profit - Private,16.0,,,AK
12070,021310,MANIILAQ HEALTH CENTER,Critical Access,Tribal,17.0,,,AK
12100,021311,PEACEHEALTH KETCHIKAN MEDICAL CENTER,Critical Access,Voluntary non-profit - Church,51.0,55.352717,-131.686049,AK
12146,021311,KETCHIKAN MEDICAL CENTER,Critical Access,Voluntary non-profit - Church,51.0,55.352717,-131.686049,AK
12217,021312,SAMUEL SIMMONDS MEMORIAL HOSPITAL,Critical Access,Government - Federal,16.0,71.298135,-156.72732,AK
12270,021313,SOUTH PENINSULA HOSPITAL,Critical Access,Voluntary non-profit - Private,49.0,59.652133,-151.550296,AK
12363,021314,MT EDGECUMBE HOSPITAL,Critical Access,Voluntary non-profit - Private,26.0,57.05201,-135.356353,AK
12365,021314,SOUTHEAST ALASKA REGIONAL HEALTH CONSORTIUM,Critical Access,Voluntary non-profit - Private,26.0,57.05201,-135.356353,AK
12409,030002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,Acute Care,Voluntary non-profit - Other,706.0,33.465724,-112.058127,AZ
12500,030002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX CAMPUS,Acute Care,Voluntary non-profit - Other,706.0,33.465724,-112.058127,AZ
12506,030002,BANNER GOOD SAMARITAN MEDICAL CENTER,Acute Care,Voluntary non-profit - Other,706.0,33.465724,-112.058127,AZ
12539,030006,TUCSON MEDICAL CENTER,Acute Care,Voluntary non-profit - Private,520.0,32.250749,-110.880169,AZ
12665,030007,VERDE VALLEY MEDICAL CENTER,Acute Care,Voluntary non-profit - Private,102.0,34.736201,-112.031784,AZ
12791,030010,ST. MARY'S HOSPITAL,Acute Care,Voluntary non-profit - Private,398.0,32.228923,-111.000032,AZ
12884,030010,CARONDELET ST. MARY'S HOSPITAL,Acute Care,Voluntary non-profit - Private,398.0,32.228923,-111.000032,AZ
12886,030010,CARONDELET ST  MARYS HOSPITAL,Acute Care,Voluntary non-profit - Private,398.0,32.228923,-111.000032,AZ
12921,030011,ST JOSEPH'S HOSPITAL,Acute Care,Voluntary non-profit - Other,474.0,32.225946,-110.857838,AZ
13014,030011,CARONDELET ST JOSEPH'S HOSPITAL,Acute Care,Voluntary non-profit - Other,474.0,32.225946,-110.857838,AZ
13044,030011,CARONDELET ST JOSEPHS HOSPITAL,Acute Care,Voluntary non-profit - Other,474.0,32.225946,-110.857838,AZ
13052,030012,YAVAPAI REGIONAL MEDICAL CENTER,Acute Care,Government - Local,179.0,34.55938,-112.482065,AZ
13178,030013,YUMA REGIONAL MEDICAL CENTER,Acute Care,Voluntary non-profit - Private,397.0,32.683899,-114.633238,AZ
13304,030014,JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL,Acute Care,Voluntary non-profit - Private,258.0,33.567754,-112.07063,AZ
13376,030014,JOHN C. LINCOLN MEDICAL CENTER,Acute Care,Voluntary non-profit - Private,258.0,33.567754,-112.07063,AZ
13395,030014,JOHN C LINCOLN MEDICAL CENTER,Acute Care,Voluntary non-profit - Private,258.0,33.567754,-112.07063,AZ
13401,030014,JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL,Acute Care,Voluntary non-profit - Private,258.0,33.567754,-112.07063,AZ
13434,030014,HONORHEALTH JOHN C LINCOLN MEDICAL CENTER,Acute Care,Voluntary non-profit - Private,258.0,33.567754,-112.07063,AZ
13444,030016,BANNER CASA GRANDE MEDICAL CENTER,Acute Care,Voluntary non-profit - Other,156.0,32.879608,-111.709253,AZ
13557,030016,CASA GRANDE REGIONAL MEDICAL CENTER,Acute Care,Voluntary non-profit - Other,156.0,32.879608,-111.709253,AZ
13570,030022,VALLEYWISE HEALTH MEDICAL CENTER,Acute Care,Government - Local,570.0,33.458525,-112.02643,AZ
13617,030022,MARICOPA MEDICAL CENTER,Acute Care,Government - Local,570.0,33.458525,-112.02643,AZ
13688,030023,FLAGSTAFF MEDICAL CENTER,Acute Care,Voluntary non-profit - Private,267.0,35.209534,-111.644835,AZ
13814,030024,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,Acute Care,Voluntary non-profit - Church,560.0,33.480294,-112.079208,AZ
13901,030024,ST JOSEPH'S HOSPITAL AND MEDICAL CENTER,Acute Care,Voluntary non-profit - Church,560.0,33.480294,-112.079208,AZ
13940,030030,ABRAZO CENTRAL CAMPUS,Acute Care,Proprietary,186.0,33.524116,-112.101934,AZ
14035,030030,PHOENIX BAPTIST HOSPITAL,Acute Care,Proprietary,186.0,33.524116,-112.101934,AZ
14065,030036,CHANDLER REGIONAL MEDICAL CENTER,Acute Care,Voluntary non-profit - Other,318.0,33.298691,-111.873508,AZ
14191,030037,ST LUKE'S MEDICAL CENTER,Acute Care,Proprietary,209.0,33.451436,-112.042767,AZ
14194,030037,TEMPE ST LUKES HOSPITAL,Acute Care,Proprietary,209.0,33.451436,-112.042767,AZ
14313,030037,ST LUKES MEDICAL CENTER,Acute Care,Proprietary,209.0,33.451436,-112.042767,AZ
14320,030038,HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER,Acute Care,Proprietary,360.0,33.487639,-111.922725,AZ
14344,030038,SCOTTSDALE OSBORN MEDICAL CENTER,Acute Care,Proprietary,360.0,33.487639,-111.922725,AZ
14417,030038,SCOTTSDALE HEALTHCARE OSBORN MEDICAL CENTER,Acute Care,Proprietary,360.0,33.487639,-111.922725,AZ
14446,030038,SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER,Acute Care,Proprietary,360.0,33.487639,-111.922725,AZ
14462,030043,CANYON VISTA MEDICAL CENTER,Acute Care,Voluntary non-profit - Other,92.0,31.554635,-110.230726,AZ
14559,030043,SIERRA VISTA REGIONAL HEALTH CENTER,Acute Care,Voluntary non-profit - Other,92.0,31.554635,-110.230726,AZ
14584,030043,SIERRA VISTA REGIONAL HEALTH CENTER INC,Acute Care,Voluntary non-profit - Other,92.0,31.554635,-110.230726,AZ
14597,030055,KINGMAN REGIONAL MEDICAL CENTER,Acute Care,Government - Hospital District or Authority,221.0,35.219907,-114.035813,AZ
14723,030061,BANNER BOSWELL MEDICAL CENTER,Acute Care,Voluntary non-profit - Other,508.0,33.604798,-112.282538,AZ
14849,030062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,Acute Care,Voluntary non-profit - Private,91.0,34.201967,-110.01839,AZ
14975,030064,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,Acute Care,Voluntary non-profit - Private,511.0,32.242362,-110.944092,AZ
15045,030064,BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,Acute Care,Voluntary non-profit - Private,511.0,32.242362,-110.944092,AZ
15070,030064,"UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSITY, THE",Acute Care,Voluntary non-profit - Private,511.0,32.242362,-110.944092,AZ
15103,030065,BANNER DESERT MEDICAL CENTER,Acute Care,Voluntary non-profit - Private,632.0,33.39091,-111.874624,AZ
15229,030069,HAVASU REGIONAL MEDICAL CENTER,Acute Care,Proprietary,169.0,34.47998,-114.338537,AZ
15355,030071,FORT DEFIANCE INDIAN HOSPITAL,Acute Care,Government - Federal,54.0,,,AZ
15479,030073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,Acute Care,Voluntary non-profit - Other,73.0,,,AZ
15603,030074,SELLS HOSPITAL,Acute Care,Government - Federal,13.0,,,AZ
15657,030074,SELLS INDIAN HEALTH SERVICE HOSPITAL,Acute Care,Government - Federal,13.0,,,AZ
15691,030077,SAN CARLOS APACHE HEALTHCARE CORP,Acute Care,Government - Federal,9.0,,,AZ
15722,030077,SAN CARLOS APACHE HEALTHCARE,Acute Care,Government - Federal,9.0,,,AZ
15757,030077,SAN CARLOS INDIAN HOSPITAL,Acute Care,Government - Federal,9.0,,,AZ
15793,030078,PHOENIX INDIAN MEDICAL CENTER,Acute Care,Government - Federal,119.0,33.49701,-112.047613,AZ
15894,030083,ABRAZO SCOTTSDALE CAMPUS,Acute Care,Proprietary,129.0,33.640603,-111.997692,AZ
15991,030083,PARADISE VALLEY HOSPITAL,Acute Care,Proprietary,129.0,33.640603,-111.997692,AZ
16021,030084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,Acute Care,Government - Federal,60.0,,,AZ
16145,030085,NORTHWEST MEDICAL CENTER,Acute Care,Proprietary,283.0,32.319581,-111.012054,AZ
16271,030087,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,Acute Care,Proprietary,426.0,33.582467,-111.886032,AZ
16319,030087,SCOTTSDALE SHEA MEDICAL CENTER,Acute Care,Proprietary,426.0,33.582467,-111.886032,AZ
16368,030087,SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER,Acute Care,Proprietary,426.0,33.582467,-111.886032,AZ
