,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,AMI 30-Day Mortality Rate (MORT 30 AMI),Death rate for CABG surgery patients (MORT 30 CABG),Death rate for COPD patients (MORT 30 COPD),Death rate for stroke patients (MORT 30 STK),Heart failure 30-Day Mortality Rate (MORT 30 HF),Pneumonia 30-Day Mortality Rate (MORT 30 PN)
66,HIGHLANDS MEDICAL CENTER (010061),2018,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,,,9.1,13.5,13.4,13.6
67,HIGHLANDS MEDICAL CENTER (010061),2018,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,,,9.1,13.5,13.4,13.6
68,WIREGRASS MEDICAL CENTER (010062),2018,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,,,8.0,,12.4,14.4
69,WIREGRASS MEDICAL CENTER (010062),2018,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,,,8.0,,12.4,14.4
70,RUSSELL MEDICAL CENTER (010065),2018,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,12.6,,8.4,14.8,12.7,17.9
71,RUSSELL MEDICAL CENTER (010065),2018,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,12.6,,8.4,14.8,12.7,17.9
72,MEDICAL CENTER BARBOUR (010069),2018,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,,,8.5,13.6,10.9,14.9
73,MEDICAL CENTER BARBOUR (010069),2018,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,,,8.5,13.6,10.9,14.9
74,CLAY COUNTY HOSPITAL (010073),2018,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,,,8.8,,12.8,19.3
75,CLAY COUNTY HOSPITAL (010073),2018,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,,,8.8,,12.8,19.3
76,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER (010078),2018,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,11.8,4.7,8.0,13.4,12.8,18.3
77,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER (010078),2018,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,11.8,4.7,8.0,13.4,12.8,18.3
78,ATHENS LIMESTONE HOSPITAL (010079),2018,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,,,6.6,15.4,9.6,18.3
79,ATHENS LIMESTONE HOSPITAL (010079),2018,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,,,6.6,15.4,9.6,18.3
80,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2018,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,14.4,,7.5,15.9,10.5,15.4
81,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2018,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,14.4,,7.5,15.9,10.5,15.4
82,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS (010085),2018,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,13.3,,7.9,15.6,10.8,17.7
83,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS (010085),2018,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,13.3,,7.9,15.6,10.8,17.7
84,NORTHWEST MEDICAL CENTER (010086),2018,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,,,9.1,16.9,13.7,16.0
85,NORTHWEST MEDICAL CENTER (010086),2018,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,,,9.1,16.9,13.7,16.0
86,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER (010087),2018,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,,,,15.9,11.9,17.3
87,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER (010087),2018,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,,,,15.9,11.9,17.3
88,WALKER BAPTIST MEDICAL CENTER (010089),2018,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,14.1,,8.0,13.7,13.5,20.6
89,WALKER BAPTIST MEDICAL CENTER (010089),2018,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,14.1,,8.0,13.7,13.5,20.6
90,PROVIDENCE HOSPITAL (010090),2018,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,16.5,3.9,7.0,17.6,15.0,14.8
91,PROVIDENCE HOSPITAL (010090),2018,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,16.5,3.9,7.0,17.6,15.0,14.8
92,GROVE HILL MEMORIAL HOSPITAL (010091),2018,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,,,9.3,,11.7,15.7
93,GROVE HILL MEMORIAL HOSPITAL (010091),2018,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,,,9.3,,11.7,15.7
94,D C H REGIONAL MEDICAL CENTER (010092),2018,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,13.4,3.7,9.7,13.8,12.7,17.3
95,D C H REGIONAL MEDICAL CENTER (010092),2018,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,13.4,3.7,9.7,13.8,12.7,17.3
96,HALE COUNTY HOSPITAL (010095),2018,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,,,8.0,,11.8,15.0
97,HALE COUNTY HOSPITAL (010095),2018,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,,,8.0,,11.8,15.0
98,ELMORE COMMUNITY HOSPITAL (010097),2018,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,,,8.6,,10.1,13.6
99,ELMORE COMMUNITY HOSPITAL (010097),2018,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,,,8.6,,10.1,13.6
100,D W MCMILLAN MEMORIAL HOSPITAL (010099),2018,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,14.3,,8.6,15.5,11.5,21.3
101,D W MCMILLAN MEMORIAL HOSPITAL (010099),2018,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,14.3,,8.6,15.5,11.5,21.3
102,THOMAS HOSPITAL (010100),2018,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,11.7,4.4,9.2,13.6,12.9,17.0
103,THOMAS HOSPITAL (010100),2018,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,11.7,4.4,9.2,13.6,12.9,17.0
104,CITIZENS BAPTIST MEDICAL CENTER (010101),2018,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,,,9.1,14.8,13.3,18.7
105,CITIZENS BAPTIST MEDICAL CENTER (010101),2018,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,,,9.1,14.8,13.3,18.7
106,J PAUL JONES HOSPITAL (010102),2018,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL,,,,,,16.6
107,J PAUL JONES HOSPITAL (010102),2018,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL,,,,,,16.6
108,PRINCETON BAPTIST MEDICAL CENTER (010103),2018,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,16.4,3.7,7.5,15.7,12.4,18.9
109,PRINCETON BAPTIST MEDICAL CENTER (010103),2018,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,16.4,3.7,7.5,15.7,12.4,18.9
110,GRANDVIEW MEDICAL CENTER (010104),2018,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,13.6,5.3,9.3,14.4,11.8,16.2
111,GRANDVIEW MEDICAL CENTER (010104),2018,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,13.6,5.3,9.3,14.4,11.8,16.2
112,PRATTVILLE BAPTIST HOSPITAL (010108),2018,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,13.1,,6.4,15.2,8.2,15.5
113,PRATTVILLE BAPTIST HOSPITAL (010108),2018,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,13.1,,6.4,15.2,8.2,15.5
114,PICKENS COUNTY MEDICAL CENTER (010109),2018,Acute Care,Government - Hospital District or Authority,49.0,33.274807,-88.089673,AL,,,8.2,,12.3,15.0
115,PICKENS COUNTY MEDICAL CENTER (010109),2018,Acute Care,Government - Hospital District or Authority,49.0,33.274807,-88.089673,AL,,,8.2,,12.3,15.0
116,BULLOCK COUNTY HOSPITAL (010110),2018,Acute Care,Proprietary,54.0,32.146182,-85.71638,AL,,,7.6,,,16.8
117,BULLOCK COUNTY HOSPITAL (010110),2018,Acute Care,Proprietary,54.0,32.146182,-85.71638,AL,,,7.6,,,16.8
118,BRYAN W. WHITFIELD MEMORIAL HOSPITAL (010112),2018,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,,,9.1,,9.7,14.7
119,BRYAN W. WHITFIELD MEMORIAL HOSPITAL (010112),2018,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,,,9.1,,9.7,14.7
120,MOBILE INFIRMARY MEDICAL CENTER (010113),2018,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,13.9,5.5,7.4,12.5,11.9,17.6
121,MOBILE INFIRMARY MEDICAL CENTER (010113),2018,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,13.9,5.5,7.4,12.5,11.9,17.6
122,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2018,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,12.9,,6.8,12.3,11.6,17.1
123,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2018,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,12.9,,6.8,12.3,11.6,17.1
124,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2018,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,14.6,,9.1,14.4,12.7,17.8
125,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2018,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,14.6,,9.1,14.4,12.7,17.8
126,MONROE COUNTY HOSPITAL (010120),2018,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,,,9.7,13.6,12.2,19.0
127,MONROE COUNTY HOSPITAL (010120),2018,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,,,9.7,13.6,12.2,19.0
128,LAKELAND COMMUNITY HOSPITAL (010125),2018,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,,,7.5,,11.0,12.2
129,LAKELAND COMMUNITY HOSPITAL (010125),2018,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,,,7.5,,11.0,12.2
130,TROY REGIONAL MEDICAL CENTER (010126),2018,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,,,9.1,13.7,13.1,20.7
131,TROY REGIONAL MEDICAL CENTER (010126),2018,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,,,9.1,13.7,13.1,20.7
132,JACKSON MEDICAL CENTER (010128),2018,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,,,9.6,,12.8,16.8
133,JACKSON MEDICAL CENTER (010128),2018,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,,,9.6,,12.8,16.8
134,NORTH BALDWIN INFIRMARY (010129),2018,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,,,7.8,,12.7,19.6
135,NORTH BALDWIN INFIRMARY (010129),2018,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,,,7.8,,12.7,19.6
136,ST VINCENT'S ST CLAIR (010130),2018,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,,,8.0,13.8,11.4,12.7
137,ST VINCENT'S ST CLAIR (010130),2018,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,,,8.0,13.8,11.4,12.7
138,CRESTWOOD MEDICAL CENTER (010131),2018,Acute Care,Proprietary,163.0,,,AL,12.4,,9.7,14.6,12.6,15.5
139,CRESTWOOD MEDICAL CENTER (010131),2018,Acute Care,Proprietary,163.0,,,AL,12.4,,9.7,14.6,12.6,15.5
140,BROOKWOOD BAPTIST MEDICAL CENTER (010139),2018,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,12.4,3.7,7.9,13.6,13.5,17.1
141,BROOKWOOD BAPTIST MEDICAL CENTER (010139),2018,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,12.4,3.7,7.9,13.6,13.5,17.1
142,SPRINGHILL MEMORIAL HOSPITAL (010144),2018,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,14.6,3.3,8.5,14.1,13.1,16.4
143,SPRINGHILL MEMORIAL HOSPITAL (010144),2018,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,14.6,3.3,8.5,14.1,13.1,16.4
144,RMC JACKSONVILLE (010146),2018,Acute Care,Proprietary,65.0,,,AL,,,7.7,,,17.6
145,RMC JACKSONVILLE (010146),2018,Acute Care,Proprietary,65.0,,,AL,,,7.7,,,17.6
146,EVERGREEN MEDICAL CENTER (010148),2018,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,,,7.6,13.8,11.5,13.5
147,EVERGREEN MEDICAL CENTER (010148),2018,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,,,7.6,13.8,11.5,13.5
148,BAPTIST MEDICAL CENTER EAST (010149),2018,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,12.6,,9.6,12.3,12.1,12.4
149,BAPTIST MEDICAL CENTER EAST (010149),2018,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,12.6,,9.6,12.3,12.1,12.4
150,BIRMINGHAM VA MEDICAL CENTER (01014F),2018,Acute Care (VA),Government - Federal,,,,,12.6,,,,8.8,13.5
151,L V STABLER MEMORIAL HOSPITAL (010150),2018,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,,,8.2,15.6,11.3,14.8
152,L V STABLER MEMORIAL HOSPITAL (010150),2018,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,,,8.2,15.6,11.3,14.8
153,SHOALS HOSPITAL (010157),2018,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,,,9.2,,11.0,15.4
154,SHOALS HOSPITAL (010157),2018,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,,,9.2,,11.0,15.4
155,RUSSELLVILLE HOSPITAL (010158),2018,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,,,8.3,16.4,10.6,15.1
156,RUSSELLVILLE HOSPITAL (010158),2018,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,,,8.3,16.4,10.6,15.1
157,COOSA VALLEY MEDICAL CENTER (010164),2018,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,13.4,,8.0,13.8,11.9,20.4
158,COOSA VALLEY MEDICAL CENTER (010164),2018,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,13.4,,8.0,13.8,11.9,20.4
159,JACK HUGHSTON MEMORIAL HOSPITAL (010168),2018,Acute Care,Government - State,52.0,32.509045,-85.005696,AL,,,,,11.9,14.5
160,JACK HUGHSTON MEMORIAL HOSPITAL (010168),2018,Acute Care,Government - State,52.0,32.509045,-85.005696,AL,,,,,11.9,14.5
161,ATMORE COMMUNITY HOSPITAL (010169),2018,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,,,7.6,,10.0,15.7
162,ATMORE COMMUNITY HOSPITAL (010169),2018,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,,,7.6,,10.0,15.7
163,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY (01019F),2018,Acute Care (VA),Government - Federal,,,,,,,,,9.3,15.8
164,RED BAY HOSPITAL (011302),2018,Critical Access,Government - Hospital District or Authority,25.0,34.457425,-88.146934,AL,,,,,,14.8
165,RED BAY HOSPITAL (011302),2018,Critical Access,Government - Hospital District or Authority,25.0,34.457425,-88.146934,AL,,,,,,14.8
166,ST VINCENTS BLOUNT (011305),2018,Critical Access,Voluntary non-profit - Private,25.0,33.932537,-86.493059,AL,,,8.0,,10.2,16.0
167,ST VINCENTS BLOUNT (011305),2018,Critical Access,Voluntary non-profit - Private,25.0,33.932537,-86.493059,AL,,,8.0,,10.2,16.0
