,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,AMI 30-Day Mortality Rate (MORT 30 AMI),Death rate for CABG surgery patients (MORT 30 CABG),Death rate for COPD patients (MORT 30 COPD),Death rate for stroke patients (MORT 30 STK),Heart failure 30-Day Mortality Rate (MORT 30 HF),Pneumonia 30-Day Mortality Rate (MORT 30 PN)
18,STRINGFELLOW MEMORIAL HOSPITAL (010038),2020,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,12.5,,7.9,13.8,12.1,15.2
19,HUNTSVILLE HOSPITAL (010039),2020,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,13.1,2.2,9.6,17.7,12.3,18.7
20,GADSDEN REGIONAL MEDICAL CENTER (010040),2020,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,11.7,2.7,7.3,12.9,10.9,16.8
21,MARION REGIONAL MEDICAL CENTER (010044),2020,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,,,6.9,,9.6,12.8
22,FAYETTE MEDICAL CENTER (010045),2020,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,,,8.7,,12.4,14.8
23,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2020,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,12.9,,7.4,11.8,8.8,18.3
24,MEDICAL CENTER ENTERPRISE (010049),2020,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,,,9.5,13.5,12.5,17.5
25,LAKE MARTIN COMMUNITY HOSPITAL (010052),2020,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,,,7.9,,,15.2
26,FLOWERS HOSPITAL (010055),2020,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,14.0,3.4,10.9,11.9,14.5,19.0
27,ST VINCENT'S BIRMINGHAM (010056),2020,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,11.9,3.2,6.6,13.4,10.0,14.4
28,BIBB MEDICAL CENTER (010058),2020,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,,,,,10.4,15.0
29,LAWRENCE MEDICAL CENTER (010059),2020,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,,,8.2,,10.4,13.4
30,HIGHLANDS MEDICAL CENTER (010061),2020,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,,,8.7,13.1,14.0,13.8
31,WIREGRASS MEDICAL CENTER (010062),2020,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,,,7.8,,10.1,15.4
32,RUSSELL MEDICAL CENTER (010065),2020,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,12.7,,9.4,14.8,13.4,16.5
33,MEDICAL CENTER BARBOUR (010069),2020,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,,,9.4,,11.7,12.0
34,CLAY COUNTY HOSPITAL (010073),2020,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,,,8.9,,11.9,16.4
35,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER (010078),2020,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,13.2,3.5,7.7,16.2,12.4,17.9
36,ATHENS LIMESTONE HOSPITAL (010079),2020,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,,,8.0,13.5,10.8,19.7
37,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2020,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,13.6,,8.5,13.3,10.8,14.6
38,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS (010085),2020,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,12.6,,7.3,16.2,11.0,16.3
39,NORTHWEST MEDICAL CENTER (010086),2020,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,,,8.4,,14.8,14.5
40,USA HEALTH UNIVERSITY HOSPITAL (010087),2020,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,,,,16.4,10.5,14.7
41,WALKER BAPTIST MEDICAL CENTER (010089),2020,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,,,10.1,13.3,13.8,22.8
42,PROVIDENCE HOSPITAL (010090),2020,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,13.0,3.3,9.4,13.8,13.9,15.8
43,GROVE HILL MEMORIAL HOSPITAL (010091),2020,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,,,9.0,,11.5,13.8
44,D C H REGIONAL MEDICAL CENTER (010092),2020,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,12.7,2.6,8.5,13.7,12.2,16.4
45,HALE COUNTY HOSPITAL (010095),2020,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,,,7.7,,,
46,ELMORE COMMUNITY HOSPITAL (010097),2020,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,,,8.8,,,14.8
47,D W MCMILLAN MEMORIAL HOSPITAL (010099),2020,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,,,8.9,13.9,11.7,15.8
48,THOMAS HOSPITAL (010100),2020,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,11.8,2.8,8.7,12.8,13.6,19.8
49,CITIZENS BAPTIST MEDICAL CENTER (010101),2020,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,,,10.0,12.5,11.3,19.8
50,J PAUL JONES HOSPITAL (010102),2020,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL,,,,,,17.7
51,PRINCETON BAPTIST MEDICAL CENTER (010103),2020,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,12.7,2.4,9.3,14.9,12.9,17.7
52,GRANDVIEW MEDICAL CENTER (010104),2020,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,12.1,4.8,8.0,11.9,11.0,16.6
53,PRATTVILLE BAPTIST HOSPITAL (010108),2020,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,12.8,,6.2,13.2,8.3,12.0
54,PICKENS COUNTY MEDICAL CENTER (010109),2020,Acute Care,Government - Hospital District or Authority,49.0,33.274807,-88.089673,AL,,,,,,15.0
55,BULLOCK COUNTY HOSPITAL (010110),2020,Acute Care,Proprietary,54.0,32.146182,-85.71638,AL,,,9.5,,,
56,WHITFIELD REGIONAL HOSPITAL (010112),2020,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,,,9.6,,11.0,16.3
57,MOBILE INFIRMARY MEDICAL CENTER (010113),2020,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,12.2,5.1,8.9,10.9,12.4,19.7
58,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2020,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,,,7.5,11.4,10.6,16.8
59,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2020,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,13.6,,9.8,13.4,12.4,18.6
60,MONROE COUNTY HOSPITAL (010120),2020,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,,,9.2,12.9,11.6,16.5
61,LAKELAND COMMUNITY HOSPITAL (010125),2020,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,,,7.4,13.7,10.1,13.7
62,TROY REGIONAL MEDICAL CENTER (010126),2020,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,,,8.9,,10.9,21.5
63,JACKSON MEDICAL CENTER (010128),2020,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,,,9.0,,12.1,17.1
64,NORTH BALDWIN INFIRMARY (010129),2020,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,,,9.5,,13.2,20.1
65,ST VINCENT'S ST CLAIR (010130),2020,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,,,8.0,13.6,13.0,14.6
66,CRESTWOOD MEDICAL CENTER (010131),2020,Acute Care,Proprietary,163.0,,,AL,13.0,,9.9,12.3,11.3,14.8
67,BROOKWOOD BAPTIST MEDICAL CENTER (010139),2020,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,12.2,2.8,8.8,12.9,11.9,16.9
68,SPRINGHILL MEDICAL CENTER (010144),2020,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,13.7,3.9,8.4,12.4,12.3,17.7
69,EVERGREEN MEDICAL CENTER (010148),2020,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,,,6.3,13.1,9.7,11.7
70,BAPTIST MEDICAL CENTER EAST (010149),2020,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,12.5,,8.6,12.2,10.9,14.4
71,BIRMINGHAM VA MEDICAL CENTER (01014F),2020,Acute Care (VA),Government - Federal,,,,,10.8,,7.7,,6.6,11.5
72,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL (010150),2020,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,,,9.7,,13.4,17.2
73,SHOALS HOSPITAL (010157),2020,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,,,10.2,,9.0,16.1
74,RUSSELLVILLE HOSPITAL (010158),2020,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,,,7.9,,11.4,18.6
75,COOSA VALLEY MEDICAL CENTER (010164),2020,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,12.9,,7.4,13.2,9.7,18.6
76,JACK HUGHSTON MEMORIAL HOSPITAL (010168),2020,Acute Care,Government - State,52.0,32.509045,-85.005696,AL,,,7.7,,12.0,14.9
77,ATMORE COMMUNITY HOSPITAL (010169),2020,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,,,7.8,,11.4,15.4
78,ST VINCENT'S CHILTON (010173),2020,Acute Care,Voluntary non-profit - Church,26.0,32.876585,-86.623511,AL,,,8.1,,,15.9
79,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY (01019F),2020,Acute Care (VA),Government - Federal,,,,,,,6.9,,9.4,13.9
80,RED BAY HOSPITAL (011302),2020,Critical Access,Government - Hospital District or Authority,25.0,34.457425,-88.146934,AL,,,,,,15.2
81,CHOCTAW GENERAL HOSPITAL (011304),2020,Critical Access,Voluntary non-profit - Private,25.0,,,AL,,,,,,14.7
82,ST VINCENTS BLOUNT (011305),2020,Critical Access,Voluntary non-profit - Private,25.0,33.932537,-86.493059,AL,,,9.0,,11.0,15.3
83,PROVIDENCE ALASKA MEDICAL CENTER (020001),2020,Acute Care,Voluntary non-profit - Church,394.0,61.189798,-149.817622,AK,12.2,2.3,8.5,14.9,12.2,17.0
84,MAT-SU REGIONAL MEDICAL CENTER (020006),2020,Acute Care,Voluntary non-profit - Private,90.0,61.561217,-149.258718,AK,13.4,,8.3,12.7,11.9,16.6
85,BARTLETT REGIONAL HOSPITAL (020008),2020,Acute Care,Government - Local,58.0,58.328696,-134.466829,AK,,,8.0,12.9,13.5,13.8
86,FAIRBANKS MEMORIAL HOSPITAL (020012),2020,Acute Care,Voluntary non-profit - Other,213.0,64.831407,-147.736254,AK,11.8,,10.2,13.7,12.7,16.7
87,ALASKA REGIONAL HOSPITAL (020017),2020,Acute Care,Proprietary,169.0,61.20979,-149.827379,AK,11.5,2.8,9.3,15.3,12.5,16.8
88,YUKON KUSKOKWIM DELTA REG HOSPITAL (020018),2020,Acute Care,Tribal,34.0,,,AK,,,7.6,,12.1,13.5
89,CENTRAL PENINSULA GENERAL HOSPITAL (020024),2020,Acute Care,Voluntary non-profit - Other,186.0,60.493865,-151.077658,AK,,,8.2,15.1,13.3,15.6
90,ALASKA NATIVE MEDICAL CENTER (020026),2020,Acute Care,Government - Federal,163.0,61.18189,-149.800578,AK,13.1,,6.9,14.6,12.7,16.5
91,PROVIDENCE KODIAK ISLAND MEDICAL CTR (021306),2020,Critical Access,Voluntary non-profit - Church,46.0,57.800835,-152.373943,AK,,,8.3,,,
92,PEACEHEALTH KETCHIKAN MEDICAL CENTER (021311),2020,Critical Access,Voluntary non-profit - Church,51.0,55.352717,-131.686049,AK,,,8.9,,12.5,14.4
93,SOUTH PENINSULA HOSPITAL (021313),2020,Critical Access,Voluntary non-profit - Private,49.0,59.652133,-151.550296,AK,,,8.7,,,16.6
94,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX (030002),2020,Acute Care,Voluntary non-profit - Other,706.0,33.465724,-112.058127,AZ,12.6,2.4,9.7,15.8,11.3,15.2
95,TUCSON MEDICAL CENTER (030006),2020,Acute Care,Voluntary non-profit - Private,520.0,32.250749,-110.880169,AZ,11.4,2.3,8.1,13.2,13.4,19.4
96,VERDE VALLEY MEDICAL CENTER (030007),2020,Acute Care,Voluntary non-profit - Private,102.0,34.736201,-112.031784,AZ,12.6,,9.5,14.3,12.1,16.4
97,ST. MARY'S HOSPITAL (030010),2020,Acute Care,Voluntary non-profit - Private,398.0,32.228923,-111.000032,AZ,11.4,3.3,10.0,16.0,11.3,15.3
98,ST JOSEPH'S HOSPITAL (030011),2020,Acute Care,Voluntary non-profit - Other,474.0,32.225946,-110.857838,AZ,13.2,,10.4,17.0,11.6,18.3
99,YAVAPAI REGIONAL MEDICAL CENTER (030012),2020,Acute Care,Government - Local,179.0,34.55938,-112.482065,AZ,11.7,3.1,9.8,14.4,10.4,14.5
100,YUMA REGIONAL MEDICAL CENTER (030013),2020,Acute Care,Voluntary non-profit - Private,397.0,32.683899,-114.633238,AZ,11.2,2.6,10.1,12.2,12.3,17.1
101,JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL (030014),2020,Acute Care,Voluntary non-profit - Private,258.0,33.567754,-112.07063,AZ,12.1,3.0,10.1,14.7,11.9,12.6
102,BANNER CASA GRANDE MEDICAL CENTER (030016),2020,Acute Care,Voluntary non-profit - Other,156.0,32.879608,-111.709253,AZ,11.0,,9.5,12.9,12.0,21.6
103,VALLEYWISE HEALTH MEDICAL CENTER (030022),2020,Acute Care,Government - Local,570.0,33.458525,-112.02643,AZ,,,,,9.9,15.9
104,FLAGSTAFF MEDICAL CENTER (030023),2020,Acute Care,Voluntary non-profit - Private,267.0,35.209534,-111.644835,AZ,14.7,3.4,9.6,12.0,12.6,12.7
105,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER (030024),2020,Acute Care,Voluntary non-profit - Church,560.0,33.480294,-112.079208,AZ,10.9,2.6,8.2,16.6,13.1,18.5
106,ABRAZO CENTRAL CAMPUS (030030),2020,Acute Care,Proprietary,186.0,33.524116,-112.101934,AZ,13.0,,8.9,13.1,10.2,19.9
107,CHANDLER REGIONAL MEDICAL CENTER (030036),2020,Acute Care,Voluntary non-profit - Other,318.0,33.298691,-111.873508,AZ,13.4,2.8,10.5,12.7,11.6,16.3
108,ST LUKE'S MEDICAL CENTER (030037),2020,Acute Care,Proprietary,209.0,33.451436,-112.042767,AZ,14.3,,,,10.8,14.1
109,SCOTTSDALE OSBORN MEDICAL CENTER (030038),2020,Acute Care,Proprietary,360.0,33.487639,-111.922725,AZ,13.0,,8.2,15.9,12.3,15.2
110,CANYON VISTA MEDICAL CENTER (030043),2020,Acute Care,Voluntary non-profit - Other,92.0,31.554635,-110.230726,AZ,12.7,,8.7,12.0,13.6,17.4
111,KINGMAN REGIONAL MEDICAL CENTER (030055),2020,Acute Care,Government - Hospital District or Authority,221.0,35.219907,-114.035813,AZ,14.1,4.3,9.2,13.2,8.6,17.7
112,BANNER BOSWELL MEDICAL CENTER (030061),2020,Acute Care,Voluntary non-profit - Other,508.0,33.604798,-112.282538,AZ,12.3,2.2,10.6,11.9,9.8,15.8
113,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER (030062),2020,Acute Care,Voluntary non-profit - Private,91.0,34.201967,-110.01839,AZ,13.3,,8.3,14.3,9.9,10.8
114,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS (030064),2020,Acute Care,Voluntary non-profit - Private,511.0,32.242362,-110.944092,AZ,13.0,4.3,7.5,14.8,10.0,15.8
115,BANNER DESERT MEDICAL CENTER (030065),2020,Acute Care,Voluntary non-profit - Private,632.0,33.39091,-111.874624,AZ,12.8,3.7,10.9,13.4,8.5,15.1
116,MT. GRAHAM REGIONAL MEDICAL CENTER (030068),2020,Acute Care,Government - Hospital District or Authority,45.0,32.821883,-109.732994,AZ,,,11.1,,,16.7
117,HAVASU REGIONAL MEDICAL CENTER (030069),2020,Acute Care,Proprietary,169.0,34.47998,-114.338537,AZ,12.5,3.2,7.2,12.5,11.8,16.6
118,FORT DEFIANCE INDIAN HOSPITAL (030071),2020,Acute Care,Government - Federal,54.0,,,AZ,,,7.5,,10.9,11.0
119,TUBA CITY REGIONAL HEALTH CARE CORPORATION (030073),2020,Acute Care,Voluntary non-profit - Other,73.0,,,AZ,,,,,,12.4
120,ABRAZO SCOTTSDALE CAMPUS (030083),2020,Acute Care,Proprietary,129.0,33.640603,-111.997692,AZ,13.3,,8.1,13.9,15.0,18.4
121,CHINLE COMPREHENSIVE HEALTH CARE FACILITY (030084),2020,Acute Care,Government - Federal,60.0,,,AZ,,,,,10.7,12.9
122,NORTHWEST MEDICAL CENTER (030085),2020,Acute Care,Proprietary,283.0,32.319581,-111.012054,AZ,14.1,3.6,9.6,16.2,15.8,19.0
123,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER (030087),2020,Acute Care,Proprietary,426.0,33.582467,-111.886032,AZ,12.7,2.4,8.3,12.2,10.3,13.9
124,BANNER BAYWOOD MEDICAL CENTER (030088),2020,Acute Care,Voluntary non-profit - Private,340.0,33.410465,-111.688045,AZ,13.3,,9.3,13.9,11.0,17.3
125,BANNER THUNDERBIRD MEDICAL CENTER (030089),2020,Acute Care,Government - Hospital District or Authority,566.0,33.610731,-112.178698,AZ,12.5,3.1,9.8,12.1,12.0,15.5
126,HONORHEALTH DEER VALLEY MEDICAL CENTER (030092),2020,Acute Care,Voluntary non-profit - Private,201.0,33.666425,-112.117188,AZ,12.6,2.5,7.8,12.6,11.2,13.9
127,BANNER DEL E. WEBB MEDICAL CENTER (030093),2020,Acute Care,Voluntary non-profit - Private,390.0,33.658307,-112.371939,AZ,11.7,,9.1,11.3,11.8,17.2
128,ARROWHEAD HOSPITAL (030094),2020,Acute Care,Proprietary,244.0,33.655042,-112.202889,AZ,12.6,2.8,8.0,13.9,10.9,15.5
129,WESTERN ARIZONA REGIONAL MEDICAL CENTER (030101),2020,Acute Care,Proprietary,133.0,35.109853,-114.555146,AZ,13.4,,9.1,12.1,10.8,15.3
130,MAYO CLINIC HOSPITAL (030103),2020,Acute Care,Voluntary non-profit - Private,277.0,33.663312,-111.955659,AZ,11.0,2.4,6.7,15.0,9.2,11.2
131,BANNER HEART HOSPITAL (030105),2020,Acute Care,Voluntary non-profit - Private,110.0,33.410378,-111.685273,AZ,10.3,3.3,,,11.6,17.5
132,ABRAZO WEST CAMPUS (030110),2020,Acute Care,Proprietary,190.0,33.464283,-112.354024,AZ,13.7,3.3,9.3,14.2,11.1,17.2
133,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS (030111),2020,Acute Care,Voluntary non-profit - Private,207.0,32.177882,-110.930891,AZ,12.5,,8.7,13.5,9.4,14.2
134,WHITERIVER PHS INDIAN HOSPITAL (030113),2020,Acute Care,Government - Federal,39.0,33.875976,-109.959528,AZ,,,,,,14.1
135,ORO VALLEY HOSPITAL (030114),2020,Acute Care,Proprietary,148.0,32.427183,-110.94954,AZ,12.4,,9.8,13.0,11.1,14.2
136,BANNER ESTRELLA MEDICAL CENTER (030115),2020,Acute Care,Voluntary non-profit - Private,288.0,33.479558,-112.257936,AZ,14.4,2.6,7.9,13.8,10.3,12.8
137,VALLEY VIEW MEDICAL CENTER (030117),2020,Acute Care,Proprietary,82.0,35.002363,-114.597954,AZ,12.6,,8.3,13.7,10.8,20.5
138,MERCY GILBERT MEDICAL CENTER (030119),2020,Acute Care,Voluntary non-profit - Church,202.0,33.286661,-111.755311,AZ,10.6,,9.5,11.8,10.5,13.0
139,"MOUNTAIN VISTA MEDICAL CENTER, LP (030121)",2020,Acute Care,Proprietary,171.0,33.3911,-111.615329,AZ,12.6,3.2,9.9,15.2,8.9,19.4
140,BANNER GATEWAY MEDICAL CENTER (030122),2020,Acute Care,Voluntary non-profit - Other,170.0,33.384225,-111.719634,AZ,,,7.9,12.7,10.6,15.0
141,SCOTTSDALE THOMPSON PEAK MEDICAL CENTER (030123),2020,Acute Care,Proprietary,98.0,33.669777,-111.921803,AZ,12.1,,7.2,12.5,10.3,13.8
142,PHOENIX VA MEDICAL CENTER (03012F),2020,Acute Care (VA),Government - Federal,,,,,12.0,,7.7,,9.4,13.4
143,BANNER IRONWOOD MEDICAL CENTER (030130),2020,Acute Care,Voluntary non-profit - Private,61.0,33.214839,-111.563447,AZ,,,7.8,,11.8,12.7
144,BANNER GOLDFIELD MEDICAL CENTER (030134),2020,Acute Care,Voluntary non-profit - Other,23.0,33.393343,-111.566796,AZ,,,8.0,,9.7,11.1
145,SANTA CRUZ VALLEY REGIONAL HOSPITAL (030137),2020,Acute Care,Proprietary,49.0,31.807943,-111.010966,AZ,11.9,,9.0,,12.1,11.8
146,VA S. ARIZONA HEALTHCARE SYSTEM (03013F),2020,Acute Care (VA),Government - Federal,,,,,11.3,,8.0,,9.6,12.6
147,VA NORTHERN ARIZONA HEALTHCARE SYSTEM (03033F),2020,Acute Care (VA),Government - Federal,,,,,,,7.7,,9.1,10.6
148,"NORTHERN COCHISE COMMUNITY HOSPITAL, INC. (031302)",2020,Critical Access,Government - Hospital District or Authority,39.0,32.264268,-109.837613,AZ,,,9.1,,,15.8
149,HOPI HEALTH CARE CENTER (031305),2020,Critical Access,Tribal,6.0,,,AZ,,,,,,14.1
150,SAGE MEMORIAL HOSPITAL (031309),2020,Critical Access,Voluntary non-profit - Private,25.0,,,AZ,,,,,,12.2
151,LA PAZ REGIONAL HOSPITAL (031317),2020,Critical Access,Voluntary non-profit - Private,25.0,34.135137,-114.285597,AZ,,,8.6,,11.7,17.1
152,BANNER PAYSON MEDICAL CENTER (031318),2020,Critical Access,Voluntary non-profit - Other,25.0,34.231351,-111.321361,AZ,,,8.7,12.9,9.1,15.5
153,SILOAM SPRINGS REGIONAL HOSPITAL (040001),2020,Acute Care,Proprietary,46.0,36.190377,-94.509658,AR,,,9.2,,11.9,15.6
154,JOHNSON REGIONAL MEDICAL CENTER (040002),2020,Acute Care,Voluntary non-profit - Private,86.0,35.464384,-93.445797,AR,,,10.8,12.9,11.5,18.1
155,WASHINGTON REGIONAL MEDICAL CENTER (040004),2020,Acute Care,Voluntary non-profit - Private,314.0,36.110984,-94.157862,AR,13.4,3.3,9.2,15.1,15.0,15.7
156,CHI-ST VINCENT INFIRMARY (040007),2020,Acute Care,Voluntary non-profit - Private,414.0,,,AR,13.8,3.1,8.5,14.5,11.2,14.2
157,MERCY HOSPITAL NORTHWEST ARKANSAS (040010),2020,Acute Care,Voluntary non-profit - Church,201.0,36.309562,-94.184709,AR,10.9,2.6,8.4,12.4,13.7,14.4
158,CHAMBERS MEMORIAL HOSPITAL (040011),2020,Acute Care,Voluntary non-profit - Private,41.0,35.054823,-93.388543,AR,,,8.2,,11.3,14.1
159,WHITE COUNTY MEDICAL CENTER (040014),2020,Acute Care,Voluntary non-profit - Private,315.0,35.250446,-91.696758,AR,15.0,,9.8,16.7,12.3,18.0
160,MENA REGIONAL HEALTH SYSTEM (040015),2020,Acute Care,Government - Local,65.0,34.588386,-94.221383,AR,,,8.1,15.3,18.5,18.4
161,UAMS MEDICAL CENTER (040016),2020,Acute Care,Government - State,480.0,34.751583,-92.320998,AR,13.7,,8.2,16.5,10.2,17.1
162,NORTH ARKANSAS REGIONAL MEDICAL CENTER (040017),2020,Acute Care,Voluntary non-profit - Other,133.0,36.236281,-93.107148,AR,,,10.6,11.5,11.5,18.8
163,BAPTIST HEALTH - VAN BUREN (040018),2020,Acute Care,Proprietary,68.0,35.434175,-94.339451,AR,,,8.5,,12.3,13.3
164,FORREST CITY MEDICAL CENTER (040019),2020,Acute Care,Proprietary,68.0,35.039275,-90.771894,AR,,,8.1,,12.5,18.7
