,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,AMI 30-Day Mortality Rate (MORT 30 AMI),Abdominopelvic accidental puncture or laceration rate (PSI 15),Death rate for CABG surgery patients (MORT 30 CABG),Death rate for COPD patients (MORT 30 COPD),Death rate for stroke patients (MORT 30 STK),Heart failure 30-Day Mortality Rate (MORT 30 HF),Iatrogenic pneumothorax rate (PSI 6),Infections from a large venous catheter (PSI 7),Patient safety and adverse events composite (PSI 90),Pneumonia 30-Day Mortality Rate (MORT 30 PN)
31,BIBB MEDICAL CENTER (010058),2017,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,,,,,,12.4,,,,18.8
32,LAWRENCE MEDICAL CENTER (010059),2017,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,,,,6.8,,12.2,,,,15.0
33,HIGHLANDS MEDICAL CENTER (010061),2017,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,,,,8.8,14.5,12.0,,,,15.5
34,WIREGRASS MEDICAL CENTER (010062),2017,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,,,,8.7,,13.8,,,,16.0
35,RUSSELL HOSPITAL (010065),2017,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,14.0,,,7.4,14.9,12.9,,,,19.7
36,MEDICAL CENTER BARBOUR (010069),2017,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,,,,8.6,13.3,11.5,,,,15.5
37,CLAY COUNTY HOSPITAL (010073),2017,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,,,,8.5,,13.7,,,,18.3
38,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER (010078),2017,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,12.2,,4.2,7.0,14.0,12.2,,,,18.7
39,ATHENS LIMESTONE HOSPITAL (010079),2017,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,,,,7.6,14.7,11.1,,,,18.0
40,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2017,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,13.8,,,7.2,15.6,11.2,,,,14.0
41,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS (010085),2017,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,14.8,,,7.8,15.5,11.3,,,,18.7
42,NORTHWEST MEDICAL CENTER (010086),2017,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,,,,7.8,17.4,12.7,,,,15.0
43,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER (010087),2017,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,,,,,17.8,12.0,,,,18.5
44,WALKER BAPTIST MEDICAL CENTER (010089),2017,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,12.6,,,7.0,14.2,12.4,,,,19.3
45,PROVIDENCE HOSPITAL (010090),2017,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,16.1,,4.3,6.6,19.0,15.6,,,,15.8
46,GROVE HILL MEMORIAL HOSPITAL (010091),2017,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,,,,8.3,,11.1,,,,17.1
47,D C H REGIONAL MEDICAL CENTER (010092),2017,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,16.1,,4.7,9.4,13.7,13.1,,,,17.5
48,HALE COUNTY HOSPITAL (010095),2017,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,,,,7.8,,,,,,15.4
49,ELMORE COMMUNITY HOSPITAL (010097),2017,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,,,,8.5,,11.0,,,,15.2
50,D W MCMILLAN MEMORIAL HOSPITAL (010099),2017,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,15.2,,,7.6,16.2,12.3,,,,21.8
51,THOMAS HOSPITAL (010100),2017,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,12.6,,3.9,8.3,13.4,12.2,,,,15.9
52,CITIZENS BAPTIST MEDICAL CENTER (010101),2017,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,,,,7.4,14.4,12.9,,,,19.5
53,J PAUL JONES HOSPITAL (010102),2017,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL,,,,,,,,,,17.0
54,PRINCETON BAPTIST MEDICAL CENTER (010103),2017,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,16.9,,4.4,7.4,15.6,12.0,,,,19.9
55,GRANDVIEW MEDICAL CENTER (010104),2017,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,14.4,,4.2,9.0,16.8,12.1,,,,17.5
56,PRATTVILLE BAPTIST HOSPITAL (010108),2017,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,13.6,,,6.3,15.4,8.7,,,,17.2
57,PICKENS COUNTY MEDICAL CENTER (010109),2017,Acute Care,Government - Hospital District or Authority,49.0,33.274807,-88.089673,AL,,,,7.6,,12.9,,,,19.3
58,BULLOCK COUNTY HOSPITAL (010110),2017,Acute Care,Proprietary,54.0,32.146182,-85.71638,AL,,,,7.5,,11.0,,,,17.8
59,BRYAN W. WHITFIELD MEMORIAL HOSPITAL (010112),2017,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,,,,8.4,,11.0,,,,15.8
60,MOBILE INFIRMARY MEDICAL CENTER (010113),2017,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,14.5,,4.6,7.6,13.6,11.5,,,,17.9
61,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2017,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,12.8,,,7.2,12.5,11.2,,,,17.5
62,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2017,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,14.8,,,8.9,14.4,10.2,,,,16.6
63,MONROE COUNTY HOSPITAL (010120),2017,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,,,,9.6,13.8,12.9,,,,20.4
64,LAKELAND COMMUNITY HOSPITAL (010125),2017,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,,,,7.2,15.0,12.8,,,,11.5
65,TROY REGIONAL MEDICAL CENTER (010126),2017,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,,,,8.4,14.2,12.4,,,,18.5
66,JACKSON MEDICAL CENTER (010128),2017,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,,,,8.2,,14.0,,,,16.7
67,NORTH BALDWIN INFIRMARY (010129),2017,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,,,,7.8,,12.7,,,,19.0
68,ST VINCENT'S ST CLAIR (010130),2017,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,13.2,,,8.7,14.0,11.0,,,,14.1
69,CRESTWOOD MEDICAL CENTER (010131),2017,Acute Care,Proprietary,163.0,,,AL,12.9,,,9.1,15.2,12.2,,,,16.9
70,BROOKWOOD MEDICAL CENTER (010139),2017,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,12.3,,3.4,7.6,14.2,13.8,,,,16.7
71,SPRINGHILL MEMORIAL HOSPITAL (010144),2017,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,14.5,,3.8,7.4,15.0,10.2,,,,16.7
72,RMC JACKSONVILLE (010146),2017,Acute Care,Proprietary,65.0,,,AL,,,,7.6,,13.4,,,,16.7
73,EVERGREEN MEDICAL CENTER (010148),2017,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,,,,7.3,14.5,11.7,,,,14.3
74,BAPTIST MEDICAL CENTER EAST (010149),2017,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,11.9,,,8.8,12.2,12.0,,,,13.5
75,L V STABLER MEMORIAL HOSPITAL (010150),2017,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,,,,7.6,,11.2,,,,14.7
76,SHOALS HOSPITAL (010157),2017,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,,,,10.0,15.8,11.7,,,,15.4
77,RUSSELLVILLE HOSPITAL (010158),2017,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,,,,8.4,16.7,11.9,,,,17.0
78,COOSA VALLEY MEDICAL CENTER (010164),2017,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,14.4,,,8.1,13.9,13.3,,,,19.8
79,ATMORE COMMUNITY HOSPITAL (010169),2017,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,,,,7.6,14.9,10.6,,,,14.3
80,RED BAY HOSPITAL (011302),2017,Critical Access,Government - Hospital District or Authority,25.0,34.457425,-88.146934,AL,,,,,,,,,,16.0
81,CHOCTAW GENERAL HOSPITAL (011304),2017,Critical Access,Voluntary non-profit - Private,25.0,,,AL,,,,,,,,,,16.2
82,ST VINCENTS BLOUNT (011305),2017,Critical Access,Voluntary non-profit - Private,25.0,33.932537,-86.493059,AL,,,,7.6,,10.6,,,,16.4
83,PROVIDENCE ALASKA MEDICAL CENTER (020001),2017,Acute Care,Voluntary non-profit - Church,394.0,61.189798,-149.817622,AK,12.6,,3.1,9.0,14.5,13.9,,,,18.8
84,MAT-SU REGIONAL MEDICAL CENTER (020006),2017,Acute Care,Voluntary non-profit - Private,90.0,61.561217,-149.258718,AK,14.3,,,9.2,15.2,13.7,,,,16.6
85,BARTLETT REGIONAL HOSPITAL (020008),2017,Acute Care,Government - Local,58.0,58.328696,-134.466829,AK,,,,10.9,14.5,13.4,,,,21.2
86,FAIRBANKS MEMORIAL HOSPITAL (020012),2017,Acute Care,Voluntary non-profit - Other,213.0,64.831407,-147.736254,AK,12.4,,,7.9,15.7,11.7,,,,18.3
87,ALASKA REGIONAL HOSPITAL (020017),2017,Acute Care,Proprietary,169.0,61.20979,-149.827379,AK,11.7,,2.3,9.0,14.7,11.7,,,,19.0
88,YUKON KUSKOKWIM DELTA REG HOSPITAL (020018),2017,Acute Care,Tribal,34.0,,,AK,,,,7.5,,12.6,,,,13.3
89,CENTRAL PENINSULA GENERAL HOSPITAL (020024),2017,Acute Care,Voluntary non-profit - Other,186.0,60.493865,-151.077658,AK,13.3,,,7.9,17.1,11.9,,,,16.7
90,ALASKA NATIVE MEDICAL CENTER (020026),2017,Acute Care,Government - Federal,163.0,61.18189,-149.800578,AK,14.1,,,6.6,15.3,11.9,,,,16.5
91,PROVIDENCE KODIAK ISLAND MEDICAL CTR (021306),2017,Critical Access,Voluntary non-profit - Church,46.0,57.800835,-152.373943,AK,,,,8.0,,,,,,18.1
92,PEACEHEALTH KETCHIKAN MEDICAL CENTER (021311),2017,Critical Access,Voluntary non-profit - Church,51.0,55.352717,-131.686049,AK,,,,8.1,14.3,13.0,,,,15.1
93,SOUTH PENINSULA HOSPITAL (021313),2017,Critical Access,Voluntary non-profit - Private,49.0,59.652133,-151.550296,AK,,,,7.7,,,,,,13.9
94,ABRAZO MARYVALE CAMPUS (030001),2017,Acute Care,Proprietary,231.0,,,AZ,,,,7.8,14.2,,,,,15.7
95,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX (030002),2017,Acute Care,Voluntary non-profit - Other,706.0,33.465724,-112.058127,AZ,12.8,,2.8,7.7,15.6,10.5,,,,15.0
96,TUCSON MEDICAL CENTER (030006),2017,Acute Care,Voluntary non-profit - Private,520.0,32.250749,-110.880169,AZ,14.1,,3.4,8.2,14.6,12.7,,,,16.0
97,VERDE VALLEY MEDICAL CENTER (030007),2017,Acute Care,Voluntary non-profit - Private,102.0,34.736201,-112.031784,AZ,13.3,,,9.1,13.5,11.5,,,,14.1
98,ST. MARY'S HOSPITAL (030010),2017,Acute Care,Voluntary non-profit - Private,398.0,32.228923,-111.000032,AZ,12.5,,3.3,11.3,14.8,12.7,,,,17.6
99,ST JOSEPH'S HOSPITAL (030011),2017,Acute Care,Voluntary non-profit - Other,474.0,32.225946,-110.857838,AZ,14.0,,,11.7,15.3,14.4,,,,17.6
100,YAVAPAI REGIONAL MEDICAL CENTER (030012),2017,Acute Care,Government - Local,179.0,34.55938,-112.482065,AZ,14.5,,5.1,10.6,16.4,13.3,,,,17.9
101,YUMA REGIONAL MEDICAL CENTER (030013),2017,Acute Care,Voluntary non-profit - Private,397.0,32.683899,-114.633238,AZ,12.4,,3.0,9.8,14.2,12.0,,,,16.1
102,JOHN C. LINCOLN MEDICAL CENTER (030014),2017,Acute Care,Voluntary non-profit - Private,258.0,33.567754,-112.07063,AZ,14.4,,2.7,7.9,17.8,13.1,,,,15.7
103,BANNER CASA GRANDE MEDICAL CENTER (030016),2017,Acute Care,Voluntary non-profit - Other,156.0,32.879608,-111.709253,AZ,12.3,,,8.2,14.7,10.6,,,,15.6
104,MARICOPA MEDICAL CENTER (030022),2017,Acute Care,Government - Local,570.0,33.458525,-112.02643,AZ,,,,,,11.0,,,,17.3
105,FLAGSTAFF MEDICAL CENTER (030023),2017,Acute Care,Voluntary non-profit - Private,267.0,35.209534,-111.644835,AZ,12.1,,4.3,8.4,14.8,10.1,,,,12.9
106,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER (030024),2017,Acute Care,Voluntary non-profit - Church,560.0,33.480294,-112.079208,AZ,13.2,,4.6,9.1,14.0,9.5,,,,17.3
107,ABRAZO CENTRAL CAMPUS (030030),2017,Acute Care,Proprietary,186.0,33.524116,-112.101934,AZ,15.0,,2.7,8.4,18.1,10.3,,,,12.9
108,BANNER PAYSON MEDICAL CENTER (030033),2017,Acute Care,Voluntary non-profit - Other,36.0,,,AZ,12.8,,,9.0,14.0,12.2,,,,15.9
109,CHANDLER REGIONAL MEDICAL CENTER (030036),2017,Acute Care,Voluntary non-profit - Other,318.0,33.298691,-111.873508,AZ,13.1,,2.6,8.2,13.7,9.8,,,,16.0
110,ST LUKE'S MEDICAL CENTER (030037),2017,Acute Care,Proprietary,209.0,33.451436,-112.042767,AZ,15.2,,2.6,9.8,,13.7,,,,16.5
111,SCOTTSDALE OSBORN MEDICAL CENTER (030038),2017,Acute Care,Proprietary,360.0,33.487639,-111.922725,AZ,15.0,,3.6,10.6,16.8,9.4,,,,15.4
112,CANYON VISTA MEDICAL CENTER (030043),2017,Acute Care,Voluntary non-profit - Other,92.0,31.554635,-110.230726,AZ,13.3,,,9.5,18.0,13.1,,,,15.8
113,KINGMAN REGIONAL MEDICAL CENTER (030055),2017,Acute Care,Government - Hospital District or Authority,221.0,35.219907,-114.035813,AZ,15.5,,4.0,6.5,13.3,13.5,,,,13.8
114,BANNER BOSWELL MEDICAL CENTER (030061),2017,Acute Care,Voluntary non-profit - Other,508.0,33.604798,-112.282538,AZ,12.6,,2.6,8.2,12.7,10.9,,,,14.5
115,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER (030062),2017,Acute Care,Voluntary non-profit - Private,91.0,34.201967,-110.01839,AZ,13.6,,,8.2,13.1,11.1,,,,14.5
116,BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS (030064),2017,Acute Care,Voluntary non-profit - Private,511.0,32.242362,-110.944092,AZ,12.4,,2.1,8.3,15.6,10.0,,,,13.3
117,BANNER DESERT MEDICAL CENTER (030065),2017,Acute Care,Voluntary non-profit - Private,632.0,33.39091,-111.874624,AZ,12.6,,3.0,6.8,16.4,10.3,,,,14.9
118,MT. GRAHAM REGIONAL MEDICAL CENTER (030068),2017,Acute Care,Government - Hospital District or Authority,45.0,32.821883,-109.732994,AZ,,,,9.4,,,,,,17.2
119,HAVASU REGIONAL MEDICAL CENTER (030069),2017,Acute Care,Proprietary,169.0,34.47998,-114.338537,AZ,15.2,,2.6,7.4,16.6,12.9,,,,14.7
120,FORT DEFIANCE INDIAN HOSPITAL (030071),2017,Acute Care,Government - Federal,54.0,,,AZ,,,,,,,,,,15.0
121,TUBA CITY REGIONAL HEALTH CARE CORPORATION (030073),2017,Acute Care,Voluntary non-profit - Other,73.0,,,AZ,,,,,,10.9,,,,14.0
122,SELLS HOSPITAL (030074),2017,Acute Care,Government - Federal,13.0,,,AZ,,1.41,,,,,0.4,0.17,0.9,
123,ABRAZO SCOTTSDALE CAMPUS (030083),2017,Acute Care,Proprietary,129.0,33.640603,-111.997692,AZ,13.2,,,8.5,,12.1,,,,18.3
124,CHINLE COMPREHENSIVE HEALTH CARE FACILITY (030084),2017,Acute Care,Government - Federal,60.0,,,AZ,,,,,,,,,,17.5
125,NORTHWEST MEDICAL CENTER (030085),2017,Acute Care,Proprietary,283.0,32.319581,-111.012054,AZ,16.4,,4.2,10.6,16.1,14.0,,,,18.3
126,SCOTTSDALE SHEA MEDICAL CENTER (030087),2017,Acute Care,Proprietary,426.0,33.582467,-111.886032,AZ,12.8,,3.7,6.6,10.9,11.3,,,,13.7
127,BANNER BAYWOOD MEDICAL CENTER (030088),2017,Acute Care,Voluntary non-profit - Private,340.0,33.410465,-111.688045,AZ,13.6,,,8.0,11.6,10.1,,,,15.2
128,BANNER THUNDERBIRD MEDICAL CENTER (030089),2017,Acute Care,Government - Hospital District or Authority,566.0,33.610731,-112.178698,AZ,12.9,,3.2,8.2,14.1,11.0,,,,14.5
129,HONORHEALTH DEER VALLEY MEDICAL CENTER (030092),2017,Acute Care,Voluntary non-profit - Private,201.0,33.666425,-112.117188,AZ,14.1,,4.3,7.7,12.9,11.4,,,,18.7
130,BANNER DEL E. WEBB MEDICAL CENTER (030093),2017,Acute Care,Voluntary non-profit - Private,390.0,33.658307,-112.371939,AZ,13.4,,,9.8,14.6,13.2,,,,16.5
131,ABRAZO ARROWHEAD CAMPUS (030094),2017,Acute Care,Proprietary,244.0,33.655042,-112.202889,AZ,13.8,,2.7,7.7,17.0,12.7,,,,16.3
132,WESTERN ARIZONA REGIONAL MEDICAL CENTER (030101),2017,Acute Care,Proprietary,133.0,35.109853,-114.555146,AZ,14.3,,,8.3,13.7,13.2,,,,15.1
133,MAYO CLINIC HOSPITAL (030103),2017,Acute Care,Voluntary non-profit - Private,277.0,33.663312,-111.955659,AZ,10.6,,2.4,6.8,15.1,8.8,,,,10.8
134,BANNER HEART HOSPITAL (030105),2017,Acute Care,Voluntary non-profit - Private,110.0,33.410378,-111.685273,AZ,12.3,,3.4,9.7,,9.1,,,,17.7
135,ABRAZO WEST CAMPUS (030110),2017,Acute Care,Proprietary,190.0,33.464283,-112.354024,AZ,13.7,,2.5,7.6,15.3,12.0,,,,16.3
136,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS (030111),2017,Acute Care,Voluntary non-profit - Private,207.0,32.177882,-110.930891,AZ,13.4,,,8.3,14.6,11.9,,,,14.4
137,WHITERIVER PHS INDIAN HOSPITAL (030113),2017,Acute Care,Government - Federal,39.0,33.875976,-109.959528,AZ,,,,,,,,,,14.8
138,ORO VALLEY HOSPITAL (030114),2017,Acute Care,Proprietary,148.0,32.427183,-110.94954,AZ,13.2,,,7.1,13.7,11.9,,,,14.4
139,BANNER ESTRELLA MEDICAL CENTER (030115),2017,Acute Care,Voluntary non-profit - Private,288.0,33.479558,-112.257936,AZ,14.4,,,8.6,15.0,8.4,,,,15.7
140,VALLEY VIEW MEDICAL CENTER (030117),2017,Acute Care,Proprietary,82.0,35.002363,-114.597954,AZ,12.5,,,6.8,13.3,10.4,,,,14.8
141,MERCY GILBERT MEDICAL CENTER (030119),2017,Acute Care,Voluntary non-profit - Church,202.0,33.286661,-111.755311,AZ,13.4,,,7.0,14.8,10.5,,,,13.2
142,GILBERT HOSPITAL (030120),2017,Acute Care,Proprietary,19.0,,,AZ,,,,,,,,,,16.0
143,"MOUNTAIN VISTA MEDICAL CENTER, LP (030121)",2017,Acute Care,Proprietary,171.0,33.3911,-111.615329,AZ,16.7,,3.1,8.9,14.8,10.7,,,,17.5
144,BANNER GATEWAY MEDICAL CENTER (030122),2017,Acute Care,Voluntary non-profit - Other,170.0,33.384225,-111.719634,AZ,12.9,,,8.3,13.5,12.4,,,,16.0
145,SCOTTSDALE THOMPSON PEAK MEDICAL CENTER (030123),2017,Acute Care,Proprietary,98.0,33.669777,-111.921803,AZ,12.8,,,7.4,14.3,10.7,,,,14.4
146,BANNER IRONWOOD MEDICAL CENTER (030130),2017,Acute Care,Voluntary non-profit - Private,61.0,33.214839,-111.563447,AZ,,,,7.2,,12.0,,,,14.5
147,"FLORENCE HOSPITAL AT ANTHEM, LLC (030132)",2017,Acute Care,Proprietary,36.0,,,AZ,,,,,,,,,,16.6
148,BANNER GOLDFIELD MEDICAL CENTER (030134),2017,Acute Care,Voluntary non-profit - Other,23.0,33.393343,-111.566796,AZ,,,,7.9,,12.3,,,,13.1
149,GREEN VALLEY HOSPITAL (030137),2017,Acute Care,Proprietary,49.0,31.807943,-111.010966,AZ,,,,7.8,,10.3,,,,16.7
150,"NORTHERN COCHISE COMMUNITY HOSPITAL, INC. (031302)",2017,Critical Access,Government - Hospital District or Authority,39.0,32.264268,-109.837613,AZ,,,,7.6,,,,,,13.1
151,HOPI HEALTH CARE CENTER (031305),2017,Critical Access,Tribal,6.0,,,AZ,,,,,,,,,,14.5
152,SAGE MEMORIAL HOSPITAL (031309),2017,Critical Access,Voluntary non-profit - Private,25.0,,,AZ,,,,,,,,,,13.7
153,WHITE MOUNTAIN REGIONAL MEDICAL CENTER (031315),2017,Critical Access,Voluntary non-profit - Private,21.0,34.132136,-109.286545,AZ,,,,,,,,,,16.2
154,LA PAZ REGIONAL HOSPITAL (031317),2017,Critical Access,Voluntary non-profit - Private,25.0,34.135137,-114.285597,AZ,12.0,,,8.0,,12.1,,,,16.5
155,SILOAM SPRINGS REGIONAL HOSPITAL (040001),2017,Acute Care,Proprietary,46.0,36.190377,-94.509658,AR,,,,8.5,,12.1,,,,17.5
