,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,AMI 30-Day Mortality Rate (MORT 30 AMI),Acute Myocardial Infarction 30-Day Readmission Rate (READM 30 AMI),Heart failure 30-Day Mortality Rate (MORT 30 HF),Heart failure 30-Day Readmission Rate (READM 30 HF),Hospital-wide readmission rate after discharge (READM 30 HOSP WIDE),Pneumonia 30-Day Mortality Rate (MORT 30 PN),Pneumonia 30-Day Readmission Rate (READM 30 PN),Rate of readmission after hip/knee surgery (READM 30 HIP KNEE)
11,BAPTIST MEDICAL CENTER SOUTH (010023),2014,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,18.2,19.0,10.8,23.2,,14.1,18.5,5.4
12,JACKSON HOSPITAL & CLINIC INC (010024),2014,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,17.3,15.9,10.4,22.5,,15.7,18.3,5.2
13,GEORGE H. LANIER MEMORIAL HOSPITAL (010025),2014,Acute Care,Voluntary non-profit - Other,187.0,,,AL,14.0,18.6,9.9,23.3,,11.4,17.6,5.5
14,EAST ALABAMA MEDICAL CENTER (010029),2014,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,17.1,20.9,11.8,22.1,,12.8,15.5,4.7
15,WEDOWEE HOSPITAL (010032),2014,Acute Care,Government - Hospital District or Authority,30.0,,,AL,,,11.8,23.9,,13.7,19.6,
16,UNIVERSITY OF ALABAMA HOSPITAL (010033),2014,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,15.7,20.0,11.5,22.8,,12.5,21.5,6.4
17,COMMUNITY HOSPITAL INC (010034),2014,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,,,12.4,24.8,,11.4,18.5,
18,CULLMAN REGIONAL MEDICAL CENTER (010035),2014,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,15.9,16.9,13.4,23.8,,11.6,17.4,6.5
19,ANDALUSIA REGIONAL HOSPITAL (010036),2014,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,,,11.7,21.9,,11.4,18.9,5.4
20,STRINGFELLOW MEMORIAL HOSPITAL (010038),2014,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,16.5,18.5,12.0,23.2,,11.8,18.1,6.9
21,HUNTSVILLE HOSPITAL (010039),2014,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,15.4,16.6,12.2,22.0,,12.9,15.9,5.5
22,GADSDEN REGIONAL MEDICAL CENTER (010040),2014,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,16.7,20.9,11.2,23.6,,15.5,17.6,6.4
23,MARION REGIONAL MEDICAL CENTER (010044),2014,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,,,11.6,23.1,,8.4,16.6,
24,FAYETTE MEDICAL CENTER (010045),2014,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,16.7,,12.5,21.5,,12.9,18.6,
25,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2014,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,16.6,18.0,11.5,28.1,,13.7,19.3,6.2
26,GEORGIANA MEDICAL CENTER (010047),2014,Acute Care,Proprietary,22.0,,,AL,15.2,,12.4,24.6,,11.8,16.8,
27,MEDICAL CENTER ENTERPRISE (010049),2014,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,16.6,,14.1,23.5,,12.8,18.5,5.3
28,GREENE COUNTY HOSPITAL (010051),2014,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL,,,11.2,26.0,,11.6,18.3,
29,LAKE MARTIN COMMUNITY HOSPITAL (010052),2014,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,,,10.7,23.3,,9.8,18.4,
30,DECATUR MORGAN HOSPITAL-PARKWAY CAMPUS (010054),2014,Acute Care,Proprietary,114.0,,,AL,16.0,,11.2,25.1,,12.8,19.9,5.3
31,FLOWERS HOSPITAL (010055),2014,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,13.4,19.6,12.7,23.8,,11.1,17.8,5.6
32,ST VINCENT'S BIRMINGHAM (010056),2014,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,15.3,18.8,11.1,23.8,,12.8,18.8,6.6
33,BIBB MEDICAL CENTER (010058),2014,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,,,,,,13.9,17.7,
34,LAWRENCE MEDICAL CENTER (010059),2014,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,,,10.0,24.4,,9.6,16.9,
35,HIGHLANDS MEDICAL CENTER (010061),2014,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,14.6,,13.2,23.6,,12.5,18.8,7.0
36,WIREGRASS MEDICAL CENTER (010062),2014,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,,,13.8,21.6,,14.0,18.3,
37,RUSSELL HOSPITAL (010065),2014,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,17.2,19.0,12.3,21.9,,16.2,17.4,6.1
38,FLORALA MEMORIAL HOSPITAL (010066),2014,Acute Care,Proprietary,22.0,,,AL,,,10.2,24.6,,10.9,16.6,
39,MEDICAL CENTER BARBOUR (010069),2014,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,,,14.9,23.4,,15.8,18.6,
40,CLAY COUNTY HOSPITAL (010073),2014,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,,,14.3,25.3,,12.4,16.3,
41,NORTHEAST ALABAMA REGIONAL MED CENTER (010078),2014,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,16.2,19.3,10.9,22.9,,13.6,18.4,4.9
42,ATHENS-LIMESTONE HOSPITAL (010079),2014,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,14.7,,10.8,22.3,,11.6,15.9,5.7
43,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2014,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,15.9,17.8,14.3,23.4,,10.5,14.8,6.4
44,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS (010085),2014,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,15.6,17.2,12.8,19.9,,12.9,17.7,6.0
45,NORTHWEST MEDICAL CENTER (010086),2014,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,14.1,,11.5,21.8,,13.3,18.7,5.8
46,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER (010087),2014,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,,,,22.2,,,,
47,WALKER BAPTIST MEDICAL CENTER (010089),2014,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,16.0,18.3,11.1,20.7,,11.2,16.4,5.9
48,PROVIDENCE HOSPITAL (010090),2014,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,15.7,18.9,13.5,20.4,,11.4,17.0,4.9
49,GROVE HILL MEMORIAL HOSPITAL (010091),2014,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,,,10.5,23.3,,11.5,16.2,
50,D C H REGIONAL MEDICAL CENTER (010092),2014,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,14.7,19.9,12.6,23.8,,12.0,18.8,6.3
51,HALE COUNTY HOSPITAL (010095),2014,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,,,10.2,22.4,,11.2,17.6,
52,ELMORE COMMUNITY HOSPITAL (010097),2014,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,,,11.0,24.4,,11.7,18.6,
53,D W MCMILLAN MEMORIAL HOSPITAL (010099),2014,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,15.9,,13.8,25.1,,13.3,18.8,
54,THOMAS HOSPITAL (010100),2014,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,16.8,19.5,13.6,21.2,,13.9,16.0,5.2
55,CITIZENS BAPTIST MEDICAL CENTER (010101),2014,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,16.8,18.5,15.6,22.7,,11.1,16.5,
56,J PAUL JONES HOSPITAL (010102),2014,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL,,,,,,11.3,16.7,
57,BAPTIST MEDICAL CENTER-PRINCETON (010103),2014,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,14.7,19.3,12.2,21.9,,13.6,18.3,4.9
58,TRINITY MEDICAL CENTER (010104),2014,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,16.0,18.4,12.4,19.7,,15.3,15.4,6.2
59,PRATTVILLE BAPTIST HOSPITAL (010108),2014,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,14.0,,11.6,25.2,,14.4,19.5,
60,PICKENS COUNTY MEDICAL CENTER (010109),2014,Acute Care,Government - Hospital District or Authority,49.0,33.274807,-88.089673,AL,,,14.6,23.8,,12.6,16.7,
61,BULLOCK COUNTY HOSPITAL (010110),2014,Acute Care,Proprietary,54.0,32.146182,-85.71638,AL,,,12.2,24.5,,12.4,17.1,
62,BRYAN W WHITFIELD MEM HOSP INC (010112),2014,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,,,9.7,25.1,,8.5,17.5,5.6
63,MOBILE INFIRMARY (010113),2014,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,18.2,19.1,11.8,24.4,,14.2,18.5,5.8
64,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2014,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,14.4,18.7,11.2,22.1,,11.6,18.2,6.3
65,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2014,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,15.3,20.4,11.1,25.2,,14.1,18.6,
66,MONROE COUNTY HOSPITAL (010120),2014,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,,,13.3,23.8,,14.8,17.1,
67,LAKELAND COMMUNITY HOSPITAL (010125),2014,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,,,13.5,21.3,,11.6,17.8,
68,TROY REGIONAL MEDICAL CENTER (010126),2014,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,,,10.3,24.7,,11.9,21.1,5.3
69,JACKSON MEDICAL CENTER (010128),2014,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,,,11.5,23.8,,11.1,15.6,
70,NORTH BALDWIN INFIRMARY (010129),2014,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,,,11.8,23.2,,14.0,17.8,
71,ST VINCENT'S ST CLAIR (010130),2014,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,,,10.8,21.8,,11.0,19.1,
72,CRESTWOOD MEDICAL CENTER (010131),2014,Acute Care,Proprietary,163.0,,,AL,12.9,18.6,13.0,20.6,,12.1,17.2,5.7
73,BROOKWOOD MEDICAL CENTER (010139),2014,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,15.9,18.2,13.4,23.3,,12.8,16.6,6.3
74,SPRINGHILL MEDICAL CENTER (010144),2014,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,15.7,19.6,12.5,21.4,,14.1,17.5,5.2
75,JACKSONVILLE MEDICAL CENTER (010146),2014,Acute Care,Proprietary,65.0,,,AL,,,14.2,22.4,,16.9,17.5,
76,EVERGREEN MEDICAL CENTER (010148),2014,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,,,10.1,27.7,,11.7,17.9,
77,BAPTIST MEDICAL CENTER EAST (010149),2014,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,13.7,17.8,9.7,23.6,,10.3,15.4,6.1
78,BIRMINGHAM VA MEDICAL CENTER (01014F),2014,Acute Care (VA),Government - Federal,,,,,16.0,19.9,7.8,22.5,,11.5,17.6,
79,L V STABLER MEMORIAL HOSPITAL (010150),2014,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,,,11.4,21.3,,12.8,16.1,5.3
80,SHOALS HOSPITAL (010157),2014,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,,,14.0,23.6,,11.8,16.9,4.7
81,RUSSELLVILLE HOSPITAL (010158),2014,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,13.8,18.9,13.7,25.5,,14.1,18.4,5.7
82,COOSA VALLEY MEDICAL CENTER (010164),2014,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,14.6,18.9,13.0,22.3,,10.3,18.3,
83,JACK HUGHSTON MEMORIAL HOSPITAL (010168),2014,Acute Care,Government - State,52.0,32.509045,-85.005696,AL,,,11.4,22.1,,11.6,18.3,5.1
84,ATMORE COMMUNITY HOSPITAL (010169),2014,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,,,10.4,25.4,,12.8,18.4,
85,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY (01019F),2014,Acute Care (VA),Government - Federal,,,,,,,10.7,22.9,,11.1,16.7,
86,WASHINGTON COUNTY HOSPITAL (011300),2014,Critical Access,Proprietary,103.0,31.460296,-88.235291,AL,,,,22.0,,14.6,17.7,
87,RED BAY HOSPITAL (011302),2014,Critical Access,Government - Hospital District or Authority,25.0,34.457425,-88.146934,AL,,,12.6,24.2,,10.8,17.7,
88,PROVIDENCE ALASKA MEDICAL CENTER (020001),2014,Acute Care,Voluntary non-profit - Church,394.0,61.189798,-149.817622,AK,13.3,16.7,15.2,19.9,,11.5,15.3,5.4
89,MAT-SU REGIONAL MEDICAL CENTER (020006),2014,Acute Care,Voluntary non-profit - Private,90.0,61.561217,-149.258718,AK,17.7,18.3,14.0,22.7,,12.4,17.5,5.3
90,BARTLETT REGIONAL HOSPITAL (020008),2014,Acute Care,Government - Local,58.0,58.328696,-134.466829,AK,,,11.5,21.4,,10.8,17.5,5.7
91,FAIRBANKS MEMORIAL HOSPITAL (020012),2014,Acute Care,Voluntary non-profit - Other,213.0,64.831407,-147.736254,AK,15.2,17.1,14.8,21.7,,13.2,16.5,4.7
92,ALASKA REGIONAL HOSPITAL (020017),2014,Acute Care,Proprietary,169.0,61.20979,-149.827379,AK,15.2,17.2,13.4,23.6,,14.1,17.1,5.2
93,YUKON KUSKOKWIM DELTA REG HOSPITAL (020018),2014,Acute Care,Tribal,34.0,,,AK,,,11.2,24.3,,9.5,15.5,
94,CENTRAL PENINSULA GENERAL HOSPITAL (020024),2014,Acute Care,Voluntary non-profit - Other,186.0,60.493865,-151.077658,AK,,,10.8,23.9,,10.9,15.4,7.0
95,ALASKA NATIVE MEDICAL CENTER (020026),2014,Acute Care,Government - Federal,163.0,61.18189,-149.800578,AK,15.9,19.8,13.4,24.4,,14.2,19.7,5.5
96,MT EDGECUMBE HOSPITAL (020027),2014,Acute Care,Voluntary non-profit - Private,26.0,,,AK,,,,,,15.5,17.3,
97,SITKA COMMUNITY HOSPITAL (021303),2014,Critical Access,Government - Local,26.0,,,AK,,,,,,11.4,17.1,
98,WRANGELL MEDICAL CENTER (021305),2014,Critical Access,Government - Local,22.0,56.471646,-132.376414,AK,,,,,16.1,,,
99,PROVIDENCE KODIAK ISLAND MEDICAL CTR (021306),2014,Critical Access,Voluntary non-profit - Church,46.0,57.800835,-152.373943,AK,,,,21.7,,11.6,17.5,
100,PEACEHEALTH KETCHIKAN MEDICAL CENTER (021311),2014,Critical Access,Voluntary non-profit - Church,51.0,55.352717,-131.686049,AK,,,11.2,23.3,,13.1,16.3,5.2
101,SAMUEL SIMMONDS MEMORIAL HOSPITAL (021312),2014,Critical Access,Government - Federal,16.0,71.298135,-156.72732,AK,,,,,16.4,,,
102,SOUTH PENINSULA HOSPITAL (021313),2014,Critical Access,Voluntary non-profit - Private,49.0,59.652133,-151.550296,AK,,,,22.8,,12.4,17.6,
103,MARYVALE HOSPITAL (030001),2014,Acute Care,Proprietary,231.0,,,AZ,,,11.5,24.4,,11.1,17.2,
104,BANNER GOOD SAMARITAN MEDICAL CENTER (030002),2014,Acute Care,Voluntary non-profit - Other,706.0,33.465724,-112.058127,AZ,14.2,18.3,9.9,19.0,,11.1,18.0,5.6
105,TUCSON MEDICAL CENTER (030006),2014,Acute Care,Voluntary non-profit - Private,520.0,32.250749,-110.880169,AZ,14.4,18.6,13.6,22.0,,11.9,18.5,4.5
106,VERDE VALLEY MEDICAL CENTER (030007),2014,Acute Care,Voluntary non-profit - Private,102.0,34.736201,-112.031784,AZ,18.3,17.1,10.2,21.3,,12.4,16.9,4.7
107,CARONDELET ST  MARYS HOSPITAL (030010),2014,Acute Care,Voluntary non-profit - Private,398.0,32.228923,-111.000032,AZ,18.4,18.1,12.8,18.1,,9.9,17.2,4.5
108,CARONDELET ST JOSEPH'S HOSPITAL (030011),2014,Acute Care,Voluntary non-profit - Other,474.0,32.225946,-110.857838,AZ,17.3,17.4,10.4,20.4,,14.8,18.8,5.2
109,YAVAPAI REGIONAL MEDICAL CENTER (030012),2014,Acute Care,Government - Local,179.0,34.55938,-112.482065,AZ,14.9,16.0,12.6,22.6,,11.8,17.6,4.3
110,YUMA REGIONAL MEDICAL CENTER (030013),2014,Acute Care,Voluntary non-profit - Private,397.0,32.683899,-114.633238,AZ,11.7,15.9,12.8,21.1,,16.7,19.5,4.4
111,JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL (030014),2014,Acute Care,Voluntary non-profit - Private,258.0,33.567754,-112.07063,AZ,15.7,17.2,11.5,22.3,,11.0,17.3,6.5
112,CASA GRANDE REGIONAL MEDICAL CENTER (030016),2014,Acute Care,Voluntary non-profit - Other,156.0,32.879608,-111.709253,AZ,14.4,18.6,12.3,24.2,,14.0,19.5,5.5
113,MARICOPA MEDICAL CENTER (030022),2014,Acute Care,Government - Local,570.0,33.458525,-112.02643,AZ,,,,,,,17.6,
114,FLAGSTAFF MEDICAL CENTER (030023),2014,Acute Care,Voluntary non-profit - Private,267.0,35.209534,-111.644835,AZ,12.5,17.6,13.2,22.2,,9.3,15.3,5.0
115,ST JOSEPH'S HOSPITAL AND MEDICAL CENTER (030024),2014,Acute Care,Voluntary non-profit - Church,560.0,33.480294,-112.079208,AZ,16.6,18.0,11.6,22.9,,12.1,17.3,
116,PHOENIX BAPTIST HOSPITAL (030030),2014,Acute Care,Proprietary,186.0,33.524116,-112.101934,AZ,15.2,18.1,11.0,24.1,,15.3,18.2,5.0
117,PAYSON REGIONAL MEDICAL CENTER (030033),2014,Acute Care,Voluntary non-profit - Other,36.0,,,AZ,,,11.5,21.8,,13.0,16.6,6.1
118,CHANDLER REGIONAL MEDICAL CENTER (030036),2014,Acute Care,Voluntary non-profit - Other,318.0,33.298691,-111.873508,AZ,15.2,18.7,12.1,21.2,,11.5,19.4,5.8
119,ST LUKE'S MEDICAL CENTER (030037),2014,Acute Care,Proprietary,209.0,33.451436,-112.042767,AZ,14.7,18.7,11.2,22.6,,13.6,16.9,4.6
120,SCOTTSDALE HEALTHCARE OSBORN MEDICAL CENTER (030038),2014,Acute Care,Proprietary,360.0,33.487639,-111.922725,AZ,15.0,16.0,9.3,23.0,,11.8,17.2,4.2
121,SIERRA VISTA REGIONAL HEALTH CENTER (030043),2014,Acute Care,Voluntary non-profit - Other,92.0,31.554635,-110.230726,AZ,16.8,17.5,11.8,25.2,,10.9,18.3,6.3
122,KINGMAN REGIONAL MEDICAL CENTER (030055),2014,Acute Care,Government - Hospital District or Authority,221.0,35.219907,-114.035813,AZ,16.4,16.0,9.9,22.0,,12.9,18.0,5.2
123,BANNER BOSWELL MEDICAL CENTER (030061),2014,Acute Care,Voluntary non-profit - Other,508.0,33.604798,-112.282538,AZ,15.2,18.8,12.2,19.7,,10.9,15.7,4.4
124,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER (030062),2014,Acute Care,Voluntary non-profit - Private,91.0,34.201967,-110.01839,AZ,14.4,18.0,12.2,21.1,,12.0,16.1,5.3
125,"UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSITY, THE (030064)",2014,Acute Care,Voluntary non-profit - Private,511.0,32.242362,-110.944092,AZ,12.8,20.0,10.9,24.5,,10.6,17.2,6.5
126,BANNER DESERT MEDICAL CENTER (030065),2014,Acute Care,Voluntary non-profit - Private,632.0,33.39091,-111.874624,AZ,14.6,19.0,10.3,24.9,,10.3,19.7,5.2
127,MT GRAHAM REGIONAL MEDICAL CENTER (030068),2014,Acute Care,Government - Hospital District or Authority,45.0,32.821883,-109.732994,AZ,,,15.5,23.2,,11.5,17.6,5.1
128,HAVASU REGIONAL MEDICAL CENTER (030069),2014,Acute Care,Proprietary,169.0,34.47998,-114.338537,AZ,18.4,18.1,12.8,22.1,,15.4,17.1,5.1
129,FORT DEFIANCE INDIAN HOSPITAL (030071),2014,Acute Care,Government - Federal,54.0,,,AZ,,,,23.1,,10.0,17.4,
130,TUBA CITY REGIONAL HEALTH CARE CORPORATION (030073),2014,Acute Care,Voluntary non-profit - Other,73.0,,,AZ,,,11.4,24.2,,10.2,17.1,6.1
131,PHOENIX INDIAN MEDICAL CENTER (030078),2014,Acute Care,Government - Federal,119.0,33.49701,-112.047613,AZ,,,,,,10.7,17.4,
132,PARADISE VALLEY HOSPITAL (030083),2014,Acute Care,Proprietary,129.0,33.640603,-111.997692,AZ,15.3,17.7,12.4,24.1,,13.6,17.4,5.7
133,CHINLE COMPREHENSIVE HEALTH CARE FACILITY (030084),2014,Acute Care,Government - Federal,60.0,,,AZ,,,10.7,25.0,,10.7,17.3,
134,NORTHWEST MEDICAL CENTER (030085),2014,Acute Care,Proprietary,283.0,32.319581,-111.012054,AZ,17.7,18.9,13.1,19.8,,13.7,16.8,4.9
135,SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER (030087),2014,Acute Care,Proprietary,426.0,33.582467,-111.886032,AZ,14.0,15.8,8.8,22.9,,10.5,17.8,4.1
136,BANNER BAYWOOD MEDICAL CENTER (030088),2014,Acute Care,Voluntary non-profit - Private,340.0,33.410465,-111.688045,AZ,16.6,18.3,13.1,27.5,,10.1,17.8,4.9
137,BANNER THUNDERBIRD MEDICAL CENTER (030089),2014,Acute Care,Government - Hospital District or Authority,566.0,33.610731,-112.178698,AZ,16.1,20.4,9.0,24.5,,8.0,20.0,6.2
138,JOHN C LINCOLN DEER VALLEY HOSPITAL (030092),2014,Acute Care,Voluntary non-profit - Private,201.0,33.666425,-112.117188,AZ,13.4,17.9,11.2,23.2,,10.0,15.7,5.3
139,BANNER DEL E WEBB MEDICAL CENTER (030093),2014,Acute Care,Voluntary non-profit - Private,390.0,33.658307,-112.371939,AZ,13.4,18.3,12.9,22.3,,12.1,18.6,5.4
140,ARROWHEAD HOSPITAL (030094),2014,Acute Care,Proprietary,244.0,33.655042,-112.202889,AZ,15.0,17.4,11.7,22.5,,12.0,17.9,5.6
141,WESTERN ARIZONA REGIONAL MEDICAL CTR (030101),2014,Acute Care,Proprietary,133.0,35.109853,-114.555146,AZ,15.8,17.8,11.8,25.4,,12.3,19.7,6.1
142,MAYO CLINIC HOSPITAL (030103),2014,Acute Care,Voluntary non-profit - Private,277.0,33.663312,-111.955659,AZ,12.7,17.9,10.2,22.8,,7.9,17.1,5.6
143,BANNER HEART HOSPITAL (030105),2014,Acute Care,Voluntary non-profit - Private,110.0,33.410378,-111.685273,AZ,14.4,18.9,9.8,22.9,,13.9,18.7,
144,ARIZONA SPINE AND JOINT HOSPITAL (030107),2014,Acute Care,Proprietary,23.0,33.379206,-111.734695,AZ,,,,,,,,6.2
145,"SURGICAL HOSPITAL OF PHOENIX, THE (030108)",2014,Acute Care,Proprietary,32.0,33.531837,-112.099614,AZ,,,,,,,,5.5
146,WEST VALLEY HOSPITAL (030110),2014,Acute Care,Proprietary,190.0,33.464283,-112.354024,AZ,16.4,18.9,13.0,22.3,,11.8,17.0,5.6
147,"UNIVERSITY OF ARIZONA MEDICAL CTR- SOUTH CAM, THE (030111)",2014,Acute Care,Voluntary non-profit - Private,207.0,32.177882,-110.930891,AZ,16.3,17.4,11.9,22.9,,11.5,17.6,
148,ARIZONA ORTHOPEDIC AND SURGICAL SPECIALITY HOSP (030112),2014,Acute Care,Proprietary,24.0,33.33484,-111.891133,AZ,,,,,,,,6.3
149,WHITERIVER PHS INDIAN HOSPITAL (030113),2014,Acute Care,Government - Federal,39.0,33.875976,-109.959528,AZ,,,,,,10.4,15.9,
150,ORO VALLEY HOSPITAL (030114),2014,Acute Care,Proprietary,148.0,32.427183,-110.94954,AZ,15.1,17.2,11.6,23.2,,9.8,18.4,4.7
151,BANNER ESTRELLA MEDICAL CENTER (030115),2014,Acute Care,Voluntary non-profit - Private,288.0,33.479558,-112.257936,AZ,15.0,20.3,10.9,23.7,,10.2,18.6,6.8
152,VALLEY VIEW MEDICAL CENTER (030117),2014,Acute Care,Proprietary,82.0,35.002363,-114.597954,AZ,15.0,17.3,11.8,23.2,,12.4,18.9,7.6
