,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,AMI 30-Day Mortality Rate (MORT 30 AMI),Death rate for CABG surgery patients (MORT 30 CABG),Death rate for COPD patients (MORT 30 COPD),Death rate for stroke patients (MORT 30 STK),Heart failure 30-Day Mortality Rate (MORT 30 HF),Pneumonia 30-Day Mortality Rate (MORT 30 PN)
69,SPRINGHILL MEMORIAL HOSPITAL (010144),2019,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,14.7,3.5,9.1,13.7,13.3,17.2
70,EVERGREEN MEDICAL CENTER (010148),2019,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,,,6.8,12.5,9.4,12.9
71,BAPTIST MEDICAL CENTER EAST (010149),2019,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,12.3,,9.0,12.3,12.2,13.2
72,BIRMINGHAM VA MEDICAL CENTER (01014F),2019,Acute Care (VA),Government - Federal,,,,,11.5,,,,7.7,13.2
73,L V STABLER MEMORIAL HOSPITAL (010150),2019,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,,,9.7,14.5,13.4,15.0
74,SHOALS HOSPITAL (010157),2019,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,,,10.1,,10.6,16.2
75,RUSSELLVILLE HOSPITAL (010158),2019,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,,,8.1,15.7,10.8,14.6
76,COOSA VALLEY MEDICAL CENTER (010164),2019,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,13.2,,7.6,13.3,11.4,21.7
77,JACK HUGHSTON MEMORIAL HOSPITAL (010168),2019,Acute Care,Government - State,52.0,32.509045,-85.005696,AL,,,,,11.0,13.9
78,ATMORE COMMUNITY HOSPITAL (010169),2019,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,,,7.4,,11.3,15.9
79,ST VINCENT'S CHILTON (010173),2019,Acute Care,Voluntary non-profit - Church,26.0,32.876585,-86.623511,AL,,,8.2,,,16.3
80,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY (01019F),2019,Acute Care (VA),Government - Federal,,,,,,,,,9.0,15.3
81,RED BAY HOSPITAL (011302),2019,Critical Access,Government - Hospital District or Authority,25.0,34.457425,-88.146934,AL,,,,,,15.0
82,CHOCTAW GENERAL HOSPITAL (011304),2019,Critical Access,Voluntary non-profit - Private,25.0,,,AL,,,,,,15.0
83,ST VINCENTS BLOUNT (011305),2019,Critical Access,Voluntary non-profit - Private,25.0,33.932537,-86.493059,AL,,,8.4,,11.2,16.5
84,PROVIDENCE ALASKA MEDICAL CENTER (020001),2019,Acute Care,Voluntary non-profit - Church,394.0,61.189798,-149.817622,AK,11.5,2.9,8.1,14.5,12.8,17.0
85,MAT-SU REGIONAL MEDICAL CENTER (020006),2019,Acute Care,Voluntary non-profit - Private,90.0,61.561217,-149.258718,AK,13.3,,9.8,13.5,12.5,17.4
86,BARTLETT REGIONAL HOSPITAL (020008),2019,Acute Care,Government - Local,58.0,58.328696,-134.466829,AK,,,9.3,13.3,14.2,14.8
87,FAIRBANKS MEMORIAL HOSPITAL (020012),2019,Acute Care,Voluntary non-profit - Other,213.0,64.831407,-147.736254,AK,11.9,,9.1,13.6,12.3,17.5
88,ALASKA REGIONAL HOSPITAL (020017),2019,Acute Care,Proprietary,169.0,61.20979,-149.827379,AK,11.4,2.5,8.9,14.8,12.2,16.8
89,YUKON KUSKOKWIM DELTA REG HOSPITAL (020018),2019,Acute Care,Tribal,34.0,,,AK,,,7.8,,13.1,13.8
90,CENTRAL PENINSULA GENERAL HOSPITAL (020024),2019,Acute Care,Voluntary non-profit - Other,186.0,60.493865,-151.077658,AK,,,7.5,16.2,11.5,14.9
91,ALASKA NATIVE MEDICAL CENTER (020026),2019,Acute Care,Government - Federal,163.0,61.18189,-149.800578,AK,13.7,,7.1,14.4,13.5,16.9
92,PROVIDENCE KODIAK ISLAND MEDICAL CTR (021306),2019,Critical Access,Voluntary non-profit - Church,46.0,57.800835,-152.373943,AK,,,7.8,,,15.3
93,KETCHIKAN MEDICAL CENTER (021311),2019,Critical Access,Voluntary non-profit - Church,51.0,55.352717,-131.686049,AK,,,9.6,13.7,11.7,15.1
94,SOUTH PENINSULA HOSPITAL (021313),2019,Critical Access,Voluntary non-profit - Private,49.0,59.652133,-151.550296,AK,,,8.3,,,14.2
95,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX (030002),2019,Acute Care,Voluntary non-profit - Other,706.0,33.465724,-112.058127,AZ,11.9,2.3,9.3,14.8,9.7,16.0
96,TUCSON MEDICAL CENTER (030006),2019,Acute Care,Voluntary non-profit - Private,520.0,32.250749,-110.880169,AZ,11.3,2.6,7.6,14.3,13.8,18.1
97,VERDE VALLEY MEDICAL CENTER (030007),2019,Acute Care,Voluntary non-profit - Private,102.0,34.736201,-112.031784,AZ,12.6,,8.3,14.9,10.8,16.6
98,ST. MARY'S HOSPITAL (030010),2019,Acute Care,Voluntary non-profit - Private,398.0,32.228923,-111.000032,AZ,10.4,3.5,9.6,16.6,10.8,16.6
99,ST JOSEPH'S HOSPITAL (030011),2019,Acute Care,Voluntary non-profit - Other,474.0,32.225946,-110.857838,AZ,13.6,,11.8,16.4,13.2,18.7
100,YAVAPAI REGIONAL MEDICAL CENTER (030012),2019,Acute Care,Government - Local,179.0,34.55938,-112.482065,AZ,13.0,3.9,10.4,13.1,11.6,13.7
101,YUMA REGIONAL MEDICAL CENTER (030013),2019,Acute Care,Voluntary non-profit - Private,397.0,32.683899,-114.633238,AZ,10.9,3.1,10.6,14.4,11.3,16.4
102,JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL (030014),2019,Acute Care,Voluntary non-profit - Private,258.0,33.567754,-112.07063,AZ,12.9,3.0,10.7,14.5,11.9,13.3
103,BANNER CASA GRANDE MEDICAL CENTER (030016),2019,Acute Care,Voluntary non-profit - Other,156.0,32.879608,-111.709253,AZ,11.2,,9.3,13.3,11.5,17.2
104,MARICOPA MEDICAL CENTER (030022),2019,Acute Care,Government - Local,570.0,33.458525,-112.02643,AZ,,,,,10.2,17.1
105,FLAGSTAFF MEDICAL CENTER (030023),2019,Acute Care,Voluntary non-profit - Private,267.0,35.209534,-111.644835,AZ,13.0,3.4,9.6,12.7,11.9,12.4
106,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER (030024),2019,Acute Care,Voluntary non-profit - Church,560.0,33.480294,-112.079208,AZ,11.7,3.0,10.3,15.7,13.5,18.7
107,ABRAZO CENTRAL CAMPUS (030030),2019,Acute Care,Proprietary,186.0,33.524116,-112.101934,AZ,12.8,,9.7,14.2,10.2,17.4
108,CHANDLER REGIONAL MEDICAL CENTER (030036),2019,Acute Care,Voluntary non-profit - Other,318.0,33.298691,-111.873508,AZ,14.7,2.6,10.9,13.1,11.7,16.9
109,ST LUKE'S MEDICAL CENTER (030037),2019,Acute Care,Proprietary,209.0,33.451436,-112.042767,AZ,14.2,3.1,8.8,,11.8,14.8
110,SCOTTSDALE OSBORN MEDICAL CENTER (030038),2019,Acute Care,Proprietary,360.0,33.487639,-111.922725,AZ,14.0,3.2,8.3,15.8,10.9,16.0
111,CANYON VISTA MEDICAL CENTER (030043),2019,Acute Care,Voluntary non-profit - Other,92.0,31.554635,-110.230726,AZ,13.8,,9.5,15.2,14.7,17.5
112,KINGMAN REGIONAL MEDICAL CENTER (030055),2019,Acute Care,Government - Hospital District or Authority,221.0,35.219907,-114.035813,AZ,14.7,4.3,8.0,13.8,10.9,15.9
113,BANNER BOSWELL MEDICAL CENTER (030061),2019,Acute Care,Voluntary non-profit - Other,508.0,33.604798,-112.282538,AZ,11.6,2.4,9.3,12.3,8.6,16.6
114,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER (030062),2019,Acute Care,Voluntary non-profit - Private,91.0,34.201967,-110.01839,AZ,13.7,,9.1,14.0,12.1,12.8
115,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS (030064),2019,Acute Care,Voluntary non-profit - Private,511.0,32.242362,-110.944092,AZ,12.1,2.9,9.0,12.7,9.2,15.2
116,BANNER DESERT MEDICAL CENTER (030065),2019,Acute Care,Voluntary non-profit - Private,632.0,33.39091,-111.874624,AZ,12.3,2.7,10.3,13.0,10.5,15.1
117,MT. GRAHAM REGIONAL MEDICAL CENTER (030068),2019,Acute Care,Government - Hospital District or Authority,45.0,32.821883,-109.732994,AZ,,,10.5,,,16.5
118,HAVASU REGIONAL MEDICAL CENTER (030069),2019,Acute Care,Proprietary,169.0,34.47998,-114.338537,AZ,12.6,3.5,7.6,14.4,12.1,14.7
119,FORT DEFIANCE INDIAN HOSPITAL (030071),2019,Acute Care,Government - Federal,54.0,,,AZ,,,7.5,,10.4,12.3
120,TUBA CITY REGIONAL HEALTH CARE CORPORATION (030073),2019,Acute Care,Voluntary non-profit - Other,73.0,,,AZ,,,,,10.9,12.7
121,SAN CARLOS APACHE HEALTHCARE (030077),2019,Acute Care,Government - Federal,9.0,,,AZ,,,,,,14.7
122,PHOENIX INDIAN MEDICAL CENTER (030078),2019,Acute Care,Government - Federal,119.0,33.49701,-112.047613,AZ,,,,,,13.7
123,ABRAZO SCOTTSDALE CAMPUS (030083),2019,Acute Care,Proprietary,129.0,33.640603,-111.997692,AZ,12.5,,8.0,13.5,11.7,17.3
124,CHINLE COMPREHENSIVE HEALTH CARE FACILITY (030084),2019,Acute Care,Government - Federal,60.0,,,AZ,,,,,10.7,13.6
125,NORTHWEST MEDICAL CENTER (030085),2019,Acute Care,Proprietary,283.0,32.319581,-111.012054,AZ,14.9,3.0,10.9,15.2,16.5,20.3
126,SCOTTSDALE SHEA MEDICAL CENTER (030087),2019,Acute Care,Proprietary,426.0,33.582467,-111.886032,AZ,13.1,2.6,6.4,12.6,11.0,14.3
127,BANNER BAYWOOD MEDICAL CENTER (030088),2019,Acute Care,Voluntary non-profit - Private,340.0,33.410465,-111.688045,AZ,13.4,,8.4,11.9,9.6,17.3
128,BANNER THUNDERBIRD MEDICAL CENTER (030089),2019,Acute Care,Government - Hospital District or Authority,566.0,33.610731,-112.178698,AZ,12.8,3.3,10.1,11.9,11.7,14.6
129,HONORHEALTH DEER VALLEY MEDICAL CENTER (030092),2019,Acute Care,Voluntary non-profit - Private,201.0,33.666425,-112.117188,AZ,12.7,3.4,8.2,12.8,10.6,15.3
130,BANNER DEL E. WEBB MEDICAL CENTER (030093),2019,Acute Care,Voluntary non-profit - Private,390.0,33.658307,-112.371939,AZ,11.3,,9.8,11.8,12.3,16.8
131,ABRAZO ARROWHEAD CAMPUS (030094),2019,Acute Care,Proprietary,244.0,33.655042,-112.202889,AZ,13.4,3.3,8.1,14.7,11.7,15.5
132,WESTERN ARIZONA REGIONAL MEDICAL CENTER (030101),2019,Acute Care,Proprietary,133.0,35.109853,-114.555146,AZ,12.3,,10.4,12.5,10.6,14.2
133,MAYO CLINIC HOSPITAL (030103),2019,Acute Care,Voluntary non-profit - Private,277.0,33.663312,-111.955659,AZ,10.9,2.7,6.5,15.5,8.4,10.5
134,BANNER HEART HOSPITAL (030105),2019,Acute Care,Voluntary non-profit - Private,110.0,33.410378,-111.685273,AZ,10.4,2.7,9.1,,11.4,17.5
135,ABRAZO WEST CAMPUS (030110),2019,Acute Care,Proprietary,190.0,33.464283,-112.354024,AZ,13.6,3.5,10.2,15.6,13.2,17.8
136,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS (030111),2019,Acute Care,Voluntary non-profit - Private,207.0,32.177882,-110.930891,AZ,11.8,,8.5,13.9,10.1,13.4
137,WHITERIVER PHS INDIAN HOSPITAL (030113),2019,Acute Care,Government - Federal,39.0,33.875976,-109.959528,AZ,,,,,,13.2
138,ORO VALLEY HOSPITAL (030114),2019,Acute Care,Proprietary,148.0,32.427183,-110.94954,AZ,12.4,,8.0,14.1,11.8,14.3
139,BANNER ESTRELLA MEDICAL CENTER (030115),2019,Acute Care,Voluntary non-profit - Private,288.0,33.479558,-112.257936,AZ,14.3,2.7,8.8,13.8,10.1,14.4
140,VALLEY VIEW MEDICAL CENTER (030117),2019,Acute Care,Proprietary,82.0,35.002363,-114.597954,AZ,13.3,,8.3,13.5,11.7,16.0
141,MERCY GILBERT MEDICAL CENTER (030119),2019,Acute Care,Voluntary non-profit - Church,202.0,33.286661,-111.755311,AZ,11.1,,8.9,11.9,9.9,13.1
142,"MOUNTAIN VISTA MEDICAL CENTER, LP (030121)",2019,Acute Care,Proprietary,171.0,33.3911,-111.615329,AZ,14.8,3.8,9.5,16.1,8.4,19.8
143,BANNER GATEWAY MEDICAL CENTER (030122),2019,Acute Care,Voluntary non-profit - Other,170.0,33.384225,-111.719634,AZ,,,7.7,12.1,13.2,15.7
144,SCOTTSDALE THOMPSON PEAK MEDICAL CENTER (030123),2019,Acute Care,Proprietary,98.0,33.669777,-111.921803,AZ,13.2,,8.4,13.6,11.7,14.1
145,PHOENIX VA MEDICAL CENTER (03012F),2019,Acute Care (VA),Government - Federal,,,,,12.0,,,,9.1,13.7
146,BANNER IRONWOOD MEDICAL CENTER (030130),2019,Acute Care,Voluntary non-profit - Private,61.0,33.214839,-111.563447,AZ,,,8.0,,12.3,12.7
147,BANNER GOLDFIELD MEDICAL CENTER (030134),2019,Acute Care,Voluntary non-profit - Other,23.0,33.393343,-111.566796,AZ,,,8.0,,10.5,11.6
148,SANTA CRUZ VALLEY REGIONAL HOSPITAL (030137),2019,Acute Care,Proprietary,49.0,31.807943,-111.010966,AZ,11.9,,9.0,,10.9,13.5
149,VA S. ARIZONA HEALTHCARE SYSTEM (03013F),2019,Acute Care (VA),Government - Federal,,,,,12.3,,,,9.0,11.8
150,VA NORTHERN ARIZONA HEALTHCARE SYSTEM (03033F),2019,Acute Care (VA),Government - Federal,,,,,,,,,9.0,12.7
151,"NORTHERN COCHISE COMMUNITY HOSPITAL, INC. (031302)",2019,Critical Access,Government - Hospital District or Authority,39.0,32.264268,-109.837613,AZ,,,8.6,,,15.3
152,SAGE MEMORIAL HOSPITAL (031309),2019,Critical Access,Voluntary non-profit - Private,25.0,,,AZ,,,,,,12.6
153,WHITE MOUNTAIN REGIONAL MEDICAL CENTER (031315),2019,Critical Access,Voluntary non-profit - Private,21.0,34.132136,-109.286545,AZ,,,,,,15.4
154,LA PAZ REGIONAL HOSPITAL (031317),2019,Critical Access,Voluntary non-profit - Private,25.0,34.135137,-114.285597,AZ,11.9,,8.4,,11.4,16.3
155,BANNER PAYSON MEDICAL CENTER (031318),2019,Critical Access,Voluntary non-profit - Other,25.0,34.231351,-111.321361,AZ,12.7,,7.9,13.0,10.3,15.4
156,SILOAM SPRINGS REGIONAL HOSPITAL (040001),2019,Acute Care,Proprietary,46.0,36.190377,-94.509658,AR,,,8.2,,13.3,16.4
157,JOHNSON REGIONAL MEDICAL CENTER (040002),2019,Acute Care,Voluntary non-profit - Private,86.0,35.464384,-93.445797,AR,,,10.4,14.0,12.7,18.3
158,WASHINGTON REGIONAL MEDICAL CENTER (040004),2019,Acute Care,Voluntary non-profit - Private,314.0,36.110984,-94.157862,AR,12.6,3.2,9.5,18.5,13.4,18.0
159,CHI-ST VINCENT INFIRMARY (040007),2019,Acute Care,Voluntary non-profit - Private,414.0,,,AR,13.6,4.3,8.5,15.3,11.6,15.4
160,MERCY HOSPITAL NORTHWEST ARKANSAS (040010),2019,Acute Care,Voluntary non-profit - Church,201.0,36.309562,-94.184709,AR,11.7,3.7,8.4,11.8,12.3,16.3
161,CHAMBERS MEMORIAL HOSPITAL (040011),2019,Acute Care,Voluntary non-profit - Private,41.0,35.054823,-93.388543,AR,11.9,,8.7,,12.8,13.2
162,WHITE COUNTY MEDICAL CENTER (040014),2019,Acute Care,Voluntary non-profit - Private,315.0,35.250446,-91.696758,AR,15.2,,9.4,17.0,10.1,15.9
163,MENA REGIONAL HEALTH SYSTEM (040015),2019,Acute Care,Government - Local,65.0,34.588386,-94.221383,AR,,,9.2,,17.5,19.5
164,UAMS MEDICAL CENTER (040016),2019,Acute Care,Government - State,480.0,34.751583,-92.320998,AR,13.4,,8.0,17.8,10.0,15.9
