,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Abdominopelvic accidental puncture or laceration rate (PSI 15),Death rate for surgical inpatients w/ serious treatable complications (PSI 4),Iatrogenic pneumothorax rate (PSI 6),In-hospital fall with hip fracture rate (PSI 8),Infections from a large venous catheter (PSI 7),Patient safety and adverse events composite (PSI 90),Perioperative pulmonary embolism or deep vein thrombosis rate (PSI 12),Postoperative sepsis rate (PSI 13),Postoperative wound dehiscence rate (PSI 14),Pressure ulcer rate (PSI 3)
14,EAST ALABAMA MEDICAL CENTER (010029),2016,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,0.52,149.67,0.4,0.06,0.19,0.62,4.5,8.54,2.37,0.23
15,WEDOWEE HOSPITAL (010032),2016,Acute Care,Government - Hospital District or Authority,30.0,,,AL,1.36,,0.39,,0.16,0.88,,,,0.42
16,UNIVERSITY OF ALABAMA HOSPITAL (010033),2016,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,0.68,142.0,0.53,0.06,0.1,0.81,5.88,8.8,1.35,1.1
17,COMMUNITY HOSPITAL INC (010034),2016,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,2.06,,0.39,0.06,0.16,1.01,4.93,,,0.36
18,CULLMAN REGIONAL MEDICAL CENTER (010035),2016,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,1.25,127.02,0.42,0.06,0.12,0.64,2.17,10.14,2.16,0.16
19,ANDALUSIA REGIONAL HOSPITAL (010036),2016,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,2.33,,0.36,0.06,0.15,1.02,4.29,,2.23,0.27
20,STRINGFELLOW MEMORIAL HOSPITAL (010038),2016,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,1.63,,0.41,0.06,0.14,0.87,4.26,,2.19,0.23
21,HUNTSVILLE HOSPITAL (010039),2016,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,1.32,171.91,0.3,0.06,0.16,0.74,4.17,5.0,1.75,0.46
22,GADSDEN REGIONAL MEDICAL CENTER (010040),2016,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,1.77,122.13,0.42,0.06,0.09,0.98,5.72,12.21,1.96,0.08
23,MARION REGIONAL MEDICAL CENTER (010044),2016,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,1.39,,0.41,,0.17,0.89,,,,0.46
24,FAYETTE MEDICAL CENTER (010045),2016,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,1.51,,0.4,0.06,0.16,0.89,4.94,,2.28,0.37
25,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2016,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,0.9,133.64,0.32,0.06,0.13,0.72,4.67,13.58,2.16,0.15
26,GEORGIANA MEDICAL CENTER (010047),2016,Acute Care,Proprietary,22.0,,,AL,1.42,,0.41,,0.17,0.9,,,,0.45
27,MEDICAL CENTER ENTERPRISE (010049),2016,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,1.48,,0.38,0.06,0.15,0.77,3.3,9.23,2.25,0.34
28,GREENE COUNTY HOSPITAL (010051),2016,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL,1.42,,0.41,,0.17,0.9,,,,0.46
29,LAKE MARTIN COMMUNITY HOSPITAL (010052),2016,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,1.41,,0.4,,0.17,0.9,,,,
30,FLOWERS HOSPITAL (010055),2016,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,1.58,197.49,0.31,0.06,0.1,0.8,2.63,6.4,2.41,1.63
31,ST VINCENT'S BIRMINGHAM (010056),2016,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,1.69,160.56,0.53,0.06,0.35,1.05,6.66,6.4,2.99,0.07
32,BIBB MEDICAL CENTER (010058),2016,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,1.42,,0.41,,0.17,0.9,,,,0.45
33,LAWRENCE MEDICAL CENTER (010059),2016,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,1.39,,0.47,,0.17,0.9,,,,0.39
34,HIGHLANDS MEDICAL CENTER (010061),2016,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,1.31,,0.38,0.06,0.15,0.84,4.05,11.42,2.84,0.95
35,WIREGRASS MEDICAL CENTER (010062),2016,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,1.55,,0.4,0.06,0.16,0.89,4.93,,,0.37
36,RUSSELL HOSPITAL (010065),2016,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,2.32,123.43,0.6,0.06,0.14,1.14,4.8,9.51,2.23,0.9
37,MEDICAL CENTER BARBOUR (010069),2016,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,1.18,,0.4,0.06,0.16,0.81,4.91,,2.29,0.38
38,CLAY COUNTY HOSPITAL (010073),2016,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,1.12,,0.45,,0.13,0.82,,,,0.31
39,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER (010078),2016,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,2.25,157.97,0.32,0.06,0.08,1.14,6.57,10.78,2.9,0.4
40,ATHENS LIMESTONE HOSPITAL (010079),2016,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,1.08,,0.54,0.06,0.14,0.87,5.27,9.73,2.79,0.73
41,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2016,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,1.58,139.23,0.66,0.06,0.13,1.0,6.16,8.1,2.13,0.17
42,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS (010085),2016,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,2.68,188.6,0.29,0.06,0.28,1.15,4.22,,1.95,1.02
43,NORTHWEST MEDICAL CENTER (010086),2016,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,1.14,,0.39,0.06,0.16,0.78,4.71,,,0.33
44,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER (010087),2016,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,1.15,141.74,0.42,0.06,0.14,0.87,5.65,8.71,2.15,0.82
45,WALKER BAPTIST MEDICAL CENTER (010089),2016,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,1.35,131.28,0.51,0.06,0.23,0.75,3.1,8.1,2.18,0.34
46,PROVIDENCE HOSPITAL (010090),2016,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,1.89,180.64,0.32,0.06,0.32,1.11,7.19,8.98,2.54,0.28
47,GROVE HILL MEMORIAL HOSPITAL (010091),2016,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,1.34,,0.4,,0.17,0.88,,,,0.45
48,D C H REGIONAL MEDICAL CENTER (010092),2016,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,1.3,143.91,0.41,0.06,0.1,0.9,5.93,,1.56,0.45
49,HALE COUNTY HOSPITAL (010095),2016,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,1.4,,0.4,,0.17,0.89,,,,0.42
50,ELMORE COMMUNITY HOSPITAL (010097),2016,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,1.26,,0.4,,0.14,0.85,,,,0.39
51,D W MCMILLAN MEMORIAL HOSPITAL (010099),2016,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,1.77,,0.39,0.06,0.16,1.0,5.78,,2.26,0.37
52,THOMAS HOSPITAL (010100),2016,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,0.81,142.5,0.49,0.06,0.11,0.83,6.55,10.64,2.59,0.13
53,CITIZENS BAPTIST MEDICAL CENTER (010101),2016,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,1.52,,0.38,0.06,0.16,0.9,5.04,,2.28,0.45
54,J PAUL JONES HOSPITAL (010102),2016,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL,1.42,,0.41,,0.17,0.9,,,,0.47
55,PRINCETON BAPTIST MEDICAL CENTER (010103),2016,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,1.36,144.15,0.41,0.06,0.32,0.81,3.64,9.29,2.3,0.67
56,GRANDVIEW MEDICAL CENTER (010104),2016,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,2.95,178.46,0.31,0.06,0.17,1.16,4.73,9.31,1.92,0.13
57,PRATTVILLE BAPTIST HOSPITAL (010108),2016,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,1.6,,0.37,0.06,0.15,0.87,4.57,,2.28,0.25
58,PICKENS COUNTY MEDICAL CENTER (010109),2016,Acute Care,Government - Hospital District or Authority,49.0,33.274807,-88.089673,AL,1.34,,0.4,,0.17,0.87,,,,0.45
59,BULLOCK COUNTY HOSPITAL (010110),2016,Acute Care,Proprietary,54.0,32.146182,-85.71638,AL,1.28,,0.4,,0.15,0.86,,,,0.37
60,BRYAN W. WHITFIELD MEMORIAL HOSPITAL (010112),2016,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,1.05,,0.38,0.06,0.12,0.77,5.02,,,0.3
61,MOBILE INFIRMARY MEDICAL CENTER (010113),2016,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,1.1,133.73,0.69,0.06,0.06,1.26,11.87,8.76,2.07,0.34
62,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2016,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,1.18,154.8,0.63,0.06,0.13,0.97,5.95,9.91,2.14,1.05
63,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2016,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,0.71,124.09,0.39,0.06,0.13,0.59,3.35,10.56,2.69,0.17
64,MONROE COUNTY HOSPITAL (010120),2016,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,1.32,,0.4,,0.17,0.87,,,,0.42
65,LAKELAND COMMUNITY HOSPITAL (010125),2016,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,1.39,,0.4,,0.17,0.89,,,,0.39
66,TROY REGIONAL MEDICAL CENTER (010126),2016,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,1.31,,0.45,0.06,0.15,0.81,4.41,9.45,2.83,0.31
67,JACKSON MEDICAL CENTER (010128),2016,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,1.38,,0.4,,0.16,0.89,,,,0.44
68,NORTH BALDWIN INFIRMARY (010129),2016,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,1.11,,0.4,0.06,0.16,0.84,5.55,,2.27,0.4
69,ST VINCENT'S ST CLAIR (010130),2016,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,1.48,,0.46,0.06,0.16,0.89,4.95,,,0.32
70,CRESTWOOD MEDICAL CENTER (010131),2016,Acute Care,Proprietary,163.0,,,AL,1.64,135.91,0.4,0.06,0.1,0.75,2.59,8.02,2.58,0.36
71,HILL HOSPITAL OF SUMTER COUNTY (010138),2016,Acute Care,Voluntary non-profit - Other,33.0,32.491825,-88.296081,AL,1.42,,0.41,,0.17,0.9,,,,0.45
72,BROOKWOOD MEDICAL CENTER (010139),2016,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,2.08,144.98,0.43,0.06,0.1,0.94,3.94,,2.5,0.1
73,SPRINGHILL MEMORIAL HOSPITAL (010144),2016,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,2.51,144.54,0.37,0.06,0.11,1.24,7.05,10.32,2.12,0.42
74,RMC JACKSONVILLE (010146),2016,Acute Care,Proprietary,65.0,,,AL,1.22,,0.39,,0.14,0.84,,,,0.35
75,EVERGREEN MEDICAL CENTER (010148),2016,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,1.71,,0.4,,0.17,0.96,,,,0.41
76,BAPTIST MEDICAL CENTER EAST (010149),2016,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,0.89,,0.33,0.06,0.22,0.62,3.48,8.89,2.14,0.16
77,L V STABLER MEMORIAL HOSPITAL (010150),2016,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,2.21,,0.4,0.06,0.17,1.03,4.55,9.86,,0.39
78,SHOALS HOSPITAL (010157),2016,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,1.3,,0.45,0.06,0.16,0.78,3.9,,2.22,0.34
79,RUSSELLVILLE HOSPITAL (010158),2016,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,1.08,,0.38,0.06,0.15,0.91,7.14,9.11,2.27,0.32
80,COOSA VALLEY MEDICAL CENTER (010164),2016,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,1.46,,0.5,0.06,0.15,1.08,7.96,10.57,2.17,0.28
81,JACK HUGHSTON MEMORIAL HOSPITAL (010168),2016,Acute Care,Government - State,52.0,32.509045,-85.005696,AL,1.38,,0.38,0.06,0.16,0.71,2.84,8.37,,0.36
82,ATMORE COMMUNITY HOSPITAL (010169),2016,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,1.2,,0.46,0.06,0.17,0.82,4.82,,,0.34
83,PROVIDENCE ALASKA MEDICAL CENTER (020001),2016,Acute Care,Voluntary non-profit - Church,394.0,61.189798,-149.817622,AK,1.96,127.05,0.27,0.06,0.24,1.06,5.95,13.76,1.92,0.29
84,MAT-SU REGIONAL MEDICAL CENTER (020006),2016,Acute Care,Voluntary non-profit - Private,90.0,61.561217,-149.258718,AK,1.29,,0.42,0.06,0.14,0.84,5.02,9.94,2.62,0.24
85,BARTLETT REGIONAL HOSPITAL (020008),2016,Acute Care,Government - Local,58.0,58.328696,-134.466829,AK,1.51,,0.4,0.06,0.16,0.86,4.4,,3.42,0.37
86,FAIRBANKS MEMORIAL HOSPITAL (020012),2016,Acute Care,Voluntary non-profit - Other,213.0,64.831407,-147.736254,AK,2.57,,0.42,0.06,0.15,1.03,3.53,9.1,2.7,0.29
87,ALASKA REGIONAL HOSPITAL (020017),2016,Acute Care,Proprietary,169.0,61.20979,-149.827379,AK,1.98,132.06,0.43,0.06,0.33,1.01,4.4,14.0,2.13,0.18
88,YUKON KUSKOKWIM DELTA REG HOSPITAL (020018),2016,Acute Care,Tribal,34.0,,,AK,1.42,,0.41,,0.17,0.9,,,,0.47
89,CENTRAL PENINSULA GENERAL HOSPITAL (020024),2016,Acute Care,Voluntary non-profit - Other,186.0,60.493865,-151.077658,AK,1.71,,0.45,0.06,0.16,0.88,3.31,8.43,2.23,0.98
90,ALASKA NATIVE MEDICAL CENTER (020026),2016,Acute Care,Government - Federal,163.0,61.18189,-149.800578,AK,2.9,163.08,0.45,0.06,0.21,1.14,3.97,8.29,2.09,0.24
91,ABRAZO MARYVALE CAMPUS (030001),2016,Acute Care,Proprietary,231.0,,,AZ,1.79,,0.39,0.06,0.16,1.02,6.01,,,0.36
92,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX (030002),2016,Acute Care,Voluntary non-profit - Other,706.0,33.465724,-112.058127,AZ,1.56,136.43,0.74,0.06,0.25,0.92,3.02,15.12,4.28,0.37
93,TUCSON MEDICAL CENTER (030006),2016,Acute Care,Voluntary non-profit - Private,520.0,32.250749,-110.880169,AZ,0.89,127.03,0.37,0.06,0.09,0.73,4.82,6.35,2.29,0.9
94,VERDE VALLEY MEDICAL CENTER (030007),2016,Acute Care,Voluntary non-profit - Private,102.0,34.736201,-112.031784,AZ,1.52,117.28,0.5,0.06,0.13,0.86,4.68,8.16,2.14,0.18
95,ST. MARY'S HOSPITAL (030010),2016,Acute Care,Voluntary non-profit - Private,398.0,32.228923,-111.000032,AZ,1.13,142.56,0.29,0.06,0.11,0.77,5.35,10.09,2.07,0.12
96,ST JOSEPH'S HOSPITAL (030011),2016,Acute Care,Voluntary non-profit - Other,474.0,32.225946,-110.857838,AZ,1.05,164.77,0.31,0.06,0.19,0.82,5.98,10.78,2.42,0.11
97,YAVAPAI REGIONAL MEDICAL CENTER (030012),2016,Acute Care,Government - Local,179.0,34.55938,-112.482065,AZ,2.21,114.35,0.86,0.06,0.2,1.11,3.72,8.71,2.47,0.88
98,YUMA REGIONAL MEDICAL CENTER (030013),2016,Acute Care,Voluntary non-profit - Private,397.0,32.683899,-114.633238,AZ,1.62,141.39,0.32,0.06,0.09,0.72,2.46,8.26,1.96,0.42
99,JOHN C. LINCOLN MEDICAL CENTER (030014),2016,Acute Care,Voluntary non-profit - Private,258.0,33.567754,-112.07063,AZ,0.88,114.64,0.53,0.06,0.19,0.82,5.09,13.96,2.56,0.4
100,BANNER CASA GRANDE MEDICAL CENTER (030016),2016,Acute Care,Voluntary non-profit - Other,156.0,32.879608,-111.709253,AZ,1.76,143.29,0.41,0.06,0.14,1.01,6.33,8.62,2.18,0.22
101,MARICOPA MEDICAL CENTER (030022),2016,Acute Care,Government - Local,570.0,33.458525,-112.02643,AZ,2.11,,0.5,0.06,0.14,1.37,9.27,11.18,2.28,1.0
102,FLAGSTAFF MEDICAL CENTER (030023),2016,Acute Care,Voluntary non-profit - Private,267.0,35.209534,-111.644835,AZ,2.1,104.45,0.44,0.06,0.17,1.02,3.71,10.58,2.55,1.1
103,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER (030024),2016,Acute Care,Voluntary non-profit - Church,560.0,33.480294,-112.079208,AZ,1.62,87.1,0.58,0.06,0.14,1.11,7.04,6.06,1.9,1.22
104,ABRAZO CENTRAL CAMPUS (030030),2016,Acute Care,Proprietary,186.0,33.524116,-112.101934,AZ,1.31,138.09,0.51,0.06,0.21,0.76,3.48,9.23,2.16,0.21
105,BANNER PAYSON MEDICAL CENTER (030033),2016,Acute Care,Voluntary non-profit - Other,36.0,,,AZ,1.56,,0.38,0.06,0.15,0.8,3.59,9.21,2.2,0.35
106,CHANDLER REGIONAL MEDICAL CENTER (030036),2016,Acute Care,Voluntary non-profit - Other,318.0,33.298691,-111.873508,AZ,1.51,121.92,0.45,0.06,0.18,0.95,5.88,12.23,1.97,0.11
107,ST LUKE'S MEDICAL CENTER (030037),2016,Acute Care,Proprietary,209.0,33.451436,-112.042767,AZ,1.05,151.33,0.4,0.06,0.25,0.72,3.03,16.45,2.22,0.29
108,SCOTTSDALE OSBORN MEDICAL CENTER (030038),2016,Acute Care,Proprietary,360.0,33.487639,-111.922725,AZ,1.52,147.8,0.45,0.06,0.18,1.06,7.81,7.03,2.68,0.34
109,CANYON VISTA MEDICAL CENTER (030043),2016,Acute Care,Voluntary non-profit - Other,92.0,31.554635,-110.230726,AZ,2.46,144.28,0.52,0.06,0.14,1.28,6.33,,2.19,0.89
110,KINGMAN REGIONAL MEDICAL CENTER (030055),2016,Acute Care,Government - Hospital District or Authority,221.0,35.219907,-114.035813,AZ,2.02,159.89,0.38,0.06,0.11,0.95,4.51,8.41,2.05,0.36
111,BANNER BOSWELL MEDICAL CENTER (030061),2016,Acute Care,Voluntary non-profit - Other,508.0,33.604798,-112.282538,AZ,0.94,107.53,0.38,0.06,0.18,0.77,4.9,13.94,3.76,0.09
112,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER (030062),2016,Acute Care,Voluntary non-profit - Private,91.0,34.201967,-110.01839,AZ,1.96,135.47,0.47,0.06,0.14,1.05,5.84,8.87,2.64,0.27
113,BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS (030064),2016,Acute Care,Voluntary non-profit - Private,511.0,32.242362,-110.944092,AZ,3.45,182.2,0.39,0.06,0.24,1.47,6.37,10.23,2.29,0.87
114,BANNER DESERT MEDICAL CENTER (030065),2016,Acute Care,Voluntary non-profit - Private,632.0,33.39091,-111.874624,AZ,0.96,91.9,0.35,0.06,0.26,0.7,4.35,6.32,1.87,0.36
115,MT. GRAHAM REGIONAL MEDICAL CENTER (030068),2016,Acute Care,Government - Hospital District or Authority,45.0,32.821883,-109.732994,AZ,1.83,,0.4,0.06,0.17,0.93,4.29,,2.29,0.42
116,HAVASU REGIONAL MEDICAL CENTER (030069),2016,Acute Care,Proprietary,169.0,34.47998,-114.338537,AZ,2.34,129.27,0.38,0.06,0.12,0.91,2.16,8.6,2.6,0.71
117,FORT DEFIANCE INDIAN HOSPITAL (030071),2016,Acute Care,Government - Federal,54.0,,,AZ,1.52,,0.38,0.06,0.15,0.86,4.49,,2.28,0.36
118,TUBA CITY REGIONAL HEALTH CARE CORPORATION (030073),2016,Acute Care,Voluntary non-profit - Other,73.0,,,AZ,1.06,,0.38,0.06,0.28,0.83,5.58,8.56,2.86,0.32
119,SELLS INDIAN HEALTH SERVICE HOSPITAL (030074),2016,Acute Care,Government - Federal,13.0,,,AZ,1.41,,0.4,,0.17,0.9,,,,
120,SAN CARLOS APACHE HEALTHCARE (030077),2016,Acute Care,Government - Federal,9.0,,,AZ,,,,,,0.9,,,,
121,PHOENIX INDIAN MEDICAL CENTER (030078),2016,Acute Care,Government - Federal,119.0,33.49701,-112.047613,AZ,2.17,,0.4,0.06,0.29,1.11,5.75,,2.3,0.43
122,ABRAZO SCOTTSDALE CAMPUS (030083),2016,Acute Care,Proprietary,129.0,33.640603,-111.997692,AZ,1.36,,0.36,0.06,0.27,0.83,4.56,,2.25,0.29
123,CHINLE COMPREHENSIVE HEALTH CARE FACILITY (030084),2016,Acute Care,Government - Federal,60.0,,,AZ,1.23,,0.39,0.06,0.16,0.82,4.92,,,0.38
124,NORTHWEST MEDICAL CENTER (030085),2016,Acute Care,Proprietary,283.0,32.319581,-111.012054,AZ,1.18,119.73,0.52,0.06,0.2,0.74,3.98,7.16,1.94,0.12
125,SCOTTSDALE SHEA MEDICAL CENTER (030087),2016,Acute Care,Proprietary,426.0,33.582467,-111.886032,AZ,2.03,165.24,0.41,0.06,0.17,0.96,4.55,8.34,1.71,0.25
126,BANNER BAYWOOD MEDICAL CENTER (030088),2016,Acute Care,Voluntary non-profit - Private,340.0,33.410465,-111.688045,AZ,1.27,101.2,0.26,0.06,0.09,0.69,3.22,11.89,2.12,0.3
127,BANNER THUNDERBIRD MEDICAL CENTER (030089),2016,Acute Care,Government - Hospital District or Authority,566.0,33.610731,-112.178698,AZ,1.74,123.33,0.51,0.06,0.34,1.15,6.31,13.29,3.04,0.94
128,HONORHEALTH DEER VALLEY MEDICAL CENTER (030092),2016,Acute Care,Voluntary non-profit - Private,201.0,33.666425,-112.117188,AZ,1.62,145.83,0.38,0.06,0.12,0.74,2.11,13.89,2.53,0.15
129,BANNER DEL E. WEBB MEDICAL CENTER (030093),2016,Acute Care,Voluntary non-profit - Private,390.0,33.658307,-112.371939,AZ,1.1,117.67,0.38,0.06,0.11,0.76,4.96,8.54,2.5,0.13
130,ABRAZO ARROWHEAD CAMPUS (030094),2016,Acute Care,Proprietary,244.0,33.655042,-112.202889,AZ,1.02,137.36,0.42,0.06,0.13,0.83,5.48,10.19,2.09,0.64
131,WESTERN ARIZONA REGIONAL MEDICAL CENTER (030101),2016,Acute Care,Proprietary,133.0,35.109853,-114.555146,AZ,0.89,152.29,0.34,0.06,0.12,0.72,5.46,7.31,2.04,0.15
132,MAYO CLINIC HOSPITAL (030103),2016,Acute Care,Voluntary non-profit - Private,277.0,33.663312,-111.955659,AZ,0.98,70.79,0.45,0.06,0.2,0.71,3.35,11.39,1.79,0.61
133,BANNER HEART HOSPITAL (030105),2016,Acute Care,Voluntary non-profit - Private,110.0,33.410378,-111.685273,AZ,1.21,132.53,0.32,0.06,0.12,0.76,4.63,8.01,,0.29
134,ARIZONA SPINE AND JOINT HOSPITAL (030107),2016,Acute Care,Proprietary,23.0,33.379206,-111.734695,AZ,1.34,,0.4,,0.17,0.82,4.3,,,
135,"CORE INSTITUTE SPECIALTY HOSPITAL, THE (030108)",2016,Acute Care,Proprietary,32.0,33.531837,-112.099614,AZ,1.4,,0.4,,0.17,0.8,3.76,,,
136,ABRAZO WEST CAMPUS (030110),2016,Acute Care,Proprietary,190.0,33.464283,-112.354024,AZ,1.45,141.31,0.34,0.06,0.24,1.14,8.64,,2.24,0.69
