,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI SIR,CDI SIR,CLABSI SIR,MRSA SIR,SSI SIR,Total HAC Score
36,CLAY COUNTY HOSPITAL (010073),2023,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,,,,,,0.0
37,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER (010078),2023,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,1.112,1.104,0.328,1.081,0.226,0.0
38,ATHENS LIMESTONE HOSPITAL (010079),2023,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,0.409,0.326,0.908,,0.703,0.0
39,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2023,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,1.306,0.447,0.486,0.688,,0.0
40,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS (010085),2023,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,0.101,0.173,0.218,0.377,,0.0
41,NORTHWEST MEDICAL CENTER (010086),2023,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,,,,,,0.0
42,USA HEALTH UNIVERSITY HOSPITAL (010087),2023,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,0.434,0.333,1.735,1.943,0.456,0.0
43,WALKER BAPTIST MEDICAL CENTER (010089),2023,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,1.147,0.514,1.106,2.306,0.438,0.0
44,PROVIDENCE HOSPITAL (010090),2023,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,0.553,0.624,0.605,1.306,0.752,0.0
45,GROVE HILL MEMORIAL HOSPITAL (010091),2023,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,,,,,,0.0
46,DCH REGIONAL MEDICAL CENTER (010092),2023,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,0.7,0.657,1.464,0.993,0.762,0.0
47,HALE COUNTY HOSPITAL (010095),2023,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,,,,,,0.0
48,ELMORE COMMUNITY HOSPITAL (010097),2023,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,,0.0,,,,0.0
49,D W MCMILLAN MEMORIAL HOSPITAL (010099),2023,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,,0.462,,,,0.0
50,THOMAS HOSPITAL (010100),2023,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,1.35,0.278,2.197,0.932,1.965,0.0
51,CITIZENS BAPTIST MEDICAL CENTER (010101),2023,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,,1.321,,,,0.0
52,J PAUL JONES HOSPITAL (010102),2023,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL,,,,,,0.0
53,PRINCETON BAPTIST MEDICAL CENTER (010103),2023,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,0.429,0.14,0.433,0.817,0.298,0.0
54,GRANDVIEW MEDICAL CENTER (010104),2023,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,0.98,0.328,0.245,0.748,0.572,0.0
55,PRATTVILLE BAPTIST HOSPITAL (010108),2023,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,2.902,1.437,6.436,,,0.0
56,BULLOCK COUNTY HOSPITAL (010110),2023,Acute Care,Proprietary,54.0,32.146182,-85.71638,AL,,,,,,0.0
57,WHITFIELD REGIONAL HOSPITAL (010112),2023,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,0.0,0.0,,,,0.0
58,MOBILE INFIRMARY MEDICAL CENTER (010113),2023,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,0.695,0.311,1.221,0.976,0.772,0.0
59,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2023,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,1.202,0.544,1.591,2.242,0.0,0.0
60,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2023,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,0.478,0.0,0.0,,,0.0
61,MONROE COUNTY HOSPITAL (010120),2023,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,,0.0,,,,0.0
62,LAKELAND COMMUNITY HOSPITAL (010125),2023,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,,0.0,,,,0.0
63,TROY REGIONAL MEDICAL CENTER (010126),2023,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,,0.0,,,,0.0
64,JACKSON MEDICAL CENTER (010128),2023,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,,,,,,0.0
65,NORTH BALDWIN INFIRMARY (010129),2023,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,,0.483,,,,0.0
66,ST VINCENT'S ST CLAIR (010130),2023,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,0.897,0.971,1.916,,,0.0
67,CRESTWOOD MEDICAL CENTER (010131),2023,Acute Care,Proprietary,163.0,,,AL,1.847,0.564,0.872,0.449,1.062,0.0
68,HILL HOSPITAL OF SUMTER COUNTY (010138),2023,Acute Care,Voluntary non-profit - Other,33.0,32.491825,-88.296081,AL,,,,,,0.0
69,BROOKWOOD BAPTIST MEDICAL CENTER (010139),2023,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,0.8,0.539,1.266,1.56,0.565,0.0
70,SPRINGHILL MEDICAL CENTER (010144),2023,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,0.741,0.207,0.631,0.531,0.0,0.0
71,EVERGREEN MEDICAL CENTER (010148),2023,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,,0.0,,,,0.0
72,BAPTIST MEDICAL CENTER EAST (010149),2023,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,1.648,0.488,1.915,1.18,0.376,0.0
73,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL (010150),2023,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,,0.0,,,,0.0
74,SHOALS HOSPITAL (010157),2023,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,,0.0,,,,0.0
75,RUSSELLVILLE HOSPITAL (010158),2023,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,,0.657,,,,0.0
76,COOSA VALLEY MEDICAL CENTER (010164),2023,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,0.0,0.0,0.0,,0.0,0.0
77,JACK HUGHSTON MEMORIAL HOSPITAL (010168),2023,Acute Care,Government - State,52.0,32.509045,-85.005696,AL,,2.126,,,,0.0
78,ATMORE COMMUNITY HOSPITAL (010169),2023,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,,0.0,,,,0.0
79,ST VINCENT'S CHILTON (010173),2023,Acute Care,Voluntary non-profit - Church,26.0,32.876585,-86.623511,AL,,,,,,0.0
80,THOMASVILLE REGIONAL MEDICAL CENTER (010174),2023,Acute Care,Voluntary non-profit - Private,29.0,,,AL,,,,,,0.0
81,EAMC-LANIER (010175),2023,Acute Care,Government - Hospital District or Authority,30.0,,,AL,,,,,,0.0
82,PROVIDENCE ALASKA MEDICAL CENTER (020001),2023,Acute Care,Voluntary non-profit - Church,394.0,61.189798,-149.817622,AK,1.359,0.336,0.719,0.896,1.293,0.0
83,MAT-SU REGIONAL MEDICAL CENTER (020006),2023,Acute Care,Voluntary non-profit - Private,90.0,61.561217,-149.258718,AK,0.0,0.213,0.0,4.528,0.0,0.0
84,BARTLETT REGIONAL HOSPITAL (020008),2023,Acute Care,Government - Local,58.0,58.328696,-134.466829,AK,,0.883,,,,0.0
85,FAIRBANKS MEMORIAL HOSPITAL (020012),2023,Acute Care,Voluntary non-profit - Other,213.0,64.831407,-147.736254,AK,2.592,0.23,,,1.203,0.0
86,ALASKA REGIONAL HOSPITAL (020017),2023,Acute Care,Proprietary,169.0,61.20979,-149.827379,AK,1.313,0.113,0.998,1.089,1.377,0.0
87,YUKON KUSKOKWIM DELTA REG HOSPITAL (020018),2023,Acute Care,Tribal,34.0,,,AK,,0.0,,,,0.0
88,CENTRAL PENINSULA GENERAL HOSPITAL (020024),2023,Acute Care,Voluntary non-profit - Other,186.0,60.493865,-151.077658,AK,,0.238,,,4.954,0.0
89,ALASKA NATIVE MEDICAL CENTER (020026),2023,Acute Care,Government - Federal,163.0,61.18189,-149.800578,AK,0.238,0.357,0.822,1.431,0.578,0.0
90,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX (030002),2023,Acute Care,Voluntary non-profit - Other,706.0,33.465724,-112.058127,AZ,0.208,0.699,2.245,0.908,0.879,0.0
91,TUCSON MEDICAL CENTER (030006),2023,Acute Care,Voluntary non-profit - Private,520.0,32.250749,-110.880169,AZ,1.032,0.525,1.129,0.462,0.827,0.0
92,VERDE VALLEY MEDICAL CENTER (030007),2023,Acute Care,Voluntary non-profit - Private,102.0,34.736201,-112.031784,AZ,0.0,1.002,,,1.551,0.0
93,ST. MARY'S HOSPITAL (030010),2023,Acute Care,Voluntary non-profit - Private,398.0,32.228923,-111.000032,AZ,1.148,0.48,0.815,1.093,0.0,0.0
94,ST JOSEPH'S HOSPITAL (030011),2023,Acute Care,Voluntary non-profit - Other,474.0,32.225946,-110.857838,AZ,0.385,0.404,0.0,0.59,0.56,0.0
95,YAVAPAI REGIONAL MEDICAL CENTER (030012),2023,Acute Care,Government - Local,179.0,34.55938,-112.482065,AZ,1.536,1.039,1.416,1.582,0.588,0.0
96,YUMA REGIONAL MEDICAL CENTER (030013),2023,Acute Care,Voluntary non-profit - Private,397.0,32.683899,-114.633238,AZ,1.56,0.506,1.038,0.951,1.178,0.0
97,JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL (030014),2023,Acute Care,Voluntary non-profit - Private,258.0,33.567754,-112.07063,AZ,0.905,0.694,0.631,2.235,0.656,0.0
98,BANNER CASA GRANDE MEDICAL CENTER (030016),2023,Acute Care,Voluntary non-profit - Other,156.0,32.879608,-111.709253,AZ,0.507,0.336,2.145,0.552,1.23,0.0
99,VALLEYWISE HEALTH MEDICAL CENTER (030022),2023,Acute Care,Government - Local,570.0,33.458525,-112.02643,AZ,0.561,0.43,0.433,2.348,0.38,0.0
100,FLAGSTAFF MEDICAL CENTER (030023),2023,Acute Care,Voluntary non-profit - Private,267.0,35.209534,-111.644835,AZ,0.097,0.715,0.409,0.699,0.789,0.0
101,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER (030024),2023,Acute Care,Voluntary non-profit - Church,560.0,33.480294,-112.079208,AZ,0.318,0.324,0.994,0.987,0.967,0.0
102,ABRAZO CENTRAL CAMPUS (030030),2023,Acute Care,Proprietary,186.0,33.524116,-112.101934,AZ,1.119,0.67,2.958,0.6,0.681,0.0
103,CHANDLER REGIONAL MEDICAL CENTER (030036),2023,Acute Care,Voluntary non-profit - Other,318.0,33.298691,-111.873508,AZ,0.804,0.878,1.328,1.029,1.162,0.0
104,ST LUKE'S MEDICAL CENTER (030037),2023,Acute Care,Proprietary,209.0,33.451436,-112.042767,AZ,0.741,1.6,0.0,,,0.0
105,HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER (030038),2023,Acute Care,Proprietary,360.0,33.487639,-111.922725,AZ,0.999,0.414,0.759,1.845,1.046,0.0
106,CANYON VISTA MEDICAL CENTER (030043),2023,Acute Care,Voluntary non-profit - Other,92.0,31.554635,-110.230726,AZ,1.049,0.688,1.349,,0.0,0.0
107,KINGMAN REGIONAL MEDICAL CENTER (030055),2023,Acute Care,Government - Hospital District or Authority,221.0,35.219907,-114.035813,AZ,0.418,0.132,0.759,0.958,,0.0
108,BANNER BOSWELL MEDICAL CENTER (030061),2023,Acute Care,Voluntary non-profit - Other,508.0,33.604798,-112.282538,AZ,0.658,0.677,1.417,1.198,0.253,0.0
109,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER (030062),2023,Acute Care,Voluntary non-profit - Private,91.0,34.201967,-110.01839,AZ,0.365,1.198,0.99,,0.689,0.0
110,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS (030064),2023,Acute Care,Voluntary non-profit - Private,511.0,32.242362,-110.944092,AZ,0.382,0.778,0.937,0.876,1.067,0.0
111,BANNER DESERT MEDICAL CENTER (030065),2023,Acute Care,Voluntary non-profit - Private,632.0,33.39091,-111.874624,AZ,0.555,0.44,1.247,0.674,0.668,0.0
112,HAVASU REGIONAL MEDICAL CENTER (030069),2023,Acute Care,Proprietary,169.0,34.47998,-114.338537,AZ,0.0,1.146,0.0,0.0,,0.0
113,FORT DEFIANCE INDIAN HOSPITAL (030071),2023,Acute Care,Government - Federal,54.0,,,AZ,,0.627,,,,0.0
114,TUBA CITY REGIONAL HEALTH CARE CORPORATION (030073),2023,Acute Care,Voluntary non-profit - Other,73.0,,,AZ,,2.101,,,,0.0
115,SELLS HOSPITAL (030074),2023,Acute Care,Government - Federal,13.0,,,AZ,,,,,,0.0
116,SAN CARLOS APACHE HEALTHCARE CORP (030077),2023,Acute Care,Government - Federal,9.0,,,AZ,,,,,,0.0
117,PHOENIX INDIAN MEDICAL CENTER (030078),2023,Acute Care,Government - Federal,119.0,33.49701,-112.047613,AZ,,0.0,,,,0.0
118,ABRAZO SCOTTSDALE CAMPUS (030083),2023,Acute Care,Proprietary,129.0,33.640603,-111.997692,AZ,0.0,0.517,0.405,,0.813,0.0
119,CHINLE COMPREHENSIVE HEALTH CARE FACILITY (030084),2023,Acute Care,Government - Federal,60.0,,,AZ,,1.054,,,,0.0
120,NORTHWEST MEDICAL CENTER (030085),2023,Acute Care,Proprietary,283.0,32.319581,-111.012054,AZ,0.545,0.49,1.711,2.209,0.441,0.0
121,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER (030087),2023,Acute Care,Proprietary,426.0,33.582467,-111.886032,AZ,0.566,0.439,0.758,0.77,0.902,0.0
122,BANNER BAYWOOD MEDICAL CENTER (030088),2023,Acute Care,Voluntary non-profit - Private,340.0,33.410465,-111.688045,AZ,0.878,0.995,1.602,0.492,1.158,0.0
123,BANNER THUNDERBIRD MEDICAL CENTER (030089),2023,Acute Care,Government - Hospital District or Authority,566.0,33.610731,-112.178698,AZ,0.59,0.512,1.325,0.698,0.875,0.0
124,HONORHEALTH DEER VALLEY MEDICAL CENTER (030092),2023,Acute Care,Voluntary non-profit - Private,201.0,33.666425,-112.117188,AZ,1.055,0.402,0.683,0.776,1.219,0.0
125,BANNER DEL E. WEBB MEDICAL CENTER (030093),2023,Acute Care,Voluntary non-profit - Private,390.0,33.658307,-112.371939,AZ,0.562,0.477,1.067,1.021,0.217,0.0
126,ABRAZO ARROWHEAD HOSPITAL (030094),2023,Acute Care,Proprietary,244.0,33.655042,-112.202889,AZ,0.368,0.236,0.277,0.523,0.209,0.0
127,WESTERN ARIZONA REGIONAL MEDICAL CENTER (030101),2023,Acute Care,Proprietary,133.0,35.109853,-114.555146,AZ,1.373,0.161,0.694,0.661,0.656,0.0
128,MAYO CLINIC HOSPITAL (030103),2023,Acute Care,Voluntary non-profit - Private,277.0,33.663312,-111.955659,AZ,0.755,0.539,0.496,0.455,0.849,0.0
129,BANNER HEART HOSPITAL (030105),2023,Acute Care,Voluntary non-profit - Private,110.0,33.410378,-111.685273,AZ,0.36,1.153,0.348,0.0,,0.0
130,ARIZONA SPINE AND JOINT HOSPITAL (030107),2023,Acute Care,Proprietary,23.0,33.379206,-111.734695,AZ,,,,,,0.0
131,THE CORE INSTITUTE SPECIALTY HOSP (030108),2023,Acute Care,Proprietary,32.0,33.531837,-112.099614,AZ,,,,,,0.0
132,ABRAZO WEST CAMPUS (030110),2023,Acute Care,Proprietary,190.0,33.464283,-112.354024,AZ,0.166,0.128,0.102,0.0,0.0,0.0
133,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS (030111),2023,Acute Care,Voluntary non-profit - Private,207.0,32.177882,-110.930891,AZ,0.716,0.302,0.376,1.798,0.833,0.0
134,ARIZONA ORTHOPEDIC AND SURGICAL SPECIALTY HOSPITAL (030112),2023,Acute Care,Proprietary,24.0,33.33484,-111.891133,AZ,,,,,,0.0
135,WHITERIVER PHS INDIAN HOSPITAL (030113),2023,Acute Care,Government - Federal,39.0,33.875976,-109.959528,AZ,,,,,,0.0
136,ORO VALLEY HOSPITAL (030114),2023,Acute Care,Proprietary,148.0,32.427183,-110.94954,AZ,1.602,0.428,0.569,,,0.0
137,BANNER ESTRELLA MEDICAL CENTER (030115),2023,Acute Care,Voluntary non-profit - Private,288.0,33.479558,-112.257936,AZ,1.463,0.499,2.124,1.601,0.814,0.0
138,VALLEY VIEW MEDICAL CENTER (030117),2023,Acute Care,Proprietary,82.0,35.002363,-114.597954,AZ,,0.857,,,,0.0
139,MERCY GILBERT MEDICAL CENTER (030119),2023,Acute Care,Voluntary non-profit - Church,202.0,33.286661,-111.755311,AZ,1.298,0.238,1.611,1.406,0.485,0.0
140,"MOUNTAIN VISTA MEDICAL CENTER, LP (030121)",2023,Acute Care,Proprietary,171.0,33.3911,-111.615329,AZ,1.557,0.224,1.191,2.169,3.148,0.0
141,BANNER GATEWAY MEDICAL CENTER (030122),2023,Acute Care,Voluntary non-profit - Other,170.0,33.384225,-111.719634,AZ,1.835,0.803,1.761,0.765,0.705,0.0
142,HONOR HEALTH THOMPSON PEAK MEDICAL CENTER (030123),2023,Acute Care,Proprietary,98.0,33.669777,-111.921803,AZ,1.141,0.502,0.646,2.978,0.504,0.0
143,BANNER IRONWOOD MEDICAL CENTER (030130),2023,Acute Care,Voluntary non-profit - Private,61.0,33.214839,-111.563447,AZ,0.0,0.761,2.849,,1.408,0.0
144,O.A.S.I.S. HOSPITAL (030131),2023,Acute Care,Voluntary non-profit - Private,64.0,33.45672,-111.99521,AZ,,,,,,0.0
145,BANNER GOLDFIELD MEDICAL CENTER (030134),2023,Acute Care,Voluntary non-profit - Other,23.0,33.393343,-111.566796,AZ,,0.555,,,,0.0
146,DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL (030136),2023,Acute Care,Proprietary,14.0,33.380677,-112.168233,AZ,,,,,,0.0
147,SANTA CRUZ VALLEY REGIONAL HOSPITAL (030137),2023,Acute Care,Proprietary,49.0,31.807943,-111.010966,AZ,,0.0,,,,0.0
148,WESTERN REGIONAL MEDICAL CENTER (030138),2023,Acute Care,Proprietary,38.0,33.452804,-112.362571,AZ,,,,,0.794,0.0
149,DIGNITY HEALTH ARIZONA GENERAL HOSPITAL (030139),2023,Acute Care,Voluntary non-profit - Private,50.0,,,AZ,,1.134,0.0,,,0.0
150,HONORHEALTH SONORAN CROSSING MEDICAL CENTER (030146),2023,Acute Care,Voluntary non-profit - Private,70.0,,,AZ,,,,,,0.0
151,BANNER OCOTILLO MEDICAL CENTER (030147),2023,Acute Care,Voluntary non-profit - Private,94.0,,,AZ,,0.39,,,,0.0
152,NORTHWEST MEDICAL CENTER SAHUARITA (030148),2023,Acute Care,Voluntary non-profit - Private,44.0,,,AZ,,,,,,0.0
153,SILOAM SPRINGS REGIONAL HOSPITAL (040001),2023,Acute Care,Proprietary,46.0,36.190377,-94.509658,AR,,0.0,,,1.936,0.0
154,JOHNSON REGIONAL MEDICAL CENTER (040002),2023,Acute Care,Voluntary non-profit - Private,86.0,35.464384,-93.445797,AR,,0.0,,,,0.0
155,WASHINGTON REGIONAL MEDICAL CENTER (040004),2023,Acute Care,Voluntary non-profit - Private,314.0,36.110984,-94.157862,AR,0.907,0.279,1.317,0.812,0.649,0.0
156,CHI-ST VINCENT INFIRMARY (040007),2023,Acute Care,Voluntary non-profit - Private,414.0,,,AR,0.234,0.208,1.167,1.135,0.624,0.0
157,MERCY HOSPITAL NORTHWEST ARKANSAS (040010),2023,Acute Care,Voluntary non-profit - Church,201.0,36.309562,-94.184709,AR,0.568,0.612,1.353,1.487,1.413,0.0
158,CHAMBERS MEMORIAL HOSPITAL (040011),2023,Acute Care,Voluntary non-profit - Private,41.0,35.054823,-93.388543,AR,,,,,,0.0
159,WHITE COUNTY MEDICAL CENTER (040014),2023,Acute Care,Voluntary non-profit - Private,315.0,35.250446,-91.696758,AR,1.211,0.652,0.767,0.521,0.456,0.0
160,MENA REGIONAL HEALTH SYSTEM (040015),2023,Acute Care,Government - Local,65.0,34.588386,-94.221383,AR,,,,,,0.0
161,UAMS MEDICAL CENTER (040016),2023,Acute Care,Government - State,480.0,34.751583,-92.320998,AR,1.199,0.36,2.087,1.238,1.249,0.0
162,NORTH ARKANSAS REGIONAL MEDICAL CENTER (040017),2023,Acute Care,Voluntary non-profit - Other,133.0,36.236281,-93.107148,AR,,0.321,,,,0.0
163,BAPTIST HEALTH - VAN BUREN (040018),2023,Acute Care,Proprietary,68.0,35.434175,-94.339451,AR,,,,,,0.0
164,FORREST CITY MEDICAL CENTER (040019),2023,Acute Care,Proprietary,68.0,35.039275,-90.771894,AR,,,,,,0.0
165,ST BERNARDS MEDICAL CENTER (040020),2023,Acute Care,Voluntary non-profit - Private,376.0,35.837478,-90.702142,AR,0.471,0.538,1.264,2.584,2.836,0.0
166,NORTHWEST MEDICAL CENTER-SPRINGDALE (040022),2023,Acute Care,Proprietary,325.0,36.181394,-94.136464,AR,1.092,0.323,2.705,0.987,2.0,0.0
167,ST VINCENT HOT SPRINGS (040026),2023,Acute Care,Voluntary non-profit - Church,235.0,34.466035,-93.066396,AR,0.494,0.041,0.245,1.956,0.0,0.0
168,BAXTER REGIONAL MEDICAL CENTER (040027),2023,Acute Care,Voluntary non-profit - Private,214.0,36.343067,-92.395905,AR,0.989,0.355,2.434,2.961,0.0,0.0
