,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI W Z Score,CDI W Z Score,CLABSI W Z Score,MRSA W Z Score,SSI W Z Score,PSI-90 W Z Score,Total HAC Score,Payment Reduction
15,UNIVERSITY OF ALABAMA HOSPITAL (010033),2020,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,-1.047,-0.6404,-0.4375,0.1228,-0.1386,2.3575,0.0361,No
16,COMMUNITY HOSPITAL INC (010034),2020,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,,-0.388,,,,-0.2059,-0.2969,No
17,CULLMAN REGIONAL MEDICAL CENTER (010035),2020,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,-0.3515,-0.8898,-1.0143,-0.8311,-0.0005,0.7107,-0.3961,No
18,ANDALUSIA HEALTH (010036),2020,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,-0.7905,-0.1085,,-1.4453,,-0.5943,-0.7346,No
19,STRINGFELLOW MEMORIAL HOSPITAL (010038),2020,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,-0.684,-1.2414,2.1941,,,0.4479,0.1791,No
20,HUNTSVILLE HOSPITAL (010039),2020,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,-0.0436,-0.5893,-0.153,0.5051,0.2095,0.5091,0.073,No
21,GADSDEN REGIONAL MEDICAL CENTER (010040),2020,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,-0.323,0.8771,2.0926,2.2502,-1.5,0.8414,0.7064,Yes
22,MARION REGIONAL MEDICAL CENTER (010044),2020,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,,1.971,,,,-0.0353,0.9678,Yes
23,FAYETTE MEDICAL CENTER (010045),2020,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,,1.6194,,,,-0.2764,0.6715,Yes
24,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2020,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,-1.256,-0.5803,-0.6543,-0.0471,-1.5,-1.5258,-0.9273,No
25,MEDICAL CENTER ENTERPRISE (010049),2020,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,0.7222,-1.557,,,0.5982,-1.2955,-0.383,No
26,GREENE COUNTY HOSPITAL (010051),2020,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL,,,,,,0.0638,0.0638,No
27,LAKE MARTIN COMMUNITY HOSPITAL (010052),2020,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,,,,,,-0.1127,-0.1127,No
28,FLOWERS HOSPITAL (010055),2020,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,-0.4275,-0.1987,-0.9805,-0.8382,-0.8092,-0.1999,-0.5757,No
29,ST VINCENT'S BIRMINGHAM (010056),2020,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,0.249,-0.6014,0.5551,0.0272,-0.4592,-0.0202,-0.0416,No
30,BIBB MEDICAL CENTER (010058),2020,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,,0.6067,,,,0.0272,0.317,No
31,LAWRENCE MEDICAL CENTER (010059),2020,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,,1.971,,,,-0.0773,0.9468,Yes
32,HIGHLANDS MEDICAL CENTER (010061),2020,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,2.1854,0.1259,2.1941,,,1.2763,1.4454,Yes
33,WIREGRASS MEDICAL CENTER (010062),2020,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,,-0.2167,,,,-0.6558,-0.4363,No
34,RUSSELL MEDICAL CENTER (010065),2020,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,-0.5377,1.971,,,,-0.2006,0.4109,Yes
35,MEDICAL CENTER BARBOUR (010069),2020,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,-1.5354,1.971,,,,-0.3637,0.024,No
36,CLAY COUNTY HOSPITAL (010073),2020,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,,1.971,,,,-0.0934,0.9388,Yes
37,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER (010078),2020,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,-1.1781,-0.7306,2.1941,2.0431,-1.0045,1.0381,0.3937,Yes
38,ATHENS LIMESTONE HOSPITAL (010079),2020,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,0.5454,-0.0304,-1.4459,-0.4028,-1.5,0.7478,-0.3477,No
39,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2020,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,-1.218,-1.1062,-1.4459,0.4892,-1.5,-0.3523,-0.8555,No
40,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS (010085),2020,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,-0.3078,-0.6404,0.2945,1.4591,-1.2974,0.126,-0.061,No
41,NORTHWEST MEDICAL CENTER (010086),2020,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,,-1.9626,,,,-0.3423,-1.1525,No
42,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER (010087),2020,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,0.7697,1.5653,-0.3241,-0.1497,1.0827,-0.5755,0.3947,Yes
43,WALKER BAPTIST MEDICAL CENTER (010089),2020,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,-1.2503,-0.5262,-1.4459,1.3299,-0.041,-0.4944,-0.4047,No
44,PROVIDENCE HOSPITAL (010090),2020,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,-1.0014,-0.6014,0.026,0.4202,-0.0502,1.0549,-0.0253,No
45,GROVE HILL MEMORIAL HOSPITAL (010091),2020,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,,0.0537,,,,-0.0001,0.0268,No
46,D C H REGIONAL MEDICAL CENTER (010092),2020,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,-0.1159,0.3843,0.1931,0.3441,1.5654,0.2546,0.4376,Yes
47,HALE COUNTY HOSPITAL (010095),2020,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,,,,,,-0.0193,-0.0193,No
48,ELMORE COMMUNITY HOSPITAL (010097),2020,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,,,,,,-0.0391,-0.0391,No
49,D W MCMILLAN MEMORIAL HOSPITAL (010099),2020,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,-1.5354,-0.5142,,,-1.5,0.7824,-0.6918,No
50,THOMAS HOSPITAL (010100),2020,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,1.3531,-1.4307,-0.2863,-0.3568,-0.2437,-0.5128,-0.2462,No
51,CITIZENS BAPTIST MEDICAL CENTER (010101),2020,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,-1.5354,-0.977,,,,-0.358,-0.9568,No
52,J PAUL JONES HOSPITAL (010102),2020,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL,,,,,,0.0396,0.0396,No
53,PRINCETON BAPTIST MEDICAL CENTER (010103),2020,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,-0.2014,0.0147,0.3562,1.76,-0.8037,1.6437,0.4616,Yes
54,GRANDVIEW MEDICAL CENTER (010104),2020,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,-0.361,-0.3249,-0.9606,-0.102,-1.0671,-0.8032,-0.6031,No
55,PRATTVILLE BAPTIST HOSPITAL (010108),2020,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,-0.838,0.7359,2.1941,2.2502,,-0.6916,0.7301,Yes
56,PICKENS COUNTY MEDICAL CENTER (010109),2020,Acute Care,Government - Hospital District or Authority,49.0,33.274807,-88.089673,AL,,,,,,-0.0146,-0.0146,No
57,BULLOCK COUNTY HOSPITAL (010110),2020,Acute Care,Proprietary,54.0,32.146182,-85.71638,AL,,,,,,-0.0256,-0.0256,No
58,BRYAN W. WHITFIELD MEMORIAL HOSPITAL (010112),2020,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,,-0.9199,,,,-0.1617,-0.5408,No
59,MOBILE INFIRMARY MEDICAL CENTER (010113),2020,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,0.3497,-0.7306,0.6068,-0.1816,-0.3855,0.0469,-0.0491,No
60,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2020,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,0.3934,-0.8478,1.6113,0.5087,-0.0207,0.9924,0.4395,Yes
61,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2020,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,-1.5354,-0.7276,-1.4459,-0.0524,-1.5,-1.379,-1.1067,No
62,MONROE COUNTY HOSPITAL (010120),2020,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,,-0.8418,,,,-0.1243,-0.483,No
63,LAKELAND COMMUNITY HOSPITAL (010125),2020,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,,-1.9626,,,,-0.1664,-1.0645,No
64,TROY REGIONAL MEDICAL CENTER (010126),2020,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,-1.5354,-0.9169,,,-1.5,-0.2056,-1.0395,No
65,JACKSON MEDICAL CENTER (010128),2020,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,,,,,,-0.0384,-0.0384,No
66,NORTH BALDWIN INFIRMARY (010129),2020,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,-1.5354,-1.9626,,,-0.321,-0.4405,-1.0649,No
67,ST VINCENT'S ST CLAIR (010130),2020,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,-0.2603,1.8568,-1.4459,,-1.5,1.5279,0.0357,No
68,CRESTWOOD MEDICAL CENTER (010131),2020,Acute Care,Proprietary,163.0,,,AL,1.2752,-0.406,1.0504,0.3582,-0.7724,1.6979,0.5339,Yes
69,HILL HOSPITAL OF SUMTER COUNTY (010138),2020,Acute Care,Voluntary non-profit - Other,33.0,32.491825,-88.296081,AL,,-1.9626,,,,0.0296,-0.9665,No
70,BROOKWOOD BAPTIST MEDICAL CENTER (010139),2020,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,0.5778,-0.6194,0.7878,0.406,-0.7668,-0.6199,-0.0391,No
71,SPRINGHILL MEMORIAL HOSPITAL (010144),2020,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,-0.5206,-0.4301,-0.3997,0.0556,-0.881,1.38,-0.1326,No
72,EVERGREEN MEDICAL CENTER (010148),2020,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,,-1.9626,,,,-0.213,-1.0878,No
73,BAPTIST MEDICAL CENTER EAST (010149),2020,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,0.4295,-0.3008,1.3666,0.3264,-0.4813,-0.7635,0.0962,No
74,REGIONAL MEDICAL CENTER OF CENTRAL ALABAMA (010150),2020,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,,-0.8718,,,,1.4823,0.3053,No
75,SHOALS HOSPITAL (010157),2020,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,2.1854,-1.9626,,,,0.2813,0.168,No
76,RUSSELLVILLE HOSPITAL (010158),2020,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,-0.2432,-0.8087,,,,-0.7935,-0.6151,No
77,COOSA VALLEY MEDICAL CENTER (010164),2020,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,-1.5354,-1.2444,,,-1.5,0.2479,-1.008,No
78,JACK HUGHSTON MEMORIAL HOSPITAL (010168),2020,Acute Care,Government - State,52.0,32.509045,-85.005696,AL,,-1.9626,,,,-0.538,-1.2503,No
79,ATMORE COMMUNITY HOSPITAL (010169),2020,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,,-1.9626,,,,-0.251,-1.1068,No
80,ST VINCENT'S CHILTON (010173),2020,Acute Care,Voluntary non-profit - Church,26.0,32.876585,-86.623511,AL,,0.3272,,,,-0.094,0.1166,No
81,PROVIDENCE ALASKA MEDICAL CENTER (020001),2020,Acute Care,Voluntary non-profit - Church,394.0,61.189798,-149.817622,AK,1.7008,0.4835,-0.342,-0.1568,0.6166,-0.2691,0.3388,Yes
82,MAT-SU REGIONAL MEDICAL CENTER (020006),2020,Acute Care,Voluntary non-profit - Private,90.0,61.561217,-149.258718,AK,-1.085,-0.4661,-0.4872,-0.5409,-0.5016,-0.3722,-0.5755,No
83,BARTLETT REGIONAL HOSPITAL (020008),2020,Acute Care,Government - Local,58.0,58.328696,-134.466829,AK,,-1.0792,,2.0555,1.418,-0.1725,0.5555,Yes
84,FAIRBANKS MEMORIAL HOSPITAL (020012),2020,Acute Care,Voluntary non-profit - Other,213.0,64.831407,-147.736254,AK,0.9407,-0.7877,1.0523,-0.417,0.6811,0.3744,0.3073,No
85,ALASKA REGIONAL HOSPITAL (020017),2020,Acute Care,Proprietary,169.0,61.20979,-149.827379,AK,2.1854,-0.1175,2.1941,-0.6595,2.0996,-0.0229,0.9465,Yes
86,YUKON KUSKOKWIM DELTA REG HOSPITAL (020018),2020,Acute Care,Tribal,34.0,,,AK,,-1.9626,,,,-0.0691,-1.0159,No
87,CENTRAL PENINSULA GENERAL HOSPITAL (020024),2020,Acute Care,Voluntary non-profit - Other,186.0,60.493865,-151.077658,AK,1.1326,0.5796,1.2035,,1.2596,1.6361,1.1623,Yes
88,ALASKA NATIVE MEDICAL CENTER (020026),2020,Acute Care,Government - Federal,163.0,61.18189,-149.800578,AK,1.3892,1.971,0.2309,1.4201,-0.1534,1.3149,1.0288,Yes
89,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX (030002),2020,Acute Care,Voluntary non-profit - Other,706.0,33.465724,-112.058127,AZ,-0.9482,-0.3579,-0.1033,-0.086,1.0219,1.8897,0.236,No
90,TUCSON MEDICAL CENTER (030006),2020,Acute Care,Voluntary non-profit - Private,520.0,32.250749,-110.880169,AZ,0.0039,-0.4271,0.4715,-0.1621,-0.4813,0.0571,-0.0897,No
91,VERDE VALLEY MEDICAL CENTER (030007),2020,Acute Care,Voluntary non-profit - Private,102.0,34.736201,-112.031784,AZ,1.26,0.2611,2.1941,-1.4453,2.0996,0.2538,0.7705,Yes
92,ST. MARY'S HOSPITAL (030010),2020,Acute Care,Voluntary non-profit - Private,398.0,32.228923,-111.000032,AZ,-0.3876,0.3212,-1.0203,0.5989,-0.6102,1.6892,0.0985,No
93,ST JOSEPH'S HOSPITAL (030011),2020,Acute Care,Voluntary non-profit - Other,474.0,32.225946,-110.857838,AZ,-0.3382,-0.9379,-0.167,1.0024,-0.3468,0.0914,-0.116,No
94,YAVAPAI REGIONAL MEDICAL CENTER (030012),2020,Acute Care,Government - Local,179.0,34.55938,-112.482065,AZ,0.4675,1.1386,-1.1575,0.8131,-0.8258,-0.7221,-0.0477,No
95,YUMA REGIONAL MEDICAL CENTER (030013),2020,Acute Care,Voluntary non-profit - Private,397.0,32.683899,-114.633238,AZ,0.1977,-0.6284,-0.3201,-0.8754,0.6166,-0.0706,-0.18,No
96,JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL (030014),2020,Acute Care,Voluntary non-profit - Private,258.0,33.567754,-112.07063,AZ,0.0647,-0.2558,0.02,0.1618,2.0996,1.8157,0.651,Yes
97,BANNER CASA GRANDE MEDICAL CENTER (030016),2020,Acute Care,Voluntary non-profit - Other,156.0,32.879608,-111.709253,AZ,-0.7221,-0.9319,-0.4415,-0.6418,-0.4813,0.5534,-0.4442,No
98,VALLEYWISE HEALTH MEDICAL CENTER (030022),2020,Acute Care,Government - Local,570.0,33.458525,-112.02643,AZ,-0.2128,0.6367,-0.3937,2.2502,0.5043,-0.2983,0.4144,Yes
99,FLAGSTAFF MEDICAL CENTER (030023),2020,Acute Care,Voluntary non-profit - Private,267.0,35.209534,-111.644835,AZ,0.0039,0.3933,-1.1058,-0.0878,0.8838,-0.2519,-0.0274,No
100,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER (030024),2020,Acute Care,Voluntary non-profit - Church,560.0,33.480294,-112.079208,AZ,-0.3249,0.1619,0.0518,-0.4258,-0.1276,1.9413,0.2128,No
101,ABRAZO CENTRAL CAMPUS (030030),2020,Acute Care,Proprietary,186.0,33.524116,-112.101934,AZ,0.8324,0.3422,-0.9387,-0.8878,-1.5,-0.7898,-0.4903,No
102,CHANDLER REGIONAL MEDICAL CENTER (030036),2020,Acute Care,Voluntary non-profit - Other,318.0,33.298691,-111.873508,AZ,-0.0531,0.186,0.0658,-0.0949,0.2279,1.4559,0.2979,No
103,ST LUKE'S MEDICAL CENTER (030037),2020,Acute Care,Proprietary,209.0,33.451436,-112.042767,AZ,0.1996,-1.0761,2.1941,0.0219,-0.8755,-0.035,0.0715,No
104,SCOTTSDALE OSBORN MEDICAL CENTER (030038),2020,Acute Care,Proprietary,360.0,33.487639,-111.922725,AZ,0.0495,0.4294,0.6864,-0.6665,0.4048,-0.9323,-0.0048,No
105,CANYON VISTA MEDICAL CENTER (030043),2020,Acute Care,Voluntary non-profit - Other,92.0,31.554635,-110.230726,AZ,-1.5354,-0.0604,-1.4459,1.3458,2.0278,0.5562,0.148,No
106,KINGMAN REGIONAL MEDICAL CENTER (030055),2020,Acute Care,Government - Hospital District or Authority,221.0,35.219907,-114.035813,AZ,-0.819,0.4504,-0.885,2.2502,-0.8276,0.9663,0.1892,No
107,BANNER BOSWELL MEDICAL CENTER (030061),2020,Acute Care,Voluntary non-profit - Other,508.0,33.604798,-112.282538,AZ,-0.2964,-0.7756,-0.6284,-0.0329,-0.6471,-0.6686,-0.5082,No
108,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER (030062),2020,Acute Care,Voluntary non-profit - Private,91.0,34.201967,-110.01839,AZ,-0.7278,-1.4037,-1.4459,-1.4453,-0.0668,-1.0633,-1.0255,No
109,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS (030064),2020,Acute Care,Voluntary non-profit - Private,511.0,32.242362,-110.944092,AZ,-0.7848,-0.4541,-0.2346,0.6892,0.0253,0.2282,-0.0885,No
110,BANNER DESERT MEDICAL CENTER (030065),2020,Acute Care,Voluntary non-profit - Private,632.0,33.39091,-111.874624,AZ,-0.7278,-0.5232,-0.155,-0.4365,0.1266,1.8652,0.0249,No
111,MT. GRAHAM REGIONAL MEDICAL CENTER (030068),2020,Acute Care,Government - Hospital District or Authority,45.0,32.821883,-109.732994,AZ,,1.971,,,,0.7791,1.3751,Yes
112,HAVASU REGIONAL MEDICAL CENTER (030069),2020,Acute Care,Proprietary,169.0,34.47998,-114.338537,AZ,-1.5354,0.8771,-1.4459,0.1423,0.4177,-0.9634,-0.4179,No
113,FORT DEFIANCE INDIAN HOSPITAL (030071),2020,Acute Care,Government - Federal,54.0,,,AZ,,-0.9169,,,,-0.1789,-0.5479,No
114,TUBA CITY REGIONAL HEALTH CARE CORPORATION (030073),2020,Acute Care,Voluntary non-profit - Other,73.0,,,AZ,-1.5354,-0.2077,-0.0695,,,-0.9717,-0.6961,No
115,SELLS HOSPITAL (030074),2020,Acute Care,Government - Federal,13.0,,,AZ,,,,,2.0996,0.0603,1.08,Yes
116,SAN CARLOS APACHE HEALTHCARE (030077),2020,Acute Care,Government - Federal,9.0,,,AZ,,,,,,0.0475,0.0475,No
117,PHOENIX INDIAN MEDICAL CENTER (030078),2020,Acute Care,Government - Federal,119.0,33.49701,-112.047613,AZ,,1.2467,,,1.5414,-0.1404,0.8826,Yes
118,ABRAZO SCOTTSDALE CAMPUS (030083),2020,Acute Care,Proprietary,129.0,33.640603,-111.997692,AZ,-0.0722,-0.2227,-0.6702,2.2502,2.0996,0.2633,0.608,Yes
119,CHINLE COMPREHENSIVE HEALTH CARE FACILITY (030084),2020,Acute Care,Government - Federal,60.0,,,AZ,,1.971,,,,-0.0853,0.9428,Yes
120,NORTHWEST MEDICAL CENTER (030085),2020,Acute Care,Proprietary,283.0,32.319581,-111.012054,AZ,-0.2527,0.2881,-0.2147,-0.7373,-0.8276,-0.3277,-0.3453,No
121,SCOTTSDALE SHEA MEDICAL CENTER (030087),2020,Acute Care,Proprietary,426.0,33.582467,-111.886032,AZ,-0.3534,1.382,0.9509,-0.4719,0.8174,-1.515,0.135,No
122,BANNER BAYWOOD MEDICAL CENTER (030088),2020,Acute Care,Voluntary non-profit - Private,340.0,33.410465,-111.688045,AZ,-0.9178,-0.2077,-1.0959,-0.1728,-0.1184,0.9709,-0.2569,No
123,BANNER THUNDERBIRD MEDICAL CENTER (030089),2020,Acute Care,Government - Hospital District or Authority,566.0,33.610731,-112.178698,AZ,-1.1534,-1.0641,0.2905,-0.0913,0.6977,2.3575,0.1728,No
124,HONORHEALTH DEER VALLEY MEDICAL CENTER (030092),2020,Acute Care,Voluntary non-profit - Private,201.0,33.666425,-112.117188,AZ,-0.1501,0.5706,0.3303,0.1671,0.1193,0.4759,0.2522,No
125,BANNER DEL E. WEBB MEDICAL CENTER (030093),2020,Acute Care,Voluntary non-profit - Private,390.0,33.658307,-112.371939,AZ,-1.0869,-0.6104,-0.8552,-0.5763,-0.3266,0.2243,-0.5385,No
126,ABRAZO ARROWHEAD CAMPUS (030094),2020,Acute Care,Proprietary,244.0,33.655042,-112.202889,AZ,-1.0204,0.6548,-0.0536,-0.4878,-0.9437,0.3992,-0.2419,No
127,WESTERN ARIZONA REGIONAL MEDICAL CENTER (030101),2020,Acute Care,Proprietary,133.0,35.109853,-114.555146,AZ,-0.9786,-0.2678,-0.7995,-0.6205,-1.5,0.4461,-0.6201,No
128,MAYO CLINIC HOSPITAL (030103),2020,Acute Care,Voluntary non-profit - Private,277.0,33.663312,-111.955659,AZ,-0.5643,1.37,0.1533,0.2255,1.6906,-0.4604,0.4024,Yes
129,BANNER HEART HOSPITAL (030105),2020,Acute Care,Voluntary non-profit - Private,110.0,33.410378,-111.685273,AZ,0.6139,-0.7216,-1.0601,-1.4453,,1.1216,-0.2983,No
130,ARIZONA SPINE AND JOINT HOSPITAL (030107),2020,Acute Care,Proprietary,23.0,33.379206,-111.734695,AZ,,,,,,-1.241,-1.241,No
131,"CORE INSTITUTE SPECIALTY HOSPITAL, THE (030108)",2020,Acute Care,Proprietary,32.0,33.531837,-112.099614,AZ,,-1.9626,,,,-1.3182,-1.6404,No
132,ABRAZO WEST CAMPUS (030110),2020,Acute Care,Proprietary,190.0,33.464283,-112.354024,AZ,-1.4062,-0.8027,-0.9725,-0.7904,-1.5,-0.9129,-1.0641,No
133,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS (030111),2020,Acute Care,Voluntary non-profit - Private,207.0,32.177882,-110.930891,AZ,-0.3382,-1.1002,-0.5886,-0.5692,0.5006,-0.5478,-0.4406,No
134,ARIZONA SPECIALTY HOSPITAL (030112),2020,Acute Care,Proprietary,24.0,33.33484,-111.891133,AZ,,,,,,-1.1128,-1.1128,No
135,WHITERIVER PHS INDIAN HOSPITAL (030113),2020,Acute Care,Government - Federal,39.0,33.875976,-109.959528,AZ,,-1.9626,,,,0.0027,-0.98,No
136,ORO VALLEY HOSPITAL (030114),2020,Acute Care,Proprietary,148.0,32.427183,-110.94954,AZ,-1.5354,-0.0184,-1.4459,,,-0.4065,-0.8515,No
137,BANNER ESTRELLA MEDICAL CENTER (030115),2020,Acute Care,Voluntary non-profit - Private,288.0,33.479558,-112.257936,AZ,-0.3325,-0.974,0.7958,-0.3373,-0.9603,-0.687,-0.4159,No
138,VALLEY VIEW MEDICAL CENTER (030117),2020,Acute Care,Proprietary,82.0,35.002363,-114.597954,AZ,-1.5354,1.7636,-1.4459,,,0.2588,-0.2397,No
139,MERCY GILBERT MEDICAL CENTER (030119),2020,Acute Care,Voluntary non-profit - Church,202.0,33.286661,-111.755311,AZ,-0.2204,0.0447,0.1294,-0.4205,1.0256,1.7504,0.3849,Yes
140,"MOUNTAIN VISTA MEDICAL CENTER, LP (030121)",2020,Acute Care,Proprietary,171.0,33.3911,-111.615329,AZ,-1.391,-0.977,-1.1695,-1.4453,-1.5,1.8085,-0.779,No
