,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI Score,CLABSI Score,PSI-90 Score,Domain 1 Score,Domain 2 Score,Total HAC Score
75,RMC JACKSONVILLE (010146),2015,Acute Care,Proprietary,65.0,,,AL,,,6.0,6.0,,6.0
76,EVERGREEN MEDICAL CENTER (010148),2015,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,,,5.0,5.0,,5.0
77,BAPTIST MEDICAL CENTER EAST (010149),2015,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,5.0,4.0,1.0,1.0,4.5,3.275
78,L V STABLER MEMORIAL HOSPITAL (010150),2015,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,,,4.0,4.0,,4.0
79,SHOALS HOSPITAL (010157),2015,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,8.0,9.0,3.0,3.0,8.5,6.575
80,RUSSELLVILLE HOSPITAL (010158),2015,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,9.0,,9.0,9.0,9.0,9.0
81,COOSA VALLEY MEDICAL CENTER (010164),2015,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,1.0,1.0,9.0,9.0,1.0,3.8
82,JACK HUGHSTON MEMORIAL HOSPITAL (010168),2015,Acute Care,Government - State,52.0,32.509045,-85.005696,AL,,,4.0,4.0,,4.0
83,ATMORE COMMUNITY HOSPITAL (010169),2015,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,5.0,,7.0,7.0,5.0,5.7
84,PROVIDENCE ALASKA MEDICAL CENTER (020001),2015,Acute Care,Voluntary non-profit - Church,394.0,61.189798,-149.817622,AK,6.0,9.0,10.0,10.0,7.5,8.375
85,MAT-SU REGIONAL MEDICAL CENTER (020006),2015,Acute Care,Voluntary non-profit - Private,90.0,61.561217,-149.258718,AK,3.0,6.0,10.0,10.0,4.5,6.425
86,BARTLETT REGIONAL HOSPITAL (020008),2015,Acute Care,Government - Local,58.0,58.328696,-134.466829,AK,,,3.0,3.0,,3.0
87,FAIRBANKS MEMORIAL HOSPITAL (020012),2015,Acute Care,Voluntary non-profit - Other,213.0,64.831407,-147.736254,AK,1.0,8.0,9.0,9.0,4.5,6.075
88,ALASKA REGIONAL HOSPITAL (020017),2015,Acute Care,Proprietary,169.0,61.20979,-149.827379,AK,10.0,9.0,7.0,7.0,9.5,8.625
89,YUKON KUSKOKWIM DELTA REG HOSPITAL (020018),2015,Acute Care,Tribal,34.0,,,AK,,,6.0,6.0,,6.0
90,CENTRAL PENINSULA GENERAL HOSPITAL (020024),2015,Acute Care,Voluntary non-profit - Other,186.0,60.493865,-151.077658,AK,,,4.0,4.0,,4.0
91,ALASKA NATIVE MEDICAL CENTER (020026),2015,Acute Care,Government - Federal,163.0,61.18189,-149.800578,AK,,1.0,9.0,9.0,1.0,3.8
92,MT EDGECUMBE HOSPITAL (020027),2015,Acute Care,Voluntary non-profit - Private,26.0,,,AK,,,7.0,7.0,,7.0
93,MARYVALE HOSPITAL (030001),2015,Acute Care,Proprietary,231.0,,,AZ,1.0,1.0,9.0,9.0,1.0,3.8
94,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX CAMPUS (030002),2015,Acute Care,Voluntary non-profit - Other,706.0,33.465724,-112.058127,AZ,8.0,7.0,6.0,6.0,7.5,6.975
95,TUCSON MEDICAL CENTER (030006),2015,Acute Care,Voluntary non-profit - Private,520.0,32.250749,-110.880169,AZ,8.0,8.0,10.0,10.0,8.0,8.7
96,VERDE VALLEY MEDICAL CENTER (030007),2015,Acute Care,Voluntary non-profit - Private,102.0,34.736201,-112.031784,AZ,2.0,1.0,8.0,8.0,1.5,3.775
97,CARONDELET ST  MARYS HOSPITAL (030010),2015,Acute Care,Voluntary non-profit - Private,398.0,32.228923,-111.000032,AZ,8.0,5.0,7.0,7.0,6.5,6.675
98,CARONDELET ST JOSEPH'S HOSPITAL (030011),2015,Acute Care,Voluntary non-profit - Other,474.0,32.225946,-110.857838,AZ,8.0,2.0,6.0,6.0,5.0,5.35
99,YAVAPAI REGIONAL MEDICAL CENTER (030012),2015,Acute Care,Government - Local,179.0,34.55938,-112.482065,AZ,9.0,3.0,8.0,8.0,6.0,6.7
100,YUMA REGIONAL MEDICAL CENTER (030013),2015,Acute Care,Voluntary non-profit - Private,397.0,32.683899,-114.633238,AZ,4.0,5.0,4.0,4.0,4.5,4.325
101,JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL (030014),2015,Acute Care,Voluntary non-profit - Private,258.0,33.567754,-112.07063,AZ,7.0,9.0,1.0,1.0,8.0,5.55
102,BANNER CASA GRANDE MEDICAL CENTER (030016),2015,Acute Care,Voluntary non-profit - Other,156.0,32.879608,-111.709253,AZ,3.0,3.0,9.0,9.0,3.0,5.1
103,MARICOPA MEDICAL CENTER (030022),2015,Acute Care,Government - Local,570.0,33.458525,-112.02643,AZ,10.0,10.0,10.0,10.0,10.0,10.0
104,FLAGSTAFF MEDICAL CENTER (030023),2015,Acute Care,Voluntary non-profit - Private,267.0,35.209534,-111.644835,AZ,8.0,4.0,4.0,4.0,6.0,5.3
105,ST JOSEPH'S HOSPITAL AND MEDICAL CENTER (030024),2015,Acute Care,Voluntary non-profit - Church,560.0,33.480294,-112.079208,AZ,8.0,7.0,10.0,10.0,7.5,8.375
106,PHOENIX BAPTIST HOSPITAL (030030),2015,Acute Care,Proprietary,186.0,33.524116,-112.101934,AZ,5.0,6.0,9.0,9.0,5.5,6.725
107,PAYSON REGIONAL MEDICAL CENTER (030033),2015,Acute Care,Voluntary non-profit - Other,36.0,,,AZ,1.0,,1.0,1.0,1.0,1.0
108,CHANDLER REGIONAL MEDICAL CENTER (030036),2015,Acute Care,Voluntary non-profit - Other,318.0,33.298691,-111.873508,AZ,2.0,3.0,3.0,3.0,2.5,2.675
109,ST LUKE'S MEDICAL CENTER (030037),2015,Acute Care,Proprietary,209.0,33.451436,-112.042767,AZ,5.0,8.0,10.0,10.0,6.5,7.725
110,SCOTTSDALE HEALTHCARE OSBORN MEDICAL CENTER (030038),2015,Acute Care,Proprietary,360.0,33.487639,-111.922725,AZ,9.0,6.0,2.0,2.0,7.5,5.575
111,SIERRA VISTA REGIONAL HEALTH CENTER (030043),2015,Acute Care,Voluntary non-profit - Other,92.0,31.554635,-110.230726,AZ,9.0,1.0,2.0,2.0,5.0,3.95
112,KINGMAN REGIONAL MEDICAL CENTER (030055),2015,Acute Care,Government - Hospital District or Authority,221.0,35.219907,-114.035813,AZ,5.0,2.0,10.0,10.0,3.5,5.775
113,BANNER BOSWELL MEDICAL CENTER (030061),2015,Acute Care,Voluntary non-profit - Other,508.0,33.604798,-112.282538,AZ,2.0,6.0,2.0,2.0,4.0,3.3
114,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER (030062),2015,Acute Care,Voluntary non-profit - Private,91.0,34.201967,-110.01839,AZ,3.0,5.0,7.0,7.0,4.0,5.05
115,BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS (030064),2015,Acute Care,Voluntary non-profit - Private,511.0,32.242362,-110.944092,AZ,8.0,9.0,9.0,9.0,8.5,8.675
116,BANNER DESERT MEDICAL CENTER (030065),2015,Acute Care,Voluntary non-profit - Private,632.0,33.39091,-111.874624,AZ,7.0,7.0,6.0,6.0,7.0,6.65
117,MT GRAHAM REGIONAL MEDICAL CENTER (030068),2015,Acute Care,Government - Hospital District or Authority,45.0,32.821883,-109.732994,AZ,,,4.0,4.0,,4.0
118,HAVASU REGIONAL MEDICAL CENTER (030069),2015,Acute Care,Proprietary,169.0,34.47998,-114.338537,AZ,5.0,1.0,1.0,1.0,3.0,2.3
119,FORT DEFIANCE INDIAN HOSPITAL (030071),2015,Acute Care,Government - Federal,54.0,,,AZ,,,3.0,3.0,,3.0
120,TUBA CITY REGIONAL HEALTH CARE CORPORATION (030073),2015,Acute Care,Voluntary non-profit - Other,73.0,,,AZ,5.0,,4.0,4.0,5.0,4.65
121,SELLS INDIAN HEALTH SERVICE HOSPITAL (030074),2015,Acute Care,Government - Federal,13.0,,,AZ,10.0,10.0,7.0,7.0,10.0,8.95
122,SAN CARLOS INDIAN HOSPITAL (030077),2015,Acute Care,Government - Federal,9.0,,,AZ,,,7.0,7.0,,7.0
123,PHOENIX INDIAN MEDICAL CENTER (030078),2015,Acute Care,Government - Federal,119.0,33.49701,-112.047613,AZ,,,10.0,10.0,,10.0
124,PARADISE VALLEY HOSPITAL (030083),2015,Acute Care,Proprietary,129.0,33.640603,-111.997692,AZ,2.0,1.0,9.0,9.0,1.5,4.125
125,CHINLE COMPREHENSIVE HEALTH CARE FACILITY (030084),2015,Acute Care,Government - Federal,60.0,,,AZ,1.0,,4.0,4.0,1.0,2.05
126,NORTHWEST MEDICAL CENTER (030085),2015,Acute Care,Proprietary,283.0,32.319581,-111.012054,AZ,8.0,7.0,8.0,8.0,7.5,7.675
127,SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER (030087),2015,Acute Care,Proprietary,426.0,33.582467,-111.886032,AZ,8.0,7.0,5.0,5.0,7.5,6.625
128,BANNER BAYWOOD MEDICAL CENTER (030088),2015,Acute Care,Voluntary non-profit - Private,340.0,33.410465,-111.688045,AZ,7.0,8.0,6.0,6.0,7.5,6.975
129,BANNER THUNDERBIRD MEDICAL CENTER (030089),2015,Acute Care,Government - Hospital District or Authority,566.0,33.610731,-112.178698,AZ,7.0,5.0,4.0,4.0,6.0,5.3
130,JOHN C LINCOLN DEER VALLEY HOSPITAL (030092),2015,Acute Care,Voluntary non-profit - Private,201.0,33.666425,-112.117188,AZ,3.0,7.0,10.0,10.0,5.0,6.75
131,BANNER DEL E WEBB MEDICAL CENTER (030093),2015,Acute Care,Voluntary non-profit - Private,390.0,33.658307,-112.371939,AZ,4.0,3.0,2.0,2.0,3.5,2.975
132,ARROWHEAD HOSPITAL (030094),2015,Acute Care,Proprietary,244.0,33.655042,-112.202889,AZ,4.0,7.0,8.0,8.0,5.5,6.375
133,WESTERN ARIZONA REGIONAL MEDICAL CENTER (030101),2015,Acute Care,Proprietary,133.0,35.109853,-114.555146,AZ,3.0,5.0,3.0,3.0,4.0,3.65
134,MAYO CLINIC HOSPITAL (030103),2015,Acute Care,Voluntary non-profit - Private,277.0,33.663312,-111.955659,AZ,4.0,3.0,2.0,2.0,3.5,2.975
135,BANNER HEART HOSPITAL (030105),2015,Acute Care,Voluntary non-profit - Private,110.0,33.410378,-111.685273,AZ,7.0,4.0,1.0,1.0,5.5,3.925
136,ARIZONA SPINE AND JOINT HOSPITAL (030107),2015,Acute Care,Proprietary,23.0,33.379206,-111.734695,AZ,,,2.0,2.0,,2.0
137,"SURGICAL HOSPITAL OF PHOENIX, THE (030108)",2015,Acute Care,Proprietary,32.0,33.531837,-112.099614,AZ,,,1.0,1.0,,1.0
138,WEST VALLEY HOSPITAL (030110),2015,Acute Care,Proprietary,190.0,33.464283,-112.354024,AZ,4.0,4.0,7.0,7.0,4.0,5.05
139,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS (030111),2015,Acute Care,Voluntary non-profit - Private,207.0,32.177882,-110.930891,AZ,3.0,2.0,10.0,10.0,2.5,5.125
140,ARIZONA ORTHOPEDIC AND SURGICAL SPECIALITY HOSP (030112),2015,Acute Care,Proprietary,24.0,33.33484,-111.891133,AZ,,,8.0,8.0,,8.0
141,WHITERIVER PHS INDIAN HOSPITAL (030113),2015,Acute Care,Government - Federal,39.0,33.875976,-109.959528,AZ,,,6.0,6.0,,6.0
142,ORO VALLEY HOSPITAL (030114),2015,Acute Care,Proprietary,148.0,32.427183,-110.94954,AZ,3.0,7.0,5.0,5.0,5.0,5.0
143,BANNER ESTRELLA MEDICAL CENTER (030115),2015,Acute Care,Voluntary non-profit - Private,288.0,33.479558,-112.257936,AZ,2.0,5.0,3.0,3.0,3.5,3.325
144,VALLEY VIEW MEDICAL CENTER (030117),2015,Acute Care,Proprietary,82.0,35.002363,-114.597954,AZ,1.0,1.0,2.0,2.0,1.0,1.35
145,YAVAPAI REGIONAL MEDICAL CENTER-EAST CAMPUS (030118),2015,Acute Care,Proprietary,61.0,,,AZ,,,3.0,3.0,,3.0
146,MERCY GILBERT MEDICAL CENTER (030119),2015,Acute Care,Voluntary non-profit - Church,202.0,33.286661,-111.755311,AZ,7.0,10.0,10.0,10.0,8.5,9.025
147,GILBERT HOSPITAL (030120),2015,Acute Care,Proprietary,19.0,,,AZ,,,4.0,4.0,,4.0
148,"MOUNTAIN VISTA MEDICAL CENTER, LP (030121)",2015,Acute Care,Proprietary,171.0,33.3911,-111.615329,AZ,5.0,5.0,10.0,10.0,5.0,6.75
149,BANNER GATEWAY MEDICAL CENTER (030122),2015,Acute Care,Voluntary non-profit - Other,170.0,33.384225,-111.719634,AZ,8.0,5.0,10.0,10.0,6.5,7.725
150,SCOTTSDALE HEALTHCARE-THOMPSON PEAK HOSPITAL (030123),2015,Acute Care,Proprietary,98.0,33.669777,-111.921803,AZ,7.0,9.0,3.0,3.0,8.0,6.25
151,BANNER IRONWOOD MEDICAL CENTER (030130),2015,Acute Care,Voluntary non-profit - Private,61.0,33.214839,-111.563447,AZ,,,9.0,9.0,,9.0
152,OASIS HOSPITAL (030131),2015,Acute Care,Voluntary non-profit - Private,64.0,33.45672,-111.99521,AZ,,,2.0,2.0,,2.0
153,"FLORENCE HOSPITAL AT ANTHEM, LLC (030132)",2015,Acute Care,Proprietary,36.0,,,AZ,,,8.0,8.0,,8.0
154,SILOAM SPRINGS REGIONAL HOSPITAL (040001),2015,Acute Care,Proprietary,46.0,36.190377,-94.509658,AR,1.0,,2.0,2.0,1.0,1.35
155,JOHNSON REGIONAL MEDICAL CENTER (040002),2015,Acute Care,Voluntary non-profit - Private,86.0,35.464384,-93.445797,AR,1.0,,5.0,5.0,1.0,2.4
156,WASHINGTON REGIONAL MED CTR AT NORTH HILLS (040004),2015,Acute Care,Voluntary non-profit - Private,314.0,36.110984,-94.157862,AR,10.0,9.0,2.0,2.0,9.5,6.875
157,ST VINCENT INFIRMARY MEDICAL CENTER (040007),2015,Acute Care,Voluntary non-profit - Private,414.0,,,AR,4.0,6.0,4.0,4.0,5.0,4.65
158,MERCY HOSPITAL NORTHWEST ARKANSAS (040010),2015,Acute Care,Voluntary non-profit - Church,201.0,36.309562,-94.184709,AR,3.0,8.0,10.0,10.0,5.5,7.075
159,CHAMBERS MEMORIAL HOSPITAL (040011),2015,Acute Care,Voluntary non-profit - Private,41.0,35.054823,-93.388543,AR,,,9.0,9.0,,9.0
160,WHITE COUNTY MEDICAL CENTER (040014),2015,Acute Care,Voluntary non-profit - Private,315.0,35.250446,-91.696758,AR,6.0,7.0,3.0,3.0,6.5,5.275
161,MENA REGIONAL HEALTH SYSTEM (040015),2015,Acute Care,Government - Local,65.0,34.588386,-94.221383,AR,1.0,,6.0,6.0,1.0,2.75
162,UAMS MEDICAL CENTER (040016),2015,Acute Care,Government - State,480.0,34.751583,-92.320998,AR,8.0,6.0,10.0,10.0,7.0,8.05
