,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI Score,CDI Score,CLABSI Score,MRSA Score,SSI Score,PSI-90 Score,Domain 1 Score,Domain 2 Score,Total HAC Score,Payment Reduction
14,EAST ALABAMA MEDICAL CENTER (010029),2016,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,4.0,4.0,10.0,9.0,4.0,1.0,1.0,6.2,5.42,No
15,WEDOWEE HOSPITAL (010032),2016,Acute Care,Government - Hospital District or Authority,30.0,,,AL,,1.0,,,,6.0,6.0,1.0,1.75,No
16,UNIVERSITY OF ALABAMA HOSPITAL (010033),2016,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,6.0,5.0,8.0,8.0,5.0,4.0,4.0,6.4,6.04,No
17,COMMUNITY HOSPITAL INC (010034),2016,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,1.0,6.0,,,,9.0,9.0,3.5,4.325,No
18,CULLMAN REGIONAL MEDICAL CENTER (010035),2016,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,3.0,1.0,1.0,9.0,6.0,1.0,1.0,4.0,3.55,No
19,ANDALUSIA REGIONAL HOSPITAL (010036),2016,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,3.0,3.0,,6.0,1.0,9.0,9.0,3.25,4.1125,No
20,STRINGFELLOW MEMORIAL HOSPITAL (010038),2016,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,10.0,3.0,,,3.0,5.0,5.0,5.3333,5.2833,No
21,HUNTSVILLE HOSPITAL (010039),2016,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,6.0,4.0,10.0,6.0,7.0,2.0,2.0,6.6,5.91,No
22,GADSDEN REGIONAL MEDICAL CENTER (010040),2016,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,3.0,5.0,3.0,8.0,1.0,8.0,8.0,4.0,4.6,No
23,MARION REGIONAL MEDICAL CENTER (010044),2016,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,,2.0,,,,6.0,6.0,2.0,2.6,No
24,FAYETTE MEDICAL CENTER (010045),2016,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,,10.0,,,,6.0,6.0,10.0,9.4,Yes
25,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2016,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,9.0,5.0,4.0,8.0,2.0,2.0,2.0,5.6,5.06,No
26,GEORGIANA MEDICAL CENTER (010047),2016,Acute Care,Proprietary,22.0,,,AL,,1.0,,,,6.0,6.0,1.0,1.75,No
27,MEDICAL CENTER ENTERPRISE (010049),2016,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,1.0,2.0,,,7.0,3.0,3.0,3.3333,3.2833,No
28,GREENE COUNTY HOSPITAL (010051),2016,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL,,,,,,6.0,6.0,,6.0,No
29,LAKE MARTIN COMMUNITY HOSPITAL (010052),2016,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,,,,,,6.0,6.0,,6.0,No
30,FLOWERS HOSPITAL (010055),2016,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,8.0,5.0,5.0,6.0,6.0,3.0,3.0,6.0,5.55,No
31,ST VINCENT'S BIRMINGHAM (010056),2016,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,3.0,6.0,5.0,8.0,4.0,9.0,9.0,5.2,5.77,No
32,BIBB MEDICAL CENTER (010058),2016,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,,1.0,,,,6.0,6.0,1.0,1.75,No
33,LAWRENCE MEDICAL CENTER (010059),2016,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,,8.0,,,,6.0,6.0,8.0,7.7,Yes
34,HIGHLANDS MEDICAL CENTER (010061),2016,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,1.0,3.0,,1.0,8.0,4.0,4.0,3.25,3.3625,No
35,WIREGRASS MEDICAL CENTER (010062),2016,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,,3.0,,,,6.0,6.0,3.0,3.45,No
36,RUSSELL HOSPITAL (010065),2016,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,1.0,4.0,1.0,,,10.0,10.0,2.0,3.2,No
37,MEDICAL CENTER BARBOUR (010069),2016,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,1.0,1.0,,,,4.0,4.0,1.0,1.45,No
38,CLAY COUNTY HOSPITAL (010073),2016,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,1.0,1.0,,,,4.0,4.0,1.0,1.45,No
39,NORTHEAST ALABAMA REGIONAL MED CENTER (010078),2016,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,8.0,4.0,4.0,7.0,2.0,10.0,10.0,5.0,5.75,No
40,ATHENS LIMESTONE HOSPITAL (010079),2016,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,4.0,5.0,10.0,9.0,1.0,5.0,5.0,5.8,5.68,No
41,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2016,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,2.0,3.0,1.0,6.0,4.0,9.0,9.0,3.2,4.07,No
42,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS (010085),2016,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,3.0,2.0,3.0,5.0,5.0,10.0,10.0,3.6,4.56,No
43,NORTHWEST MEDICAL CENTER (010086),2016,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,,3.0,,,,3.0,3.0,3.0,3.0,No
44,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER (010087),2016,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,8.0,4.0,9.0,10.0,8.0,5.0,5.0,7.8,7.38,Yes
45,WALKER BAPTIST MEDICAL CENTER (010089),2016,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,7.0,6.0,9.0,5.0,2.0,2.0,2.0,5.8,5.23,No
46,PROVIDENCE HOSPITAL (010090),2016,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,3.0,4.0,4.0,9.0,4.0,10.0,10.0,4.8,5.58,No
47,GROVE HILL MEMORIAL HOSPITAL (010091),2016,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,,2.0,,,,6.0,6.0,2.0,2.6,No
48,D C H REGIONAL MEDICAL CENTER (010092),2016,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,6.0,5.0,6.0,5.0,7.0,6.0,6.0,5.8,5.83,No
49,HALE COUNTY HOSPITAL (010095),2016,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,,,,,,6.0,6.0,,6.0,No
50,ELMORE COMMUNITY HOSPITAL (010097),2016,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,,1.0,,,,5.0,5.0,1.0,1.6,No
51,D W MCMILLAN MEMORIAL HOSPITAL (010099),2016,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,7.0,5.0,,,7.0,9.0,9.0,6.3333,6.7333,Yes
52,THOMAS HOSPITAL (010100),2016,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,3.0,2.0,3.0,8.0,6.0,4.0,4.0,4.4,4.34,No
53,CITIZENS BAPTIST MEDICAL CENTER (010101),2016,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,1.0,1.0,,,1.0,6.0,6.0,1.0,1.75,No
54,J PAUL JONES HOSPITAL (010102),2016,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL,,,,,,7.0,,,,No
55,BAPTIST MEDICAL CENTER-PRINCETON (010103),2016,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,6.0,6.0,10.0,10.0,2.0,4.0,4.0,6.8,6.38,No
56,GRANDVIEW MEDICAL CENTER (010104),2016,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,5.0,3.0,3.0,10.0,2.0,10.0,10.0,4.6,5.41,No
57,PRATTVILLE BAPTIST HOSPITAL (010108),2016,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,1.0,6.0,,4.0,1.0,5.0,5.0,3.0,3.3,No
58,PICKENS COUNTY MEDICAL CENTER (010109),2016,Acute Care,Government - Hospital District or Authority,49.0,33.274807,-88.089673,AL,,1.0,,,,5.0,5.0,1.0,1.6,No
59,BULLOCK COUNTY HOSPITAL (010110),2016,Acute Care,Proprietary,54.0,32.146182,-85.71638,AL,,1.0,,,,5.0,5.0,1.0,1.6,No
60,BRYAN W. WHITFIELD MEMORIAL HOSPITAL (010112),2016,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,,5.0,,,,3.0,3.0,5.0,4.7,No
61,MOBILE INFIRMARY MEDICAL CENTER (010113),2016,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,4.0,3.0,7.0,9.0,5.0,10.0,10.0,5.6,6.26,No
62,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2016,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,8.0,3.0,10.0,5.0,8.0,8.0,8.0,6.8,6.98,Yes
63,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2016,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,3.0,8.0,9.0,8.0,3.0,1.0,1.0,6.2,5.42,No
64,MONROE COUNTY HOSPITAL (010120),2016,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,1.0,4.0,,,,5.0,5.0,2.5,2.875,No
65,LAKELAND COMMUNITY HOSPITAL (010125),2016,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,,4.0,,,,6.0,6.0,4.0,4.3,No
66,TROY REGIONAL MEDICAL CENTER (010126),2016,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,1.0,2.0,1.0,,,4.0,4.0,1.3333,1.7333,No
67,JACKSON MEDICAL CENTER (010128),2016,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,,1.0,,,,6.0,6.0,1.0,1.75,No
68,NORTH BALDWIN INFIRMARY (010129),2016,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,1.0,3.0,,1.0,9.0,4.0,4.0,3.5,3.575,No
69,ST VINCENT'S ST CLAIR (010130),2016,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,1.0,9.0,1.0,,6.0,6.0,6.0,4.25,4.5125,No
70,CRESTWOOD MEDICAL CENTER (010131),2016,Acute Care,Proprietary,163.0,,,AL,8.0,2.0,10.0,5.0,6.0,2.0,2.0,6.2,5.57,No
71,HILL HOSPITAL OF SUMTER COUNTY (010138),2016,Acute Care,Voluntary non-profit - Other,33.0,32.491825,-88.296081,AL,,1.0,,,,6.0,6.0,1.0,1.75,No
72,BROOKWOOD MEDICAL CENTER (010139),2016,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,6.0,2.0,9.0,6.0,4.0,7.0,7.0,5.4,5.64,No
73,SPRINGHILL MEMORIAL HOSPITAL (010144),2016,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,9.0,3.0,6.0,8.0,9.0,10.0,10.0,7.0,7.45,Yes
74,RMC JACKSONVILLE (010146),2016,Acute Care,Proprietary,65.0,,,AL,,1.0,,,,4.0,4.0,1.0,1.45,No
75,EVERGREEN MEDICAL CENTER (010148),2016,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,,1.0,,,,8.0,8.0,1.0,2.05,No
76,BAPTIST MEDICAL CENTER EAST (010149),2016,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,3.0,5.0,7.0,6.0,2.0,1.0,1.0,4.6,4.06,No
77,L V STABLER MEMORIAL HOSPITAL (010150),2016,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,,1.0,,,,9.0,9.0,1.0,2.2,No
78,SHOALS HOSPITAL (010157),2016,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,1.0,5.0,1.0,6.0,7.0,3.0,3.0,4.0,3.85,No
79,RUSSELLVILLE HOSPITAL (010158),2016,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,4.0,5.0,,,,7.0,7.0,4.5,4.875,No
80,COOSA VALLEY MEDICAL CENTER (010164),2016,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,1.0,6.0,1.0,,1.0,9.0,9.0,2.25,3.2625,No
81,JACK HUGHSTON MEMORIAL HOSPITAL (010168),2016,Acute Care,Government - State,52.0,32.509045,-85.005696,AL,,1.0,,,,2.0,2.0,1.0,1.15,No
82,ATMORE COMMUNITY HOSPITAL (010169),2016,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,1.0,2.0,,,,4.0,4.0,1.5,1.875,No
83,PROVIDENCE ALASKA MEDICAL CENTER (020001),2016,Acute Care,Voluntary non-profit - Church,394.0,61.189798,-149.817622,AK,7.0,5.0,8.0,6.0,6.0,9.0,9.0,6.4,6.79,Yes
84,MAT-SU REGIONAL MEDICAL CENTER (020006),2016,Acute Care,Voluntary non-profit - Private,90.0,61.561217,-149.258718,AK,5.0,4.0,1.0,1.0,9.0,4.0,4.0,4.0,4.0,No
85,BARTLETT REGIONAL HOSPITAL (020008),2016,Acute Care,Government - Local,58.0,58.328696,-134.466829,AK,,1.0,,,10.0,5.0,5.0,5.5,5.425,No
86,FAIRBANKS MEMORIAL HOSPITAL (020012),2016,Acute Care,Voluntary non-profit - Other,213.0,64.831407,-147.736254,AK,4.0,3.0,1.0,4.0,9.0,9.0,9.0,4.2,4.92,No
87,ALASKA REGIONAL HOSPITAL (020017),2016,Acute Care,Proprietary,169.0,61.20979,-149.827379,AK,10.0,8.0,6.0,1.0,4.0,9.0,9.0,5.8,6.28,No
88,YUKON KUSKOKWIM DELTA REG HOSPITAL (020018),2016,Acute Care,Tribal,34.0,,,AK,,2.0,,,,7.0,7.0,2.0,2.75,No
89,CENTRAL PENINSULA GENERAL HOSPITAL (020024),2016,Acute Care,Voluntary non-profit - Other,186.0,60.493865,-151.077658,AK,,9.0,,1.0,10.0,6.0,6.0,6.6667,6.5667,No
90,ALASKA NATIVE MEDICAL CENTER (020026),2016,Acute Care,Government - Federal,163.0,61.18189,-149.800578,AK,,8.0,8.0,9.0,7.0,10.0,10.0,8.0,8.3,Yes
91,ABRAZO MARYVALE CAMPUS (030001),2016,Acute Care,Proprietary,231.0,,,AZ,2.0,4.0,4.0,10.0,8.0,9.0,9.0,5.6,6.11,No
92,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX (030002),2016,Acute Care,Voluntary non-profit - Other,706.0,33.465724,-112.058127,AZ,7.0,5.0,6.0,6.0,7.0,7.0,7.0,6.2,6.32,No
93,TUCSON MEDICAL CENTER (030006),2016,Acute Care,Voluntary non-profit - Private,520.0,32.250749,-110.880169,AZ,7.0,9.0,6.0,4.0,9.0,2.0,2.0,7.0,6.25,No
94,VERDE VALLEY MEDICAL CENTER (030007),2016,Acute Care,Voluntary non-profit - Private,102.0,34.736201,-112.031784,AZ,2.0,8.0,3.0,1.0,8.0,5.0,5.0,4.4,4.49,No
95,ST. MARY'S HOSPITAL (030010),2016,Acute Care,Voluntary non-profit - Private,398.0,32.228923,-111.000032,AZ,7.0,9.0,7.0,6.0,7.0,3.0,3.0,7.2,6.57,No
96,ST JOSEPH'S HOSPITAL (030011),2016,Acute Care,Voluntary non-profit - Other,474.0,32.225946,-110.857838,AZ,9.0,9.0,2.0,5.0,8.0,4.0,4.0,6.6,6.21,No
97,YAVAPAI REGIONAL MEDICAL CENTER (030012),2016,Acute Care,Government - Local,179.0,34.55938,-112.482065,AZ,2.0,8.0,3.0,10.0,3.0,10.0,10.0,5.2,5.92,No
98,YUMA REGIONAL MEDICAL CENTER (030013),2016,Acute Care,Voluntary non-profit - Private,397.0,32.683899,-114.633238,AZ,5.0,7.0,2.0,9.0,5.0,2.0,2.0,5.6,5.06,No
99,JOHN C. LINCOLN MEDICAL CENTER (030014),2016,Acute Care,Voluntary non-profit - Private,258.0,33.567754,-112.07063,AZ,9.0,10.0,10.0,8.0,8.0,4.0,4.0,9.0,8.25,Yes
100,BANNER CASA GRANDE MEDICAL CENTER (030016),2016,Acute Care,Voluntary non-profit - Other,156.0,32.879608,-111.709253,AZ,4.0,6.0,3.0,5.0,5.0,9.0,9.0,4.6,5.26,No
101,MARICOPA MEDICAL CENTER (030022),2016,Acute Care,Government - Local,570.0,33.458525,-112.02643,AZ,9.0,4.0,8.0,8.0,4.0,10.0,10.0,6.6,7.11,Yes
102,FLAGSTAFF MEDICAL CENTER (030023),2016,Acute Care,Voluntary non-profit - Private,267.0,35.209534,-111.644835,AZ,10.0,7.0,7.0,4.0,10.0,9.0,9.0,7.6,7.81,Yes
103,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER (030024),2016,Acute Care,Voluntary non-profit - Church,560.0,33.480294,-112.079208,AZ,7.0,6.0,6.0,6.0,6.0,10.0,10.0,6.2,6.77,Yes
104,ABRAZO CENTRAL CAMPUS (030030),2016,Acute Care,Proprietary,186.0,33.524116,-112.101934,AZ,7.0,6.0,6.0,7.0,3.0,3.0,3.0,5.8,5.38,No
105,BANNER PAYSON MEDICAL CENTER (030033),2016,Acute Care,Voluntary non-profit - Other,36.0,,,AZ,,9.0,,,1.0,3.0,3.0,5.0,4.7,No
106,CHANDLER REGIONAL MEDICAL CENTER (030036),2016,Acute Care,Voluntary non-profit - Other,318.0,33.298691,-111.873508,AZ,4.0,9.0,3.0,8.0,6.0,8.0,8.0,6.0,6.3,No
107,ST LUKE'S MEDICAL CENTER (030037),2016,Acute Care,Proprietary,209.0,33.451436,-112.042767,AZ,7.0,5.0,9.0,10.0,2.0,2.0,2.0,6.6,5.91,No
108,SCOTTSDALE OSBORN MEDICAL CENTER (030038),2016,Acute Care,Proprietary,360.0,33.487639,-111.922725,AZ,8.0,9.0,2.0,6.0,4.0,9.0,9.0,5.8,6.28,No
109,CANYON VISTA MEDICAL CENTER (030043),2016,Acute Care,Voluntary non-profit - Other,92.0,31.554635,-110.230726,AZ,8.0,8.0,1.0,1.0,2.0,10.0,10.0,4.0,4.9,No
110,KINGMAN REGIONAL MEDICAL CENTER (030055),2016,Acute Care,Government - Hospital District or Authority,221.0,35.219907,-114.035813,AZ,7.0,7.0,8.0,10.0,8.0,8.0,8.0,8.0,8.0,Yes
111,BANNER BOSWELL MEDICAL CENTER (030061),2016,Acute Care,Voluntary non-profit - Other,508.0,33.604798,-112.282538,AZ,4.0,4.0,4.0,8.0,5.0,3.0,3.0,5.0,4.7,No
112,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER (030062),2016,Acute Care,Voluntary non-profit - Private,91.0,34.201967,-110.01839,AZ,1.0,3.0,1.0,1.0,3.0,9.0,9.0,1.8,2.88,No
113,BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS (030064),2016,Acute Care,Voluntary non-profit - Private,511.0,32.242362,-110.944092,AZ,9.0,10.0,9.0,8.0,10.0,10.0,10.0,9.2,9.32,Yes
114,BANNER DESERT MEDICAL CENTER (030065),2016,Acute Care,Voluntary non-profit - Private,632.0,33.39091,-111.874624,AZ,5.0,4.0,4.0,3.0,7.0,1.0,1.0,4.6,4.06,No
115,MT. GRAHAM REGIONAL MEDICAL CENTER (030068),2016,Acute Care,Government - Hospital District or Authority,45.0,32.821883,-109.732994,AZ,,5.0,,,,7.0,7.0,5.0,5.3,No
116,HAVASU REGIONAL MEDICAL CENTER (030069),2016,Acute Care,Proprietary,169.0,34.47998,-114.338537,AZ,5.0,9.0,1.0,5.0,1.0,7.0,7.0,4.2,4.62,No
117,FORT DEFIANCE INDIAN HOSPITAL (030071),2016,Acute Care,Government - Federal,54.0,,,AZ,,3.0,,,,5.0,5.0,3.0,3.3,No
118,TUBA CITY REGIONAL HEALTH CARE CORPORATION (030073),2016,Acute Care,Voluntary non-profit - Other,73.0,,,AZ,1.0,3.0,,,,4.0,4.0,2.0,2.3,No
119,SELLS INDIAN HEALTH SERVICE HOSPITAL (030074),2016,Acute Care,Government - Federal,13.0,,,AZ,10.0,10.0,10.0,10.0,10.0,6.0,6.0,10.0,9.4,Yes
120,SAN CARLOS APACHE HEALTHCARE (030077),2016,Acute Care,Government - Federal,9.0,,,AZ,,,,,,7.0,,,,No
121,PHOENIX INDIAN MEDICAL CENTER (030078),2016,Acute Care,Government - Federal,119.0,33.49701,-112.047613,AZ,,8.0,,,10.0,10.0,10.0,9.0,9.15,Yes
122,ABRAZO SCOTTSDALE CAMPUS (030083),2016,Acute Care,Proprietary,129.0,33.640603,-111.997692,AZ,3.0,6.0,1.0,10.0,10.0,4.0,4.0,6.0,5.7,No
123,CHINLE COMPREHENSIVE HEALTH CARE FACILITY (030084),2016,Acute Care,Government - Federal,60.0,,,AZ,,9.0,,,,4.0,4.0,9.0,8.25,Yes
124,NORTHWEST MEDICAL CENTER (030085),2016,Acute Care,Proprietary,283.0,32.319581,-111.012054,AZ,8.0,8.0,4.0,8.0,8.0,2.0,2.0,7.2,6.42,No
125,SCOTTSDALE SHEA MEDICAL CENTER (030087),2016,Acute Care,Proprietary,426.0,33.582467,-111.886032,AZ,10.0,9.0,10.0,5.0,5.0,8.0,8.0,7.8,7.83,Yes
126,BANNER BAYWOOD MEDICAL CENTER (030088),2016,Acute Care,Voluntary non-profit - Private,340.0,33.410465,-111.688045,AZ,5.0,5.0,5.0,7.0,7.0,1.0,1.0,5.8,5.08,No
127,BANNER THUNDERBIRD MEDICAL CENTER (030089),2016,Acute Care,Government - Hospital District or Authority,566.0,33.610731,-112.178698,AZ,6.0,4.0,6.0,7.0,8.0,10.0,10.0,6.2,6.77,Yes
128,HONORHEALTH DEER VALLEY MEDICAL CENTER (030092),2016,Acute Care,Voluntary non-profit - Private,201.0,33.666425,-112.117188,AZ,8.0,9.0,10.0,6.0,10.0,2.0,2.0,8.6,7.61,Yes
129,BANNER DEL E. WEBB MEDICAL CENTER (030093),2016,Acute Care,Voluntary non-profit - Private,390.0,33.658307,-112.371939,AZ,2.0,4.0,1.0,9.0,3.0,2.0,2.0,3.8,3.53,No
130,ABRAZO ARROWHEAD CAMPUS (030094),2016,Acute Care,Proprietary,244.0,33.655042,-112.202889,AZ,4.0,6.0,9.0,7.0,5.0,4.0,4.0,6.2,5.87,No
131,WESTERN ARIZONA REGIONAL MEDICAL CENTER (030101),2016,Acute Care,Proprietary,133.0,35.109853,-114.555146,AZ,4.0,2.0,1.0,1.0,6.0,2.0,2.0,2.8,2.68,No
132,MAYO CLINIC HOSPITAL (030103),2016,Acute Care,Voluntary non-profit - Private,277.0,33.663312,-111.955659,AZ,4.0,6.0,4.0,7.0,6.0,2.0,2.0,5.4,4.89,No
133,BANNER HEART HOSPITAL (030105),2016,Acute Care,Voluntary non-profit - Private,110.0,33.410378,-111.685273,AZ,6.0,5.0,9.0,10.0,,2.0,2.0,7.5,6.675,Yes
134,ARIZONA SPINE AND JOINT HOSPITAL (030107),2016,Acute Care,Proprietary,23.0,33.379206,-111.734695,AZ,,1.0,,,,4.0,4.0,1.0,1.45,No
135,"CORE INSTITUTE SPECIALTY HOSPITAL, THE (030108)",2016,Acute Care,Proprietary,32.0,33.531837,-112.099614,AZ,,1.0,,,,3.0,3.0,1.0,1.3,No
136,ABRAZO WEST CAMPUS (030110),2016,Acute Care,Proprietary,190.0,33.464283,-112.354024,AZ,7.0,8.0,6.0,5.0,2.0,10.0,10.0,5.6,6.26,No
137,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS (030111),2016,Acute Care,Voluntary non-profit - Private,207.0,32.177882,-110.930891,AZ,4.0,5.0,4.0,5.0,10.0,9.0,9.0,5.6,6.11,No
138,ARIZONA ORTHOPEDIC AND SURGICAL SPECIALITY HOSP (030112),2016,Acute Care,Proprietary,24.0,33.33484,-111.891133,AZ,,1.0,,,,8.0,8.0,1.0,2.05,No
139,WHITERIVER PHS INDIAN HOSPITAL (030113),2016,Acute Care,Government - Federal,39.0,33.875976,-109.959528,AZ,,2.0,,,,6.0,6.0,2.0,2.6,No
140,ORO VALLEY HOSPITAL (030114),2016,Acute Care,Proprietary,148.0,32.427183,-110.94954,AZ,5.0,5.0,4.0,4.0,2.0,10.0,10.0,4.0,4.9,No
