,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI W Z Score,CDI W Z Score,CLABSI W Z Score,MRSA W Z Score,SSI W Z Score,PSI-90 W Z Score,Domain 1 Score,Domain 2 Score,Total HAC Score,Payment Reduction
16,CALLAHAN EYE HOSPITAL (010018),2018,Acute Care,Voluntary non-profit - Private,11.0,33.503137,-86.802401,AL,,,,,,-1.3382,-1.3382,,,No
17,CALLAHAN EYE HOSPITAL (010018),2018,Acute Care,Voluntary non-profit - Private,11.0,33.503137,-86.802401,AL,,,,,,-1.3382,-1.3382,,,No
18,HELEN KELLER HOSPITAL (010019),2018,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,-0.7486,-1.3039,1.1037,2.2236,-0.1665,-0.4434,-0.4434,0.2217,0.1219,No
19,HELEN KELLER HOSPITAL (010019),2018,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,-0.7486,-1.3039,1.1037,2.2236,-0.1665,-0.4434,-0.4434,0.2217,0.1219,No
20,DALE MEDICAL CENTER (010021),2018,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,-0.1121,-1.8223,,,,0.0417,0.0417,-0.9672,-0.8159,No
21,DALE MEDICAL CENTER (010021),2018,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,-0.1121,-1.8223,,,,0.0417,0.0417,-0.9672,-0.8159,No
22,CHEROKEE MEDICAL CENTER (010022),2018,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,,-1.9602,,,,-0.0239,-0.0239,-1.9602,-1.6698,No
23,CHEROKEE MEDICAL CENTER (010022),2018,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,,-1.9602,,,,-0.0239,-0.0239,-1.9602,-1.6698,No
24,BAPTIST MEDICAL CENTER SOUTH (010023),2018,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,0.2738,0.8849,0.9921,0.5149,-0.8862,-1.2592,-1.2592,0.3559,0.1136,No
25,BAPTIST MEDICAL CENTER SOUTH (010023),2018,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,0.2738,0.8849,0.9921,0.5149,-0.8862,-1.2592,-1.2592,0.3559,0.1136,No
26,JACKSON HOSPITAL & CLINIC INC (010024),2018,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,0.2671,0.5171,2.1946,1.9451,0.092,1.4305,1.4305,1.0032,1.0673,Yes
27,JACKSON HOSPITAL & CLINIC INC (010024),2018,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,0.2671,0.5171,2.1946,1.9451,0.092,1.4305,1.4305,1.0032,1.0673,Yes
28,EAST ALABAMA MEDICAL CENTER AND SNF (010029),2018,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,0.1167,-0.6654,0.2006,0.6406,-0.3482,-0.223,-0.223,-0.0111,-0.0429,No
29,EAST ALABAMA MEDICAL CENTER AND SNF (010029),2018,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,0.1167,-0.6654,0.2006,0.6406,-0.3482,-0.223,-0.223,-0.0111,-0.0429,No
30,WEDOWEE HOSPITAL (010032),2018,Acute Care,Government - Hospital District or Authority,30.0,,,AL,,,,,,-0.0103,-0.0103,,,No
31,WEDOWEE HOSPITAL (010032),2018,Acute Care,Government - Hospital District or Authority,30.0,,,AL,,,,,,-0.0103,-0.0103,,,No
32,UNIVERSITY OF ALABAMA HOSPITAL (010033),2018,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,-0.9206,-0.5147,0.4424,0.836,0.1881,0.1928,0.1928,0.0062,0.0342,No
33,UNIVERSITY OF ALABAMA HOSPITAL (010033),2018,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,-0.9206,-0.5147,0.4424,0.836,0.1881,0.1928,0.1928,0.0062,0.0342,No
34,COMMUNITY HOSPITAL INC (010034),2018,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,0.1084,0.4992,,,,-0.1055,-0.1055,0.3038,0.2424,No
35,COMMUNITY HOSPITAL INC (010034),2018,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,0.1084,0.4992,,,,-0.1055,-0.1055,0.3038,0.2424,No
36,CULLMAN REGIONAL MEDICAL CENTER (010035),2018,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,-0.1405,-1.4316,-0.821,0.8826,-1.0522,0.3713,0.3713,-0.5125,-0.38,No
37,CULLMAN REGIONAL MEDICAL CENTER (010035),2018,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,-0.1405,-1.4316,-0.821,0.8826,-1.0522,0.3713,0.3713,-0.5125,-0.38,No
38,ANDALUSIA REGIONAL HOSPITAL (010036),2018,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,-1.5254,-0.8416,,-0.0125,,-0.4019,-0.4019,-0.7931,-0.7345,No
39,ANDALUSIA REGIONAL HOSPITAL (010036),2018,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,-1.5254,-0.8416,,-0.0125,,-0.4019,-0.4019,-0.7931,-0.7345,No
40,STRINGFELLOW MEMORIAL HOSPITAL (010038),2018,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,0.9771,-0.3385,0.1126,,1.0615,0.1379,0.1379,0.4532,0.4059,Yes
41,STRINGFELLOW MEMORIAL HOSPITAL (010038),2018,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,0.9771,-0.3385,0.1126,,1.0615,0.1379,0.1379,0.4532,0.4059,Yes
42,HUNTSVILLE HOSPITAL (010039),2018,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,0.2738,-0.9846,1.2052,0.6716,0.0675,0.9955,0.9955,0.2467,0.359,No
43,HUNTSVILLE HOSPITAL (010039),2018,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,0.2738,-0.9846,1.2052,0.6716,0.0675,0.9955,0.9955,0.2467,0.359,No
44,GADSDEN REGIONAL MEDICAL CENTER (010040),2018,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,-0.939,-0.7573,-0.8142,0.2063,-1.4872,0.5761,0.5761,-0.7583,-0.5581,No
45,GADSDEN REGIONAL MEDICAL CENTER (010040),2018,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,-0.939,-0.7573,-0.8142,0.2063,-1.4872,0.5761,0.5761,-0.7583,-0.5581,No
46,MARION REGIONAL MEDICAL CENTER (010044),2018,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,,-0.2669,,,,-0.013,-0.013,-0.2669,-0.2289,No
47,MARION REGIONAL MEDICAL CENTER (010044),2018,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,,-0.2669,,,,-0.013,-0.013,-0.2669,-0.2289,No
48,FAYETTE MEDICAL CENTER (010045),2018,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,2.1498,1.9601,,,,-0.2189,-0.2189,2.0549,1.7139,Yes
49,FAYETTE MEDICAL CENTER (010045),2018,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,2.1498,1.9601,,,,-0.2189,-0.2189,2.0549,1.7139,Yes
50,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2018,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,1.966,-0.8263,-0.4996,1.1168,-1.4872,-0.6483,-0.6483,0.054,-0.0514,No
51,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2018,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,1.966,-0.8263,-0.4996,1.1168,-1.4872,-0.6483,-0.6483,0.054,-0.0514,No
52,GEORGIANA MEDICAL CENTER (010047),2018,Acute Care,Proprietary,22.0,,,AL,,,,,,-0.0438,-0.0438,,-0.0438,No
53,GEORGIANA MEDICAL CENTER (010047),2018,Acute Care,Proprietary,22.0,,,AL,,,,,,-0.0438,-0.0438,,-0.0438,No
54,MEDICAL CENTER ENTERPRISE (010049),2018,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,0.0015,-0.8084,,,-0.8234,-0.6255,-0.6255,-0.5434,-0.5557,No
55,MEDICAL CENTER ENTERPRISE (010049),2018,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,0.0015,-0.8084,,,-0.8234,-0.6255,-0.6255,-0.5434,-0.5557,No
56,GREENE COUNTY HOSPITAL (010051),2018,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL,,,,,,-0.013,-0.013,,-0.013,No
57,GREENE COUNTY HOSPITAL (010051),2018,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL,,,,,,-0.013,-0.013,,-0.013,No
58,LAKE MARTIN COMMUNITY HOSPITAL (010052),2018,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,,,,,,0.0011,0.0011,,,No
59,LAKE MARTIN COMMUNITY HOSPITAL (010052),2018,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,,,,,,0.0011,0.0011,,,No
60,FLOWERS HOSPITAL (010055),2018,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,0.8117,-0.7548,-0.3119,-0.4344,-0.0757,-0.4752,-0.4752,-0.153,-0.2013,No
61,FLOWERS HOSPITAL (010055),2018,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,0.8117,-0.7548,-0.3119,-0.4344,-0.0757,-0.4752,-0.4752,-0.153,-0.2013,No
62,ST VINCENT'S BIRMINGHAM (010056),2018,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,-0.2641,-0.6194,0.7672,0.5491,-0.4321,0.7357,0.7357,0.0001,0.1105,No
63,ST VINCENT'S BIRMINGHAM (010056),2018,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,-0.2641,-0.6194,0.7672,0.5491,-0.4321,0.7357,0.7357,0.0001,0.1105,No
64,BIBB MEDICAL CENTER (010058),2018,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,,,,,,-0.0197,-0.0197,,-0.0197,No
65,BIBB MEDICAL CENTER (010058),2018,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,,,,,,-0.0197,-0.0197,,-0.0197,No
66,LAWRENCE MEDICAL CENTER (010059),2018,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,,1.9601,,,,-0.0518,-0.0518,1.9601,1.6583,Yes
67,LAWRENCE MEDICAL CENTER (010059),2018,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,,1.9601,,,,-0.0518,-0.0518,1.9601,1.6583,Yes
68,HIGHLANDS MEDICAL CENTER (010061),2018,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,1.5016,-0.553,2.1946,-0.0528,1.0755,-0.5336,-0.5336,0.8332,0.6282,Yes
69,HIGHLANDS MEDICAL CENTER (010061),2018,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,1.5016,-0.553,2.1946,-0.0528,1.0755,-0.5336,-0.5336,0.8332,0.6282,Yes
70,WIREGRASS MEDICAL CENTER (010062),2018,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,,-1.9602,,,,-0.5608,-0.5608,-1.9602,-1.7503,No
71,WIREGRASS MEDICAL CENTER (010062),2018,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,,-1.9602,,,,-0.5608,-0.5608,-1.9602,-1.7503,No
72,RUSSELL HOSPITAL (010065),2018,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,-1.3667,-0.4764,-1.511,,,-0.9325,-0.9325,-1.118,-1.0902,No
73,RUSSELL HOSPITAL (010065),2018,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,-1.3667,-0.4764,-1.511,,,-0.9325,-0.9325,-1.118,-1.0902,No
74,MEDICAL CENTER BARBOUR (010069),2018,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,1.4314,-1.4086,,,,0.2786,0.2786,0.0114,0.0515,No
75,MEDICAL CENTER BARBOUR (010069),2018,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,1.4314,-1.4086,,,,0.2786,0.2786,0.0114,0.0515,No
76,CLAY COUNTY HOSPITAL (010073),2018,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,,,,,,-0.0679,-0.0679,,-0.0679,No
77,CLAY COUNTY HOSPITAL (010073),2018,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,,,,,,-0.0679,-0.0679,,-0.0679,No
78,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER (010078),2018,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,0.2788,-0.8799,0.2192,1.0703,-1.4872,2.3268,2.3268,-0.1598,0.2132,No
79,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER (010078),2018,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,0.2788,-0.8799,0.2192,1.0703,-1.4872,2.3268,2.3268,-0.1598,0.2132,No
80,ATHENS LIMESTONE HOSPITAL (010079),2018,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,0.0098,-0.4125,2.1946,1.6132,-1.4872,1.0068,1.0068,0.3836,0.4771,Yes
81,ATHENS LIMESTONE HOSPITAL (010079),2018,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,0.0098,-0.4125,2.1946,1.6132,-1.4872,1.0068,1.0068,0.3836,0.4771,Yes
82,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2018,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,-0.5899,-0.6909,-1.511,-0.771,0.4501,0.1639,0.1639,-0.6225,-0.5046,No
83,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2018,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,-0.5899,-0.6909,-1.511,-0.771,0.4501,0.1639,0.1639,-0.6225,-0.5046,No
84,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS (010085),2018,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,-0.4095,-1.3958,-0.9089,-0.5212,0.375,0.206,0.206,-0.5721,-0.4554,No
85,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS (010085),2018,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,-0.4095,-1.3958,-0.9089,-0.5212,0.375,0.206,0.206,-0.5721,-0.4554,No
86,NORTHWEST MEDICAL CENTER (010086),2018,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,2.1498,-0.599,,,,-0.5478,-0.5478,0.7754,0.5769,Yes
87,NORTHWEST MEDICAL CENTER (010086),2018,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,2.1498,-0.599,,,,-0.5478,-0.5478,0.7754,0.5769,Yes
88,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER (010087),2018,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,0.5561,-0.1035,2.1946,1.486,2.1044,-0.2154,-0.2154,1.2475,1.0281,Yes
89,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER (010087),2018,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,0.5561,-0.1035,2.1946,1.486,2.1044,-0.2154,-0.2154,1.2475,1.0281,Yes
90,WALKER BAPTIST MEDICAL CENTER (010089),2018,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,-1.0526,0.0089,0.9583,0.684,-1.4872,-0.7608,-0.7608,-0.1777,-0.2652,No
91,WALKER BAPTIST MEDICAL CENTER (010089),2018,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,-1.0526,0.0089,0.9583,0.684,-1.4872,-0.7608,-0.7608,-0.1777,-0.2652,No
92,PROVIDENCE HOSPITAL (010090),2018,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,-0.6049,-0.3563,0.1938,0.1256,0.0309,1.042,1.042,-0.1222,0.0524,No
93,PROVIDENCE HOSPITAL (010090),2018,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,-0.6049,-0.3563,0.1938,0.1256,0.0309,1.042,1.042,-0.1222,0.0524,No
94,GROVE HILL MEMORIAL HOSPITAL (010091),2018,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,,-0.3589,,,,-0.042,-0.042,-0.3589,-0.3114,No
95,GROVE HILL MEMORIAL HOSPITAL (010091),2018,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,,-0.3589,,,,-0.042,-0.042,-0.3589,-0.3114,No
96,D C H REGIONAL MEDICAL CENTER (010092),2018,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,-0.351,-0.2618,1.0124,-0.2948,-0.1438,0.2028,0.2028,-0.0078,0.0238,No
97,D C H REGIONAL MEDICAL CENTER (010092),2018,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,-0.351,-0.2618,1.0124,-0.2948,-0.1438,0.2028,0.2028,-0.0078,0.0238,No
98,HALE COUNTY HOSPITAL (010095),2018,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,,,,,,-0.0229,-0.0229,,,No
99,HALE COUNTY HOSPITAL (010095),2018,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,,,,,,-0.0229,-0.0229,,,No
100,ELMORE COMMUNITY HOSPITAL (010097),2018,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,,-1.9602,,,,-0.0352,-0.0352,,,No
101,ELMORE COMMUNITY HOSPITAL (010097),2018,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,,-1.9602,,,,-0.0352,-0.0352,,,No
102,D W MCMILLAN MEMORIAL HOSPITAL (010099),2018,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,2.1498,1.4442,,,-0.35,-0.4679,-0.4679,1.0813,0.849,Yes
103,D W MCMILLAN MEMORIAL HOSPITAL (010099),2018,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,2.1498,1.4442,,,-0.35,-0.4679,-0.4679,1.0813,0.849,Yes
104,THOMAS HOSPITAL (010100),2018,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,0.3439,-1.6027,0.0264,0.3955,0.3121,-1.1995,-1.1995,-0.105,-0.2691,No
105,THOMAS HOSPITAL (010100),2018,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,0.3439,-1.6027,0.0264,0.3955,0.3121,-1.1995,-1.1995,-0.105,-0.2691,No
106,CITIZENS BMC (010101),2018,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,-0.2073,-1.5082,,,,-0.2103,-0.2103,-0.8578,-0.7606,No
107,CITIZENS BMC (010101),2018,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,-0.2073,-1.5082,,,,-0.2103,-0.2103,-0.8578,-0.7606,No
108,J PAUL JONES HOSPITAL (010102),2018,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL,,,,,,-0.0033,-0.0033,,-0.0033,No
109,J PAUL JONES HOSPITAL (010102),2018,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL,,,,,,-0.0033,-0.0033,,-0.0033,No
110,BAPTIST MEDICAL CENTER-PRINCETON (010103),2018,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,0.5979,0.0549,1.4099,1.0129,-1.3195,-0.5315,-0.5315,0.3512,0.2188,No
111,BAPTIST MEDICAL CENTER-PRINCETON (010103),2018,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,0.5979,0.0549,1.4099,1.0129,-1.3195,-0.5315,-0.5315,0.3512,0.2188,No
112,GRANDVIEW MEDICAL CENTER (010104),2018,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,-0.4863,-1.4571,-0.5605,0.3536,-1.2968,0.3167,0.3167,-0.6894,-0.5385,No
113,GRANDVIEW MEDICAL CENTER (010104),2018,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,-0.4863,-1.4571,-0.5605,0.3536,-1.2968,0.3167,0.3167,-0.6894,-0.5385,No
114,PRATTVILLE BAPTIST HOSPITAL (010108),2018,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,-1.5254,0.0625,1.0056,,0.251,-0.1746,-0.1746,-0.0516,-0.07,No
115,PRATTVILLE BAPTIST HOSPITAL (010108),2018,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,-1.5254,0.0625,1.0056,,0.251,-0.1746,-0.1746,-0.0516,-0.07,No
116,PICKENS COUNTY MEDICAL CENTER (010109),2018,Acute Care,Government - Hospital District or Authority,49.0,33.274807,-88.089673,AL,,,,,,-0.0205,-0.0205,,-0.0205,No
117,PICKENS COUNTY MEDICAL CENTER (010109),2018,Acute Care,Government - Hospital District or Authority,49.0,33.274807,-88.089673,AL,,,,,,-0.0205,-0.0205,,-0.0205,No
118,BULLOCK COUNTY HOSPITAL (010110),2018,Acute Care,Proprietary,54.0,32.146182,-85.71638,AL,,-1.9602,,,,-0.0239,-0.0239,-1.9602,-1.6698,No
119,BULLOCK COUNTY HOSPITAL (010110),2018,Acute Care,Proprietary,54.0,32.146182,-85.71638,AL,,-1.9602,,,,-0.0239,-0.0239,-1.9602,-1.6698,No
120,BRYAN W. WHITFIELD MEMORIAL HOSPITAL (010112),2018,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,,0.7495,,,,-0.1901,-0.1901,0.7495,0.6086,Yes
121,BRYAN W. WHITFIELD MEMORIAL HOSPITAL (010112),2018,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,,0.7495,,,,-0.1901,-0.1901,0.7495,0.6086,Yes
122,MOBILE INFIRMARY MEDICAL CENTER (010113),2018,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,0.065,-0.908,1.3388,0.0542,-0.1927,1.3341,1.3341,0.0715,0.2608,No
123,MOBILE INFIRMARY MEDICAL CENTER (010113),2018,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,0.065,-0.908,1.3388,0.0542,-0.1927,1.3341,1.3341,0.0715,0.2608,No
124,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2018,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,0.6647,-0.8467,2.0948,2.2236,0.5392,0.6656,0.6656,0.9351,0.8947,Yes
125,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2018,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,0.6647,-0.8467,2.0948,2.2236,0.5392,0.6656,0.6656,0.9351,0.8947,Yes
126,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2018,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,-0.6049,0.2158,-0.1377,2.2236,-1.4872,-1.4788,-1.4788,0.0419,-0.1862,No
127,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2018,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,-0.6049,0.2158,-0.1377,2.2236,-1.4872,-1.4788,-1.4788,0.0419,-0.1862,No
128,MONROE COUNTY HOSPITAL (010120),2018,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,,-1.2885,,,,-0.0595,-0.0595,-1.2885,-1.1042,No
129,MONROE COUNTY HOSPITAL (010120),2018,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,,-1.2885,,,,-0.0595,-0.0595,-1.2885,-1.1042,No
130,LAKELAND COMMUNITY HOSPITAL (010125),2018,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,,-0.9923,,,,-0.0674,-0.0674,-0.9923,-0.8535,No
