,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI W Z Score,CDI W Z Score,CLABSI W Z Score,MRSA W Z Score,SSI W Z Score,PSI-90 W Z Score,Domain 1 Score,Domain 2 Score,Total HAC Score,Payment Reduction
10,DALE MEDICAL CENTER (010021),2019,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,,-1.9247,,,,1.6187,1.6187,-1.9247,-1.3932,No
11,FLOYD CHEROKEE MEDICAL CENTER (010022),2019,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,,,,,,0.0161,0.0161,,0.0161,No
12,BAPTIST MEDICAL CENTER SOUTH (010023),2019,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,0.151,0.9598,-0.1305,0.0625,-0.7645,-1.1151,-1.1151,0.0557,-0.12,No
13,JACKSON HOSPITAL & CLINIC INC (010024),2019,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,0.608,1.3356,1.7051,0.2899,0.1108,2.3181,2.3181,0.8099,1.0361,Yes
14,EAST ALABAMA MEDICAL CENTER (010029),2019,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,0.8034,-0.5543,0.4475,0.8534,-0.9865,-1.1795,-1.1795,0.1127,-0.0811,No
15,TANNER MEDICAL CENTER-EAST ALABAMA (010032),2019,Acute Care,Government - Hospital District or Authority,30.0,,,AL,,,,,,0.0536,0.0536,,0.0536,No
16,UNIVERSITY OF ALABAMA HOSPITAL (010033),2019,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,-0.9672,-0.5515,-0.365,0.4471,-0.1443,1.6943,1.6943,-0.3162,-0.0146,No
17,COMMUNITY HOSPITAL INC (010034),2019,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,,0.2801,,,,-0.1816,-0.1816,0.2801,0.2109,No
18,CULLMAN REGIONAL MEDICAL CENTER (010035),2019,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,-0.5817,-0.8278,-0.7122,-0.7685,-0.3333,0.3924,0.3924,-0.6447,-0.4891,No
19,ANDALUSIA HEALTH (010036),2019,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,-0.8416,-0.5626,,-1.4406,-1.4966,-0.4885,-0.4885,-1.0854,-0.9958,No
20,STRINGFELLOW MEMORIAL HOSPITAL (010038),2019,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,-0.887,-1.4495,2.2018,,,-0.6984,-0.6984,-0.0449,-0.1429,No
21,HUNTSVILLE HOSPITAL (010039),2019,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,0.2015,-0.977,0.3312,1.1109,0.2667,-0.3979,-0.3979,0.1867,0.099,No
22,GADSDEN REGIONAL MEDICAL CENTER (010040),2019,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,-0.4369,0.3188,1.0403,2.196,-1.4966,0.7521,0.7521,0.3243,0.3885,Yes
23,MARION REGIONAL MEDICAL CENTER (010044),2019,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,,1.9711,,,,-0.0134,-0.0134,1.9711,1.6734,Yes
24,FAYETTE MEDICAL CENTER (010045),2019,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,,1.9711,,,,-0.2944,-0.2944,1.9711,1.6313,Yes
25,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2019,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,0.0411,-0.9991,0.0301,1.8716,-1.4966,-1.5577,-1.5577,-0.1106,-0.3276,No
26,GEORGIANA MEDICAL CENTER (010047),2019,Acute Care,Proprietary,22.0,,,AL,,,,,,-0.0749,-0.0749,,-0.0749,No
27,MEDICAL CENTER ENTERPRISE (010049),2019,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,0.915,-1.712,,,-0.1626,-0.9605,-0.9605,-0.3199,-0.416,No
28,GREENE COUNTY HOSPITAL (010051),2019,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL,,,,,,0.0466,0.0466,,0.0466,No
29,LAKE MARTIN COMMUNITY HOSPITAL (010052),2019,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,,,,,,-0.0855,-0.0855,,-0.0855,No
30,FLOWERS HOSPITAL (010055),2019,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,0.1981,-0.4548,-0.6587,-0.1114,-0.3718,-0.4084,-0.4084,-0.2797,-0.299,No
31,ST VINCENT'S BIRMINGHAM (010056),2019,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,0.3062,-0.7809,1.0735,-0.1348,-0.3113,0.4539,0.4539,0.0306,0.0941,No
32,BIBB MEDICAL CENTER (010058),2019,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,,-0.01,,,,0.0342,0.0342,-0.01,-0.0033,No
33,LAWRENCE MEDICAL CENTER (010059),2019,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,,1.9711,,,,-0.0675,-0.0675,1.9711,1.6653,Yes
34,HIGHLANDS MEDICAL CENTER (010061),2019,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,-0.1875,0.1586,2.2018,0.213,,2.347,2.347,0.5965,0.8591,Yes
35,WIREGRASS MEDICAL CENTER (010062),2019,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,,-1.9247,,,,-0.554,-0.554,-1.9247,-1.7191,No
36,RUSSELL MEDICAL CENTER (010065),2019,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,-0.8137,0.6393,-1.4878,,,-0.2426,-0.2426,-0.5541,-0.5073,No
37,MEDICAL CENTER BARBOUR (010069),2019,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,0.0533,1.6119,,,,-0.3688,-0.3688,0.8326,0.6524,Yes
38,CLAY COUNTY HOSPITAL (010073),2019,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,,1.9711,,,,-0.0592,-0.0592,1.9711,1.6666,Yes
39,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER (010078),2019,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,-0.3619,-1.4357,2.1871,1.9051,-1.0012,-0.413,-0.413,0.2587,0.1579,No
40,ATHENS LIMESTONE HOSPITAL (010079),2019,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,-1.0562,-0.662,0.2314,-0.3956,-1.4966,-0.5356,-0.5356,-0.6758,-0.6548,No
41,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2019,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,-0.5643,-0.8002,-1.4878,0.2431,0.2814,-0.0765,-0.0765,-0.4656,-0.4072,No
42,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS (010085),2019,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,-0.5625,-1.1815,-0.3318,0.9353,-1.0673,-0.4101,-0.4101,-0.4416,-0.4368,No
43,NORTHWEST MEDICAL CENTER (010086),2019,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,0.0236,-0.9853,,,,-0.4651,-0.4651,-0.4809,-0.4785,No
44,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER (010087),2019,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,0.833,1.5953,-0.0807,1.2814,2.1365,-0.5276,-0.5276,1.1531,0.901,Yes
45,WALKER BAPTIST MEDICAL CENTER (010089),2019,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,-1.2586,0.1116,-0.0271,0.5357,-0.614,-0.1277,-0.1277,-0.2505,-0.2321,No
46,PROVIDENCE HOSPITAL (010090),2019,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,-0.5887,-0.6344,-0.0603,-0.1331,0.2465,1.5531,1.5531,-0.234,0.0341,No
47,GROVE HILL MEMORIAL HOSPITAL (010091),2019,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,,-1.9247,,,,0.0009,0.0009,-1.9247,-1.6359,No
48,D C H REGIONAL MEDICAL CENTER (010092),2019,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,-0.0985,0.0619,0.7799,0.0492,0.753,-0.1555,-0.1555,0.3091,0.2394,No
49,HALE COUNTY HOSPITAL (010095),2019,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,,,,,,-0.0032,-0.0032,,-0.0032,No
50,ELMORE COMMUNITY HOSPITAL (010097),2019,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,,,,,,-0.0008,-0.0008,,-0.0008,No
51,D W MCMILLAN MEMORIAL HOSPITAL (010099),2019,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,-0.1665,1.7611,,,-0.1553,-0.4483,-0.4483,0.4798,0.3405,No
52,THOMAS HOSPITAL (010100),2019,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,0.451,-1.6899,0.0855,-0.4642,0.0997,-0.0217,-0.0217,-0.3036,-0.2613,No
53,CITIZENS BAPTIST MEDICAL CENTER (010101),2019,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,-0.1369,-0.6703,,,,-0.1402,-0.1402,-0.4036,-0.3641,No
54,J PAUL JONES HOSPITAL (010102),2019,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL,,,,,,0.0419,0.0419,,0.0419,No
55,PRINCETON BAPTIST MEDICAL CENTER (010103),2019,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,0.3289,-0.0155,0.8298,1.7814,-0.9792,1.615,1.615,0.3891,0.573,Yes
56,GRANDVIEW MEDICAL CENTER (010104),2019,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,-0.6288,-0.6565,-0.8969,-0.2217,-1.4966,-0.2172,-0.2172,-0.7801,-0.6957,No
57,PRATTVILLE BAPTIST HOSPITAL (010108),2019,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,-0.9271,0.5868,2.2018,,0.8007,-0.3223,-0.3223,0.6656,0.5174,Yes
58,PICKENS COUNTY MEDICAL CENTER (010109),2019,Acute Care,Government - Hospital District or Authority,49.0,33.274807,-88.089673,AL,,,,,,-0.0007,-0.0007,,-0.0007,No
59,BULLOCK COUNTY HOSPITAL (010110),2019,Acute Care,Proprietary,54.0,32.146182,-85.71638,AL,,,,,,-0.009,-0.009,,-0.009,No
60,BRYAN W. WHITFIELD MEMORIAL HOSPITAL (010112),2019,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,,0.0232,,,,-0.1369,-0.1369,0.0232,-0.0008,No
61,MOBILE INFIRMARY MEDICAL CENTER (010113),2019,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,0.212,-0.8555,1.4262,0.0425,-0.3205,1.2987,1.2987,0.101,0.2806,No
62,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2019,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,-0.0741,-1.3777,1.4244,2.196,-0.0489,0.1245,0.1245,0.424,0.379,Yes
63,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2019,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,-1.1521,-0.6869,-0.5405,1.5824,-1.4966,-1.061,-1.061,-0.4588,-0.5491,No
64,MONROE COUNTY HOSPITAL (010120),2019,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,,-1.2506,,,,-0.0995,-0.0995,-1.2506,-1.0779,No
65,LAKELAND COMMUNITY HOSPITAL (010125),2019,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,,-1.7009,,,,-0.121,-0.121,-1.7009,-1.4639,No
66,TROY REGIONAL MEDICAL CENTER (010126),2019,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,-1.5202,-1.2671,,,-1.4966,0.2134,0.2134,-1.428,-1.1818,No
67,JACKSON MEDICAL CENTER (010128),2019,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,,,,,,-0.0395,-0.0395,,-0.0395,No
68,NORTH BALDWIN INFIRMARY (010129),2019,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,-1.5202,-1.7562,,,1.2833,-0.4118,-0.4118,-0.6644,-0.6265,No
69,ST VINCENT'S ST CLAIR (010130),2019,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,-0.3514,1.3052,-1.4878,,-1.4966,-0.4519,-0.4519,-0.5077,-0.4993,No
70,CRESTWOOD MEDICAL CENTER (010131),2019,Acute Care,Proprietary,163.0,,,AL,0.9656,-0.4797,0.8021,0.116,1.0447,0.4191,0.4191,0.4897,0.4791,Yes
71,HILL HOSPITAL OF SUMTER COUNTY (010138),2019,Acute Care,Voluntary non-profit - Other,33.0,32.491825,-88.296081,AL,,-1.9247,,,,0.0001,0.0001,-1.9247,-1.636,No
72,BROOKWOOD BAPTIST MEDICAL CENTER (010139),2019,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,0.2138,-0.8278,1.5019,0.1378,-0.5883,-0.4216,-0.4216,0.0875,0.0111,No
73,SPRINGHILL MEMORIAL HOSPITAL (010144),2019,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,0.0463,-0.5488,-0.1804,-0.2886,-0.1241,2.347,2.347,-0.2191,0.1658,No
74,RMC JACKSONVILLE (010146),2019,Acute Care,Proprietary,65.0,,,AL,,-1.9247,,,,-0.0766,-0.0766,-1.9247,-1.6475,No
75,EVERGREEN MEDICAL CENTER (010148),2019,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,,-1.9247,,,,-0.1431,-0.1431,-1.9247,-1.6575,No
76,BAPTIST MEDICAL CENTER EAST (010149),2019,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,-0.1107,0.0563,0.6229,0.3902,-0.737,-0.5287,-0.5287,0.0444,-0.0416,No
77,L V STABLER MEMORIAL HOSPITAL (010150),2019,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,,-1.6346,,,,1.5891,1.5891,-1.6346,-1.1511,No
78,SHOALS HOSPITAL (010157),2019,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,1.6355,-0.5101,-1.4878,,2.1365,-0.2783,-0.2783,0.4435,0.3352,No
79,RUSSELLVILLE HOSPITAL (010158),2019,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,-1.5202,-1.9247,,,,-0.6442,-0.6442,-1.7225,-1.5607,No
80,COOSA VALLEY MEDICAL CENTER (010164),2019,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,-1.5202,0.1586,-1.4878,,-1.4966,0.1267,0.1267,-1.0865,-0.9045,No
81,JACK HUGHSTON MEMORIAL HOSPITAL (010168),2019,Acute Care,Government - State,52.0,32.509045,-85.005696,AL,,-1.9247,,,,-1.274,-1.274,-1.9247,-1.8271,No
82,ATMORE COMMUNITY HOSPITAL (010169),2019,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,,-1.9247,,,,-0.1886,-0.1886,-1.9247,-1.6643,No
83,ST VINCENT'S CHILTON (010173),2019,Acute Care,Voluntary non-profit - Church,26.0,32.876585,-86.623511,AL,,-1.9247,,,,,,-1.9247,-1.9247,No
84,PROVIDENCE ALASKA MEDICAL CENTER (020001),2019,Acute Care,Voluntary non-profit - Church,394.0,61.189798,-149.817622,AK,1.7506,0.258,-0.2413,-0.5595,-0.3535,-0.5489,-0.5489,0.1709,0.0629,No
85,MAT-SU REGIONAL MEDICAL CENTER (020006),2019,Acute Care,Voluntary non-profit - Private,90.0,61.561217,-149.258718,AK,-0.2084,-1.0599,-0.9911,-1.4406,-0.9957,0.1701,0.1701,-0.9391,-0.7728,No
86,BARTLETT REGIONAL HOSPITAL (020008),2019,Acute Care,Government - Local,58.0,58.328696,-134.466829,AK,,-1.1649,,,1.4411,-0.2965,-0.2965,0.1381,0.0729,No
87,FAIRBANKS MEMORIAL HOSPITAL (020012),2019,Acute Care,Voluntary non-profit - Other,213.0,64.831407,-147.736254,AK,1.3947,-1.3196,1.4853,-1.4406,-0.2929,-1.4596,-1.4596,-0.0346,-0.2484,No
88,ALASKA REGIONAL HOSPITAL (020017),2019,Acute Care,Proprietary,169.0,61.20979,-149.827379,AK,0.3202,0.0563,1.0033,0.9788,1.008,-0.5574,-0.5574,0.6733,0.4887,Yes
89,YUKON KUSKOKWIM DELTA REG HOSPITAL (020018),2019,Acute Care,Tribal,34.0,,,AK,,,,,,-0.0446,-0.0446,,-0.0446,No
90,CENTRAL PENINSULA GENERAL HOSPITAL (020024),2019,Acute Care,Voluntary non-profit - Other,186.0,60.493865,-151.077658,AK,-0.2503,0.8576,2.1815,,-1.4966,1.283,1.283,0.3231,0.467,Yes
91,ALASKA NATIVE MEDICAL CENTER (020026),2019,Acute Care,Government - Federal,163.0,61.18189,-149.800578,AK,1.7471,1.3052,-0.6236,2.196,-0.8893,1.223,1.223,0.7471,0.8185,Yes
92,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX (030002),2019,Acute Care,Voluntary non-profit - Other,706.0,33.465724,-112.058127,AZ,-0.7823,-0.5128,-0.8119,-0.205,0.9677,2.347,2.347,-0.2689,0.1235,No
93,TUCSON MEDICAL CENTER (030006),2019,Acute Care,Voluntary non-profit - Private,520.0,32.250749,-110.880169,AZ,-0.4491,0.1171,0.9664,0.0174,-0.5498,-1.5577,-1.5577,0.0204,-0.2163,No
94,VERDE VALLEY MEDICAL CENTER (030007),2019,Acute Care,Voluntary non-profit - Private,102.0,34.736201,-112.031784,AZ,-0.2049,1.8882,0.4087,-1.4406,0.786,-0.2665,-0.2665,0.2875,0.2044,No
95,ST. MARY'S HOSPITAL (030010),2019,Acute Care,Voluntary non-profit - Private,398.0,32.228923,-111.000032,AZ,-0.6428,-0.1426,-0.9301,-0.088,0.6832,1.3426,1.3426,-0.224,0.011,No
96,ST JOSEPH'S HOSPITAL (030011),2019,Acute Care,Voluntary non-profit - Other,474.0,32.225946,-110.857838,AZ,0.1335,-0.1564,-0.7639,0.009,-0.1113,0.5813,0.5813,-0.1778,-0.064,No
97,YAVAPAI REGIONAL MEDICAL CENTER (030012),2019,Acute Care,Government - Local,179.0,34.55938,-112.482065,AZ,-0.3706,0.8189,-0.8655,-1.4406,-0.1902,-0.5007,-0.5007,-0.4096,-0.4233,No
98,YUMA REGIONAL MEDICAL CENTER (030013),2019,Acute Care,Voluntary non-profit - Private,397.0,32.683899,-114.633238,AZ,-0.1526,-0.4935,-0.6033,-0.0161,-0.3516,-0.4096,-0.4096,-0.3234,-0.3363,No
99,JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL (030014),2019,Acute Care,Voluntary non-profit - Private,258.0,33.567754,-112.07063,AZ,0.7493,-0.0956,0.5269,-0.0846,1.6961,2.3254,2.3254,0.5584,0.8235,Yes
100,BANNER CASA GRANDE MEDICAL CENTER (030016),2019,Acute Care,Voluntary non-profit - Other,156.0,32.879608,-111.709253,AZ,-1.0143,-0.7947,-0.1268,-0.0127,-0.3168,-0.134,-0.134,-0.4531,-0.4052,No
101,MARICOPA MEDICAL CENTER (030022),2019,Acute Care,Government - Local,570.0,33.458525,-112.02643,AZ,-0.0758,0.7747,0.2314,2.196,1.2264,0.5011,0.5011,0.8705,0.8151,Yes
102,FLAGSTAFF MEDICAL CENTER (030023),2019,Acute Care,Voluntary non-profit - Private,267.0,35.209534,-111.644835,AZ,-0.3427,0.6393,-0.1453,-0.0729,-0.9553,0.1454,0.1454,-0.1754,-0.1273,No
103,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER (030024),2019,Acute Care,Voluntary non-profit - Church,560.0,33.480294,-112.079208,AZ,-0.266,0.0729,-0.3041,-0.3822,0.0741,2.2158,2.2158,-0.1611,0.1955,No
104,ABRAZO CENTRAL CAMPUS (030030),2019,Acute Care,Proprietary,186.0,33.524116,-112.101934,AZ,-0.102,0.142,-0.9227,-0.9357,-0.904,-0.6833,-0.6833,-0.5445,-0.5653,No
105,BANNER PAYSON MEDICAL CENTER (030033),2019,Acute Care,Voluntary non-profit - Other,36.0,,,AZ,,1.0925,,,-0.3113,0.3792,0.3792,0.3906,0.3889,Yes
106,CHANDLER REGIONAL MEDICAL CENTER (030036),2019,Acute Care,Voluntary non-profit - Other,318.0,33.298691,-111.873508,AZ,0.2242,0.4708,-0.0289,-0.1381,0.5089,1.9312,1.9312,0.2074,0.466,Yes
107,ST LUKE'S MEDICAL CENTER (030037),2019,Acute Care,Proprietary,209.0,33.451436,-112.042767,AZ,0.4597,-1.2533,2.2018,-0.3705,0.3475,1.4645,1.4645,0.277,0.4551,Yes
108,SCOTTSDALE OSBORN MEDICAL CENTER (030038),2019,Acute Care,Proprietary,360.0,33.487639,-111.922725,AZ,0.5731,0.4901,0.3348,-0.5043,1.6576,-0.5737,-0.5737,0.5103,0.3477,Yes
109,CANYON VISTA MEDICAL CENTER (030043),2019,Acute Care,Voluntary non-profit - Other,92.0,31.554635,-110.230726,AZ,-0.9864,0.1116,-0.4001,0.6293,2.1365,0.6592,0.6592,0.2982,0.3523,Yes
110,KINGMAN REGIONAL MEDICAL CENTER (030055),2019,Acute Care,Government - Hospital District or Authority,221.0,35.219907,-114.035813,AZ,-0.9009,1.319,-0.7307,2.196,1.808,0.7509,0.7509,0.7383,0.7402,Yes
111,BANNER BOSWELL MEDICAL CENTER (030061),2019,Acute Care,Voluntary non-profit - Other,508.0,33.604798,-112.282538,AZ,-0.4788,-0.6703,-0.6974,0.0308,0.2062,-0.0883,-0.0883,-0.3219,-0.2869,No
112,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER (030062),2019,Acute Care,Voluntary non-profit - Private,91.0,34.201967,-110.01839,AZ,0.0079,-1.2091,-0.5774,-1.4406,-0.0746,-0.9409,-0.9409,-0.6588,-0.7011,No
113,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS (030064),2019,Acute Care,Voluntary non-profit - Private,511.0,32.242362,-110.944092,AZ,0.0602,1.0731,0.2794,1.3801,1.7218,1.2136,1.2136,0.9029,0.9495,Yes
114,BANNER DESERT MEDICAL CENTER (030065),2019,Acute Care,Voluntary non-profit - Private,632.0,33.39091,-111.874624,AZ,-0.8067,-0.7919,0.0929,-0.2485,0.3144,1.4349,1.4349,-0.288,-0.0295,No
115,MT. GRAHAM REGIONAL MEDICAL CENTER (030068),2019,Acute Care,Government - Hospital District or Authority,45.0,32.821883,-109.732994,AZ,,-0.8776,,,,-0.3044,-0.3044,-0.8776,-0.7916,No
116,HAVASU REGIONAL MEDICAL CENTER (030069),2019,Acute Care,Proprietary,169.0,34.47998,-114.338537,AZ,-1.5202,0.3658,-1.4878,2.196,1.1328,-0.2003,-0.2003,0.1373,0.0867,No
117,FORT DEFIANCE INDIAN HOSPITAL (030071),2019,Acute Care,Government - Federal,54.0,,,AZ,,-0.2061,,,,-0.1439,-0.1439,-0.2061,-0.1968,No
118,TUBA CITY REGIONAL HEALTH CARE CORPORATION (030073),2019,Acute Care,Voluntary non-profit - Other,73.0,,,AZ,-1.5202,-0.7394,0.1299,,,-1.125,-1.125,-0.7099,-0.7722,No
119,SELLS HOSPITAL (030074),2019,Acute Care,Government - Federal,13.0,,,AZ,,1.9711,,2.196,2.1365,0.0689,0.0689,2.1012,1.7964,Yes
120,SAN CARLOS APACHE HEALTHCARE (030077),2019,Acute Care,Government - Federal,9.0,,,AZ,,,,,,0.0503,0.0503,,0.0503,No
121,PHOENIX INDIAN MEDICAL CENTER (030078),2019,Acute Care,Government - Federal,119.0,33.49701,-112.047613,AZ,,0.0149,,,0.2594,-0.0732,-0.0732,0.1371,0.1056,No
122,ABRAZO SCOTTSDALE CAMPUS (030083),2019,Acute Care,Proprietary,129.0,33.640603,-111.997692,AZ,-0.0898,-0.0542,-1.1351,2.196,1.3677,-0.2769,-0.2769,0.4569,0.3468,Yes
123,CHINLE COMPREHENSIVE HEALTH CARE FACILITY (030084),2019,Acute Care,Government - Federal,60.0,,,AZ,,1.6451,,,,-0.0582,-0.0582,1.6451,1.3896,Yes
124,NORTHWEST MEDICAL CENTER (030085),2019,Acute Care,Proprietary,283.0,32.319581,-111.012054,AZ,0.2085,0.3354,0.2148,-0.72,-0.57,-0.9999,-0.9999,-0.1062,-0.2403,No
125,SCOTTSDALE SHEA MEDICAL CENTER (030087),2019,Acute Care,Proprietary,426.0,33.582467,-111.886032,AZ,-0.7893,0.8024,0.9683,-0.3772,0.0135,-1.5519,-1.5519,0.1235,-0.1278,No
126,BANNER BAYWOOD MEDICAL CENTER (030088),2019,Acute Care,Voluntary non-profit - Private,340.0,33.410465,-111.688045,AZ,-0.6672,-0.4576,-1.2182,0.2782,0.2264,0.3573,0.3573,-0.3677,-0.2589,No
127,BANNER THUNDERBIRD MEDICAL CENTER (030089),2019,Acute Care,Government - Hospital District or Authority,566.0,33.610731,-112.178698,AZ,-1.1364,-0.7366,0.2647,-0.5946,1.1383,2.347,2.347,-0.2129,0.171,No
