,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI W Z Score,CDI W Z Score,CLABSI W Z Score,MRSA W Z Score,SSI W Z Score,PSI-90 W Z Score,Total HAC Score,Payment Reduction
29,ST VINCENT'S BIRMINGHAM (010056),2021,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,-0.2016,-0.5721,0.5634,0.1313,-0.6016,0.1746,-0.0843,No
30,BIBB MEDICAL CENTER (010058),2021,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,,1.892,,,,0.0127,0.9523,Yes
31,LAWRENCE MEDICAL CENTER (010059),2021,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,,0.8889,,,,-0.0942,0.3973,Yes
32,HIGHLANDS MEDICAL CENTER (010061),2021,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,2.1532,-0.3979,,,,0.758,0.8377,Yes
33,WIREGRASS MEDICAL CENTER (010062),2021,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,,0.3761,,,,-0.539,-0.0815,No
34,RUSSELL MEDICAL CENTER (010065),2021,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,-1.5517,0.918,,,,-0.1129,-0.2489,No
35,MEDICAL CENTER BARBOUR (010069),2021,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,,0.4406,,,,0.9568,0.6987,Yes
36,CLAY COUNTY HOSPITAL (010073),2021,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,,2.0113,,,,1.2683,1.6398,Yes
37,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER (010078),2021,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,-0.143,0.2858,2.2542,1.2857,-0.7495,0.4288,0.5603,Yes
38,ATHENS LIMESTONE HOSPITAL (010079),2021,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,1.9209,0.647,-0.3164,-0.3677,-0.8512,1.7341,0.4611,Yes
39,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2021,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,-1.2293,-0.914,-1.3958,0.6713,-1.4855,-0.1112,-0.7441,No
40,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS (010085),2021,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,-0.2246,0.2084,1.1187,0.7997,-1.075,0.5551,0.2304,No
41,NORTHWEST MEDICAL CENTER (010086),2021,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,,-0.127,,,,-0.2176,-0.1723,No
42,USA HEALTH UNIVERSITY HOSPITAL (010087),2021,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,-0.1221,0.1987,0.3533,-1.0288,-0.0414,-0.5778,-0.203,No
43,WALKER BAPTIST MEDICAL CENTER (010089),2021,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,-1.2419,-1.2558,-0.5826,1.2559,-0.866,-0.4376,-0.5213,No
44,PROVIDENCE HOSPITAL (010090),2021,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,-1.5517,-0.327,0.1349,0.3529,-0.646,-0.2888,-0.3876,No
45,GROVE HILL MEMORIAL HOSPITAL (010091),2021,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,,0.7051,,,,0.0242,0.3646,Yes
46,D C H REGIONAL MEDICAL CENTER (010092),2021,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,-0.009,0.4987,-0.0107,1.2708,0.7852,0.7918,0.5545,Yes
47,HALE COUNTY HOSPITAL (010095),2021,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,,,,,,-0.011,-0.011,No
48,ELMORE COMMUNITY HOSPITAL (010097),2021,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,,-1.946,,,,-0.0149,-0.9804,No
49,D W MCMILLAN MEMORIAL HOSPITAL (010099),2021,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,-1.5517,-0.3044,,,-0.4315,1.4633,-0.2061,No
50,THOMAS HOSPITAL (010100),2021,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,0.6566,-0.9269,-0.5868,0.783,-0.646,-0.5265,-0.2078,No
51,CITIZENS BAPTIST MEDICAL CENTER (010101),2021,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,0.0349,-1.946,,,,-0.3098,-0.7403,No
52,J PAUL JONES HOSPITAL (010102),2021,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL,,,,,,0.0647,0.0647,No
53,PRINCETON BAPTIST MEDICAL CENTER (010103),2021,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,-0.4863,-0.356,-0.4412,0.3789,-0.7828,2.3824,0.1158,No
54,GRANDVIEW MEDICAL CENTER (010104),2021,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,0.2317,-0.4012,-0.801,-0.2504,-0.7311,-1.1305,-0.5137,No
55,PRATTVILLE BAPTIST HOSPITAL (010108),2021,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,0.1668,0.489,2.2542,,,-0.472,0.6095,Yes
56,PICKENS COUNTY MEDICAL CENTER (010109),2021,Acute Care,Government - Hospital District or Authority,49.0,33.274807,-88.089673,AL,,-1.946,,,,0.006,-0.97,No
57,BULLOCK COUNTY HOSPITAL (010110),2021,Acute Care,Proprietary,54.0,32.146182,-85.71638,AL,,,,,,0.0355,0.0355,No
58,WHITFIELD REGIONAL HOSPITAL (010112),2021,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,,0.3664,,,,-0.0628,0.1518,No
59,MOBILE INFIRMARY MEDICAL CENTER (010113),2021,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,0.4954,-0.6495,0.4739,-0.4869,0.763,0.8324,0.2381,No
60,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2021,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,0.6126,-0.4947,0.9835,0.122,-0.7329,0.9216,0.2353,No
61,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2021,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,-1.5517,-0.7656,-1.3958,0.9133,-0.6978,-1.2982,-0.7993,No
62,MONROE COUNTY HOSPITAL (010120),2021,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,,-0.3205,,,,-0.0732,-0.1969,No
63,LAKELAND COMMUNITY HOSPITAL (010125),2021,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,,-1.946,,,,-0.1271,-1.0366,No
64,TROY REGIONAL MEDICAL CENTER (010126),2021,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,-1.5517,-1.946,,,-1.4855,-0.0072,-1.2476,No
65,JACKSON MEDICAL CENTER (010128),2021,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,,,,,,0.0034,0.0034,No
66,NORTH BALDWIN INFIRMARY (010129),2021,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,,-1.946,,,1.4564,-0.3418,-0.2772,No
67,ST VINCENT'S ST CLAIR (010130),2021,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,-0.1325,0.3439,-1.3958,,,2.3824,0.2995,No
68,CRESTWOOD MEDICAL CENTER (010131),2021,Acute Care,Proprietary,163.0,,,AL,0.2547,0.1536,2.2542,-0.1443,0.6336,0.2499,0.5669,Yes
69,HILL HOSPITAL OF SUMTER COUNTY (010138),2021,Acute Care,Voluntary non-profit - Other,33.0,32.491825,-88.296081,AL,,-1.946,,,,0.0809,-0.9326,No
70,BROOKWOOD BAPTIST MEDICAL CENTER (010139),2021,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,0.4473,-0.1657,0.6632,1.2448,-0.8716,-0.5106,0.1345,No
71,SPRINGHILL MEDICAL CENTER (010144),2021,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,-0.2811,-1.0236,0.2805,0.567,-0.8845,-0.5874,-0.3215,No
72,EVERGREEN MEDICAL CENTER (010148),2021,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,,1.0018,,,,-0.1928,0.4045,Yes
73,BAPTIST MEDICAL CENTER EAST (010149),2021,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,1.3097,-0.0528,2.2542,0.5819,-0.6737,0.1868,0.601,Yes
74,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL (010150),2021,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,,-1.2204,,,,0.6443,-0.288,No
75,SHOALS HOSPITAL (010157),2021,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,,-1.946,,,,0.3063,-0.8199,No
76,RUSSELLVILLE HOSPITAL (010158),2021,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,-0.233,-0.4431,,,,-0.7519,-0.476,No
77,COOSA VALLEY MEDICAL CENTER (010164),2021,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,-1.5517,-1.7074,,-1.4868,-1.4855,-0.3539,-1.3171,No
78,JACK HUGHSTON MEMORIAL HOSPITAL (010168),2021,Acute Care,Government - State,52.0,32.509045,-85.005696,AL,,0.5793,,,,-1.1316,-0.2761,No
79,ATMORE COMMUNITY HOSPITAL (010169),2021,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,,-1.946,,,,-0.318,-1.132,No
80,ST VINCENT'S CHILTON (010173),2021,Acute Care,Voluntary non-profit - Church,26.0,32.876585,-86.623511,AL,,0.7277,,,,-0.0673,0.3302,No
81,THOMASVILLE REGIONAL MEDICAL CENTER (010174),2021,Acute Care,Voluntary non-profit - Private,29.0,,,AL,,,,,,,,No
82,PROVIDENCE ALASKA MEDICAL CENTER (020001),2021,Acute Care,Voluntary non-profit - Church,394.0,61.189798,-149.817622,AK,1.6508,0.6245,-0.0065,-0.2467,1.1458,0.235,0.5671,Yes
83,MAT-SU REGIONAL MEDICAL CENTER (020006),2021,Acute Care,Voluntary non-profit - Private,90.0,61.561217,-149.258718,AK,-1.1037,-0.3754,-0.9528,0.3156,-1.0657,-0.6989,-0.6468,No
84,BARTLETT REGIONAL HOSPITAL (020008),2021,Acute Care,Government - Local,58.0,58.328696,-134.466829,AK,,-0.5624,,2.2,-0.23,1.0667,0.6186,Yes
85,FAIRBANKS MEMORIAL HOSPITAL (020012),2021,Acute Care,Voluntary non-profit - Other,213.0,64.831407,-147.736254,AK,0.6901,-0.4947,0.0018,-0.2486,1.118,2.3824,0.5748,Yes
86,ALASKA REGIONAL HOSPITAL (020017),2021,Acute Care,Proprietary,169.0,61.20979,-149.827379,AK,2.1532,0.0697,0.3075,-0.6377,2.0093,-0.6673,0.5391,Yes
87,YUKON KUSKOKWIM DELTA REG HOSPITAL (020018),2021,Acute Care,Tribal,34.0,,,AK,,-1.946,,,,-0.0217,-0.9839,No
88,CENTRAL PENINSULA GENERAL HOSPITAL (020024),2021,Acute Care,Voluntary non-profit - Other,186.0,60.493865,-151.077658,AK,-0.0928,1.3663,-1.3958,,2.0795,0.1826,0.428,Yes
89,ALASKA NATIVE MEDICAL CENTER (020026),2021,Acute Care,Government - Federal,163.0,61.18189,-149.800578,AK,1.2406,1.85,0.4718,-0.1033,0.5467,2.3824,1.0647,Yes
90,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX (030002),2021,Acute Care,Voluntary non-profit - Other,706.0,33.465724,-112.058127,AZ,-1.2105,-0.156,0.1349,0.1909,0.9239,1.8851,0.2947,No
91,TUCSON MEDICAL CENTER (030006),2021,Acute Care,Voluntary non-profit - Private,520.0,32.250749,-110.880169,AZ,0.3342,-0.2206,-0.1354,-0.0884,-0.5831,0.5707,-0.0204,No
92,VERDE VALLEY MEDICAL CENTER (030007),2021,Acute Care,Voluntary non-profit - Private,102.0,34.736201,-112.031784,AZ,-0.2163,0.1439,2.2542,-0.3808,2.0795,0.7473,0.7713,Yes
93,ST. MARY'S HOSPITAL (030010),2021,Acute Care,Voluntary non-profit - Private,398.0,32.228923,-111.000032,AZ,-0.2267,-0.2141,-1.3958,0.1294,-0.5221,-0.2873,-0.4194,No
94,ST JOSEPH'S HOSPITAL (030011),2021,Acute Care,Voluntary non-profit - Other,474.0,32.225946,-110.857838,AZ,-0.6767,-0.9333,0.2264,0.7011,-0.0968,-0.1897,-0.1615,No
95,YAVAPAI REGIONAL MEDICAL CENTER (030012),2021,Acute Care,Government - Local,179.0,34.55938,-112.482065,AZ,1.0124,1.0631,-1.1275,1.984,-0.7477,-0.233,0.3252,No
96,YUMA REGIONAL MEDICAL CENTER (030013),2021,Acute Care,Voluntary non-profit - Private,397.0,32.683899,-114.633238,AZ,0.2401,-0.2012,0.0372,-1.0083,0.2878,-0.1853,-0.1383,No
97,JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL (030014),2021,Acute Care,Voluntary non-profit - Private,258.0,33.567754,-112.07063,AZ,-0.5637,-0.5979,-0.1375,0.8426,1.2123,1.2425,0.333,No
98,BANNER CASA GRANDE MEDICAL CENTER (030016),2021,Acute Care,Voluntary non-profit - Other,156.0,32.879608,-111.709253,AZ,-0.6726,-0.7301,-0.3933,-1.4868,-1.1878,0.5485,-0.6537,No
99,VALLEYWISE HEALTH MEDICAL CENTER (030022),2021,Acute Care,Government - Local,570.0,33.458525,-112.02643,AZ,0.0014,0.4245,0.3387,2.0603,0.3303,-0.4219,0.4556,Yes
100,FLAGSTAFF MEDICAL CENTER (030023),2021,Acute Care,Voluntary non-profit - Private,267.0,35.209534,-111.644835,AZ,-0.3879,0.3535,-0.6554,-0.351,1.6561,0.4205,0.1726,No
101,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER (030024),2021,Acute Care,Voluntary non-profit - Church,560.0,33.480294,-112.079208,AZ,-0.39,0.0891,0.1869,-0.5297,-0.3206,1.0592,0.0158,No
102,ABRAZO CENTRAL CAMPUS (030030),2021,Acute Care,Proprietary,186.0,33.524116,-112.101934,AZ,0.6105,0.3793,-0.4869,-0.9561,-1.4855,0.3259,-0.2688,No
103,CHANDLER REGIONAL MEDICAL CENTER (030036),2021,Acute Care,Voluntary non-profit - Other,318.0,33.298691,-111.873508,AZ,0.0119,0.5471,0.2639,0.2262,0.5041,1.0533,0.4344,Yes
104,ST LUKE'S MEDICAL CENTER (030037),2021,Acute Care,Proprietary,209.0,33.451436,-112.042767,AZ,-0.1639,-0.4302,2.2542,1.4105,-1.4855,1.6669,0.542,Yes
105,SCOTTSDALE OSBORN MEDICAL CENTER (030038),2021,Acute Care,Proprietary,360.0,33.487639,-111.922725,AZ,-0.2393,-0.0722,0.2888,-0.4497,-0.8439,-0.9292,-0.3742,No
106,CANYON VISTA MEDICAL CENTER (030043),2021,Acute Care,Voluntary non-profit - Other,92.0,31.554635,-110.230726,AZ,-1.5517,0.3568,,-0.027,0.1916,-0.6937,-0.3448,No
107,KINGMAN REGIONAL MEDICAL CENTER (030055),2021,Acute Care,Government - Hospital District or Authority,221.0,35.219907,-114.035813,AZ,-0.5553,-0.8817,-1.1982,-0.2244,-1.4855,0.6594,-0.6143,No
108,BANNER BOSWELL MEDICAL CENTER (030061),2021,Acute Care,Voluntary non-profit - Other,508.0,33.604798,-112.282538,AZ,-0.3377,-0.0206,-0.5992,0.1574,-0.3686,-0.0103,-0.1965,No
109,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER (030062),2021,Acute Care,Voluntary non-profit - Private,91.0,34.201967,-110.01839,AZ,-0.166,0.3503,-1.3958,-1.4868,-0.524,0.2112,-0.5018,No
110,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS (030064),2021,Acute Care,Voluntary non-profit - Private,511.0,32.242362,-110.944092,AZ,-0.9112,0.0923,-0.7989,0.4664,-0.1283,0.6102,-0.1116,No
111,BANNER DESERT MEDICAL CENTER (030065),2021,Acute Care,Voluntary non-profit - Private,632.0,33.39091,-111.874624,AZ,-0.8086,0.4213,-0.5452,-0.7476,0.0437,1.1701,-0.0777,No
112,MT. GRAHAM REGIONAL MEDICAL CENTER (030068),2021,Acute Care,Government - Hospital District or Authority,45.0,32.821883,-109.732994,AZ,,2.0113,,,,0.6936,1.3524,Yes
113,HAVASU REGIONAL MEDICAL CENTER (030069),2021,Acute Care,Proprietary,169.0,34.47998,-114.338537,AZ,-1.5517,0.3697,-1.3958,-1.4868,0.7537,0.1079,-0.5338,No
114,FORT DEFIANCE INDIAN HOSPITAL (030071),2021,Acute Care,Government - Federal,54.0,,,AZ,,0.2536,,,,-0.1914,0.0311,No
115,TUBA CITY REGIONAL HEALTH CARE CORPORATION (030073),2021,Acute Care,Voluntary non-profit - Other,73.0,,,AZ,-1.5517,1.6856,-1.3958,,,-0.8243,-0.5216,No
116,SELLS HOSPITAL (030074),2021,Acute Care,Government - Federal,13.0,,,AZ,,,,,2.0795,0.0809,1.0802,Yes
117,SAN CARLOS APACHE HEALTHCARE CORP (030077),2021,Acute Care,Government - Federal,9.0,,,AZ,,,,,,0.088,0.088,No
118,PHOENIX INDIAN MEDICAL CENTER (030078),2021,Acute Care,Government - Federal,119.0,33.49701,-112.047613,AZ,2.1532,2.0113,,,2.0795,1.4067,1.9127,Yes
119,ABRAZO SCOTTSDALE CAMPUS (030083),2021,Acute Care,Proprietary,129.0,33.640603,-111.997692,AZ,-0.8651,0.2955,-0.6346,0.6713,0.2342,0.7468,0.0747,No
120,CHINLE COMPREHENSIVE HEALTH CARE FACILITY (030084),2021,Acute Care,Government - Federal,60.0,,,AZ,,2.0113,,,,-0.0818,0.9648,Yes
121,NORTHWEST MEDICAL CENTER (030085),2021,Acute Care,Proprietary,283.0,32.319581,-111.012054,AZ,-0.3837,-0.3786,-0.9694,-0.783,-0.5406,-0.3666,-0.5703,No
122,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER (030087),2021,Acute Care,Proprietary,426.0,33.582467,-111.886032,AZ,0.1354,0.5632,0.2867,-0.4757,0.4542,-1.5047,-0.0902,No
123,BANNER BAYWOOD MEDICAL CENTER (030088),2021,Acute Care,Voluntary non-profit - Private,340.0,33.410465,-111.688045,AZ,-1.0179,-0.2528,-0.7823,-0.5316,-0.3372,-0.4036,-0.5542,No
124,BANNER THUNDERBIRD MEDICAL CENTER (030089),2021,Acute Care,Government - Hospital District or Authority,566.0,33.610731,-112.178698,AZ,-0.1451,-0.585,0.2639,-0.3826,1.3233,1.2728,0.2912,No
125,HONORHEALTH DEER VALLEY MEDICAL CENTER (030092),2021,Acute Care,Voluntary non-profit - Private,201.0,33.666425,-112.117188,AZ,-0.3335,0.26,0.1516,0.5744,0.4394,-0.7198,0.062,No
126,BANNER DEL E. WEBB MEDICAL CENTER (030093),2021,Acute Care,Voluntary non-profit - Private,390.0,33.658307,-112.371939,AZ,-0.9049,0.1536,-0.5556,-0.0996,-1.2137,-0.1034,-0.4539,No
127,ARROWHEAD HOSPITAL (030094),2021,Acute Care,Proprietary,244.0,33.655042,-112.202889,AZ,-1.1184,0.1245,-1.2086,-0.0624,-1.2377,-0.4396,-0.657,No
128,WESTERN ARIZONA REGIONAL MEDICAL CENTER (030101),2021,Acute Care,Proprietary,133.0,35.109853,-114.555146,AZ,-0.4298,0.6212,-0.1937,-0.6061,-1.4855,-0.7585,-0.4754,No
129,MAYO CLINIC HOSPITAL (030103),2021,Acute Care,Voluntary non-profit - Private,277.0,33.663312,-111.955659,AZ,-0.6684,0.8921,0.216,-0.3994,1.6358,0.5263,0.3671,Yes
130,BANNER HEART HOSPITAL (030105),2021,Acute Care,Voluntary non-profit - Private,110.0,33.410378,-111.685273,AZ,-1.1142,0.1503,-0.9466,-0.5428,,0.3273,-0.4252,No
131,ARIZONA SPINE AND JOINT HOSPITAL (030107),2021,Acute Care,Proprietary,23.0,33.379206,-111.734695,AZ,,,,,,-1.1152,-1.1152,No
132,"CORE INSTITUTE SPECIALTY HOSPITAL, THE (030108)",2021,Acute Care,Proprietary,32.0,33.531837,-112.099614,AZ,,-1.946,,,,-1.1791,-1.5626,No
133,ABRAZO WEST CAMPUS (030110),2021,Acute Care,Proprietary,190.0,33.464283,-112.354024,AZ,-1.5517,-1.0752,-1.2481,-1.4868,-1.4855,-0.6253,-1.2454,No
134,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS (030111),2021,Acute Care,Voluntary non-profit - Private,207.0,32.177882,-110.930891,AZ,-0.5219,-0.7753,-0.071,-0.9301,-0.5018,0.2244,-0.4293,No
135,ARIZONA ORTHOPEDIC AND SURGICAL SPECIALTY HOSPITAL (030112),2021,Acute Care,Proprietary,24.0,33.33484,-111.891133,AZ,,,,,,-0.8754,-0.8754,No
136,WHITERIVER PHS INDIAN HOSPITAL (030113),2021,Acute Care,Government - Federal,39.0,33.875976,-109.959528,AZ,,0.5858,,,,0.0101,0.2979,No
137,ORO VALLEY HOSPITAL (030114),2021,Acute Care,Proprietary,148.0,32.427183,-110.94954,AZ,-1.5517,-1.946,-1.3958,,,-1.2501,-1.5359,No
138,BANNER ESTRELLA MEDICAL CENTER (030115),2021,Acute Care,Voluntary non-profit - Private,288.0,33.479558,-112.257936,AZ,0.0098,-0.8849,0.0039,-0.2821,0.1454,-0.7001,-0.2847,No
139,VALLEY VIEW MEDICAL CENTER (030117),2021,Acute Care,Proprietary,82.0,35.002363,-114.597954,AZ,-1.5517,0.489,-1.3958,,,0.2772,-0.5453,No
140,MERCY GILBERT MEDICAL CENTER (030119),2021,Acute Care,Voluntary non-profit - Church,202.0,33.286661,-111.755311,AZ,-0.4004,0.3439,0.216,-0.3826,0.0585,1.7788,0.269,No
