,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Aspirin at Arrival (OP_4 - Heart Attack or Chest Pain),Aspirin at Arrival (OP_4 - Heart Attack or Chest Pain) (Sample),Door to diagnostic eval (OP_20 - Emergency Department),Door to diagnostic eval (OP_20 - Emergency Department) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3_OP_27_FAC_ADHPCT - Preventive Care),Healthcare workers given influenza vaccination (IMM_3_OP_27_FAC_ADHPCT - Preventive Care) (Sample),Hospital acquired potentially preventable venous thromboembolism (VTE_6 - Blood Clot Prevention and Treatment),Hospital acquired potentially preventable venous thromboembolism (VTE_6 - Blood Clot Prevention and Treatment) (Sample),Immunization for influenza (IMM_2 - Preventive Care),Immunization for influenza (IMM_2 - Preventive Care) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to ECG (OP_5 - Heart Attack or Chest Pain),Median Time to ECG (OP_5 - Heart Attack or Chest Pain) (Sample),Median Time to Fibrinolysis (OP_1 - Heart Attack or Chest Pain),Median Time to Fibrinolysis (OP_1 - Heart Attack or Chest Pain) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Median time patients spent in the ED before they were admitted as an inpatient (ED_1b - Emergency Department),Median time patients spent in the ED before they were admitted as an inpatient (ED_1b - Emergency Department) (Sample),Median time to pain med (OP_21 - Emergency Department),Median time to pain med (OP_21 - Emergency Department) (Sample),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care) (Sample),Thrombolytic Therapy (STK_4 - Stroke Care),Thrombolytic Therapy (STK_4 - Stroke Care) (Sample),Warfarin therapy discharge instructions (VTE_5 - Blood Clot Prevention and Treatment),Warfarin therapy discharge instructions (VTE_5 - Blood Clot Prevention and Treatment) (Sample)
14,EAST ALABAMA MEDICAL CENTER (010029),2016,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,88.0,32.0,43.0,975.0,80.0,128.0,99.0,124.0,,,,,97.0,5178.0,5.0,21.0,97.0,871.0,,,3.0,64091.0,9.0,32.0,,,,,60.0,905.0,140.0,950.0,233.0,910.0,72.0,247.0,0.0,89.0,,,78.0,46.0
15,WEDOWEE HOSPITAL (010032),2016,Acute Care,Government - Hospital District or Authority,30.0,,,AL,98.0,53.0,25.0,459.0,95.0,21.0,44.0,45.0,,,,,81.0,195.0,,,95.0,120.0,,,1.0,7872.0,6.0,55.0,,,,,76.0,280.0,125.0,436.0,246.0,292.0,28.0,40.0,,,,,,
16,UNIVERSITY OF ALABAMA HOSPITAL (010033),2016,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,,,37.0,354.0,82.0,98.0,91.0,76.0,,,,,72.0,12139.0,1.0,221.0,98.0,515.0,,,4.0,104052.0,,,,,,,122.0,469.0,208.0,337.0,451.0,481.0,92.0,174.0,3.0,65.0,100.0,16.0,91.0,243.0
17,COMMUNITY HOSPITAL INC (010034),2016,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,100.0,25.0,30.0,408.0,99.0,85.0,88.0,193.0,,,,,81.0,327.0,,,88.0,272.0,,,4.0,10706.0,24.0,26.0,,,,,65.0,501.0,116.0,443.0,258.0,585.0,95.0,53.0,,,,,,
18,CULLMAN REGIONAL MEDICAL CENTER (010035),2016,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,100.0,141.0,22.0,505.0,88.0,72.0,94.0,72.0,,,73.0,26.0,91.0,1579.0,,,99.0,553.0,,,0.0,45196.0,7.0,151.0,,,,,96.0,810.0,129.0,477.0,235.0,811.0,50.0,241.0,5.0,73.0,,,100.0,17.0
19,ANDALUSIA REGIONAL HOSPITAL (010036),2016,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,100.0,87.0,4.0,454.0,100.0,104.0,100.0,63.0,100.0,18.0,,,81.0,413.0,,,99.0,354.0,,,1.0,21388.0,0.0,93.0,12.0,18.0,,,45.0,478.0,92.0,416.0,172.0,478.0,19.0,103.0,0.0,43.0,,,100.0,14.0
20,STRINGFELLOW MEMORIAL HOSPITAL (010038),2016,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,,,15.0,431.0,100.0,63.0,100.0,63.0,,,,,65.0,487.0,,,99.0,326.0,,,1.0,26668.0,,,,,,,66.0,538.0,88.0,424.0,186.0,538.0,58.0,103.0,,,,,84.0,19.0
21,HUNTSVILLE HOSPITAL (010039),2016,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,,,58.0,363.0,96.0,24.0,100.0,34.0,,,,,88.0,10899.0,6.0,47.0,98.0,608.0,,,1.0,164691.0,,,,,,,110.0,680.0,180.0,367.0,331.0,681.0,64.0,402.0,1.0,111.0,91.0,22.0,96.0,128.0
22,GADSDEN REGIONAL MEDICAL CENTER (010040),2016,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,,,41.0,389.0,15.0,48.0,30.0,115.0,,,45.0,11.0,63.0,1656.0,4.0,26.0,98.0,588.0,,,6.0,41220.0,,,,,,,116.0,631.0,229.0,384.0,384.0,653.0,104.0,132.0,5.0,41.0,83.0,12.0,97.0,37.0
23,MARION REGIONAL MEDICAL CENTER (010044),2016,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,97.0,67.0,26.0,459.0,,,,,,,,,81.0,181.0,,,95.0,192.0,,,2.0,7330.0,6.0,75.0,,,,,35.0,207.0,107.0,408.0,204.0,219.0,51.0,31.0,,,,,,
24,FAYETTE MEDICAL CENTER (010045),2016,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,94.0,135.0,9.0,394.0,100.0,45.0,100.0,48.0,,,,,74.0,552.0,,,100.0,281.0,,,2.0,14389.0,4.0,148.0,,,,,84.0,513.0,115.0,335.0,234.0,513.0,36.0,83.0,,,,,,
25,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2016,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,,,23.0,635.0,100.0,367.0,100.0,255.0,,,,,84.0,1515.0,,,79.0,575.0,,,4.0,22340.0,,,,,,,94.0,768.0,159.0,591.0,266.0,769.0,77.0,32.0,,,,,92.0,26.0
26,GEORGIANA MEDICAL CENTER (010047),2016,Acute Care,Proprietary,22.0,,,AL,,,40.0,420.0,,,,,,,,,34.0,88.0,,,94.0,159.0,,,1.0,739.0,,,,,,,30.0,367.0,100.0,412.0,129.0,375.0,,,,,,,,
27,MEDICAL CENTER ENTERPRISE (010049),2016,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,100.0,105.0,25.0,415.0,100.0,210.0,100.0,150.0,92.0,12.0,88.0,16.0,59.0,674.0,,,99.0,343.0,,,2.0,30112.0,7.0,113.0,26.0,12.0,,,64.0,330.0,148.0,398.0,242.0,331.0,68.0,155.0,0.0,32.0,,,,
28,GREENE COUNTY HOSPITAL (010051),2016,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL,,,50.0,363.0,,,,,,,,,74.0,240.0,,,73.0,109.0,,,1.0,4185.0,,,,,,,20.0,166.0,165.0,336.0,183.0,220.0,,,,,,,,
29,LAKE MARTIN COMMUNITY HOSPITAL (010052),2016,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,70.0,20.0,30.0,368.0,43.0,51.0,76.0,37.0,,,,,57.0,152.0,,,68.0,273.0,,,1.0,5901.0,23.0,21.0,,,,,77.0,583.0,110.0,332.0,223.0,594.0,63.0,12.0,,,,,,
30,FLOWERS HOSPITAL (010055),2016,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,,,28.0,392.0,100.0,96.0,100.0,96.0,,,,,76.0,1819.0,0.0,16.0,100.0,577.0,,,1.0,44319.0,,,,,,,71.0,527.0,144.0,417.0,221.0,537.0,74.0,213.0,0.0,42.0,,,100.0,44.0
31,ST VINCENT'S BIRMINGHAM (010056),2016,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,,,40.0,383.0,83.0,87.0,30.0,91.0,,,36.0,11.0,49.0,3552.0,2.0,51.0,83.0,515.0,,,2.0,51641.0,,,,,,,120.0,448.0,188.0,364.0,324.0,448.0,81.0,158.0,2.0,59.0,,,62.0,37.0
32,BIBB MEDICAL CENTER (010058),2016,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,,,24.0,426.0,42.0,62.0,33.0,30.0,,,,,54.0,341.0,,,96.0,189.0,,,2.0,19466.0,,,,,,,71.0,287.0,118.0,333.0,218.0,287.0,72.0,57.0,,,,,,
33,LAWRENCE MEDICAL CENTER (010059),2016,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,95.0,61.0,19.0,478.0,,,100.0,21.0,,,,,96.0,204.0,,,97.0,266.0,,,1.0,11472.0,6.0,63.0,,,,,43.0,386.0,64.0,451.0,188.0,389.0,57.0,46.0,,,,,,
34,HIGHLANDS MEDICAL CENTER (010061),2016,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,86.0,136.0,37.0,773.0,34.0,85.0,65.0,162.0,,,53.0,17.0,71.0,609.0,,,99.0,447.0,,,2.0,20261.0,15.0,145.0,,,102.0,31.0,82.0,573.0,174.0,708.0,282.0,575.0,81.0,84.0,3.0,35.0,,,100.0,14.0
35,WIREGRASS MEDICAL CENTER (010062),2016,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,82.0,11.0,26.0,408.0,5.0,226.0,100.0,67.0,,,,,22.0,211.0,,,54.0,292.0,,,4.0,8629.0,,,,,,,56.0,366.0,91.0,407.0,174.0,385.0,50.0,32.0,,,,,,
36,RUSSELL HOSPITAL (010065),2016,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,95.0,19.0,18.0,821.0,99.0,96.0,99.0,96.0,,,,,74.0,901.0,,,97.0,364.0,,,1.0,23517.0,0.0,19.0,,,,,83.0,492.0,125.0,798.0,263.0,492.0,60.0,91.0,2.0,89.0,,,,
37,MEDICAL CENTER BARBOUR (010069),2016,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,100.0,100.0,9.0,591.0,95.0,173.0,7.0,99.0,,,17.0,12.0,46.0,272.0,,,89.0,297.0,,,3.0,16471.0,11.0,102.0,,,,,47.0,575.0,140.0,446.0,177.0,575.0,44.0,67.0,,,,,,
38,CLAY COUNTY HOSPITAL (010073),2016,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,75.0,57.0,30.0,494.0,58.0,48.0,13.0,15.0,,,,,74.0,260.0,,,97.0,279.0,,,1.0,4865.0,8.0,62.0,,,,,68.0,179.0,104.0,449.0,214.0,179.0,65.0,34.0,,,,,,
39,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER (010078),2016,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,94.0,17.0,46.0,440.0,82.0,93.0,87.0,105.0,,,53.0,19.0,89.0,2042.0,0.0,29.0,97.0,592.0,,,2.0,43194.0,9.0,17.0,,,,,59.0,739.0,188.0,408.0,267.0,742.0,77.0,152.0,0.0,42.0,85.0,13.0,79.0,34.0
40,ATHENS LIMESTONE HOSPITAL (010079),2016,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,99.0,133.0,28.0,482.0,51.0,63.0,92.0,63.0,,,,,92.0,1113.0,,,99.0,395.0,,,2.0,36196.0,6.0,149.0,,,,,63.0,532.0,135.0,458.0,226.0,532.0,74.0,130.0,2.0,65.0,,,92.0,13.0
41,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2016,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,,,24.0,424.0,100.0,117.0,100.0,130.0,,,100.0,12.0,93.0,1267.0,0.0,11.0,100.0,579.0,,,4.0,34169.0,,,,,,,74.0,913.0,143.0,371.0,247.0,913.0,50.0,229.0,0.0,70.0,,,100.0,16.0
42,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS (010085),2016,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,93.0,201.0,34.0,2189.0,,,50.0,20.0,,,,,87.0,1364.0,0.0,15.0,84.0,534.0,,,2.0,65542.0,6.0,202.0,,,36.0,18.0,97.0,622.0,135.0,2115.0,280.0,638.0,77.0,218.0,4.0,89.0,0.0,12.0,79.0,28.0
43,NORTHWEST MEDICAL CENTER (010086),2016,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,97.0,78.0,11.0,405.0,98.0,51.0,100.0,36.0,,,,,76.0,288.0,,,99.0,271.0,,,1.0,12940.0,5.0,83.0,,,,,48.0,463.0,101.0,372.0,206.0,463.0,40.0,74.0,,,,,,
44,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER (010087),2016,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,,,70.0,382.0,99.0,69.0,99.0,82.0,,,,,94.0,2205.0,0.0,12.0,97.0,580.0,,,14.0,22613.0,,,,,,,318.0,906.0,293.0,353.0,514.0,907.0,47.0,42.0,,,100.0,13.0,96.0,27.0
45,WALKER BAPTIST MEDICAL CENTER (010089),2016,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,99.0,147.0,18.0,408.0,96.0,72.0,96.0,72.0,,,85.0,13.0,80.0,757.0,,,100.0,518.0,,,2.0,36671.0,1.0,152.0,,,,,75.0,671.0,121.0,380.0,237.0,672.0,48.0,121.0,0.0,90.0,,,,
46,PROVIDENCE HOSPITAL (010090),2016,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,,,27.0,412.0,95.0,96.0,100.0,95.0,,,,,94.0,3099.0,0.0,29.0,99.0,545.0,,,1.0,55195.0,,,,,,,104.0,585.0,169.0,386.0,276.0,585.0,80.0,139.0,0.0,43.0,73.0,15.0,100.0,77.0
47,GROVE HILL MEMORIAL HOSPITAL (010091),2016,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,84.0,79.0,34.0,408.0,38.0,172.0,35.0,164.0,,,65.0,17.0,55.0,210.0,,,93.0,225.0,,,2.0,9462.0,11.0,90.0,,,,,65.0,225.0,138.0,382.0,210.0,240.0,52.0,58.0,15.0,34.0,,,,
48,D C H REGIONAL MEDICAL CENTER (010092),2016,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,,,43.0,404.0,91.0,70.0,100.0,72.0,,,,,67.0,5667.0,0.0,51.0,97.0,549.0,,,3.0,137664.0,,,,,,,113.0,677.0,158.0,392.0,332.0,679.0,25.0,322.0,0.0,81.0,56.0,16.0,98.0,180.0
49,HALE COUNTY HOSPITAL (010095),2016,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,66.0,53.0,32.0,369.0,,,,,,,,,79.0,100.0,,,66.0,161.0,,,2.0,8359.0,26.0,48.0,,,,,40.0,217.0,121.0,361.0,222.0,319.0,86.0,18.0,,,,,,
50,ELMORE COMMUNITY HOSPITAL (010097),2016,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,96.0,25.0,19.0,373.0,,,,,,,,,51.0,242.0,,,88.0,276.0,,,2.0,10329.0,13.0,26.0,,,,,55.0,345.0,83.0,362.0,186.0,346.0,41.0,35.0,,,,,,
51,D W MCMILLAN MEMORIAL HOSPITAL (010099),2016,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,93.0,56.0,30.0,464.0,98.0,49.0,86.0,101.0,,,73.0,11.0,94.0,387.0,,,89.0,314.0,,,2.0,12962.0,7.0,56.0,,,,,78.0,411.0,123.0,564.0,205.0,426.0,64.0,49.0,4.0,53.0,,,,
52,THOMAS HOSPITAL (010100),2016,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,,,36.0,406.0,31.0,72.0,89.0,72.0,,,69.0,13.0,66.0,1565.0,0.0,20.0,100.0,536.0,,,3.0,33101.0,,,,,,,84.0,620.0,201.0,391.0,309.0,630.0,54.0,175.0,1.0,149.0,,,89.0,18.0
53,CITIZENS BAPTIST MEDICAL CENTER (010101),2016,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,100.0,85.0,24.0,418.0,77.0,13.0,100.0,92.0,,,,,46.0,406.0,,,99.0,267.0,,,2.0,36680.0,5.0,90.0,,,,,61.0,451.0,113.0,391.0,216.0,451.0,57.0,83.0,0.0,21.0,,,,
54,J PAUL JONES HOSPITAL (010102),2016,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL,,,35.0,286.0,,,,,,,,,19.0,54.0,,,3.0,31.0,,,2.0,5705.0,,,,,,,,,100.0,333.0,172.0,88.0,49.0,21.0,,,,,,
55,PRINCETON BAPTIST MEDICAL CENTER (010103),2016,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,,,35.0,413.0,99.0,86.0,100.0,82.0,,,,,73.0,2240.0,0.0,49.0,99.0,626.0,,,2.0,45490.0,,,,,,,120.0,754.0,185.0,394.0,310.0,756.0,84.0,76.0,0.0,46.0,100.0,34.0,95.0,38.0
56,GRANDVIEW MEDICAL CENTER (010104),2016,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,,,18.0,425.0,100.0,120.0,100.0,99.0,,,,,79.0,1122.0,0.0,30.0,100.0,614.0,,,3.0,26273.0,,,,,,,61.0,529.0,142.0,413.0,212.0,530.0,50.0,87.0,0.0,23.0,,,100.0,39.0
