,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3 - Preventive Care),Healthcare workers given influenza vaccination (IMM_3 - Preventive Care) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care) (Sample),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care) (Sample),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care) (Sample),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care) (Sample),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care) (Sample)
10,DALE MEDICAL CENTER (010021),2021,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,13.0,23.0,89.0,45.0,,,,,,,71.0,387.0,,,2.0,17819.0,,,,,112.0,241.0,,,,,,,43.0,23.0,,
11,CHEROKEE MEDICAL CENTER (010022),2021,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,,,,,,,,,,,69.0,214.0,,,,,,,,,118.0,185.0,,,,,,,,,,
12,BAPTIST MEDICAL CENTER SOUTH (010023),2021,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,11.0,37.0,99.0,108.0,,,,,,,93.0,4222.0,,,,,,,,,185.0,193.0,0.0,45.0,,,,,41.0,37.0,,
13,JACKSON HOSPITAL & CLINIC INC (010024),2021,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,73.0,132.0,100.0,28.0,,,,,,,53.0,2821.0,,,1.0,63262.0,,,178.0,44.0,126.0,989.0,1.0,86.0,88.0,113.0,88.0,33.0,89.0,132.0,94.0,79.0
14,THE EAST ALABAMA HEALTHCARE AUTHORITY (010029),2021,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,65.0,199.0,68.0,161.0,20.0,41.0,,,,,89.0,4588.0,,,,,,,216.0,11.0,200.0,297.0,0.0,88.0,89.0,171.0,57.0,53.0,90.0,200.0,94.0,135.0
15,UNIVERSITY OF ALABAMA HOSPITAL (010033),2021,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,57.0,109.0,90.0,105.0,100.0,43.0,,,,,99.0,22555.0,,,3.0,130945.0,,,251.0,47.0,185.0,833.0,5.0,20.0,84.0,69.0,64.0,11.0,76.0,109.0,90.0,63.0
16,COMMUNITY HOSPITAL INC (010034),2021,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,,,100.0,40.0,,,,,,,67.0,228.0,,,2.0,9253.0,,,126.0,13.0,99.0,225.0,,,,,,,,,,
17,CULLMAN REGIONAL MEDICAL CENTER (010035),2021,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,98.0,44.0,,,,,,,,,89.0,1695.0,,,,,,,,,126.0,186.0,4.0,28.0,100.0,43.0,,,100.0,44.0,97.0,30.0
18,ANDALUSIA HEALTH (010036),2021,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,,,,,,,,,,,78.0,557.0,,,,,,,,,125.0,233.0,0.0,24.0,,,,,,,,
19,STRINGFELLOW MEMORIAL HOSPITAL (010038),2021,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,75.0,16.0,91.0,79.0,,,,,,,,,,,3.0,22029.0,,,,,155.0,181.0,,,100.0,13.0,,,88.0,16.0,92.0,12.0
20,HUNTSVILLE HOSPITAL (010039),2021,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,54.0,116.0,88.0,74.0,,,,,,,86.0,12413.0,,,2.0,160817.0,,,,,174.0,199.0,5.0,63.0,88.0,73.0,93.0,15.0,74.0,116.0,76.0,55.0
21,GADSDEN REGIONAL MEDICAL CENTER (010040),2021,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,36.0,69.0,77.0,65.0,92.0,13.0,,,,,49.0,1935.0,,,2.0,41725.0,,,,,233.0,187.0,0.0,17.0,85.0,33.0,,,51.0,69.0,90.0,20.0
22,MARION REGIONAL MEDICAL CENTER (010044),2021,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,,,,,,,,,,,89.0,282.0,,,,,,,,,98.0,204.0,,,,,,,,,,
23,FAYETTE MEDICAL CENTER (010045),2021,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,59.0,37.0,78.0,67.0,,,,,,,81.0,487.0,,,2.0,11837.0,,,,,110.0,197.0,,,79.0,28.0,,,84.0,37.0,87.0,23.0
24,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2021,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,85.0,20.0,90.0,21.0,,,,,,,66.0,1054.0,,,2.0,24771.0,,,,,120.0,179.0,,,100.0,17.0,,,90.0,20.0,,
25,MEDICAL CENTER ENTERPRISE (010049),2021,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,42.0,43.0,100.0,208.0,,,,,,,76.0,610.0,,,2.0,31727.0,,,,,142.0,190.0,0.0,25.0,73.0,26.0,,,65.0,43.0,91.0,23.0
26,GREENE COUNTY HOSPITAL (010051),2021,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL,,,,,,,,,,,30.0,135.0,,,,,,,,,,,,,,,,,,,,
27,LAKE MARTIN COMMUNITY HOSPITAL (010052),2021,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,,,89.0,38.0,,,,,,,39.0,90.0,,,0.0,5826.0,,,,,115.0,169.0,,,,,,,,,,
28,FLOWERS HOSPITAL (010055),2021,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,47.0,38.0,100.0,70.0,,,,,,,84.0,2384.0,,,2.0,49959.0,,,,,191.0,199.0,7.0,15.0,83.0,23.0,,,76.0,38.0,71.0,21.0
29,ST VINCENT'S BIRMINGHAM (010056),2021,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,52.0,109.0,,,,,,,,,76.0,3043.0,,,,,,,,,155.0,184.0,0.0,22.0,67.0,88.0,95.0,21.0,83.0,109.0,97.0,68.0
30,BIBB MEDICAL CENTER (010058),2021,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,,,,,,,,,,,86.0,217.0,,,,,,,,,119.0,163.0,0.0,12.0,,,,,,,,
31,LAWRENCE MEDICAL CENTER (010059),2021,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,,,,,,,,,,,94.0,225.0,,,1.0,8892.0,,,,,75.0,170.0,,,,,,,,,,
32,HIGHLANDS MEDICAL CENTER (010061),2021,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,53.0,30.0,99.0,77.0,,,,,,,84.0,750.0,,,1.0,14859.0,,,281.0,19.0,162.0,283.0,,,100.0,17.0,,,67.0,30.0,84.0,19.0
33,WIREGRASS MEDICAL CENTER (010062),2021,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,,,34.0,287.0,,,,,,,85.0,375.0,,,3.0,9795.0,,,,,120.0,185.0,,,,,,,,,,
34,RUSSELL MEDICAL CENTER (010065),2021,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,80.0,61.0,100.0,63.0,100.0,24.0,,,,,61.0,831.0,,,0.0,23025.0,,,,,139.0,282.0,0.0,15.0,92.0,53.0,,,90.0,62.0,94.0,33.0
35,MEDICAL CENTER BARBOUR (010069),2021,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,,,69.0,29.0,,,,,11.0,18.0,42.0,313.0,,,2.0,18598.0,,,,,122.0,194.0,,,,,,,,,,
36,CLAY COUNTY HOSPITAL (010073),2021,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,19.0,16.0,,,,,,,,,58.0,383.0,,,2.0,5080.0,,,,,102.0,149.0,,,,,,,56.0,16.0,,
37,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER (010078),2021,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,34.0,142.0,90.0,81.0,,,,,73.0,11.0,86.0,2260.0,,,2.0,43044.0,,,402.0,12.0,240.0,182.0,2.0,49.0,80.0,61.0,93.0,14.0,53.0,142.0,77.0,60.0
38,ATHENS LIMESTONE HOSPITAL (010079),2021,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,64.0,67.0,,,,,,,,,78.0,1193.0,,,,,,,,,171.0,175.0,0.0,28.0,86.0,50.0,,,79.0,67.0,92.0,39.0
39,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2021,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,56.0,72.0,100.0,66.0,,,,,,,71.0,1149.0,,,2.0,37325.0,,,,,180.0,193.0,10.0,20.0,74.0,58.0,75.0,12.0,83.0,72.0,96.0,49.0
40,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS (010085),2021,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,30.0,23.0,,,,,,,82.0,22.0,95.0,1744.0,,,,,46.0,26.0,,,204.0,181.0,0.0,18.0,73.0,11.0,,,57.0,23.0,,
41,NORTHWEST MEDICAL CENTER (010086),2021,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,,,,,,,,,,,84.0,315.0,,,,,,,,,139.0,245.0,,,,,,,,,,
42,USA HEALTH UNIVERSITY HOSPITAL (010087),2021,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,60.0,146.0,100.0,93.0,,,,,,,99.0,2192.0,,,6.0,31075.0,,,338.0,11.0,238.0,172.0,,,90.0,98.0,96.0,25.0,68.0,146.0,99.0,67.0
43,WALKER BAPTIST MEDICAL CENTER (010089),2021,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,73.0,22.0,,,,,,,,,98.0,949.0,,,,,,,,,155.0,183.0,2.0,57.0,94.0,17.0,,,86.0,22.0,86.0,14.0
44,PROVIDENCE HOSPITAL (010090),2021,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,88.0,163.0,,,,,,,,,85.0,3099.0,,,,,,,,,169.0,189.0,1.0,100.0,100.0,143.0,100.0,50.0,90.0,164.0,97.0,106.0
45,GROVE HILL MEMORIAL HOSPITAL (010091),2021,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,,,,,,,,,,,24.0,214.0,,,,,,,198.0,11.0,137.0,182.0,20.0,15.0,,,,,,,,
46,DCH REGIONAL MEDICAL CENTER (010092),2021,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,46.0,101.0,,,,,,,,,99.0,6760.0,,,,,,,,,214.0,196.0,0.0,31.0,83.0,59.0,,,67.0,101.0,75.0,36.0
47,HALE COUNTY HOSPITAL (010095),2021,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,,,,,,,,,,,54.0,176.0,,,,,,,,,102.0,172.0,,,,,,,,,,
48,ELMORE COMMUNITY HOSPITAL (010097),2021,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,,,,,,,,,,,21.0,277.0,,,0.0,10198.0,,,,,95.0,173.0,,,,,,,,,,
49,D W MCMILLAN MEMORIAL HOSPITAL (010099),2021,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,42.0,12.0,100.0,55.0,,,,,,,76.0,366.0,,,2.0,12717.0,,,,,136.0,198.0,22.0,18.0,,,,,58.0,12.0,,
50,THOMAS HOSPITAL (010100),2021,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,83.0,24.0,57.0,76.0,,,,,,,64.0,1948.0,,,1.0,49720.0,,,,,172.0,190.0,0.0,22.0,91.0,22.0,,,92.0,24.0,100.0,17.0
51,CITIZENS BAPTIST MEDICAL CENTER (010101),2021,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,65.0,40.0,100.0,14.0,,,,,,,98.0,254.0,,,0.0,21930.0,,,,,117.0,193.0,,,72.0,36.0,,,90.0,40.0,100.0,25.0
52,J PAUL JONES HOSPITAL (010102),2021,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL,,,,,,,,,,,10.0,48.0,,,1.0,6099.0,,,,,60.0,180.0,,,,,,,,,,
53,PRINCETON BAPTIST MEDICAL CENTER (010103),2021,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,49.0,47.0,,,,,,,,,96.0,1912.0,,,,,,,,,169.0,185.0,,,83.0,30.0,,,74.0,47.0,81.0,27.0
54,GRANDVIEW MEDICAL CENTER (010104),2021,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,46.0,71.0,100.0,63.0,,,,,,,83.0,3483.0,,,2.0,40929.0,,,231.0,12.0,206.0,181.0,0.0,27.0,77.0,48.0,,,70.0,71.0,94.0,35.0
55,PRATTVILLE BAPTIST HOSPITAL (010108),2021,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,48.0,23.0,100.0,108.0,,,,,,,93.0,718.0,,,,,,,,,180.0,195.0,,,81.0,16.0,,,71.0,24.0,,
56,BULLOCK COUNTY HOSPITAL (010110),2021,Acute Care,Proprietary,54.0,32.146182,-85.71638,AL,,,,,,,,,,,,,,,,,,,,,96.0,112.0,,,,,,,,,,
57,WHITFIELD REGIONAL HOSPITAL (010112),2021,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,,,,,,,,,,,90.0,316.0,,,,,,,,,103.0,172.0,,,,,,,,,,
58,MOBILE INFIRMARY MEDICAL CENTER (010113),2021,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,78.0,50.0,94.0,93.0,92.0,13.0,,,,,84.0,3936.0,,,3.0,49507.0,,,1082.0,14.0,203.0,182.0,0.0,25.0,93.0,42.0,100.0,14.0,86.0,50.0,97.0,38.0
59,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2021,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,44.0,84.0,,,,,,,,,89.0,1611.0,,,,,109.0,15.0,,,119.0,271.0,0.0,28.0,74.0,53.0,82.0,11.0,73.0,84.0,80.0,40.0
60,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2021,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,61.0,28.0,100.0,101.0,,,,,,,69.0,727.0,,,,,,,270.0,12.0,136.0,212.0,0.0,23.0,95.0,19.0,,,68.0,28.0,100.0,17.0
61,MONROE COUNTY HOSPITAL (010120),2021,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,82.0,17.0,,,,,,,,,72.0,316.0,,,,,,,237.0,25.0,120.0,305.0,0.0,20.0,100.0,14.0,,,88.0,17.0,,
62,LAKELAND COMMUNITY HOSPITAL (010125),2021,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,,,,,,,,,,,67.0,306.0,,,1.0,9529.0,,,,,62.0,184.0,,,,,,,,,,
63,TROY REGIONAL MEDICAL CENTER (010126),2021,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,65.0,20.0,,,,,,,,,89.0,495.0,,,,,,,,,110.0,175.0,,,94.0,18.0,,,95.0,20.0,94.0,17.0
64,JACKSON MEDICAL CENTER (010128),2021,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,,,,,,,,,,,39.0,206.0,,,,,,,,,130.0,152.0,,,,,,,,,,
65,NORTH BALDWIN INFIRMARY (010129),2021,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,67.0,24.0,28.0,32.0,,,,,,,93.0,477.0,,,1.0,16166.0,,,,,188.0,188.0,0.0,24.0,75.0,20.0,,,96.0,24.0,94.0,17.0
66,ST VINCENT'S ST CLAIR (010130),2021,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,64.0,25.0,83.0,71.0,,,,,,,76.0,287.0,,,3.0,12436.0,,,,,110.0,177.0,,,81.0,21.0,,,84.0,25.0,100.0,17.0
67,CRESTWOOD MEDICAL CENTER (010131),2021,Acute Care,Proprietary,163.0,,,AL,59.0,56.0,100.0,70.0,,,,,,,80.0,1616.0,,,1.0,46707.0,,,,,214.0,196.0,0.0,25.0,85.0,39.0,,,82.0,56.0,81.0,36.0
68,HILL HOSPITAL OF SUMTER COUNTY (010138),2021,Acute Care,Voluntary non-profit - Other,33.0,32.491825,-88.296081,AL,,,,,,,,,,,23.0,62.0,,,1.0,3547.0,,,,,134.0,124.0,,,,,,,,,,
69,BROOKWOOD BAPTIST MEDICAL CENTER (010139),2021,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,50.0,34.0,89.0,44.0,100.0,27.0,,,,,89.0,2521.0,,,1.0,51808.0,,,,,125.0,215.0,0.0,27.0,69.0,26.0,,,82.0,34.0,90.0,20.0
70,SPRINGHILL MEDICAL CENTER (010144),2021,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,29.0,90.0,95.0,37.0,,,,,7.0,15.0,96.0,2187.0,,,3.0,54983.0,,,,,124.0,335.0,0.0,75.0,75.0,36.0,100.0,11.0,50.0,90.0,75.0,36.0
71,EVERGREEN MEDICAL CENTER (010148),2021,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,,,,,,,,,,,9.0,143.0,,,2.0,7690.0,,,,,121.0,166.0,,,,,,,,,,
72,BAPTIST MEDICAL CENTER EAST (010149),2021,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,29.0,17.0,100.0,133.0,,,,,,,91.0,2048.0,,,,,,,,,199.0,199.0,0.0,202.0,,,,,65.0,17.0,,
73,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL (010150),2021,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,,,,,,,,,,,62.0,270.0,,,,,,,,,149.0,252.0,,,,,,,,,,
74,SHOALS HOSPITAL (010157),2021,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,,,90.0,41.0,,,,,,,87.0,385.0,,,2.0,10930.0,,,230.0,18.0,114.0,164.0,,,,,,,,,,
75,RUSSELLVILLE HOSPITAL (010158),2021,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,,,100.0,23.0,,,,,,,91.0,390.0,,,1.0,12001.0,,,,,104.0,189.0,,,,,,,,,,
76,COOSA VALLEY MEDICAL CENTER (010164),2021,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,24.0,17.0,99.0,74.0,,,,,,,89.0,730.0,,,1.0,25543.0,,,,,102.0,221.0,0.0,25.0,,,,,59.0,17.0,,
77,JACK HUGHSTON MEMORIAL HOSPITAL (010168),2021,Acute Care,Government - State,52.0,32.509045,-85.005696,AL,,,0.0,109.0,,,,,,,84.0,609.0,,,4.0,15351.0,,,,,114.0,212.0,,,,,,,,,,
78,ATMORE COMMUNITY HOSPITAL (010169),2021,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,23.0,13.0,69.0,45.0,,,,,,,76.0,356.0,,,2.0,9064.0,,,,,103.0,202.0,,,,,,,62.0,13.0,,
79,ST VINCENT'S CHILTON (010173),2021,Acute Care,Voluntary non-profit - Church,26.0,32.876585,-86.623511,AL,22.0,23.0,,,,,,,,,90.0,245.0,,,,,,,,,141.0,172.0,,,,,,,26.0,23.0,,
80,THOMASVILLE REGIONAL MEDICAL CENTER (010174),2021,Acute Care,Voluntary non-profit - Private,29.0,,,AL,,,,,,,,,,,,,,,,,,,,,147.0,161.0,,,,,,,,,,
81,THE EAST ALBAMA HEALTHCARE AUTHORITY (010175),2021,Acute Care,Government - Hospital District or Authority,30.0,,,AL,,,,,,,,,,,89.0,376.0,,,,,,,,,122.0,150.0,,,,,,,,,,
82,RED BAY HOSPITAL (011302),2021,Critical Access,Government - Hospital District or Authority,25.0,34.457425,-88.146934,AL,,,,,,,,,,,94.0,144.0,,,1.0,4094.0,,,,,117.0,143.0,,,,,,,,,,
