,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care) (Sample),Aspirin at Arrival (OP_4 - Heart Attack or Chest Pain),Aspirin at Arrival (OP_4 - Heart Attack or Chest Pain) (Sample),Door to diagnostic eval (OP_20 - Emergency Department),Door to diagnostic eval (OP_20 - Emergency Department) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care) (Sample),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3_OP_27_FAC_ADHPCT - Preventive Care),Healthcare workers given influenza vaccination (IMM_3_OP_27_FAC_ADHPCT - Preventive Care) (Sample),Hospital acquired potentially preventable venous thromboembolism (VTE_6 - Blood Clot Prevention and Treatment),Hospital acquired potentially preventable venous thromboembolism (VTE_6 - Blood Clot Prevention and Treatment) (Sample),Immunization for influenza (IMM_2 - Preventive Care),Immunization for influenza (IMM_2 - Preventive Care) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to ECG (OP_5 - Heart Attack or Chest Pain),Median Time to ECG (OP_5 - Heart Attack or Chest Pain) (Sample),Median Time to Fibrinolysis (OP_1 - Heart Attack or Chest Pain),Median Time to Fibrinolysis (OP_1 - Heart Attack or Chest Pain) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department) (Sample),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Median time patients spent in the ED before they were admitted as an inpatient (ED_1b - Emergency Department),Median time patients spent in the ED before they were admitted as an inpatient (ED_1b - Emergency Department) (Sample),Median time to pain med (OP_21 - Emergency Department),Median time to pain med (OP_21 - Emergency Department) (Sample),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care) (Sample)
10,ST VINCENT'S EAST (010011),2018,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,24.0,83.0,,,53.0,377.0,89.0,27.0,100.0,54.0,,,,,0.0,11.0,73.0,2226.0,4.0,26.0,78.0,540.0,,,3.0,59223.0,,,,,,,234.0,16.0,64.0,600.0,146.0,360.0,298.0,606.0,92.0,262.0,4.0,24.0
11,ST VINCENT'S EAST (010011),2018,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,21.0,117.0,,,56.0,362.0,89.0,27.0,100.0,54.0,,,,,0.0,12.0,89.0,1993.0,9.0,23.0,78.0,540.0,,,3.0,59223.0,,,,,,,221.0,15.0,70.0,579.0,153.0,363.0,316.0,585.0,87.0,243.0,11.0,27.0
12,DEKALB REGIONAL MEDICAL CENTER (010012),2018,Acute Care,Proprietary,115.0,,,AL,75.0,75.0,100.0,56.0,26.0,427.0,100.0,128.0,100.0,72.0,,,87.0,15.0,,,85.0,803.0,,,99.0,331.0,,,3.0,25021.0,1.0,59.0,23.0,15.0,,,184.0,12.0,62.0,442.0,136.0,404.0,212.0,442.0,54.0,201.0,9.0,45.0
13,DEKALB REGIONAL MEDICAL CENTER (010012),2018,Acute Care,Proprietary,115.0,,,AL,74.0,101.0,100.0,55.0,22.0,426.0,100.0,128.0,100.0,72.0,,,81.0,16.0,,,89.0,714.0,,,99.0,331.0,,,3.0,25021.0,2.0,60.0,22.0,16.0,,,184.0,14.0,65.0,446.0,126.0,400.0,215.0,446.0,50.0,197.0,11.0,46.0
14,SHELBY BAPTIST MEDICAL CENTER (010016),2018,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,51.0,120.0,,,13.0,409.0,85.0,26.0,100.0,31.0,,,,,,,96.0,1805.0,0.0,14.0,100.0,570.0,,,1.0,43745.0,5.0,11.0,,,,,,,74.0,723.0,187.0,396.0,264.0,724.0,59.0,221.0,0.0,116.0
15,SHELBY BAPTIST MEDICAL CENTER (010016),2018,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,51.0,172.0,91.0,11.0,15.0,409.0,85.0,26.0,100.0,31.0,,,,,,,94.0,1767.0,0.0,15.0,100.0,570.0,,,1.0,43745.0,6.0,12.0,,,,,,,75.0,737.0,190.0,394.0,259.0,739.0,61.0,232.0,0.0,109.0
16,CALLAHAN EYE HOSPITAL (010018),2018,Acute Care,Voluntary non-profit - Private,11.0,33.503137,-86.802401,AL,,,,,40.0,384.0,,,,,,,,,,,65.0,571.0,,,19.0,21.0,,,1.0,6203.0,,,,,,,,,,,114.0,384.0,,,,,,
17,CALLAHAN EYE HOSPITAL (010018),2018,Acute Care,Voluntary non-profit - Private,11.0,33.503137,-86.802401,AL,,,,,40.0,384.0,,,,,,,,,,,96.0,479.0,,,19.0,21.0,,,1.0,6203.0,,,,,,,,,,,114.0,384.0,154.0,12.0,,,,
18,HELEN KELLER MEMORIAL HOSPITAL (010019),2018,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,71.0,172.0,98.0,114.0,29.0,448.0,91.0,96.0,100.0,117.0,,,,,69.0,13.0,87.0,1520.0,,,100.0,501.0,,,1.0,42532.0,4.0,120.0,,,,,,,58.0,684.0,122.0,433.0,188.0,684.0,66.0,182.0,5.0,106.0
19,HELEN KELLER MEMORIAL HOSPITAL (010019),2018,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,74.0,278.0,97.0,133.0,30.0,453.0,91.0,96.0,100.0,117.0,,,,,62.0,13.0,84.0,1428.0,,,100.0,501.0,,,1.0,42532.0,6.0,139.0,,,,,,,61.0,725.0,122.0,438.0,191.0,725.0,64.0,174.0,4.0,103.0
20,DALE MEDICAL CENTER (010021),2018,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,43.0,47.0,94.0,36.0,25.0,720.0,42.0,33.0,95.0,22.0,,,,,33.0,12.0,98.0,509.0,,,96.0,335.0,,,2.0,17664.0,7.0,38.0,,,,,135.0,19.0,63.0,505.0,100.0,595.0,205.0,506.0,64.0,84.0,,
21,DALE MEDICAL CENTER (010021),2018,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,52.0,61.0,95.0,39.0,27.0,741.0,42.0,33.0,95.0,22.0,,,,,50.0,18.0,95.0,504.0,,,96.0,335.0,,,2.0,17664.0,6.0,41.0,,,,,96.0,21.0,65.0,507.0,100.0,605.0,210.0,508.0,64.0,87.0,,
22,CHEROKEE MEDICAL CENTER (010022),2018,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,,,,,14.0,432.0,,,100.0,73.0,,,,,,,72.0,168.0,,,99.0,290.0,,,1.0,7837.0,,,,,,,,,78.0,274.0,98.0,387.0,232.0,274.0,54.0,52.0,,
23,FLOYD CHEROKEE MEDICAL CENTER (010022),2018,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,,,,,14.0,432.0,,,100.0,73.0,,,,,,,86.0,183.0,,,99.0,290.0,,,1.0,7837.0,,,,,,,149.0,11.0,73.0,259.0,96.0,386.0,232.0,259.0,54.0,52.0,,
24,BAPTIST MEDICAL CENTER SOUTH (010023),2018,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,30.0,70.0,,,26.0,589.0,,,88.0,17.0,,,,,80.0,15.0,74.0,3745.0,0.0,19.0,91.0,547.0,,,2.0,15173.0,,,,,,,343.0,25.0,250.0,754.0,173.0,543.0,439.0,769.0,50.0,172.0,2.0,128.0
25,BAPTIST MEDICAL CENTER SOUTH (010023),2018,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,28.0,95.0,,,20.0,444.0,,,88.0,17.0,,,,,76.0,17.0,78.0,4894.0,4.0,23.0,91.0,547.0,,,2.0,15173.0,,,,,,,253.0,17.0,256.0,759.0,169.0,410.0,443.0,767.0,47.0,154.0,2.0,109.0
26,JACKSON HOSPITAL & CLINIC INC (010024),2018,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,47.0,178.0,,,35.0,1682.0,100.0,131.0,100.0,59.0,,,,,,,45.0,2337.0,6.0,16.0,100.0,831.0,,,3.0,51515.0,,,,,,,204.0,73.0,240.0,1006.0,126.0,1614.0,394.0,1016.0,50.0,59.0,0.0,173.0
27,JACKSON HOSPITAL & CLINIC INC (010024),2018,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,46.0,233.0,,,35.0,1677.0,100.0,131.0,100.0,59.0,,,,,,,52.0,2449.0,5.0,20.0,100.0,831.0,,,3.0,51515.0,,,,,,,216.0,79.0,208.0,1006.0,125.0,1585.0,373.0,1016.0,44.0,46.0,0.0,181.0
28,EAST ALABAMA MEDICAL CENTER (010029),2018,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,61.0,388.0,94.0,16.0,39.0,997.0,100.0,150.0,99.0,146.0,50.0,22.0,,,50.0,18.0,96.0,4794.0,14.0,21.0,95.0,896.0,,,5.0,64944.0,6.0,20.0,,,,,195.0,27.0,55.0,1070.0,145.0,957.0,234.0,1080.0,75.0,330.0,0.0,50.0
29,EAST ALABAMA MEDICAL CENTER (010029),2018,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,61.0,529.0,91.0,11.0,37.0,999.0,100.0,150.0,99.0,146.0,50.0,22.0,,,50.0,18.0,95.0,5064.0,12.0,25.0,95.0,896.0,,,5.0,64944.0,7.0,11.0,,,,,195.0,25.0,54.0,1028.0,151.0,955.0,234.0,1038.0,79.0,329.0,0.0,43.0
30,TANNER MEDICAL CENTER-EAST ALABAMA (010032),2018,Acute Care,Government - Hospital District or Authority,30.0,,,AL,,,92.0,60.0,24.0,1553.0,22.0,40.0,83.0,29.0,,,,,,,80.0,163.0,,,88.0,84.0,,,1.0,8077.0,4.0,64.0,,,,,120.0,53.0,56.0,244.0,106.0,2058.0,236.0,254.0,16.0,77.0,,
31,TANNER MEDICAL CENTER-EAST ALABAMA (010032),2018,Acute Care,Government - Hospital District or Authority,30.0,,,AL,,,93.0,71.0,24.0,1541.0,22.0,40.0,83.0,29.0,,,,,,,98.0,636.0,,,88.0,84.0,,,1.0,8077.0,5.0,75.0,,,,,120.0,51.0,50.0,240.0,107.0,2047.0,236.0,250.0,18.0,56.0,,
32,UNIVERSITY OF ALABAMA HOSPITAL (010033),2018,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,44.0,179.0,,,39.0,399.0,91.0,97.0,95.0,96.0,96.0,52.0,,,,,57.0,12123.0,3.0,210.0,97.0,520.0,,,5.0,108690.0,,,,,,,403.0,31.0,134.0,473.0,217.0,360.0,428.0,482.0,60.0,179.0,2.0,53.0
33,UNIVERSITY OF ALABAMA HOSPITAL (010033),2018,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,42.0,235.0,,,32.0,431.0,91.0,97.0,95.0,96.0,96.0,52.0,,,,,96.0,10166.0,4.0,212.0,97.0,520.0,,,5.0,108690.0,,,,,,,435.0,33.0,137.0,478.0,212.0,387.0,434.0,487.0,58.0,199.0,2.0,59.0
34,COMMUNITY HOSPITAL INC (010034),2018,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,25.0,32.0,94.0,36.0,28.0,490.0,99.0,158.0,94.0,148.0,,,,,,,82.0,295.0,,,91.0,293.0,,,3.0,10058.0,21.0,36.0,,,,,131.0,18.0,68.0,468.0,112.0,471.0,264.0,512.0,58.0,23.0,,
35,COMMUNITY HOSPITAL INC (010034),2018,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,32.0,41.0,95.0,39.0,28.0,483.0,99.0,158.0,94.0,148.0,,,,,,,71.0,364.0,,,91.0,293.0,,,3.0,10058.0,22.0,39.0,,,,,110.0,18.0,70.0,443.0,108.0,471.0,266.0,505.0,87.0,21.0,,
36,CULLMAN REGIONAL MEDICAL CENTER (010035),2018,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,92.0,61.0,98.0,126.0,31.0,408.0,89.0,72.0,100.0,77.0,,,92.0,12.0,91.0,22.0,91.0,1588.0,0.0,14.0,99.0,555.0,,,2.0,44793.0,8.0,130.0,23.0,12.0,,,266.0,19.0,77.0,909.0,141.0,373.0,228.0,909.0,62.0,234.0,3.0,63.0
37,CULLMAN REGIONAL MEDICAL CENTER (010035),2018,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,91.0,85.0,95.0,120.0,33.0,393.0,89.0,72.0,100.0,77.0,,,,,91.0,23.0,93.0,1731.0,0.0,13.0,99.0,555.0,,,2.0,44793.0,6.0,123.0,,,,,272.0,14.0,75.0,902.0,141.0,368.0,226.0,902.0,59.0,215.0,3.0,68.0
38,ANDALUSIA HEALTH (010036),2018,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,57.0,44.0,96.0,132.0,3.0,454.0,96.0,140.0,100.0,102.0,,,54.0,13.0,,,54.0,427.0,,,99.0,429.0,,,1.0,21899.0,1.0,151.0,27.0,13.0,,,129.0,17.0,55.0,635.0,84.0,416.0,183.0,635.0,22.0,110.0,0.0,50.0
39,ANDALUSIA HEALTH (010036),2018,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,56.0,54.0,96.0,139.0,3.0,457.0,96.0,140.0,100.0,102.0,,,50.0,16.0,,,77.0,372.0,,,99.0,429.0,,,1.0,21899.0,0.0,155.0,29.0,16.0,,,126.0,14.0,57.0,622.0,84.0,421.0,184.0,622.0,20.0,106.0,0.0,48.0
40,STRINGFELLOW MEMORIAL HOSPITAL (010038),2018,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,44.0,71.0,92.0,12.0,26.0,430.0,100.0,63.0,100.0,69.0,,,,,,,51.0,538.0,,,99.0,322.0,,,1.0,28256.0,5.0,15.0,,,,,,,78.0,521.0,106.0,420.0,230.0,521.0,80.0,127.0,,
41,STRINGFELLOW MEMORIAL HOSPITAL (010038),2018,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,49.0,103.0,93.0,15.0,29.0,429.0,100.0,63.0,100.0,69.0,,,,,,,77.0,473.0,,,99.0,322.0,,,1.0,28256.0,6.0,18.0,,,,,,,77.0,523.0,105.0,419.0,241.0,523.0,80.0,117.0,,
42,HUNTSVILLE HOSPITAL (010039),2018,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,49.0,138.0,,,32.0,446.0,88.0,25.0,100.0,26.0,,,,,,,91.0,10984.0,6.0,78.0,97.0,628.0,,,1.0,169870.0,,,,,,,264.0,14.0,98.0,780.0,157.0,411.0,329.0,783.0,50.0,495.0,5.0,136.0
43,HUNTSVILLE HOSPITAL (010039),2018,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,48.0,193.0,,,34.0,415.0,88.0,25.0,100.0,26.0,,,,,0.0,12.0,79.0,11388.0,8.0,76.0,97.0,628.0,,,1.0,169870.0,,,,,,,,,91.0,784.0,156.0,410.0,339.0,791.0,48.0,521.0,6.0,129.0
44,GADSDEN REGIONAL MEDICAL CENTER (010040),2018,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,18.0,526.0,100.0,13.0,40.0,397.0,58.0,90.0,22.0,125.0,100.0,23.0,,,61.0,18.0,68.0,1672.0,6.0,17.0,94.0,591.0,,,3.0,40491.0,3.0,17.0,,,,,198.0,12.0,88.0,622.0,193.0,382.0,326.0,626.0,81.0,195.0,2.0,41.0
45,GADSDEN REGIONAL MEDICAL CENTER (010040),2018,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,20.0,695.0,100.0,12.0,39.0,406.0,58.0,90.0,22.0,125.0,100.0,23.0,,,36.0,11.0,46.0,1770.0,6.0,16.0,94.0,591.0,,,3.0,40491.0,2.0,16.0,,,,,178.0,12.0,80.0,630.0,192.0,389.0,318.0,632.0,80.0,200.0,0.0,44.0
46,MARION REGIONAL MEDICAL CENTER (010044),2018,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,76.0,25.0,100.0,64.0,19.0,465.0,,,75.0,28.0,,,,,,,95.0,210.0,,,96.0,282.0,,,2.0,6931.0,9.0,66.0,,,,,,,43.0,353.0,90.0,423.0,172.0,363.0,27.0,42.0,,
47,MARION REGIONAL MEDICAL CENTER (010044),2018,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,73.0,41.0,97.0,69.0,17.0,466.0,,,75.0,28.0,,,,,,,96.0,218.0,,,96.0,282.0,,,2.0,6931.0,9.0,70.0,,,,,,,68.0,342.0,82.0,426.0,166.0,348.0,23.0,40.0,,
48,FAYETTE MEDICAL CENTER (010045),2018,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,26.0,35.0,97.0,234.0,14.0,394.0,100.0,59.0,98.0,59.0,,,,,,,92.0,458.0,,,99.0,287.0,,,1.0,14114.0,10.0,245.0,,,,,,,113.0,532.0,141.0,352.0,291.0,532.0,44.0,60.0,,
49,FAYETTE MEDICAL CENTER (010045),2018,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,33.0,48.0,97.0,232.0,14.0,396.0,100.0,59.0,98.0,59.0,,,,,,,95.0,474.0,,,99.0,287.0,,,1.0,14114.0,11.0,239.0,,,,,,,114.0,525.0,145.0,357.0,284.0,525.0,50.0,53.0,,
50,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2018,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,93.0,43.0,100.0,26.0,15.0,810.0,32.0,176.0,67.0,464.0,,,,,,,82.0,1194.0,,,96.0,697.0,,,3.0,22895.0,2.0,36.0,,,,,184.0,16.0,45.0,1196.0,112.0,760.0,164.0,1196.0,70.0,65.0,,
51,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2018,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,90.0,59.0,100.0,19.0,16.0,577.0,32.0,176.0,67.0,464.0,,,,,,,82.0,1008.0,,,96.0,697.0,,,3.0,22895.0,3.0,27.0,,,,,188.0,12.0,46.0,1190.0,114.0,538.0,164.0,1190.0,66.0,64.0,,
52,GEORGIANA MEDICAL CENTER (010047),2018,Acute Care,Proprietary,22.0,,,AL,,,83.0,12.0,20.0,417.0,,,,,,,,,,,8.0,85.0,,,96.0,161.0,,,2.0,750.0,4.0,12.0,,,,,,,35.0,338.0,65.0,406.0,140.0,344.0,32.0,11.0,,
