,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Admit Decision Time to ED Departure Time for Admitted Patients - non psychiatric/mental health disorders (ED_2_Strata_1 - Electronic Clinical Quality Measure),Admit Decision Time to ED Departure Time for Admitted Patients - non psychiatric/mental health disorders (ED_2_Strata_1 - Electronic Clinical Quality Measure) (Sample),Admit Decision Time to ED Departure Time for Admitted Patients - psychiatric/mental health disorders (ED_2_Strata_2 - Electronic Clinical Quality Measure),Admit Decision Time to ED Departure Time for Admitted Patients - psychiatric/mental health disorders (ED_2_Strata_2 - Electronic Clinical Quality Measure) (Sample),Anticoagulation Therapy for Atrial Fibrillation/Flutter (STK_3 - Electronic Clinical Quality Measure),Anticoagulation Therapy for Atrial Fibrillation/Flutter (STK_3 - Electronic Clinical Quality Measure) (Sample),Antithrombotic Therapy by End of Hospital Day 2 (STK_5 - Electronic Clinical Quality Measure),Antithrombotic Therapy by End of Hospital Day 2 (STK_5 - Electronic Clinical Quality Measure) (Sample),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care) (Sample),Discharged on Antithrombotic Therapy (STK_2 - Electronic Clinical Quality Measure),Discharged on Antithrombotic Therapy (STK_2 - Electronic Clinical Quality Measure) (Sample),Discharged on Statin Medication (STK_6 - Electronic Clinical Quality Measure),Discharged on Statin Medication (STK_6 - Electronic Clinical Quality Measure) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3 - Healthcare Personnel Vaccination),Healthcare workers given influenza vaccination (IMM_3 - Healthcare Personnel Vaccination) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Intensive Care Unit Venous Thromboembolism Prophylaxis (VTE_2 - Electronic Clinical Quality Measure),Intensive Care Unit Venous Thromboembolism Prophylaxis (VTE_2 - Electronic Clinical Quality Measure) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Percentage of healthcare personnel who completed COVID-19 primary vaccination series (HCP_COVID_19 - Healthcare Personnel Vaccination),Percentage of healthcare personnel who completed COVID-19 primary vaccination series (HCP_COVID_19 - Healthcare Personnel Vaccination) (Sample),Safe Use of Opioids - Concurrent Prescribing (SAFE_USE_OF_OPIOIDS - Electronic Clinical Quality Measure),Safe Use of Opioids - Concurrent Prescribing (SAFE_USE_OF_OPIOIDS - Electronic Clinical Quality Measure) (Sample),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care) (Sample),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care) (Sample),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care) (Sample),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care) (Sample),Venous Thromboembolism Prophylaxis (VTE_1 - Electronic Clinical Quality Measure),Venous Thromboembolism Prophylaxis (VTE_1 - Electronic Clinical Quality Measure) (Sample)
15,UNIVERSITY OF ALABAMA HOSPITAL (010033),2023,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,,,,,82.0,65.0,81.0,327.0,50.0,312.0,94.0,387.0,89.0,360.0,97.0,194.0,,,,,100.0,13755.0,,,,,3.0,130473.0,,,322.0,122.0,188.0,2088.0,96.1,12963.0,,,49.0,109.0,74.0,50.0,79.0,312.0,91.0,187.0,,
16,COMMUNITY HOSPITAL INC (010034),2023,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,88.0,63.0,,,,,,,,,,,,,100.0,39.0,,,,,65.0,235.0,,,,,3.0,7317.0,,,,,102.0,474.0,82.7,193.0,15.0,33.0,,,,,,,,,65.0,148.0
17,CULLMAN REGIONAL MEDICAL CENTER (010035),2023,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,,,,,,,85.0,65.0,98.0,108.0,,,,,100.0,64.0,,,80.0,35.0,95.0,1740.0,,,88.0,95.0,1.0,43436.0,,,232.0,17.0,155.0,383.0,75.0,1722.0,22.0,1322.0,100.0,26.0,100.0,20.0,99.0,108.0,99.0,72.0,95.0,2559.0
18,ANDALUSIA HEALTH (010036),2023,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,,,,,,,,,48.0,62.0,,,,,77.0,122.0,63.0,19.0,,,75.0,555.0,,,100.0,133.0,1.0,17572.0,,,,,129.0,400.0,68.8,450.0,,,79.0,29.0,33.0,12.0,73.0,62.0,100.0,34.0,96.0,254.0
19,HUNTSVILLE HOSPITAL (010039),2023,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,,,,,,,88.0,447.0,61.0,378.0,92.0,371.0,94.0,352.0,92.0,77.0,,,20.0,30.0,67.0,13123.0,,,91.0,4048.0,2.0,158285.0,,,366.0,23.0,236.0,471.0,88.3,8893.0,,,61.0,140.0,89.0,62.0,84.0,379.0,86.0,199.0,,
20,GADSDEN REGIONAL MEDICAL CENTER (010040),2023,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,,,,,,,88.0,86.0,28.0,187.0,97.0,87.0,91.0,85.0,77.0,39.0,,,,,27.0,1833.0,,,,,6.0,29832.0,,,,,203.0,403.0,66.9,1555.0,,,37.0,51.0,50.0,16.0,61.0,187.0,73.0,85.0,,
21,MARION REGIONAL MEDICAL CENTER (010044),2023,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,,,,,,,,,89.0,27.0,,,,,,,,,,,63.0,321.0,,,,,3.0,6917.0,,,,,99.0,420.0,74.7,155.0,13.0,82.0,,,,,93.0,27.0,100.0,23.0,,
22,FAYETTE MEDICAL CENTER (010045),2023,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,,,,,,,,,65.0,60.0,,,,,94.0,16.0,,,,,80.0,467.0,,,,,3.0,11418.0,,,331.0,11.0,134.0,374.0,78.1,417.0,,,68.0,22.0,,,85.0,61.0,86.0,36.0,78.0,290.0
23,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2023,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,160.0,2728.0,117.0,82.0,,,82.0,62.0,61.0,70.0,95.0,59.0,97.0,59.0,93.0,14.0,,,,,82.0,1033.0,,,,,2.0,23002.0,,,114.0,20.0,136.0,385.0,77.2,921.0,,,65.0,23.0,91.0,11.0,80.0,70.0,89.0,38.0,,
24,MEDICAL CENTER ENTERPRISE (010049),2023,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,,,,,,,,,36.0,113.0,,,,,96.0,142.0,,,82.0,11.0,43.0,591.0,,,,,3.0,29187.0,,,,,136.0,404.0,69.4,551.0,,,32.0,34.0,,,64.0,113.0,93.0,57.0,,
25,GREENE COUNTY HOSPITAL (010051),2023,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL,,,,,,,,,,,,,,,,,,,,,88.0,113.0,,,,,1.0,2302.0,,,,,104.0,237.0,95.6,23.0,,,,,,,,,,,,
26,LAKE MARTIN COMMUNITY HOSPITAL (010052),2023,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,,,,,,,,,18.0,22.0,,,,,96.0,27.0,,,,,17.0,103.0,,,,,0.0,4970.0,,,,,104.0,358.0,91.8,97.0,,,,,,,64.0,22.0,18.0,11.0,51.0,186.0
27,FLOWERS HOSPITAL (010055),2023,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,,,,,,,92.0,73.0,41.0,135.0,94.0,83.0,95.0,81.0,68.0,65.0,,,,,68.0,2384.0,,,,,4.0,41951.0,,,,,192.0,406.0,87.0,2360.0,,,48.0,42.0,94.0,16.0,72.0,135.0,80.0,79.0,,
28,ST VINCENT'S BIRMINGHAM (010056),2023,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,,,,,,,,,44.0,219.0,93.0,141.0,95.0,137.0,91.0,94.0,,,17.0,30.0,67.0,3621.0,,,96.0,1233.0,5.0,35907.0,,,,,202.0,363.0,77.4,3058.0,,,40.0,93.0,71.0,31.0,78.0,219.0,93.0,112.0,93.0,3579.0
29,BIBB MEDICAL CENTER (010058),2023,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,,,,,,,,,50.0,12.0,,,,,,,,,,,74.0,235.0,100.0,93.0,,,5.0,14862.0,,,,,114.0,353.0,85.0,222.0,,,,,,,83.0,12.0,,,,
30,LAWRENCE MEDICAL CENTER (010059),2023,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,,,,,,,,,,,,,,,,,,,,,96.0,217.0,,,,,1.0,5724.0,,,78.0,14.0,71.0,376.0,75.0,248.0,,,,,,,,,,,,
31,HIGHLANDS MEDICAL CENTER (010061),2023,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,,,,,,,,,45.0,107.0,,,,,100.0,44.0,,,,,65.0,658.0,,,88.0,187.0,1.0,16051.0,94.0,11.0,235.0,31.0,175.0,651.0,100.0,601.0,,,61.0,28.0,67.0,15.0,71.0,107.0,81.0,62.0,77.0,549.0
32,WIREGRASS MEDICAL CENTER (010062),2023,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,,,,,,,,,,,,,,,91.0,68.0,,,,,65.0,329.0,,,,,6.0,8836.0,,,169.0,13.0,132.0,384.0,54.9,230.0,,,,,,,,,,,,
33,RUSSELL MEDICAL CENTER (010065),2023,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,82.0,55.0,,,,,,,64.0,170.0,,,,,100.0,63.0,,,75.0,16.0,54.0,785.0,,,97.0,207.0,1.0,17885.0,,,294.0,11.0,156.0,608.0,78.6,727.0,10.0,269.0,82.0,49.0,100.0,30.0,76.0,171.0,88.0,94.0,93.0,277.0
34,MEDICAL CENTER BARBOUR (010069),2023,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,,,,,,,,,,,,,,,100.0,55.0,,,24.0,21.0,87.0,276.0,,,89.0,93.0,2.0,16256.0,,,,,179.0,304.0,81.5,265.0,,,,,,,,,,,,
35,CLAY COUNTY HOSPITAL (010073),2023,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,64.0,36.0,,,,,,,48.0,27.0,,,,,,,,,,,50.0,284.0,,,77.0,47.0,1.0,4038.0,,,,,92.0,325.0,99.2,217.0,,,,,,,81.0,27.0,94.0,18.0,34.0,367.0
36,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER (010078),2023,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,,,,,,,96.0,49.0,50.0,503.0,100.0,55.0,91.0,55.0,97.0,66.0,,,71.0,14.0,61.0,2616.0,,,,,4.0,37140.0,,,325.0,23.0,203.0,421.0,88.6,2531.0,0.0,273.0,61.0,210.0,93.0,94.0,70.0,503.0,97.0,274.0,,
37,ATHENS LIMESTONE HOSPITAL (010079),2023,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,94.0,1028.0,,,,,,,62.0,121.0,,,,,90.0,100.0,,,50.0,14.0,68.0,1439.0,,,,,3.0,28162.0,,,283.0,16.0,180.0,345.0,79.0,1246.0,,,73.0,45.0,68.0,25.0,83.0,121.0,93.0,73.0,,
38,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2023,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,,,,,,,100.0,30.0,55.0,142.0,98.0,40.0,95.0,38.0,93.0,74.0,,,93.0,14.0,48.0,1344.0,,,,,5.0,43709.0,,,250.0,13.0,144.0,401.0,83.2,1202.0,,,63.0,43.0,82.0,22.0,80.0,142.0,83.0,86.0,,
39,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS (010085),2023,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,,,,,,,90.0,51.0,36.0,193.0,93.0,55.0,82.0,55.0,,,,,61.0,28.0,91.0,1679.0,,,,,3.0,50830.0,52.0,38.0,414.0,13.0,158.0,411.0,74.6,1518.0,,,48.0,65.0,47.0,19.0,70.0,194.0,76.0,91.0,,
40,NORTHWEST MEDICAL CENTER (010086),2023,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,,,,,,,,,39.0,23.0,,,,,,,,,,,73.0,303.0,,,100.0,51.0,3.0,9857.0,,,259.0,19.0,135.0,622.0,74.6,272.0,,,,,,,65.0,23.0,100.0,13.0,99.0,283.0
41,USA HEALTH UNIVERSITY HOSPITAL (010087),2023,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,,,,,,,,,53.0,401.0,100.0,140.0,98.0,147.0,100.0,67.0,,,,,98.0,2200.0,,,97.0,967.0,4.0,30496.0,,,584.0,14.0,233.0,361.0,97.2,3027.0,19.0,1744.0,57.0,93.0,84.0,44.0,69.0,401.0,95.0,206.0,,
42,WALKER BAPTIST MEDICAL CENTER (010089),2023,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,,,,,,,,,59.0,100.0,92.0,52.0,,,100.0,76.0,,,,,97.0,969.0,,,92.0,359.0,1.0,29268.0,,,190.0,19.0,171.0,409.0,79.4,816.0,22.0,1388.0,72.0,39.0,86.0,22.0,78.0,100.0,91.0,54.0,81.0,1431.0
43,PROVIDENCE HOSPITAL (010090),2023,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,,,,,,,,,91.0,368.0,86.0,119.0,86.0,115.0,98.0,95.0,,,,,74.0,2097.0,,,99.0,787.0,4.0,48232.0,,,222.0,17.0,191.0,387.0,93.3,1749.0,,,96.0,164.0,99.0,127.0,93.0,368.0,100.0,251.0,94.0,3684.0
44,GROVE HILL MEMORIAL HOSPITAL (010091),2023,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,,,,,,,,,,,,,,,73.0,15.0,,,,,38.0,239.0,,,,,1.0,5412.0,,,158.0,18.0,134.0,364.0,85.4,177.0,,,,,,,,,,,68.0,65.0
45,DCH REGIONAL MEDICAL CENTER (010092),2023,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,,,,,,,58.0,274.0,35.0,329.0,,,64.0,291.0,74.0,23.0,,,32.0,22.0,97.0,5425.0,,,70.0,1129.0,,,,,512.0,12.0,278.0,331.0,90.4,4838.0,,,35.0,86.0,67.0,24.0,65.0,330.0,79.0,155.0,54.0,6789.0
46,HALE COUNTY HOSPITAL (010095),2023,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,,,,,,,,,,,,,,,,,,,,,64.0,169.0,,,,,0.0,8977.0,,,,,109.0,349.0,80.9,161.0,,,,,,,,,,,,
47,ELMORE COMMUNITY HOSPITAL (010097),2023,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,,,,,,,,,6.0,16.0,,,,,29.0,31.0,,,,,17.0,196.0,,,,,6.0,10083.0,,,,,123.0,363.0,83.9,192.0,,,,,,,62.0,16.0,,,73.0,215.0
48,D W MCMILLAN MEMORIAL HOSPITAL (010099),2023,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,58.0,326.0,,,,,,,46.0,39.0,,,,,100.0,45.0,,,,,58.0,363.0,,,,,4.0,10713.0,,,,,128.0,396.0,71.5,416.0,,,50.0,12.0,,,85.0,39.0,75.0,24.0,45.0,355.0
49,THOMAS HOSPITAL (010100),2023,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,192.0,3102.0,190.0,39.0,,,90.0,51.0,92.0,64.0,,,,,86.0,76.0,,,62.0,13.0,63.0,2115.0,,,72.0,498.0,4.0,26614.0,,,230.0,15.0,185.0,389.0,87.5,1717.0,,,100.0,31.0,100.0,21.0,95.0,65.0,94.0,35.0,75.0,2605.0
50,CITIZENS BAPTIST MEDICAL CENTER (010101),2023,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,,,,,,,,,70.0,123.0,,,,,85.0,13.0,,,77.0,13.0,100.0,286.0,,,90.0,180.0,3.0,16995.0,,,275.0,23.0,106.0,398.0,80.8,220.0,21.0,359.0,69.0,42.0,86.0,28.0,86.0,123.0,97.0,75.0,88.0,540.0
