,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care) (Sample),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3 - Preventive Care),Healthcare workers given influenza vaccination (IMM_3 - Preventive Care) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department) (Sample),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care) (Sample),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care) (Sample),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care) (Sample),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care) (Sample),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care) (Sample)
10,DALE MEDICAL CENTER (010021),2020,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,75.0,48.0,80.0,40.0,89.0,107.0,,,,,,,,,,,2.0,17386.0,,,135.0,18.0,80.0,337.0,100.0,495.0,,,95.0,38.0,,,83.0,48.0,93.0,29.0
11,CHEROKEE MEDICAL CENTER (010022),2020,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,,,,,100.0,30.0,,,,,,,88.0,225.0,,,3.0,9098.0,,,,,57.0,131.0,150.0,342.0,,,,,,,,,,
12,BAPTIST MEDICAL CENTER SOUTH (010023),2020,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,30.0,115.0,99.0,120.0,99.0,138.0,,,,,,,97.0,4812.0,,,1.0,68063.0,,,,,214.0,778.0,145.0,405.0,1.0,100.0,75.0,65.0,11.0,19.0,65.0,115.0,82.0,56.0
13,JACKSON HOSPITAL & CLINIC INC (010024),2020,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,60.0,327.0,100.0,41.0,100.0,101.0,,,,,,,67.0,2637.0,,,1.0,58906.0,,,257.0,53.0,145.0,929.0,112.0,1730.0,0.0,157.0,83.0,254.0,59.0,41.0,83.0,330.0,91.0,185.0
14,EAST ALABAMA MEDICAL CENTER AND SNF (010029),2020,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,73.0,514.0,98.0,150.0,100.0,145.0,12.0,26.0,,,40.0,15.0,,,,,5.0,64248.0,,,205.0,22.0,50.0,623.0,183.0,557.0,0.0,178.0,93.0,426.0,76.0,95.0,86.0,514.0,94.0,310.0
15,UNIVERSITY OF ALABAMA HOSPITAL (010033),2020,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,63.0,330.0,96.0,110.0,99.0,76.0,100.0,42.0,,,,,100.0,10625.0,,,3.0,109754.0,,,304.0,40.0,136.0,502.0,209.0,641.0,3.0,61.0,83.0,248.0,74.0,42.0,83.0,330.0,93.0,204.0
16,COMMUNITY HOSPITAL INC (010034),2020,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,,,99.0,329.0,100.0,380.0,,,,,,,61.0,273.0,,,3.0,8986.0,,,,,75.0,317.0,96.0,346.0,,,,,,,,,,
17,CULLMAN REGIONAL MEDICAL CENTER (010035),2020,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,91.0,102.0,100.0,72.0,100.0,72.0,,,92.0,13.0,88.0,34.0,92.0,2012.0,,,1.0,45011.0,,,297.0,13.0,64.0,928.0,132.0,394.0,0.0,72.0,98.0,96.0,95.0,20.0,96.0,102.0,97.0,73.0
18,ANDALUSIA HEALTH (010036),2020,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,56.0,52.0,99.0,138.0,94.0,32.0,,,,,,,72.0,526.0,,,1.0,20486.0,,,202.0,12.0,47.0,586.0,115.0,415.0,0.0,39.0,82.0,40.0,,,79.0,52.0,97.0,35.0
19,STRINGFELLOW MEMORIAL HOSPITAL (010038),2020,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,57.0,84.0,99.0,103.0,100.0,113.0,,,,,,,,,,,3.0,22251.0,,,,,57.0,403.0,124.0,396.0,,,88.0,56.0,,,74.0,84.0,88.0,49.0
20,HUNTSVILLE HOSPITAL (010039),2020,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,45.0,357.0,90.0,82.0,98.0,127.0,,,,,59.0,17.0,,,,,2.0,182619.0,,,286.0,12.0,102.0,799.0,196.0,386.0,6.0,149.0,79.0,206.0,97.0,34.0,71.0,357.0,70.0,165.0
21,GADSDEN REGIONAL MEDICAL CENTER (010040),2020,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,59.0,305.0,79.0,92.0,74.0,392.0,100.0,33.0,,,83.0,18.0,63.0,2310.0,,,2.0,40401.0,,,278.0,18.0,91.0,747.0,167.0,406.0,26.0,31.0,84.0,216.0,98.0,45.0,79.0,306.0,83.0,149.0
22,MARION REGIONAL MEDICAL CENTER (010044),2020,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,69.0,26.0,,,,,,,,,,,,,,,1.0,7509.0,,,,,50.0,220.0,92.0,426.0,,,90.0,20.0,,,85.0,26.0,89.0,18.0
23,FAYETTE MEDICAL CENTER (010045),2020,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,54.0,46.0,99.0,68.0,100.0,70.0,,,,,,,86.0,536.0,,,3.0,11919.0,,,,,70.0,458.0,106.0,371.0,,,86.0,29.0,,,77.0,47.0,68.0,19.0
24,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2020,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,81.0,69.0,90.0,41.0,85.0,75.0,,,,,,,,,,,1.0,24332.0,,,132.0,21.0,57.0,1068.0,120.0,472.0,,,93.0,60.0,,,90.0,70.0,93.0,43.0
25,MEDICAL CENTER ENTERPRISE (010049),2020,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,93.0,60.0,100.0,227.0,,,,,,,97.0,29.0,81.0,587.0,,,1.0,31926.0,,,,,54.0,458.0,134.0,400.0,0.0,47.0,100.0,56.0,,,93.0,60.0,100.0,45.0
26,GREENE COUNTY HOSPITAL (010051),2020,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL,,,,,,,,,,,,,,,,,0.0,2651.0,,,,,48.0,46.0,158.0,196.0,,,,,,,,,,
27,LAKE MARTIN COMMUNITY HOSPITAL (010052),2020,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,64.0,25.0,87.0,23.0,,,,,,,,,,,,,0.0,5613.0,,,,,86.0,445.0,121.0,234.0,,,84.0,19.0,,,84.0,25.0,89.0,18.0
28,FLOWERS HOSPITAL (010055),2020,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,64.0,186.0,100.0,96.0,100.0,100.0,,,,,100.0,12.0,72.0,2110.0,,,1.0,48226.0,,,,,96.0,628.0,174.0,398.0,0.0,33.0,83.0,150.0,85.0,33.0,87.0,186.0,91.0,122.0
29,ST VINCENT'S BIRMINGHAM (010056),2020,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,57.0,197.0,86.0,87.0,45.0,84.0,100.0,34.0,,,83.0,12.0,,,,,2.0,50632.0,,,,,120.0,356.0,147.0,272.0,0.0,63.0,80.0,157.0,49.0,37.0,85.0,198.0,91.0,114.0
30,BIBB MEDICAL CENTER (010058),2020,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,40.0,15.0,,,,,,,,,,,97.0,244.0,,,1.0,20487.0,,,,,53.0,226.0,112.0,281.0,0.0,19.0,,,,,60.0,15.0,,
31,LAWRENCE MEDICAL CENTER (010059),2020,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,83.0,12.0,,,,,,,,,,,96.0,256.0,,,1.0,9295.0,,,,,42.0,308.0,75.0,371.0,,,91.0,11.0,,,92.0,12.0,,
32,HIGHLANDS MEDICAL CENTER (010061),2020,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,41.0,83.0,97.0,113.0,98.0,163.0,,,,,,,92.0,798.0,,,1.0,17902.0,76.0,16.0,322.0,26.0,121.0,335.0,178.0,687.0,0.0,28.0,91.0,44.0,,,55.0,83.0,94.0,36.0
33,WIREGRASS MEDICAL CENTER (010062),2020,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,43.0,21.0,100.0,119.0,63.0,43.0,,,,,,,93.0,378.0,,,2.0,9505.0,,,162.0,18.0,65.0,389.0,110.0,399.0,,,,,,,71.0,21.0,57.0,14.0
34,RUSSELL MEDICAL CENTER (010065),2020,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,80.0,184.0,100.0,63.0,100.0,63.0,100.0,24.0,,,74.0,23.0,94.0,858.0,,,1.0,23325.0,,,145.0,20.0,52.0,383.0,111.0,754.0,0.0,63.0,93.0,158.0,100.0,34.0,90.0,185.0,94.0,111.0
35,MEDICAL CENTER BARBOUR (010069),2020,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,,,96.0,25.0,,,,,87.0,15.0,24.0,17.0,78.0,243.0,,,1.0,17389.0,,,,,49.0,597.0,204.0,394.0,,,,,,,,,,
36,CLAY COUNTY HOSPITAL (010073),2020,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,42.0,33.0,,,,,,,,,,,,,,,1.0,5202.0,,,,,70.0,171.0,108.0,316.0,,,79.0,19.0,,,67.0,33.0,85.0,20.0
37,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER (010078),2020,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,59.0,410.0,79.0,72.0,92.0,74.0,,,,,92.0,12.0,93.0,2381.0,,,2.0,43289.0,,,242.0,25.0,76.0,787.0,194.0,419.0,8.0,51.0,89.0,286.0,81.0,63.0,77.0,411.0,88.0,254.0
38,ATHENS LIMESTONE HOSPITAL (010079),2020,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,75.0,213.0,100.0,24.0,100.0,24.0,,,,,77.0,13.0,87.0,1252.0,,,2.0,32139.0,,,237.0,13.0,74.0,495.0,138.0,408.0,1.0,69.0,94.0,171.0,91.0,23.0,81.0,213.0,99.0,141.0
39,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2020,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,78.0,195.0,100.0,73.0,100.0,73.0,,,,,68.0,25.0,76.0,1413.0,,,2.0,35978.0,,,234.0,14.0,76.0,970.0,169.0,400.0,0.0,55.0,92.0,168.0,65.0,17.0,90.0,195.0,96.0,162.0
40,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS (010085),2020,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,36.0,127.0,,,63.0,19.0,,,,,71.0,35.0,91.0,1658.0,,,5.0,59519.0,39.0,57.0,373.0,25.0,164.0,833.0,151.0,455.0,0.0,48.0,65.0,77.0,,,69.0,127.0,78.0,50.0
41,NORTHWEST MEDICAL CENTER (010086),2020,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,,,100.0,41.0,100.0,64.0,,,,,,,,,,,3.0,11567.0,,,,,55.0,506.0,123.0,353.0,,,,,,,,,,
42,USA HEALTH UNIVERSITY HOSPITAL (010087),2020,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,49.0,105.0,100.0,79.0,99.0,116.0,,,,,,,99.0,2167.0,,,5.0,28147.0,,,1192.0,28.0,314.0,792.0,249.0,348.0,,,87.0,62.0,,,66.0,105.0,87.0,52.0
43,WALKER BAPTIST MEDICAL CENTER (010089),2020,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,78.0,91.0,99.0,71.0,100.0,72.0,,,,,100.0,11.0,,,,,2.0,37779.0,49.0,16.0,,,54.0,795.0,122.0,384.0,0.0,106.0,94.0,77.0,94.0,18.0,87.0,91.0,97.0,63.0
44,PROVIDENCE HOSPITAL (010090),2020,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,84.0,399.0,92.0,96.0,96.0,98.0,,,,,71.0,17.0,,,,,2.0,54060.0,,,,,94.0,643.0,171.0,401.0,0.0,148.0,96.0,352.0,97.0,127.0,91.0,399.0,96.0,275.0
45,GROVE HILL MEMORIAL HOSPITAL (010091),2020,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,,,95.0,19.0,88.0,72.0,,,,,,,,,,,2.0,10651.0,,,,,125.0,146.0,161.0,276.0,4.0,28.0,,,,,,,,
46,D C H REGIONAL MEDICAL CENTER (010092),2020,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,58.0,144.0,88.0,51.0,96.0,73.0,100.0,75.0,,,46.0,26.0,92.0,6504.0,,,3.0,128195.0,,,,,131.0,671.0,152.0,392.0,0.0,85.0,89.0,94.0,88.0,16.0,73.0,144.0,80.0,56.0
47,HALE COUNTY HOSPITAL (010095),2020,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,,,,,,,,,,,,,,,,,4.0,10416.0,,,,,32.0,159.0,98.0,313.0,,,,,,,,,,
48,ELMORE COMMUNITY HOSPITAL (010097),2020,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,,,93.0,30.0,,,,,,,,,,,,,1.0,9887.0,,,,,45.0,398.0,102.0,281.0,,,,,,,,,,
49,D W MCMILLAN MEMORIAL HOSPITAL (010099),2020,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,52.0,33.0,100.0,70.0,100.0,57.0,,,,,,,95.0,367.0,,,1.0,12726.0,,,270.0,13.0,61.0,334.0,104.0,524.0,6.0,65.0,69.0,29.0,,,91.0,33.0,96.0,27.0
50,THOMAS HOSPITAL (010100),2020,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,86.0,77.0,86.0,65.0,100.0,72.0,,,,,,,93.0,2548.0,,,1.0,47146.0,,,,,116.0,636.0,160.0,388.0,2.0,49.0,94.0,70.0,100.0,11.0,91.0,77.0,100.0,52.0
51,CITIZENS BAPTIST MEDICAL CENTER (010101),2020,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,58.0,126.0,100.0,12.0,100.0,50.0,,,,,,,,,100.0,126.0,5.0,1957.0,,,154.0,16.0,61.0,600.0,112.0,395.0,,,79.0,97.0,78.0,18.0,79.0,126.0,97.0,68.0
52,J PAUL JONES HOSPITAL (010102),2020,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL,,,,,,,,,,,,,,,,,3.0,6211.0,,,110.0,11.0,32.0,68.0,89.0,358.0,,,,,,,,,,
53,PRINCETON BAPTIST MEDICAL CENTER (010103),2020,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,59.0,253.0,93.0,72.0,99.0,72.0,,,,,90.0,20.0,,,,,2.0,41105.0,,,187.0,12.0,130.0,883.0,144.0,365.0,0.0,38.0,84.0,187.0,72.0,47.0,78.0,253.0,92.0,143.0
54,GRANDVIEW MEDICAL CENTER (010104),2020,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,68.0,307.0,100.0,100.0,100.0,100.0,,,,,95.0,19.0,82.0,3909.0,,,1.0,40141.0,,,206.0,18.0,115.0,495.0,189.0,403.0,0.0,42.0,95.0,227.0,83.0,36.0,79.0,307.0,92.0,176.0
55,PRATTVILLE BAPTIST HOSPITAL (010108),2020,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,46.0,91.0,99.0,93.0,98.0,92.0,,,,,85.0,13.0,97.0,1034.0,,,2.0,34610.0,,,289.0,14.0,109.0,637.0,140.0,386.0,,,74.0,69.0,14.0,14.0,86.0,91.0,86.0,64.0
56,PICKENS COUNTY MEDICAL CENTER (010109),2020,Acute Care,Government - Hospital District or Authority,49.0,33.274807,-88.089673,AL,,,100.0,90.0,83.0,23.0,,,,,,,,,,,1.0,8780.0,,,,,86.0,255.0,89.0,232.0,,,,,,,,,,
57,BULLOCK COUNTY HOSPITAL (010110),2020,Acute Care,Proprietary,54.0,32.146182,-85.71638,AL,,,,,,,,,,,,,,,,,1.0,5908.0,,,163.0,11.0,40.0,78.0,97.0,405.0,,,,,,,,,,
58,WHITFIELD REGIONAL HOSPITAL (010112),2020,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,25.0,12.0,71.0,42.0,94.0,53.0,,,,,40.0,20.0,,,100.0,186.0,0.0,11163.0,,,128.0,12.0,43.0,296.0,111.0,353.0,,,,,,,42.0,12.0,,
59,MOBILE INFIRMARY MEDICAL CENTER (010113),2020,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,79.0,131.0,99.0,92.0,66.0,76.0,100.0,15.0,,,,,92.0,3324.0,,,1.0,49147.0,,,339.0,27.0,124.0,701.0,205.0,378.0,0.0,37.0,95.0,105.0,93.0,27.0,86.0,131.0,97.0,86.0
60,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2020,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,55.0,400.0,100.0,72.0,99.0,74.0,,,,,44.0,41.0,90.0,1663.0,,,1.0,75075.0,79.0,37.0,,,76.0,1046.0,121.0,548.0,8.0,63.0,82.0,287.0,73.0,49.0,76.0,400.0,92.0,197.0
61,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2020,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,75.0,76.0,100.0,51.0,,,,,,,,,,,,,4.0,29126.0,,,,,74.0,930.0,124.0,412.0,0.0,45.0,89.0,64.0,100.0,12.0,84.0,76.0,100.0,55.0
62,MONROE COUNTY HOSPITAL (010120),2020,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,82.0,72.0,93.0,164.0,98.0,59.0,,,,,,,,,,,3.0,15682.0,,,,,40.0,288.0,113.0,317.0,0.0,25.0,97.0,63.0,,,90.0,72.0,93.0,27.0
63,LAKELAND COMMUNITY HOSPITAL (010125),2020,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,56.0,16.0,,,,,,,,,,,87.0,318.0,,,1.0,9614.0,,,,,41.0,296.0,61.0,386.0,,,77.0,13.0,,,81.0,16.0,100.0,11.0
64,TROY REGIONAL MEDICAL CENTER (010126),2020,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,71.0,56.0,,,95.0,146.0,,,,,83.0,12.0,,,,,3.0,17921.0,,,,,68.0,395.0,106.0,357.0,,,94.0,52.0,44.0,16.0,98.0,56.0,94.0,47.0
65,JACKSON MEDICAL CENTER (010128),2020,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,,,,,,,,,,,27.0,11.0,,,,,3.0,7170.0,,,,,50.0,192.0,118.0,210.0,,,,,,,,,,
