,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care) (Sample),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3_OP_27_FAC_ADHPCT - Preventive Care),Healthcare workers given influenza vaccination (IMM_3_OP_27_FAC_ADHPCT - Preventive Care) (Sample),Hospital acquired potentially preventable venous thromboembolism (VTE_6 - Blood Clot Prevention and Treatment),Hospital acquired potentially preventable venous thromboembolism (VTE_6 - Blood Clot Prevention and Treatment) (Sample),Immunization for influenza (IMM_2 - Preventive Care),Immunization for influenza (IMM_2 - Preventive Care) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to ECG (OP_5 - Heart Attack or Chest Pain),Median Time to ECG (OP_5 - Heart Attack or Chest Pain) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department) (Sample),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Median time patients spent in the ED before they were admitted as an inpatient (ED_1b - Emergency Department),Median time patients spent in the ED before they were admitted as an inpatient (ED_1b - Emergency Department) (Sample),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care) (Sample)
10,DALE MEDICAL CENTER (010021),2019,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,82.0,78.0,,,91.0,22.0,,,,,54.0,13.0,95.0,504.0,,,99.0,341.0,,,2.0,17243.0,6.0,33.0,,,146.0,13.0,71.0,605.0,102.0,572.0,212.0,605.0,,
11,FLOYD CHEROKEE MEDICAL CENTER (010022),2019,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,,,,,100.0,72.0,,,,,,,86.0,183.0,,,99.0,291.0,,,2.0,8071.0,7.0,18.0,,,,,61.0,170.0,110.0,334.0,251.0,173.0,,
12,BAPTIST MEDICAL CENTER SOUTH (010023),2019,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,36.0,95.0,99.0,101.0,97.0,125.0,,,,,,,78.0,4894.0,3.0,31.0,88.0,527.0,,,2.0,69255.0,,,,,226.0,16.0,242.0,787.0,162.0,374.0,440.0,790.0,0.0,98.0
13,JACKSON HOSPITAL & CLINIC INC (010024),2019,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,51.0,216.0,100.0,81.0,100.0,79.0,,,,,,,52.0,2449.0,0.0,21.0,100.0,683.0,,,1.0,56710.0,,,,,191.0,85.0,175.0,1396.0,114.0,2277.0,347.0,1404.0,0.0,163.0
14,EAST ALABAMA MEDICAL CENTER (010029),2019,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,64.0,529.0,100.0,142.0,100.0,142.0,45.0,42.0,,,47.0,17.0,95.0,5064.0,0.0,21.0,95.0,903.0,,,4.0,64338.0,,,,,175.0,29.0,51.0,968.0,148.0,964.0,228.0,968.0,0.0,56.0
15,TANNER MEDICAL CENTER-EAST ALABAMA (010032),2019,Acute Care,Government - Hospital District or Authority,30.0,,,AL,,,92.0,13.0,62.0,16.0,,,,,,,98.0,636.0,,,96.0,112.0,,,3.0,3170.0,5.0,103.0,93.0,12.0,,,56.0,191.0,151.0,340.0,226.0,191.0,,
16,UNIVERSITY OF ALABAMA HOSPITAL (010033),2019,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,48.0,271.0,89.0,97.0,94.0,65.0,95.0,42.0,,,,,96.0,10166.0,7.0,214.0,97.0,600.0,,,5.0,108906.0,,,,,515.0,30.0,134.0,517.0,216.0,478.0,439.0,518.0,0.0,69.0
17,COMMUNITY HOSPITAL INC (010034),2019,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,68.0,31.0,100.0,111.0,99.0,615.0,,,,,,,71.0,364.0,,,91.0,280.0,,,2.0,9925.0,19.0,41.0,,,109.0,15.0,70.0,453.0,104.0,472.0,256.0,529.0,,
18,CULLMAN REGIONAL MEDICAL CENTER (010035),2019,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,87.0,92.0,100.0,74.0,100.0,89.0,,,92.0,12.0,90.0,21.0,93.0,1731.0,,,99.0,597.0,,,1.0,45747.0,6.0,122.0,,,239.0,19.0,73.0,931.0,136.0,395.0,229.0,931.0,1.0,80.0
19,ANDALUSIA HEALTH (010036),2019,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,65.0,51.0,95.0,102.0,97.0,79.0,,,79.0,14.0,,,77.0,372.0,,,95.0,384.0,,,0.0,21739.0,2.0,153.0,,,144.0,13.0,55.0,560.0,102.0,426.0,200.0,560.0,3.0,36.0
20,STRINGFELLOW MEMORIAL HOSPITAL (010038),2019,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,69.0,86.0,100.0,63.0,100.0,63.0,,,,,,,77.0,473.0,,,99.0,302.0,,,2.0,24894.0,4.0,11.0,,,,,69.0,495.0,107.0,442.0,226.0,495.0,,
21,HUNTSVILLE HOSPITAL (010039),2019,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,52.0,190.0,89.0,18.0,100.0,32.0,,,,,,,79.0,11388.0,9.0,101.0,97.0,648.0,,,2.0,179563.0,,,,,262.0,11.0,104.0,821.0,153.0,385.0,358.0,840.0,4.0,126.0
22,GADSDEN REGIONAL MEDICAL CENTER (010040),2019,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,36.0,690.0,85.0,84.0,48.0,334.0,100.0,27.0,,,77.0,13.0,46.0,1770.0,14.0,14.0,98.0,596.0,,,5.0,37162.0,4.0,14.0,,,234.0,16.0,74.0,659.0,170.0,409.0,277.0,659.0,3.0,36.0
23,MARION REGIONAL MEDICAL CENTER (010044),2019,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,66.0,47.0,,,,,,,,,,,96.0,218.0,,,98.0,283.0,,,1.0,7718.0,6.0,81.0,,,60.0,12.0,60.0,315.0,73.0,412.0,159.0,315.0,,
24,FAYETTE MEDICAL CENTER (010045),2019,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,43.0,42.0,97.0,68.0,100.0,68.0,,,,,,,95.0,474.0,,,100.0,289.0,,,4.0,13226.0,6.0,156.0,,,,,85.0,536.0,129.0,339.0,235.0,537.0,,
25,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2019,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,83.0,65.0,83.0,77.0,88.0,65.0,,,,,,,82.0,1008.0,,,90.0,590.0,,,1.0,24555.0,,,,,193.0,15.0,51.0,1008.0,120.0,373.0,169.0,1008.0,,
26,GEORGIANA MEDICAL CENTER (010047),2019,Acute Care,Proprietary,22.0,,,AL,,,,,,,,,,,,,47.0,83.0,,,,,,,2.0,708.0,5.0,16.0,,,108.0,12.0,,,83.0,403.0,,,,
27,MEDICAL CENTER ENTERPRISE (010049),2019,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,90.0,29.0,100.0,159.0,100.0,108.0,,,100.0,14.0,97.0,29.0,71.0,541.0,,,100.0,361.0,,,5.0,31727.0,7.0,134.0,,,,,54.0,371.0,129.0,408.0,237.0,371.0,0.0,40.0
28,GREENE COUNTY HOSPITAL (010051),2019,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL,,,,,,,,,,,,,79.0,195.0,,,28.0,53.0,,,1.0,2473.0,,,,,,,23.0,93.0,160.0,266.0,225.0,93.0,,
29,LAKE MARTIN COMMUNITY HOSPITAL (010052),2019,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,45.0,40.0,100.0,12.0,85.0,33.0,,,,,,,55.0,156.0,,,73.0,269.0,,,0.0,5639.0,7.0,29.0,,,,,86.0,596.0,112.0,330.0,216.0,597.0,,
30,FLOWERS HOSPITAL (010055),2019,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,68.0,388.0,100.0,96.0,100.0,103.0,,,,,,,72.0,2006.0,0.0,23.0,100.0,558.0,,,1.0,47976.0,,,,,,,72.0,588.0,156.0,399.0,236.0,590.0,0.0,36.0
31,ST VINCENT'S BIRMINGHAM (010056),2019,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,43.0,171.0,88.0,89.0,42.0,89.0,93.0,14.0,,,,,93.0,3435.0,0.0,32.0,86.0,499.0,,,2.0,52041.0,,,,,,,113.0,471.0,171.0,371.0,296.0,472.0,0.0,43.0
32,BIBB MEDICAL CENTER (010058),2019,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,38.0,16.0,,,100.0,13.0,,,,,,,95.0,307.0,,,80.0,181.0,,,1.0,6121.0,13.0,41.0,,,,,44.0,270.0,133.0,334.0,213.0,273.0,39.0,23.0
33,LAWRENCE MEDICAL CENTER (010059),2019,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,46.0,13.0,100.0,14.0,,,,,,,,,96.0,259.0,,,100.0,245.0,,,1.0,10556.0,7.0,34.0,,,,,38.0,364.0,65.0,424.0,166.0,364.0,,
34,HIGHLANDS MEDICAL CENTER (010061),2019,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,34.0,98.0,66.0,143.0,98.0,191.0,,,,,67.0,15.0,44.0,488.0,,,99.0,289.0,,,3.0,16925.0,9.0,137.0,90.0,33.0,235.0,33.0,113.0,331.0,154.0,727.0,303.0,334.0,2.0,59.0
35,WIREGRASS MEDICAL CENTER (010062),2019,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,35.0,37.0,96.0,93.0,93.0,67.0,,,,,,,92.0,379.0,,,54.0,312.0,,,3.0,8347.0,5.0,11.0,,,152.0,19.0,75.0,376.0,110.0,394.0,220.0,384.0,,
36,RUSSELL MEDICAL CENTER (010065),2019,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,71.0,171.0,100.0,63.0,100.0,63.0,79.0,24.0,,,83.0,12.0,90.0,865.0,,,97.0,313.0,100.0,63.0,1.0,23626.0,0.0,18.0,,,195.0,15.0,40.0,452.0,113.0,743.0,235.0,452.0,7.0,68.0
37,MEDICAL CENTER BARBOUR (010069),2019,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,,,85.0,141.0,6.0,80.0,,,,,58.0,12.0,59.0,239.0,,,100.0,284.0,,,2.0,16922.0,13.0,100.0,,,,,50.0,574.0,154.0,350.0,197.0,574.0,,
38,CLAY COUNTY HOSPITAL (010073),2019,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,54.0,28.0,98.0,63.0,67.0,18.0,,,,,,,90.0,365.0,,,95.0,278.0,,,3.0,5333.0,8.0,34.0,,,,,75.0,137.0,110.0,322.0,226.0,143.0,,
39,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER (010078),2019,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,24.0,351.0,78.0,72.0,84.0,75.0,,,,,93.0,14.0,86.0,2070.0,3.0,29.0,98.0,600.0,,,2.0,42340.0,7.0,18.0,,,293.0,13.0,88.0,700.0,200.0,364.0,306.0,701.0,0.0,44.0
40,ATHENS LIMESTONE HOSPITAL (010079),2019,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,53.0,176.0,,,,,,,,,81.0,16.0,87.0,1265.0,,,98.0,381.0,,,1.0,33538.0,5.0,169.0,,,356.0,17.0,66.0,452.0,124.0,402.0,235.0,453.0,2.0,55.0
41,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2019,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,82.0,344.0,100.0,63.0,100.0,63.0,,,,,53.0,15.0,77.0,1138.0,,,99.0,597.0,,,5.0,37465.0,7.0,11.0,,,234.0,13.0,85.0,951.0,164.0,398.0,284.0,952.0,4.0,49.0
42,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS (010085),2019,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,34.0,112.0,,,78.0,18.0,,,,,51.0,39.0,70.0,1602.0,,,91.0,565.0,,,3.0,63394.0,7.0,203.0,38.0,31.0,353.0,29.0,159.0,785.0,148.0,649.0,371.0,791.0,1.0,101.0
43,NORTHWEST MEDICAL CENTER (010086),2019,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,,,100.0,136.0,100.0,241.0,,,,,,,86.0,295.0,,,100.0,289.0,100.0,372.0,2.0,12655.0,3.0,111.0,,,144.0,11.0,59.0,524.0,133.0,352.0,249.0,524.0,,
44,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER (010087),2019,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,44.0,85.0,100.0,65.0,99.0,67.0,,,,,,,99.0,1990.0,0.0,17.0,97.0,571.0,,,9.0,27707.0,,,,,592.0,12.0,268.0,759.0,230.0,340.0,552.0,764.0,,
45,WALKER BAPTIST MEDICAL CENTER (010089),2019,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,69.0,84.0,94.0,71.0,100.0,73.0,,,,,,,94.0,825.0,,,100.0,550.0,,,2.0,38288.0,5.0,159.0,56.0,16.0,,,61.0,755.0,128.0,384.0,238.0,755.0,0.0,69.0
46,PROVIDENCE HOSPITAL (010090),2019,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,78.0,474.0,95.0,97.0,96.0,97.0,,,,,69.0,13.0,84.0,3255.0,0.0,25.0,98.0,532.0,,,1.0,50153.0,,,,,,,95.0,657.0,178.0,403.0,284.0,657.0,1.0,217.0
47,GROVE HILL MEMORIAL HOSPITAL (010091),2019,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,,,32.0,138.0,48.0,91.0,,,,,50.0,14.0,56.0,207.0,,,92.0,234.0,,,1.0,10346.0,3.0,120.0,,,238.0,18.0,95.0,213.0,155.0,366.0,293.0,217.0,0.0,29.0
48,D C H REGIONAL MEDICAL CENTER (010092),2019,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,36.0,152.0,77.0,31.0,100.0,71.0,100.0,54.0,,,56.0,16.0,96.0,6848.0,4.0,78.0,94.0,531.0,,,5.0,133345.0,,,,,327.0,11.0,145.0,687.0,161.0,394.0,372.0,687.0,0.0,136.0
49,HALE COUNTY HOSPITAL (010095),2019,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,,,,,,,,,,,,,80.0,112.0,,,16.0,168.0,,,3.0,9026.0,17.0,33.0,,,,,38.0,355.0,145.0,330.0,267.0,361.0,,
50,ELMORE COMMUNITY HOSPITAL (010097),2019,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,,,100.0,32.0,,,,,,,,,42.0,252.0,,,80.0,276.0,,,1.0,10685.0,6.0,20.0,,,,,57.0,505.0,110.0,356.0,216.0,512.0,,
51,D W MCMILLAN MEMORIAL HOSPITAL (010099),2019,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,48.0,44.0,98.0,64.0,96.0,48.0,,,,,,,97.0,366.0,,,94.0,340.0,,,2.0,13578.0,5.0,67.0,,,126.0,11.0,59.0,411.0,96.0,574.0,183.0,412.0,0.0,45.0
52,THOMAS HOSPITAL (010100),2019,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,73.0,66.0,92.0,76.0,99.0,73.0,,,,,69.0,13.0,76.0,2329.0,0.0,23.0,99.0,551.0,,,2.0,38097.0,8.0,18.0,,,,,149.0,618.0,154.0,405.0,285.0,621.0,2.0,43.0
53,CITIZENS BAPTIST MEDICAL CENTER (010101),2019,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,57.0,115.0,62.0,13.0,99.0,98.0,,,,,,,83.0,458.0,,,99.0,282.0,100.0,131.0,1.0,25031.0,7.0,96.0,,,247.0,13.0,53.0,520.0,110.0,395.0,216.0,520.0,9.0,11.0
54,J PAUL JONES HOSPITAL (010102),2019,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL,,,,,,,,,,,,,0.0,49.0,,,0.0,72.0,,,5.0,6202.0,,,,,70.0,12.0,28.0,51.0,98.0,362.0,168.0,107.0,,
55,PRINCETON BAPTIST MEDICAL CENTER (010103),2019,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,44.0,184.0,97.0,72.0,100.0,72.0,,,,,53.0,15.0,90.0,2322.0,0.0,57.0,100.0,620.0,,,3.0,41346.0,,,,,,,125.0,808.0,162.0,382.0,297.0,809.0,0.0,35.0
56,GRANDVIEW MEDICAL CENTER (010104),2019,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,69.0,659.0,100.0,65.0,100.0,69.0,,,,,75.0,12.0,74.0,2243.0,5.0,40.0,100.0,598.0,,,2.0,34721.0,,,,,183.0,17.0,93.0,527.0,174.0,413.0,252.0,528.0,2.0,40.0
57,PRATTVILLE BAPTIST HOSPITAL (010108),2019,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,56.0,84.0,100.0,74.0,99.0,68.0,,,,,82.0,11.0,87.0,633.0,,,95.0,307.0,,,2.0,36004.0,11.0,168.0,,,,,128.0,652.0,160.0,372.0,309.0,652.0,,
58,PICKENS COUNTY MEDICAL CENTER (010109),2019,Acute Care,Government - Hospital District or Authority,49.0,33.274807,-88.089673,AL,,,100.0,19.0,17.0,23.0,,,,,,,99.0,239.0,,,90.0,280.0,,,1.0,9655.0,18.0,33.0,,,,,116.0,494.0,119.0,317.0,268.0,501.0,,
59,BULLOCK COUNTY HOSPITAL (010110),2019,Acute Care,Proprietary,54.0,32.146182,-85.71638,AL,,,,,,,,,,,,,41.0,76.0,,,64.0,213.0,,,1.0,5993.0,,,,,136.0,12.0,52.0,151.0,94.0,410.0,189.0,176.0,,
60,BRYAN W. WHITFIELD MEMORIAL HOSPITAL (010112),2019,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,,,56.0,48.0,88.0,33.0,,,,,8.0,24.0,89.0,374.0,,,99.0,297.0,100.0,164.0,0.0,10508.0,20.0,50.0,,,,,52.0,142.0,124.0,358.0,233.0,142.0,,
61,MOBILE INFIRMARY MEDICAL CENTER (010113),2019,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,75.0,144.0,97.0,103.0,68.0,76.0,92.0,12.0,,,,,96.0,3586.0,5.0,83.0,96.0,601.0,,,1.0,49333.0,,,,,421.0,28.0,133.0,706.0,178.0,368.0,324.0,707.0,0.0,36.0
62,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2019,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,54.0,446.0,100.0,72.0,100.0,72.0,,,,,18.0,11.0,88.0,1802.0,0.0,21.0,94.0,576.0,,,2.0,71666.0,7.0,256.0,79.0,20.0,,,88.0,1047.0,123.0,549.0,256.0,1048.0,0.0,59.0
