,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI (SIR),CAUTI Number of Procedures,CAUTI Observed Cases,CAUTI Predicted Cases,CAUTI Urinary Catheter Days,CDIFF (SIR),CDIFF Observed Cases,CDIFF Predicted Cases,CDIFF patient days,CLABSI (SIR),CLABSI Number of Device Days,CLABSI Number of Procedures,CLABSI Observed Cases,CLABSI Predicted Cases,MRSA (SIR),MRSA Observed Cases,MRSA Predicted Cases,MRSA patient days,SSI Abdominal Hysterectomy,SSI Abdominal Number of Procedures,SSI Abdominal Observed Cases,SSI Abdominal Predicted Cases,SSI Colon Number of Procedures,SSI Colon Observed Cases,SSI Colon Predicted Cases,SSI Colon Surgery (SIR)
10,CALLAHAN EYE HOSPITAL (010018),2017,Acute Care,Voluntary non-profit - Private,11.0,33.503137,-86.802401,AL,,,,,,,0.0,0.055,219.0,,,,,,,0.0,0.005,219.0,,,,,,,,
11,HELEN KELLER MEMORIAL HOSPITAL (010019),2017,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,,,,,,0.222,2.0,9.026,23678.0,,,,,,,3.0,0.96,26088.0,,20.0,0.0,0.167,62.0,1.0,1.67,0.599
12,HELEN KELLER HOSPITAL (010019),2017,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,,,,,,,,,,,,,,,,,,,,,,,,,,
13,DALE MEDICAL CENTER (010021),2017,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,,,,,,0.0,0.0,2.695,8735.0,,,,,,,0.0,0.176,8735.0,,,,,17.0,0.0,0.466,
14,CHEROKEE MEDICAL CENTER (010022),2017,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,,,,,,,0.0,0.525,2869.0,,,,,,,0.0,0.068,2869.0,,,,,,,,
15,BAPTIST MEDICAL CENTER SOUTH (010023),2017,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,,,,,,1.254,72.0,57.424,83758.0,,,,,,0.785,6.0,7.641,96000.0,,87.0,0.0,0.853,103.0,1.0,3.463,0.289
16,JACKSON HOSPITAL & CLINIC INC (010024),2017,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,,,,,,1.254,54.0,43.048,67905.0,,,,,,1.6,5.0,3.124,70804.0,2.146,147.0,3.0,1.398,150.0,3.0,4.179,0.718
17,EAST ALABAMA MEDICAL CENTER (010029),2017,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,,,,,,0.64,34.0,53.107,77756.0,,,,,,1.943,9.0,4.631,82884.0,1.968,425.0,6.0,3.049,188.0,0.0,4.308,0.0
18,EAST ALABAMA MEDICAL CENTER AND SNF (010029),2017,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,,,,,,,,,,,,,,,,,,,,,,,,,,
19,WEDOWEE HOSPITAL (010032),2017,Acute Care,Government - Hospital District or Authority,30.0,,,AL,,,,,,,0.0,0.12,492.0,,,,,,,0.0,0.01,491.0,,,,,,,,
20,UNIVERSITY OF ALABAMA HOSPITAL (010033),2017,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,,,,,,0.66,182.0,275.814,276613.0,,,,,,1.427,51.0,35.74,328362.0,1.044,789.0,8.0,7.663,667.0,23.0,21.112,1.089
21,COMMUNITY HOSPITAL INC (010034),2017,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,,,,,,1.505,6.0,3.988,5329.0,,,,,,,0.0,0.154,5329.0,,,,,2.0,0.0,0.054,
22,CULLMAN REGIONAL MEDICAL CENTER (010035),2017,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,,,,,,0.283,4.0,14.155,31786.0,,,,,,1.557,2.0,1.285,33089.0,,39.0,0.0,0.397,63.0,1.0,1.725,0.58
23,ANDALUSIA REGIONAL HOSPITAL (010036),2017,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,,,,,,0.7,5.0,7.144,15329.0,,,,,,,0.0,0.574,16578.0,,11.0,0.0,0.093,14.0,0.0,0.332,
24,STRINGFELLOW MEMORIAL HOSPITAL (010038),2017,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,,,,,,0.615,2.0,3.25,10848.0,,,,,,,0.0,0.192,10848.0,,,,,26.0,1.0,0.711,
25,HUNTSVILLE HOSPITAL (010039),2017,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,,,,,,0.45,93.0,206.641,235687.0,,,,,,1.342,22.0,16.396,265810.0,0.318,736.0,2.0,6.29,611.0,14.0,17.019,0.823
26,GADSDEN REGIONAL MEDICAL CENTER (010040),2017,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,,,,,,0.675,31.0,45.897,77089.0,,,,,,1.444,5.0,3.462,77806.0,,97.0,0.0,0.954,113.0,0.0,3.182,0.0
27,MARION REGIONAL MEDICAL CENTER (010044),2017,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,,,,,,,1.0,0.661,4251.0,,,,,,,0.0,0.071,4251.0,,,,,,,,
28,FAYETTE MEDICAL CENTER (010045),2017,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,,,,,,3.053,7.0,2.293,5524.0,,,,,,,0.0,0.109,5524.0,,,,,10.0,0.0,0.24,
29,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2017,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,,,,,,0.355,6.0,16.909,32145.0,,,,,,,2.0,0.991,32145.0,,6.0,0.0,0.059,45.0,0.0,1.264,0.0
30,GEORGIANA MEDICAL CENTER (010047),2017,Acute Care,Proprietary,22.0,,,AL,,,,,,,0.0,0.282,1738.0,,,,,,,0.0,0.041,1738.0,,,,,,,,
31,MEDICAL CENTER ENTERPRISE (010049),2017,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,,,,,,0.4,1.0,2.503,8169.0,,,,,,,0.0,0.336,8194.0,,89.0,1.0,0.885,20.0,0.0,0.548,
32,GREENE COUNTY HOSPITAL (010051),2017,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL,,,,,,,1.0,0.201,693.0,,,,,,,0.0,0.013,743.0,,,,,,,,
33,LAKE MARTIN COMMUNITY HOSPITAL (010052),2017,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,,,,,,,0.0,0.0,5.0,,,,,,,0.0,0.0,5.0,,,,,,,,
34,FLOWERS HOSPITAL (010055),2017,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,,,,,,0.432,16.0,37.07,47132.0,,,,,,0.864,2.0,2.315,47132.0,0.388,290.0,1.0,2.578,115.0,3.0,3.206,0.936
35,ST VINCENT'S BIRMINGHAM (010056),2017,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,,,,,,0.553,51.0,92.242,100480.0,,,,,,1.051,10.0,9.516,115072.0,0.855,458.0,3.0,3.509,306.0,3.0,7.713,0.389
36,BIBB MEDICAL CENTER (010058),2017,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,,,,,,,0.0,0.344,1417.0,,,,,,,0.0,0.03,1417.0,,,,,,,,
37,LAWRENCE MEDICAL CENTER (010059),2017,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,,,,,,,2.0,0.876,3792.0,,,,,,,0.0,0.083,3792.0,,,,,,,,
38,HIGHLANDS MEDICAL CENTER (010061),2017,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,,,,,,0.487,3.0,6.164,12887.0,,,,,,,0.0,0.548,13562.0,,24.0,0.0,0.298,6.0,0.0,0.188,
39,WIREGRASS MEDICAL CENTER (010062),2017,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,,,,,,0.0,0.0,1.284,4269.0,,,,,,,0.0,0.101,4269.0,,8.0,0.0,0.081,6.0,0.0,0.172,
40,RUSSELL HOSPITAL (010065),2017,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,,,,,,,,,,,,,,,,0.0,0.314,10327.0,,1.0,0.0,0.008,12.0,0.0,0.277,
41,MEDICAL CENTER BARBOUR (010069),2017,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,,,,,,0.538,1.0,1.857,5615.0,,,,,,,3.0,0.154,5615.0,,2.0,0.0,0.02,4.0,0.0,0.102,
42,CLAY COUNTY HOSPITAL (010073),2017,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,,,,,,,1.0,0.566,2501.0,,,,,,,1.0,0.052,2310.0,,,,,,,,
43,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER (010078),2017,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,,,,,,0.171,5.0,29.268,55464.0,,,,,,0.872,3.0,3.438,60034.0,,79.0,0.0,0.743,112.0,0.0,3.001,0.0
44,NORTHEAST ALABAMA REGIONAL MED CENTER (010078),2017,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,,,,,,,,,,,,,,,,,,,,,,,,,,
45,ATHENS LIMESTONE HOSPITAL (010079),2017,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,,,,,,0.757,9.0,11.896,16218.0,,,,,,,1.0,0.705,17327.0,,29.0,0.0,0.311,41.0,0.0,1.042,0.0
46,ATHENS-LIMESTONE HOSPITAL (010079),2017,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,,,,,,,,,,,,,,,,,,,,,,,,,,
47,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2017,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,,,,,,0.95,11.0,11.584,25339.0,,,,,,0.984,1.0,1.017,25339.0,,17.0,0.0,0.131,44.0,2.0,1.094,1.828
48,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS (010085),2017,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,,,,,,0.326,7.0,21.444,55623.0,,,,,,0.797,2.0,2.51,57727.0,1.923,117.0,2.0,1.04,132.0,2.0,3.41,0.587
49,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS (010085),2017,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,,,,,,,,,,,,,,,,,,,,,,,,,,
50,NORTHWEST MEDICAL CENTER (010086),2017,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,,,,,,0.88,2.0,2.273,6250.0,,,,,,,1.0,0.17,6250.0,,36.0,0.0,0.32,5.0,0.0,0.154,
51,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER (010087),2017,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,,,,,,0.915,25.0,27.31,43244.0,,,,,,1.511,5.0,3.31,43244.0,,3.0,0.0,0.023,138.0,10.0,4.122,2.426
52,WALKER BAPTIST MEDICAL CENTER (010089),2017,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,,,,,,0.699,15.0,21.455,32797.0,,,,,,1.297,2.0,1.542,32932.0,,22.0,0.0,0.198,27.0,0.0,0.673,
53,PROVIDENCE HOSPITAL (010090),2017,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,,,,,,0.6,28.0,46.647,77712.0,,,,,,1.081,5.0,4.625,82119.0,0.0,235.0,0.0,1.956,151.0,7.0,3.967,1.765
54,GROVE HILL MEMORIAL HOSPITAL (010091),2017,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,,,,,,,0.0,0.684,3449.0,,,,,,,0.0,0.075,3885.0,,25.0,2.0,0.23,,,,
55,D C H REGIONAL MEDICAL CENTER (010092),2017,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,,,,,,0.756,81.0,107.114,148077.0,,,,,,1.09,11.0,10.09,169122.0,0.637,158.0,1.0,1.569,343.0,8.0,9.61,0.832
56,HALE COUNTY HOSPITAL (010095),2017,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,,,,,,,0.0,0.29,1573.0,,,,,,,0.0,0.027,1573.0,,,,,,,,
57,ELMORE COMMUNITY HOSPITAL (010097),2017,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,,,,,,,0.0,0.577,3152.0,,,,,,,0.0,0.056,3152.0,,,,,,,,
58,D W MCMILLAN MEMORIAL HOSPITAL (010099),2017,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,,,,,,1.979,6.0,3.032,5895.0,,,,,,,0.0,0.224,6601.0,,16.0,0.0,0.156,16.0,1.0,0.375,
59,THOMAS HOSPITAL (010100),2017,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,,,,,,0.262,4.0,15.283,37225.0,,,,,,1.207,2.0,1.656,40100.0,,130.0,0.0,0.989,126.0,2.0,2.991,0.669
60,CITIZENS BAPTIST MEDICAL CENTER (010101),2017,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,,,,,,0.266,1.0,3.752,11723.0,,,,,,,0.0,0.207,11723.0,,7.0,0.0,0.069,9.0,0.0,0.289,
61,CITIZENS BMC (010101),2017,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,,,,,,,,,,,,,,,,,,,,,,,,,,
62,J PAUL JONES HOSPITAL (010102),2017,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PRINCETON BAPTIST MEDICAL CENTER (010103),2017,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,,,,,,0.792,41.0,51.781,70331.0,,,,,,1.038,6.0,5.779,70331.0,,41.0,0.0,0.395,173.0,0.0,4.629,0.0
64,BAPTIST MEDICAL CENTER-PRINCETON (010103),2017,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,,,,,,,,,,,,,,,,,,,,,,,,,,
65,GRANDVIEW MEDICAL CENTER (010104),2017,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,,,,,,0.363,21.0,57.794,76209.0,,,,,,0.823,5.0,6.074,79006.0,,105.0,0.0,0.841,156.0,0.0,4.03,0.0
66,TRINITY MEDICAL CENTER (010104),2017,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PRATTVILLE BAPTIST HOSPITAL (010108),2017,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,,,,,,0.784,9.0,11.475,15171.0,,,,,,,1.0,0.413,15171.0,,,,,42.0,2.0,1.255,1.594
68,PICKENS COUNTY MEDICAL CENTER (010109),2017,Acute Care,Government - Hospital District or Authority,49.0,33.274807,-88.089673,AL,,,,,,,0.0,0.283,1563.0,,,,,,,0.0,0.028,1563.0,,1.0,0.0,0.007,,,,
69,BULLOCK COUNTY HOSPITAL (010110),2017,Acute Care,Proprietary,54.0,32.146182,-85.71638,AL,,,,,,,0.0,0.223,1357.0,,,,,,,0.0,0.032,1357.0,,,,,,,,
70,BRYAN W. WHITFIELD MEMORIAL HOSPITAL (010112),2017,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,,,,,,1.956,5.0,2.556,9179.0,,,,,,,0.0,0.201,9179.0,,10.0,0.0,0.079,2.0,0.0,0.054,
71,MOBILE INFIRMARY MEDICAL CENTER (010113),2017,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,,,,,,0.611,47.0,76.939,152792.0,,,,,,0.908,11.0,12.112,155892.0,0.0,117.0,0.0,1.104,309.0,6.0,8.673,0.692
72,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2017,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,,,,,,0.568,9.0,15.835,36030.0,,,,,,3.712,8.0,2.155,37290.0,,29.0,1.0,0.298,108.0,0.0,3.128,0.0
73,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2017,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,,,,,,0.603,7.0,11.602,15595.0,,,,,,,2.0,0.506,16436.0,,54.0,0.0,0.697,36.0,0.0,0.98,
74,MONROE COUNTY HOSPITAL (010120),2017,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,,,,,,0.0,0.0,1.61,3430.0,,,,,,,0.0,0.155,3430.0,,,,,5.0,0.0,0.152,
75,LAKELAND COMMUNITY HOSPITAL (010125),2017,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,,,,,,0.518,1.0,1.931,6026.0,,,,,,,0.0,0.131,6026.0,,,,,,,,
76,TROY REGIONAL MEDICAL CENTER (010126),2017,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,,,,,,0.0,0.0,3.245,9317.0,,,,,,,1.0,0.429,9317.0,,39.0,0.0,0.318,12.0,0.0,0.342,
77,JACKSON MEDICAL CENTER (010128),2017,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,,,,,,,0.0,0.0,3.0,,,,,,,,,,,,,,,,,
78,NORTH BALDWIN INFIRMARY (010129),2017,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,,,,,,0.329,1.0,3.041,9172.0,,,,,,,1.0,0.199,9670.0,,8.0,0.0,0.088,16.0,2.0,0.454,
79,ST VINCENT'S ST CLAIR (010130),2017,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,,,,,,1.406,5.0,3.555,6231.0,,,,,,,0.0,0.123,6231.0,,33.0,0.0,0.358,12.0,0.0,0.308,
80,CRESTWOOD MEDICAL CENTER (010131),2017,Acute Care,Proprietary,163.0,,,AL,,,,,,0.822,23.0,27.996,44361.0,,,,,,0.706,1.0,1.417,44678.0,4.673,144.0,6.0,1.284,109.0,4.0,2.83,1.413
81,HILL HOSPITAL OF SUMTER COUNTY (010138),2017,Acute Care,Voluntary non-profit - Other,33.0,32.491825,-88.296081,AL,,,,,,,0.0,0.543,3332.0,,,,,,,0.0,0.072,3070.0,,,,,,,,
82,BROOKWOOD MEDICAL CENTER (010139),2017,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,,,,,,0.476,50.0,105.015,138874.0,,,,,,1.236,10.0,8.088,138874.0,0.143,906.0,1.0,7.004,191.0,2.0,5.219,0.383
83,SPRINGHILL MEMORIAL HOSPITAL (010144),2017,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,,,,,,0.613,25.0,40.772,60431.0,,,,,,0.617,2.0,3.244,62604.0,0.871,136.0,1.0,1.148,132.0,3.0,3.598,0.834
84,SPRINGHILL MEDICAL CENTER (010144),2017,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,,,,,,,,,,,,,,,,,,,,,,,,,,
85,RMC JACKSONVILLE (010146),2017,Acute Care,Proprietary,65.0,,,AL,,,,,,,0.0,0.671,3314.0,,,,,,,1.0,0.089,3314.0,,,,,,,,
86,EVERGREEN MEDICAL CENTER (010148),2017,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,,,,,,0.0,0.0,1.19,5370.0,,,,,,,0.0,0.143,5370.0,,,,,,,,
87,BAPTIST MEDICAL CENTER EAST (010149),2017,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,,,,,,0.891,24.0,26.93,45591.0,,,,,,0.386,1.0,2.587,59364.0,0.782,539.0,4.0,5.115,141.0,0.0,4.005,0.0
88,L V STABLER MEMORIAL HOSPITAL (010150),2017,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,,,,,,0.0,0.0,1.569,5617.0,,,,,,,0.0,0.281,5617.0,,,,,6.0,0.0,0.147,
89,SHOALS HOSPITAL (010157),2017,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,,,,,,0.955,4.0,4.19,6636.0,,,,,,,0.0,0.345,6636.0,,,,,34.0,1.0,0.875,
90,RUSSELLVILLE HOSPITAL (010158),2017,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,,,,,,0.0,0.0,4.063,6889.0,,,,,,,0.0,0.172,6889.0,,3.0,0.0,0.035,8.0,0.0,0.21,
91,COOSA VALLEY MEDICAL CENTER (010164),2017,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,,,,,,1.251,5.0,3.997,11256.0,,,,,,,0.0,0.41,10651.0,,20.0,0.0,0.217,34.0,0.0,1.022,0.0
92,JACK HUGHSTON MEMORIAL HOSPITAL (010168),2017,Acute Care,Government - State,52.0,32.509045,-85.005696,AL,,,,,,0.0,0.0,1.414,7495.0,,,,,,,0.0,0.197,7495.0,,,,,,,,
93,ATMORE COMMUNITY HOSPITAL (010169),2017,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,,,,,,0.0,0.0,1.49,5259.0,,,,,,,0.0,0.124,5259.0,,,,,3.0,1.0,0.083,
94,WASHINGTON COUNTY HOSPITAL (011300),2017,Critical Access,Proprietary,103.0,31.460296,-88.235291,AL,,,,,,,1.0,0.793,2862.0,,,,,,,0.0,0.059,2862.0,,,,,,,,
95,RED BAY HOSPITAL (011302),2017,Critical Access,Government - Hospital District or Authority,25.0,34.457425,-88.146934,AL,,,,,,,1.0,0.851,3059.0,,,,,,,0.0,0.065,3059.0,,,,,,,,
96,CHOCTAW GENERAL HOSPITAL (011304),2017,Critical Access,Voluntary non-profit - Private,25.0,,,AL,,,,,,,,,,,,,,,,,,,,,,,,,,
97,ST VINCENTS BLOUNT (011305),2017,Critical Access,Voluntary non-profit - Private,25.0,33.932537,-86.493059,AL,,,,,,1.515,4.0,2.641,5814.0,,,,,,,0.0,0.122,5814.0,,5.0,0.0,0.038,,,,
98,PROVIDENCE ALASKA MEDICAL CENTER (020001),2017,Acute Care,Voluntary non-profit - Church,394.0,61.189798,-149.817622,AK,,,,,,0.914,57.0,62.37,88497.0,,,,,,0.635,5.0,7.88,102962.0,0.0,217.0,0.0,1.875,190.0,2.0,5.424,0.369
99,MAT-SU REGIONAL MEDICAL CENTER (020006),2017,Acute Care,Voluntary non-profit - Private,90.0,61.561217,-149.258718,AK,,,,,,0.399,5.0,12.54,18034.0,,,,,,,0.0,0.706,18034.0,,6.0,0.0,0.061,61.0,0.0,1.701,0.0
100,BARTLETT REGIONAL HOSPITAL (020008),2017,Acute Care,Government - Local,58.0,58.328696,-134.466829,AK,,,,,,0.64,2.0,3.125,8933.0,,,,,,,0.0,0.272,9400.0,,16.0,0.0,0.122,20.0,1.0,0.547,
101,FAIRBANKS MEMORIAL HOSPITAL (020012),2017,Acute Care,Voluntary non-profit - Other,213.0,64.831407,-147.736254,AK,,,,,,0.28,3.0,10.698,18705.0,,,,,,,0.0,0.737,22156.0,,90.0,0.0,0.801,74.0,0.0,2.059,0.0
102,ALASKA REGIONAL HOSPITAL (020017),2017,Acute Care,Proprietary,169.0,61.20979,-149.827379,AK,,,,,,1.098,16.0,14.575,30886.0,,,,,,3.335,4.0,1.2,31851.0,,76.0,0.0,0.485,108.0,1.0,2.683,0.373
103,YUKON KUSKOKWIM DELTA REG HOSPITAL (020018),2017,Acute Care,Tribal,34.0,,,AK,,,,,,,0.0,0.063,386.0,,,,,,,0.0,0.024,1337.0,,,,,,,,
104,CENTRAL PENINSULA GENERAL HOSPITAL (020024),2017,Acute Care,Voluntary non-profit - Other,186.0,60.493865,-151.077658,AK,,,,,,1.295,8.0,6.18,11408.0,,,,,,,0.0,0.302,12363.0,,3.0,0.0,0.018,33.0,0.0,0.797,
105,ALASKA NATIVE MEDICAL CENTER (020026),2017,Acute Care,Government - Federal,163.0,61.18189,-149.800578,AK,,,,,,1.238,27.0,21.802,42756.0,,,,,,2.615,6.0,2.294,47986.0,,31.0,1.0,0.282,153.0,1.0,4.628,0.216
106,SITKA COMMUNITY HOSPITAL (021303),2017,Critical Access,Government - Local,26.0,,,AK,,,,,,,,,,,,,,,,,,,,,,,,,,
107,WRANGELL MEDICAL CENTER (021305),2017,Critical Access,Government - Local,22.0,56.471646,-132.376414,AK,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PROVIDENCE KODIAK ISLAND MEDICAL CTR (021306),2017,Critical Access,Voluntary non-profit - Church,46.0,57.800835,-152.373943,AK,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PEACEHEALTH KETCHIKAN MEDICAL CENTER (021311),2017,Critical Access,Voluntary non-profit - Church,51.0,55.352717,-131.686049,AK,,,,,,0.0,0.0,1.093,3987.0,,,,,,,0.0,0.091,4368.0,,10.0,0.0,0.079,9.0,1.0,0.165,
