,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI (SIR),CAUTI Number of Procedures,CAUTI Observed Cases,CAUTI Predicted Cases,CAUTI Urinary Catheter Days,CDIFF (SIR),CDIFF Observed Cases,CDIFF Predicted Cases,CDIFF patient days,CLABSI (SIR),CLABSI Number of Device Days,CLABSI Number of Procedures,CLABSI Observed Cases,CLABSI Predicted Cases,MRSA (SIR),MRSA Observed Cases,MRSA Predicted Cases,MRSA patient days,SSI Abdominal Hysterectomy,SSI Abdominal Number of Procedures,SSI Abdominal Observed Cases,SSI Abdominal Predicted Cases,SSI Colon Number of Procedures,SSI Colon Observed Cases,SSI Colon Predicted Cases,SSI Colon Surgery (SIR)
31,LAKE MARTIN COMMUNITY HOSPITAL (010052),2019,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,,,0.0,0.18,332.0,,0.0,0.44,2214.0,,5.0,,0.0,0.003,,0.0,0.042,2214.0,,,,,,,,
32,FLOWERS HOSPITAL (010055),2019,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,0.299,,4.0,13.373,14749.0,0.514,13.0,25.298,53069.0,0.0,5354.0,,0.0,4.288,0.0,0.0,3.562,53069.0,0.446,256.0,1.0,2.24,108.0,0.0,3.021,0.0
33,ST VINCENT'S BIRMINGHAM (010056),2019,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,0.965,,16.0,16.585,15793.0,0.482,48.0,99.666,97221.0,1.174,13099.0,,15.0,12.774,1.186,11.0,9.275,111928.0,0.289,436.0,1.0,3.458,339.0,4.0,8.767,0.456
34,BIBB MEDICAL CENTER (010058),2019,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,,,1.0,0.192,352.0,0.0,0.0,1.332,3687.0,,183.0,,0.0,0.107,,0.0,0.104,3687.0,,,,,,,,
35,LAWRENCE MEDICAL CENTER (010059),2019,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,,,0.0,0.196,399.0,,2.0,0.603,3035.0,,93.0,,0.0,0.054,,0.0,0.053,3035.0,,,,,,,,
36,HIGHLANDS MEDICAL CENTER (010061),2019,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,,,2.0,0.964,1764.0,0.514,2.0,3.892,10762.0,,784.0,,2.0,0.491,,0.0,0.37,11455.0,,25.0,0.0,0.285,3.0,0.0,0.14,
37,WIREGRASS MEDICAL CENTER (010062),2019,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,,,0.0,0.43,829.0,1.306,2.0,1.531,4911.0,,357.0,,0.0,0.217,,0.0,0.096,4911.0,,2.0,0.0,0.02,9.0,0.0,0.25,
38,RUSSELL MEDICAL CENTER (010065),2019,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,0.0,,0.0,1.705,2956.0,1.49,4.0,2.684,8319.0,,327.0,,0.0,0.235,,0.0,0.234,8319.0,,,,,11.0,1.0,0.282,
39,MEDICAL CENTER BARBOUR (010069),2019,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,,,0.0,0.511,997.0,1.609,3.0,1.864,3888.0,,394.0,,0.0,0.243,,0.0,0.119,3888.0,,,,,5.0,0.0,0.113,
40,CLAY COUNTY HOSPITAL (010073),2019,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,,,2.0,0.208,376.0,,2.0,0.972,4658.0,,43.0,,0.0,0.027,,0.0,0.1,4658.0,,,,,1.0,0.0,0.038,
41,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER (010078),2019,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,0.195,,1.0,5.13,6302.0,0.444,14.0,31.559,53976.0,4.919,2700.0,,11.0,2.236,2.675,10.0,3.738,59094.0,1.994,102.0,2.0,1.003,97.0,0.0,2.654,0.0
42,ATHENS LIMESTONE HOSPITAL (010079),2019,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,0.537,,1.0,1.861,3498.0,0.73,8.0,10.958,15570.0,0.0,1765.0,,0.0,1.069,,1.0,0.825,16470.0,,37.0,0.0,0.418,35.0,0.0,0.94,
43,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2019,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,0.334,,1.0,2.991,4086.0,0.223,5.0,22.421,25291.0,0.0,2811.0,,0.0,2.097,,0.0,0.731,25291.0,,4.0,0.0,0.028,48.0,0.0,1.241,0.0
44,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS (010085),2019,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,0.592,,5.0,8.448,11911.0,0.671,14.0,20.853,59112.0,0.919,4664.0,,3.0,3.263,0.764,2.0,2.619,59112.0,,76.0,1.0,0.668,139.0,0.0,3.872,0.0
45,NORTHWEST MEDICAL CENTER (010086),2019,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,,,0.0,0.302,615.0,0.0,0.0,2.138,3552.0,,195.0,,0.0,0.113,,0.0,0.1,3552.0,,11.0,0.0,0.11,1.0,0.0,0.031,
46,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER (010087),2019,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,1.308,,14.0,10.7,6050.0,0.944,32.0,33.891,50553.0,0.648,7251.0,,6.0,9.257,0.279,1.0,3.58,50553.0,,10.0,0.0,0.096,146.0,7.0,4.576,1.53
47,WALKER BAPTIST MEDICAL CENTER (010089),2019,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,0.0,,0.0,3.167,4491.0,0.306,5.0,16.366,23142.0,0.0,1740.0,,0.0,1.2,,2.0,0.96,23142.0,,56.0,1.0,0.517,29.0,0.0,0.775,
48,PROVIDENCE HOSPITAL (010090),2019,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,0.255,,3.0,11.743,9849.0,0.496,23.0,46.338,67251.0,0.673,7162.0,,4.0,5.94,0.929,5.0,5.383,71568.0,0.0,127.0,0.0,1.129,139.0,6.0,3.62,1.657
49,GROVE HILL MEMORIAL HOSPITAL (010091),2019,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,,,0.0,0.146,267.0,,1.0,0.742,3329.0,,33.0,,0.0,0.019,,0.0,0.094,3840.0,,23.0,0.0,0.254,,,,
50,D C H REGIONAL MEDICAL CENTER (010092),2019,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,0.635,,23.0,36.235,27045.0,0.822,73.0,88.838,135198.0,0.617,24686.0,,16.0,25.916,0.927,8.0,8.627,154861.0,3.18,121.0,4.0,1.258,299.0,20.0,8.498,2.353
51,HALE COUNTY HOSPITAL (010095),2019,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,,,0.0,0.023,43.0,,0.0,0.22,1360.0,,,,,,,0.0,0.024,1360.0,,,,,,,,
52,ELMORE COMMUNITY HOSPITAL (010097),2019,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,,,,,,,0.0,0.384,2718.0,,,,,,,0.0,0.048,2718.0,,,,,,,,
53,D W MCMILLAN MEMORIAL HOSPITAL (010099),2019,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,,,0.0,0.632,1143.0,0.575,1.0,1.738,5538.0,,453.0,,0.0,0.279,,0.0,0.24,6183.0,,6.0,0.0,0.058,22.0,0.0,0.579,
54,THOMAS HOSPITAL (010100),2019,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,1.922,,11.0,5.722,7539.0,0.398,6.0,15.057,39999.0,0.551,5237.0,,2.0,3.632,0.0,0.0,1.834,42817.0,0.0,160.0,0.0,1.157,119.0,3.0,3.0,1.0
55,CITIZENS BAPTIST MEDICAL CENTER (010101),2019,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,,,0.0,0.614,1188.0,0.0,0.0,2.437,9574.0,,763.0,,0.0,0.468,,0.0,0.187,9574.0,,10.0,0.0,0.093,2.0,0.0,0.046,
56,J PAUL JONES HOSPITAL (010102),2019,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL,,,0.0,0.026,47.0,,0.0,0.022,135.0,,,,,,,0.0,0.002,135.0,,,,,,,,
57,PRINCETON BAPTIST MEDICAL CENTER (010103),2019,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,0.629,,11.0,17.5,14138.0,0.66,33.0,50.012,68855.0,0.444,14246.0,,6.0,13.507,0.488,3.0,6.147,68855.0,,37.0,1.0,0.379,172.0,0.0,4.615,0.0
58,GRANDVIEW MEDICAL CENTER (010104),2019,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,0.747,,21.0,28.111,15488.0,0.607,42.0,69.23,94203.0,0.303,15283.0,,5.0,16.527,0.962,9.0,9.352,97313.0,,130.0,0.0,0.98,199.0,3.0,5.144,0.583
59,PRATTVILLE BAPTIST HOSPITAL (010108),2019,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,0.0,,0.0,1.347,2645.0,0.947,10.0,10.559,15532.0,,1118.0,,0.0,0.667,,2.0,0.46,15532.0,,,,,,,,
60,PICKENS COUNTY MEDICAL CENTER (010109),2019,Acute Care,Government - Hospital District or Authority,49.0,33.274807,-88.089673,AL,,,0.0,0.06,123.0,,0.0,0.467,2543.0,,112.0,,0.0,0.065,,0.0,0.045,2543.0,,1.0,0.0,0.007,,,,
61,BULLOCK COUNTY HOSPITAL (010110),2019,Acute Care,Proprietary,54.0,32.146182,-85.71638,AL,,,0.0,0.021,38.0,,0.0,0.167,1185.0,,,,,,,0.0,0.028,1185.0,,,,,,,,
62,BRYAN W. WHITFIELD MEMORIAL HOSPITAL (010112),2019,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,,,0.0,0.408,780.0,0.387,1.0,2.582,9751.0,,80.0,,0.0,0.053,,0.0,0.252,9751.0,,,,,,,,
63,MOBILE INFIRMARY MEDICAL CENTER (010113),2019,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,1.112,,25.0,22.483,19373.0,0.524,36.0,68.664,145830.0,0.718,22329.0,,13.0,18.094,0.722,9.0,12.462,148263.0,1.187,179.0,2.0,1.685,332.0,5.0,9.08,0.551
64,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2019,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,1.158,,11.0,9.497,9514.0,0.586,9.0,15.354,34191.0,1.519,7030.0,,10.0,6.582,0.774,2.0,2.585,34978.0,,10.0,0.0,0.092,89.0,1.0,2.531,0.395
65,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2019,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,0.0,,0.0,2.194,3091.0,0.532,5.0,9.405,16467.0,,1028.0,,0.0,0.745,,1.0,0.654,17298.0,,31.0,0.0,0.355,36.0,0.0,1.047,0.0
66,MONROE COUNTY HOSPITAL (010120),2019,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,,,0.0,0.334,638.0,0.966,1.0,1.035,3381.0,,268.0,,0.0,0.164,,0.0,0.165,3381.0,,4.0,0.0,0.037,2.0,0.0,0.053,
67,LAKELAND COMMUNITY HOSPITAL (010125),2019,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,,,0.0,0.136,274.0,0.0,0.0,1.738,5475.0,,119.0,,0.0,0.068,,1.0,0.154,5475.0,,,,,,,,
68,TROY REGIONAL MEDICAL CENTER (010126),2019,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,,,0.0,0.567,1060.0,0.424,1.0,2.356,8309.0,,573.0,,1.0,0.373,,0.0,0.325,8309.0,,19.0,0.0,0.138,23.0,0.0,0.588,
69,JACKSON MEDICAL CENTER (010128),2019,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,,,0.0,0.15,308.0,,0.0,0.181,851.0,,201.0,,0.0,0.117,,0.0,0.015,851.0,,,,,,,,
70,NORTH BALDWIN INFIRMARY (010129),2019,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,,,0.0,0.452,821.0,0.0,0.0,1.605,5390.0,,433.0,,0.0,0.27,,0.0,0.137,6553.0,,30.0,0.0,0.304,19.0,0.0,0.539,
71,ST VINCENT'S ST CLAIR (010130),2019,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,,,1.0,0.739,1345.0,1.18,6.0,5.085,7819.0,,1068.0,,0.0,0.644,,0.0,0.16,7819.0,,18.0,0.0,0.143,14.0,0.0,0.369,
72,CRESTWOOD MEDICAL CENTER (010131),2019,Acute Care,Proprietary,163.0,,,AL,1.681,,6.0,3.569,5107.0,0.745,23.0,30.889,41398.0,2.782,2586.0,,5.0,1.797,1.508,2.0,1.326,42319.0,0.0,189.0,0.0,1.586,106.0,2.0,2.914,0.686
73,HILL HOSPITAL OF SUMTER COUNTY (010138),2019,Acute Care,Voluntary non-profit - Other,33.0,32.491825,-88.296081,AL,,,,,,,0.0,0.79,4839.0,,,,,,,0.0,0.114,4841.0,,,,,,,,
74,BROOKWOOD BAPTIST MEDICAL CENTER (010139),2019,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,1.029,,7.0,6.803,6932.0,0.539,35.0,64.886,86135.0,1.002,8543.0,,8.0,7.986,1.354,8.0,5.908,86135.0,0.271,925.0,2.0,7.37,214.0,2.0,5.912,0.338
75,SPRINGHILL MEMORIAL HOSPITAL (010144),2019,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,0.22,,1.0,4.544,6329.0,0.345,10.0,29.026,62970.0,0.372,7300.0,,2.0,5.371,1.109,5.0,4.507,66492.0,0.76,306.0,2.0,2.63,149.0,2.0,4.113,0.486
76,RMC JACKSONVILLE (010146),2019,Acute Care,Proprietary,65.0,,,AL,,,,,,,,,,,,,,,,,,,,,,,,,,
77,EVERGREEN MEDICAL CENTER (010148),2019,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,,,0.0,0.132,270.0,0.0,0.0,1.07,5396.0,,56.0,,0.0,0.033,,0.0,0.133,5396.0,,,,,,,,
78,BAPTIST MEDICAL CENTER EAST (010149),2019,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,0.947,,5.0,5.282,6483.0,0.52,15.0,28.863,45092.0,1.298,5223.0,,6.0,4.622,1.27,4.0,3.15,58381.0,0.872,488.0,4.0,4.588,167.0,1.0,4.839,0.207
79,BIRMINGHAM VA MEDICAL CENTER (01014F),2019,Acute Care (VA),Government - Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,L V STABLER MEMORIAL HOSPITAL (010150),2019,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,,,0.0,0.308,585.0,0.729,2.0,2.742,5193.0,,99.0,,0.0,0.061,,0.0,0.266,5193.0,,,,,6.0,0.0,0.145,
81,SHOALS HOSPITAL (010157),2019,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,,,2.0,0.542,740.0,0.0,0.0,1.217,3464.0,,515.0,,0.0,0.353,,0.0,0.137,3464.0,,,,,10.0,0.0,0.252,
82,RUSSELLVILLE HOSPITAL (010158),2019,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,,,0.0,0.856,1659.0,0.771,3.0,3.891,7187.0,,489.0,,0.0,0.296,,0.0,0.204,7187.0,,2.0,0.0,0.014,15.0,0.0,0.393,
83,COOSA VALLEY MEDICAL CENTER (010164),2019,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,0.0,,0.0,1.84,2531.0,0.0,0.0,4.221,12159.0,,774.0,,0.0,0.487,,0.0,0.373,13127.0,,14.0,0.0,0.146,31.0,0.0,0.819,
84,JACK HUGHSTON MEMORIAL HOSPITAL (010168),2019,Acute Care,Government - State,52.0,32.509045,-85.005696,AL,,,,,,0.0,0.0,1.286,6815.0,,,,,,,0.0,0.136,6815.0,,,,,,,,
85,ATMORE COMMUNITY HOSPITAL (010169),2019,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,,,2.0,0.348,674.0,0.0,0.0,1.651,5827.0,,346.0,,1.0,0.206,,1.0,0.129,5827.0,,,,,3.0,0.0,0.081,
86,ST VINCENT'S CHILTON (010173),2019,Acute Care,Voluntary non-profit - Church,26.0,32.876585,-86.623511,AL,,,0.0,0.183,359.0,0.726,1.0,1.377,3374.0,,167.0,,0.0,0.101,,0.0,0.074,3374.0,,,,,,,,
87,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY (01019F),2019,Acute Care (VA),Government - Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,WASHINGTON COUNTY HOSPITAL (011300),2019,Critical Access,Proprietary,103.0,31.460296,-88.235291,AL,,,,,,,0.0,0.499,2255.0,,,,,,,0.0,0.047,2255.0,,,,,,,,
89,RED BAY HOSPITAL (011302),2019,Critical Access,Government - Hospital District or Authority,25.0,34.457425,-88.146934,AL,0.0,,0.0,1.04,426.0,,1.0,0.719,2673.0,,82.0,,0.0,0.022,,0.0,0.057,2673.0,,,,,,,,
90,CHOCTAW GENERAL HOSPITAL (011304),2019,Critical Access,Voluntary non-profit - Private,25.0,,,AL,,,0.0,0.073,113.0,,,,,,110.0,,0.0,0.03,,,,,,,,,,,,
91,ST VINCENTS BLOUNT (011305),2019,Critical Access,Voluntary non-profit - Private,25.0,33.932537,-86.493059,AL,,,0.0,0.279,114.0,0.581,1.0,1.721,5056.0,,38.0,,0.0,0.011,,0.0,0.105,5056.0,,,,,,,,
92,USA HEALTH CHILDREN'S & WOMEN'S HOSPITAL (013301),2019,Childrens,Government - State,261.0,30.696082,-88.076883,AL,,,1.0,0.495,458.0,0.508,10.0,19.68,35117.0,1.132,7700.0,,15.0,13.249,0.0,0.0,2.374,68729.0,0.744,136.0,1.0,1.344,9.0,1.0,0.256,
