,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI (SIR),CAUTI Number of Procedures,CAUTI Observed Cases,CAUTI Predicted Cases,CAUTI Urinary Catheter Days,CDIFF (SIR),CDIFF Observed Cases,CDIFF Predicted Cases,CDIFF patient days,CLABSI (SIR),CLABSI Number of Device Days,CLABSI Number of Procedures,CLABSI Observed Cases,CLABSI Predicted Cases,MRSA (SIR),MRSA Observed Cases,MRSA Predicted Cases,MRSA patient days,SSI Abdominal Hysterectomy,SSI Abdominal Number of Procedures,SSI Abdominal Observed Cases,SSI Abdominal Predicted Cases,SSI Colon Number of Procedures,SSI Colon Observed Cases,SSI Colon Predicted Cases,SSI Colon Surgery (SIR)
10,DALE MEDICAL CENTER (010021),2014,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,,,0.0,0.827,636.0,0.0,0.0,3.714,8518.0,,280.0,,0.0,0.42,,0.0,0.336,8518.0,,,,,10.0,0.0,0.372,
11,CHEROKEE MEDICAL CENTER (010022),2014,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,,,,,,0.0,0.0,1.523,3491.0,,,,,,,0.0,0.125,3491.0,,,,,,,,
12,BAPTIST MEDICAL CENTER SOUTH (010023),2014,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,0.796,,23.0,28.903,11062.0,0.555,25.0,45.007,57182.0,0.355,10190.0,,9.0,25.334,2.154,6.0,2.785,65558.0,0.0,98.0,0.0,1.109,145.0,1.0,5.175,0.193
13,JACKSON HOSPITAL & CLINIC INC (010024),2014,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,1.032,,11.0,10.659,7762.0,0.981,30.0,30.572,47312.0,0.923,5147.0,,7.0,7.587,2.81,8.0,2.847,49597.0,0.0,161.0,0.0,1.651,132.0,2.0,4.361,0.459
14,GEORGE H. LANIER MEMORIAL HOSPITAL (010025),2014,Acute Care,Voluntary non-profit - Other,187.0,,,AL,0.775,,1.0,1.29,645.0,0.0,0.0,2.561,5871.0,,355.0,,0.0,0.675,,1.0,0.269,6092.0,,31.0,0.0,0.41,18.0,0.0,0.572,
15,EAST ALABAMA MEDICAL CENTER (010029),2014,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,2.539,,14.0,5.514,4083.0,0.363,13.0,35.837,51624.0,0.801,3373.0,,4.0,4.995,0.311,1.0,3.218,54430.0,0.35,329.0,1.0,2.859,144.0,2.0,4.651,0.43
16,WEDOWEE HOSPITAL (010032),2014,Acute Care,Government - Hospital District or Authority,30.0,,,AL,,,,,,,0.0,0.959,2201.0,,,,,,,0.0,0.214,2201.0,,,,,,,,
17,UNIVERSITY OF ALABAMA HOSPITAL (010033),2014,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,1.729,,189.0,109.301,36400.0,0.916,178.0,194.401,222441.0,0.838,30472.0,,65.0,77.559,1.789,42.0,23.474,262268.0,0.889,627.0,7.0,7.878,520.0,9.0,20.263,0.444
18,COMMUNITY HOSPITAL INC (010034),2014,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,,,0.0,0.618,476.0,0.747,3.0,4.016,6995.0,,148.0,,0.0,0.223,,1.0,0.251,6995.0,,,,,6.0,0.0,0.183,
19,CULLMAN REGIONAL MEDICAL CENTER (010035),2014,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,0.339,,1.0,2.953,1636.0,0.503,5.0,9.946,18585.0,0.0,718.0,,0.0,1.281,0.0,0.0,1.095,19589.0,,48.0,1.0,0.584,80.0,1.0,2.534,0.395
20,ANDALUSIA REGIONAL HOSPITAL (010036),2014,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,,,0.0,0.906,697.0,0.0,0.0,5.702,12342.0,,157.0,,0.0,0.237,,0.0,0.499,13091.0,,19.0,0.0,0.199,24.0,0.0,0.726,
21,STRINGFELLOW MEMORIAL HOSPITAL (010038),2014,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,0.0,,0.0,1.271,978.0,0.454,2.0,4.408,10108.0,,335.0,,0.0,0.504,,0.0,0.363,10108.0,,4.0,0.0,0.074,26.0,0.0,0.879,
22,HUNTSVILLE HOSPITAL (010039),2014,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,1.267,,55.0,43.41,16835.0,0.653,90.0,137.802,161072.0,0.991,12234.0,,25.0,25.235,1.218,17.0,13.958,177692.0,0.901,678.0,6.0,6.66,492.0,11.0,16.214,0.678
23,GADSDEN REGIONAL MEDICAL CENTER (010040),2014,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,0.311,,5.0,16.064,8420.0,0.813,27.0,33.216,52962.0,0.0,5000.0,,0.0,9.882,3.886,13.0,3.345,52962.0,0.0,93.0,0.0,1.108,121.0,0.0,4.222,0.0
24,MARION REGIONAL MEDICAL CENTER (010044),2014,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,,,1.0,0.28,215.0,0.0,0.0,1.313,2823.0,,35.0,,0.0,0.053,,0.0,0.163,2823.0,,,,,2.0,0.0,0.066,
25,FAYETTE MEDICAL CENTER (010045),2014,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,,,0.0,0.588,452.0,1.094,2.0,1.828,3403.0,,106.0,,0.0,0.16,,0.0,0.122,3403.0,,,,,6.0,1.0,0.199,
26,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2014,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,1.401,,5.0,3.569,2569.0,2.014,40.0,19.857,26493.0,2.71,1593.0,,7.0,2.583,2.495,6.0,2.405,26493.0,,16.0,0.0,0.18,61.0,0.0,2.018,0.0
27,GEORGIANA MEDICAL CENTER (010047),2014,Acute Care,Proprietary,22.0,,,AL,,,,,,,0.0,0.846,1940.0,,,,,,,0.0,0.07,1940.0,,,,,,,,
28,MEDICAL CENTER ENTERPRISE (010049),2014,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,,,0.0,0.806,620.0,0.0,0.0,3.736,7580.0,,141.0,,0.0,0.212,,0.0,0.293,7580.0,0.0,109.0,0.0,1.381,46.0,2.0,1.451,1.378
29,GREENE COUNTY HOSPITAL (010051),2014,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL,,,,,,,0.0,0.427,979.0,,,,,,,0.0,0.035,979.0,,,,,,,,
30,LAKE MARTIN COMMUNITY HOSPITAL (010052),2014,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,,,,,,,0.0,0.955,2248.0,,,,,,,0.0,0.081,2248.0,,,,,,,,
31,DECATUR MORGAN HOSPITAL-PARKWAY CAMPUS (010054),2014,Acute Care,Proprietary,114.0,,,AL,,,0.0,0.984,492.0,0.0,0.0,2.058,4581.0,,67.0,,0.0,0.127,,0.0,0.164,4581.0,,5.0,0.0,0.084,8.0,0.0,0.278,
32,FLOWERS HOSPITAL (010055),2014,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,0.8,,10.0,12.497,5792.0,0.611,16.0,26.19,39114.0,0.53,3768.0,,4.0,7.546,1.177,2.0,1.699,39114.0,0.0,208.0,0.0,2.168,94.0,2.0,3.233,0.619
33,ST VINCENT'S BIRMINGHAM (010056),2014,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,0.475,,9.0,18.962,10692.0,0.939,44.0,46.881,70612.0,0.451,8513.0,,7.0,15.506,0.691,6.0,8.688,87538.0,0.0,564.0,0.0,4.439,227.0,9.0,6.962,1.293
34,BIBB MEDICAL CENTER (010058),2014,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,,,,,,,0.0,0.453,854.0,,,,,,,1.0,0.03,854.0,,,,,,,,
35,LAWRENCE MEDICAL CENTER (010059),2014,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,,,,,,0.0,0.0,1.483,3266.0,,,,,,,0.0,0.117,3266.0,,,,,,,,
36,HIGHLANDS MEDICAL CENTER (010061),2014,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,2.188,,3.0,1.371,1054.0,1.41,6.0,4.255,8009.0,,232.0,,0.0,0.349,,1.0,0.316,8285.0,,26.0,0.0,0.389,7.0,0.0,0.235,
37,WIREGRASS MEDICAL CENTER (010062),2014,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,,,1.0,0.453,348.0,0.0,0.0,1.727,3470.0,,56.0,,0.0,0.086,,0.0,0.138,3859.0,,6.0,0.0,0.062,11.0,0.0,0.335,
38,RUSSELL HOSPITAL (010065),2014,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,0.0,,0.0,7.535,5796.0,0.581,2.0,3.445,7900.0,0.0,916.0,,0.0,1.375,,0.0,0.283,7900.0,,5.0,0.0,0.051,29.0,0.0,0.928,
39,FLORALA MEMORIAL HOSPITAL (010066),2014,Acute Care,Proprietary,22.0,,,AL,,,,,,,0.0,0.125,334.0,,,,,,,0.0,0.012,334.0,,,,,,,,
40,MEDICAL CENTER BARBOUR (010069),2014,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,,,0.0,0.628,483.0,0.0,0.0,1.418,3251.0,,153.0,,0.0,0.23,,0.0,0.13,3658.0,,7.0,0.0,0.081,,,,
41,CLAY COUNTY HOSPITAL (010073),2014,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,,,0.0,0.682,341.0,,0.0,0.992,2189.0,,7.0,,0.0,0.013,,0.0,0.079,2189.0,,,,,,,,
42,NORTHEAST ALABAMA REGIONAL MED CENTER (010078),2014,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,0.657,,3.0,4.567,3389.0,0.512,17.0,33.186,43659.0,0.948,2132.0,,3.0,3.165,0.723,2.0,2.767,45987.0,0.0,82.0,0.0,1.149,122.0,2.0,4.373,0.457
43,ATHENS-LIMESTONE HOSPITAL (010079),2014,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,0.517,,1.0,1.934,1488.0,1.363,14.0,10.274,13210.0,,634.0,,2.0,0.952,,1.0,0.975,13898.0,,21.0,0.0,0.251,25.0,0.0,0.891,
44,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2014,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,0.37,,1.0,2.703,2079.0,0.3,3.0,10.011,19720.0,0.0,1242.0,,0.0,1.864,,0.0,0.747,19720.0,,64.0,0.0,0.622,28.0,0.0,0.904,
45,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS (010085),2014,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,0.438,,2.0,4.571,3515.0,0.164,3.0,18.252,32494.0,0.575,1158.0,,1.0,1.738,0.709,1.0,1.41,33978.0,0.0,139.0,0.0,1.354,123.0,0.0,4.043,0.0
46,NORTHWEST MEDICAL CENTER (010086),2014,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,,,0.0,0.364,280.0,1.346,4.0,2.972,4340.0,,118.0,,0.0,0.178,,1.0,0.141,3947.0,,59.0,0.0,0.668,10.0,2.0,0.365,
47,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER (010087),2014,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,2.064,,36.0,17.44,5499.0,0.293,7.0,23.876,30849.0,0.526,4761.0,,9.0,17.109,1.967,4.0,2.034,30849.0,,4.0,0.0,0.073,49.0,1.0,1.828,0.547
48,WALKER BAPTIST MEDICAL CENTER (010089),2014,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,0.781,,2.0,2.56,1969.0,0.443,7.0,15.806,24651.0,,583.0,,0.0,0.875,1.59,2.0,1.258,24651.0,,14.0,0.0,0.17,38.0,0.0,1.286,0.0
49,PROVIDENCE HOSPITAL (010090),2014,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,0.519,,15.0,28.876,10647.0,0.845,36.0,42.611,56495.0,0.232,8563.0,,4.0,17.226,2.47,7.0,2.834,59884.0,0.347,258.0,1.0,2.886,147.0,3.0,4.9,0.612
50,GROVE HILL MEMORIAL HOSPITAL (010091),2014,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,,,,,,0.0,0.0,1.795,3834.0,,,,,,,0.0,0.186,4028.0,,16.0,0.0,0.229,,,,
51,D C H REGIONAL MEDICAL CENTER (010092),2014,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,1.022,,32.0,31.318,13553.0,0.595,54.0,90.699,127713.0,0.563,12564.0,,17.0,30.217,1.171,13.0,11.102,140627.0,1.114,167.0,2.0,1.795,296.0,6.0,9.732,0.617
52,HALE COUNTY HOSPITAL (010095),2014,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,,,,,,,0.0,0.263,707.0,,,,,,,0.0,0.025,707.0,,,,,,,,
53,ELMORE COMMUNITY HOSPITAL (010097),2014,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,,,,,,0.0,0.0,1.087,2374.0,,,,,,,0.0,0.085,2374.0,,,,,,,,
54,D W MCMILLAN MEMORIAL HOSPITAL (010099),2014,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,,,0.0,0.881,677.0,0.0,0.0,2.52,5235.0,,229.0,,0.0,0.344,,0.0,0.405,5810.0,,9.0,0.0,0.085,24.0,0.0,0.688,
55,THOMAS HOSPITAL (010100),2014,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,1.268,,7.0,5.521,2432.0,0.918,11.0,11.989,23668.0,0.227,2089.0,,1.0,4.402,0.829,1.0,1.206,25632.0,0.0,241.0,0.0,1.794,154.0,4.0,4.512,0.887
56,CITIZENS BAPTIST MEDICAL CENTER (010101),2014,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,,,0.0,0.829,638.0,0.0,0.0,3.09,7086.0,,282.0,,0.0,0.424,,0.0,0.254,7086.0,,17.0,0.0,0.168,9.0,0.0,0.324,
57,J PAUL JONES HOSPITAL (010102),2014,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL,,,,,,,0.0,0.211,542.0,,,,,,,0.0,0.02,542.0,,,,,,,,
58,BAPTIST MEDICAL CENTER-PRINCETON (010103),2014,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,0.202,,5.0,24.762,10413.0,0.736,39.0,53.009,61330.0,0.288,9501.0,,5.0,17.361,4.871,16.0,3.285,62707.0,,74.0,0.0,0.941,168.0,0.0,5.573,0.0
59,TRINITY MEDICAL CENTER (010104),2014,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,0.655,,12.0,18.313,7549.0,0.581,23.0,39.602,49711.0,0.256,6031.0,,3.0,11.716,1.65,4.0,2.424,53996.0,,49.0,0.0,0.362,136.0,1.0,4.259,0.235
60,PRATTVILLE BAPTIST HOSPITAL (010108),2014,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,0.0,,0.0,1.296,997.0,0.6,4.0,6.663,9234.0,,450.0,,0.0,0.676,,0.0,0.417,9234.0,,,,,29.0,0.0,0.955,
61,PICKENS COUNTY MEDICAL CENTER (010109),2014,Acute Care,Government - Hospital District or Authority,49.0,33.274807,-88.089673,AL,,,0.0,0.229,176.0,0.0,0.0,1.309,2297.0,,26.0,,0.0,0.039,,0.0,0.059,2297.0,,,,,9.0,0.0,0.304,
62,BULLOCK COUNTY HOSPITAL (010110),2014,Acute Care,Proprietary,54.0,32.146182,-85.71638,AL,,,,,,0.0,0.0,3.366,7718.0,,,,,,,0.0,0.276,7718.0,,,,,,,,
63,BRYAN W WHITFIELD MEM HOSP INC (010112),2014,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,,,0.0,0.381,293.0,0.244,1.0,4.096,9308.0,,13.0,,0.0,0.02,,0.0,0.345,9622.0,,25.0,0.0,0.361,6.0,0.0,0.199,
64,MOBILE INFIRMARY (010113),2014,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,1.022,,31.0,30.347,11668.0,0.51,33.0,64.727,113651.0,0.043,10550.0,,1.0,23.027,1.251,9.0,7.192,116304.0,0.0,237.0,0.0,2.255,322.0,6.0,10.664,0.563
65,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2014,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,0.259,,2.0,7.718,3859.0,0.466,11.0,23.6,40331.0,0.209,2516.0,,1.0,4.781,0.83,3.0,3.614,42686.0,,50.0,2.0,0.579,72.0,2.0,2.449,0.817
66,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2014,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,1.064,,4.0,3.758,2891.0,0.751,6.0,7.99,15563.0,0.0,1591.0,,0.0,2.387,,1.0,0.835,16775.0,,51.0,0.0,0.629,50.0,1.0,1.829,0.547
67,MONROE COUNTY HOSPITAL (010120),2014,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,,,0.0,0.539,415.0,,1.0,0.988,2264.0,,57.0,,0.0,0.086,,0.0,0.118,2264.0,,15.0,0.0,0.14,7.0,0.0,0.22,
68,LAKELAND COMMUNITY HOSPITAL (010125),2014,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,,,0.0,0.18,138.0,0.559,1.0,1.788,4041.0,,8.0,,0.0,0.013,,0.0,0.265,4041.0,,5.0,2.0,0.063,3.0,0.0,0.081,
69,TROY REGIONAL MEDICAL CENTER (010126),2014,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,0.68,,1.0,1.47,735.0,0.0,0.0,1.479,3980.0,,130.0,,0.0,0.247,,0.0,0.143,3980.0,,19.0,0.0,0.193,11.0,0.0,0.366,
70,JACKSON MEDICAL CENTER (010128),2014,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,,,,,,,1.0,0.55,1263.0,,,,,,,0.0,0.045,1263.0,,,,,,,,
71,NORTH BALDWIN INFIRMARY (010129),2014,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,,,0.0,0.672,336.0,0.746,2.0,2.682,5618.0,,122.0,,0.0,0.232,,0.0,0.216,6033.0,,15.0,0.0,0.229,15.0,0.0,0.552,
72,ST VINCENT'S ST CLAIR (010130),2014,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,3.604,,4.0,1.11,555.0,0.423,2.0,4.727,6887.0,,372.0,,0.0,0.706,,0.0,0.246,6887.0,,,,,,,,
73,CRESTWOOD MEDICAL CENTER (010131),2014,Acute Care,Proprietary,163.0,,,AL,0.679,,2.0,2.947,2456.0,0.454,10.0,22.04,42368.0,1.302,1535.0,,3.0,2.304,0.0,0.0,1.733,42456.0,,87.0,1.0,0.761,108.0,1.0,3.468,0.288
74,HILL HOSPITAL OF SUMTER COUNTY (010138),2014,Acute Care,Voluntary non-profit - Other,33.0,32.491825,-88.296081,AL,,,,,,,0.0,0.471,1080.0,,,,,,,0.0,0.039,1080.0,,,,,,,,
75,BROOKWOOD MEDICAL CENTER (010139),2014,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,1.126,,18.0,15.983,7893.0,0.445,20.0,44.902,82837.0,0.862,7798.0,,14.0,16.244,1.294,8.0,6.181,88684.0,0.344,971.0,3.0,8.732,239.0,8.0,8.112,0.986
76,SPRINGHILL MEDICAL CENTER (010144),2014,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,1.262,,9.0,7.131,5865.0,0.268,8.0,29.899,39422.0,0.127,5251.0,,1.0,7.878,0.507,1.0,1.972,40712.0,,93.0,1.0,0.888,124.0,5.0,4.053,1.234
77,JACKSONVILLE MEDICAL CENTER (010146),2014,Acute Care,Proprietary,65.0,,,AL,,,0.0,0.562,432.0,0.0,0.0,1.973,4524.0,,53.0,,0.0,0.081,,0.0,0.175,4858.0,,12.0,0.0,0.169,4.0,1.0,0.119,
78,EVERGREEN MEDICAL CENTER (010148),2014,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,,,,,,0.0,0.0,1.643,3767.0,,,,,,,0.0,0.164,3767.0,,,,,,,,
79,BAPTIST MEDICAL CENTER EAST (010149),2014,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,0.47,,2.0,4.258,2129.0,0.382,11.0,28.781,44762.0,0.285,1826.0,,1.0,3.514,0.0,0.0,1.998,49024.0,0.0,460.0,0.0,5.239,112.0,0.0,3.819,0.0
80,BIRMINGHAM VA MEDICAL CENTER (01014F),2014,Acute Care (VA),Government - Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,L V STABLER MEMORIAL HOSPITAL (010150),2014,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,,,0.0,0.517,397.0,0.0,0.0,2.739,5114.0,,14.0,,0.0,0.021,,0.0,0.465,5114.0,,,,,7.0,0.0,0.229,
82,SHOALS HOSPITAL (010157),2014,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,0.74,,1.0,1.352,676.0,0.249,2.0,8.035,16114.0,,374.0,,1.0,0.711,,0.0,0.921,16114.0,,4.0,0.0,0.055,30.0,2.0,1.073,1.864
83,RUSSELLVILLE HOSPITAL (010158),2014,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,,,2.0,0.861,662.0,1.412,6.0,4.248,5795.0,,150.0,,0.0,0.227,,2.0,0.323,5795.0,,6.0,0.0,0.072,12.0,0.0,0.401,
84,COOSA VALLEY MEDICAL CENTER (010164),2014,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,0.0,,0.0,1.672,1286.0,0.591,3.0,5.078,10812.0,,611.0,,0.0,0.918,,0.0,0.494,11482.0,,26.0,0.0,0.396,29.0,0.0,0.976,
85,JACK HUGHSTON MEMORIAL HOSPITAL (010168),2014,Acute Care,Government - State,52.0,32.509045,-85.005696,AL,,,,,,0.0,0.0,2.589,5938.0,,,,,,,1.0,0.213,5938.0,,,,,,,,
86,ATMORE COMMUNITY HOSPITAL (010169),2014,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,,,1.0,0.543,418.0,1.003,2.0,1.994,4414.0,,96.0,,0.0,0.145,,1.0,0.158,4414.0,,,,,,,,
87,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY (01019F),2014,Acute Care (VA),Government - Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,WASHINGTON COUNTY HOSPITAL (011300),2014,Critical Access,Proprietary,103.0,31.460296,-88.235291,AL,,,,,,,1.0,0.659,1370.0,,,,,,,0.0,0.049,1370.0,,,,,,,,
89,RED BAY HOSPITAL (011302),2014,Critical Access,Government - Hospital District or Authority,25.0,34.457425,-88.146934,AL,,,,,,,0.0,0.186,502.0,,,,,,,0.0,0.018,502.0,,,,,,,,
90,CHOCTAW GENERAL HOSPITAL (011304),2014,Critical Access,Voluntary non-profit - Private,25.0,,,AL,,,,,,,,,,,,,,,,,,,,,,,,,,
91,UNIVERSITY OF S A CHILDREN'S AND WOMEN'S HOS (013301),2014,Childrens,Government - State,261.0,30.696082,-88.076883,AL,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PROVIDENCE ALASKA MEDICAL CENTER (020001),2014,Acute Care,Voluntary non-profit - Church,394.0,61.189798,-149.817622,AK,0.59,,6.0,10.167,6362.0,0.749,31.0,41.395,66023.0,0.523,7593.0,,6.0,11.473,0.0,0.0,2.571,71758.0,0.0,203.0,0.0,2.004,177.0,1.0,5.663,0.177
93,MAT-SU REGIONAL MEDICAL CENTER (020006),2014,Acute Care,Voluntary non-profit - Private,90.0,61.561217,-149.258718,AK,0.0,,0.0,1.347,1036.0,0.783,4.0,5.109,11328.0,0.0,666.0,,0.0,1.0,,0.0,0.505,11328.0,,6.0,0.0,0.072,58.0,0.0,1.79,0.0
