,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI (SIR),CAUTI Observed Cases,CAUTI Predicted Cases,CAUTI Urinary Catheter Days,CDIFF (SIR),CDIFF Observed Cases,CDIFF Predicted Cases,CDIFF patient days,CLABSI (SIR),CLABSI Number of Device Days,CLABSI Observed Cases,CLABSI Predicted Cases,MRSA (SIR),MRSA Observed Cases,MRSA Predicted Cases,MRSA patient days,SSI Abdominal Hysterectomy,SSI Abdominal Number of Procedures,SSI Abdominal Observed Cases,SSI Abdominal Predicted Cases,SSI Colon Number of Procedures,SSI Colon Observed Cases,SSI Colon Predicted Cases,SSI Colon Surgery (SIR)
17,CULLMAN REGIONAL MEDICAL CENTER (010035),2020,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,0.558,3.0,5.373,7583.0,0.07,1.0,14.312,29939.0,0.0,3117.0,0.0,2.147,0.726,1.0,1.377,31346.0,,37.0,0.0,0.326,46.0,1.0,1.22,0.82
18,ANDALUSIA HEALTH (010036),2020,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,0.0,0.0,1.143,2099.0,0.41,2.0,4.88,13480.0,,28.0,0.0,0.018,,1.0,0.532,14434.0,,2.0,0.0,0.02,12.0,0.0,0.313,
19,STRINGFELLOW MEMORIAL HOSPITAL (010038),2020,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,0.918,1.0,1.089,1822.0,0.0,0.0,3.351,11634.0,,884.0,1.0,0.576,,0.0,0.217,11634.0,,1.0,0.0,0.01,11.0,0.0,0.321,
20,HUNTSVILLE HOSPITAL (010039),2020,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,0.52,21.0,40.355,25100.0,0.486,107.0,220.268,236600.0,0.828,21188.0,20.0,24.144,1.307,27.0,20.662,264215.0,0.144,790.0,1.0,6.937,591.0,11.0,15.956,0.689
21,GADSDEN REGIONAL MEDICAL CENTER (010040),2020,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,0.156,2.0,12.823,13031.0,0.102,3.0,29.405,64498.0,0.939,6516.0,5.0,5.324,0.948,4.0,4.221,64498.0,,40.0,0.0,0.361,126.0,0.0,3.345,0.0
22,MARION REGIONAL MEDICAL CENTER (010044),2020,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,,0.0,0.043,130.0,,1.0,0.735,3964.0,,160.0,0.0,0.094,,0.0,0.051,3964.0,,,,,,,,
23,FAYETTE MEDICAL CENTER (010045),2020,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,,1.0,0.19,384.0,,1.0,0.758,4162.0,,125.0,0.0,0.074,,0.0,0.107,4162.0,,,,,4.0,0.0,0.086,
24,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2020,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,0.0,0.0,3.694,5156.0,0.321,4.0,12.455,24294.0,0.401,3612.0,1.0,2.492,,1.0,0.909,24294.0,,3.0,0.0,0.019,44.0,1.0,1.207,0.829
25,MEDICAL CENTER ENTERPRISE (010049),2020,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,0.0,0.0,1.015,1964.0,0.843,3.0,3.559,11056.0,,462.0,1.0,0.283,,1.0,0.427,11081.0,,107.0,2.0,0.978,29.0,0.0,0.771,
26,GREENE COUNTY HOSPITAL (010051),2020,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL,,0.0,0.013,24.0,,0.0,0.424,1805.0,,,,,,0.0,0.031,1805.0,,,,,,,,
27,LAKE MARTIN COMMUNITY HOSPITAL (010052),2020,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,,0.0,0.189,346.0,,0.0,0.365,1995.0,,,,,,0.0,0.035,1995.0,,,,,,,,
28,FLOWERS HOSPITAL (010055),2020,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,0.826,10.0,12.104,13329.0,0.373,9.0,24.107,53431.0,0.228,5483.0,1.0,4.392,0.375,1.0,2.665,53510.0,0.0,263.0,0.0,2.258,88.0,1.0,2.3,0.435
29,ST VINCENT'S BIRMINGHAM (010056),2020,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,0.518,8.0,15.445,15119.0,0.396,35.0,88.396,93535.0,0.776,11874.0,9.0,11.594,0.518,4.0,7.728,109719.0,0.588,434.0,2.0,3.402,386.0,3.0,9.752,0.308
30,BIBB MEDICAL CENTER (010058),2020,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,,1.0,0.249,418.0,1.726,2.0,1.159,3601.0,,152.0,0.0,0.101,,0.0,0.103,3601.0,,,,,,,,
31,LAWRENCE MEDICAL CENTER (010059),2020,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,,1.0,0.161,327.0,,0.0,0.553,2686.0,,75.0,0.0,0.043,,0.0,0.053,2686.0,,,,,,,,
32,HIGHLANDS MEDICAL CENTER (010061),2020,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,,1.0,0.812,1485.0,0.222,1.0,4.514,11900.0,,647.0,0.0,0.398,,0.0,0.402,12249.0,,16.0,0.0,0.182,4.0,0.0,0.089,
33,WIREGRASS MEDICAL CENTER (010062),2020,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,,0.0,0.305,588.0,0.0,0.0,1.327,4357.0,,196.0,0.0,0.118,,0.0,0.078,4357.0,,2.0,0.0,0.021,5.0,0.0,0.14,
34,RUSSELL MEDICAL CENTER (010065),2020,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,0.0,0.0,1.434,2465.0,0.0,0.0,2.036,5778.0,,255.0,0.0,0.185,,0.0,0.186,5778.0,,3.0,0.0,0.022,11.0,0.0,0.281,
35,MEDICAL CENTER BARBOUR (010069),2020,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,,0.0,0.425,833.0,0.732,1.0,1.366,3434.0,,241.0,0.0,0.148,,0.0,0.128,3604.0,,1.0,0.0,0.007,4.0,0.0,0.137,
36,CLAY COUNTY HOSPITAL (010073),2020,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,,1.0,0.187,337.0,,0.0,0.865,4293.0,,8.0,0.0,0.005,,0.0,0.114,4293.0,,,,,,,,
37,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER (010078),2020,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,1.293,5.0,3.866,5420.0,0.756,24.0,31.751,49973.0,1.647,2572.0,3.0,1.821,1.585,4.0,2.523,55223.0,0.0,175.0,0.0,1.689,157.0,4.0,4.496,0.89
38,ATHENS LIMESTONE HOSPITAL (010079),2020,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,1.67,3.0,1.796,3370.0,0.773,19.0,24.591,15407.0,,1347.0,1.0,0.827,,0.0,0.829,16233.0,,45.0,1.0,0.487,41.0,0.0,1.108,0.0
39,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2020,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,0.304,1.0,3.292,3681.0,0.338,6.0,17.752,24719.0,0.0,2212.0,0.0,1.905,1.737,3.0,1.727,24719.0,,2.0,0.0,0.016,35.0,0.0,0.854,
40,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS (010085),2020,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,0.574,5.0,8.714,10286.0,0.786,15.0,19.081,45435.0,1.85,4029.0,6.0,3.244,1.078,3.0,2.783,45435.0,,29.0,0.0,0.202,147.0,1.0,3.908,0.256
41,NORTHWEST MEDICAL CENTER (010086),2020,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,,0.0,0.306,621.0,1.048,2.0,1.909,3389.0,,195.0,0.0,0.113,,0.0,0.116,3389.0,,,,,,,,
42,USA HEALTH UNIVERSITY HOSPITAL (010087),2020,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,0.323,5.0,15.464,7959.0,0.525,20.0,38.097,61242.0,0.724,8486.0,8.0,11.056,0.447,2.0,4.472,61242.0,,69.0,3.0,0.727,252.0,2.0,7.889,0.254
43,WALKER BAPTIST MEDICAL CENTER (010089),2020,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,0.287,1.0,3.487,4204.0,0.216,3.0,13.899,23295.0,0.755,1710.0,1.0,1.324,0.935,1.0,1.07,23295.0,,75.0,0.0,0.675,31.0,0.0,0.848,
44,PROVIDENCE HOSPITAL (010090),2020,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,0.0,0.0,9.534,7955.0,0.577,29.0,50.285,69521.0,0.57,6278.0,3.0,5.26,0.402,2.0,4.973,72650.0,0.0,165.0,0.0,1.456,119.0,1.0,3.091,0.324
45,GROVE HILL MEMORIAL HOSPITAL (010091),2020,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,,1.0,0.146,269.0,,0.0,0.555,2946.0,,22.0,0.0,0.012,,0.0,0.083,3423.0,,5.0,0.0,0.04,,,,
46,D C H REGIONAL MEDICAL CENTER (010092),2020,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,0.842,31.0,36.828,27531.0,0.724,67.0,92.52,138663.0,0.647,28954.0,20.0,30.904,1.757,14.0,7.97,159531.0,1.361,372.0,5.0,3.674,290.0,5.0,8.426,0.593
47,HALE COUNTY HOSPITAL (010095),2020,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,,0.0,0.014,24.0,,0.0,0.283,1385.0,,,,,,0.0,0.027,1385.0,,,,,,,,
48,ELMORE COMMUNITY HOSPITAL (010097),2020,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,,,,,,0.0,0.894,3666.0,,,,,,0.0,0.068,3666.0,,,,,,,,
49,D W MCMILLAN MEMORIAL HOSPITAL (010099),2020,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,,0.0,0.483,873.0,0.471,1.0,2.123,5804.0,,296.0,1.0,0.179,,0.0,0.215,6527.0,,29.0,0.0,0.283,25.0,1.0,0.709,
50,THOMAS HOSPITAL (010100),2020,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,0.597,3.0,5.027,6487.0,0.368,6.0,16.289,40651.0,0.515,5571.0,2.0,3.887,1.271,2.0,1.573,44636.0,0.0,214.0,0.0,1.627,117.0,3.0,2.993,1.002
51,CITIZENS BAPTIST MEDICAL CENTER (010101),2020,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,,1.0,0.686,1312.0,0.0,0.0,2.122,7728.0,,708.0,1.0,0.433,,0.0,0.167,7728.0,,,,,3.0,0.0,0.11,
52,J PAUL JONES HOSPITAL (010102),2020,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL,,0.0,0.032,59.0,,0.0,0.067,417.0,,4.0,0.0,0.002,,0.0,0.007,417.0,,,,,,,,
53,PRINCETON BAPTIST MEDICAL CENTER (010103),2020,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,0.335,6.0,17.897,14301.0,0.326,13.0,39.936,68982.0,0.524,14180.0,7.0,13.352,1.507,9.0,5.972,70774.0,,45.0,2.0,0.451,180.0,1.0,4.987,0.201
54,GRANDVIEW MEDICAL CENTER (010104),2020,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,0.994,30.0,30.173,17904.0,0.482,36.0,74.653,104444.0,0.321,17520.0,6.0,18.714,0.513,5.0,9.742,107494.0,0.648,178.0,1.0,1.544,256.0,2.0,6.836,0.293
55,PRATTVILLE BAPTIST HOSPITAL (010108),2020,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,1.826,2.0,1.095,2157.0,0.698,6.0,8.592,13829.0,,953.0,1.0,0.569,,1.0,0.39,13829.0,,,,,,,,
56,PICKENS COUNTY MEDICAL CENTER (010109),2020,Acute Care,Government - Hospital District or Authority,49.0,33.274807,-88.089673,AL,,0.0,0.075,152.0,,0.0,0.598,2622.0,,72.0,0.0,0.042,,0.0,0.052,2622.0,,,,,,,,
57,BULLOCK COUNTY HOSPITAL (010110),2020,Acute Care,Proprietary,54.0,32.146182,-85.71638,AL,,0.0,0.03,54.0,,0.0,0.493,2676.0,,,,,,0.0,0.063,2676.0,,,,,,,,
58,WHITFIELD REGIONAL HOSPITAL (010112),2020,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,,0.0,0.424,812.0,1.195,2.0,1.674,5600.0,,45.0,0.0,0.03,,1.0,0.165,5600.0,,,,,5.0,0.0,0.128,
59,MOBILE INFIRMARY MEDICAL CENTER (010113),2020,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,0.921,19.0,20.635,16839.0,0.268,18.0,67.088,139660.0,1.026,19077.0,16.0,15.591,0.585,7.0,11.968,142380.0,4.525,233.0,10.0,2.21,280.0,9.0,7.913,1.137
60,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2020,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,0.756,7.0,9.265,9269.0,0.143,2.0,14.019,31706.0,0.542,7837.0,4.0,7.383,0.405,1.0,2.471,32589.0,,11.0,0.0,0.113,77.0,1.0,2.119,0.472
61,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2020,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,0.0,0.0,1.827,2414.0,0.146,1.0,6.833,14367.0,,774.0,0.0,0.634,,1.0,0.824,15486.0,,40.0,1.0,0.429,17.0,0.0,0.452,
62,MONROE COUNTY HOSPITAL (010120),2020,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,,0.0,0.297,568.0,,0.0,0.982,2842.0,,179.0,0.0,0.109,,0.0,0.114,2842.0,,,,,2.0,0.0,0.053,
63,LAKELAND COMMUNITY HOSPITAL (010125),2020,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,,0.0,0.195,391.0,0.0,0.0,1.177,5938.0,,182.0,0.0,0.105,,0.0,0.117,5938.0,,,,,,,,
64,TROY REGIONAL MEDICAL CENTER (010126),2020,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,,0.0,0.512,965.0,0.0,0.0,2.152,6915.0,,373.0,0.0,0.245,,0.0,0.226,6915.0,,7.0,0.0,0.047,19.0,0.0,0.488,
65,JACKSON MEDICAL CENTER (010128),2020,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,,0.0,0.136,279.0,,0.0,0.454,2219.0,,384.0,0.0,0.223,,0.0,0.052,2219.0,,,,,,,,
66,NORTH BALDWIN INFIRMARY (010129),2020,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,,1.0,0.388,706.0,0.0,0.0,1.003,4406.0,,377.0,0.0,0.229,,0.0,0.106,5033.0,,38.0,0.0,0.439,20.0,2.0,0.573,
67,ST VINCENT'S ST CLAIR (010130),2020,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,,0.0,0.713,1297.0,0.294,1.0,3.404,6589.0,,900.0,0.0,0.544,,0.0,0.241,7958.0,,2.0,0.0,0.024,11.0,0.0,0.311,
68,CRESTWOOD MEDICAL CENTER (010131),2020,Acute Care,Proprietary,163.0,,,AL,0.291,1.0,3.439,4925.0,0.645,19.0,29.465,41619.0,2.299,2502.0,4.0,1.74,0.687,1.0,1.456,42952.0,3.581,299.0,9.0,2.513,95.0,0.0,2.543,0.0
69,HILL HOSPITAL OF SUMTER COUNTY (010138),2020,Acute Care,Voluntary non-profit - Other,33.0,32.491825,-88.296081,AL,,,,,,0.0,0.792,4865.0,,,,,,0.0,0.115,4865.0,,,,,,,,
70,BROOKWOOD BAPTIST MEDICAL CENTER (010139),2020,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,1.001,6.0,5.996,5439.0,0.623,32.0,51.327,65509.0,0.895,5369.0,5.0,5.586,1.585,7.0,4.417,65509.0,0.291,896.0,2.0,6.881,179.0,3.0,4.873,0.616
71,SPRINGHILL MEDICAL CENTER (010144),2020,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,0.792,3.0,3.788,5269.0,0.228,6.0,26.33,60057.0,1.103,6146.0,5.0,4.533,1.361,5.0,3.674,63598.0,0.37,318.0,1.0,2.703,118.0,1.0,3.148,0.318
72,EVERGREEN MEDICAL CENTER (010148),2020,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,,0.0,0.062,126.0,1.784,2.0,1.121,5295.0,,,,,,0.0,0.151,5295.0,,,,,,,,
73,BAPTIST MEDICAL CENTER EAST (010149),2020,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,1.749,9.0,5.145,5973.0,0.628,19.0,30.252,45306.0,2.075,4717.0,10.0,4.819,1.567,5.0,3.19,61022.0,0.816,538.0,4.0,4.9,190.0,0.0,5.453,0.0
74,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL (010150),2020,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,,0.0,0.425,818.0,0.0,0.0,1.959,5836.0,,101.0,1.0,0.064,,1.0,0.286,5836.0,,,,,9.0,0.0,0.211,
75,SHOALS HOSPITAL (010157),2020,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,,1.0,0.125,195.0,0.0,0.0,2.202,8068.0,,182.0,0.0,0.115,,0.0,0.26,8068.0,,,,,,,,
76,RUSSELLVILLE HOSPITAL (010158),2020,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,,0.0,0.71,1382.0,0.0,0.0,2.669,6309.0,,687.0,0.0,0.414,,0.0,0.152,6309.0,,2.0,0.0,0.016,16.0,1.0,0.467,
77,COOSA VALLEY MEDICAL CENTER (010164),2020,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,0.0,0.0,1.796,2471.0,0.0,0.0,7.377,21231.0,,760.0,0.0,0.467,,0.0,0.637,22405.0,,29.0,0.0,0.271,18.0,0.0,0.472,
78,JACK HUGHSTON MEMORIAL HOSPITAL (010168),2020,Acute Care,Government - State,52.0,32.509045,-85.005696,AL,,,,,1.609,2.0,1.243,6588.0,,,,,,0.0,0.13,6588.0,,,,,,,,
79,ATMORE COMMUNITY HOSPITAL (010169),2020,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,,0.0,0.302,588.0,0.0,0.0,1.767,6239.0,,478.0,0.0,0.287,,0.0,0.14,6239.0,,,,,6.0,0.0,0.163,
80,ST VINCENT'S CHILTON (010173),2020,Acute Care,Voluntary non-profit - Church,26.0,32.876585,-86.623511,AL,,0.0,0.142,281.0,0.0,0.0,1.167,3460.0,,121.0,0.0,0.072,,0.0,0.064,3460.0,,,,,,,,
81,WASHINGTON COUNTY HOSPITAL (011300),2020,Critical Access,Proprietary,103.0,31.460296,-88.235291,AL,,,,,,0.0,0.581,2632.0,,,,,,0.0,0.055,2632.0,,,,,,,,
82,RED BAY HOSPITAL (011302),2020,Critical Access,Government - Hospital District or Authority,25.0,34.457425,-88.146934,AL,,0.0,0.271,111.0,,0.0,0.599,2226.0,,114.0,0.0,0.031,,0.0,0.046,2226.0,,,,,,,,
83,CHOCTAW GENERAL HOSPITAL (011304),2020,Critical Access,Voluntary non-profit - Private,25.0,,,AL,,0.0,0.153,235.0,,,,,,74.0,0.0,0.02,,,,,,,,,,,,
84,ST VINCENTS BLOUNT (011305),2020,Critical Access,Voluntary non-profit - Private,25.0,33.932537,-86.493059,AL,,0.0,0.897,367.0,2.298,4.0,1.741,4366.0,,172.0,0.0,0.047,,0.0,0.091,4366.0,,,,,,,,
85,USA HEALTH CHILDREN'S & WOMEN'S HOSPITAL (013301),2020,Childrens,Government - State,261.0,30.696082,-88.076883,AL,,0.0,0.101,92.0,0.427,9.0,21.055,43254.0,1.11,8626.0,16.0,14.42,1.977,5.0,2.529,65668.0,1.309,150.0,2.0,1.528,3.0,0.0,0.11,
86,PROVIDENCE ALASKA MEDICAL CENTER (020001),2020,Acute Care,Voluntary non-profit - Church,394.0,61.189798,-149.817622,AK,1.093,9.0,8.234,7230.0,0.742,36.0,48.536,81874.0,0.837,11401.0,10.0,11.946,0.512,4.0,7.814,95579.0,0.656,173.0,1.0,1.524,153.0,9.0,4.494,2.003
87,MAT-SU REGIONAL MEDICAL CENTER (020006),2020,Acute Care,Voluntary non-profit - Private,90.0,61.561217,-149.258718,AK,0.0,0.0,2.367,3920.0,0.365,4.0,10.96,22980.0,0.0,3700.0,0.0,2.421,,1.0,0.995,22980.0,,47.0,0.0,0.391,87.0,0.0,2.115,0.0
88,BARTLETT REGIONAL HOSPITAL (020008),2020,Acute Care,Government - Local,58.0,58.328696,-134.466829,AK,,1.0,0.306,610.0,0.433,2.0,4.624,8156.0,,261.0,0.0,0.155,,1.0,0.419,8816.0,,11.0,0.0,0.07,24.0,0.0,0.683,
89,FAIRBANKS MEMORIAL HOSPITAL (020012),2020,Acute Care,Voluntary non-profit - Other,213.0,64.831407,-147.736254,AK,1.489,2.0,1.343,1905.0,0.296,3.0,10.15,17117.0,,1079.0,0.0,0.738,,0.0,0.8,19259.0,,26.0,0.0,0.247,79.0,4.0,2.077,1.926
90,ALASKA REGIONAL HOSPITAL (020017),2020,Acute Care,Proprietary,169.0,61.20979,-149.827379,AK,2.32,7.0,3.017,3730.0,0.541,8.0,14.789,39792.0,0.504,4932.0,2.0,3.966,0.85,2.0,2.354,40750.0,0.479,232.0,1.0,2.087,136.0,8.0,3.535,2.263
91,YUKON KUSKOKWIM DELTA REG HOSPITAL (020018),2020,Acute Care,Tribal,34.0,,,AK,,0.0,0.078,158.0,,0.0,0.698,4254.0,,24.0,0.0,0.013,,0.0,0.08,4512.0,,,,,,,,
