,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI (SIR),CAUTI Number of Procedures,CAUTI Observed Cases,CAUTI Predicted Cases,CAUTI Urinary Catheter Days,CDIFF (SIR),CDIFF Observed Cases,CDIFF Predicted Cases,CDIFF patient days,CLABSI (SIR),CLABSI Number of Device Days,CLABSI Number of Procedures,CLABSI Observed Cases,CLABSI Predicted Cases,MRSA (SIR),MRSA Observed Cases,MRSA Predicted Cases,MRSA patient days,SSI Abdominal Hysterectomy,SSI Abdominal Number of Procedures,SSI Abdominal Observed Cases,SSI Abdominal Predicted Cases,SSI Colon Number of Procedures,SSI Colon Observed Cases,SSI Colon Predicted Cases,SSI Colon Surgery (SIR)
43,WALKER BAPTIST MEDICAL CENTER (010089),2023,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,0.524,,2.0,3.818,5396.0,0.409,5.0,12.234,22026.0,0.637,2231.0,,1.0,1.571,5.128,6.0,1.17,22026.0,,86.0,0.0,0.843,41.0,1.0,1.098,0.911
44,PROVIDENCE HOSPITAL (010090),2023,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,0.433,,5.0,11.539,9425.0,0.61,26.0,42.626,63562.0,0.186,6423.0,,1.0,5.364,0.36,2.0,5.563,66132.0,0.0,149.0,0.0,1.288,102.0,3.0,2.645,1.134
45,GROVE HILL MEMORIAL HOSPITAL (010091),2023,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,,,0.0,0.138,252.0,,0.0,0.393,1727.0,,29.0,,0.0,0.017,,0.0,0.036,2003.0,,1.0,0.0,0.009,,,,
46,DCH REGIONAL MEDICAL CENTER (010092),2023,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,0.477,,12.0,25.166,19098.0,0.551,39.0,70.81,108764.0,1.788,17565.0,,33.0,18.455,1.033,12.0,11.615,123453.0,1.306,368.0,5.0,3.829,253.0,5.0,7.423,0.674
47,HALE COUNTY HOSPITAL (010095),2023,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,,,0.0,0.034,61.0,,1.0,0.134,825.0,,,,,,,0.0,0.014,825.0,,,,,,,,
48,ELMORE COMMUNITY HOSPITAL (010097),2023,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,,,,,,,0.0,0.901,3951.0,,,,,,,0.0,0.078,3951.0,,,,,,,,
49,D W MCMILLAN MEMORIAL HOSPITAL (010099),2023,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,,,2.0,0.742,1348.0,0.559,1.0,1.789,5610.0,,379.0,,1.0,0.238,,0.0,0.287,6065.0,,23.0,0.0,0.187,14.0,1.0,0.377,
50,THOMAS HOSPITAL (010100),2023,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,1.414,,10.0,7.074,8898.0,0.284,5.0,17.631,47904.0,0.614,6710.0,,3.0,4.884,0.984,2.0,2.033,54181.0,,119.0,1.0,0.893,119.0,5.0,3.125,1.6
51,CITIZENS BAPTIST MEDICAL CENTER (010101),2023,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,,,1.0,0.638,1157.0,1.521,3.0,1.972,5833.0,,559.0,,0.0,0.351,,0.0,0.167,5833.0,,,,,1.0,0.0,0.032,
52,J PAUL JONES HOSPITAL (010102),2023,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL,,,0.0,0.014,25.0,,0.0,0.063,386.0,,10.0,,0.0,0.006,,0.0,0.007,386.0,,,,,,,,
53,PRINCETON BAPTIST MEDICAL CENTER (010103),2023,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,0.149,,2.0,13.39,13296.0,0.207,7.0,33.876,52507.0,0.451,11457.0,,5.0,11.083,1.738,7.0,4.028,54382.0,,29.0,1.0,0.339,90.0,2.0,2.513,0.796
54,GRANDVIEW MEDICAL CENTER (010104),2023,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,0.954,,30.0,31.46,18840.0,0.3,24.0,79.968,114861.0,0.602,18500.0,,12.0,19.943,0.552,6.0,10.869,119941.0,0.838,295.0,2.0,2.387,364.0,5.0,9.772,0.512
55,PRATTVILLE BAPTIST HOSPITAL (010108),2023,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,0.586,,1.0,1.707,3320.0,0.515,3.0,5.821,15260.0,,1312.0,,3.0,0.828,,0.0,0.355,15260.0,,,,,,,,
56,BULLOCK COUNTY HOSPITAL (010110),2023,Acute Care,Proprietary,54.0,32.146182,-85.71638,AL,,,0.0,0.002,3.0,,0.0,0.056,308.0,,,,,,,0.0,0.054,2314.0,,,,,,,,
57,WHITFIELD REGIONAL HOSPITAL (010112),2023,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,1.905,,2.0,1.05,2015.0,0.0,0.0,2.453,9627.0,,635.0,,1.0,0.426,,0.0,0.362,9627.0,,,,,1.0,1.0,0.028,
58,MOBILE INFIRMARY MEDICAL CENTER (010113),2023,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,0.609,,17.0,27.918,15398.0,0.323,24.0,74.271,134134.0,1.039,12676.0,,14.0,13.476,1.167,16.0,13.709,137082.0,1.586,261.0,4.0,2.522,309.0,8.0,8.676,0.922
59,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2023,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,1.187,,15.0,12.635,9914.0,0.814,12.0,14.743,34197.0,1.345,7706.0,,11.0,8.181,2.883,7.0,2.428,34875.0,,12.0,0.0,0.115,83.0,0.0,2.38,0.0
60,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2023,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,0.528,,1.0,1.893,3209.0,0.646,3.0,4.647,10083.0,,1218.0,,0.0,0.888,,1.0,0.676,12539.0,,18.0,0.0,0.173,13.0,0.0,0.322,
61,MONROE COUNTY HOSPITAL (010120),2023,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,,,0.0,0.451,859.0,0.0,0.0,1.008,3275.0,,395.0,,0.0,0.244,,0.0,0.109,3275.0,,,,,1.0,0.0,0.026,
62,LAKELAND COMMUNITY HOSPITAL (010125),2023,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,,,0.0,0.188,383.0,0.628,1.0,1.593,3858.0,,52.0,,0.0,0.03,,0.0,0.09,3858.0,,,,,,,,
63,TROY REGIONAL MEDICAL CENTER (010126),2023,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,,,0.0,0.534,998.0,0.0,0.0,1.326,5378.0,,373.0,,0.0,0.247,,0.0,0.162,5378.0,,,,,15.0,0.0,0.451,
64,JACKSON MEDICAL CENTER (010128),2023,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,,,0.0,0.079,162.0,,0.0,0.367,2018.0,,182.0,,0.0,0.106,,0.0,0.036,2018.0,,,,,,,,
65,NORTH BALDWIN INFIRMARY (010129),2023,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,,,0.0,0.698,1271.0,0.0,0.0,1.769,6190.0,,586.0,,2.0,0.362,,0.0,0.16,6696.0,,66.0,1.0,0.768,12.0,1.0,0.314,
66,ST VINCENT'S ST CLAIR (010130),2023,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,,,0.0,0.98,1777.0,0.754,6.0,7.956,10826.0,,1494.0,,1.0,0.926,,3.0,0.341,10826.0,,,,,7.0,0.0,0.19,
67,CRESTWOOD MEDICAL CENTER (010131),2023,Acute Care,Proprietary,163.0,,,AL,0.745,,2.0,2.686,3042.0,0.567,13.0,22.926,36241.0,1.275,1908.0,,2.0,1.569,0.0,0.0,2.852,37964.0,2.286,193.0,4.0,1.75,79.0,2.0,2.074,0.964
68,HILL HOSPITAL OF SUMTER COUNTY (010138),2023,Acute Care,Voluntary non-profit - Other,33.0,32.491825,-88.296081,AL,,,,,,,0.0,0.508,3121.0,,,,,,,0.0,0.072,3121.0,,,,,,,,
69,BROOKWOOD BAPTIST MEDICAL CENTER (010139),2023,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,0.635,,5.0,7.876,7320.0,0.411,16.0,38.889,55544.0,1.187,5989.0,,7.0,5.898,1.47,6.0,4.081,55544.0,0.282,845.0,2.0,7.096,186.0,4.0,4.966,0.805
70,SPRINGHILL MEDICAL CENTER (010144),2023,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,0.334,,1.0,2.993,4181.0,0.169,4.0,23.627,51837.0,1.1,4958.0,,4.0,3.638,0.933,4.0,4.287,54634.0,0.322,345.0,1.0,3.108,75.0,2.0,2.137,0.936
71,EVERGREEN MEDICAL CENTER (010148),2023,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,,,0.0,0.136,277.0,,0.0,0.767,4188.0,,,,,,,0.0,0.087,4488.0,,,,,,,,
72,BAPTIST MEDICAL CENTER EAST (010149),2023,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,0.888,,7.0,7.88,7578.0,0.498,12.0,24.104,52854.0,1.938,7552.0,,15.0,7.74,1.508,6.0,3.978,69372.0,0.847,649.0,5.0,5.9,195.0,0.0,5.52,0.0
73,BIRMINGHAM VA MEDICAL CENTER (01014F),2023,Acute Care (VA),Government - Federal,,,,,1.052,,6.0,5.706,4973.0,,,,,1.852,3077.0,,6.0,3.24,,,,,,,,,,,,
74,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL (010150),2023,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,,,0.0,0.583,1118.0,0.0,0.0,2.134,5711.0,,205.0,,0.0,0.129,,0.0,0.288,5711.0,,,,,3.0,0.0,0.07,
75,NORTH ALABAMA SHOALS HOSPITAL (010157),2023,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,,,0.0,0.138,253.0,0.0,0.0,1.442,7530.0,,361.0,,0.0,0.21,,1.0,0.241,7530.0,,,,,2.0,0.0,0.053,
76,SHOALS HOSPITAL (010157),2023,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,,,,,,,,,,,,,,,,,,,,,,,,,,
77,RUSSELLVILLE HOSPITAL (010158),2023,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,,,1.0,0.654,1287.0,0.0,0.0,1.651,4533.0,,675.0,,0.0,0.404,,0.0,0.089,4533.0,,,,,8.0,0.0,0.22,
78,COOSA VALLEY MEDICAL CENTER (010164),2023,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,0.0,,0.0,2.048,2821.0,0.0,0.0,6.241,16602.0,0.0,1543.0,,0.0,1.067,,0.0,0.492,17322.0,,20.0,0.0,0.189,25.0,0.0,0.76,
79,JACK HUGHSTON MEMORIAL HOSPITAL (010168),2023,Acute Care,Government - State,52.0,32.509045,-85.005696,AL,,,,,,1.747,2.0,1.145,6062.0,,,,,,,0.0,0.148,6062.0,,,,,,,,
80,ATMORE COMMUNITY HOSPITAL (010169),2023,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,,,1.0,0.558,1095.0,0.0,0.0,1.477,4657.0,,449.0,,0.0,0.274,,0.0,0.142,4657.0,,,,,3.0,0.0,0.049,
81,ST VINCENT'S CHILTON (010173),2023,Acute Care,Voluntary non-profit - Church,26.0,32.876585,-86.623511,AL,,,0.0,0.116,224.0,0.0,0.0,1.773,2757.0,,129.0,,0.0,0.079,,0.0,0.07,2757.0,,,,,2.0,0.0,0.051,
82,THOMASVILLE REGIONAL MEDICAL CENTER (010174),2023,Acute Care,Voluntary non-profit - Private,29.0,,,AL,,,0.0,0.133,168.0,,0.0,0.383,1519.0,,33.0,,0.0,0.025,,0.0,0.035,1519.0,,,,,,,,
83,EAMC-LANIER (010175),2023,Acute Care,Government - Hospital District or Authority,30.0,,,AL,,,0.0,0.177,326.0,,0.0,0.615,2538.0,,92.0,,0.0,0.054,,0.0,0.051,2538.0,,,,,,,,
84,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY (01019F),2023,Acute Care (VA),Government - Federal,,,,,,,0.0,0.475,529.0,,,,,,93.0,,0.0,0.083,,,,,,,,,,,,
85,WASHINGTON COUNTY HOSPITAL (011300),2023,Critical Access,Proprietary,103.0,31.460296,-88.235291,AL,,,0.0,0.047,71.0,,,,,,,,,,,,,,,,,,,,,
86,RED BAY HOSPITAL (011302),2023,Critical Access,Government - Hospital District or Authority,25.0,34.457425,-88.146934,AL,,,0.0,0.745,305.0,,1.0,0.623,2167.0,,331.0,,0.0,0.091,,0.0,0.045,2167.0,,,,,,,,
87,CHOCTAW GENERAL HOSPITAL (011304),2023,Critical Access,Voluntary non-profit - Private,25.0,,,AL,,,0.0,0.046,70.0,,,,,,11.0,,0.0,0.003,,,,,,,,,,,,
88,ST VINCENTS BLOUNT (011305),2023,Critical Access,Voluntary non-profit - Private,25.0,33.932537,-86.493059,AL,0.567,,1.0,1.764,722.0,1.566,3.0,1.916,4799.0,,338.0,,0.0,0.092,,0.0,0.099,4799.0,,,,,,,,
89,TANNER MEDICAL CENTER-EAST ALABAMA (011306),2023,Critical Access,Government - Hospital District or Authority,15.0,33.296666,-85.480028,AL,,,0.0,0.167,254.0,,0.0,0.601,2205.0,,13.0,,0.0,0.003,,0.0,0.046,2205.0,,,,,,,,
90,PROVIDENCE ALASKA MEDICAL CENTER (020001),2023,Acute Care,Voluntary non-profit - Church,394.0,61.189798,-149.817622,AK,0.869,,9.0,10.354,7803.0,0.199,8.0,40.159,88604.0,0.32,13920.0,,5.0,15.626,0.806,9.0,11.164,102579.0,2.632,133.0,3.0,1.14,152.0,8.0,4.062,1.969
91,MAT-SU REGIONAL MEDICAL CENTER (020006),2023,Acute Care,Voluntary non-profit - Private,90.0,61.561217,-149.258718,AK,0.0,,0.0,3.513,5092.0,0.101,1.0,9.903,26581.0,0.0,3846.0,,0.0,2.687,2.928,4.0,1.366,26581.0,,12.0,0.0,0.196,63.0,0.0,1.909,0.0
92,BARTLETT REGIONAL HOSPITAL (020008),2023,Acute Care,Government - Local,58.0,58.328696,-134.466829,AK,,,0.0,0.437,863.0,0.624,3.0,4.805,8705.0,,397.0,,0.0,0.237,,0.0,0.403,9302.0,,3.0,0.0,0.027,14.0,1.0,0.384,
