,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI (SIR),CAUTI Observed Cases,CAUTI Predicted Cases,CAUTI Urinary Catheter Days,CDIFF (SIR),CDIFF Observed Cases,CDIFF Predicted Cases,CDIFF patient days,CLABSI (SIR),CLABSI Number of Device Days,CLABSI Observed Cases,CLABSI Predicted Cases,MRSA (SIR),MRSA Observed Cases,MRSA Predicted Cases,MRSA patient days,SSI Abdominal Hysterectomy,SSI Abdominal Number of Procedures,SSI Abdominal Observed Cases,SSI Abdominal Predicted Cases,SSI Colon Number of Procedures,SSI Colon Observed Cases,SSI Colon Predicted Cases,SSI Colon Surgery (SIR)
53,GEORGIANA MEDICAL CENTER (010047),2018,Acute Care,Proprietary,22.0,,,AL,,0.0,0.146,269.0,,0.0,0.252,1547.0,,,,,,0.0,0.031,1547.0,,,,,,,,
54,MEDICAL CENTER ENTERPRISE (010049),2018,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,0.894,1.0,1.118,1638.0,0.0,0.0,2.621,8559.0,,205.0,1.0,0.14,,0.0,0.3,8593.0,,83.0,1.0,0.742,23.0,0.0,0.58,
55,MEDICAL CENTER ENTERPRISE (010049),2018,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,0.96,1.0,1.042,1619.0,0.0,0.0,2.628,8648.0,,181.0,0.0,0.123,,0.0,0.266,8683.0,,79.0,1.0,0.705,22.0,1.0,0.56,
56,GREENE COUNTY HOSPITAL (010051),2018,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL,,0.0,0.021,38.0,,0.0,0.135,745.0,,,,,,0.0,0.014,745.0,,,,,,,,
57,GREENE COUNTY HOSPITAL (010051),2018,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL,,0.0,0.021,38.0,,0.0,0.12,664.0,,,,,,0.0,0.013,664.0,,,,,,,,
58,LAKE MARTIN COMMUNITY HOSPITAL (010052),2018,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,,1.0,0.178,326.0,,0.0,0.248,941.0,,5.0,0.0,0.003,,0.0,0.016,928.0,,,,,,,,
59,LAKE MARTIN COMMUNITY HOSPITAL (010052),2018,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,,1.0,0.192,353.0,,0.0,0.364,1366.0,,8.0,0.0,0.005,,0.0,0.027,1366.0,,,,,,,,
60,FLOWERS HOSPITAL (010055),2018,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,0.871,10.0,11.481,12555.0,0.824,30.0,36.416,50362.0,0.471,5287.0,2.0,4.242,1.27,3.0,2.362,50362.0,0.93,249.0,2.0,2.151,126.0,1.0,3.411,0.293
61,FLOWERS HOSPITAL (010055),2018,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,0.72,9.0,12.5,13698.0,0.851,29.0,34.075,50339.0,0.465,5358.0,2.0,4.3,0.781,2.0,2.56,50339.0,1.299,264.0,3.0,2.31,120.0,1.0,3.218,0.311
62,ST VINCENT'S BIRMINGHAM (010056),2018,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,1.017,20.0,19.658,18751.0,0.518,48.0,92.697,104070.0,1.42,14531.0,20.0,14.084,0.678,6.0,8.851,117532.0,0.792,486.0,3.0,3.788,350.0,8.0,9.097,0.879
63,ST VINCENT'S BIRMINGHAM (010056),2018,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,1.074,21.0,19.561,18634.0,0.572,53.0,92.585,104217.0,0.923,14552.0,13.0,14.084,0.471,4.0,8.49,117796.0,0.265,490.0,1.0,3.767,348.0,6.0,9.033,0.664
64,BIBB MEDICAL CENTER (010058),2018,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,,0.0,0.234,430.0,,1.0,0.737,2811.0,,145.0,0.0,0.083,,0.0,0.05,2811.0,,,,,,,,
65,BIBB MEDICAL CENTER (010058),2018,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,,0.0,0.257,473.0,,1.0,0.827,3408.0,,204.0,0.0,0.118,,0.0,0.073,3408.0,,,,,,,,
66,LAWRENCE MEDICAL CENTER (010059),2018,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,,1.0,0.262,534.0,,0.0,0.747,3576.0,,218.0,0.0,0.127,,0.0,0.081,3576.0,,,,,,,,
67,LAWRENCE MEDICAL CENTER (010059),2018,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,,1.0,0.255,518.0,,1.0,0.691,3538.0,,195.0,0.0,0.114,,0.0,0.08,3538.0,,,,,,,,
68,HIGHLANDS MEDICAL CENTER (010061),2018,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,0.0,0.0,1.125,1546.0,1.134,9.0,7.937,11553.0,,830.0,0.0,0.507,,1.0,0.525,12266.0,,26.0,0.0,0.284,7.0,0.0,0.168,
69,HIGHLANDS MEDICAL CENTER (010061),2018,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,0.0,0.0,1.192,1783.0,0.737,5.0,6.785,11515.0,,844.0,1.0,0.522,,0.0,0.524,12213.0,,25.0,0.0,0.266,4.0,0.0,0.096,
70,WIREGRASS MEDICAL CENTER (010062),2018,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,,1.0,0.358,696.0,0.0,0.0,1.606,4866.0,,398.0,0.0,0.238,,0.0,0.096,4866.0,,5.0,0.0,0.068,13.0,0.0,0.379,
71,WIREGRASS MEDICAL CENTER (010062),2018,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,,1.0,0.367,711.0,0.0,0.0,1.675,4859.0,,396.0,0.0,0.24,,0.0,0.096,4859.0,,5.0,0.0,0.068,16.0,0.0,0.468,
72,RUSSELL MEDICAL CENTER (010065),2018,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,0.653,2.0,3.063,5261.0,1.162,4.0,3.441,9884.0,,668.0,0.0,0.481,,0.0,0.297,9884.0,,1.0,0.0,0.007,11.0,0.0,0.264,
73,RUSSELL MEDICAL CENTER (010065),2018,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,0.919,2.0,2.176,3785.0,1.295,4.0,3.089,9621.0,,511.0,0.0,0.367,,0.0,0.257,9621.0,,1.0,0.0,0.007,11.0,0.0,0.256,
74,MEDICAL CENTER BARBOUR (010069),2018,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,,0.0,0.578,1126.0,1.334,2.0,1.499,3847.0,,357.0,0.0,0.219,,0.0,0.15,3847.0,,,,,9.0,0.0,0.258,
75,MEDICAL CENTER BARBOUR (010069),2018,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,,0.0,0.593,1153.0,1.993,4.0,2.007,4082.0,,403.0,0.0,0.248,,0.0,0.149,4082.0,,,,,8.0,0.0,0.24,
76,CLAY COUNTY HOSPITAL (010073),2018,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,,0.0,0.202,368.0,,1.0,0.456,2213.0,,36.0,0.0,0.023,,0.0,0.039,2213.0,,,,,,,,
77,CLAY COUNTY HOSPITAL (010073),2018,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,,1.0,0.191,347.0,,1.0,0.494,2421.0,,42.0,0.0,0.028,,0.0,0.043,2421.0,,,,,1.0,0.0,0.038,
78,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER (010078),2018,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,0.844,5.0,5.923,7274.0,0.348,11.0,31.61,56161.0,1.484,3254.0,4.0,2.695,1.556,6.0,3.856,61053.0,,92.0,0.0,0.782,112.0,0.0,2.871,0.0
79,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER (010078),2018,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,0.179,1.0,5.58,6858.0,0.293,9.0,30.671,55527.0,2.343,3084.0,6.0,2.561,2.515,9.0,3.579,60525.0,,85.0,2.0,0.762,108.0,0.0,2.789,0.0
80,ATHENS LIMESTONE HOSPITAL (010079),2018,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,0.546,1.0,1.831,3441.0,0.534,6.0,11.244,15599.0,0.0,1661.0,0.0,1.014,,0.0,0.841,16600.0,,56.0,0.0,0.608,45.0,0.0,1.203,0.0
81,ATHENS LIMESTONE HOSPITAL (010079),2018,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,0.546,1.0,1.831,3446.0,0.521,6.0,11.515,16205.0,0.0,1694.0,0.0,1.034,,0.0,0.864,17174.0,,59.0,0.0,0.628,47.0,0.0,1.268,0.0
82,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2018,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,0.366,1.0,2.729,3841.0,0.492,9.0,18.298,26218.0,0.0,2500.0,0.0,1.8,1.864,2.0,1.073,26218.0,,10.0,0.0,0.089,40.0,0.0,0.913,
83,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2018,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,0.36,1.0,2.775,3910.0,0.383,8.0,20.895,26388.0,0.0,2506.0,0.0,1.801,,2.0,0.969,26388.0,,8.0,0.0,0.073,37.0,0.0,0.857,
84,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS (010085),2018,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,0.72,6.0,8.336,11788.0,0.345,7.0,20.286,55829.0,0.895,4843.0,3.0,3.352,1.978,6.0,3.033,56484.0,,102.0,0.0,0.885,136.0,0.0,3.506,0.0
85,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS (010085),2018,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,0.595,5.0,8.405,11880.0,0.432,9.0,20.813,56849.0,1.149,5034.0,4.0,3.482,1.891,6.0,3.173,57037.0,,100.0,0.0,0.869,129.0,0.0,3.347,0.0
86,NORTHWEST MEDICAL CENTER (010086),2018,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,,0.0,0.544,1089.0,0.0,0.0,2.05,4197.0,,339.0,0.0,0.2,,0.0,0.109,4197.0,,21.0,0.0,0.198,4.0,0.0,0.125,
87,NORTHWEST MEDICAL CENTER (010086),2018,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,,0.0,0.424,852.0,0.0,0.0,2.004,3907.0,,277.0,0.0,0.163,,0.0,0.102,3907.0,,23.0,0.0,0.216,3.0,0.0,0.096,
88,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER (010087),2018,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,1.396,15.0,10.746,6321.0,1.676,46.0,27.449,45027.0,0.545,5991.0,4.0,7.341,1.942,6.0,3.089,45027.0,,4.0,0.0,0.049,163.0,6.0,4.858,1.235
89,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER (010087),2018,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,1.234,13.0,10.538,6162.0,1.726,49.0,28.391,45981.0,0.117,6638.0,1.0,8.554,1.585,5.0,3.154,45981.0,,3.0,0.0,0.04,150.0,8.0,4.473,1.789
90,WALKER BAPTIST MEDICAL CENTER (010089),2018,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,0.295,1.0,3.392,4796.0,1.243,21.0,16.888,25297.0,0.0,1917.0,0.0,1.32,0.925,1.0,1.081,25297.0,,31.0,1.0,0.283,33.0,0.0,0.875,
