,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI (SIR),CAUTI Number of Procedures,CAUTI Observed Cases,CAUTI Predicted Cases,CAUTI Urinary Catheter Days,CDIFF (SIR),CDIFF Observed Cases,CDIFF Predicted Cases,CDIFF patient days,CLABSI (SIR),CLABSI Number of Device Days,CLABSI Number of Procedures,CLABSI Observed Cases,CLABSI Predicted Cases,MRSA (SIR),MRSA Observed Cases,MRSA Predicted Cases,MRSA patient days,SSI Abdominal Hysterectomy,SSI Abdominal Number of Procedures,SSI Abdominal Observed Cases,SSI Abdominal Predicted Cases,SSI Colon Number of Procedures,SSI Colon Observed Cases,SSI Colon Predicted Cases,SSI Colon Surgery (SIR)
10,DALE MEDICAL CENTER (010021),2015,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,,,1.0,0.931,716.0,0.38,2.0,5.264,11872.0,,235.0,,1.0,0.354,,1.0,0.479,11872.0,,,,,7.0,0.0,0.243,
11,CHEROKEE MEDICAL CENTER (010022),2015,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,,,,,,0.0,0.0,1.501,3442.0,,,,,,,0.0,0.123,3442.0,,,,,,,,
12,BAPTIST MEDICAL CENTER SOUTH (010023),2015,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,0.651,,18.0,27.671,10333.0,0.75,42.0,55.982,72363.0,0.479,9769.0,,12.0,25.055,1.768,6.0,3.393,84601.0,,88.0,0.0,0.94,130.0,3.0,4.739,0.633
13,JACKSON HOSPITAL & CLINIC INC (010024),2015,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,1.628,,16.0,9.825,7137.0,1.563,54.0,34.544,58288.0,0.741,5492.0,,6.0,8.102,0.874,3.0,3.434,61162.0,0.0,175.0,0.0,2.022,169.0,4.0,5.736,0.697
14,EAST ALABAMA MEDICAL CENTER (010029),2015,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,0.769,,5.0,6.5,4631.0,0.683,37.0,54.174,74890.0,1.556,3876.0,,9.0,5.783,2.264,9.0,3.976,79849.0,0.0,373.0,0.0,3.264,170.0,4.0,5.269,0.759
15,WEDOWEE HOSPITAL (010032),2015,Acute Care,Government - Hospital District or Authority,30.0,,,AL,,,,,,,0.0,0.611,1764.0,,,,,,,0.0,0.063,1764.0,,,,,,,,
16,UNIVERSITY OF ALABAMA HOSPITAL (010033),2015,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,1.337,,141.0,105.428,35234.0,0.697,189.0,271.349,298163.0,0.734,29362.0,,53.0,72.161,1.029,38.0,36.938,348487.0,0.394,765.0,4.0,10.146,501.0,13.0,19.486,0.667
17,COMMUNITY HOSPITAL INC (010034),2015,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,,,0.0,0.62,477.0,0.979,4.0,4.087,8679.0,,77.0,,0.0,0.116,,0.0,0.311,8679.0,,,,,9.0,0.0,0.293,
18,CULLMAN REGIONAL MEDICAL CENTER (010035),2015,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,0.0,,0.0,3.278,1639.0,0.076,1.0,13.133,26348.0,0.0,819.0,,0.0,1.556,1.596,2.0,1.253,27802.0,,48.0,0.0,0.58,63.0,3.0,2.026,1.481
19,ANDALUSIA REGIONAL HOSPITAL (010036),2015,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,0.0,,0.0,1.39,1069.0,0.304,2.0,6.568,14556.0,,133.0,,0.0,0.201,,0.0,0.599,15791.0,,13.0,0.0,0.218,18.0,0.0,0.634,
20,STRINGFELLOW MEMORIAL HOSPITAL (010038),2015,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,,,5.0,0.765,588.0,0.436,2.0,4.588,10521.0,,262.0,,1.0,0.394,,0.0,0.377,10521.0,,4.0,0.0,0.033,21.0,0.0,0.707,
21,HUNTSVILLE HOSPITAL (010039),2015,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,0.875,,36.0,41.162,15805.0,0.632,119.0,188.437,213279.0,0.797,11504.0,,19.0,23.846,0.98,19.0,19.392,241021.0,0.854,579.0,5.0,5.857,552.0,15.0,18.249,0.822
22,GADSDEN REGIONAL MEDICAL CENTER (010040),2015,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,0.182,,3.0,16.486,8686.0,0.961,49.0,50.965,72730.0,0.289,5328.0,,3.0,10.365,1.61,5.0,3.106,72730.0,0.0,106.0,0.0,1.092,135.0,0.0,4.709,0.0
23,MARION REGIONAL MEDICAL CENTER (010044),2015,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,,,,,,0.848,1.0,1.179,2434.0,,,,,,,0.0,0.087,2434.0,,,,,,,,
24,FAYETTE MEDICAL CENTER (010045),2015,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,,,0.0,0.311,240.0,1.404,3.0,2.136,4118.0,,72.0,,0.0,0.109,,0.0,0.254,4118.0,,,,,6.0,0.0,0.198,
25,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2015,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,1.591,,8.0,5.027,4189.0,0.932,29.0,31.118,37757.0,0.0,2708.0,,0.0,4.062,1.98,5.0,2.525,37757.0,,6.0,0.0,0.072,61.0,0.0,2.031,0.0
26,GEORGIANA MEDICAL CENTER (010047),2015,Acute Care,Proprietary,22.0,,,AL,,,,,,,0.0,0.887,2033.0,,,,,,,0.0,0.073,2033.0,,,,,,,,
27,MEDICAL CENTER ENTERPRISE (010049),2015,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,,,0.0,0.682,525.0,0.0,0.0,4.209,8575.0,,67.0,,0.0,0.101,,0.0,0.308,8600.0,0.974,90.0,1.0,1.027,28.0,2.0,0.946,
28,GREENE COUNTY HOSPITAL (010051),2015,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL,,,,,,,0.0,0.499,1299.0,,,,,,,0.0,0.047,1299.0,,,,,,,,
29,LAKE MARTIN COMMUNITY HOSPITAL (010052),2015,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,,,,,,,0.0,0.901,2252.0,,,,,,,0.0,0.088,2448.0,,,,,,,,
30,DECATUR MORGAN HOSPITAL-PARKWAY CAMPUS (010054),2015,Acute Care,Proprietary,114.0,,,AL,,,,,,0.8,1.0,1.25,2601.0,,,,,,,0.0,0.093,2601.0,,,,,,,,
31,FLOWERS HOSPITAL (010055),2015,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,1.477,,16.0,10.831,5068.0,0.698,20.0,28.635,45916.0,0.427,3516.0,,3.0,7.021,0.0,0.0,2.293,45916.0,0.605,150.0,1.0,1.653,117.0,3.0,4.038,0.743
32,ST VINCENT'S BIRMINGHAM (010056),2015,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,0.407,,7.0,17.216,9622.0,0.874,67.0,76.683,100402.0,0.343,7857.0,,5.0,14.559,1.052,10.0,9.502,115057.0,0.468,544.0,2.0,4.277,265.0,7.0,7.718,0.907
33,BIBB MEDICAL CENTER (010058),2015,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,,,,,,,0.0,0.547,1751.0,,,,,,,0.0,0.047,1751.0,,,,,,,,
34,LAWRENCE MEDICAL CENTER (010059),2015,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,,,,,,1.178,2.0,1.698,4058.0,,,,,,,0.0,0.279,4058.0,,,,,,,,
35,HIGHLANDS MEDICAL CENTER (010061),2015,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,0.0,,0.0,1.285,988.0,0.633,3.0,4.742,10147.0,,263.0,,0.0,0.395,,0.0,0.447,10609.0,,25.0,0.0,0.373,7.0,0.0,0.22,
36,WIREGRASS MEDICAL CENTER (010062),2015,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,,,0.0,0.151,116.0,0.499,1.0,2.005,4122.0,,37.0,,0.0,0.056,,0.0,0.207,4122.0,,1.0,0.0,0.02,3.0,0.0,0.097,
37,RUSSELL HOSPITAL (010065),2015,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,0.0,,0.0,7.275,5596.0,1.11,5.0,4.503,10325.0,0.0,814.0,,0.0,1.222,,0.0,0.37,10325.0,,2.0,0.0,0.019,19.0,1.0,0.613,
38,MEDICAL CENTER BARBOUR (010069),2015,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,,,0.0,0.548,422.0,,0.0,0.595,1365.0,,127.0,,0.0,0.191,,0.0,0.099,2764.0,,3.0,0.0,0.023,,,,
39,CLAY COUNTY HOSPITAL (010073),2015,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,,,0.0,0.66,330.0,0.0,0.0,1.193,2524.0,,,,,,,0.0,0.09,2524.0,,,,,,,,
40,NORTHEAST ALABAMA REGIONAL MED CENTER (010078),2015,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,1.188,,7.0,5.891,4307.0,0.645,32.0,49.643,60394.0,0.525,2575.0,,2.0,3.808,1.05,4.0,3.811,63801.0,0.0,77.0,0.0,1.001,129.0,1.0,4.382,0.228
41,ATHENS-LIMESTONE HOSPITAL (010079),2015,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,0.517,,1.0,1.936,1489.0,0.762,10.0,13.127,16529.0,,624.0,,2.0,0.937,0.0,0.0,1.293,17504.0,,29.0,0.0,0.385,21.0,0.0,0.746,
42,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2015,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,0.0,,0.0,2.665,2050.0,0.4,5.0,12.508,25676.0,0.0,1190.0,,0.0,1.786,0.0,0.0,1.23,25676.0,,74.0,0.0,0.723,23.0,0.0,0.745,
43,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS (010085),2015,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,0.0,,0.0,4.501,3462.0,0.609,13.0,21.333,39897.0,0.992,1344.0,,2.0,2.016,1.136,2.0,1.76,41611.0,1.374,163.0,2.0,1.456,132.0,0.0,4.381,0.0
44,NORTHWEST MEDICAL CENTER (010086),2015,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,,,1.0,0.467,359.0,0.844,3.0,3.553,6165.0,,81.0,,0.0,0.122,,0.0,0.221,6165.0,,13.0,0.0,0.145,1.0,1.0,0.029,
45,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER (010087),2015,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,1.493,,24.0,16.073,5079.0,0.512,16.0,31.25,39895.0,0.781,4227.0,,12.0,15.37,2.824,6.0,2.125,39895.0,,3.0,0.0,0.033,107.0,0.0,3.875,0.0
46,WALKER BAPTIST MEDICAL CENTER (010089),2015,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,1.671,,4.0,2.394,1841.0,0.793,18.0,22.709,33022.0,,539.0,,1.0,0.81,0.585,1.0,1.709,33022.0,,11.0,1.0,0.108,39.0,0.0,1.364,0.0
47,PROVIDENCE HOSPITAL (010090),2015,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,0.317,,9.0,28.398,10722.0,0.418,26.0,62.225,75964.0,0.06,8299.0,,1.0,16.594,1.726,7.0,4.055,80464.0,0.0,234.0,0.0,2.462,139.0,6.0,4.534,1.323
48,GROVE HILL MEMORIAL HOSPITAL (010091),2015,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,,,,,,0.0,0.0,2.188,4564.0,,,,,,,1.0,0.182,5088.0,,13.0,0.0,0.161,,,,
49,D C H REGIONAL MEDICAL CENTER (010092),2015,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,1.068,,34.0,31.846,13835.0,0.709,100.0,141.057,165784.0,0.354,12116.0,,10.0,28.225,1.286,18.0,13.992,182215.0,1.172,148.0,2.0,1.706,332.0,19.0,11.186,1.699
50,HALE COUNTY HOSPITAL (010095),2015,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,,,,,,,0.0,0.199,474.0,,,,,,,0.0,0.017,474.0,,,,,,,,
51,ELMORE COMMUNITY HOSPITAL (010097),2015,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,,,,,,0.0,0.0,1.311,3146.0,,,,,,,0.0,0.113,3146.0,,,,,,,,
52,D W MCMILLAN MEMORIAL HOSPITAL (010099),2015,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,,,0.0,0.981,755.0,0.703,2.0,2.847,6330.0,,230.0,,1.0,0.346,,1.0,0.358,7014.0,,11.0,0.0,0.09,31.0,2.0,0.9,
53,THOMAS HOSPITAL (010100),2015,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,0.434,,3.0,6.914,3051.0,0.457,8.0,17.521,34560.0,0.0,2452.0,,0.0,5.177,1.201,2.0,1.665,37296.0,0.852,144.0,1.0,1.174,125.0,2.0,3.703,0.54
54,CITIZENS BAPTIST MEDICAL CENTER (010101),2015,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,,,0.0,0.95,730.0,0.0,0.0,4.832,11081.0,,283.0,,2.0,0.426,,0.0,0.397,11081.0,,10.0,0.0,0.11,9.0,0.0,0.325,
55,J PAUL JONES HOSPITAL (010102),2015,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL,,,,,,,0.0,0.235,538.0,,,,,,,0.0,0.027,743.0,,,,,,,,
56,BAPTIST MEDICAL CENTER-PRINCETON (010103),2015,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,0.775,,18.0,23.217,9717.0,0.849,58.0,68.301,81075.0,0.489,8994.0,,8.0,16.358,2.588,15.0,5.797,81578.0,,51.0,0.0,0.616,190.0,1.0,6.43,0.156
57,TRINITY MEDICAL CENTER (010104),2015,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,0.742,,14.0,18.872,7744.0,0.836,46.0,55.027,66379.0,0.301,6890.0,,4.0,13.282,1.081,4.0,3.699,71121.0,,70.0,0.0,0.63,142.0,1.0,4.518,0.221
58,PRATTVILLE BAPTIST HOSPITAL (010108),2015,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,0.0,,0.0,1.226,943.0,0.969,9.0,9.288,12636.0,,329.0,,0.0,0.494,,0.0,0.999,12636.0,,,,,23.0,0.0,0.746,
59,PICKENS COUNTY MEDICAL CENTER (010109),2015,Acute Care,Government - Hospital District or Authority,49.0,33.274807,-88.089673,AL,,,,,,,0.0,0.603,2044.0,,,,,,,0.0,0.148,2044.0,,3.0,0.0,0.023,3.0,0.0,0.101,
60,BULLOCK COUNTY HOSPITAL (010110),2015,Acute Care,Proprietary,54.0,32.146182,-85.71638,AL,,,,,,0.0,0.0,4.504,10328.0,,,,,,,0.0,0.37,10328.0,,,,,,,,
61,BRYAN W. WHITFIELD MEMORIAL HOSPITAL (010112),2015,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,,,0.0,0.389,299.0,0.642,3.0,4.675,9232.0,,31.0,,0.0,0.048,,0.0,0.452,9524.0,,12.0,0.0,0.148,2.0,0.0,0.057,
62,MOBILE INFIRMARY (010113),2015,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,0.679,,22.0,32.393,12334.0,0.444,39.0,87.796,156624.0,0.667,9581.0,,14.0,20.987,1.422,15.0,10.547,159466.0,0.0,209.0,0.0,2.057,302.0,9.0,9.99,0.901
63,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2015,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,1.036,,8.0,7.722,3861.0,0.352,8.0,22.731,39132.0,0.814,2585.0,,4.0,4.911,0.742,2.0,2.695,40510.0,,69.0,0.0,0.903,71.0,2.0,2.474,0.808
64,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2015,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,0.294,,1.0,3.401,2616.0,0.585,5.0,8.54,16859.0,0.857,1555.0,,2.0,2.334,,0.0,0.947,18110.0,,39.0,0.0,0.525,40.0,3.0,1.486,2.019
65,MONROE COUNTY HOSPITAL (010120),2015,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,,,0.0,0.56,430.0,0.0,0.0,1.363,3250.0,,27.0,,0.0,0.042,,0.0,0.189,3250.0,,,,,6.0,0.0,0.215,
66,LAKELAND COMMUNITY HOSPITAL (010125),2015,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,,,0.0,0.119,91.0,1.279,3.0,2.346,5133.0,,7.0,,0.0,0.011,,0.0,0.231,5133.0,,,,,,,,
67,TROY REGIONAL MEDICAL CENTER (010126),2015,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,0.0,,0.0,1.506,753.0,0.0,0.0,2.527,6297.0,,318.0,,0.0,0.605,,0.0,0.226,6297.0,,38.0,0.0,0.349,4.0,0.0,0.142,
68,JACKSON MEDICAL CENTER (010128),2015,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,,,,,,,0.0,0.781,1791.0,,,,,,,0.0,0.064,1791.0,,,,,,,,
69,NORTH BALDWIN INFIRMARY (010129),2015,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,,,1.0,0.814,407.0,0.0,0.0,4.393,9372.0,,220.0,,0.0,0.419,,0.0,0.396,9896.0,,14.0,0.0,0.211,11.0,0.0,0.341,
70,ST VINCENT'S ST CLAIR (010130),2015,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,0.0,,0.0,1.236,618.0,1.195,8.0,6.697,8485.0,,354.0,,0.0,0.672,,0.0,0.253,7053.0,,,,,14.0,0.0,0.474,
71,CRESTWOOD MEDICAL CENTER (010131),2015,Acute Care,Proprietary,163.0,,,AL,0.987,,3.0,3.04,2533.0,0.23,10.0,43.45,81656.0,1.946,1369.0,,4.0,2.055,1.234,5.0,4.052,81737.0,,66.0,0.0,0.525,98.0,1.0,3.256,0.307
72,HILL HOSPITAL OF SUMTER COUNTY (010138),2015,Acute Care,Voluntary non-profit - Other,33.0,32.491825,-88.296081,AL,,,,,,,0.0,0.414,1296.0,,,,,,,0.0,0.046,1296.0,,,,,,,,
73,BROOKWOOD MEDICAL CENTER (010139),2015,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,1.409,,21.0,14.899,7452.0,0.421,36.0,85.541,129687.0,0.741,7562.0,,11.0,14.848,0.621,6.0,9.667,133851.0,0.129,809.0,1.0,7.737,197.0,6.0,6.589,0.911
74,SPRINGHILL MEMORIAL HOSPITAL (010144),2015,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,2.301,,20.0,8.69,6818.0,0.577,25.0,43.317,57180.0,0.518,6499.0,,5.0,9.652,1.702,5.0,2.938,58961.0,,70.0,0.0,0.707,124.0,9.0,4.13,2.179
75,RMC JACKSONVILLE (010146),2015,Acute Care,Proprietary,65.0,,,AL,,,0.0,0.07,54.0,0.286,1.0,3.493,7838.0,,12.0,,0.0,0.018,,0.0,0.301,8403.0,,6.0,0.0,0.077,2.0,0.0,0.059,
76,EVERGREEN MEDICAL CENTER (010148),2015,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,,,,,,0.0,0.0,2.212,4993.0,,,,,,,0.0,0.179,4994.0,,,,,,,,
77,BAPTIST MEDICAL CENTER EAST (010149),2015,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,0.445,,2.0,4.49,2245.0,0.342,7.0,20.493,33569.0,0.0,2465.0,,0.0,4.802,1.736,3.0,1.728,44587.0,0.699,500.0,4.0,5.724,126.0,0.0,4.265,0.0
78,BIRMINGHAM VA MEDICAL CENTER (01014F),2015,Acute Care (VA),Government - Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,L V STABLER MEMORIAL HOSPITAL (010150),2015,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,,,0.0,0.439,338.0,0.318,1.0,3.145,6460.0,,33.0,,0.0,0.05,,0.0,0.298,6460.0,,,,,3.0,0.0,0.095,
80,SHOALS HOSPITAL (010157),2015,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,,,2.0,0.878,439.0,0.418,4.0,9.561,19207.0,,283.0,,0.0,0.537,,1.0,0.728,19207.0,,8.0,1.0,0.098,16.0,0.0,0.516,
81,RUSSELLVILLE HOSPITAL (010158),2015,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,,,2.0,0.959,737.0,1.415,5.0,3.533,7240.0,,114.0,,1.0,0.172,,0.0,0.259,7240.0,,,,,13.0,0.0,0.444,
82,COOSA VALLEY MEDICAL CENTER (010164),2015,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,0.0,,0.0,1.643,1264.0,0.976,4.0,4.098,9698.0,,479.0,,0.0,0.72,,1.0,0.379,10587.0,,13.0,0.0,0.192,23.0,0.0,0.78,
83,JACK HUGHSTON MEMORIAL HOSPITAL (010168),2015,Acute Care,Government - State,52.0,32.509045,-85.005696,AL,,,,,,0.319,1.0,3.137,7194.0,,,,,,,0.0,0.29,7194.0,,,,,,,,
84,ATMORE COMMUNITY HOSPITAL (010169),2015,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,,,0.0,0.545,419.0,0.368,1.0,2.719,5927.0,,96.0,,0.0,0.145,,0.0,0.433,5927.0,,,,,,,,
85,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY (01019F),2015,Acute Care (VA),Government - Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,WASHINGTON COUNTY HOSPITAL (011300),2015,Critical Access,Proprietary,103.0,31.460296,-88.235291,AL,,,,,,0.0,0.0,1.234,2379.0,,,,,,,0.0,0.085,2379.0,,,,,,,,
87,RED BAY HOSPITAL (011302),2015,Critical Access,Government - Hospital District or Authority,25.0,34.457425,-88.146934,AL,,,,,,,,,,,,,,,,,,,,,,,,,,
88,CHOCTAW GENERAL HOSPITAL (011304),2015,Critical Access,Voluntary non-profit - Private,25.0,,,AL,,,,,,,,,,,,,,,,,,,,,,,,,,
89,UNIVERSITY OF S A CHILDREN'S AND WOMEN'S HOS (013301),2015,Childrens,Government - State,261.0,30.696082,-88.076883,AL,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PROVIDENCE ALASKA MEDICAL CENTER (020001),2015,Acute Care,Voluntary non-profit - Church,394.0,61.189798,-149.817622,AK,1.13,,12.0,10.618,6458.0,0.852,46.0,54.005,85684.0,0.682,8943.0,,10.0,14.653,0.0,0.0,3.456,96453.0,0.0,151.0,0.0,1.525,174.0,5.0,5.824,0.859
91,MAT-SU REGIONAL MEDICAL CENTER (020006),2015,Acute Care,Voluntary non-profit - Private,90.0,61.561217,-149.258718,AK,0.539,,1.0,1.854,1426.0,0.833,6.0,7.201,14887.0,0.0,781.0,,0.0,1.172,,0.0,0.697,14887.0,,9.0,0.0,0.066,61.0,2.0,1.763,1.134
92,BARTLETT REGIONAL HOSPITAL (020008),2015,Acute Care,Government - Local,58.0,58.328696,-134.466829,AK,,,0.0,0.258,198.0,0.272,1.0,3.681,8149.0,,98.0,,0.0,0.148,,0.0,0.492,8149.0,,6.0,0.0,0.042,23.0,0.0,0.674,
93,FAIRBANKS MEMORIAL HOSPITAL (020012),2015,Acute Care,Voluntary non-profit - Other,213.0,64.831407,-147.736254,AK,0.0,,0.0,1.012,778.0,0.588,7.0,11.898,17584.0,,469.0,,0.0,0.704,,1.0,0.901,21314.0,,74.0,0.0,0.799,78.0,2.0,2.653,0.754
