,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI (SIR),CAUTI Number of Procedures,CAUTI Observed Cases,CAUTI Predicted Cases,CAUTI Urinary Catheter Days,CDIFF (SIR),CDIFF Observed Cases,CDIFF Predicted Cases,CDIFF patient days,CLABSI (SIR),CLABSI Number of Device Days,CLABSI Number of Procedures,CLABSI Observed Cases,CLABSI Predicted Cases,MRSA (SIR),MRSA Observed Cases,MRSA Predicted Cases,MRSA patient days,SSI Abdominal Hysterectomy,SSI Abdominal Number of Procedures,SSI Abdominal Observed Cases,SSI Abdominal Predicted Cases,SSI Colon Number of Procedures,SSI Colon Observed Cases,SSI Colon Predicted Cases,SSI Colon Surgery (SIR)
13,BAPTIST MEDICAL CENTER SOUTH (010023),2021,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,1.568,,50.0,31.897,17860.0,0.638,36.0,56.44,85516.0,2.08,13255.0,,33.0,15.869,2.985,20.0,6.7,93644.0,,71.0,1.0,0.709,190.0,6.0,6.005,0.999
14,JACKSON HOSPITAL & CLINIC INC (010024),2021,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,0.974,,10.0,10.264,11848.0,1.168,51.0,43.667,69422.0,1.537,8649.0,,11.0,7.158,2.191,11.0,5.021,72683.0,,71.0,0.0,0.682,175.0,1.0,4.982,0.201
15,THE EAST ALABAMA HEALTHCARE AUTHORITY (010029),2021,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,0.92,,6.0,6.522,7658.0,0.662,34.0,51.393,78231.0,1.03,7122.0,,6.0,5.826,0.946,5.0,5.286,84069.0,0.346,357.0,1.0,2.892,172.0,6.0,4.631,1.296
16,EAST ALABAMA MEDICAL CENTER AND SNF (010029),2021,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,,,,,,,,,,,,,,,,,,,,,,,,,,
17,UNIVERSITY OF ALABAMA HOSPITAL (010033),2021,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,0.574,,52.0,90.52,47094.0,0.419,102.0,243.688,306816.0,0.858,44728.0,,45.0,52.462,1.54,58.0,37.661,358106.0,0.971,712.0,7.0,7.207,927.0,15.0,30.466,0.492
18,COMMUNITY HOSPITAL INC (010034),2021,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,,,0.0,0.259,527.0,0.0,0.0,2.174,5019.0,,93.0,,0.0,0.054,,0.0,0.107,5019.0,,,,,1.0,0.0,0.034,
19,CULLMAN REGIONAL MEDICAL CENTER (010035),2021,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,1.323,,8.0,6.047,8522.0,0.319,4.0,12.544,32101.0,0.0,3898.0,,0.0,2.697,1.271,2.0,1.573,33478.0,,38.0,0.0,0.354,53.0,2.0,1.373,1.457
20,ANDALUSIA HEALTH (010036),2021,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,0.808,,1.0,1.238,2267.0,0.525,2.0,3.807,11878.0,,17.0,,0.0,0.011,,2.0,0.463,12816.0,,6.0,0.0,0.05,24.0,0.0,0.603,
21,STRINGFELLOW MEMORIAL HOSPITAL (010038),2021,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,0.732,,1.0,1.366,2361.0,0.0,0.0,3.295,11466.0,,1085.0,,1.0,0.714,,0.0,0.214,11466.0,,,,,17.0,0.0,0.487,
22,HUNTSVILLE HOSPITAL (010039),2021,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,0.912,,41.0,44.96,28080.0,0.639,132.0,206.721,232489.0,1.209,22925.0,,31.0,25.638,1.081,25.0,23.126,262807.0,0.0,789.0,0.0,6.875,611.0,10.0,16.898,0.592
23,GADSDEN REGIONAL MEDICAL CENTER (010040),2021,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,0.075,,1.0,13.404,13716.0,0.108,3.0,27.877,62947.0,0.875,5539.0,,4.0,4.574,2.171,9.0,4.146,62947.0,,40.0,0.0,0.379,92.0,0.0,2.506,0.0
24,MARION REGIONAL MEDICAL CENTER (010044),2021,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,,,0.0,0.05,152.0,,1.0,0.634,3353.0,,203.0,,0.0,0.119,,0.0,0.044,3353.0,,,,,,,,
25,FAYETTE MEDICAL CENTER (010045),2021,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,,,0.0,0.223,450.0,2.338,3.0,1.283,4352.0,,144.0,,0.0,0.085,,0.0,0.132,4352.0,,,,,3.0,0.0,0.065,
26,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2021,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,0.0,,0.0,5.304,7433.0,0.399,6.0,15.039,28018.0,1.836,2362.0,,3.0,1.634,2.967,3.0,1.011,28018.0,,1.0,0.0,0.003,43.0,1.0,1.171,0.854
27,MEDICAL CENTER ENTERPRISE (010049),2021,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,0.0,,0.0,1.38,2672.0,0.495,2.0,4.043,12519.0,,904.0,,1.0,0.559,,0.0,0.573,12546.0,,60.0,0.0,0.562,20.0,1.0,0.548,
28,GREENE COUNTY HOSPITAL (010051),2021,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL,,,0.0,0.01,19.0,,0.0,0.212,1163.0,,,,,,,0.0,0.02,1163.0,,,,,,,,
29,LAKE MARTIN COMMUNITY HOSPITAL (010052),2021,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,,,0.0,0.371,679.0,,0.0,0.54,2961.0,,,,,,,0.0,0.064,2961.0,,,,,,,,
30,FLOWERS HOSPITAL (010055),2021,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,1.027,,13.0,12.66,13817.0,0.431,10.0,23.206,53739.0,0.906,5458.0,,4.0,4.415,0.0,0.0,2.918,53739.0,0.42,275.0,1.0,2.38,75.0,1.0,2.002,0.5
31,ST VINCENT'S BIRMINGHAM (010056),2021,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,0.7,,10.0,14.285,14235.0,0.489,35.0,71.601,91383.0,0.595,12075.0,,7.0,11.771,0.69,6.0,8.7,103621.0,0.57,442.0,2.0,3.511,386.0,4.0,9.739,0.411
32,BIBB MEDICAL CENTER (010058),2021,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,,,1.0,0.219,391.0,0.0,0.0,1.136,3568.0,,62.0,,0.0,0.039,,0.0,0.108,3568.0,,,,,,,,
33,LAWRENCE MEDICAL CENTER (010059),2021,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,,,1.0,0.199,405.0,,1.0,0.575,2812.0,,120.0,,0.0,0.07,,1.0,0.059,2812.0,,,,,,,,
34,HIGHLANDS MEDICAL CENTER (010061),2021,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,1.871,,2.0,1.069,1956.0,0.24,1.0,4.167,10296.0,,848.0,,0.0,0.525,,0.0,0.401,10644.0,,15.0,0.0,0.157,9.0,0.0,0.239,
35,WIREGRASS MEDICAL CENTER (010062),2021,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,,,0.0,0.274,527.0,0.0,0.0,1.334,4637.0,,208.0,,1.0,0.125,,0.0,0.083,4637.0,,2.0,0.0,0.015,2.0,0.0,0.054,
36,RUSSELL MEDICAL CENTER (010065),2021,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,0.0,,0.0,1.62,2764.0,0.0,0.0,2.455,7115.0,,635.0,,0.0,0.472,,1.0,0.21,7115.0,,2.0,0.0,0.014,10.0,0.0,0.289,
37,MEDICAL CENTER BARBOUR (010069),2021,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,,,0.0,0.495,963.0,1.206,2.0,1.658,3932.0,,265.0,,0.0,0.164,,1.0,0.141,3932.0,,,,,4.0,0.0,0.128,
38,CLAY COUNTY HOSPITAL (010073),2021,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,,,0.0,0.317,575.0,0.0,0.0,1.06,4642.0,,25.0,,0.0,0.016,,0.0,0.1,4642.0,,,,,1.0,0.0,0.039,
39,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER (010078),2021,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,0.787,,4.0,5.083,6255.0,0.727,20.0,27.499,45136.0,0.779,3583.0,,2.0,2.567,2.787,7.0,2.512,50392.0,0.0,107.0,0.0,1.026,152.0,1.0,4.342,0.23
40,ATHENS LIMESTONE HOSPITAL (010079),2021,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,0.472,,1.0,2.117,3974.0,0.504,9.0,17.861,15778.0,,1426.0,,0.0,0.891,,0.0,0.88,16646.0,,61.0,1.0,0.594,37.0,0.0,1.001,0.0
41,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2021,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,0.503,,2.0,3.973,3934.0,0.214,3.0,14.032,22925.0,0.0,2229.0,,0.0,2.032,1.118,2.0,1.789,25315.0,,3.0,0.0,0.02,35.0,0.0,0.866,
42,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS (010085),2021,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,0.336,,3.0,8.92,10396.0,0.356,7.0,19.664,49590.0,1.301,4741.0,,5.0,3.844,1.056,3.0,2.842,49850.0,,22.0,0.0,0.152,107.0,1.0,2.809,0.356
43,NORTHWEST MEDICAL CENTER (010086),2021,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,,,0.0,0.366,740.0,0.763,1.0,1.311,3666.0,,143.0,,0.0,0.082,,0.0,0.114,3666.0,,,,,,,,
44,USA HEALTH UNIVERSITY HOSPITAL (010087),2021,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,0.247,,4.0,16.167,8461.0,0.796,31.0,38.964,64455.0,0.89,9488.0,,11.0,12.355,1.004,5.0,4.978,64455.0,,43.0,1.0,0.47,279.0,4.0,8.492,0.471
45,WALKER BAPTIST MEDICAL CENTER (010089),2021,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,0.51,,2.0,3.924,5308.0,0.135,2.0,14.828,25889.0,0.649,2144.0,,1.0,1.54,1.435,2.0,1.394,26159.0,,83.0,0.0,0.75,46.0,0.0,1.339,0.0
46,PROVIDENCE HOSPITAL (010090),2021,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,0.0,,0.0,11.377,9462.0,0.524,26.0,49.588,68428.0,0.523,6828.0,,3.0,5.732,0.844,4.0,4.738,71489.0,0.0,175.0,0.0,1.537,103.0,2.0,2.706,0.739
47,GROVE HILL MEMORIAL HOSPITAL (010091),2021,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,,,0.0,0.144,265.0,,0.0,0.438,2355.0,,43.0,,0.0,0.025,,0.0,0.063,2771.0,,9.0,0.0,0.078,,,,
48,DCH REGIONAL MEDICAL CENTER (010092),2021,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,0.812,,29.0,35.719,26788.0,0.533,50.0,93.84,142973.0,0.788,30849.0,,26.0,32.999,1.428,16.0,11.206,164009.0,0.497,393.0,2.0,4.024,279.0,8.0,8.298,0.964
49,D C H REGIONAL MEDICAL CENTER (010092),2021,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,,,,,,,,,,,,,,,,,,,,,,,,,,
50,HALE COUNTY HOSPITAL (010095),2021,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,,,0.0,0.014,24.0,,1.0,0.293,1446.0,,,,,,,0.0,0.025,1446.0,,,,,,,,
51,ELMORE COMMUNITY HOSPITAL (010097),2021,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,,,,,,0.0,0.0,1.084,4448.0,,,,,,,0.0,0.092,4448.0,,,,,,,,
52,D W MCMILLAN MEMORIAL HOSPITAL (010099),2021,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,,,0.0,0.584,1057.0,0.507,1.0,1.973,6130.0,,487.0,,1.0,0.304,,1.0,0.252,6763.0,,40.0,0.0,0.374,19.0,2.0,0.543,
53,THOMAS HOSPITAL (010100),2021,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,0.704,,4.0,5.68,7374.0,0.574,9.0,15.676,41456.0,0.837,5129.0,,3.0,3.583,1.34,2.0,1.493,45453.0,0.0,154.0,0.0,1.177,117.0,4.0,2.951,1.355
54,CITIZENS BAPTIST MEDICAL CENTER (010101),2021,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,,,1.0,0.9,1697.0,0.0,0.0,2.018,7623.0,,701.0,,1.0,0.432,,0.0,0.155,7623.0,,,,,2.0,0.0,0.061,
55,J PAUL JONES HOSPITAL (010102),2021,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL,,,0.0,0.027,49.0,,0.0,0.057,358.0,,4.0,,0.0,0.002,,0.0,0.006,358.0,,,,,,,,
56,PRINCETON BAPTIST MEDICAL CENTER (010103),2021,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,0.559,,10.0,17.901,14978.0,0.201,7.0,34.826,65304.0,0.343,15370.0,,5.0,14.559,1.414,8.0,5.659,67451.0,,34.0,1.0,0.347,154.0,1.0,4.327,0.231
57,GRANDVIEW MEDICAL CENTER (010104),2021,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,0.998,,29.0,29.055,17346.0,0.432,34.0,78.669,108950.0,0.161,17311.0,,3.0,18.611,0.292,3.0,10.278,113414.0,0.0,265.0,0.0,2.168,268.0,1.0,7.268,0.138
58,PRATTVILLE BAPTIST HOSPITAL (010108),2021,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,0.0,,0.0,1.246,2416.0,0.817,7.0,8.565,14930.0,,1540.0,,4.0,0.959,,3.0,0.37,14930.0,,,,,1.0,1.0,0.024,
59,PICKENS COUNTY MEDICAL CENTER (010109),2021,Acute Care,Government - Hospital District or Authority,49.0,33.274807,-88.089673,AL,,,,,,,,,,,,,,,,,,,,,,,,,,
60,BULLOCK COUNTY HOSPITAL (010110),2021,Acute Care,Proprietary,54.0,32.146182,-85.71638,AL,,,0.0,0.017,29.0,,0.0,0.438,2386.0,,,,,,,0.0,0.057,2386.0,,,,,,,,
61,WHITFIELD REGIONAL HOSPITAL (010112),2021,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,,,0.0,0.588,1127.0,0.613,1.0,1.631,5757.0,,85.0,,0.0,0.057,,1.0,0.228,5757.0,,,,,2.0,0.0,0.056,
62,MOBILE INFIRMARY MEDICAL CENTER (010113),2021,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,0.679,,17.0,25.053,19604.0,0.529,36.0,68.057,137093.0,1.922,18914.0,,30.0,15.61,1.198,12.0,10.017,139556.0,5.184,180.0,9.0,1.736,286.0,2.0,8.017,0.249
63,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2021,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,0.66,,7.0,10.612,9906.0,0.294,4.0,13.62,31460.0,1.009,8435.0,,8.0,7.93,1.88,5.0,2.659,32960.0,,14.0,0.0,0.14,83.0,1.0,2.281,0.438
64,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2021,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,0.453,,1.0,2.208,3707.0,0.0,0.0,6.474,15123.0,,1254.0,,0.0,0.872,,0.0,0.639,16140.0,,32.0,1.0,0.353,15.0,0.0,0.396,
65,MONROE COUNTY HOSPITAL (010120),2021,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,,,0.0,0.292,560.0,,0.0,0.923,3253.0,,352.0,,0.0,0.214,,0.0,0.105,3253.0,,,,,2.0,0.0,0.053,
66,LAKELAND COMMUNITY HOSPITAL (010125),2021,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,,,0.0,0.135,272.0,,0.0,0.916,4997.0,,149.0,,0.0,0.086,,0.0,0.092,4997.0,,,,,,,,
67,TROY REGIONAL MEDICAL CENTER (010126),2021,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,,,0.0,0.571,1070.0,0.0,0.0,1.755,5710.0,,401.0,,0.0,0.262,,0.0,0.208,5710.0,,,,,24.0,0.0,0.616,
68,JACKSON MEDICAL CENTER (010128),2021,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,,,0.0,0.11,226.0,,0.0,0.31,1583.0,,312.0,,0.0,0.181,,0.0,0.032,1583.0,,,,,,,,
69,NORTH BALDWIN INFIRMARY (010129),2021,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,,,0.0,0.437,794.0,0.0,0.0,1.518,4899.0,,384.0,,0.0,0.237,,0.0,0.129,5452.0,,42.0,0.0,0.504,14.0,1.0,0.429,
70,ST VINCENT'S ST CLAIR (010130),2021,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,,,1.0,0.856,1555.0,0.56,2.0,3.57,8625.0,,1247.0,,0.0,0.761,,0.0,0.219,8625.0,,2.0,0.0,0.028,9.0,0.0,0.218,
71,CRESTWOOD MEDICAL CENTER (010131),2021,Acute Care,Proprietary,163.0,,,AL,0.299,,1.0,3.344,4770.0,0.644,19.0,29.482,40221.0,3.293,2611.0,,6.0,1.822,1.612,3.0,1.861,42193.0,2.11,330.0,6.0,2.844,85.0,2.0,2.187,0.914
72,HILL HOSPITAL OF SUMTER COUNTY (010138),2021,Acute Care,Voluntary non-profit - Other,33.0,32.491825,-88.296081,AL,,,,,,,0.0,0.636,3908.0,,,,,,,0.0,0.092,3908.0,,,,,,,,
73,BROOKWOOD BAPTIST MEDICAL CENTER (010139),2021,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,1.091,,8.0,7.333,6605.0,0.726,34.0,46.805,62872.0,0.774,6349.0,,5.0,6.457,1.89,8.0,4.232,62872.0,0.281,872.0,2.0,7.113,175.0,3.0,4.94,0.607
74,SPRINGHILL MEDICAL CENTER (010144),2021,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,0.723,,3.0,4.151,5758.0,0.194,5.0,25.719,59251.0,1.013,6700.0,,5.0,4.937,0.987,4.0,4.054,63035.0,0.0,331.0,0.0,2.788,116.0,0.0,3.151,0.0
75,EVERGREEN MEDICAL CENTER (010148),2021,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,,,0.0,0.091,185.0,0.0,0.0,1.221,5545.0,,20.0,,0.0,0.012,,0.0,0.119,5545.0,,,,,,,,
76,BAPTIST MEDICAL CENTER EAST (010149),2021,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,1.829,,12.0,6.56,6602.0,0.742,24.0,32.359,49154.0,3.344,5395.0,,19.0,5.681,0.777,3.0,3.862,65802.0,0.794,546.0,4.0,5.04,214.0,0.0,6.093,0.0
77,BIRMINGHAM VA MEDICAL CENTER (01014F),2021,Acute Care (VA),Government - Federal,,,,,0.355,,1.0,2.813,3124.0,,,,,0.0,1930.0,,0.0,1.804,,,,,,,,,,,,
78,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL (010150),2021,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,,,0.0,0.415,794.0,0.0,0.0,1.962,6350.0,,101.0,,1.0,0.064,,1.0,0.284,6350.0,,,,,3.0,0.0,0.071,
79,SHOALS HOSPITAL (010157),2021,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,,,0.0,0.119,219.0,0.0,0.0,1.713,8448.0,,242.0,,0.0,0.142,,0.0,0.248,8448.0,,,,,,,,
80,RUSSELLVILLE HOSPITAL (010158),2021,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,,,0.0,0.697,1357.0,0.0,0.0,2.355,5887.0,,691.0,,2.0,0.417,,0.0,0.19,5887.0,,1.0,0.0,0.008,13.0,0.0,0.401,
81,COOSA VALLEY MEDICAL CENTER (010164),2021,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,0.0,,0.0,1.922,2657.0,0.0,0.0,6.449,18540.0,,840.0,,0.0,0.537,,0.0,0.557,19585.0,,32.0,0.0,0.312,24.0,0.0,0.683,
82,JACK HUGHSTON MEMORIAL HOSPITAL (010168),2021,Acute Care,Government - State,52.0,32.509045,-85.005696,AL,,,,,,0.73,1.0,1.37,7261.0,,,,,,,0.0,0.164,7261.0,,,,,,,,
83,ATMORE COMMUNITY HOSPITAL (010169),2021,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,,,0.0,0.341,667.0,0.0,0.0,1.475,5207.0,,335.0,,1.0,0.201,,0.0,0.111,5207.0,,,,,4.0,0.0,0.103,
84,ST VINCENT'S CHILTON (010173),2021,Acute Care,Voluntary non-profit - Church,26.0,32.876585,-86.623511,AL,,,0.0,0.146,286.0,,0.0,0.983,3199.0,,114.0,,0.0,0.07,,0.0,0.06,3199.0,,,,,,,,
85,THOMASVILLE REGIONAL MEDICAL CENTER (010174),2021,Acute Care,Voluntary non-profit - Private,29.0,,,AL,,,0.0,0.068,124.0,,1.0,0.188,837.0,,29.0,,0.0,0.017,,0.0,0.021,837.0,,,,,,,,
86,THE EAST ALBAMA HEALTHCARE AUTHORITY (010175),2021,Acute Care,Government - Hospital District or Authority,30.0,,,AL,,,0.0,0.07,128.0,,0.0,0.347,667.0,,35.0,,0.0,0.02,,0.0,0.012,667.0,,,,,,,,
87,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY (01019F),2021,Acute Care (VA),Government - Federal,,,,,,,0.0,0.188,210.0,,,,,,60.0,,0.0,0.056,,,,,,,,,,,,
88,WASHINGTON COUNTY HOSPITAL (011300),2021,Critical Access,Proprietary,103.0,31.460296,-88.235291,AL,,,,,,,0.0,0.338,1532.0,,,,,,,0.0,0.032,1532.0,,,,,,,,
89,RED BAY HOSPITAL (011302),2021,Critical Access,Government - Hospital District or Authority,25.0,34.457425,-88.146934,AL,,,0.0,0.32,131.0,,1.0,0.757,2161.0,,182.0,,0.0,0.049,,0.0,0.045,2161.0,,,,,,,,
90,CHOCTAW GENERAL HOSPITAL (011304),2021,Critical Access,Voluntary non-profit - Private,25.0,,,AL,,,0.0,0.131,201.0,,,,,,48.0,,0.0,0.013,,,,,,,,,,,,
91,ST VINCENTS BLOUNT (011305),2021,Critical Access,Voluntary non-profit - Private,25.0,33.932537,-86.493059,AL,0.0,,0.0,1.483,607.0,1.733,3.0,1.731,5025.0,,364.0,,1.0,0.1,,0.0,0.105,5025.0,,,,,,,,
92,TANNER MEDICAL CENTER-EAST ALABAMA (011306),2021,Critical Access,Government - Hospital District or Authority,15.0,33.296666,-85.480028,AL,,,0.0,0.043,65.0,,0.0,0.177,800.0,,29.0,,0.0,0.008,,0.0,0.016,800.0,,,,,,,,
