,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CDIFF (SIR),CDIFF Observed Cases,CDIFF Predicted Cases,CDIFF patient days,CLABSI (SIR),CLABSI Number of Device Days,CLABSI Observed Cases,CLABSI Predicted Cases,MRSA (SIR),MRSA Observed Cases,MRSA Predicted Cases,MRSA patient days,SSI Abdominal Hysterectomy,SSI Abdominal Observed Cases,SSI Abdominal Predicted Cases,SSI Colon Observed Cases,SSI Colon Predicted Cases,SSI Colon Surgery (SIR)
16,UNIVERSITY OF ALABAMA HOSPITAL (010033),2016,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,0.75,196.0,261.263,275940.0,1.596,46464.0,87.0,54.524,1.59,53.0,33.323,323368.0,1.024,8.0,7.815,22.0,20.326,1.082
17,COMMUNITY HOSPITAL INC (010034),2016,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,1.046,3.0,2.868,5553.0,,51.0,0.0,0.037,,1.0,0.166,5553.0,,,,0.0,0.156,
18,CULLMAN REGIONAL MEDICAL CENTER (010035),2016,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,0.264,3.0,11.377,29483.0,0.395,3583.0,1.0,2.53,2.144,3.0,1.399,30889.0,,0.0,0.339,1.0,1.565,0.639
19,ANDALUSIA REGIONAL HOSPITAL (010036),2016,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,0.394,2.0,5.08,15607.0,,152.0,0.0,0.111,,1.0,0.483,16956.0,,0.0,0.049,0.0,0.277,
20,STRINGFELLOW MEMORIAL HOSPITAL (010038),2016,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,0.936,3.0,3.205,11174.0,,771.0,1.0,0.515,,2.0,0.199,11174.0,,0.0,0.045,1.0,0.738,
21,HUNTSVILLE HOSPITAL (010039),2016,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,0.594,110.0,185.218,226174.0,1.898,21969.0,44.0,23.184,0.67,10.0,14.918,254440.0,0.495,3.0,6.064,19.0,16.226,1.171
22,GADSDEN REGIONAL MEDICAL CENTER (010040),2016,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,0.458,26.0,56.715,104811.0,0.682,8469.0,4.0,5.863,0.559,3.0,5.369,104811.0,,0.0,0.943,0.0,4.296,0.0
23,MARION REGIONAL MEDICAL CENTER (010044),2016,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,,0.0,0.576,4104.0,,,,,,0.0,0.076,4104.0,,,,,,
24,FAYETTE MEDICAL CENTER (010045),2016,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,3.329,5.0,1.502,5946.0,,402.0,0.0,0.263,,0.0,0.108,5946.0,,,,0.0,0.216,
25,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2016,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,0.738,15.0,20.334,37079.0,0.0,3659.0,0.0,2.524,0.57,1.0,1.753,37079.0,,0.0,0.039,0.0,1.427,0.0
26,GEORGIANA MEDICAL CENTER (010047),2016,Acute Care,Proprietary,22.0,,,AL,,0.0,0.284,1750.0,,,,,,0.0,0.033,1750.0,,,,,,
27,MEDICAL CENTER ENTERPRISE (010049),2016,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,0.767,2.0,2.606,8213.0,,85.0,0.0,0.063,,0.0,0.248,8263.0,,1.0,0.831,0.0,0.313,
28,GREENE COUNTY HOSPITAL (010051),2016,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL,,2.0,0.209,857.0,,,,,,0.0,0.014,837.0,,,,,,
29,LAKE MARTIN COMMUNITY HOSPITAL (010052),2016,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,,0.0,0.002,10.0,,,,,,,,,,,,,,
30,FLOWERS HOSPITAL (010055),2016,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,0.748,26.0,34.752,45664.0,1.079,6513.0,5.0,4.632,0.479,1.0,2.089,45664.0,0.507,1.0,1.973,5.0,3.262,1.533
31,ST VINCENT'S BIRMINGHAM (010056),2016,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,0.883,62.0,70.236,103687.0,0.722,14062.0,9.0,12.459,1.58,12.0,7.597,120246.0,0.76,3.0,3.949,2.0,7.266,0.275
32,BIBB MEDICAL CENTER (010058),2016,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,,0.0,0.545,1721.0,,6.0,0.0,0.004,,0.0,0.031,1721.0,,,,,,
33,LAWRENCE MEDICAL CENTER (010059),2016,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,1.627,3.0,1.844,3747.0,,120.0,0.0,0.078,,0.0,0.097,3747.0,,,,,,
34,HIGHLANDS MEDICAL CENTER (010061),2016,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,0.321,2.0,6.233,14079.0,,958.0,1.0,0.651,,0.0,0.619,14571.0,,2.0,0.486,0.0,0.245,
35,WIREGRASS MEDICAL CENTER (010062),2016,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,0.0,0.0,1.235,4331.0,,54.0,0.0,0.039,,0.0,0.085,4331.0,,0.0,0.009,0.0,0.157,
36,RUSSELL HOSPITAL (010065),2016,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,0.582,2.0,3.435,10402.0,,1306.0,0.0,0.901,,0.0,0.256,10402.0,,1.0,0.022,0.0,0.323,
37,MEDICAL CENTER BARBOUR (010069),2016,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,0.0,0.0,1.333,4345.0,,423.0,0.0,0.287,,2.0,0.102,4345.0,,0.0,0.018,0.0,0.268,
38,CLAY COUNTY HOSPITAL (010073),2016,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,,0.0,0.443,2430.0,,25.0,0.0,0.018,,0.0,0.058,2430.0,,,,,,
39,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER (010078),2016,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,0.787,24.0,30.477,54808.0,0.583,4232.0,2.0,3.428,1.761,5.0,2.84,59728.0,,0.0,0.766,0.0,3.907,0.0
40,ATHENS LIMESTONE HOSPITAL (010079),2016,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,0.835,10.0,11.971,15887.0,2.93,1504.0,3.0,1.024,,2.0,0.782,16888.0,,0.0,0.339,0.0,1.034,0.0
41,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2016,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,0.499,6.0,12.022,27646.0,0.0,2072.0,0.0,1.451,0.801,1.0,1.248,27446.0,,0.0,0.211,1.0,1.358,0.736
42,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS (010085),2016,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,0.362,8.0,22.079,56781.0,0.747,3943.0,2.0,2.676,0.397,1.0,2.522,58591.0,,0.0,0.994,8.0,4.064,1.969
43,NORTHWEST MEDICAL CENTER (010086),2016,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,0.466,1.0,2.145,5992.0,,47.0,0.0,0.034,,0.0,0.161,6847.0,,0.0,0.409,0.0,0.024,
44,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER (010087),2016,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,0.681,19.0,27.911,42592.0,2.718,6242.0,19.0,6.991,2.068,8.0,3.869,42592.0,,0.0,0.018,11.0,4.294,2.562
45,WALKER BAPTIST MEDICAL CENTER (010089),2016,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,0.899,23.0,25.57,32281.0,1.294,2285.0,2.0,1.546,1.528,2.0,1.309,32416.0,,0.0,0.262,0.0,0.816,
46,PROVIDENCE HOSPITAL (010090),2016,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,0.917,50.0,54.519,76938.0,1.277,12001.0,11.0,8.614,1.028,5.0,4.863,82002.0,0.0,0.0,2.138,4.0,3.699,1.081
47,GROVE HILL MEMORIAL HOSPITAL (010091),2016,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,,1.0,0.69,3480.0,,60.0,0.0,0.039,,0.0,0.069,3907.0,,0.0,0.094,,,
48,D C H REGIONAL MEDICAL CENTER (010092),2016,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,0.796,89.0,111.764,154089.0,1.534,25644.0,41.0,26.731,0.542,6.0,11.064,173515.0,0.627,1.0,1.594,6.0,9.016,0.665
49,HALE COUNTY HOSPITAL (010095),2016,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,,0.0,0.221,1287.0,,,,,,0.0,0.023,1287.0,,,,,,
50,ELMORE COMMUNITY HOSPITAL (010097),2016,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,,0.0,0.657,3586.0,,,,,,0.0,0.064,3586.0,,,,,,
51,D W MCMILLAN MEMORIAL HOSPITAL (010099),2016,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,0.787,2.0,2.54,6111.0,,509.0,2.0,0.346,,1.0,0.304,6862.0,,0.0,0.157,0.0,0.735,
52,THOMAS HOSPITAL (010100),2016,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,0.351,5.0,14.235,35187.0,1.069,5300.0,4.0,3.742,1.361,2.0,1.469,37972.0,,1.0,0.551,4.0,2.632,1.52
53,CITIZENS BAPTIST MEDICAL CENTER (010101),2016,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,0.0,0.0,2.52,9894.0,,609.0,0.0,0.417,,0.0,0.175,9894.0,,0.0,0.027,0.0,0.399,
54,J PAUL JONES HOSPITAL (010102),2016,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL,,,,,,2.0,0.0,0.001,,,,,,,,,,
55,PRINCETON BAPTIST MEDICAL CENTER (010103),2016,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,1.005,55.0,54.725,70417.0,2.155,18787.0,40.0,18.562,2.453,15.0,6.114,70417.0,,0.0,0.583,1.0,4.682,0.214
56,GRANDVIEW MEDICAL CENTER (010104),2016,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,0.242,11.0,45.434,67468.0,0.68,9799.0,7.0,10.292,1.69,8.0,4.733,68350.0,,1.0,0.469,0.0,3.36,0.0
57,PRATTVILLE BAPTIST HOSPITAL (010108),2016,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,0.883,11.0,12.451,14144.0,,1081.0,0.0,0.722,,1.0,0.406,14144.0,,,,0.0,0.985,
58,PICKENS COUNTY MEDICAL CENTER (010109),2016,Acute Care,Government - Hospital District or Authority,49.0,33.274807,-88.089673,AL,,0.0,0.266,1469.0,,67.0,0.0,0.043,,0.0,0.028,1469.0,,0.0,0.011,0.0,0.031,
59,BULLOCK COUNTY HOSPITAL (010110),2016,Acute Care,Proprietary,54.0,32.146182,-85.71638,AL,0.0,0.0,1.078,6564.0,,,,,,0.0,0.134,5715.0,,,,,,
60,BRYAN W. WHITFIELD MEMORIAL HOSPITAL (010112),2016,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,1.161,3.0,2.583,8529.0,,36.0,0.0,0.027,,0.0,0.149,8417.0,,,,0.0,0.076,
61,MOBILE INFIRMARY MEDICAL CENTER (010113),2016,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,0.49,38.0,77.489,151436.0,1.453,19918.0,24.0,16.514,1.127,13.0,11.535,154510.0,1.642,2.0,1.218,6.0,8.243,0.728
62,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2016,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,0.663,9.0,13.566,32032.0,2.501,5339.0,12.0,4.798,0.0,0.0,1.882,33457.0,,0.0,0.414,6.0,2.452,2.447
63,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2016,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,1.34,13.0,9.699,15804.0,0.692,2103.0,1.0,1.445,,1.0,0.535,17434.0,,0.0,0.518,0.0,0.905,
64,MONROE COUNTY HOSPITAL (010120),2016,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,0.0,0.0,1.086,3442.0,,317.0,0.0,0.21,,0.0,0.123,3442.0,,,,0.0,0.108,
65,LAKELAND COMMUNITY HOSPITAL (010125),2016,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,0.556,1.0,1.8,5877.0,,193.0,0.0,0.126,,0.0,0.115,5877.0,,,,,,
66,TROY REGIONAL MEDICAL CENTER (010126),2016,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,0.607,2.0,3.297,9620.0,,565.0,1.0,0.459,,1.0,0.327,9620.0,,0.0,0.242,0.0,0.172,
67,JACKSON MEDICAL CENTER (010128),2016,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,,0.0,0.148,821.0,,,,,,0.0,0.021,812.0,,,,,,
68,NORTH BALDWIN INFIRMARY (010129),2016,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,1.38,4.0,2.899,9434.0,,397.0,2.0,0.288,,0.0,0.279,9958.0,,0.0,0.103,0.0,0.34,
69,ST VINCENT'S ST CLAIR (010130),2016,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,0.521,3.0,5.755,6924.0,,757.0,0.0,0.532,,0.0,0.135,6924.0,,0.0,0.026,0.0,0.449,
70,CRESTWOOD MEDICAL CENTER (010131),2016,Acute Care,Proprietary,163.0,,,AL,0.389,13.0,33.394,76224.0,2.444,3577.0,6.0,2.455,0.0,0.0,3.498,76466.0,1.586,2.0,1.261,2.0,2.892,0.692
71,HILL HOSPITAL OF SUMTER COUNTY (010138),2016,Acute Care,Voluntary non-profit - Other,33.0,32.491825,-88.296081,AL,,0.0,0.41,2512.0,,,,,,0.0,0.045,2250.0,,,,,,
72,BROOKWOOD MEDICAL CENTER (010139),2016,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,0.404,41.0,101.586,137964.0,1.371,10378.0,14.0,10.208,1.244,10.0,8.036,137964.0,0.396,3.0,7.568,4.0,5.331,0.75
73,SPRINGHILL MEMORIAL HOSPITAL (010144),2016,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,0.412,17.0,41.31,58731.0,1.47,10722.0,11.0,7.483,1.315,4.0,3.041,60839.0,,1.0,0.757,3.0,3.118,0.962
74,RMC JACKSONVILLE (010146),2016,Acute Care,Proprietary,65.0,,,AL,,0.0,0.757,3732.0,,39.0,0.0,0.025,,1.0,0.079,3732.0,,,,,,
75,EVERGREEN MEDICAL CENTER (010148),2016,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,0.0,0.0,1.01,5286.0,,,,,,0.0,0.105,5286.0,,,,,,
76,BAPTIST MEDICAL CENTER EAST (010149),2016,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,0.914,19.0,20.786,42813.0,1.733,6091.0,9.0,5.193,0.463,1.0,2.16,54164.0,0.621,3.0,4.831,0.0,3.317,0.0
77,L V STABLER MEMORIAL HOSPITAL (010150),2016,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,0.0,0.0,1.666,6055.0,,85.0,0.0,0.058,,0.0,0.3,6055.0,,,,0.0,0.282,
78,SHOALS HOSPITAL (010157),2016,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,1.057,4.0,3.785,7223.0,,816.0,0.0,0.584,,0.0,0.339,7223.0,,0.0,0.038,1.0,0.807,
79,RUSSELLVILLE HOSPITAL (010158),2016,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,0.0,0.0,3.198,7131.0,,451.0,1.0,0.302,,1.0,0.162,7131.0,,0.0,0.05,1.0,0.313,
80,COOSA VALLEY MEDICAL CENTER (010164),2016,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,0.653,3.0,4.593,12829.0,,1121.0,0.0,0.771,,2.0,0.38,11854.0,,0.0,0.212,0.0,1.616,0.0
81,JACK HUGHSTON MEMORIAL HOSPITAL (010168),2016,Acute Care,Government - State,52.0,32.509045,-85.005696,AL,0.0,0.0,1.42,7491.0,,,,,,0.0,0.179,7491.0,,,,,,
82,ATMORE COMMUNITY HOSPITAL (010169),2016,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,0.0,0.0,2.02,4993.0,,437.0,2.0,0.29,,0.0,0.142,4993.0,,,,,,
83,WASHINGTON COUNTY HOSPITAL (011300),2016,Critical Access,Proprietary,103.0,31.460296,-88.235291,AL,,0.0,0.802,2899.0,,,,,,0.0,0.06,2899.0,,,,,,
84,RED BAY HOSPITAL (011302),2016,Critical Access,Government - Hospital District or Authority,25.0,34.457425,-88.146934,AL,,1.0,0.813,2886.0,,82.0,0.0,0.024,,0.0,0.061,2886.0,,,,,,
85,ST VINCENTS BLOUNT (011305),2016,Critical Access,Voluntary non-profit - Private,25.0,33.932537,-86.493059,AL,0.986,2.0,2.029,5998.0,,86.0,0.0,0.025,,1.0,0.125,5998.0,,1.0,0.084,,,
86,PROVIDENCE ALASKA MEDICAL CENTER (020001),2016,Acute Care,Voluntary non-profit - Church,394.0,61.189798,-149.817622,AK,0.848,48.0,56.632,81709.0,0.886,14774.0,14.0,15.809,0.928,6.0,6.465,96970.0,0.0,0.0,1.751,5.0,5.317,0.94
87,MAT-SU REGIONAL MEDICAL CENTER (020006),2016,Acute Care,Voluntary non-profit - Private,90.0,61.561217,-149.258718,AK,0.416,3.0,7.209,16588.0,0.47,3155.0,1.0,2.126,,0.0,0.594,16588.0,,0.0,0.034,5.0,1.901,2.63
88,BARTLETT REGIONAL HOSPITAL (020008),2016,Acute Care,Government - Local,58.0,58.328696,-134.466829,AK,0.0,0.0,2.536,8543.0,,231.0,0.0,0.155,,0.0,0.208,8543.0,,0.0,0.1,2.0,0.646,
89,FAIRBANKS MEMORIAL HOSPITAL (020012),2016,Acute Care,Voluntary non-profit - Other,213.0,64.831407,-147.736254,AK,0.254,2.0,7.868,18149.0,0.964,1260.0,1.0,1.037,,0.0,0.735,21468.0,,0.0,0.782,3.0,1.825,1.644
90,ALASKA REGIONAL HOSPITAL (020017),2016,Acute Care,Proprietary,169.0,61.20979,-149.827379,AK,1.988,23.0,11.572,22990.0,1.256,3519.0,3.0,2.389,,0.0,0.708,23667.0,,0.0,0.79,0.0,2.736,0.0
91,YUKON KUSKOKWIM DELTA REG HOSPITAL (020018),2016,Acute Care,Tribal,34.0,,,AK,,1.0,0.235,1391.0,,,,,,0.0,0.032,1628.0,,,,,,
92,CENTRAL PENINSULA GENERAL HOSPITAL (020024),2016,Acute Care,Voluntary non-profit - Other,186.0,60.493865,-151.077658,AK,0.55,2.0,3.635,11020.0,,1447.0,1.0,0.939,,0.0,0.282,11934.0,,0.0,0.121,4.0,0.899,
93,ALASKA NATIVE MEDICAL CENTER (020026),2016,Acute Care,Government - Federal,163.0,61.18189,-149.800578,AK,0.911,18.0,19.768,39383.0,1.575,3822.0,4.0,2.539,1.838,4.0,2.176,44458.0,,0.0,0.51,4.0,4.957,0.807
94,PEACEHEALTH KETCHIKAN MEDICAL CENTER (021311),2016,Critical Access,Voluntary non-profit - Church,51.0,55.352717,-131.686049,AK,0.0,0.0,1.819,4969.0,,286.0,0.0,0.084,,0.0,0.111,5315.0,,0.0,0.054,0.0,0.098,
95,SOUTH PENINSULA HOSPITAL (021313),2016,Critical Access,Voluntary non-profit - Private,49.0,59.652133,-151.550296,AK,,1.0,0.775,3509.0,,,,,,0.0,0.073,3510.0,,,,,,
96,ABRAZO MARYVALE CAMPUS (030001),2016,Acute Care,Proprietary,231.0,,,AZ,0.906,11.0,12.14,15942.0,0.789,1819.0,1.0,1.268,,0.0,0.544,16086.0,,0.0,0.157,2.0,0.798,
97,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX (030002),2016,Acute Care,Voluntary non-profit - Other,706.0,33.465724,-112.058127,AZ,0.795,111.0,139.58,179272.0,0.933,20805.0,22.0,23.584,0.856,13.0,15.186,187743.0,1.596,7.0,4.387,10.0,12.036,0.831
98,TUCSON MEDICAL CENTER (030006),2016,Acute Care,Voluntary non-profit - Private,520.0,32.250749,-110.880169,AZ,1.246,149.0,119.611,122377.0,1.168,14398.0,17.0,14.56,1.125,8.0,7.114,143179.0,0.772,3.0,3.884,14.0,9.398,1.49
99,VERDE VALLEY MEDICAL CENTER (030007),2016,Acute Care,Voluntary non-profit - Private,102.0,34.736201,-112.031784,AZ,0.85,15.0,17.638,18615.0,1.114,1998.0,2.0,1.796,,0.0,0.694,19387.0,,0.0,0.069,2.0,1.613,1.24
100,ST. MARY'S HOSPITAL (030010),2016,Acute Care,Voluntary non-profit - Private,398.0,32.228923,-111.000032,AZ,1.527,52.0,34.063,50032.0,1.484,8784.0,10.0,6.739,2.416,7.0,2.897,50032.0,,,,5.0,2.781,1.798
101,ST JOSEPH'S HOSPITAL (030011),2016,Acute Care,Voluntary non-profit - Other,474.0,32.225946,-110.857838,AZ,0.932,56.0,60.075,64807.0,0.168,13477.0,2.0,11.885,0.733,3.0,4.094,73137.0,0.466,2.0,4.292,5.0,5.611,0.891
102,YAVAPAI REGIONAL MEDICAL CENTER (030012),2016,Acute Care,Government - Local,179.0,34.55938,-112.482065,AZ,1.972,21.0,10.651,23923.0,0.0,3310.0,0.0,2.291,,3.0,0.722,23923.0,,0.0,0.147,1.0,1.858,0.538
103,YUMA REGIONAL MEDICAL CENTER (030013),2016,Acute Care,Voluntary non-profit - Private,397.0,32.683899,-114.633238,AZ,0.877,61.0,69.533,88378.0,0.388,15993.0,6.0,15.449,1.004,6.0,5.974,95290.0,,0.0,0.455,2.0,3.585,0.558
104,JOHN C. LINCOLN MEDICAL CENTER (030014),2016,Acute Care,Voluntary non-profit - Private,258.0,33.567754,-112.07063,AZ,1.196,91.0,76.099,73276.0,3.598,7583.0,19.0,5.28,0.979,5.0,5.105,73276.0,,0.0,0.252,5.0,4.513,1.108
105,BANNER CASA GRANDE MEDICAL CENTER (030016),2016,Acute Care,Voluntary non-profit - Other,156.0,32.879608,-111.709253,AZ,0.45,9.0,20.017,27992.0,0.0,2780.0,0.0,1.947,0.741,1.0,1.349,29502.0,,0.0,0.223,2.0,1.667,1.2
106,MARICOPA MEDICAL CENTER (030022),2016,Acute Care,Government - Local,570.0,33.458525,-112.02643,AZ,0.985,35.0,35.523,58487.0,1.266,8405.0,19.0,15.007,1.667,6.0,3.6,61864.0,0.0,0.0,1.106,1.0,1.813,0.552
107,FLAGSTAFF MEDICAL CENTER (030023),2016,Acute Care,Voluntary non-profit - Private,267.0,35.209534,-111.644835,AZ,1.015,63.0,62.066,65226.0,0.84,4767.0,3.0,3.57,0.65,2.0,3.078,66895.0,,0.0,0.325,4.0,3.356,1.192
