,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Abdomen CT Use of Contrast Material (OP-10),MRI Lumbar Spine for Low Back Pain (OP-8),Mammography Follow-up Rates (OP-9),Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery (OP-13),Outpatients with brain CT scans who got a sinus CT scan at the same time (OP-14),Thorax CT Use of Contrast Material (OP-11)
24,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2016,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,2.1,,,,6.9,3.5
25,GEORGIANA MEDICAL CENTER (010047),2016,Acute Care,Proprietary,22.0,,,AL,2.2,,,,,
26,MEDICAL CENTER ENTERPRISE (010049),2016,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,4.2,50.0,6.7,9.3,6.1,0.3
27,GREENE COUNTY HOSPITAL (010051),2016,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL,,,8.3,,,
28,FLOWERS HOSPITAL (010055),2016,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,6.2,43.0,6.1,5.4,4.1,1.0
29,ST VINCENT'S BIRMINGHAM (010056),2016,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,5.3,47.7,6.5,6.7,3.8,0.2
30,BIBB MEDICAL CENTER (010058),2016,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,6.5,,8.1,,,0.0
31,LAWRENCE MEDICAL CENTER (010059),2016,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,8.6,,9.3,,6.5,1.1
32,HIGHLANDS MEDICAL CENTER (010061),2016,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,4.5,43.9,,,3.9,0.0
33,WIREGRASS MEDICAL CENTER (010062),2016,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,33.3,,5.7,,,0.0
34,RUSSELL HOSPITAL (010065),2016,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,6.2,49.1,8.9,,1.2,1.5
35,MEDICAL CENTER BARBOUR (010069),2016,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,4.5,,6.1,5.0,,6.1
36,CLAY COUNTY HOSPITAL (010073),2016,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,1.6,,8.5,4.5,,1.6
37,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER (010078),2016,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,8.9,39.0,6.4,4.5,3.3,1.9
38,ATHENS LIMESTONE HOSPITAL (010079),2016,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,26.6,31.3,7.6,8.5,4.8,0.8
39,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2016,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,21.2,32.0,6.7,5.6,4.2,14.2
40,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS (010085),2016,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,13.6,41.2,8.7,4.2,1.8,9.8
41,NORTHWEST MEDICAL CENTER (010086),2016,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,5.4,53.6,8.0,4.3,,2.9
42,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER (010087),2016,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,22.8,,,,6.6,15.5
43,WALKER BAPTIST MEDICAL CENTER (010089),2016,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,5.1,56.4,5.2,,3.0,8.4
44,PROVIDENCE HOSPITAL (010090),2016,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,41.0,47.3,7.1,,4.2,7.0
45,GROVE HILL MEMORIAL HOSPITAL (010091),2016,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,30.8,,8.9,,,24.0
46,D C H REGIONAL MEDICAL CENTER (010092),2016,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,2.1,47.2,13.5,3.4,3.0,0.2
47,HALE COUNTY HOSPITAL (010095),2016,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,0.0,,,,0.6,
48,ELMORE COMMUNITY HOSPITAL (010097),2016,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,12.0,,5.0,,,
49,D W MCMILLAN MEMORIAL HOSPITAL (010099),2016,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,33.7,59.7,9.2,3.3,0.8,1.6
50,THOMAS HOSPITAL (010100),2016,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,15.5,38.7,8.6,,4.1,3.9
51,CITIZENS BAPTIST MEDICAL CENTER (010101),2016,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,12.4,,3.6,3.4,,6.7
52,J PAUL JONES HOSPITAL (010102),2016,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL,7.2,,5.1,,,
53,PRINCETON BAPTIST MEDICAL CENTER (010103),2016,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,12.8,42.2,4.8,,3.0,6.4
54,GRANDVIEW MEDICAL CENTER (010104),2016,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,13.4,43.8,6.9,4.9,4.4,0.5
55,PRATTVILLE BAPTIST HOSPITAL (010108),2016,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,8.0,52.6,4.9,,,0.6
56,PICKENS COUNTY MEDICAL CENTER (010109),2016,Acute Care,Government - Hospital District or Authority,49.0,33.274807,-88.089673,AL,3.8,,11.6,,,1.0
57,BULLOCK COUNTY HOSPITAL (010110),2016,Acute Care,Proprietary,54.0,32.146182,-85.71638,AL,1.7,,,,,0.0
58,BRYAN W. WHITFIELD MEMORIAL HOSPITAL (010112),2016,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,11.8,41.9,1.9,,,8.5
59,MOBILE INFIRMARY MEDICAL CENTER (010113),2016,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,64.6,39.3,9.3,,3.0,0.5
60,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2016,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,8.9,35.7,11.5,9.1,,0.0
61,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2016,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,4.5,37.1,8.1,4.0,2.1,1.7
62,MONROE COUNTY HOSPITAL (010120),2016,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,8.9,50.0,14.4,5.3,2.1,1.4
63,LAKELAND COMMUNITY HOSPITAL (010125),2016,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,6.4,36.7,13.1,4.7,,
64,TROY REGIONAL MEDICAL CENTER (010126),2016,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,17.4,,3.8,6.3,,2.1
65,JACKSON MEDICAL CENTER (010128),2016,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,29.6,,9.0,,,
66,NORTH BALDWIN INFIRMARY (010129),2016,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,32.3,,11.4,,,11.8
67,ST VINCENT'S ST CLAIR (010130),2016,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,17.6,,7.9,,4.3,24.1
68,CRESTWOOD MEDICAL CENTER (010131),2016,Acute Care,Proprietary,163.0,,,AL,6.0,41.9,6.4,4.0,7.7,0.4
69,BROOKWOOD MEDICAL CENTER (010139),2016,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,11.7,52.8,,3.6,1.8,0.0
70,SPRINGHILL MEMORIAL HOSPITAL (010144),2016,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,36.0,,6.9,4.8,2.1,0.0
71,RMC JACKSONVILLE (010146),2016,Acute Care,Proprietary,65.0,,,AL,28.2,,16.5,,9.5,0.0
72,EVERGREEN MEDICAL CENTER (010148),2016,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,4.7,39.7,,,6.1,7.7
73,BAPTIST MEDICAL CENTER EAST (010149),2016,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,5.8,43.0,,,4.2,0.3
74,L V STABLER MEMORIAL HOSPITAL (010150),2016,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,6.1,,4.1,3.5,,3.4
75,SHOALS HOSPITAL (010157),2016,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,24.4,40.7,22.7,,,5.2
76,RUSSELLVILLE HOSPITAL (010158),2016,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,17.2,47.8,13.0,,,19.7
77,COOSA VALLEY MEDICAL CENTER (010164),2016,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,2.2,45.8,6.0,6.9,3.8,1.8
78,JACK HUGHSTON MEMORIAL HOSPITAL (010168),2016,Acute Care,Government - State,52.0,32.509045,-85.005696,AL,2.2,,,,,0.0
79,ATMORE COMMUNITY HOSPITAL (010169),2016,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,20.9,,8.7,9.7,,
80,WASHINGTON COUNTY HOSPITAL (011300),2016,Critical Access,Proprietary,103.0,31.460296,-88.235291,AL,3.7,,,,,4.0
81,RED BAY HOSPITAL (011302),2016,Critical Access,Government - Hospital District or Authority,25.0,34.457425,-88.146934,AL,9.2,,7.8,,,
82,CHOCTAW GENERAL HOSPITAL (011304),2016,Critical Access,Voluntary non-profit - Private,25.0,,,AL,5.5,,,,,1.7
83,ST VINCENTS BLOUNT (011305),2016,Critical Access,Voluntary non-profit - Private,25.0,33.932537,-86.493059,AL,7.8,,11.1,,,6.0
84,PROVIDENCE ALASKA MEDICAL CENTER (020001),2016,Acute Care,Voluntary non-profit - Church,394.0,61.189798,-149.817622,AK,4.9,50.0,,1.9,1.5,0.7
85,MAT-SU REGIONAL MEDICAL CENTER (020006),2016,Acute Care,Voluntary non-profit - Private,90.0,61.561217,-149.258718,AK,6.9,,12.1,,1.8,1.2
86,BARTLETT REGIONAL HOSPITAL (020008),2016,Acute Care,Government - Local,58.0,58.328696,-134.466829,AK,3.0,,8.8,,,0.0
87,FAIRBANKS MEMORIAL HOSPITAL (020012),2016,Acute Care,Voluntary non-profit - Other,213.0,64.831407,-147.736254,AK,4.2,61.8,8.5,5.4,1.3,0.3
88,ALASKA REGIONAL HOSPITAL (020017),2016,Acute Care,Proprietary,169.0,61.20979,-149.827379,AK,7.5,,9.4,,,1.5
89,CENTRAL PENINSULA GENERAL HOSPITAL (020024),2016,Acute Care,Voluntary non-profit - Other,186.0,60.493865,-151.077658,AK,7.8,32.9,8.0,5.5,,0.0
90,PROVIDENCE KODIAK ISLAND MEDICAL CTR (021306),2016,Critical Access,Voluntary non-profit - Church,46.0,57.800835,-152.373943,AK,,,13.9,,,
91,PEACEHEALTH KETCHIKAN MEDICAL CENTER (021311),2016,Critical Access,Voluntary non-profit - Church,51.0,55.352717,-131.686049,AK,6.6,,6.7,,,0.0
92,SOUTH PENINSULA HOSPITAL (021313),2016,Critical Access,Voluntary non-profit - Private,49.0,59.652133,-151.550296,AK,5.7,,10.8,,,0.0
93,ABRAZO MARYVALE CAMPUS (030001),2016,Acute Care,Proprietary,231.0,,,AZ,1.1,,,,,
94,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX (030002),2016,Acute Care,Voluntary non-profit - Other,706.0,33.465724,-112.058127,AZ,14.6,,8.0,1.4,,0.0
95,TUCSON MEDICAL CENTER (030006),2016,Acute Care,Voluntary non-profit - Private,520.0,32.250749,-110.880169,AZ,1.8,,9.2,3.0,5.9,2.9
96,VERDE VALLEY MEDICAL CENTER (030007),2016,Acute Care,Voluntary non-profit - Private,102.0,34.736201,-112.031784,AZ,3.0,31.5,5.4,3.2,3.1,0.0
97,ST. MARY'S HOSPITAL (030010),2016,Acute Care,Voluntary non-profit - Private,398.0,32.228923,-111.000032,AZ,5.5,,6.0,3.7,4.7,3.8
98,ST JOSEPH'S HOSPITAL (030011),2016,Acute Care,Voluntary non-profit - Other,474.0,32.225946,-110.857838,AZ,1.7,,,3.8,4.8,2.6
99,YAVAPAI REGIONAL MEDICAL CENTER (030012),2016,Acute Care,Government - Local,179.0,34.55938,-112.482065,AZ,10.5,,8.8,3.6,2.3,18.8
100,YUMA REGIONAL MEDICAL CENTER (030013),2016,Acute Care,Voluntary non-profit - Private,397.0,32.683899,-114.633238,AZ,52.3,40.7,6.7,5.2,2.9,6.8
101,JOHN C. LINCOLN MEDICAL CENTER (030014),2016,Acute Care,Voluntary non-profit - Private,258.0,33.567754,-112.07063,AZ,6.6,48.7,8.8,9.0,6.9,1.7
102,BANNER CASA GRANDE MEDICAL CENTER (030016),2016,Acute Care,Voluntary non-profit - Other,156.0,32.879608,-111.709253,AZ,25.8,,6.4,7.0,2.7,2.0
103,MARICOPA MEDICAL CENTER (030022),2016,Acute Care,Government - Local,570.0,33.458525,-112.02643,AZ,4.4,,8.3,,,1.6
104,FLAGSTAFF MEDICAL CENTER (030023),2016,Acute Care,Voluntary non-profit - Private,267.0,35.209534,-111.644835,AZ,1.1,39.0,,1.0,4.1,0.5
105,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER (030024),2016,Acute Care,Voluntary non-profit - Church,560.0,33.480294,-112.079208,AZ,2.8,33.3,7.7,9.2,1.8,0.0
106,ABRAZO CENTRAL CAMPUS (030030),2016,Acute Care,Proprietary,186.0,33.524116,-112.101934,AZ,2.7,,3.4,6.3,,
107,BANNER PAYSON MEDICAL CENTER (030033),2016,Acute Care,Voluntary non-profit - Other,36.0,,,AZ,10.1,29.0,5.1,2.0,,5.1
108,CHANDLER REGIONAL MEDICAL CENTER (030036),2016,Acute Care,Voluntary non-profit - Other,318.0,33.298691,-111.873508,AZ,0.8,,13.0,5.2,4.1,0.0
109,ST LUKE'S MEDICAL CENTER (030037),2016,Acute Care,Proprietary,209.0,33.451436,-112.042767,AZ,1.4,,,,,
110,SCOTTSDALE OSBORN MEDICAL CENTER (030038),2016,Acute Care,Proprietary,360.0,33.487639,-111.922725,AZ,0.6,,,7.3,2.4,2.2
111,CANYON VISTA MEDICAL CENTER (030043),2016,Acute Care,Voluntary non-profit - Other,92.0,31.554635,-110.230726,AZ,14.1,47.1,14.8,4.7,2.6,7.8
112,KINGMAN REGIONAL MEDICAL CENTER (030055),2016,Acute Care,Government - Hospital District or Authority,221.0,35.219907,-114.035813,AZ,13.4,30.6,8.0,4.2,2.9,11.7
113,BANNER BOSWELL MEDICAL CENTER (030061),2016,Acute Care,Voluntary non-profit - Other,508.0,33.604798,-112.282538,AZ,2.7,,9.7,2.0,3.7,1.0
114,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER (030062),2016,Acute Care,Voluntary non-profit - Private,91.0,34.201967,-110.01839,AZ,12.6,47.9,8.0,9.4,4.0,16.8
115,BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS (030064),2016,Acute Care,Voluntary non-profit - Private,511.0,32.242362,-110.944092,AZ,1.5,36.7,3.7,6.4,6.4,0.0
116,BANNER DESERT MEDICAL CENTER (030065),2016,Acute Care,Voluntary non-profit - Private,632.0,33.39091,-111.874624,AZ,2.2,,,1.9,4.5,1.9
117,MT. GRAHAM REGIONAL MEDICAL CENTER (030068),2016,Acute Care,Government - Hospital District or Authority,45.0,32.821883,-109.732994,AZ,4.1,,5.8,2.2,,1.2
118,HAVASU REGIONAL MEDICAL CENTER (030069),2016,Acute Care,Proprietary,169.0,34.47998,-114.338537,AZ,15.2,36.6,7.9,2.9,3.1,4.8
119,ABRAZO SCOTTSDALE CAMPUS (030083),2016,Acute Care,Proprietary,129.0,33.640603,-111.997692,AZ,1.6,,,,5.7,
120,NORTHWEST MEDICAL CENTER (030085),2016,Acute Care,Proprietary,283.0,32.319581,-111.012054,AZ,7.0,,4.5,3.9,0.9,7.3
121,SCOTTSDALE SHEA MEDICAL CENTER (030087),2016,Acute Care,Proprietary,426.0,33.582467,-111.886032,AZ,0.3,,,4.7,2.2,2.1
122,BANNER BAYWOOD MEDICAL CENTER (030088),2016,Acute Care,Voluntary non-profit - Private,340.0,33.410465,-111.688045,AZ,3.0,,13.6,5.0,2.8,0.9
123,BANNER THUNDERBIRD MEDICAL CENTER (030089),2016,Acute Care,Government - Hospital District or Authority,566.0,33.610731,-112.178698,AZ,1.7,,5.0,7.9,3.0,0.5
124,HONORHEALTH DEER VALLEY MEDICAL CENTER (030092),2016,Acute Care,Voluntary non-profit - Private,201.0,33.666425,-112.117188,AZ,4.7,,10.9,6.9,5.2,1.3
125,BANNER DEL E. WEBB MEDICAL CENTER (030093),2016,Acute Care,Voluntary non-profit - Private,390.0,33.658307,-112.371939,AZ,5.7,46.3,9.1,7.4,2.0,8.3
126,ABRAZO ARROWHEAD CAMPUS (030094),2016,Acute Care,Proprietary,244.0,33.655042,-112.202889,AZ,3.1,,8.8,,,4.1
127,WESTERN ARIZONA REGIONAL MEDICAL CENTER (030101),2016,Acute Care,Proprietary,133.0,35.109853,-114.555146,AZ,13.3,,2.8,,4.9,10.5
128,MAYO CLINIC HOSPITAL (030103),2016,Acute Care,Voluntary non-profit - Private,277.0,33.663312,-111.955659,AZ,6.4,39.0,,8.2,2.3,0.5
129,ABRAZO WEST CAMPUS (030110),2016,Acute Care,Proprietary,190.0,33.464283,-112.354024,AZ,1.5,,,,4.4,1.4
130,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS (030111),2016,Acute Care,Voluntary non-profit - Private,207.0,32.177882,-110.930891,AZ,1.5,,,11.8,4.4,0.0
131,ORO VALLEY HOSPITAL (030114),2016,Acute Care,Proprietary,148.0,32.427183,-110.94954,AZ,6.5,,7.6,4.5,1.2,4.2
132,BANNER ESTRELLA MEDICAL CENTER (030115),2016,Acute Care,Voluntary non-profit - Private,288.0,33.479558,-112.257936,AZ,1.8,,,,2.6,1.8
133,VALLEY VIEW MEDICAL CENTER (030117),2016,Acute Care,Proprietary,82.0,35.002363,-114.597954,AZ,21.2,41.2,5.8,,2.1,18.2
134,YAVAPAI REGIONAL MEDICAL CENTER-EAST CAMPUS (030118),2016,Acute Care,Proprietary,61.0,,,AZ,17.0,41.1,7.3,4.5,1.6,12.2
135,MERCY GILBERT MEDICAL CENTER (030119),2016,Acute Care,Voluntary non-profit - Church,202.0,33.286661,-111.755311,AZ,0.9,,10.8,5.9,2.9,0.0
136,GILBERT HOSPITAL (030120),2016,Acute Care,Proprietary,19.0,,,AZ,0.0,,,,,
137,"MOUNTAIN VISTA MEDICAL CENTER, LP (030121)",2016,Acute Care,Proprietary,171.0,33.3911,-111.615329,AZ,4.1,,13.9,,5.5,1.4
138,BANNER GATEWAY MEDICAL CENTER (030122),2016,Acute Care,Voluntary non-profit - Other,170.0,33.384225,-111.719634,AZ,2.2,,9.4,,5.3,0.4
139,SCOTTSDALE THOMPSON PEAK MEDICAL CENTER (030123),2016,Acute Care,Proprietary,98.0,33.669777,-111.921803,AZ,0.2,,,4.4,3.8,0.0
140,BANNER IRONWOOD MEDICAL CENTER (030130),2016,Acute Care,Voluntary non-profit - Private,61.0,33.214839,-111.563447,AZ,2.9,,,,,0.8
141,"FLORENCE HOSPITAL AT ANTHEM, LLC (030132)",2016,Acute Care,Proprietary,36.0,,,AZ,6.6,,,,,
142,BANNER GOLDFIELD MEDICAL CENTER (030134),2016,Acute Care,Voluntary non-profit - Other,23.0,33.393343,-111.566796,AZ,0.5,,,,,0.0
143,PAGE HOSPITAL (031304),2016,Critical Access,Government - Hospital District or Authority,25.0,36.91696,-111.463186,AZ,5.4,,3.6,,,
144,SAGE MEMORIAL HOSPITAL (031309),2016,Critical Access,Voluntary non-profit - Private,25.0,,,AZ,0.0,,,,,
145,HOLY CROSS HOSPITAL (031313),2016,Critical Access,Proprietary,30.0,31.341118,-110.958734,AZ,13.0,,3.9,,,5.7
146,WHITE MOUNTAIN REGIONAL MEDICAL CENTER (031315),2016,Critical Access,Voluntary non-profit - Private,21.0,34.132136,-109.286545,AZ,8.8,,,3.4,,1.9
147,SILOAM SPRINGS REGIONAL HOSPITAL (040001),2016,Acute Care,Proprietary,46.0,36.190377,-94.509658,AR,6.0,,16.0,0.0,,2.0
148,JOHNSON REGIONAL MEDICAL CENTER (040002),2016,Acute Care,Voluntary non-profit - Private,86.0,35.464384,-93.445797,AR,6.0,,13.5,,,2.2
149,WASHINGTON REGIONAL MEDICAL CENTER (040004),2016,Acute Care,Voluntary non-profit - Private,314.0,36.110984,-94.157862,AR,5.7,,,2.3,2.6,0.8
150,CHI-ST VINCENT INFIRMARY (040007),2016,Acute Care,Voluntary non-profit - Private,414.0,,,AR,3.2,40.4,,3.1,2.6,0.5
151,MERCY HOSPITAL NORTHWEST ARKANSAS (040010),2016,Acute Care,Voluntary non-profit - Church,201.0,36.309562,-94.184709,AR,10.2,38.7,12.4,4.1,2.2,9.8
152,CHAMBERS MEMORIAL HOSPITAL (040011),2016,Acute Care,Voluntary non-profit - Private,41.0,35.054823,-93.388543,AR,0.9,,17.8,,,1.5
153,WHITE COUNTY MEDICAL CENTER (040014),2016,Acute Care,Voluntary non-profit - Private,315.0,35.250446,-91.696758,AR,14.4,43.8,,3.2,1.8,0.1
154,MENA REGIONAL HEALTH SYSTEM (040015),2016,Acute Care,Government - Local,65.0,34.588386,-94.221383,AR,5.0,39.4,13.8,5.5,,3.2
155,UAMS MEDICAL CENTER (040016),2016,Acute Care,Government - State,480.0,34.751583,-92.320998,AR,3.0,35.7,12.3,3.6,1.3,0.5
156,NORTH ARKANSAS REGIONAL MEDICAL CENTER (040017),2016,Acute Care,Voluntary non-profit - Other,133.0,36.236281,-93.107148,AR,15.6,45.8,11.9,,2.3,8.9
157,SPARKS MEDICAL CENTER - VAN BUREN (040018),2016,Acute Care,Proprietary,68.0,35.434175,-94.339451,AR,13.2,,15.6,,,1.9
158,FORREST CITY MEDICAL CENTER (040019),2016,Acute Care,Proprietary,68.0,35.039275,-90.771894,AR,9.3,41.3,8.5,,4.8,9.7
159,ST BERNARDS MEDICAL CENTER (040020),2016,Acute Care,Voluntary non-profit - Private,376.0,35.837478,-90.702142,AR,43.3,36.2,12.3,3.1,4.4,0.3
160,NORTHWEST MEDICAL CENTER-SPRINGDALE (040022),2016,Acute Care,Proprietary,325.0,36.181394,-94.136464,AR,11.9,51.4,12.1,7.1,3.5,6.0
161,CHI ST. VINCENT HOSPITAL HOT SPRINGS (040026),2016,Acute Care,Voluntary non-profit - Church,235.0,34.466035,-93.066396,AR,9.0,48.5,13.7,3.3,3.0,3.6
162,BAXTER REGIONAL MEDICAL CENTER (040027),2016,Acute Care,Voluntary non-profit - Private,214.0,36.343067,-92.395905,AR,13.1,40.1,10.2,3.7,3.0,2.2
163,CONWAY REGIONAL MEDICAL CENTER (040029),2016,Acute Care,Voluntary non-profit - Private,151.0,35.084826,-92.457103,AR,9.7,45.9,9.8,,2.9,0.4
164,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK (040036),2016,Acute Care,Voluntary non-profit - Private,212.0,34.784075,-92.218633,AR,2.2,41.4,7.9,4.8,2.3,0.0
