,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Abdomen CT Use of Contrast Material (OP-10),MRI Lumbar Spine for Low Back Pain (OP-8),Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery (OP-13)
34,ATHENS LIMESTONE HOSPITAL (010079),2021,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,5.5,,6.3
35,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2021,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,2.1,,5.0
36,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS (010085),2021,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,5.2,,5.4
37,NORTHWEST MEDICAL CENTER (010086),2021,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,1.1,,5.5
38,USA HEALTH UNIVERSITY HOSPITAL (010087),2021,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,9.5,,
39,WALKER BAPTIST MEDICAL CENTER (010089),2021,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,1.0,,
40,PROVIDENCE HOSPITAL (010090),2021,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,7.5,,
41,GROVE HILL MEMORIAL HOSPITAL (010091),2021,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,2.9,,
42,DCH REGIONAL MEDICAL CENTER (010092),2021,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,1.4,48.9,
43,ELMORE COMMUNITY HOSPITAL (010097),2021,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,2.0,,
44,D W MCMILLAN MEMORIAL HOSPITAL (010099),2021,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,2.2,,
45,THOMAS HOSPITAL (010100),2021,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,2.1,34.0,
46,CITIZENS BAPTIST MEDICAL CENTER (010101),2021,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,0.0,,
47,PRINCETON BAPTIST MEDICAL CENTER (010103),2021,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,5.2,,
48,GRANDVIEW MEDICAL CENTER (010104),2021,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,1.6,,
49,PRATTVILLE BAPTIST HOSPITAL (010108),2021,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,1.8,,
50,WHITFIELD REGIONAL HOSPITAL (010112),2021,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,2.3,,
51,MOBILE INFIRMARY MEDICAL CENTER (010113),2021,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,4.0,41.5,
52,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2021,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,1.5,,3.7
53,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2021,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,0.6,50.0,
54,MONROE COUNTY HOSPITAL (010120),2021,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,0.0,,
55,LAKELAND COMMUNITY HOSPITAL (010125),2021,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,0.0,,
56,TROY REGIONAL MEDICAL CENTER (010126),2021,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,0.0,,
57,JACKSON MEDICAL CENTER (010128),2021,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,1.9,,
58,NORTH BALDWIN INFIRMARY (010129),2021,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,0.0,,
59,ST VINCENT'S ST CLAIR (010130),2021,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,2.1,,
60,CRESTWOOD MEDICAL CENTER (010131),2021,Acute Care,Proprietary,163.0,,,AL,0.9,,
61,BROOKWOOD BAPTIST MEDICAL CENTER (010139),2021,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,2.0,,3.7
62,SPRINGHILL MEDICAL CENTER (010144),2021,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,0.8,,
63,EVERGREEN MEDICAL CENTER (010148),2021,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,0.9,,
64,BAPTIST MEDICAL CENTER EAST (010149),2021,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,1.8,45.2,
65,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL (010150),2021,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,0.0,,
66,SHOALS HOSPITAL (010157),2021,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,7.4,,
67,RUSSELLVILLE HOSPITAL (010158),2021,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,3.6,,
68,COOSA VALLEY MEDICAL CENTER (010164),2021,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,1.1,40.0,1.3
69,ATMORE COMMUNITY HOSPITAL (010169),2021,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,2.1,,
70,ST VINCENT'S CHILTON (010173),2021,Acute Care,Voluntary non-profit - Church,26.0,32.876585,-86.623511,AL,4.1,,
71,WASHINGTON COUNTY HOSPITAL (011300),2021,Critical Access,Proprietary,103.0,31.460296,-88.235291,AL,1.7,,
72,RED BAY HOSPITAL (011302),2021,Critical Access,Government - Hospital District or Authority,25.0,34.457425,-88.146934,AL,0.0,,
73,CHOCTAW GENERAL HOSPITAL (011304),2021,Critical Access,Voluntary non-profit - Private,25.0,,,AL,0.0,,
74,ST VINCENTS BLOUNT (011305),2021,Critical Access,Voluntary non-profit - Private,25.0,33.932537,-86.493059,AL,1.7,,
75,TANNER MEDICAL CENTER-EAST ALABAMA (011306),2021,Critical Access,Government - Hospital District or Authority,15.0,33.296666,-85.480028,AL,0.9,,
76,PROVIDENCE ALASKA MEDICAL CENTER (020001),2021,Acute Care,Voluntary non-profit - Church,394.0,61.189798,-149.817622,AK,0.5,,
77,MAT-SU REGIONAL MEDICAL CENTER (020006),2021,Acute Care,Voluntary non-profit - Private,90.0,61.561217,-149.258718,AK,1.3,,
78,BARTLETT REGIONAL HOSPITAL (020008),2021,Acute Care,Government - Local,58.0,58.328696,-134.466829,AK,1.7,,
79,FAIRBANKS MEMORIAL HOSPITAL (020012),2021,Acute Care,Voluntary non-profit - Other,213.0,64.831407,-147.736254,AK,0.9,33.3,3.1
80,ALASKA REGIONAL HOSPITAL (020017),2021,Acute Care,Proprietary,169.0,61.20979,-149.827379,AK,0.7,,
81,CENTRAL PENINSULA GENERAL HOSPITAL (020024),2021,Acute Care,Voluntary non-profit - Other,186.0,60.493865,-151.077658,AK,2.4,,6.4
82,PEACEHEALTH KETCHIKAN MEDICAL CENTER (021311),2021,Critical Access,Voluntary non-profit - Church,51.0,55.352717,-131.686049,AK,3.5,,
83,SOUTH PENINSULA HOSPITAL (021313),2021,Critical Access,Voluntary non-profit - Private,49.0,59.652133,-151.550296,AK,0.0,,
84,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX (030002),2021,Acute Care,Voluntary non-profit - Other,706.0,33.465724,-112.058127,AZ,3.1,,2.6
85,TUCSON MEDICAL CENTER (030006),2021,Acute Care,Voluntary non-profit - Private,520.0,32.250749,-110.880169,AZ,0.0,,4.3
86,VERDE VALLEY MEDICAL CENTER (030007),2021,Acute Care,Voluntary non-profit - Private,102.0,34.736201,-112.031784,AZ,0.4,35.1,1.5
87,ST. MARY'S HOSPITAL (030010),2021,Acute Care,Voluntary non-profit - Private,398.0,32.228923,-111.000032,AZ,0.6,,
88,ST JOSEPH'S HOSPITAL (030011),2021,Acute Care,Voluntary non-profit - Other,474.0,32.225946,-110.857838,AZ,0.0,,
89,YAVAPAI REGIONAL MEDICAL CENTER (030012),2021,Acute Care,Government - Local,179.0,34.55938,-112.482065,AZ,5.3,40.2,3.4
90,YUMA REGIONAL MEDICAL CENTER (030013),2021,Acute Care,Voluntary non-profit - Private,397.0,32.683899,-114.633238,AZ,5.5,49.3,2.6
91,JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL (030014),2021,Acute Care,Voluntary non-profit - Private,258.0,33.567754,-112.07063,AZ,2.7,,
92,BANNER CASA GRANDE MEDICAL CENTER (030016),2021,Acute Care,Voluntary non-profit - Other,156.0,32.879608,-111.709253,AZ,0.3,,
93,VALLEYWISE HEALTH MEDICAL CENTER (030022),2021,Acute Care,Government - Local,570.0,33.458525,-112.02643,AZ,0.0,,
94,FLAGSTAFF MEDICAL CENTER (030023),2021,Acute Care,Voluntary non-profit - Private,267.0,35.209534,-111.644835,AZ,0.6,,
95,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER (030024),2021,Acute Care,Voluntary non-profit - Church,560.0,33.480294,-112.079208,AZ,1.0,,
96,ABRAZO CENTRAL CAMPUS (030030),2021,Acute Care,Proprietary,186.0,33.524116,-112.101934,AZ,0.0,,
97,CHANDLER REGIONAL MEDICAL CENTER (030036),2021,Acute Care,Voluntary non-profit - Other,318.0,33.298691,-111.873508,AZ,0.0,,3.6
98,ST LUKE'S MEDICAL CENTER (030037),2021,Acute Care,Proprietary,209.0,33.451436,-112.042767,AZ,0.0,,
99,HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER (030038),2021,Acute Care,Proprietary,360.0,33.487639,-111.922725,AZ,0.0,,
100,CANYON VISTA MEDICAL CENTER (030043),2021,Acute Care,Voluntary non-profit - Other,92.0,31.554635,-110.230726,AZ,2.4,,2.5
101,KINGMAN REGIONAL MEDICAL CENTER (030055),2021,Acute Care,Government - Hospital District or Authority,221.0,35.219907,-114.035813,AZ,5.1,,5.9
102,BANNER BOSWELL MEDICAL CENTER (030061),2021,Acute Care,Voluntary non-profit - Other,508.0,33.604798,-112.282538,AZ,0.5,,
103,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER (030062),2021,Acute Care,Voluntary non-profit - Private,91.0,34.201967,-110.01839,AZ,2.0,31.1,
104,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS (030064),2021,Acute Care,Voluntary non-profit - Private,511.0,32.242362,-110.944092,AZ,2.0,,4.7
105,BANNER DESERT MEDICAL CENTER (030065),2021,Acute Care,Voluntary non-profit - Private,632.0,33.39091,-111.874624,AZ,0.0,,
106,MT. GRAHAM REGIONAL MEDICAL CENTER (030068),2021,Acute Care,Government - Hospital District or Authority,45.0,32.821883,-109.732994,AZ,0.0,,
107,HAVASU REGIONAL MEDICAL CENTER (030069),2021,Acute Care,Proprietary,169.0,34.47998,-114.338537,AZ,2.5,,1.8
108,ABRAZO SCOTTSDALE CAMPUS (030083),2021,Acute Care,Proprietary,129.0,33.640603,-111.997692,AZ,0.0,,
109,NORTHWEST MEDICAL CENTER (030085),2021,Acute Care,Proprietary,283.0,32.319581,-111.012054,AZ,0.5,,3.5
110,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER (030087),2021,Acute Care,Proprietary,426.0,33.582467,-111.886032,AZ,0.0,,
111,BANNER BAYWOOD MEDICAL CENTER (030088),2021,Acute Care,Voluntary non-profit - Private,340.0,33.410465,-111.688045,AZ,0.8,,0.0
112,BANNER THUNDERBIRD MEDICAL CENTER (030089),2021,Acute Care,Government - Hospital District or Authority,566.0,33.610731,-112.178698,AZ,0.3,,
113,HONORHEALTH DEER VALLEY MEDICAL CENTER (030092),2021,Acute Care,Voluntary non-profit - Private,201.0,33.666425,-112.117188,AZ,0.8,,
114,BANNER DEL E. WEBB MEDICAL CENTER (030093),2021,Acute Care,Voluntary non-profit - Private,390.0,33.658307,-112.371939,AZ,0.3,,
115,ABRAZO ARROWHEAD HOSPITAL (030094),2021,Acute Care,Proprietary,244.0,33.655042,-112.202889,AZ,0.3,,2.9
116,WESTERN ARIZONA REGIONAL MEDICAL CENTER (030101),2021,Acute Care,Proprietary,133.0,35.109853,-114.555146,AZ,1.9,,
117,MAYO CLINIC HOSPITAL (030103),2021,Acute Care,Voluntary non-profit - Private,277.0,33.663312,-111.955659,AZ,1.0,49.2,7.1
118,ABRAZO WEST CAMPUS (030110),2021,Acute Care,Proprietary,190.0,33.464283,-112.354024,AZ,0.3,,
119,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS (030111),2021,Acute Care,Voluntary non-profit - Private,207.0,32.177882,-110.930891,AZ,1.2,,
120,ORO VALLEY HOSPITAL (030114),2021,Acute Care,Proprietary,148.0,32.427183,-110.94954,AZ,0.8,,2.9
121,BANNER ESTRELLA MEDICAL CENTER (030115),2021,Acute Care,Voluntary non-profit - Private,288.0,33.479558,-112.257936,AZ,0.9,,
122,VALLEY VIEW MEDICAL CENTER (030117),2021,Acute Care,Proprietary,82.0,35.002363,-114.597954,AZ,1.7,,
123,MERCY GILBERT MEDICAL CENTER (030119),2021,Acute Care,Voluntary non-profit - Church,202.0,33.286661,-111.755311,AZ,0.3,,4.9
124,"MOUNTAIN VISTA MEDICAL CENTER, LP (030121)",2021,Acute Care,Proprietary,171.0,33.3911,-111.615329,AZ,0.0,,
125,BANNER GATEWAY MEDICAL CENTER (030122),2021,Acute Care,Voluntary non-profit - Other,170.0,33.384225,-111.719634,AZ,1.9,,
126,HONOR HEALTH THOMPSON PEAK MEDICAL CENTER (030123),2021,Acute Care,Proprietary,98.0,33.669777,-111.921803,AZ,0.4,,
127,BANNER IRONWOOD MEDICAL CENTER (030130),2021,Acute Care,Voluntary non-profit - Private,61.0,33.214839,-111.563447,AZ,0.4,,
128,BANNER GOLDFIELD MEDICAL CENTER (030134),2021,Acute Care,Voluntary non-profit - Other,23.0,33.393343,-111.566796,AZ,0.0,,
129,DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL (030136),2021,Acute Care,Proprietary,14.0,33.380677,-112.168233,AZ,0.0,,
130,SANTA CRUZ VALLEY REGIONAL HOSPITAL (030137),2021,Acute Care,Proprietary,49.0,31.807943,-111.010966,AZ,0.0,,
131,WESTERN REGIONAL MEDICAL CENTER (030138),2021,Acute Care,Proprietary,38.0,33.452804,-112.362571,AZ,0.9,,
132,DIGNITY HEALTH ARIZONA GENERAL HOSPITAL (030139),2021,Acute Care,Voluntary non-profit - Private,50.0,,,AZ,0.0,,
133,"NORTHERN COCHISE COMMUNITY HOSPITAL, INC. (031302)",2021,Critical Access,Government - Hospital District or Authority,39.0,32.264268,-109.837613,AZ,2.9,,
134,PAGE HOSPITAL (031304),2021,Critical Access,Government - Hospital District or Authority,25.0,36.91696,-111.463186,AZ,3.8,,
135,HOLY CROSS HOSPITAL (031313),2021,Critical Access,Proprietary,30.0,31.341118,-110.958734,AZ,1.4,,
136,WHITE MOUNTAIN REGIONAL MEDICAL CENTER (031315),2021,Critical Access,Voluntary non-profit - Private,21.0,34.132136,-109.286545,AZ,1.3,,
137,BANNER PAYSON MEDICAL CENTER (031318),2021,Critical Access,Voluntary non-profit - Other,25.0,34.231351,-111.321361,AZ,2.3,,
138,SILOAM SPRINGS REGIONAL HOSPITAL (040001),2021,Acute Care,Proprietary,46.0,36.190377,-94.509658,AR,1.6,,
139,JOHNSON REGIONAL MEDICAL CENTER (040002),2021,Acute Care,Voluntary non-profit - Private,86.0,35.464384,-93.445797,AR,0.0,,
140,WASHINGTON REGIONAL MEDICAL CENTER (040004),2021,Acute Care,Voluntary non-profit - Private,314.0,36.110984,-94.157862,AR,0.9,,1.6
141,CHI-ST VINCENT INFIRMARY (040007),2021,Acute Care,Voluntary non-profit - Private,414.0,,,AR,1.4,,3.6
142,MERCY HOSPITAL ROGERS (040010),2021,Acute Care,Voluntary non-profit - Church,201.0,36.309562,-94.184709,AR,2.6,40.0,1.2
143,WHITE COUNTY MEDICAL CENTER (040014),2021,Acute Care,Voluntary non-profit - Private,315.0,35.250446,-91.696758,AR,2.5,,3.2
144,MENA REGIONAL HEALTH SYSTEM (040015),2021,Acute Care,Government - Local,65.0,34.588386,-94.221383,AR,3.1,,3.0
145,UAMS MEDICAL CENTER (040016),2021,Acute Care,Government - State,480.0,34.751583,-92.320998,AR,2.1,,4.5
146,NORTH ARKANSAS REGIONAL MEDICAL CENTER (040017),2021,Acute Care,Voluntary non-profit - Other,133.0,36.236281,-93.107148,AR,2.5,45.5,
147,BAPTIST HEALTH - VAN BUREN (040018),2021,Acute Care,Proprietary,68.0,35.434175,-94.339451,AR,2.6,,
148,FORREST CITY MEDICAL CENTER (040019),2021,Acute Care,Proprietary,68.0,35.039275,-90.771894,AR,3.1,,
149,ST BERNARDS MEDICAL CENTER (040020),2021,Acute Care,Voluntary non-profit - Private,376.0,35.837478,-90.702142,AR,4.7,36.3,4.0
150,NORTHWEST MEDICAL CENTER-SPRINGDALE (040022),2021,Acute Care,Proprietary,325.0,36.181394,-94.136464,AR,1.1,,2.5
151,ST VINCENT HOT SPRINGS (040026),2021,Acute Care,Voluntary non-profit - Church,235.0,34.466035,-93.066396,AR,3.4,45.1,4.2
152,BAXTER REGIONAL MEDICAL CENTER (040027),2021,Acute Care,Voluntary non-profit - Private,214.0,36.343067,-92.395905,AR,7.6,36.0,2.7
153,CONWAY REGIONAL HEALTH SYSTEM (040029),2021,Acute Care,Voluntary non-profit - Private,151.0,35.084826,-92.457103,AR,2.3,48.6,3.5
154,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK (040036),2021,Acute Care,Voluntary non-profit - Private,212.0,34.784075,-92.218633,AR,1.2,38.8,4.2
155,ARKANSAS METHODIST MEDICAL CENTER (040039),2021,Acute Care,Voluntary non-profit - Private,129.0,36.052593,-90.499051,AR,1.1,,
156,ST MARYS REGIONAL MEDICAL CENTER (040041),2021,Acute Care,Proprietary,155.0,35.28286,-93.149908,AR,1.1,,1.4
157,FIVE RIVERS MEDICAL CENTER (040047),2021,Acute Care,Voluntary non-profit - Private,44.0,36.289911,-90.996334,AR,1.7,,
158,OUACHITA COUNTY MEDICAL CENTER (040050),2021,Acute Care,Voluntary non-profit - Private,97.0,,,AR,5.6,,
159,DREW MEMORIAL HOSPITAL (040051),2021,Acute Care,Voluntary non-profit - Private,51.0,33.610628,-91.814978,AR,11.4,,
160,BAPTIST HEALTH - FORT SMITH (040055),2021,Acute Care,Proprietary,288.0,35.374527,-94.421311,AR,3.7,,
161,MERCY HOSPITAL FORT SMITH (040062),2021,Acute Care,Voluntary non-profit - Private,367.0,35.353647,-94.352964,AR,2.2,48.9,3.9
162,MAGNOLIA HOSPITAL (040067),2021,Acute Care,Government - Local,38.0,33.275123,-93.240071,AR,0.9,,
163,GREAT RIVER MEDICAL CENTER (040069),2021,Acute Care,Voluntary non-profit - Other,106.0,35.943011,-89.918929,AR,1.9,,
164,JEFFERSON REGIONAL MEDICAL CENTER (040071),2021,Acute Care,Voluntary non-profit - Private,322.0,34.189066,-92.018453,AR,3.9,43.5,6.0
165,BAPTIST HEALTH MEDICAL CENTER-STUTTGART (040072),2021,Acute Care,Voluntary non-profit - Private,49.0,34.517773,-91.557572,AR,3.0,,
166,BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY (040076),2021,Acute Care,Voluntary non-profit - Private,69.0,34.358913,-92.786418,AR,0.8,,
167,NATIONAL PARK MEDICAL CENTER (040078),2021,Acute Care,Proprietary,162.0,34.486239,-93.033554,AR,3.3,,3.5
168,SALINE MEMORIAL HOSPITAL (040084),2021,Acute Care,Voluntary non-profit - Private,165.0,34.573552,-92.584405,AR,1.7,,
169,HELENA REGIONAL MEDICAL CENTER (040085),2021,Acute Care,Proprietary,133.0,34.508357,-90.62733,AR,0.8,,
170,MEDICAL CENTER OF SOUTH ARKANSAS (040088),2021,Acute Care,Proprietary,124.0,33.218378,-92.67103,AR,1.8,,1.4
171,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK (040114),2021,Acute Care,Voluntary non-profit - Private,773.0,,,AR,1.3,41.8,4.1
172,"BAPTIST MEMORIAL HOSPITAL JONESBORO, INC. (040118)",2021,Acute Care,Voluntary non-profit - Private,168.0,35.864204,-90.639107,AR,7.9,38.8,3.7
173,WHITE RIVER MEDICAL CENTER (040119),2021,Acute Care,Voluntary non-profit - Private,202.0,35.769572,-91.634721,AR,0.4,,1.2
174,"ARKANSAS HEART HOSPITAL, LLC (040134)",2021,Acute Care,Proprietary,112.0,34.739159,-92.394421,AR,4.7,,3.7
175,ST VINCENT MEDICAL CENTER/NORTH (040137),2021,Acute Care,Voluntary non-profit - Private,59.0,34.814378,-92.207514,AR,0.9,,
176,ARKANSAS SURGICAL HOSPITAL (040147),2021,Acute Care,Physician,49.0,34.801458,-92.347687,AR,,32.5,
177,WADLEY REGIONAL MEDICAL CENTER AT HOPE (040153),2021,Acute Care,Proprietary,70.0,33.648008,-93.587052,AR,0.0,,
178,BAPTIST HEALTH MEDICAL CENTER- CONWAY (040154),2021,Acute Care,Voluntary non-profit - Private,111.0,,,AR,1.6,,4.3
179,"BAPTIST MEMORIAL HOSPITAL-CRITTENDEN, INC (040156)",2021,Acute Care,Voluntary non-profit - Private,11.0,,,AR,1.6,,
180,MERCY HOSPITAL PARIS (041300),2021,Critical Access,Voluntary non-profit - Private,16.0,35.289988,-93.725419,AR,2.1,,
181,MERCY HOSPITAL OZARK (041303),2021,Critical Access,Voluntary non-profit - Private,25.0,35.486118,-93.833805,AR,0.0,,
182,MERCY HOSPITAL WALDRON (041305),2021,Critical Access,Voluntary non-profit - Private,24.0,34.896785,-94.106078,AR,0.0,,
183,LAWRENCE MEMORIAL HOSPITAL (041309),2021,Critical Access,Government - Local,25.0,36.074701,-90.966982,AR,2.9,,
184,HOWARD MEMORIAL HOSPITAL (041311),2021,Critical Access,Voluntary non-profit - Private,24.0,33.950926,-93.880772,AR,4.3,,
185,BAPTIST HEALTH MEDICAL CENTER HEBER SPINGS (041312),2021,Critical Access,Voluntary non-profit - Private,25.0,35.506578,-92.001319,AR,3.0,,
186,OZARK HEALTH (041313),2021,Critical Access,Voluntary non-profit - Private,143.0,35.559375,-92.449913,AR,1.9,,
187,BAPTIST HEALTH MEDICAL CENTER-ARKADELPHIA (041321),2021,Critical Access,Voluntary non-profit - Private,25.0,34.122802,-93.08797,AR,0.7,,
188,ASHLEY COUNTY MEDICAL CENTER (041323),2021,Critical Access,Voluntary non-profit - Private,34.0,33.137206,-91.93878,AR,8.9,,
189,CHI ST VINCENT MORRILTON (041324),2021,Critical Access,Voluntary non-profit - Church,24.0,35.16997,-92.721702,AR,0.0,,
190,BRADLEY COUNTY MEDICAL CENTER (041327),2021,Critical Access,Voluntary non-profit - Private,35.0,33.610538,-92.058665,AR,2.1,,
