,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Abdomen CT Use of Contrast Material (OP-10),Breast Cancer Screening Recall Rates (OP-39),MRI Lumbar Spine for Low Back Pain (OP-8),Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery (OP-13)
34,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER (010078),2022,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,16.8,6.1,53.1,5.0
35,ATHENS LIMESTONE HOSPITAL (010079),2022,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,5.9,4.7,50.0,4.3
36,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2022,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,3.5,10.8,42.7,5.7
37,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS (010085),2022,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,9.9,6.0,58.1,3.6
38,NORTHWEST MEDICAL CENTER (010086),2022,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,7.5,5.0,41.9,3.3
39,USA HEALTH UNIVERSITY HOSPITAL (010087),2022,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,15.7,,,
40,WALKER BAPTIST MEDICAL CENTER (010089),2022,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,2.8,7.3,,1.6
41,PROVIDENCE HOSPITAL (010090),2022,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,27.5,4.6,49.0,
42,GROVE HILL MEMORIAL HOSPITAL (010091),2022,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,7.3,,,
43,DCH REGIONAL MEDICAL CENTER (010092),2022,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,2.2,8.1,57.3,4.2
44,HALE COUNTY HOSPITAL (010095),2022,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,1.4,,,
45,ELMORE COMMUNITY HOSPITAL (010097),2022,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,3.5,7.9,,
46,D W MCMILLAN MEMORIAL HOSPITAL (010099),2022,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,9.6,14.9,,
47,THOMAS HOSPITAL (010100),2022,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,6.9,7.9,44.1,
48,CITIZENS BAPTIST MEDICAL CENTER (010101),2022,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,3.8,5.9,,0.0
49,PRINCETON BAPTIST MEDICAL CENTER (010103),2022,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,14.6,6.6,44.4,
50,GRANDVIEW MEDICAL CENTER (010104),2022,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,6.9,3.2,50.0,
51,PRATTVILLE BAPTIST HOSPITAL (010108),2022,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,5.9,3.5,57.9,
52,BULLOCK COUNTY HOSPITAL (010110),2022,Acute Care,Proprietary,54.0,32.146182,-85.71638,AL,0.0,,,
53,WHITFIELD REGIONAL HOSPITAL (010112),2022,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,8.2,5.8,51.4,
54,MOBILE INFIRMARY MEDICAL CENTER (010113),2022,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,12.0,8.2,52.2,
55,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2022,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,6.1,7.5,,5.9
56,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2022,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,2.9,5.7,,
57,MONROE COUNTY HOSPITAL (010120),2022,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,1.0,14.1,,
58,LAKELAND COMMUNITY HOSPITAL (010125),2022,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,2.1,6.5,,
59,TROY REGIONAL MEDICAL CENTER (010126),2022,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,1.3,7.0,,
60,JACKSON MEDICAL CENTER (010128),2022,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,6.5,7.0,,
61,NORTH BALDWIN INFIRMARY (010129),2022,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,0.8,11.2,,
62,ST VINCENT'S ST CLAIR (010130),2022,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,6.5,8.4,,
63,CRESTWOOD MEDICAL CENTER (010131),2022,Acute Care,Proprietary,163.0,,,AL,8.5,7.7,52.0,
64,BROOKWOOD BAPTIST MEDICAL CENTER (010139),2022,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,2.8,,,4.4
65,SPRINGHILL MEDICAL CENTER (010144),2022,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,7.1,4.8,,
66,EVERGREEN MEDICAL CENTER (010148),2022,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,4.1,7.5,,
67,BAPTIST MEDICAL CENTER EAST (010149),2022,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,5.8,,55.4,
68,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL (010150),2022,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,5.7,5.9,,
69,SHOALS HOSPITAL (010157),2022,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,0.0,17.8,,
70,RUSSELLVILLE HOSPITAL (010158),2022,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,3.8,18.8,46.5,
71,COOSA VALLEY MEDICAL CENTER (010164),2022,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,3.4,9.2,66.2,3.2
72,JACK HUGHSTON MEMORIAL HOSPITAL (010168),2022,Acute Care,Government - State,52.0,32.509045,-85.005696,AL,3.8,,,
73,ATMORE COMMUNITY HOSPITAL (010169),2022,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,10.5,4.8,,
74,ST VINCENT'S CHILTON (010173),2022,Acute Care,Voluntary non-profit - Church,26.0,32.876585,-86.623511,AL,8.5,11.3,,
75,THOMASVILLE REGIONAL MEDICAL CENTER (010174),2022,Acute Care,Voluntary non-profit - Private,29.0,,,AL,5.5,11.3,,
76,EAMC-LANIER (010175),2022,Acute Care,Government - Hospital District or Authority,30.0,,,AL,23.2,5.7,,
77,WASHINGTON COUNTY HOSPITAL (011300),2022,Critical Access,Proprietary,103.0,31.460296,-88.235291,AL,5.2,20.3,,
78,RED BAY HOSPITAL (011302),2022,Critical Access,Government - Hospital District or Authority,25.0,34.457425,-88.146934,AL,1.4,,,
79,CHOCTAW GENERAL HOSPITAL (011304),2022,Critical Access,Voluntary non-profit - Private,25.0,,,AL,2.1,,,
80,ST VINCENTS BLOUNT (011305),2022,Critical Access,Voluntary non-profit - Private,25.0,33.932537,-86.493059,AL,2.3,9.4,,
81,TANNER MEDICAL CENTER-EAST ALABAMA (011306),2022,Critical Access,Government - Hospital District or Authority,15.0,33.296666,-85.480028,AL,4.8,,,
82,PROVIDENCE ALASKA MEDICAL CENTER (020001),2022,Acute Care,Voluntary non-profit - Church,394.0,61.189798,-149.817622,AK,0.9,,,
83,MAT-SU REGIONAL MEDICAL CENTER (020006),2022,Acute Care,Voluntary non-profit - Private,90.0,61.561217,-149.258718,AK,6.1,13.7,,6.0
84,BARTLETT REGIONAL HOSPITAL (020008),2022,Acute Care,Government - Local,58.0,58.328696,-134.466829,AK,6.1,7.1,,3.9
85,FAIRBANKS MEMORIAL HOSPITAL (020012),2022,Acute Care,Voluntary non-profit - Other,213.0,64.831407,-147.736254,AK,4.1,6.3,48.1,3.1
86,ALASKA REGIONAL HOSPITAL (020017),2022,Acute Care,Proprietary,169.0,61.20979,-149.827379,AK,4.7,9.9,,
87,CENTRAL PENINSULA GENERAL HOSPITAL (020024),2022,Acute Care,Voluntary non-profit - Other,186.0,60.493865,-151.077658,AK,7.7,10.8,37.7,7.2
88,PROVIDENCE KODIAK ISLAND MEDICAL CTR (021306),2022,Critical Access,Voluntary non-profit - Church,46.0,57.800835,-152.373943,AK,3.8,11.0,,
89,PEACEHEALTH KETCHIKAN MEDICAL CENTER (021311),2022,Critical Access,Voluntary non-profit - Church,51.0,55.352717,-131.686049,AK,7.6,5.3,,0.0
90,SOUTH PENINSULA HOSPITAL (021313),2022,Critical Access,Voluntary non-profit - Private,49.0,59.652133,-151.550296,AK,2.3,14.5,,
91,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX (030002),2022,Acute Care,Voluntary non-profit - Other,706.0,33.465724,-112.058127,AZ,15.4,8.5,,4.1
92,TUCSON MEDICAL CENTER (030006),2022,Acute Care,Voluntary non-profit - Private,520.0,32.250749,-110.880169,AZ,1.1,7.1,,3.6
93,VERDE VALLEY MEDICAL CENTER (030007),2022,Acute Care,Voluntary non-profit - Private,102.0,34.736201,-112.031784,AZ,6.0,18.0,31.1,2.8
94,ST. MARY'S HOSPITAL (030010),2022,Acute Care,Voluntary non-profit - Private,398.0,32.228923,-111.000032,AZ,0.7,,,4.0
95,ST JOSEPH'S HOSPITAL (030011),2022,Acute Care,Voluntary non-profit - Other,474.0,32.225946,-110.857838,AZ,0.3,,,
96,YAVAPAI REGIONAL MEDICAL CENTER (030012),2022,Acute Care,Government - Local,179.0,34.55938,-112.482065,AZ,16.3,6.5,40.8,3.6
97,YUMA REGIONAL MEDICAL CENTER (030013),2022,Acute Care,Voluntary non-profit - Private,397.0,32.683899,-114.633238,AZ,19.9,7.8,50.0,3.2
98,JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL (030014),2022,Acute Care,Voluntary non-profit - Private,258.0,33.567754,-112.07063,AZ,6.9,8.4,47.4,
99,BANNER CASA GRANDE MEDICAL CENTER (030016),2022,Acute Care,Voluntary non-profit - Other,156.0,32.879608,-111.709253,AZ,1.7,,,
100,VALLEYWISE HEALTH MEDICAL CENTER (030022),2022,Acute Care,Government - Local,570.0,33.458525,-112.02643,AZ,2.5,6.3,,
101,FLAGSTAFF MEDICAL CENTER (030023),2022,Acute Care,Voluntary non-profit - Private,267.0,35.209534,-111.644835,AZ,1.3,,56.4,2.9
102,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER (030024),2022,Acute Care,Voluntary non-profit - Church,560.0,33.480294,-112.079208,AZ,2.9,10.4,56.0,9.0
103,ABRAZO CENTRAL CAMPUS (030030),2022,Acute Care,Proprietary,186.0,33.524116,-112.101934,AZ,0.6,11.8,,
104,CHANDLER REGIONAL MEDICAL CENTER (030036),2022,Acute Care,Voluntary non-profit - Other,318.0,33.298691,-111.873508,AZ,0.9,14.1,,2.8
105,ST LUKE'S MEDICAL CENTER (030037),2022,Acute Care,Proprietary,209.0,33.451436,-112.042767,AZ,0.0,,,
106,HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER (030038),2022,Acute Care,Proprietary,360.0,33.487639,-111.922725,AZ,0.4,,,
107,CANYON VISTA MEDICAL CENTER (030043),2022,Acute Care,Voluntary non-profit - Other,92.0,31.554635,-110.230726,AZ,6.4,6.2,,3.3
108,KINGMAN REGIONAL MEDICAL CENTER (030055),2022,Acute Care,Government - Hospital District or Authority,221.0,35.219907,-114.035813,AZ,13.1,7.3,36.4,5.8
109,BANNER BOSWELL MEDICAL CENTER (030061),2022,Acute Care,Voluntary non-profit - Other,508.0,33.604798,-112.282538,AZ,0.6,,,
110,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER (030062),2022,Acute Care,Voluntary non-profit - Private,91.0,34.201967,-110.01839,AZ,8.3,4.6,36.3,4.5
111,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS (030064),2022,Acute Care,Voluntary non-profit - Private,511.0,32.242362,-110.944092,AZ,4.8,7.9,48.9,5.8
112,BANNER DESERT MEDICAL CENTER (030065),2022,Acute Care,Voluntary non-profit - Private,632.0,33.39091,-111.874624,AZ,1.8,,,
113,HAVASU REGIONAL MEDICAL CENTER (030069),2022,Acute Care,Proprietary,169.0,34.47998,-114.338537,AZ,8.2,3.6,36.0,4.1
114,ABRAZO SCOTTSDALE CAMPUS (030083),2022,Acute Care,Proprietary,129.0,33.640603,-111.997692,AZ,0.6,,,
115,NORTHWEST MEDICAL CENTER (030085),2022,Acute Care,Proprietary,283.0,32.319581,-111.012054,AZ,2.5,9.4,,4.0
116,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER (030087),2022,Acute Care,Proprietary,426.0,33.582467,-111.886032,AZ,0.7,,,3.6
117,BANNER BAYWOOD MEDICAL CENTER (030088),2022,Acute Care,Voluntary non-profit - Private,340.0,33.410465,-111.688045,AZ,2.2,9.5,,2.3
118,BANNER THUNDERBIRD MEDICAL CENTER (030089),2022,Acute Care,Government - Hospital District or Authority,566.0,33.610731,-112.178698,AZ,0.7,,,
119,HONORHEALTH DEER VALLEY MEDICAL CENTER (030092),2022,Acute Care,Voluntary non-profit - Private,201.0,33.666425,-112.117188,AZ,5.1,9.9,57.5,
120,BANNER DEL E. WEBB MEDICAL CENTER (030093),2022,Acute Care,Voluntary non-profit - Private,390.0,33.658307,-112.371939,AZ,1.1,6.3,,
121,ABRAZO ARROWHEAD HOSPITAL (030094),2022,Acute Care,Proprietary,244.0,33.655042,-112.202889,AZ,0.6,,,1.8
122,WESTERN ARIZONA REGIONAL MEDICAL CENTER (030101),2022,Acute Care,Proprietary,133.0,35.109853,-114.555146,AZ,3.7,5.3,43.9,1.5
123,MAYO CLINIC HOSPITAL (030103),2022,Acute Care,Voluntary non-profit - Private,277.0,33.663312,-111.955659,AZ,2.9,,49.4,7.9
124,ABRAZO WEST CAMPUS (030110),2022,Acute Care,Proprietary,190.0,33.464283,-112.354024,AZ,0.8,,,
125,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS (030111),2022,Acute Care,Voluntary non-profit - Private,207.0,32.177882,-110.930891,AZ,3.5,,,
126,ORO VALLEY HOSPITAL (030114),2022,Acute Care,Proprietary,148.0,32.427183,-110.94954,AZ,2.9,7.2,,4.4
127,BANNER ESTRELLA MEDICAL CENTER (030115),2022,Acute Care,Voluntary non-profit - Private,288.0,33.479558,-112.257936,AZ,2.4,,,
128,VALLEY VIEW MEDICAL CENTER (030117),2022,Acute Care,Proprietary,82.0,35.002363,-114.597954,AZ,10.7,5.6,54.8,
129,MERCY GILBERT MEDICAL CENTER (030119),2022,Acute Care,Voluntary non-profit - Church,202.0,33.286661,-111.755311,AZ,0.9,12.6,,2.1
130,"MOUNTAIN VISTA MEDICAL CENTER, LP (030121)",2022,Acute Care,Proprietary,171.0,33.3911,-111.615329,AZ,2.7,4.9,,
131,BANNER GATEWAY MEDICAL CENTER (030122),2022,Acute Care,Voluntary non-profit - Other,170.0,33.384225,-111.719634,AZ,6.6,9.1,,
132,HONOR HEALTH THOMPSON PEAK MEDICAL CENTER (030123),2022,Acute Care,Proprietary,98.0,33.669777,-111.921803,AZ,0.7,,,
133,BANNER IRONWOOD MEDICAL CENTER (030130),2022,Acute Care,Voluntary non-profit - Private,61.0,33.214839,-111.563447,AZ,2.4,,,
134,BANNER GOLDFIELD MEDICAL CENTER (030134),2022,Acute Care,Voluntary non-profit - Other,23.0,33.393343,-111.566796,AZ,1.5,,,
135,DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL (030136),2022,Acute Care,Proprietary,14.0,33.380677,-112.168233,AZ,0.0,,,
136,SANTA CRUZ VALLEY REGIONAL HOSPITAL (030137),2022,Acute Care,Proprietary,49.0,31.807943,-111.010966,AZ,1.7,,,
137,WESTERN REGIONAL MEDICAL CENTER (030138),2022,Acute Care,Proprietary,38.0,33.452804,-112.362571,AZ,3.8,13.9,,
138,DIGNITY HEALTH ARIZONA GENERAL HOSPITAL (030139),2022,Acute Care,Voluntary non-profit - Private,50.0,,,AZ,0.5,,,
139,HONORHEALTH SONORAN CROSSING MEDICAL CENTER (030146),2022,Acute Care,Voluntary non-profit - Private,70.0,,,AZ,1.4,,,
140,BANNER OCOTILLO MEDICAL CENTER (030147),2022,Acute Care,Voluntary non-profit - Private,94.0,,,AZ,1.5,,,
141,NORTHWEST MEDICAL CENTER SAHUARITA (030148),2022,Acute Care,Voluntary non-profit - Private,44.0,,,AZ,2.3,,,
142,"NORTHERN COCHISE COMMUNITY HOSPITAL, INC. (031302)",2022,Critical Access,Government - Hospital District or Authority,39.0,32.264268,-109.837613,AZ,6.1,7.5,,
143,PAGE HOSPITAL (031304),2022,Critical Access,Government - Hospital District or Authority,25.0,36.91696,-111.463186,AZ,7.1,6.2,,
144,SAGE MEMORIAL HOSPITAL (031309),2022,Critical Access,Voluntary non-profit - Private,25.0,,,AZ,1.7,,,
145,HOLY CROSS HOSPITAL (031313),2022,Critical Access,Proprietary,30.0,31.341118,-110.958734,AZ,3.3,,,
146,WHITE MOUNTAIN REGIONAL MEDICAL CENTER (031315),2022,Critical Access,Voluntary non-profit - Private,21.0,34.132136,-109.286545,AZ,5.6,,,
147,BANNER PAYSON MEDICAL CENTER (031318),2022,Critical Access,Voluntary non-profit - Other,25.0,34.231351,-111.321361,AZ,8.2,2.0,42.6,
148,SILOAM SPRINGS REGIONAL HOSPITAL (040001),2022,Acute Care,Proprietary,46.0,36.190377,-94.509658,AR,4.6,11.0,,
149,JOHNSON REGIONAL MEDICAL CENTER (040002),2022,Acute Care,Voluntary non-profit - Private,86.0,35.464384,-93.445797,AR,4.7,7.5,,3.7
150,WASHINGTON REGIONAL MEDICAL CENTER (040004),2022,Acute Care,Voluntary non-profit - Private,314.0,36.110984,-94.157862,AR,3.6,,39.6,2.1
151,CHI-ST VINCENT INFIRMARY (040007),2022,Acute Care,Voluntary non-profit - Private,414.0,,,AR,2.2,,49.0,4.4
152,MERCY HOSPITAL NORTHWEST ARKANSAS (040010),2022,Acute Care,Voluntary non-profit - Church,201.0,36.309562,-94.184709,AR,9.3,9.5,40.3,2.8
153,CHAMBERS MEMORIAL HOSPITAL (040011),2022,Acute Care,Voluntary non-profit - Private,41.0,35.054823,-93.388543,AR,14.1,4.1,,
154,WHITE COUNTY MEDICAL CENTER (040014),2022,Acute Care,Voluntary non-profit - Private,315.0,35.250446,-91.696758,AR,7.6,16.2,51.7,1.5
155,MENA REGIONAL HEALTH SYSTEM (040015),2022,Acute Care,Government - Local,65.0,34.588386,-94.221383,AR,3.9,10.2,46.3,1.2
156,UAMS MEDICAL CENTER (040016),2022,Acute Care,Government - State,480.0,34.751583,-92.320998,AR,5.0,7.5,44.5,5.5
157,NORTH ARKANSAS REGIONAL MEDICAL CENTER (040017),2022,Acute Care,Voluntary non-profit - Other,133.0,36.236281,-93.107148,AR,8.8,7.9,47.7,
158,BAPTIST HEALTH - VAN BUREN (040018),2022,Acute Care,Proprietary,68.0,35.434175,-94.339451,AR,12.5,,,
159,FORREST CITY MEDICAL CENTER (040019),2022,Acute Care,Proprietary,68.0,35.039275,-90.771894,AR,7.5,7.1,,
160,ST BERNARDS MEDICAL CENTER (040020),2022,Acute Care,Voluntary non-profit - Private,376.0,35.837478,-90.702142,AR,8.7,7.5,49.7,2.6
161,NORTHWEST MEDICAL CENTER-SPRINGDALE (040022),2022,Acute Care,Proprietary,325.0,36.181394,-94.136464,AR,10.8,10.2,,3.1
162,ST VINCENT HOT SPRINGS (040026),2022,Acute Care,Voluntary non-profit - Church,235.0,34.466035,-93.066396,AR,11.1,7.6,48.4,3.3
163,BAXTER REGIONAL MEDICAL CENTER (040027),2022,Acute Care,Voluntary non-profit - Private,214.0,36.343067,-92.395905,AR,32.2,6.7,51.0,4.1
164,CONWAY REGIONAL HEALTH SYSTEM (040029),2022,Acute Care,Voluntary non-profit - Private,151.0,35.084826,-92.457103,AR,6.8,8.1,38.2,2.5
165,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK (040036),2022,Acute Care,Voluntary non-profit - Private,212.0,34.784075,-92.218633,AR,6.2,6.2,44.2,4.3
166,ARKANSAS METHODIST MEDICAL CENTER (040039),2022,Acute Care,Voluntary non-profit - Private,129.0,36.052593,-90.499051,AR,3.8,3.4,54.1,
167,ST MARYS REGIONAL MEDICAL CENTER (040041),2022,Acute Care,Proprietary,155.0,35.28286,-93.149908,AR,6.1,8.5,46.8,1.6
168,FIVE RIVERS MEDICAL CENTER (040047),2022,Acute Care,Voluntary non-profit - Private,44.0,36.289911,-90.996334,AR,7.8,,,
169,OUACHITA COUNTY MEDICAL CENTER (040050),2022,Acute Care,Voluntary non-profit - Private,97.0,,,AR,14.3,10.8,,
170,DREW MEMORIAL HEALTH SYSTEM (040051),2022,Acute Care,Voluntary non-profit - Private,51.0,33.610628,-91.814978,AR,31.8,3.5,43.1,
171,BAPTIST HEALTH - FORT SMITH (040055),2022,Acute Care,Proprietary,288.0,35.374527,-94.421311,AR,10.4,7.3,44.3,1.6
172,MERCY HOSPITAL FORT SMITH (040062),2022,Acute Care,Voluntary non-profit - Private,367.0,35.353647,-94.352964,AR,6.3,5.2,45.2,2.0
173,MAGNOLIA HOSPITAL (040067),2022,Acute Care,Government - Local,38.0,33.275123,-93.240071,AR,3.6,7.7,45.7,
174,GREAT RIVER MEDICAL CENTER (040069),2022,Acute Care,Voluntary non-profit - Other,106.0,35.943011,-89.918929,AR,5.1,4.9,,
175,JEFFERSON REGIONAL MEDICAL CENTER (040071),2022,Acute Care,Voluntary non-profit - Private,322.0,34.189066,-92.018453,AR,16.5,11.9,44.0,3.5
176,BAPTIST HEALTH MEDICAL CENTER-STUTTGART (040072),2022,Acute Care,Voluntary non-profit - Private,49.0,34.517773,-91.557572,AR,2.0,7.8,,
177,BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY (040076),2022,Acute Care,Voluntary non-profit - Private,69.0,34.358913,-92.786418,AR,6.1,5.7,,
178,NATIONAL PARK MEDICAL CENTER (040078),2022,Acute Care,Proprietary,162.0,34.486239,-93.033554,AR,12.6,9.1,,1.7
179,SALINE MEMORIAL HOSPITAL (040084),2022,Acute Care,Voluntary non-profit - Private,165.0,34.573552,-92.584405,AR,8.5,14.8,65.4,3.9
