,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Abdomen CT Use of Contrast Material (OP-10),MRI Lumbar Spine for Low Back Pain (OP-8),Mammography Follow-up Rates (OP-9),Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery (OP-13),Outpatients with brain CT scans who got a sinus CT scan at the same time (OP-14),Thorax CT Use of Contrast Material (OP-11)
22,MARION REGIONAL MEDICAL CENTER (010044),2017,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,7.5,,,,0.0,2.6
23,FAYETTE MEDICAL CENTER (010045),2017,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,2.3,43.6,13.3,,2.1,0.0
24,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2017,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,4.0,,,,,6.4
25,GEORGIANA MEDICAL CENTER (010047),2017,Acute Care,Proprietary,22.0,,,AL,5.7,,,,,
26,MEDICAL CENTER ENTERPRISE (010049),2017,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,6.4,40.0,7.7,,4.5,1.0
27,GREENE COUNTY HOSPITAL (010051),2017,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL,,,7.1,,0.0,
28,LAKE MARTIN COMMUNITY HOSPITAL (010052),2017,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,1.7,,,,,
29,FLOWERS HOSPITAL (010055),2017,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,3.8,44.1,5.6,6.4,2.3,0.7
30,ST VINCENT'S BIRMINGHAM (010056),2017,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,7.4,40.8,6.9,7.8,2.0,1.8
31,BIBB MEDICAL CENTER (010058),2017,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,3.1,,4.6,,,0.0
32,LAWRENCE MEDICAL CENTER (010059),2017,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,4.8,55.3,6.6,,5.0,1.3
33,HIGHLANDS MEDICAL CENTER (010061),2017,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,4.5,,,2.1,,0.0
34,WIREGRASS MEDICAL CENTER (010062),2017,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,28.3,,3.0,,,0.0
35,RUSSELL HOSPITAL (010065),2017,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,5.7,,6.7,,0.6,3.6
36,MEDICAL CENTER BARBOUR (010069),2017,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,5.1,,2.3,7.6,,6.0
37,CLAY COUNTY HOSPITAL (010073),2017,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,5.5,,4.2,,,8.2
38,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER (010078),2017,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,9.6,47.1,7.6,9.2,3.4,0.7
39,ATHENS LIMESTONE HOSPITAL (010079),2017,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,27.2,43.5,8.4,4.3,2.6,0.3
40,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2017,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,17.0,38.9,6.7,2.3,2.1,9.7
41,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS (010085),2017,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,16.4,43.2,6.6,4.9,1.4,10.6
42,NORTHWEST MEDICAL CENTER (010086),2017,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,6.4,45.9,7.1,4.7,1.4,0.7
43,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER (010087),2017,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,21.1,,,4.8,,9.5
44,WALKER BAPTIST MEDICAL CENTER (010089),2017,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,4.1,41.3,4.8,,1.0,3.9
45,PROVIDENCE HOSPITAL (010090),2017,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,39.6,38.7,6.8,,1.1,5.2
46,GROVE HILL MEMORIAL HOSPITAL (010091),2017,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,26.9,,5.0,,0.4,18.4
47,D C H REGIONAL MEDICAL CENTER (010092),2017,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,3.0,46.0,12.2,4.5,1.5,0.0
48,HALE COUNTY HOSPITAL (010095),2017,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,1.1,,,,0.7,
49,ELMORE COMMUNITY HOSPITAL (010097),2017,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,12.2,,8.6,,,
50,D W MCMILLAN MEMORIAL HOSPITAL (010099),2017,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,19.2,42.0,11.0,0.9,,2.1
51,THOMAS HOSPITAL (010100),2017,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,20.5,45.5,9.1,,2.3,1.4
52,CITIZENS BAPTIST MEDICAL CENTER (010101),2017,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,8.4,,5.1,6.0,0.7,6.0
53,J PAUL JONES HOSPITAL (010102),2017,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL,11.5,,2.6,,,
54,PRINCETON BAPTIST MEDICAL CENTER (010103),2017,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,11.3,43.9,4.0,,,6.5
55,GRANDVIEW MEDICAL CENTER (010104),2017,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,7.4,38.1,7.0,,2.2,1.3
56,PRATTVILLE BAPTIST HOSPITAL (010108),2017,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,5.7,50.0,5.6,,,0.0
57,PICKENS COUNTY MEDICAL CENTER (010109),2017,Acute Care,Government - Hospital District or Authority,49.0,33.274807,-88.089673,AL,3.3,51.4,10.1,,0.0,0.0
58,BULLOCK COUNTY HOSPITAL (010110),2017,Acute Care,Proprietary,54.0,32.146182,-85.71638,AL,4.8,,,,,0.0
59,BRYAN W. WHITFIELD MEMORIAL HOSPITAL (010112),2017,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,10.1,38.8,1.1,0.0,,10.4
60,MOBILE INFIRMARY MEDICAL CENTER (010113),2017,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,62.7,43.6,8.9,,1.3,0.2
61,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2017,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,5.2,61.2,11.4,9.8,2.2,0.0
62,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2017,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,4.0,43.3,7.2,3.5,1.6,1.0
63,MONROE COUNTY HOSPITAL (010120),2017,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,17.6,,16.9,7.1,1.1,2.1
64,LAKELAND COMMUNITY HOSPITAL (010125),2017,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,13.2,,10.3,2.1,1.0,
65,TROY REGIONAL MEDICAL CENTER (010126),2017,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,17.5,,4.0,0.0,0.4,10.5
66,JACKSON MEDICAL CENTER (010128),2017,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,18.0,,7.9,,,
67,NORTH BALDWIN INFIRMARY (010129),2017,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,25.0,,7.8,,,6.0
68,ST VINCENT'S ST CLAIR (010130),2017,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,18.5,,8.1,,0.3,21.7
69,CRESTWOOD MEDICAL CENTER (010131),2017,Acute Care,Proprietary,163.0,,,AL,5.9,39.2,5.8,,3.5,0.0
70,BROOKWOOD MEDICAL CENTER (010139),2017,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,10.6,,,5.1,1.1,0.0
71,SPRINGHILL MEMORIAL HOSPITAL (010144),2017,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,36.0,,6.1,3.4,1.1,0.2
72,RMC JACKSONVILLE (010146),2017,Acute Care,Proprietary,65.0,,,AL,13.8,,,,,4.2
73,EVERGREEN MEDICAL CENTER (010148),2017,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,6.4,,,,,7.9
74,BAPTIST MEDICAL CENTER EAST (010149),2017,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,6.3,44.8,,,2.7,0.3
75,L V STABLER MEMORIAL HOSPITAL (010150),2017,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,5.4,,4.8,,0.6,2.6
76,SHOALS HOSPITAL (010157),2017,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,20.0,44.8,25.4,,,3.4
77,RUSSELLVILLE HOSPITAL (010158),2017,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,15.2,53.8,14.0,2.0,,11.3
78,COOSA VALLEY MEDICAL CENTER (010164),2017,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,1.6,46.6,6.6,6.0,1.9,1.3
79,JACK HUGHSTON MEMORIAL HOSPITAL (010168),2017,Acute Care,Government - State,52.0,32.509045,-85.005696,AL,0.9,,,,,
80,ATMORE COMMUNITY HOSPITAL (010169),2017,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,22.9,,13.5,5.9,,
81,WASHINGTON COUNTY HOSPITAL (011300),2017,Critical Access,Proprietary,103.0,31.460296,-88.235291,AL,6.7,,,,,1.8
82,RED BAY HOSPITAL (011302),2017,Critical Access,Government - Hospital District or Authority,25.0,34.457425,-88.146934,AL,4.3,,4.0,,,
83,CHOCTAW GENERAL HOSPITAL (011304),2017,Critical Access,Voluntary non-profit - Private,25.0,,,AL,5.2,,,,,0.0
84,ST VINCENTS BLOUNT (011305),2017,Critical Access,Voluntary non-profit - Private,25.0,33.932537,-86.493059,AL,6.4,,10.2,,,2.3
85,PROVIDENCE ALASKA MEDICAL CENTER (020001),2017,Acute Care,Voluntary non-profit - Church,394.0,61.189798,-149.817622,AK,4.6,48.6,,,0.2,0.0
86,MAT-SU REGIONAL MEDICAL CENTER (020006),2017,Acute Care,Voluntary non-profit - Private,90.0,61.561217,-149.258718,AK,5.6,,15.6,,2.0,0.7
87,BARTLETT REGIONAL HOSPITAL (020008),2017,Acute Care,Government - Local,58.0,58.328696,-134.466829,AK,2.8,,12.6,,,0.0
88,FAIRBANKS MEMORIAL HOSPITAL (020012),2017,Acute Care,Voluntary non-profit - Other,213.0,64.831407,-147.736254,AK,4.6,52.3,4.6,5.5,0.2,0.7
89,ALASKA REGIONAL HOSPITAL (020017),2017,Acute Care,Proprietary,169.0,61.20979,-149.827379,AK,9.2,,10.3,,0.5,0.0
90,CENTRAL PENINSULA GENERAL HOSPITAL (020024),2017,Acute Care,Voluntary non-profit - Other,186.0,60.493865,-151.077658,AK,10.7,41.7,8.3,1.0,1.6,0.3
91,SITKA COMMUNITY HOSPITAL (021303),2017,Critical Access,Government - Local,26.0,,,AK,,,2.7,,,
92,PROVIDENCE KODIAK ISLAND MEDICAL CTR (021306),2017,Critical Access,Voluntary non-profit - Church,46.0,57.800835,-152.373943,AK,,,22.9,,0.0,
93,PEACEHEALTH KETCHIKAN MEDICAL CENTER (021311),2017,Critical Access,Voluntary non-profit - Church,51.0,55.352717,-131.686049,AK,7.9,,3.1,2.1,0.7,0.6
94,SOUTH PENINSULA HOSPITAL (021313),2017,Critical Access,Voluntary non-profit - Private,49.0,59.652133,-151.550296,AK,7.8,61.2,10.2,,0.0,0.0
95,ABRAZO MARYVALE CAMPUS (030001),2017,Acute Care,Proprietary,231.0,,,AZ,0.0,,,,,
96,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX (030002),2017,Acute Care,Voluntary non-profit - Other,706.0,33.465724,-112.058127,AZ,19.6,,10.2,5.7,,0.0
97,TUCSON MEDICAL CENTER (030006),2017,Acute Care,Voluntary non-profit - Private,520.0,32.250749,-110.880169,AZ,1.5,,11.0,4.3,3.1,0.9
98,VERDE VALLEY MEDICAL CENTER (030007),2017,Acute Care,Voluntary non-profit - Private,102.0,34.736201,-112.031784,AZ,3.8,31.4,7.7,2.4,1.6,0.0
99,ST. MARY'S HOSPITAL (030010),2017,Acute Care,Voluntary non-profit - Private,398.0,32.228923,-111.000032,AZ,8.5,,7.2,3.8,1.2,4.4
100,ST JOSEPH'S HOSPITAL (030011),2017,Acute Care,Voluntary non-profit - Other,474.0,32.225946,-110.857838,AZ,1.6,,,3.0,,0.0
101,YAVAPAI REGIONAL MEDICAL CENTER (030012),2017,Acute Care,Government - Local,179.0,34.55938,-112.482065,AZ,7.9,,10.3,4.0,1.1,15.5
102,YUMA REGIONAL MEDICAL CENTER (030013),2017,Acute Care,Voluntary non-profit - Private,397.0,32.683899,-114.633238,AZ,11.4,31.9,5.5,4.0,1.7,7.0
103,JOHN C. LINCOLN MEDICAL CENTER (030014),2017,Acute Care,Voluntary non-profit - Private,258.0,33.567754,-112.07063,AZ,10.8,55.1,12.1,,2.1,1.8
104,BANNER CASA GRANDE MEDICAL CENTER (030016),2017,Acute Care,Voluntary non-profit - Other,156.0,32.879608,-111.709253,AZ,14.8,34.5,8.5,4.3,2.1,5.4
105,MARICOPA MEDICAL CENTER (030022),2017,Acute Care,Government - Local,570.0,33.458525,-112.02643,AZ,4.3,,6.1,,,0.6
106,FLAGSTAFF MEDICAL CENTER (030023),2017,Acute Care,Voluntary non-profit - Private,267.0,35.209534,-111.644835,AZ,0.2,37.3,,3.2,,0.5
107,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER (030024),2017,Acute Care,Voluntary non-profit - Church,560.0,33.480294,-112.079208,AZ,3.7,28.6,14.4,9.9,0.9,0.3
108,ABRAZO CENTRAL CAMPUS (030030),2017,Acute Care,Proprietary,186.0,33.524116,-112.101934,AZ,1.1,,5.6,,0.0,
109,BANNER PAYSON MEDICAL CENTER (030033),2017,Acute Care,Voluntary non-profit - Other,36.0,,,AZ,8.4,36.7,4.2,5.3,3.8,2.5
110,CHANDLER REGIONAL MEDICAL CENTER (030036),2017,Acute Care,Voluntary non-profit - Other,318.0,33.298691,-111.873508,AZ,0.6,,10.2,1.1,1.2,0.0
111,ST LUKE'S MEDICAL CENTER (030037),2017,Acute Care,Proprietary,209.0,33.451436,-112.042767,AZ,0.0,,,,1.0,
112,SCOTTSDALE OSBORN MEDICAL CENTER (030038),2017,Acute Care,Proprietary,360.0,33.487639,-111.922725,AZ,0.2,,,6.6,2.1,0.0
113,CANYON VISTA MEDICAL CENTER (030043),2017,Acute Care,Voluntary non-profit - Other,92.0,31.554635,-110.230726,AZ,14.1,44.1,8.2,4.9,2.4,4.2
114,KINGMAN REGIONAL MEDICAL CENTER (030055),2017,Acute Care,Government - Hospital District or Authority,221.0,35.219907,-114.035813,AZ,15.4,32.6,6.0,5.0,1.6,10.3
115,BANNER BOSWELL MEDICAL CENTER (030061),2017,Acute Care,Voluntary non-profit - Other,508.0,33.604798,-112.282538,AZ,3.1,,5.2,,2.0,0.6
116,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER (030062),2017,Acute Care,Voluntary non-profit - Private,91.0,34.201967,-110.01839,AZ,11.1,38.2,7.1,3.7,1.5,10.3
117,BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS (030064),2017,Acute Care,Voluntary non-profit - Private,511.0,32.242362,-110.944092,AZ,1.5,47.3,3.3,6.1,,0.0
118,BANNER DESERT MEDICAL CENTER (030065),2017,Acute Care,Voluntary non-profit - Private,632.0,33.39091,-111.874624,AZ,1.6,,,,2.5,1.1
119,MT. GRAHAM REGIONAL MEDICAL CENTER (030068),2017,Acute Care,Government - Hospital District or Authority,45.0,32.821883,-109.732994,AZ,4.2,,5.9,5.4,,4.9
120,HAVASU REGIONAL MEDICAL CENTER (030069),2017,Acute Care,Proprietary,169.0,34.47998,-114.338537,AZ,11.9,33.0,7.3,2.5,1.6,4.8
121,ABRAZO SCOTTSDALE CAMPUS (030083),2017,Acute Care,Proprietary,129.0,33.640603,-111.997692,AZ,0.0,,,,,
122,NORTHWEST MEDICAL CENTER (030085),2017,Acute Care,Proprietary,283.0,32.319581,-111.012054,AZ,6.6,,4.4,3.3,1.7,5.6
123,SCOTTSDALE SHEA MEDICAL CENTER (030087),2017,Acute Care,Proprietary,426.0,33.582467,-111.886032,AZ,1.2,,,4.0,1.9,2.6
124,BANNER BAYWOOD MEDICAL CENTER (030088),2017,Acute Care,Voluntary non-profit - Private,340.0,33.410465,-111.688045,AZ,2.4,,10.4,10.8,1.0,0.2
125,BANNER THUNDERBIRD MEDICAL CENTER (030089),2017,Acute Care,Government - Hospital District or Authority,566.0,33.610731,-112.178698,AZ,1.3,,6.8,6.3,0.7,0.4
126,HONORHEALTH DEER VALLEY MEDICAL CENTER (030092),2017,Acute Care,Voluntary non-profit - Private,201.0,33.666425,-112.117188,AZ,3.5,,11.5,2.9,3.0,0.4
127,BANNER DEL E. WEBB MEDICAL CENTER (030093),2017,Acute Care,Voluntary non-profit - Private,390.0,33.658307,-112.371939,AZ,3.4,,10.5,4.5,0.8,3.3
128,ABRAZO ARROWHEAD CAMPUS (030094),2017,Acute Care,Proprietary,244.0,33.655042,-112.202889,AZ,1.8,,6.0,1.6,1.8,0.0
129,WESTERN ARIZONA REGIONAL MEDICAL CENTER (030101),2017,Acute Care,Proprietary,133.0,35.109853,-114.555146,AZ,12.7,,2.7,,1.6,14.5
130,MAYO CLINIC HOSPITAL (030103),2017,Acute Care,Voluntary non-profit - Private,277.0,33.663312,-111.955659,AZ,5.3,44.8,,6.8,1.8,0.2
131,ABRAZO WEST CAMPUS (030110),2017,Acute Care,Proprietary,190.0,33.464283,-112.354024,AZ,1.3,,,,1.9,2.2
132,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS (030111),2017,Acute Care,Voluntary non-profit - Private,207.0,32.177882,-110.930891,AZ,0.0,,,6.6,1.6,0.0
133,ORO VALLEY HOSPITAL (030114),2017,Acute Care,Proprietary,148.0,32.427183,-110.94954,AZ,6.2,,7.1,4.4,1.1,6.8
134,BANNER ESTRELLA MEDICAL CENTER (030115),2017,Acute Care,Voluntary non-profit - Private,288.0,33.479558,-112.257936,AZ,1.5,,,,1.5,0.0
135,VALLEY VIEW MEDICAL CENTER (030117),2017,Acute Care,Proprietary,82.0,35.002363,-114.597954,AZ,17.6,41.2,7.5,,0.9,15.8
136,MERCY GILBERT MEDICAL CENTER (030119),2017,Acute Care,Voluntary non-profit - Church,202.0,33.286661,-111.755311,AZ,1.7,,15.4,3.7,0.9,0.0
137,GILBERT HOSPITAL (030120),2017,Acute Care,Proprietary,19.0,,,AZ,0.0,,,,,
138,"MOUNTAIN VISTA MEDICAL CENTER, LP (030121)",2017,Acute Care,Proprietary,171.0,33.3911,-111.615329,AZ,3.1,,6.7,,1.3,3.3
139,BANNER GATEWAY MEDICAL CENTER (030122),2017,Acute Care,Voluntary non-profit - Other,170.0,33.384225,-111.719634,AZ,2.4,,10.5,,1.2,0.1
140,SCOTTSDALE THOMPSON PEAK MEDICAL CENTER (030123),2017,Acute Care,Proprietary,98.0,33.669777,-111.921803,AZ,0.0,,,4.2,1.4,0.0
141,BANNER IRONWOOD MEDICAL CENTER (030130),2017,Acute Care,Voluntary non-profit - Private,61.0,33.214839,-111.563447,AZ,1.3,,,,,0.7
142,"FLORENCE HOSPITAL AT ANTHEM, LLC (030132)",2017,Acute Care,Proprietary,36.0,,,AZ,2.0,,,,,
143,BANNER GOLDFIELD MEDICAL CENTER (030134),2017,Acute Care,Voluntary non-profit - Other,23.0,33.393343,-111.566796,AZ,0.4,,,,,0.0
144,DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL (030136),2017,Acute Care,Proprietary,14.0,33.380677,-112.168233,AZ,0.4,,,,,1.2
145,GREEN VALLEY HOSPITAL (030137),2017,Acute Care,Proprietary,49.0,31.807943,-111.010966,AZ,2.0,,,,,0.0
146,PAGE HOSPITAL (031304),2017,Critical Access,Government - Hospital District or Authority,25.0,36.91696,-111.463186,AZ,2.4,,9.1,,,
147,SAGE MEMORIAL HOSPITAL (031309),2017,Critical Access,Voluntary non-profit - Private,25.0,,,AZ,1.1,,,,,0.0
148,HOLY CROSS HOSPITAL (031313),2017,Critical Access,Proprietary,30.0,31.341118,-110.958734,AZ,10.6,,2.7,,0.7,0.0
149,WHITE MOUNTAIN REGIONAL MEDICAL CENTER (031315),2017,Critical Access,Voluntary non-profit - Private,21.0,34.132136,-109.286545,AZ,11.8,,,4.9,,6.0
150,SILOAM SPRINGS REGIONAL HOSPITAL (040001),2017,Acute Care,Proprietary,46.0,36.190377,-94.509658,AR,6.3,,14.9,10.0,,3.8
151,JOHNSON REGIONAL MEDICAL CENTER (040002),2017,Acute Care,Voluntary non-profit - Private,86.0,35.464384,-93.445797,AR,6.5,,9.7,1.7,1.1,2.8
152,WASHINGTON REGIONAL MEDICAL CENTER (040004),2017,Acute Care,Voluntary non-profit - Private,314.0,36.110984,-94.157862,AR,10.8,46.8,,3.3,1.2,0.8
153,CHI-ST VINCENT INFIRMARY (040007),2017,Acute Care,Voluntary non-profit - Private,414.0,,,AR,5.3,46.4,,4.1,1.6,0.0
154,MERCY HOSPITAL NORTHWEST ARKANSAS (040010),2017,Acute Care,Voluntary non-profit - Church,201.0,36.309562,-94.184709,AR,17.5,38.9,12.6,5.7,1.4,8.6
155,CHAMBERS MEMORIAL HOSPITAL (040011),2017,Acute Care,Voluntary non-profit - Private,41.0,35.054823,-93.388543,AR,4.1,,,,,1.6
156,WHITE COUNTY MEDICAL CENTER (040014),2017,Acute Care,Voluntary non-profit - Private,315.0,35.250446,-91.696758,AR,13.3,45.2,7.4,5.8,1.2,1.4
157,MENA REGIONAL HEALTH SYSTEM (040015),2017,Acute Care,Government - Local,65.0,34.588386,-94.221383,AR,6.9,54.5,10.6,3.9,0.0,4.8
158,UAMS MEDICAL CENTER (040016),2017,Acute Care,Government - State,480.0,34.751583,-92.320998,AR,4.2,34.7,10.2,6.1,1.4,0.4
159,NORTH ARKANSAS REGIONAL MEDICAL CENTER (040017),2017,Acute Care,Voluntary non-profit - Other,133.0,36.236281,-93.107148,AR,7.8,41.7,11.4,5.4,0.6,0.0
160,SPARKS MEDICAL CENTER - VAN BUREN (040018),2017,Acute Care,Proprietary,68.0,35.434175,-94.339451,AR,2.9,,8.6,,,0.0
161,FORREST CITY MEDICAL CENTER (040019),2017,Acute Care,Proprietary,68.0,35.039275,-90.771894,AR,5.3,,5.3,,,7.3
162,ST BERNARDS MEDICAL CENTER (040020),2017,Acute Care,Voluntary non-profit - Private,376.0,35.837478,-90.702142,AR,14.7,36.3,10.0,3.9,2.4,0.3
163,NORTHWEST MEDICAL CENTER-SPRINGDALE (040022),2017,Acute Care,Proprietary,325.0,36.181394,-94.136464,AR,7.3,41.2,12.0,5.9,1.6,3.6
164,CHI ST. VINCENT HOSPITAL HOT SPRINGS (040026),2017,Acute Care,Voluntary non-profit - Church,235.0,34.466035,-93.066396,AR,8.9,49.1,13.1,5.2,1.2,3.8
165,BAXTER REGIONAL MEDICAL CENTER (040027),2017,Acute Care,Voluntary non-profit - Private,214.0,36.343067,-92.395905,AR,11.6,34.6,9.3,3.4,1.7,2.0
