,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Abdomen CT Use of Contrast Material (OP-10),MRI Lumbar Spine for Low Back Pain (OP-8),Mammography Follow-up Rates (OP-9),Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery (OP-13),Outpatients with brain CT scans who got a sinus CT scan at the same time (OP-14),Thorax CT Use of Contrast Material (OP-11)
54,CITIZENS BAPTIST MEDICAL CENTER (010101),2014,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,7.5,62.0,5.4,7.0,,0.0
55,J PAUL JONES HOSPITAL (010102),2014,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL,22.5,,8.4,,,
56,BAPTIST MEDICAL CENTER-PRINCETON (010103),2014,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,14.1,53.2,6.3,,4.4,6.2
57,TRINITY MEDICAL CENTER (010104),2014,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,7.4,38.3,6.4,3.2,5.1,0.7
58,PRATTVILLE BAPTIST HOSPITAL (010108),2014,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,46.9,41.7,7.4,,,1.5
59,PICKENS COUNTY MEDICAL CENTER (010109),2014,Acute Care,Government - Hospital District or Authority,49.0,33.274807,-88.089673,AL,3.4,,11.8,,,0.0
60,BULLOCK COUNTY HOSPITAL (010110),2014,Acute Care,Proprietary,54.0,32.146182,-85.71638,AL,1.2,,,,,
61,BRYAN W WHITFIELD MEM HOSP INC (010112),2014,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,19.6,34.2,8.5,,,8.3
62,MOBILE INFIRMARY (010113),2014,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,66.9,38.1,10.9,6.6,2.9,0.4
63,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2014,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,6.9,40.3,13.9,10.6,,0.0
64,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2014,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,6.8,38.8,7.8,,1.6,2.0
65,MONROE COUNTY HOSPITAL (010120),2014,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,11.2,48.6,19.5,4.3,,0.0
66,LAKELAND COMMUNITY HOSPITAL (010125),2014,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,14.2,,16.9,,,
67,TROY REGIONAL MEDICAL CENTER (010126),2014,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,21.4,,4.6,12.1,,0.0
68,JACKSON MEDICAL CENTER (010128),2014,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,39.1,,10.6,,,
69,NORTH BALDWIN INFIRMARY (010129),2014,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,27.7,33.3,10.5,,,14.1
70,ST VINCENT'S ST CLAIR (010130),2014,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,19.4,44.9,7.8,6.3,4.3,32.1
71,CRESTWOOD MEDICAL CENTER (010131),2014,Acute Care,Proprietary,163.0,,,AL,5.5,43.7,8.9,,4.7,0.0
72,HILL HOSPITAL OF SUMTER COUNTY (010138),2014,Acute Care,Voluntary non-profit - Other,33.0,32.491825,-88.296081,AL,,,,,0.0,
73,BROOKWOOD MEDICAL CENTER (010139),2014,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,13.8,53.4,,5.9,2.0,0.0
74,SPRINGHILL MEDICAL CENTER (010144),2014,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,36.7,,5.8,8.2,1.4,0.7
75,JACKSONVILLE MEDICAL CENTER (010146),2014,Acute Care,Proprietary,65.0,,,AL,39.2,,13.6,6.3,,0.9
76,EVERGREEN MEDICAL CENTER (010148),2014,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,66.4,44.9,10.1,,,35.2
77,BAPTIST MEDICAL CENTER EAST (010149),2014,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,54.1,35.6,,,5.2,2.6
78,L V STABLER MEMORIAL HOSPITAL (010150),2014,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,12.4,,6.6,0.0,6.4,2.2
79,SHOALS HOSPITAL (010157),2014,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,30.4,38.7,10.7,,,22.6
80,RUSSELLVILLE HOSPITAL (010158),2014,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,18.1,51.6,12.1,,,24.3
81,COOSA VALLEY MEDICAL CENTER (010164),2014,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,8.6,46.8,6.1,5.0,2.0,3.8
82,JACK HUGHSTON MEMORIAL HOSPITAL (010168),2014,Acute Care,Government - State,52.0,32.509045,-85.005696,AL,2.3,,,,,
83,ATMORE COMMUNITY HOSPITAL (010169),2014,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,22.5,38.0,6.0,4.9,4.3,
84,WASHINGTON COUNTY HOSPITAL (011300),2014,Critical Access,Proprietary,103.0,31.460296,-88.235291,AL,19.1,,2.3,,,
85,RED BAY HOSPITAL (011302),2014,Critical Access,Government - Hospital District or Authority,25.0,34.457425,-88.146934,AL,8.9,,1.2,,,
86,CHOCTAW GENERAL HOSPITAL (011304),2014,Critical Access,Voluntary non-profit - Private,25.0,,,AL,2.8,,,,,0.0
87,PROVIDENCE ALASKA MEDICAL CENTER (020001),2014,Acute Care,Voluntary non-profit - Church,394.0,61.189798,-149.817622,AK,6.4,45.8,,5.8,1.9,0.8
88,MAT-SU REGIONAL MEDICAL CENTER (020006),2014,Acute Care,Voluntary non-profit - Private,90.0,61.561217,-149.258718,AK,8.7,36.4,13.5,,,1.7
89,BARTLETT REGIONAL HOSPITAL (020008),2014,Acute Care,Government - Local,58.0,58.328696,-134.466829,AK,6.6,,8.0,3.7,0.0,0.0
90,FAIRBANKS MEMORIAL HOSPITAL (020012),2014,Acute Care,Voluntary non-profit - Other,213.0,64.831407,-147.736254,AK,5.5,47.4,8.9,4.1,1.3,0.5
91,ALASKA REGIONAL HOSPITAL (020017),2014,Acute Care,Proprietary,169.0,61.20979,-149.827379,AK,6.8,,7.8,,1.2,0.5
92,CENTRAL PENINSULA GENERAL HOSPITAL (020024),2014,Acute Care,Voluntary non-profit - Other,186.0,60.493865,-151.077658,AK,6.4,37.2,12.7,5.0,,0.0
93,PROVIDENCE KODIAK ISLAND MEDICAL CTR (021306),2014,Critical Access,Voluntary non-profit - Church,46.0,57.800835,-152.373943,AK,9.5,,15.3,,0.0,
94,PEACEHEALTH KETCHIKAN MEDICAL CENTER (021311),2014,Critical Access,Voluntary non-profit - Church,51.0,55.352717,-131.686049,AK,11.4,50.0,5.2,5.8,,0.0
95,SOUTH PENINSULA HOSPITAL (021313),2014,Critical Access,Voluntary non-profit - Private,49.0,59.652133,-151.550296,AK,3.5,,6.9,,,0.0
96,MARYVALE HOSPITAL (030001),2014,Acute Care,Proprietary,231.0,,,AZ,0.0,,,,,
97,BANNER GOOD SAMARITAN MEDICAL CENTER (030002),2014,Acute Care,Voluntary non-profit - Other,706.0,33.465724,-112.058127,AZ,17.4,,9.1,4.2,4.7,0.5
98,TUCSON MEDICAL CENTER (030006),2014,Acute Care,Voluntary non-profit - Private,520.0,32.250749,-110.880169,AZ,5.5,,6.9,4.8,4.5,7.0
99,VERDE VALLEY MEDICAL CENTER (030007),2014,Acute Care,Voluntary non-profit - Private,102.0,34.736201,-112.031784,AZ,4.8,32.7,3.8,4.3,2.3,0.2
100,CARONDELET ST  MARYS HOSPITAL (030010),2014,Acute Care,Voluntary non-profit - Private,398.0,32.228923,-111.000032,AZ,5.8,,,3.8,,2.4
101,CARONDELET ST JOSEPH'S HOSPITAL (030011),2014,Acute Care,Voluntary non-profit - Other,474.0,32.225946,-110.857838,AZ,4.8,,,5.3,,1.6
102,YAVAPAI REGIONAL MEDICAL CENTER (030012),2014,Acute Care,Government - Local,179.0,34.55938,-112.482065,AZ,12.5,,5.9,5.4,2.5,14.6
103,YUMA REGIONAL MEDICAL CENTER (030013),2014,Acute Care,Voluntary non-profit - Private,397.0,32.683899,-114.633238,AZ,48.4,40.4,8.2,,3.4,9.0
104,JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL (030014),2014,Acute Care,Voluntary non-profit - Private,258.0,33.567754,-112.07063,AZ,8.0,39.2,,5.0,6.5,1.9
105,CASA GRANDE REGIONAL MEDICAL CENTER (030016),2014,Acute Care,Voluntary non-profit - Other,156.0,32.879608,-111.709253,AZ,31.7,37.0,7.6,5.3,,21.1
106,MARICOPA MEDICAL CENTER (030022),2014,Acute Care,Government - Local,570.0,33.458525,-112.02643,AZ,4.5,,12.1,5.0,,0.0
107,FLAGSTAFF MEDICAL CENTER (030023),2014,Acute Care,Voluntary non-profit - Private,267.0,35.209534,-111.644835,AZ,2.6,32.0,,4.8,,10.5
108,ST JOSEPH'S HOSPITAL AND MEDICAL CENTER (030024),2014,Acute Care,Voluntary non-profit - Church,560.0,33.480294,-112.079208,AZ,4.5,39.1,16.7,3.5,2.1,0.2
109,PHOENIX BAPTIST HOSPITAL (030030),2014,Acute Care,Proprietary,186.0,33.524116,-112.101934,AZ,1.5,,8.4,2.2,,7.7
110,PAYSON REGIONAL MEDICAL CENTER (030033),2014,Acute Care,Voluntary non-profit - Other,36.0,,,AZ,19.0,43.1,3.7,4.0,5.6,5.0
111,CHANDLER REGIONAL MEDICAL CENTER (030036),2014,Acute Care,Voluntary non-profit - Other,318.0,33.298691,-111.873508,AZ,1.6,,19.8,6.7,2.6,0.2
112,ST LUKE'S MEDICAL CENTER (030037),2014,Acute Care,Proprietary,209.0,33.451436,-112.042767,AZ,0.7,,,,,
113,SCOTTSDALE HEALTHCARE OSBORN MEDICAL CENTER (030038),2014,Acute Care,Proprietary,360.0,33.487639,-111.922725,AZ,1.4,,,5.9,2.3,0.0
114,SIERRA VISTA REGIONAL HEALTH CENTER (030043),2014,Acute Care,Voluntary non-profit - Other,92.0,31.554635,-110.230726,AZ,12.6,38.3,9.9,6.8,1.1,8.0
115,KINGMAN REGIONAL MEDICAL CENTER (030055),2014,Acute Care,Government - Hospital District or Authority,221.0,35.219907,-114.035813,AZ,15.5,25.5,8.1,4.1,2.3,14.6
116,BANNER BOSWELL MEDICAL CENTER (030061),2014,Acute Care,Voluntary non-profit - Other,508.0,33.604798,-112.282538,AZ,3.4,36.4,13.0,8.3,2.7,0.2
117,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER (030062),2014,Acute Care,Voluntary non-profit - Private,91.0,34.201967,-110.01839,AZ,12.9,35.5,7.5,5.0,4.4,14.6
118,"UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSITY, THE (030064)",2014,Acute Care,Voluntary non-profit - Private,511.0,32.242362,-110.944092,AZ,1.7,43.2,,7.9,9.0,0.2
119,BANNER DESERT MEDICAL CENTER (030065),2014,Acute Care,Voluntary non-profit - Private,632.0,33.39091,-111.874624,AZ,1.5,,,,6.8,0.8
120,MT GRAHAM REGIONAL MEDICAL CENTER (030068),2014,Acute Care,Government - Hospital District or Authority,45.0,32.821883,-109.732994,AZ,7.4,,3.9,5.4,,2.4
121,HAVASU REGIONAL MEDICAL CENTER (030069),2014,Acute Care,Proprietary,169.0,34.47998,-114.338537,AZ,9.4,36.4,2.1,2.9,1.8,2.5
122,PARADISE VALLEY HOSPITAL (030083),2014,Acute Care,Proprietary,129.0,33.640603,-111.997692,AZ,2.7,,,,5.1,3.6
123,NORTHWEST MEDICAL CENTER (030085),2014,Acute Care,Proprietary,283.0,32.319581,-111.012054,AZ,3.8,,7.0,3.7,1.1,5.8
124,SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER (030087),2014,Acute Care,Proprietary,426.0,33.582467,-111.886032,AZ,2.1,,10.1,7.6,3.4,0.8
125,BANNER BAYWOOD MEDICAL CENTER (030088),2014,Acute Care,Voluntary non-profit - Private,340.0,33.410465,-111.688045,AZ,1.9,,15.8,7.6,1.9,0.7
126,BANNER THUNDERBIRD MEDICAL CENTER (030089),2014,Acute Care,Government - Hospital District or Authority,566.0,33.610731,-112.178698,AZ,3.5,,3.3,6.1,2.8,1.2
127,JOHN C LINCOLN DEER VALLEY HOSPITAL (030092),2014,Acute Care,Voluntary non-profit - Private,201.0,33.666425,-112.117188,AZ,13.9,,14.0,6.7,4.5,4.8
128,BANNER DEL E WEBB MEDICAL CENTER (030093),2014,Acute Care,Voluntary non-profit - Private,390.0,33.658307,-112.371939,AZ,4.7,34.3,10.8,5.0,1.8,4.0
129,ARROWHEAD HOSPITAL (030094),2014,Acute Care,Proprietary,244.0,33.655042,-112.202889,AZ,3.8,,5.5,6.6,,1.8
130,WESTERN ARIZONA REGIONAL MEDICAL CTR (030101),2014,Acute Care,Proprietary,133.0,35.109853,-114.555146,AZ,17.7,,5.5,,3.7,22.1
131,MAYO CLINIC HOSPITAL (030103),2014,Acute Care,Voluntary non-profit - Private,277.0,33.663312,-111.955659,AZ,6.0,38.3,,10.6,2.7,0.7
132,WEST VALLEY HOSPITAL (030110),2014,Acute Care,Proprietary,190.0,33.464283,-112.354024,AZ,2.3,,,3.0,,1.0
133,"UNIVERSITY OF ARIZONA MEDICAL CTR- SOUTH CAM, THE (030111)",2014,Acute Care,Voluntary non-profit - Private,207.0,32.177882,-110.930891,AZ,1.8,,,6.1,6.9,0.7
134,ORO VALLEY HOSPITAL (030114),2014,Acute Care,Proprietary,148.0,32.427183,-110.94954,AZ,11.4,45.6,7.2,4.0,1.1,4.8
135,BANNER ESTRELLA MEDICAL CENTER (030115),2014,Acute Care,Voluntary non-profit - Private,288.0,33.479558,-112.257936,AZ,3.4,,,7.5,,3.8
136,VALLEY VIEW MEDICAL CENTER (030117),2014,Acute Care,Proprietary,82.0,35.002363,-114.597954,AZ,19.1,40.9,4.5,,,11.3
137,YAVAPAI REGIONAL MEDICAL CENTER-EAST (030118),2014,Acute Care,Proprietary,61.0,,,AZ,13.4,25.8,7.3,7.3,2.2,14.7
138,MERCY GILBERT MEDICAL CENTER (030119),2014,Acute Care,Voluntary non-profit - Church,202.0,33.286661,-111.755311,AZ,0.8,,16.6,4.7,2.0,0.8
139,GILBERT HOSPITAL (030120),2014,Acute Care,Proprietary,19.0,,,AZ,2.7,,,,5.6,
140,"MOUNTAIN VISTA MEDICAL CENTER, LP (030121)",2014,Acute Care,Proprietary,171.0,33.3911,-111.615329,AZ,2.6,,9.6,,,1.6
141,BANNER GATEWAY MEDICAL CENTER (030122),2014,Acute Care,Voluntary non-profit - Other,170.0,33.384225,-111.719634,AZ,3.0,,9.8,,4.9,0.8
142,SCOTTSDALE HEALTHCARE-THOMPSON PEAK HOSPITAL (030123),2014,Acute Care,Proprietary,98.0,33.669777,-111.921803,AZ,0.8,,,7.8,1.3,0.0
143,BANNER IRONWOOD MEDICAL CENTER (030130),2014,Acute Care,Voluntary non-profit - Private,61.0,33.214839,-111.563447,AZ,3.0,,,,,1.3
144,"FLORENCE HOSPITAL AT ANTHEM, LLC (030132)",2014,Acute Care,Proprietary,36.0,,,AZ,4.2,,,,,
145,PAGE HOSPITAL (031304),2014,Critical Access,Government - Hospital District or Authority,25.0,36.91696,-111.463186,AZ,2.9,,14.6,,,2.1
146,SAGE MEMORIAL HOSPITAL (031309),2014,Critical Access,Voluntary non-profit - Private,25.0,,,AZ,6.2,,,,,0.0
147,CARONDELET HOLY CROSS HOSPITAL (031313),2014,Critical Access,Proprietary,30.0,31.341118,-110.958734,AZ,10.9,,2.4,,,3.2
148,WHITE MOUNTAIN REGIONAL MEDICAL CENTER (031315),2014,Critical Access,Voluntary non-profit - Private,21.0,34.132136,-109.286545,AZ,7.3,,,3.0,,15.3
149,SILOAM SPRINGS REGIONAL HOSPITAL (040001),2014,Acute Care,Proprietary,46.0,36.190377,-94.509658,AR,8.2,,11.7,4.3,5.0,1.4
150,JOHNSON REGIONAL MEDICAL CENTER (040002),2014,Acute Care,Voluntary non-profit - Private,86.0,35.464384,-93.445797,AR,5.8,57.7,12.1,,1.5,1.5
151,WASHINGTON REGIONAL MED CTR AT NORTH HILLS (040004),2014,Acute Care,Voluntary non-profit - Private,314.0,36.110984,-94.157862,AR,5.2,41.4,13.2,3.9,3.1,1.1
152,ST VINCENT INFIRMARY MEDICAL CENTER (040007),2014,Acute Care,Voluntary non-profit - Private,414.0,,,AR,5.6,35.3,,3.4,4.1,0.6
153,MERCY HOSPITAL NORTHWEST ARKANSAS (040010),2014,Acute Care,Voluntary non-profit - Church,201.0,36.309562,-94.184709,AR,16.2,37.3,9.8,5.0,1.1,12.5
154,CHAMBERS MEMORIAL HOSPITAL (040011),2014,Acute Care,Voluntary non-profit - Private,41.0,35.054823,-93.388543,AR,5.4,,,,,0.0
155,WHITE COUNTY MEDICAL CENTER (040014),2014,Acute Care,Voluntary non-profit - Private,315.0,35.250446,-91.696758,AR,12.0,41.7,,2.2,2.4,0.0
156,MENA REGIONAL HEALTH SYSTEM (040015),2014,Acute Care,Government - Local,65.0,34.588386,-94.221383,AR,5.5,49.4,11.5,5.4,,1.1
157,UAMS MEDICAL CENTER (040016),2014,Acute Care,Government - State,480.0,34.751583,-92.320998,AR,2.0,30.6,10.7,6.4,2.2,1.2
158,NORTH ARKANSAS REGIONAL MEDICAL CENTER (040017),2014,Acute Care,Voluntary non-profit - Other,133.0,36.236281,-93.107148,AR,21.9,50.0,8.3,6.8,1.0,5.9
159,SUMMIT MEDICAL CENTER (040018),2014,Acute Care,Proprietary,68.0,35.434175,-94.339451,AR,21.4,,15.5,,,
160,FORREST CITY MEDICAL CENTER (040019),2014,Acute Care,Proprietary,68.0,35.039275,-90.771894,AR,9.6,59.1,6.9,,,1.3
161,ST BERNARDS MEDICAL CENTER (040020),2014,Acute Care,Voluntary non-profit - Private,376.0,35.837478,-90.702142,AR,44.7,42.9,12.7,5.9,3.9,1.2
162,"NW ARKANSAS HOSPITALS, LLC (040022)",2014,Acute Care,Proprietary,325.0,36.181394,-94.136464,AR,16.3,44.3,14.4,4.4,4.4,7.4
163,ST JOSEPHS MERCY HEALTH CENTER INC (040026),2014,Acute Care,Voluntary non-profit - Church,235.0,34.466035,-93.066396,AR,7.6,34.7,14.3,4.2,3.3,4.0
164,BAXTER REGIONAL MEDICAL CENTER (040027),2014,Acute Care,Voluntary non-profit - Private,214.0,36.343067,-92.395905,AR,12.6,38.9,8.3,3.0,1.6,2.3
