,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Abdomen CT Use of Contrast Material (OP-10),MRI Lumbar Spine for Low Back Pain (OP-8),Mammography Follow-up Rates (OP-9),Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery (OP-13),Outpatients with brain CT scans who got a sinus CT scan at the same time (OP-14),Thorax CT Use of Contrast Material (OP-11)
57,LAKE MARTIN COMMUNITY HOSPITAL (010052),2018,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,1.4,,,,,
58,FLOWERS HOSPITAL (010055),2018,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,3.5,47.7,4.4,3.6,1.2,0.7
59,FLOWERS HOSPITAL (010055),2018,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,3.5,47.7,4.4,3.6,1.2,0.7
60,ST VINCENT'S BIRMINGHAM (010056),2018,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,8.0,44.6,5.4,8.5,1.0,1.1
61,ST VINCENT'S BIRMINGHAM (010056),2018,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,8.0,44.6,5.4,8.5,1.0,1.1
62,BIBB MEDICAL CENTER (010058),2018,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,1.0,,7.9,,,0.0
63,BIBB MEDICAL CENTER (010058),2018,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,1.0,,7.9,,,0.0
64,LAWRENCE MEDICAL CENTER (010059),2018,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,4.1,,10.5,,6.8,0.0
65,LAWRENCE MEDICAL CENTER (010059),2018,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,4.1,,10.5,,6.8,0.0
66,HIGHLANDS MEDICAL CENTER (010061),2018,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,5.5,,,4.5,,0.0
67,HIGHLANDS MEDICAL CENTER (010061),2018,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,5.5,,,4.5,,0.0
68,WIREGRASS MEDICAL CENTER (010062),2018,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,32.9,,2.0,,,0.0
69,WIREGRASS MEDICAL CENTER (010062),2018,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,32.9,,2.0,,,0.0
70,RUSSELL MEDICAL CENTER (010065),2018,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,9.8,47.4,5.2,4.3,0.7,3.1
71,RUSSELL MEDICAL CENTER (010065),2018,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,9.8,47.4,5.2,4.3,0.7,3.1
72,MEDICAL CENTER BARBOUR (010069),2018,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,6.1,,1.1,4.3,0.7,4.1
73,MEDICAL CENTER BARBOUR (010069),2018,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,6.1,,1.1,4.3,0.7,4.1
74,CLAY COUNTY HOSPITAL (010073),2018,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,2.5,,3.5,,,9.5
75,CLAY COUNTY HOSPITAL (010073),2018,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,2.5,,3.5,,,9.5
76,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER (010078),2018,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,8.6,38.8,8.1,7.3,1.3,0.4
77,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER (010078),2018,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,8.6,38.8,8.1,7.3,1.3,0.4
78,ATHENS LIMESTONE HOSPITAL (010079),2018,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,21.4,41.3,8.8,5.9,0.8,0.9
79,ATHENS LIMESTONE HOSPITAL (010079),2018,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,21.4,41.3,8.8,5.9,0.8,0.9
80,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2018,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,20.2,30.7,6.3,3.3,0.2,8.0
81,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2018,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,20.2,30.7,6.3,3.3,0.2,8.0
82,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS (010085),2018,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,16.7,38.2,7.6,4.8,1.1,11.4
83,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS (010085),2018,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,16.7,38.2,7.6,4.8,1.1,11.4
84,NORTHWEST MEDICAL CENTER (010086),2018,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,4.9,40.0,6.1,4.2,,3.7
85,NORTHWEST MEDICAL CENTER (010086),2018,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,4.9,40.0,6.1,4.2,,3.7
86,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER (010087),2018,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,19.0,,,,1.0,7.5
87,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER (010087),2018,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,19.0,,,,1.0,7.5
88,WALKER BAPTIST MEDICAL CENTER (010089),2018,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,5.1,42.9,5.4,,0.8,5.4
89,WALKER BAPTIST MEDICAL CENTER (010089),2018,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,5.1,42.9,5.4,,0.8,5.4
90,PROVIDENCE HOSPITAL (010090),2018,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,37.0,46.0,5.1,,1.3,6.0
91,PROVIDENCE HOSPITAL (010090),2018,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,37.0,46.0,5.1,,1.3,6.0
92,GROVE HILL MEMORIAL HOSPITAL (010091),2018,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,27.6,,5.0,,0.0,10.4
93,GROVE HILL MEMORIAL HOSPITAL (010091),2018,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,27.6,,5.0,,0.0,10.4
94,D C H REGIONAL MEDICAL CENTER (010092),2018,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,3.6,47.1,10.2,5.0,0.8,0.1
95,D C H REGIONAL MEDICAL CENTER (010092),2018,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,3.6,47.1,10.2,5.0,0.8,0.1
96,HALE COUNTY HOSPITAL (010095),2018,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,2.0,,,,0.7,
97,HALE COUNTY HOSPITAL (010095),2018,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,2.0,,,,0.7,
98,ELMORE COMMUNITY HOSPITAL (010097),2018,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,9.3,,14.7,,0.0,
99,ELMORE COMMUNITY HOSPITAL (010097),2018,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,9.3,,14.7,,0.0,
100,D W MCMILLAN MEMORIAL HOSPITAL (010099),2018,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,11.4,50.0,12.9,4.4,,0.5
101,D W MCMILLAN MEMORIAL HOSPITAL (010099),2018,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,11.4,50.0,12.9,4.4,,0.5
102,THOMAS HOSPITAL (010100),2018,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,23.9,42.6,9.0,,1.3,1.2
103,THOMAS HOSPITAL (010100),2018,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,23.9,42.6,9.0,,1.3,1.2
104,CITIZENS BAPTIST MEDICAL CENTER (010101),2018,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,8.1,,6.1,3.8,0.4,6.9
105,CITIZENS BAPTIST MEDICAL CENTER (010101),2018,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,8.1,,6.1,3.8,0.4,6.9
106,J PAUL JONES HOSPITAL (010102),2018,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL,9.2,,4.2,,0.0,
107,J PAUL JONES HOSPITAL (010102),2018,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL,9.2,,4.2,,0.0,
108,PRINCETON BAPTIST MEDICAL CENTER (010103),2018,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,14.3,50.0,5.4,,0.8,10.5
109,PRINCETON BAPTIST MEDICAL CENTER (010103),2018,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,14.3,50.0,5.4,,0.8,10.5
110,GRANDVIEW MEDICAL CENTER (010104),2018,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,7.7,56.9,4.9,4.1,0.4,1.3
111,GRANDVIEW MEDICAL CENTER (010104),2018,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,7.7,56.9,4.9,4.1,0.4,1.3
112,PRATTVILLE BAPTIST HOSPITAL (010108),2018,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,7.7,50.0,7.8,,1.4,0.0
113,PRATTVILLE BAPTIST HOSPITAL (010108),2018,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,7.7,50.0,7.8,,1.4,0.0
114,PICKENS COUNTY MEDICAL CENTER (010109),2018,Acute Care,Government - Hospital District or Authority,49.0,33.274807,-88.089673,AL,1.4,,13.2,,0.6,0.8
115,PICKENS COUNTY MEDICAL CENTER (010109),2018,Acute Care,Government - Hospital District or Authority,49.0,33.274807,-88.089673,AL,1.4,,13.2,,0.6,0.8
116,BULLOCK COUNTY HOSPITAL (010110),2018,Acute Care,Proprietary,54.0,32.146182,-85.71638,AL,2.4,,,,0.0,0.0
117,BULLOCK COUNTY HOSPITAL (010110),2018,Acute Care,Proprietary,54.0,32.146182,-85.71638,AL,2.4,,,,0.0,0.0
118,BRYAN W. WHITFIELD MEMORIAL HOSPITAL (010112),2018,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,7.2,33.3,2.0,,0.8,5.2
119,BRYAN W. WHITFIELD MEMORIAL HOSPITAL (010112),2018,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,7.2,33.3,2.0,,0.8,5.2
120,MOBILE INFIRMARY MEDICAL CENTER (010113),2018,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,58.4,45.9,7.5,,1.3,0.1
121,MOBILE INFIRMARY MEDICAL CENTER (010113),2018,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,58.4,45.9,7.5,,1.3,0.1
122,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2018,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,5.2,44.7,10.6,7.2,0.5,0.0
123,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2018,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,5.2,44.7,10.6,7.2,0.5,0.0
124,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2018,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,1.8,41.9,6.9,2.9,0.2,0.3
125,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2018,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,1.8,41.9,6.9,2.9,0.2,0.3
126,MONROE COUNTY HOSPITAL (010120),2018,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,11.2,,17.2,6.3,0.5,1.3
127,MONROE COUNTY HOSPITAL (010120),2018,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,11.2,,17.2,6.3,0.5,1.3
128,LAKELAND COMMUNITY HOSPITAL (010125),2018,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,15.6,,21.4,,1.1,
129,LAKELAND COMMUNITY HOSPITAL (010125),2018,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,15.6,,21.4,,1.1,
130,TROY REGIONAL MEDICAL CENTER (010126),2018,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,13.2,,4.8,,0.7,10.9
131,TROY REGIONAL MEDICAL CENTER (010126),2018,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,13.2,,4.8,,0.7,10.9
132,JACKSON MEDICAL CENTER (010128),2018,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,10.2,,9.0,,,
133,JACKSON MEDICAL CENTER (010128),2018,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,10.2,,9.0,,,
134,NORTH BALDWIN INFIRMARY (010129),2018,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,27.6,,12.3,,0.0,0.0
135,NORTH BALDWIN INFIRMARY (010129),2018,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,27.6,,12.3,,0.0,0.0
136,ST VINCENT'S ST CLAIR (010130),2018,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,17.5,,6.9,,0.7,26.7
137,ST VINCENT'S ST CLAIR (010130),2018,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,17.5,,6.9,,0.7,26.7
138,CRESTWOOD MEDICAL CENTER (010131),2018,Acute Care,Proprietary,163.0,,,AL,5.9,40.0,9.0,5.4,2.0,0.5
139,CRESTWOOD MEDICAL CENTER (010131),2018,Acute Care,Proprietary,163.0,,,AL,5.9,40.0,9.0,5.4,2.0,0.5
140,BROOKWOOD BAPTIST MEDICAL CENTER (010139),2018,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,6.1,,,4.0,0.2,0.0
141,BROOKWOOD BAPTIST MEDICAL CENTER (010139),2018,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,6.1,,,4.0,0.2,0.0
142,SPRINGHILL MEMORIAL HOSPITAL (010144),2018,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,29.4,,4.9,10.3,0.6,0.2
143,SPRINGHILL MEMORIAL HOSPITAL (010144),2018,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,29.4,,4.9,10.3,0.6,0.2
144,RMC JACKSONVILLE (010146),2018,Acute Care,Proprietary,65.0,,,AL,19.1,,,,,3.0
145,RMC JACKSONVILLE (010146),2018,Acute Care,Proprietary,65.0,,,AL,19.1,,,,,3.0
146,EVERGREEN MEDICAL CENTER (010148),2018,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,10.4,44.4,,,,3.2
147,EVERGREEN MEDICAL CENTER (010148),2018,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,10.4,44.4,,,,3.2
148,BAPTIST MEDICAL CENTER EAST (010149),2018,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,5.3,40.2,,,2.9,0.3
149,BAPTIST MEDICAL CENTER EAST (010149),2018,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,5.3,40.2,,,2.9,0.3
150,L V STABLER MEMORIAL HOSPITAL (010150),2018,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,4.9,,8.9,,1.2,0.0
151,L V STABLER MEMORIAL HOSPITAL (010150),2018,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,4.9,,8.9,,1.2,0.0
152,SHOALS HOSPITAL (010157),2018,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,23.5,37.1,20.4,,,8.7
153,SHOALS HOSPITAL (010157),2018,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,23.5,37.1,20.4,,,8.7
154,RUSSELLVILLE HOSPITAL (010158),2018,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,9.9,26.0,19.1,2.1,,6.1
155,RUSSELLVILLE HOSPITAL (010158),2018,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,9.9,26.0,19.1,2.1,,6.1
156,COOSA VALLEY MEDICAL CENTER (010164),2018,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,2.4,46.6,6.0,4.6,1.1,0.6
157,COOSA VALLEY MEDICAL CENTER (010164),2018,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,2.4,46.6,6.0,4.6,1.1,0.6
158,JACK HUGHSTON MEMORIAL HOSPITAL (010168),2018,Acute Care,Government - State,52.0,32.509045,-85.005696,AL,1.0,,,,0.0,
159,JACK HUGHSTON MEMORIAL HOSPITAL (010168),2018,Acute Care,Government - State,52.0,32.509045,-85.005696,AL,1.0,,,,0.0,
160,ATMORE COMMUNITY HOSPITAL (010169),2018,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,21.6,,9.2,1.4,,5.2
161,ATMORE COMMUNITY HOSPITAL (010169),2018,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,21.6,,9.2,1.4,,5.2
162,ST VINCENT'S CHILTON (010173),2018,Acute Care,Voluntary non-profit - Church,26.0,32.876585,-86.623511,AL,9.9,,12.4,,,0.0
163,ST VINCENT'S CHILTON (010173),2018,Acute Care,Voluntary non-profit - Church,26.0,32.876585,-86.623511,AL,9.9,,12.4,,,0.0
164,WASHINGTON COUNTY HOSPITAL (011300),2018,Critical Access,Proprietary,103.0,31.460296,-88.235291,AL,6.7,,,,,0.0
165,WASHINGTON COUNTY HOSPITAL (011300),2018,Critical Access,Proprietary,103.0,31.460296,-88.235291,AL,6.7,,,,,0.0
166,RED BAY HOSPITAL (011302),2018,Critical Access,Government - Hospital District or Authority,25.0,34.457425,-88.146934,AL,4.7,,10.8,,,
