,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Abdomen CT Use of Contrast Material (OP-10),MRI Lumbar Spine for Low Back Pain (OP-8),Mammography Follow-up Rates (OP-9),Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery (OP-13),Outpatients with brain CT scans who got a sinus CT scan at the same time (OP-14),Thorax CT Use of Contrast Material (OP-11)
121,ABRAZO SCOTTSDALE CAMPUS (030083),2015,Acute Care,Proprietary,129.0,33.640603,-111.997692,AZ,4.3,,,,7.1,
122,NORTHWEST MEDICAL CENTER (030085),2015,Acute Care,Proprietary,283.0,32.319581,-111.012054,AZ,5.9,,5.2,5.6,2.3,7.4
123,SCOTTSDALE SHEA MEDICAL CENTER (030087),2015,Acute Care,Proprietary,426.0,33.582467,-111.886032,AZ,0.9,,,8.1,2.9,0.0
124,BANNER BAYWOOD MEDICAL CENTER (030088),2015,Acute Care,Voluntary non-profit - Private,340.0,33.410465,-111.688045,AZ,3.1,,15.4,2.6,1.9,0.7
125,BANNER THUNDERBIRD MEDICAL CENTER (030089),2015,Acute Care,Government - Hospital District or Authority,566.0,33.610731,-112.178698,AZ,2.2,,5.1,7.1,2.2,0.6
126,DEER VALLEY MEDICAL CENTER (030092),2015,Acute Care,Voluntary non-profit - Private,201.0,33.666425,-112.117188,AZ,7.1,,10.7,5.9,6.5,2.7
127,BANNER DEL E WEBB MEDICAL CENTER (030093),2015,Acute Care,Voluntary non-profit - Private,390.0,33.658307,-112.371939,AZ,5.8,54.3,12.4,4.0,2.0,5.2
128,ABRAZO ARROWHEAD CAMPUS (030094),2015,Acute Care,Proprietary,244.0,33.655042,-112.202889,AZ,2.4,,7.7,5.4,2.6,2.0
129,WESTERN ARIZONA REGIONAL MEDICAL CENTER (030101),2015,Acute Care,Proprietary,133.0,35.109853,-114.555146,AZ,15.8,,10.1,,4.0,16.1
130,MAYO CLINIC HOSPITAL (030103),2015,Acute Care,Voluntary non-profit - Private,277.0,33.663312,-111.955659,AZ,5.5,48.1,,8.1,3.3,0.8
131,ABRAZO WEST CAMPUS (030110),2015,Acute Care,Proprietary,190.0,33.464283,-112.354024,AZ,1.1,,,,4.3,1.8
132,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS (030111),2015,Acute Care,Voluntary non-profit - Private,207.0,32.177882,-110.930891,AZ,2.4,,5.9,1.7,5.0,0.5
133,ORO VALLEY HOSPITAL (030114),2015,Acute Care,Proprietary,148.0,32.427183,-110.94954,AZ,9.8,41.1,7.5,2.7,1.7,3.7
134,BANNER ESTRELLA MEDICAL CENTER (030115),2015,Acute Care,Voluntary non-profit - Private,288.0,33.479558,-112.257936,AZ,3.5,,,,2.4,1.6
135,VALLEY VIEW MEDICAL CENTER (030117),2015,Acute Care,Proprietary,82.0,35.002363,-114.597954,AZ,18.0,45.1,4.9,,0.9,15.6
136,YAVAPAI REGIONAL MEDICAL CENTER-EAST CAMPUS (030118),2015,Acute Care,Proprietary,61.0,,,AZ,17.4,,6.7,4.8,2.2,12.6
137,MERCY GILBERT MEDICAL CENTER (030119),2015,Acute Care,Voluntary non-profit - Church,202.0,33.286661,-111.755311,AZ,0.8,,13.8,5.0,2.7,0.3
138,GILBERT HOSPITAL (030120),2015,Acute Care,Proprietary,19.0,,,AZ,1.6,,,,,
139,"MOUNTAIN VISTA MEDICAL CENTER, LP (030121)",2015,Acute Care,Proprietary,171.0,33.3911,-111.615329,AZ,2.0,,16.4,,1.9,1.7
140,BANNER GATEWAY MEDICAL CENTER (030122),2015,Acute Care,Voluntary non-profit - Other,170.0,33.384225,-111.719634,AZ,2.9,,9.1,,,0.4
141,SCOTTSDALE THOMPSON PEAK MEDICAL CENTER (030123),2015,Acute Care,Proprietary,98.0,33.669777,-111.921803,AZ,0.6,,,6.7,,
142,BANNER IRONWOOD MEDICAL CENTER (030130),2015,Acute Care,Voluntary non-profit - Private,61.0,33.214839,-111.563447,AZ,3.0,,,,,1.9
143,"FLORENCE HOSPITAL AT ANTHEM, LLC (030132)",2015,Acute Care,Proprietary,36.0,,,AZ,1.6,,,,6.7,
144,BANNER GOLDFIELD MEDICAL CENTER (030134),2015,Acute Care,Voluntary non-profit - Other,23.0,33.393343,-111.566796,AZ,0.5,,,,,
145,PAGE HOSPITAL (031304),2015,Critical Access,Government - Hospital District or Authority,25.0,36.91696,-111.463186,AZ,0.0,,3.2,,,
146,SAGE MEMORIAL HOSPITAL (031309),2015,Critical Access,Voluntary non-profit - Private,25.0,,,AZ,1.7,,,,7.7,
147,CARONDELET HOLY CROSS HOSPITAL (031313),2015,Critical Access,Proprietary,30.0,31.341118,-110.958734,AZ,9.5,,10.9,,,10.4
148,WHITE MOUNTAIN REGIONAL MEDICAL CENTER (031315),2015,Critical Access,Voluntary non-profit - Private,21.0,34.132136,-109.286545,AZ,4.2,,,,,3.3
149,SILOAM SPRINGS REGIONAL HOSPITAL (040001),2015,Acute Care,Proprietary,46.0,36.190377,-94.509658,AR,7.9,,11.5,4.3,,1.1
150,JOHNSON REGIONAL MEDICAL CENTER (040002),2015,Acute Care,Voluntary non-profit - Private,86.0,35.464384,-93.445797,AR,2.8,,16.2,5.7,1.0,3.0
151,WASHINGTON REGIONAL MED CTR AT NORTH HILLS (040004),2015,Acute Care,Voluntary non-profit - Private,314.0,36.110984,-94.157862,AR,8.6,39.1,15.8,3.7,2.8,1.0
152,ST VINCENT INFIRMARY MEDICAL CENTER (040007),2015,Acute Care,Voluntary non-profit - Private,414.0,,,AR,5.0,39.6,,4.4,3.9,0.3
153,MERCY HOSPITAL NORTHWEST ARKANSAS (040010),2015,Acute Care,Voluntary non-profit - Church,201.0,36.309562,-94.184709,AR,13.5,45.4,11.7,6.8,3.2,8.7
154,CHAMBERS MEMORIAL HOSPITAL (040011),2015,Acute Care,Voluntary non-profit - Private,41.0,35.054823,-93.388543,AR,10.7,,19.5,,,1.3
155,WHITE COUNTY MEDICAL CENTER (040014),2015,Acute Care,Voluntary non-profit - Private,315.0,35.250446,-91.696758,AR,15.9,41.0,,2.2,1.5,0.1
156,MENA REGIONAL HEALTH SYSTEM (040015),2015,Acute Care,Government - Local,65.0,34.588386,-94.221383,AR,5.2,67.3,9.9,7.2,,1.8
157,UAMS MEDICAL CENTER (040016),2015,Acute Care,Government - State,480.0,34.751583,-92.320998,AR,2.2,45.5,16.0,4.7,1.8,1.2
158,NORTH ARKANSAS REGIONAL MEDICAL CENTER (040017),2015,Acute Care,Voluntary non-profit - Other,133.0,36.236281,-93.107148,AR,27.2,48.4,9.0,,3.2,9.6
159,SPARKS MEDICAL CENTER - VAN BUREN (040018),2015,Acute Care,Proprietary,68.0,35.434175,-94.339451,AR,25.0,,11.9,,,
160,FORREST CITY MEDICAL CENTER (040019),2015,Acute Care,Proprietary,68.0,35.039275,-90.771894,AR,4.9,,8.3,,4.8,7.9
161,ST BERNARDS MEDICAL CENTER (040020),2015,Acute Care,Voluntary non-profit - Private,376.0,35.837478,-90.702142,AR,45.3,53.2,12.2,5.1,4.7,0.8
162,NORTHWEST MEDICAL CENTER-SPRINGDALE (040022),2015,Acute Care,Proprietary,325.0,36.181394,-94.136464,AR,9.9,42.1,12.5,4.4,4.3,5.6
163,MERCY HOSPITAL HOT SPRINGS (040026),2015,Acute Care,Voluntary non-profit - Church,235.0,34.466035,-93.066396,AR,7.4,46.1,15.4,4.8,2.7,5.1
164,BAXTER REGIONAL MEDICAL CENTER (040027),2015,Acute Care,Voluntary non-profit - Private,214.0,36.343067,-92.395905,AR,10.6,50.3,9.7,3.7,1.4,2.4
