,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,READM-30-AMI (Excess Readmission Ratio),READM-30-AMI (Expected Readmission Rate),READM-30-AMI (Number of Discharges),READM-30-AMI (Number of Readmissions),READM-30-AMI (Predicted Readmission Rate),READM-30-CABG (Excess Readmission Ratio),READM-30-CABG (Expected Readmission Rate),READM-30-CABG (Number of Discharges),READM-30-CABG (Number of Readmissions),READM-30-CABG (Predicted Readmission Rate),READM-30-COPD (Excess Readmission Ratio),READM-30-COPD (Expected Readmission Rate),READM-30-COPD (Number of Discharges),READM-30-COPD (Number of Readmissions),READM-30-COPD (Predicted Readmission Rate),READM-30-HF (Excess Readmission Ratio),READM-30-HF (Expected Readmission Rate),READM-30-HF (Number of Discharges),READM-30-HF (Number of Readmissions),READM-30-HF (Predicted Readmission Rate),READM-30-HIP-KNEE (Excess Readmission Ratio),READM-30-HIP-KNEE (Expected Readmission Rate),READM-30-HIP-KNEE (Number of Discharges),READM-30-HIP-KNEE (Number of Readmissions),READM-30-HIP-KNEE (Predicted Readmission Rate),READM-30-PN (Excess Readmission Ratio),READM-30-PN (Expected Readmission Rate),READM-30-PN (Number of Discharges),READM-30-PN (Number of Readmissions),READM-30-PN (Predicted Readmission Rate)
21,GADSDEN REGIONAL MEDICAL CENTER (010040),2019,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,0.9763,14.9908,215.0,30.0,14.6357,1.0598,13.0794,119.0,18.0,13.8619,0.9992,19.6209,490.0,96.0,19.6046,1.0286,22.7686,513.0,122.0,23.4202,1.3705,4.2905,432.0,32.0,5.8803,1.1278,17.4767,632.0,132.0,19.711
22,MARION REGIONAL MEDICAL CENTER (010044),2019,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,,,,,,,,,,,0.9654,16.9893,107.0,15.0,16.4006,0.9554,19.2258,,,18.3683,,,,,,0.9361,13.7935,153.0,16.0,12.9123
23,FAYETTE MEDICAL CENTER (010045),2019,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,,,,,,,,,,,1.0848,20.5377,178.0,46.0,22.2788,1.0066,22.6137,86.0,20.0,22.7621,,,,,,1.0125,17.0628,123.0,22.0,17.276
24,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2019,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,1.0856,14.8897,105.0,22.0,16.1643,1.1875,15.0654,47.0,13.0,17.8898,1.111,19.2281,337.0,80.0,21.3626,1.2158,23.2865,426.0,134.0,28.3109,0.9222,4.3245,,,3.9881,1.0664,17.7971,443.0,88.0,18.9793
25,GEORGIANA MEDICAL CENTER (010047),2019,Acute Care,Proprietary,22.0,,,AL,,,,,,,,,,,0.9757,16.6289,,,16.2244,0.974,19.2909,,,18.789,,,,,,1.0499,14.9907,109.0,20.0,15.7388
26,MEDICAL CENTER ENTERPRISE (010049),2019,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,,,,,,,,,,,1.0456,15.4018,210.0,37.0,16.1037,1.0755,20.23,135.0,34.0,21.7578,0.7849,4.0905,,,3.2105,0.9735,13.5128,156.0,19.0,13.1553
27,GREENE COUNTY HOSPITAL (010051),2019,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL,,,0.0,,,,,,,,0.9624,15.5867,,,15.0007,1.031,17.748,,,18.299,,,,,,,,,,
28,LAKE MARTIN COMMUNITY HOSPITAL (010052),2019,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,,,,,,,,,,,0.9748,21.8697,75.0,14.0,21.318,,,,,,,,,,,0.9824,16.1037,133.0,20.0,15.8202
29,FLOWERS HOSPITAL (010055),2019,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,0.9257,13.6665,313.0,35.0,12.6507,0.9388,12.6589,106.0,11.0,11.8843,0.9654,18.5663,433.0,75.0,17.924,0.9136,20.7831,546.0,98.0,18.9874,1.0961,3.9316,490.0,23.0,4.3096,0.9685,15.6442,580.0,86.0,15.1511
30,ST VINCENT'S BIRMINGHAM (010056),2019,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,0.9969,14.7311,226.0,33.0,14.6855,1.2382,11.8951,112.0,22.0,14.7282,0.965,19.7048,398.0,73.0,19.0161,0.9289,20.2678,476.0,85.0,18.8262,1.0106,3.7532,1629.0,62.0,3.7928,0.9857,15.7663,694.0,107.0,15.5407
31,BIBB MEDICAL CENTER (010058),2019,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,,,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0006,14.9466,80.0,12.0,14.9556
32,LAWRENCE MEDICAL CENTER (010059),2019,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,,,,,,,,,,,1.051,19.3597,70.0,18.0,20.3478,0.9598,22.8671,,,21.9481,,,,,,0.9816,17.3873,112.0,18.0,17.068
33,HIGHLANDS MEDICAL CENTER (010061),2019,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,,,,,,,,,,,1.0316,17.7996,336.0,64.0,18.3625,0.9227,20.5026,143.0,22.0,18.917,1.2866,4.8379,,,6.2246,1.0071,15.8533,273.0,44.0,15.9652
34,WIREGRASS MEDICAL CENTER (010062),2019,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,,,,,,,,,,,1.043,16.7501,120.0,24.0,17.4695,0.9316,19.3111,91.0,12.0,17.9898,,,,,,1.0195,14.5507,161.0,25.0,14.8349
35,RUSSELL MEDICAL CENTER (010065),2019,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,0.9725,15.09,,,14.6755,,,,,,0.9307,20.2948,198.0,32.0,18.8882,1.0452,21.5884,271.0,64.0,22.5635,1.3911,4.6094,95.0,13.0,6.4121,1.0676,16.0499,345.0,63.0,17.1344
36,MEDICAL CENTER BARBOUR (010069),2019,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,,,,,,,,,,,1.0541,17.5819,87.0,20.0,18.5332,0.9234,21.0677,,,19.4549,,,,,,0.9567,14.1946,107.0,12.0,13.5794
37,CLAY COUNTY HOSPITAL (010073),2019,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,,,,,,,,,,,1.0179,16.682,69.0,13.0,16.9812,0.9747,19.8484,,,19.347,,,,,,1.0303,13.7116,87.0,14.0,14.1275
38,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER (010078),2019,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,1.0894,16.8213,396.0,78.0,18.3255,0.9958,14.1581,93.0,13.0,14.0985,1.0323,18.407,498.0,97.0,19.0011,0.9816,21.5255,602.0,126.0,21.1289,1.3005,4.1113,384.0,26.0,5.3466,0.961,16.3426,499.0,76.0,15.7053
39,ATHENS LIMESTONE HOSPITAL (010079),2019,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,,,,,,,,,,,1.0262,18.0315,303.0,58.0,18.5045,1.0114,20.7257,216.0,46.0,20.962,0.9587,4.196,,,4.0228,1.064,16.131,293.0,54.0,17.1627
40,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2019,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,0.9663,13.5964,107.0,12.0,13.1376,,,,,,0.9121,19.1572,291.0,44.0,17.4742,1.1722,21.3506,366.0,102.0,25.0271,0.9562,4.6021,,,4.4006,0.975,16.0911,341.0,52.0,15.6896
41,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS (010085),2019,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,1.0611,18.141,63.0,16.0,19.2496,,,,,,1.02,18.7579,656.0,127.0,19.1333,0.931,21.9517,683.0,135.0,20.438,1.3095,4.153,467.0,31.0,5.4384,0.9567,16.755,684.0,107.0,16.0302
42,NORTHWEST MEDICAL CENTER (010086),2019,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,,,,,,,,,,,0.9923,17.1583,156.0,26.0,17.0263,0.9645,19.8943,90.0,15.0,19.1877,,,,,,0.8802,15.6923,213.0,22.0,13.8131
43,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER (010087),2019,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,,,,,,,,,,,1.0637,21.5317,27.0,11.0,22.9022,0.988,18.429,,,18.2082,,,,,,1.0769,18.6252,,,20.0566
44,WALKER BAPTIST MEDICAL CENTER (010089),2019,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,,,,,,,,,,,1.0559,20.3144,372.0,84.0,21.4505,1.0052,21.7191,200.0,44.0,21.8322,0.8765,4.9772,,,4.3627,0.9292,16.6169,352.0,50.0,15.4397
45,PROVIDENCE HOSPITAL (010090),2019,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,1.1529,14.2009,258.0,51.0,16.3729,1.124,12.0225,148.0,23.0,13.513,1.0035,18.1982,464.0,85.0,18.2626,0.9395,20.1396,602.0,110.0,18.9218,0.8824,4.0637,462.0,14.0,3.5858,1.1312,15.4523,610.0,114.0,17.4799
46,GROVE HILL MEMORIAL HOSPITAL (010091),2019,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,,,,,,,,,,,1.0477,13.7384,54.0,11.0,14.3938,1.0248,17.2105,54.0,11.0,17.6365,,,,,,0.9759,13.3922,,,13.0691
47,D C H REGIONAL MEDICAL CENTER (010092),2019,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,1.1079,15.5347,538.0,99.0,17.2103,1.0474,12.7377,171.0,24.0,13.342,0.9882,20.4063,1274.0,256.0,20.1655,1.1003,22.3277,1232.0,309.0,24.5681,1.0988,4.1174,797.0,38.0,4.5242,0.9743,17.1691,1492.0,248.0,16.7271
48,HALE COUNTY HOSPITAL (010095),2019,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,,,,,,,,,,,0.965,19.5076,,,18.8244,,,,,,,,,,,0.9716,15.4293,,,14.9907
49,ELMORE COMMUNITY HOSPITAL (010097),2019,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,,,0.0,,,,,,,,0.972,15.1242,,,14.7002,0.9855,18.2049,,,17.9404,,,,,,0.9511,14.577,,,13.8637
50,D W MCMILLAN MEMORIAL HOSPITAL (010099),2019,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,,,,,,,,,,,1.0286,15.1556,77.0,14.0,15.5889,0.9509,17.9487,100.0,14.0,17.0673,,,,,,0.969,13.1975,186.0,22.0,12.788
51,THOMAS HOSPITAL (010100),2019,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,1.0021,13.4388,207.0,28.0,13.4667,1.0738,12.2643,214.0,30.0,13.1688,0.9045,19.0665,165.0,21.0,17.2454,1.0338,20.7763,330.0,73.0,21.4779,1.062,4.0768,595.0,27.0,4.3294,1.0321,16.5219,417.0,73.0,17.0523
52,CITIZENS BAPTIST MEDICAL CENTER (010101),2019,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,,,,,,,,,,,0.9873,17.9263,107.0,18.0,17.6977,0.9581,20.5665,95.0,16.0,19.7038,,,,,,1.0442,15.2808,103.0,19.0,15.9568
53,J PAUL JONES HOSPITAL (010102),2019,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL,,,,,,,,,,,,,,,,,,,,,,,,,,0.9779,15.0426,,,14.7107
54,PRINCETON BAPTIST MEDICAL CENTER (010103),2019,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,1.0682,14.0646,253.0,42.0,15.0234,1.0562,12.5525,178.0,25.0,13.2582,0.9467,19.5333,298.0,51.0,18.4913,1.0541,22.1328,431.0,104.0,23.3302,0.984,4.4306,260.0,11.0,4.3596,0.8984,17.7784,322.0,45.0,15.9713
55,GRANDVIEW MEDICAL CENTER (010104),2019,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,1.0577,15.7509,225.0,41.0,16.6602,1.1204,12.5458,93.0,16.0,14.0559,1.1531,19.2265,212.0,58.0,22.1699,0.9751,21.303,441.0,90.0,20.7732,1.3014,4.0094,777.0,46.0,5.2179,1.0419,16.437,336.0,60.0,17.1264
56,PRATTVILLE BAPTIST HOSPITAL (010108),2019,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,0.9858,17.8246,,,17.5709,,,,,,0.9305,18.4708,287.0,44.0,17.1867,0.9933,21.475,213.0,45.0,21.3304,,,,,,0.9834,15.6372,260.0,39.0,15.3782
57,PICKENS COUNTY MEDICAL CENTER (010109),2019,Acute Care,Government - Hospital District or Authority,49.0,33.274807,-88.089673,AL,,,0.0,,,,,,,,0.9886,15.4637,,,15.2871,0.9464,16.9769,,,16.0674,,,,,,0.9765,13.8853,,,13.5589
58,BULLOCK COUNTY HOSPITAL (010110),2019,Acute Care,Proprietary,54.0,32.146182,-85.71638,AL,,,,,,,,,,,0.9395,16.2772,,,15.292,,,,,,,,,,,,,,,
59,BRYAN W. WHITFIELD MEMORIAL HOSPITAL (010112),2019,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,,,,,,,,,,,0.9452,17.7713,,,16.797,1.0383,19.896,66.0,16.0,20.6578,,,,,,0.9924,14.4045,108.0,15.0,14.2956
60,MOBILE INFIRMARY MEDICAL CENTER (010113),2019,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,0.9944,14.0843,238.0,33.0,14.006,0.9133,12.6157,,,11.5222,1.0758,19.2699,528.0,115.0,20.7306,1.1393,20.5033,803.0,196.0,23.3602,0.9728,4.0251,653.0,25.0,3.9155,1.0165,16.3355,777.0,130.0,16.6051
61,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2019,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,1.0113,17.4662,,,17.663,,,,,,0.9105,18.1201,193.0,25.0,16.4978,1.0352,21.7821,163.0,39.0,22.5486,0.9085,4.5391,,,4.1238,0.916,16.5558,298.0,40.0,15.1643
62,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2019,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,1.0785,16.9901,77.0,19.0,18.324,,,,,,0.8951,18.6162,163.0,19.0,16.6639,1.0544,21.7272,273.0,66.0,22.9085,,,0.0,,,1.0433,16.6141,216.0,40.0,17.3327
63,MONROE COUNTY HOSPITAL (010120),2019,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,,,,,,,,,,,1.0304,17.6089,54.0,12.0,18.1434,0.9692,17.4309,100.0,15.0,16.8937,,,,,,0.9935,14.0306,139.0,19.0,13.9394
64,LAKELAND COMMUNITY HOSPITAL (010125),2019,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,,,,,,,,,,,0.918,16.048,211.0,25.0,14.732,0.9753,20.4683,,,19.9626,,,,,,0.8451,14.221,720.0,77.0,12.0179
65,TROY REGIONAL MEDICAL CENTER (010126),2019,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,,,,,,,,,,,1.0894,16.6415,87.0,22.0,18.1287,1.0407,19.8515,104.0,24.0,20.6594,1.0383,4.2221,,,4.3837,0.9347,14.9506,114.0,12.0,13.9741
66,JACKSON MEDICAL CENTER (010128),2019,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,,,,,,,,,,,0.9524,15.2187,,,14.4936,1.0169,16.9054,,,17.1915,,,,,,1.0198,12.4575,,,12.7042
67,NORTH BALDWIN INFIRMARY (010129),2019,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,,,,,,,,,,,1.015,17.0187,69.0,13.0,17.2737,1.0464,20.8514,60.0,16.0,21.8192,,,,,,1.1272,15.4044,155.0,34.0,17.3643
68,ST VINCENT'S ST CLAIR (010130),2019,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,,,,,,,,,,,0.9729,19.0452,146.0,25.0,18.5292,0.9786,21.3671,107.0,21.0,20.9104,,,,,,0.9874,15.2705,310.0,46.0,15.078
69,CRESTWOOD MEDICAL CENTER (010131),2019,Acute Care,Proprietary,163.0,,,AL,1.0166,15.2867,193.0,31.0,15.5398,,,,,,1.1428,17.1512,368.0,82.0,19.6005,1.0639,19.6517,383.0,84.0,20.9083,1.4172,3.8349,861.0,54.0,5.4346,0.9929,15.1816,560.0,84.0,15.0743
70,BROOKWOOD BAPTIST MEDICAL CENTER (010139),2019,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,0.998,14.4001,314.0,45.0,14.3707,1.1732,12.1947,167.0,28.0,14.3067,1.0855,18.8869,277.0,63.0,20.5011,0.9968,20.0205,452.0,90.0,19.9563,1.0751,3.6763,848.0,35.0,3.9525,0.967,15.1617,484.0,69.0,14.6617
71,SPRINGHILL MEMORIAL HOSPITAL (010144),2019,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,0.9858,13.8281,153.0,20.0,13.6323,0.9771,11.0683,,,10.8151,1.112,18.9679,336.0,79.0,21.0924,0.9759,20.7256,507.0,101.0,20.2256,0.9958,4.2991,259.0,11.0,4.281,1.1394,15.3869,395.0,77.0,17.5316
72,RMC JACKSONVILLE (010146),2019,Acute Care,Proprietary,65.0,,,AL,,,,,,,,,,,0.9944,16.5496,,,16.4568,,,,,,,,,,,1.0473,14.6896,54.0,11.0,15.3841
73,EVERGREEN MEDICAL CENTER (010148),2019,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,,,,,,,,,,,0.9765,15.9586,229.0,34.0,15.5841,1.0248,18.1939,126.0,25.0,18.6456,,,,,,1.1495,14.4269,156.0,34.0,16.5834
74,BAPTIST MEDICAL CENTER EAST (010149),2019,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,0.9899,19.2114,,,19.0177,,,,,,0.9725,18.9571,250.0,44.0,18.4359,0.9333,21.6384,314.0,59.0,20.1946,,,,,,0.9954,16.177,306.0,49.0,16.1028
75,L V STABLER MEMORIAL HOSPITAL (010150),2019,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,,,,,,,,,,,0.968,15.7536,,,15.2499,1.0158,19.1136,98.0,20.0,19.4148,1.0343,4.3006,,,4.4482,1.0135,14.4589,,,14.6534
76,SHOALS HOSPITAL (010157),2019,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,,,,,,,,,,,0.9976,17.2069,135.0,23.0,17.1659,0.9949,21.3475,91.0,19.0,21.2386,0.9238,3.9958,,,3.6912,1.1251,16.0119,155.0,35.0,18.0153
77,RUSSELLVILLE HOSPITAL (010158),2019,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,,,,,,,,,,,0.9017,16.6578,169.0,18.0,15.0205,1.0071,18.3471,68.0,13.0,18.4774,0.9749,5.6569,,,5.5149,0.994,15.2376,240.0,36.0,15.1463
78,COOSA VALLEY MEDICAL CENTER (010164),2019,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,0.9771,16.3752,,,15.9999,,,,,,0.9248,16.9391,132.0,15.0,15.6645,0.9795,19.4121,133.0,24.0,19.0145,1.1259,4.3208,,,4.8649,0.9584,14.5942,275.0,36.0,13.9876
