,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,READM-30-AMI (Excess Readmission Ratio),READM-30-AMI (Expected Readmission Rate),READM-30-AMI (Number of Discharges),READM-30-AMI (Number of Readmissions),READM-30-AMI (Predicted Readmission Rate),READM-30-COPD (Excess Readmission Ratio),READM-30-COPD (Expected Readmission Rate),READM-30-COPD (Number of Discharges),READM-30-COPD (Number of Readmissions),READM-30-COPD (Predicted Readmission Rate),READM-30-HF (Excess Readmission Ratio),READM-30-HF (Expected Readmission Rate),READM-30-HF (Number of Discharges),READM-30-HF (Number of Readmissions),READM-30-HF (Predicted Readmission Rate),READM-30-HIP-KNEE (Excess Readmission Ratio),READM-30-HIP-KNEE (Expected Readmission Rate),READM-30-HIP-KNEE (Number of Discharges),READM-30-HIP-KNEE (Number of Readmissions),READM-30-HIP-KNEE (Predicted Readmission Rate),READM-30-PN (Excess Readmission Ratio),READM-30-PN (Expected Readmission Rate),READM-30-PN (Number of Discharges),READM-30-PN (Number of Readmissions),READM-30-PN (Predicted Readmission Rate)
25,GEORGIANA MEDICAL CENTER (010047),2015,Acute Care,Proprietary,22.0,,,AL,,,,,,1.1102,16.7,90.0,24.0,18.5,1.0077,21.1,,,21.2,,,,,,0.9625,15.4,123.0,16.0,14.8
26,MEDICAL CENTER ENTERPRISE (010049),2015,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,,,,,,1.0757,18.2,300.0,64.0,19.6,1.1754,21.1,135.0,43.0,24.8,0.9008,5.0,,,4.5,0.9866,15.1,206.0,30.0,14.9
27,GREENE COUNTY HOSPITAL (010051),2015,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL,,,0.0,,,0.9794,17.5,96.0,15.0,17.1,1.038,18.7,46.0,11.0,19.4,,,,,,0.9796,14.2,,,13.9
28,LAKE MARTIN COMMUNITY HOSPITAL (010052),2015,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,,,,,,1.0544,19.0,81.0,20.0,20.0,0.9851,21.8,,,21.5,,,,,,1.0337,17.6,99.0,20.0,18.2
29,DECATUR MORGAN HOSPITAL-PARKWAY CAMPUS (010054),2015,Acute Care,Proprietary,114.0,,,AL,,,,,,1.07,19.1,235.0,53.0,20.4,1.0519,21.8,188.0,46.0,22.9,0.9508,5.3,,,5.0,1.0336,16.4,225.0,40.0,16.9
30,FLOWERS HOSPITAL (010055),2015,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,1.0229,15.4,355.0,57.0,15.7,0.9843,18.1,416.0,73.0,17.8,1.0416,20.9,596.0,132.0,21.8,0.9365,4.9,546.0,24.0,4.6,0.9914,15.7,497.0,77.0,15.6
31,ST VINCENT'S BIRMINGHAM (010056),2015,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,1.1128,15.5,291.0,56.0,17.3,1.0174,20.0,544.0,112.0,20.4,1.0031,20.8,555.0,116.0,20.9,1.1762,4.7,1401.0,80.0,5.5,0.9699,15.9,538.0,81.0,15.4
32,BIBB MEDICAL CENTER (010058),2015,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,,,,,,,,,,,,,,,,,,,,,1.0301,16.8,59.0,12.0,17.3
33,LAWRENCE MEDICAL CENTER (010059),2015,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,,,,,,1.0098,21.0,157.0,34.0,21.2,1.0682,24.2,89.0,27.0,25.9,,,,,,0.888,18.8,151.0,18.0,16.7
34,HIGHLANDS MEDICAL CENTER (010061),2015,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,,,,,,1.053,19.3,399.0,85.0,20.4,1.0491,21.4,166.0,40.0,22.4,,,,,,1.0333,16.3,369.0,64.0,16.8
35,WIREGRASS MEDICAL CENTER (010062),2015,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,,,,,,0.9783,19.8,174.0,32.0,19.3,0.9335,21.1,106.0,17.0,19.7,,,,,,0.9835,16.4,205.0,32.0,16.1
36,RUSSELL HOSPITAL (010065),2015,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,0.9594,17.8,,,17.1,0.9526,19.2,232.0,39.0,18.3,0.9343,22.3,216.0,41.0,20.8,1.1205,5.2,,,5.9,0.9888,17.3,203.0,34.0,17.1
37,MEDICAL CENTER BARBOUR (010069),2015,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,,,,,,1.0653,18.6,98.0,24.0,19.8,1.0111,21.1,114.0,25.0,21.4,,,,,,0.9797,14.7,126.0,17.0,14.4
38,CLAY COUNTY HOSPITAL (010073),2015,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,,,,,,1.0637,17.6,153.0,33.0,18.7,1.0801,20.9,78.0,22.0,22.5,,,,,,0.9325,14.5,111.0,11.0,13.5
39,NORTHEAST ALABAMA REGIONAL MED CENTER (010078),2015,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,1.124,18.2,428.0,94.0,20.4,0.974,20.4,554.0,108.0,19.8,1.0007,23.9,651.0,156.0,24.0,1.0308,5.0,342.0,18.0,5.1,1.0536,17.7,422.0,82.0,18.7
40,ATHENS-LIMESTONE HOSPITAL (010079),2015,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,,,,,,1.0052,19.2,428.0,83.0,19.3,1.016,21.9,207.0,47.0,22.3,0.9671,4.9,,,4.8,0.9677,16.8,264.0,41.0,16.3
41,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2015,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,1.0046,19.8,,,19.9,0.9182,19.0,321.0,50.0,17.5,0.9878,22.6,321.0,71.0,22.3,1.3184,5.9,115.0,14.0,7.8,0.9222,16.8,347.0,49.0,15.5
42,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS (010085),2015,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,0.9294,19.7,,,18.3,0.9595,19.6,409.0,74.0,18.8,0.9231,23.2,531.0,109.0,21.4,1.042,5.1,361.0,20.0,5.3,1.0437,17.4,427.0,80.0,18.1
43,NORTHWEST MEDICAL CENTER (010086),2015,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,,,,,,1.0548,18.8,207.0,45.0,19.9,0.9168,21.8,90.0,13.0,20.0,,,,,,0.9912,15.7,260.0,40.0,15.6
44,WALKER BAPTIST MEDICAL CENTER (010089),2015,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,0.9858,19.2,,,18.9,1.005,20.2,387.0,79.0,20.3,1.0336,22.2,249.0,59.0,22.9,1.2321,5.5,255.0,21.0,6.8,0.9692,17.8,313.0,52.0,17.2
45,PROVIDENCE HOSPITAL (010090),2015,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,0.9649,15.6,225.0,32.0,15.0,0.9653,19.7,424.0,78.0,19.0,0.9337,21.8,605.0,119.0,20.3,1.1835,5.2,550.0,37.0,6.2,1.0625,16.2,559.0,100.0,17.2
46,GROVE HILL MEMORIAL HOSPITAL (010091),2015,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,,,,,,0.9159,16.4,120.0,12.0,15.0,0.9956,20.9,83.0,17.0,20.8,,,,,,0.9393,14.1,,,13.2
47,D C H REGIONAL MEDICAL CENTER (010092),2015,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,1.2338,15.6,446.0,97.0,19.2,1.0143,21.2,1160.0,250.0,21.5,1.0028,22.3,1082.0,242.0,22.4,1.2757,5.2,600.0,44.0,6.6,1.0522,17.9,1045.0,200.0,18.8
48,HALE COUNTY HOSPITAL (010095),2015,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,,,,,,,,,,,0.9486,20.4,,,19.4,,,,,,0.957,16.5,,,15.8
49,ELMORE COMMUNITY HOSPITAL (010097),2015,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,,,,,,0.9918,16.9,,,16.8,1.0255,19.1,54.0,12.0,19.6,,,,,,1.0141,15.4,78.0,13.0,15.6
50,D W MCMILLAN MEMORIAL HOSPITAL (010099),2015,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,,,,,,1.0632,17.3,139.0,30.0,18.4,1.0522,19.7,102.0,24.0,20.7,,,,,,1.0759,13.4,165.0,28.0,14.4
51,THOMAS HOSPITAL (010100),2015,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,1.0596,14.0,229.0,37.0,14.9,0.9178,20.2,179.0,27.0,18.6,0.9316,21.0,358.0,66.0,19.6,1.0085,5.1,643.0,33.0,5.1,0.9061,15.7,216.0,25.0,14.2
52,CITIZENS BAPTIST MEDICAL CENTER (010101),2015,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,,,,,,1.0532,18.8,158.0,35.0,19.8,0.9714,23.2,176.0,38.0,22.6,,,0.0,,,0.9918,16.8,111.0,18.0,16.7
53,J PAUL JONES HOSPITAL (010102),2015,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL,,,,,,,,,,,,,,,,,,,,,0.9585,13.0,,,12.4
54,BAPTIST MEDICAL CENTER-PRINCETON (010103),2015,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,0.9712,18.0,358.0,61.0,17.5,0.9826,21.6,326.0,68.0,21.3,0.9335,22.1,534.0,106.0,20.6,0.8746,5.4,283.0,11.0,4.7,0.9797,19.1,364.0,67.0,18.8
55,TRINITY MEDICAL CENTER (010104),2015,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,0.9663,16.6,341.0,53.0,16.1,1.0198,21.4,245.0,55.0,21.8,0.8837,22.4,364.0,65.0,19.8,1.1175,5.2,451.0,28.0,5.8,0.8607,17.1,318.0,38.0,14.7
56,PRATTVILLE BAPTIST HOSPITAL (010108),2015,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,,,,,,0.9374,19.3,225.0,36.0,18.1,1.1622,20.8,162.0,48.0,24.2,,,,,,1.0762,15.9,208.0,40.0,17.1
57,PICKENS COUNTY MEDICAL CENTER (010109),2015,Acute Care,Government - Hospital District or Authority,49.0,33.274807,-88.089673,AL,,,,,,1.0549,18.1,90.0,21.0,19.1,1.0612,21.5,55.0,16.0,22.8,,,,,,0.9429,15.7,151.0,19.0,14.8
58,BULLOCK COUNTY HOSPITAL (010110),2015,Acute Care,Proprietary,54.0,32.146182,-85.71638,AL,,,,,,0.9511,17.6,,,16.7,0.9877,21.5,,,21.2,,,,,,,,,,
59,BRYAN W. WHITFIELD MEMORIAL HOSPITAL (010112),2015,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,,,,,,0.9722,17.3,89.0,13.0,16.8,0.9826,19.0,91.0,16.0,18.7,,,,,,1.0602,14.3,136.0,24.0,15.2
60,MOBILE INFIRMARY (010113),2015,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,1.0666,15.0,272.0,47.0,16.0,1.1087,19.3,613.0,139.0,21.4,1.0942,21.4,941.0,226.0,23.5,1.1229,5.1,613.0,37.0,5.7,1.1006,16.7,621.0,120.0,18.4
61,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2015,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,1.0547,19.9,81.0,20.0,21.0,0.909,19.9,193.0,28.0,18.1,0.9454,22.0,227.0,44.0,20.8,1.1217,5.8,,,6.5,1.0306,16.6,218.0,39.0,17.1
62,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2015,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,1.1451,19.4,173.0,46.0,22.2,0.8314,21.5,205.0,23.0,17.8,1.0932,22.5,373.0,97.0,24.6,,,,,,1.0242,17.6,203.0,38.0,18.0
63,MONROE COUNTY HOSPITAL (010120),2015,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,,,,,,0.9699,16.4,120.0,17.0,15.9,0.9326,19.4,93.0,13.0,18.1,,,,,,0.9873,14.7,164.0,23.0,14.5
64,LAKELAND COMMUNITY HOSPITAL (010125),2015,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,,,,,,0.9147,18.0,470.0,71.0,16.4,0.9714,21.3,119.0,23.0,20.7,,,,,,1.0181,14.7,354.0,54.0,15.0
65,TROY REGIONAL MEDICAL CENTER (010126),2015,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,,,,,,1.0361,19.0,144.0,31.0,19.7,1.0686,21.7,87.0,24.0,23.2,1.0132,4.2,,,4.2,1.0352,15.6,93.0,17.0,16.1
66,JACKSON MEDICAL CENTER (010128),2015,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,,,,,,0.9706,17.0,,,16.5,1.0335,18.6,,,19.3,,,,,,0.9344,13.2,,,12.4
67,NORTH BALDWIN INFIRMARY (010129),2015,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,,,,,,0.9969,19.3,79.0,15.0,19.3,1.0424,21.2,57.0,15.0,22.1,,,,,,0.9577,16.6,98.0,13.0,15.9
68,ST VINCENT'S ST CLAIR (010130),2015,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,,,,,,0.9985,17.5,98.0,17.0,17.5,0.953,22.1,108.0,20.0,21.1,,,,,,1.1518,15.5,228.0,49.0,17.8
69,CRESTWOOD MEDICAL CENTER (010131),2015,Acute Care,Proprietary,163.0,,,AL,1.1345,16.3,169.0,38.0,18.5,1.0113,18.1,461.0,85.0,18.3,0.9782,21.2,377.0,77.0,20.8,1.0608,4.6,841.0,42.0,4.9,0.9297,15.3,360.0,47.0,14.2
70,BROOKWOOD MEDICAL CENTER (010139),2015,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,1.0273,17.1,317.0,57.0,17.5,1.0174,19.9,330.0,68.0,20.2,1.0254,21.3,501.0,111.0,21.9,1.0341,4.7,683.0,34.0,4.9,1.018,16.4,579.0,98.0,16.7
71,SPRINGHILL MEMORIAL HOSPITAL (010144),2015,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,1.103,15.5,139.0,29.0,17.1,0.9958,19.1,244.0,46.0,19.0,1.0808,21.4,452.0,109.0,23.1,1.0586,5.5,224.0,14.0,5.8,0.9547,15.4,229.0,31.0,14.7
72,RMC JACKSONVILLE (010146),2015,Acute Care,Proprietary,65.0,,,AL,,,,,,1.0732,18.3,96.0,24.0,19.6,0.9735,20.4,,,19.9,,,,,,1.0366,15.7,110.0,20.0,16.3
73,EVERGREEN MEDICAL CENTER (010148),2015,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,,,,,,1.0641,17.2,353.0,69.0,18.3,1.1925,19.4,142.0,43.0,23.2,,,,,,1.0972,14.6,79.0,18.0,16.0
74,BAPTIST MEDICAL CENTER EAST (010149),2015,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,0.9719,21.0,,,20.4,1.0253,20.3,299.0,64.0,20.8,1.0596,21.0,353.0,82.0,22.3,1.0816,5.8,,,6.3,0.9135,17.0,273.0,37.0,15.5
75,L V STABLER MEMORIAL HOSPITAL (010150),2015,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,,,,,,0.9962,16.4,118.0,19.0,16.3,0.9211,19.8,102.0,14.0,18.2,0.9368,4.7,,,4.4,0.9453,14.7,,,13.9
76,SHOALS HOSPITAL (010157),2015,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,,,,,,1.0176,18.9,118.0,24.0,19.3,1.0549,20.4,88.0,22.0,21.5,0.8461,4.8,,,4.1,1.026,17.4,159.0,30.0,17.9
77,RUSSELLVILLE HOSPITAL (010158),2015,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,1.0724,20.4,,,21.9,1.1284,19.0,197.0,51.0,21.4,1.0377,22.4,120.0,30.0,23.2,1.1406,6.0,,,6.9,1.0806,17.1,234.0,48.0,18.5
78,COOSA VALLEY MEDICAL CENTER (010164),2015,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,0.9986,20.9,,,20.8,0.9994,17.9,224.0,40.0,17.9,1.0356,21.5,202.0,47.0,22.3,,,,,,0.9828,15.3,306.0,45.0,15.0
79,JACK HUGHSTON MEMORIAL HOSPITAL (010168),2015,Acute Care,Government - State,52.0,32.509045,-85.005696,AL,,,,,,1.0161,17.3,56.0,11.0,17.6,0.9641,19.3,,,18.6,0.9115,4.8,1427.0,61.0,4.4,1.0227,13.4,,,13.7
80,ATMORE COMMUNITY HOSPITAL (010169),2015,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,,,,,,0.94,19.7,116.0,17.0,18.5,1.0883,22.9,208.0,57.0,25.0,,,,,,0.982,18.2,107.0,18.0,17.9
81,PROVIDENCE ALASKA MEDICAL CENTER (020001),2015,Acute Care,Voluntary non-profit - Church,394.0,61.189798,-149.817622,AK,0.894,14.6,357.0,41.0,13.1,0.967,18.9,281.0,49.0,18.3,0.8914,21.1,433.0,75.0,18.8,0.9576,4.5,387.0,16.0,4.3,0.8809,16.3,317.0,38.0,14.3
82,MAT-SU REGIONAL MEDICAL CENTER (020006),2015,Acute Care,Voluntary non-profit - Private,90.0,61.561217,-149.258718,AK,1.0403,13.7,70.0,12.0,14.3,1.033,20.1,162.0,36.0,20.7,0.9361,21.0,167.0,29.0,19.6,1.1907,4.0,,,4.8,0.9848,15.7,232.0,35.0,15.5
83,BARTLETT REGIONAL HOSPITAL (020008),2015,Acute Care,Government - Local,58.0,58.328696,-134.466829,AK,,,,,,0.9638,17.5,,,16.9,0.932,19.3,,,18.0,1.1136,3.7,,,4.1,0.9746,13.4,,,13.0
84,FAIRBANKS MEMORIAL HOSPITAL (020012),2015,Acute Care,Voluntary non-profit - Other,213.0,64.831407,-147.736254,AK,0.9264,14.1,,,13.1,1.0303,18.3,121.0,25.0,18.9,0.9886,19.9,100.0,19.0,19.6,0.9005,4.7,,,4.2,0.8608,15.4,,,13.2
85,ALASKA REGIONAL HOSPITAL (020017),2015,Acute Care,Proprietary,169.0,61.20979,-149.827379,AK,0.9554,13.5,126.0,14.0,12.9,0.998,20.2,75.0,15.0,20.2,0.955,20.7,89.0,15.0,19.8,0.9682,4.5,518.0,22.0,4.4,0.9718,16.9,,,16.4
86,YUKON KUSKOKWIM DELTA REG HOSPITAL (020018),2015,Acute Care,Tribal,34.0,,,AK,,,,,,0.9999,17.2,70.0,12.0,17.2,0.9708,20.9,,,20.3,,,,,,0.9396,14.2,131.0,14.0,13.4
87,CENTRAL PENINSULA GENERAL HOSPITAL (020024),2015,Acute Care,Voluntary non-profit - Other,186.0,60.493865,-151.077658,AK,,,,,,0.9431,18.2,100.0,13.0,17.2,1.0704,20.5,78.0,21.0,21.9,1.2005,5.3,,,6.3,0.8657,14.3,,,12.3
