,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,READM-30-AMI (Excess Readmission Ratio),READM-30-AMI (Expected Readmission Rate),READM-30-AMI (Number of Discharges),READM-30-AMI (Number of Readmissions),READM-30-AMI (Predicted Readmission Rate),READM-30-HF (Excess Readmission Ratio),READM-30-HF (Expected Readmission Rate),READM-30-HF (Number of Discharges),READM-30-HF (Number of Readmissions),READM-30-HF (Predicted Readmission Rate),READM-30-PN (Excess Readmission Ratio),READM-30-PN (Expected Readmission Rate),READM-30-PN (Number of Discharges),READM-30-PN (Number of Readmissions),READM-30-PN (Predicted Readmission Rate)
40,MEDICAL CENTER BARBOUR (010069),2014,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,,,,,,1.0172,21.9,117.0,27.0,22.3,1.0501,14.7,119.0,21.0,15.4
41,CLAY COUNTY HOSPITAL (010073),2014,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,,,,,,1.0999,20.7,74.0,22.0,22.8,0.9306,15.1,113.0,12.0,14.0
42,NORTHEAST ALABAMA REGIONAL MED CENTER (010078),2014,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,1.0717,19.1,448.0,95.0,20.5,0.9991,24.5,712.0,174.0,24.4,1.0438,18.4,425.0,84.0,19.2
43,ATHENS-LIMESTONE HOSPITAL (010079),2014,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,,,,,,0.9613,22.9,201.0,42.0,22.0,0.9116,17.7,237.0,33.0,16.1
44,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2014,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,0.9661,18.5,37.0,,17.9,1.0023,22.5,341.0,77.0,22.5,0.8499,17.0,284.0,32.0,14.4
45,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS (010085),2014,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,0.9276,20.7,45.0,,19.2,0.8673,23.1,477.0,88.0,20.1,1.0028,17.6,362.0,64.0,17.6
46,NORTHWEST MEDICAL CENTER (010086),2014,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,,,,,,0.9494,22.5,93.0,17.0,21.3,1.0599,16.3,253.0,47.0,17.3
47,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER (010087),2014,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,,,,,,0.9621,23.8,27.0,,22.9,,,,,
48,WALKER BAPTIST MEDICAL CENTER (010089),2014,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,1.0022,20.6,48.0,,20.6,0.9002,23.0,245.0,45.0,20.7,0.9347,18.2,299.0,47.0,17.0
49,PROVIDENCE HOSPITAL (010090),2014,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,1.0451,15.9,210.0,37.0,16.7,0.8891,22.0,590.0,109.0,19.5,0.9658,16.8,499.0,79.0,16.2
50,GROVE HILL MEMORIAL HOSPITAL (010091),2014,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,,,0.0,,,1.0124,21.2,62.0,14.0,21.5,0.929,15.2,42.0,,14.2
51,D C H REGIONAL MEDICAL CENTER (010092),2014,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,1.1065,16.2,403.0,77.0,17.9,1.0378,22.5,1072.0,252.0,23.3,1.064,18.2,830.0,164.0,19.3
52,HALE COUNTY HOSPITAL (010095),2014,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,,,,,,0.9568,20.8,52.0,,19.9,0.9982,16.1,38.0,,16.0
53,ELMORE COMMUNITY HOSPITAL (010097),2014,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,,,,,,1.0609,20.4,50.0,14.0,21.6,1.049,15.7,69.0,14.0,16.5
54,D W MCMILLAN MEMORIAL HOSPITAL (010099),2014,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,,,,,,1.0899,18.9,104.0,26.0,20.6,1.0634,13.9,167.0,28.0,14.8
55,THOMAS HOSPITAL (010100),2014,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,1.0832,14.9,194.0,35.0,16.2,0.9228,21.2,365.0,67.0,19.5,0.9166,16.0,189.0,23.0,14.7
56,CITIZENS BAPTIST MEDICAL CENTER (010101),2014,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,1.0128,21.2,25.0,,21.5,0.9877,22.8,145.0,32.0,22.5,0.9413,17.6,111.0,15.0,16.6
57,J PAUL JONES HOSPITAL (010102),2014,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL,,,,,,,,,,,0.9523,14.0,42.0,,13.3
58,BAPTIST MEDICAL CENTER-PRINCETON (010103),2014,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,1.0625,18.3,355.0,72.0,19.5,0.955,22.6,479.0,101.0,21.6,1.029,19.2,345.0,70.0,19.8
59,TRINITY MEDICAL CENTER (010104),2014,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,1.0195,17.4,349.0,63.0,17.8,0.859,22.7,385.0,67.0,19.5,0.8843,17.3,300.0,39.0,15.3
60,PRATTVILLE BAPTIST HOSPITAL (010108),2014,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,,,,,,1.095,20.9,140.0,37.0,22.9,1.096,15.4,183.0,36.0,16.9
61,PICKENS COUNTY MEDICAL CENTER (010109),2014,Acute Care,Government - Hospital District or Authority,49.0,33.274807,-88.089673,AL,,,,,,1.0355,21.8,58.0,15.0,22.6,0.9528,16.6,156.0,22.0,15.8
62,BULLOCK COUNTY HOSPITAL (010110),2014,Acute Care,Proprietary,54.0,32.146182,-85.71638,AL,,,,,,1.0668,21.0,47.0,14.0,22.4,0.9726,14.3,25.0,,13.9
63,BRYAN W WHITFIELD MEM HOSP INC (010112),2014,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,,,,,,1.0913,20.5,144.0,37.0,22.4,0.9943,14.7,146.0,21.0,14.6
64,MOBILE INFIRMARY (010113),2014,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,1.0636,15.7,253.0,45.0,16.7,1.0597,21.8,958.0,224.0,23.0,1.0454,16.8,629.0,113.0,17.6
65,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2014,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,1.0331,21.3,88.0,21.0,22.0,0.9505,21.9,229.0,45.0,20.9,1.0195,17.0,219.0,39.0,17.3
66,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2014,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,1.14,19.0,123.0,33.0,21.6,1.0956,22.7,386.0,101.0,24.8,1.0511,17.6,233.0,46.0,18.5
67,MONROE COUNTY HOSPITAL (010120),2014,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,,,,,,1.0338,20.0,122.0,27.0,20.7,0.9743,15.2,178.0,25.0,14.8
68,LAKELAND COMMUNITY HOSPITAL (010125),2014,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,,,,,,0.9251,21.6,126.0,21.0,20.0,1.0078,15.7,345.0,55.0,15.8
69,TROY REGIONAL MEDICAL CENTER (010126),2014,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,,,,,,1.0608,22.2,126.0,33.0,23.6,1.182,16.1,124.0,33.0,19.0
70,JACKSON MEDICAL CENTER (010128),2014,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,,,,,,1.0333,20.5,39.0,,21.1,0.898,13.8,62.0,,12.4
71,NORTH BALDWIN INFIRMARY (010129),2014,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,,,,,,1.0074,22.4,47.0,11.0,22.5,0.9959,17.5,93.0,16.0,17.5
72,ST VINCENT'S ST CLAIR (010130),2014,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,,,,,,0.9457,22.3,95.0,17.0,21.1,1.0767,15.7,171.0,33.0,16.9
73,CRESTWOOD MEDICAL CENTER (010131),2014,Acute Care,Proprietary,163.0,,,AL,1.0252,17.1,170.0,31.0,17.6,0.8978,21.3,333.0,58.0,19.1,0.9776,15.1,340.0,49.0,14.8
74,BROOKWOOD MEDICAL CENTER (010139),2014,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,1.0023,16.3,275.0,45.0,16.3,1.0148,21.8,476.0,106.0,22.1,0.943,16.9,516.0,79.0,15.9
75,SPRINGHILL MEDICAL CENTER (010144),2014,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,1.0905,15.4,131.0,26.0,16.8,0.9211,21.8,440.0,84.0,20.1,0.9923,15.9,199.0,31.0,15.8
76,JACKSONVILLE MEDICAL CENTER (010146),2014,Acute Care,Proprietary,65.0,,,AL,,,,,,0.9743,20.5,47.0,,20.0,0.9944,15.1,122.0,18.0,15.0
77,EVERGREEN MEDICAL CENTER (010148),2014,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,,,,,,1.2033,19.5,166.0,49.0,23.5,1.0137,16.6,73.0,13.0,16.8
78,BAPTIST MEDICAL CENTER EAST (010149),2014,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,0.9698,20.8,47.0,,20.2,1.0286,21.0,344.0,76.0,21.6,0.8818,17.4,235.0,29.0,15.3
79,L V STABLER MEMORIAL HOSPITAL (010150),2014,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,,,,,,0.9277,21.0,113.0,18.0,19.5,0.9232,16.3,89.0,,15.0
80,SHOALS HOSPITAL (010157),2014,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,,,,,,1.0128,21.6,79.0,18.0,21.9,0.9639,17.2,163.0,25.0,16.6
81,RUSSELLVILLE HOSPITAL (010158),2014,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,1.0454,20.0,28.0,,20.9,1.1084,22.1,132.0,38.0,24.5,1.041,16.5,226.0,41.0,17.2
82,COOSA VALLEY MEDICAL CENTER (010164),2014,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,1.0421,23.7,28.0,,24.7,0.9693,21.8,202.0,41.0,21.1,1.0366,15.5,268.0,45.0,16.1
83,JACK HUGHSTON MEMORIAL HOSPITAL (010168),2014,Acute Care,Government - State,52.0,32.509045,-85.005696,AL,,,,,,0.9574,21.3,31.0,,20.4,1.033,13.5,45.0,,14.0
84,ATMORE COMMUNITY HOSPITAL (010169),2014,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,,,,,,1.1036,23.0,191.0,54.0,25.4,1.04,17.7,102.0,21.0,18.4
85,PROVIDENCE ALASKA MEDICAL CENTER (020001),2014,Acute Care,Voluntary non-profit - Church,394.0,61.189798,-149.817622,AK,0.9047,14.6,328.0,39.0,13.3,0.8636,21.1,443.0,73.0,18.2,0.8664,16.1,279.0,31.0,13.9
86,MAT-SU REGIONAL MEDICAL CENTER (020006),2014,Acute Care,Voluntary non-profit - Private,90.0,61.561217,-149.258718,AK,1.0036,14.2,62.0,,14.3,0.9863,21.2,147.0,30.0,20.9,0.9964,15.7,212.0,33.0,15.7
87,BARTLETT REGIONAL HOSPITAL (020008),2014,Acute Care,Government - Local,58.0,58.328696,-134.466829,AK,,,,,,0.9282,19.1,50.0,,17.8,0.9944,13.5,84.0,11.0,13.4
88,FAIRBANKS MEMORIAL HOSPITAL (020012),2014,Acute Care,Voluntary non-profit - Other,213.0,64.831407,-147.736254,AK,0.9282,15.3,66.0,,14.2,0.9412,20.7,104.0,17.0,19.4,0.9412,16.3,113.0,14.0,15.3
89,ALASKA REGIONAL HOSPITAL (020017),2014,Acute Care,Proprietary,169.0,61.20979,-149.827379,AK,0.926,13.9,96.0,,12.9,1.0112,20.3,80.0,17.0,20.5,0.9745,17.5,67.0,,17.1
90,YUKON KUSKOKWIM DELTA REG HOSPITAL (020018),2014,Acute Care,Tribal,34.0,,,AK,,,,,,1.0538,20.4,38.0,11.0,21.5,0.8906,14.5,156.0,14.0,12.9
91,CENTRAL PENINSULA GENERAL HOSPITAL (020024),2014,Acute Care,Voluntary non-profit - Other,186.0,60.493865,-151.077658,AK,,,,,,1.0378,20.3,76.0,18.0,21.1,0.8884,14.7,110.0,,13.0
92,ALASKA NATIVE MEDICAL CENTER (020026),2014,Acute Care,Government - Federal,163.0,61.18189,-149.800578,AK,1.0858,15.6,31.0,,16.9,1.0567,20.4,93.0,23.0,21.5,1.0914,16.1,172.0,35.0,17.5
93,MT EDGECUMBE HOSPITAL (020027),2014,Acute Care,Voluntary non-profit - Private,26.0,,,AK,,,,,,,,,,,0.9864,16.2,36.0,,16.0
94,MARYVALE HOSPITAL (030001),2014,Acute Care,Proprietary,231.0,,,AZ,,,,,,1.0577,20.6,32.0,,21.8,0.9786,16.3,39.0,,15.9
95,BANNER GOOD SAMARITAN MEDICAL CENTER (030002),2014,Acute Care,Voluntary non-profit - Other,706.0,33.465724,-112.058127,AZ,1.0143,17.3,230.0,41.0,17.5,0.8047,22.8,413.0,64.0,18.3,1.0006,17.6,193.0,34.0,17.6
96,TUCSON MEDICAL CENTER (030006),2014,Acute Care,Voluntary non-profit - Private,520.0,32.250749,-110.880169,AZ,1.0046,17.4,416.0,73.0,17.5,0.9624,22.1,512.0,107.0,21.3,1.0311,17.1,473.0,85.0,17.6
97,VERDE VALLEY MEDICAL CENTER (030007),2014,Acute Care,Voluntary non-profit - Private,102.0,34.736201,-112.031784,AZ,0.9286,14.6,120.0,13.0,13.6,0.9278,20.1,166.0,27.0,18.6,0.9611,16.2,213.0,31.0,15.6
98,CARONDELET ST  MARYS HOSPITAL (030010),2014,Acute Care,Voluntary non-profit - Private,398.0,32.228923,-111.000032,AZ,0.98,15.1,168.0,24.0,14.8,0.7816,20.8,221.0,23.0,16.2,0.9718,16.2,220.0,33.0,15.7
99,CARONDELET ST JOSEPH'S HOSPITAL (030011),2014,Acute Care,Voluntary non-profit - Other,474.0,32.225946,-110.857838,AZ,0.9359,15.4,180.0,23.0,14.4,0.8737,21.6,367.0,62.0,18.9,1.0391,16.6,416.0,74.0,17.3
100,YAVAPAI REGIONAL MEDICAL CENTER (030012),2014,Acute Care,Government - Local,179.0,34.55938,-112.482065,AZ,0.867,15.3,319.0,36.0,13.3,0.9838,21.5,259.0,54.0,21.2,0.9979,16.7,432.0,72.0,16.7
101,YUMA REGIONAL MEDICAL CENTER (030013),2014,Acute Care,Voluntary non-profit - Private,397.0,32.683899,-114.633238,AZ,0.87,17.2,543.0,75.0,15.0,0.9199,22.7,587.0,118.0,20.9,1.0988,17.7,972.0,194.0,19.4
102,JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL (030014),2014,Acute Care,Voluntary non-profit - Private,258.0,33.567754,-112.07063,AZ,0.9302,16.1,89.0,,14.9,0.9703,22.7,289.0,62.0,22.0,0.9833,15.7,175.0,26.0,15.4
103,CASA GRANDE REGIONAL MEDICAL CENTER (030016),2014,Acute Care,Voluntary non-profit - Other,156.0,32.879608,-111.709253,AZ,1.0225,15.0,52.0,,15.4,1.0524,21.5,164.0,40.0,22.7,1.103,16.9,298.0,61.0,18.6
104,MARICOPA MEDICAL CENTER (030022),2014,Acute Care,Government - Local,570.0,33.458525,-112.02643,AZ,,,,,,,,,,,0.9998,15.4,26.0,,15.4
105,FLAGSTAFF MEDICAL CENTER (030023),2014,Acute Care,Voluntary non-profit - Private,267.0,35.209534,-111.644835,AZ,0.9394,15.4,179.0,23.0,14.4,0.954,21.9,213.0,42.0,20.9,0.8538,16.8,263.0,29.0,14.3
106,ST JOSEPH'S HOSPITAL AND MEDICAL CENTER (030024),2014,Acute Care,Voluntary non-profit - Church,560.0,33.480294,-112.079208,AZ,0.9627,16.2,159.0,23.0,15.6,0.951,22.0,223.0,44.0,21.0,0.9793,17.3,166.0,27.0,17.0
107,PHOENIX BAPTIST HOSPITAL (030030),2014,Acute Care,Proprietary,186.0,33.524116,-112.101934,AZ,0.9977,16.3,148.0,24.0,16.3,1.0422,24.1,190.0,50.0,25.1,1.0304,16.8,94.0,18.0,17.4
108,PAYSON REGIONAL MEDICAL CENTER (030033),2014,Acute Care,Voluntary non-profit - Other,36.0,,,AZ,,,,,,0.948,22.8,97.0,18.0,21.6,0.9509,17.3,84.0,11.0,16.5
109,CHANDLER REGIONAL MEDICAL CENTER (030036),2014,Acute Care,Voluntary non-profit - Other,318.0,33.298691,-111.873508,AZ,1.0345,16.5,255.0,45.0,17.0,0.9228,23.1,364.0,73.0,21.3,1.0963,17.1,394.0,79.0,18.7
110,ST LUKE'S MEDICAL CENTER (030037),2014,Acute Care,Proprietary,209.0,33.451436,-112.042767,AZ,1.0054,16.4,47.0,,16.5,0.9706,22.4,72.0,14.0,21.7,0.9625,15.4,48.0,,14.8
111,SCOTTSDALE HEALTHCARE OSBORN MEDICAL CENTER (030038),2014,Acute Care,Proprietary,360.0,33.487639,-111.922725,AZ,0.861,16.7,180.0,19.0,14.4,1.0033,21.8,461.0,101.0,21.9,0.9817,16.7,385.0,62.0,16.4
112,SIERRA VISTA REGIONAL HEALTH CENTER (030043),2014,Acute Care,Voluntary non-profit - Other,92.0,31.554635,-110.230726,AZ,0.9535,18.6,97.0,15.0,17.8,1.0872,23.2,231.0,63.0,25.2,1.0365,17.7,251.0,48.0,18.3
113,KINGMAN REGIONAL MEDICAL CENTER (030055),2014,Acute Care,Government - Hospital District or Authority,221.0,35.219907,-114.035813,AZ,0.8629,16.9,163.0,17.0,14.6,0.9597,23.1,362.0,78.0,22.2,1.0187,17.9,460.0,85.0,18.2
114,BANNER BOSWELL MEDICAL CENTER (030061),2014,Acute Care,Voluntary non-profit - Other,508.0,33.604798,-112.282538,AZ,1.0448,17.3,513.0,95.0,18.1,0.858,22.4,825.0,150.0,19.2,0.8974,16.9,620.0,88.0,15.2
