,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,READM-30-AMI (Excess Readmission Ratio),READM-30-AMI (Expected Readmission Rate),READM-30-AMI (Number of Discharges),READM-30-AMI (Number of Readmissions),READM-30-AMI (Predicted Readmission Rate),READM-30-CABG (Excess Readmission Ratio),READM-30-CABG (Expected Readmission Rate),READM-30-CABG (Number of Discharges),READM-30-CABG (Number of Readmissions),READM-30-CABG (Predicted Readmission Rate),READM-30-COPD (Excess Readmission Ratio),READM-30-COPD (Expected Readmission Rate),READM-30-COPD (Number of Discharges),READM-30-COPD (Number of Readmissions),READM-30-COPD (Predicted Readmission Rate),READM-30-HF (Excess Readmission Ratio),READM-30-HF (Expected Readmission Rate),READM-30-HF (Number of Discharges),READM-30-HF (Number of Readmissions),READM-30-HF (Predicted Readmission Rate),READM-30-HIP-KNEE (Excess Readmission Ratio),READM-30-HIP-KNEE (Expected Readmission Rate),READM-30-HIP-KNEE (Number of Discharges),READM-30-HIP-KNEE (Number of Readmissions),READM-30-HIP-KNEE (Predicted Readmission Rate),READM-30-PN (Excess Readmission Ratio),READM-30-PN (Expected Readmission Rate),READM-30-PN (Number of Discharges),READM-30-PN (Number of Readmissions),READM-30-PN (Predicted Readmission Rate)
10,FLOYD CHEROKEE MEDICAL CENTER (010022),2020,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,,,,,,,,,,,0.9801,15.4601,,,15.1522,,,,,,,,,,,0.9364,14.7444,,,13.8062
11,BAPTIST MEDICAL CENTER SOUTH (010023),2020,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,1.0266,15.8193,366.0,61.0,16.2409,1.2458,11.451,102.0,20.0,14.2658,1.0586,21.8267,240.0,60.0,23.1062,0.9959,22.2466,624.0,138.0,22.1558,1.054,4.1126,623.0,28.0,4.3347,1.0626,17.6681,239.0,49.0,18.7739
12,JACKSON HOSPITAL & CLINIC INC (010024),2020,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,1.1262,15.4995,269.0,54.0,17.4548,1.1059,12.9835,184.0,29.0,14.3583,0.9955,19.3309,324.0,62.0,19.2432,1.1643,21.2661,523.0,139.0,24.7594,1.0628,3.8268,316.0,14.0,4.0672,1.111,16.6135,471.0,94.0,18.4574
13,EAST ALABAMA MEDICAL CENTER (010029),2020,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,1.0189,14.7083,253.0,39.0,14.9868,0.8012,12.3506,,,9.895,0.905,19.1144,477.0,75.0,17.298,0.9849,20.2448,797.0,158.0,19.9387,1.2467,3.9966,719.0,40.0,4.9824,1.0726,15.7493,547.0,97.0,16.8927
14,UNIVERSITY OF ALABAMA HOSPITAL (010033),2020,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,0.9581,16.9309,404.0,63.0,16.2208,1.16,14.2534,255.0,46.0,16.5337,1.0324,20.0571,302.0,65.0,20.7072,1.0003,22.2517,876.0,195.0,22.2582,1.0887,4.0274,237.0,12.0,4.3846,1.07,17.5779,635.0,124.0,18.809
15,COMMUNITY HOSPITAL INC (010034),2020,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,,,,,,,,,,,0.9712,17.3338,84.0,12.0,16.834,0.9735,20.3282,94.0,17.0,19.7905,,,,,,1.0058,14.6328,79.0,12.0,14.7183
16,CULLMAN REGIONAL MEDICAL CENTER (010035),2020,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,1.0663,14.4077,119.0,22.0,15.3628,,,,,,1.0195,17.3325,405.0,73.0,17.6705,1.0793,19.646,648.0,142.0,21.2042,1.0535,4.1499,252.0,12.0,4.372,1.0815,15.2524,551.0,96.0,16.4953
17,ANDALUSIA HEALTH (010036),2020,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,1.0023,19.4886,,,19.5336,,,,,,1.0037,18.4577,236.0,44.0,18.5259,0.9041,21.5984,200.0,33.0,19.5279,1.0137,4.5439,,,4.606,1.0111,15.2918,267.0,42.0,15.4623
18,STRINGFELLOW MEMORIAL HOSPITAL (010038),2020,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,0.9713,16.6637,,,16.1858,,,,,,0.9084,17.3556,273.0,36.0,15.766,1.1217,20.7481,150.0,42.0,23.2735,1.2041,3.847,,,4.6321,1.0088,15.8276,153.0,25.0,15.9666
19,HUNTSVILLE HOSPITAL (010039),2020,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,0.9653,13.7137,1118.0,146.0,13.2378,0.8993,12.4381,515.0,55.0,11.1856,1.1223,19.3001,1473.0,328.0,21.6605,0.9978,21.4444,1898.0,406.0,21.3979,1.1683,3.7869,1742.0,80.0,4.4244,1.129,16.4376,1578.0,301.0,18.5585
20,GADSDEN REGIONAL MEDICAL CENTER (010040),2020,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,1.0386,15.4661,229.0,39.0,16.0636,1.0017,14.2235,119.0,17.0,14.2483,1.0432,19.7143,446.0,95.0,20.566,1.1255,23.5154,455.0,128.0,26.4659,1.2454,4.3035,463.0,29.0,5.3595,1.1045,17.5322,621.0,127.0,19.3642
21,MARION REGIONAL MEDICAL CENTER (010044),2020,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,,,,,,,,,,,0.9808,16.6823,137.0,21.0,16.3615,0.9539,17.5351,,,16.7273,,,,,,0.9662,13.3703,187.0,22.0,12.918
22,FAYETTE MEDICAL CENTER (010045),2020,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,,,,,,,,,,,1.0451,20.259,149.0,35.0,21.1723,0.9349,21.8352,,,20.4134,,,,,,0.996,17.1668,101.0,17.0,17.0976
23,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2020,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,1.0932,15.2114,89.0,20.0,16.6294,1.192,15.6751,,,18.6849,1.1178,19.9105,316.0,79.0,22.2562,1.1554,23.63,398.0,118.0,27.3013,0.9639,4.5515,,,4.3873,1.0831,17.96,440.0,91.0,19.4527
24,MEDICAL CENTER ENTERPRISE (010049),2020,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,,,,,,,,,,,1.0217,15.9078,175.0,30.0,16.2522,1.1051,19.8043,137.0,36.0,21.8861,0.8069,3.9186,,,3.1621,1.0134,13.503,140.0,20.0,13.6846
25,GREENE COUNTY HOSPITAL (010051),2020,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,LAKE MARTIN COMMUNITY HOSPITAL (010052),2020,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,,,,,,,,,,,0.9895,21.9732,82.0,17.0,21.7432,,,,,,,,,,,1.023,16.1736,124.0,22.0,16.546
27,FLOWERS HOSPITAL (010055),2020,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,0.9083,13.3732,283.0,29.0,12.1467,0.8761,11.5358,,,10.1065,1.0392,18.9919,431.0,88.0,19.7355,1.0182,20.6188,514.0,109.0,20.9943,1.1266,3.8921,519.0,25.0,4.3848,1.0059,15.3801,547.0,85.0,15.4701
28,ST VINCENT'S BIRMINGHAM (010056),2020,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,0.9959,14.5195,216.0,31.0,14.4603,1.2258,12.7222,114.0,23.0,15.5954,0.9454,19.848,348.0,61.0,18.765,0.89,20.5057,438.0,73.0,18.2492,1.0729,3.6352,1684.0,67.0,3.9003,0.9472,15.8043,645.0,93.0,14.9691
29,BIBB MEDICAL CENTER (010058),2020,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,,,,,,,,,,,,,,,,0.9259,19.5322,,,18.0839,,,,,,1.0073,15.0895,89.0,14.0,15.1992
30,LAWRENCE MEDICAL CENTER (010059),2020,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,,,,,,,,,,,1.0864,19.5821,78.0,23.0,21.2747,0.9749,22.5597,,,21.9944,,,,,,0.9794,17.9309,82.0,13.0,17.5608
31,HIGHLANDS MEDICAL CENTER (010061),2020,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,,,,,,,,,,,1.0185,17.6351,293.0,54.0,17.962,0.9123,19.9265,129.0,18.0,18.1783,1.1299,4.4886,,,5.0717,1.0029,15.6246,203.0,32.0,15.6702
32,WIREGRASS MEDICAL CENTER (010062),2020,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,,,,,,,,,,,1.0536,17.5317,98.0,22.0,18.4708,0.908,19.9675,103.0,13.0,18.1298,,,,,,0.9441,14.5777,150.0,17.0,13.763
33,RUSSELL MEDICAL CENTER (010065),2020,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,0.9977,15.5152,,,15.4796,,,,,,0.9873,20.4785,178.0,35.0,20.2184,1.0931,21.516,253.0,65.0,23.5196,1.3109,4.3144,,,5.6559,0.9951,15.9796,285.0,45.0,15.9015
34,MEDICAL CENTER BARBOUR (010069),2020,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,,,,,,,,,,,1.0661,17.6603,86.0,21.0,18.8282,0.9481,21.4478,,,20.334,,,,,,0.9965,14.5336,112.0,16.0,14.4834
35,CLAY COUNTY HOSPITAL (010073),2020,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,,,,,,,,,,,0.9895,15.9984,,,15.8301,0.9474,19.4528,,,18.4296,,,,,,0.981,12.8297,,,12.5865
36,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER (010078),2020,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,1.0178,16.2033,400.0,67.0,16.491,1.1009,12.6356,76.0,13.0,13.9101,1.0591,18.4517,520.0,106.0,19.5431,1.0726,21.0006,558.0,130.0,22.5251,1.3082,3.9894,343.0,23.0,5.2189,0.9695,16.1886,459.0,70.0,15.6945
37,ATHENS LIMESTONE HOSPITAL (010079),2020,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,,,,,,,,,,,0.9694,18.3336,272.0,46.0,17.7725,1.1395,20.6362,221.0,60.0,23.5141,1.0497,4.2029,228.0,11.0,4.4116,0.9194,16.0313,288.0,37.0,14.7396
38,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2020,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,0.9327,13.1229,122.0,11.0,12.2392,,,,,,0.9505,19.8736,264.0,46.0,18.8904,1.1483,21.4285,343.0,93.0,24.606,1.0585,4.26,220.0,11.0,4.509,0.9403,15.6727,380.0,52.0,14.7377
39,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS (010085),2020,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,1.0115,17.0437,,,17.2396,,,,,,1.0019,18.4842,604.0,112.0,18.5193,0.9856,21.7945,614.0,131.0,21.4805,1.487,4.2721,415.0,34.0,6.3525,0.9745,16.4228,598.0,94.0,16.0043
40,NORTHWEST MEDICAL CENTER (010086),2020,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,,,,,,,,,,,0.9438,16.396,150.0,19.0,15.4746,0.9551,19.1426,75.0,11.0,18.2834,,,,,,0.949,14.6504,168.0,20.0,13.9029
41,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER (010087),2020,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,,,,,,,,,,,1.0417,20.0371,,,20.8723,1.0177,19.9241,54.0,12.0,20.2774,,,,,,1.0608,17.5315,,,18.5978
42,WALKER BAPTIST MEDICAL CENTER (010089),2020,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,,,,,,,,,,,1.0497,19.0134,317.0,67.0,19.959,1.0142,21.1249,192.0,42.0,21.4258,0.8258,4.8353,,,3.9929,0.962,16.2276,298.0,44.0,15.6116
43,PROVIDENCE HOSPITAL (010090),2020,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,1.1211,13.256,252.0,44.0,14.8615,1.1202,12.5623,136.0,22.0,14.0717,0.9893,18.726,447.0,82.0,18.5262,0.8945,20.2119,573.0,97.0,18.0802,0.9279,3.8038,408.0,13.0,3.5294,0.9926,14.9381,536.0,79.0,14.828
44,GROVE HILL MEMORIAL HOSPITAL (010091),2020,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,,,,,,,,,,,1.0211,13.9151,,,14.2092,1.0301,16.5098,,,17.0062,,,,,,0.9808,12.9451,,,12.6963
45,D C H REGIONAL MEDICAL CENTER (010092),2020,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,1.0991,15.3954,493.0,89.0,16.921,0.9696,12.2462,158.0,18.0,11.8744,0.9601,20.1557,1122.0,214.0,19.3515,1.1056,22.471,1162.0,295.0,24.8436,1.1571,4.1272,738.0,38.0,4.7755,0.9681,16.9503,1305.0,212.0,16.4096
46,HALE COUNTY HOSPITAL (010095),2020,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,,,,,,,,,,,0.9551,18.8676,,,18.0198,,,,,,,,,,,0.9905,15.343,,,15.1971
47,ELMORE COMMUNITY HOSPITAL (010097),2020,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,,,0.0,,,,,,,,0.9688,14.5946,,,14.1386,0.9883,18.2348,,,18.0218,,,,,,0.9486,14.1459,,,13.4185
48,D W MCMILLAN MEMORIAL HOSPITAL (010099),2020,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,,,,,,,,,,,0.9875,15.1959,,,15.0055,0.9911,18.4208,96.0,17.0,18.256,,,,,,0.9811,13.2558,163.0,20.0,13.0047
49,THOMAS HOSPITAL (010100),2020,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,1.0614,13.5406,213.0,34.0,14.3724,1.293,12.3687,228.0,43.0,15.9921,0.9614,19.0099,164.0,27.0,18.277,0.9893,21.2886,326.0,68.0,21.0598,1.1224,4.0421,569.0,28.0,4.5369,0.9912,16.5352,394.0,64.0,16.3904
50,CITIZENS BAPTIST MEDICAL CENTER (010101),2020,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,,,,,,,,,,,0.9836,17.3537,95.0,15.0,17.0699,0.9606,20.6254,98.0,17.0,19.8134,,,,,,1.0542,14.4872,89.0,17.0,15.2731
51,PRINCETON BAPTIST MEDICAL CENTER (010103),2020,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,1.0001,14.0993,234.0,33.0,14.1005,1.0738,12.3555,160.0,23.0,13.2675,0.9706,19.603,259.0,47.0,19.0265,1.0548,22.118,393.0,95.0,23.3289,1.0032,4.2897,,,4.3032,0.968,17.811,291.0,48.0,17.2418
52,GRANDVIEW MEDICAL CENTER (010104),2020,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,0.9975,15.1661,272.0,41.0,15.1276,1.1156,12.5622,116.0,19.0,14.015,1.1288,20.424,240.0,65.0,23.0537,0.9439,21.4372,551.0,108.0,20.2355,1.4217,3.9062,852.0,54.0,5.5533,1.0427,16.9892,402.0,74.0,17.7141
53,PRATTVILLE BAPTIST HOSPITAL (010108),2020,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,0.9773,19.9398,,,19.4867,,,,,,0.9915,19.0423,263.0,49.0,18.8802,0.9879,22.0282,224.0,48.0,21.7622,,,,,,0.9652,15.578,268.0,38.0,15.0364
54,PICKENS COUNTY MEDICAL CENTER (010109),2020,Acute Care,Government - Hospital District or Authority,49.0,33.274807,-88.089673,AL,,,,,,,,,,,1.0121,15.705,,,15.8944,0.9564,18.1622,,,17.3698,,,,,,0.9431,14.7162,,,13.8791
55,BULLOCK COUNTY HOSPITAL (010110),2020,Acute Care,Proprietary,54.0,32.146182,-85.71638,AL,,,,,,,,,,,0.9425,16.8624,,,15.8922,,,,,,,,,,,,,,,
56,BRYAN W. WHITFIELD MEMORIAL HOSPITAL (010112),2020,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,,,,,,,,,,,0.9647,17.2534,,,16.644,1.1167,19.1081,58.0,19.0,21.3381,,,,,,0.9273,14.2626,,,13.2254
57,MOBILE INFIRMARY MEDICAL CENTER (010113),2020,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,0.9498,14.1257,223.0,27.0,13.4167,0.9948,11.6513,96.0,11.0,11.5908,1.0715,19.8087,493.0,110.0,21.2248,1.1118,20.4465,759.0,179.0,22.7323,0.908,3.912,614.0,20.0,3.5521,0.9893,16.4264,712.0,115.0,16.2512
58,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2020,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,1.0407,16.0042,,,16.6555,,,,,,0.8919,18.4999,185.0,22.0,16.5004,1.0209,22.3718,152.0,36.0,22.8395,1.0068,4.5365,,,4.5671,0.8978,16.395,306.0,38.0,14.7191
59,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2020,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,1.0031,17.2638,74.0,13.0,17.3165,,,,,,0.9389,17.3578,133.0,17.0,16.2965,1.1198,20.5133,257.0,66.0,22.9703,,,,,,1.0009,16.1547,247.0,40.0,16.1696
60,MONROE COUNTY HOSPITAL (010120),2020,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,,,,,,,,,,,1.0275,17.8002,49.0,11.0,18.2905,1.002,17.8125,89.0,16.0,17.8478,,,,,,0.9919,14.3553,116.0,16.0,14.2395
61,LAKELAND COMMUNITY HOSPITAL (010125),2020,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,,,,,,,,,,,0.8961,16.1868,296.0,35.0,14.5053,0.989,20.4425,,,20.217,,,,,,0.8667,13.8725,590.0,62.0,12.023
62,TROY REGIONAL MEDICAL CENTER (010126),2020,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,,,,,,,,,,,1.0564,15.9838,83.0,18.0,16.8861,1.0367,18.9244,86.0,19.0,19.6185,1.0378,3.8164,,,3.9605,0.965,15.3625,110.0,14.0,14.8244
63,JACKSON MEDICAL CENTER (010128),2020,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,,,,,,,,,,,0.9747,14.5726,,,14.2035,1.0783,17.0497,36.0,11.0,18.3854,,,,,,1.0453,12.117,65.0,11.0,12.6661
64,NORTH BALDWIN INFIRMARY (010129),2020,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,,,0.0,,,,,,,,0.9675,17.0868,,,16.5315,1.0831,20.5349,59.0,18.0,22.2419,1.008,6.3007,,,6.351,1.0421,15.7028,118.0,22.0,16.3643
65,ST VINCENT'S ST CLAIR (010130),2020,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,,,,,,,,,,,0.9698,19.1713,147.0,25.0,18.5927,1.0091,20.7916,107.0,23.0,20.9817,,,,,,0.9128,15.8902,282.0,35.0,14.505
66,CRESTWOOD MEDICAL CENTER (010131),2020,Acute Care,Proprietary,163.0,,,AL,1.0572,15.3131,190.0,34.0,16.1891,,,,,,1.0983,17.7301,354.0,76.0,19.4729,1.0142,20.0462,350.0,72.0,20.33,1.3569,3.8368,907.0,53.0,5.2063,1.0208,15.4354,569.0,91.0,15.7566
67,BROOKWOOD BAPTIST MEDICAL CENTER (010139),2020,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,1.0215,14.3172,272.0,41.0,14.6249,1.2075,11.841,149.0,26.0,14.2982,1.0345,19.3314,287.0,60.0,19.9982,0.9819,20.2878,382.0,75.0,19.9208,1.0427,3.722,727.0,29.0,3.8811,0.9563,15.3164,443.0,62.0,14.6473
68,SPRINGHILL MEMORIAL HOSPITAL (010144),2020,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,0.9945,13.2475,139.0,18.0,13.1742,0.9851,10.8273,,,10.6655,1.1261,18.035,290.0,68.0,20.3095,1.0666,20.2525,468.0,105.0,21.6019,0.9673,4.2195,285.0,11.0,4.0813,1.1275,15.0434,337.0,65.0,16.9609
69,EVERGREEN MEDICAL CENTER (010148),2020,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,,,,,,,,,,,0.9652,15.712,208.0,29.0,15.1645,1.0209,17.9301,130.0,25.0,18.3045,,,,,,1.151,14.52,173.0,38.0,16.7127
70,BAPTIST MEDICAL CENTER EAST (010149),2020,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,1.0025,18.8183,,,18.8652,,,,,,1.0159,20.2816,227.0,48.0,20.6043,0.9251,21.5869,284.0,52.0,19.9706,,,,,,0.9821,16.179,297.0,46.0,15.8892
71,REGIONAL MEDICAL CENTER OF CENTRAL ALABAMA (010150),2020,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,,,,,,,,,,,1.0012,16.7514,71.0,12.0,16.7723,1.0247,19.6935,82.0,18.0,20.1791,,,,,,1.0165,14.4923,,,14.7317
72,SHOALS HOSPITAL (010157),2020,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,,,,,,,,,,,1.0032,16.0203,123.0,20.0,16.0717,0.9919,20.287,72.0,14.0,20.1226,,,,,,1.0231,14.973,147.0,24.0,15.3195
73,RUSSELLVILLE HOSPITAL (010158),2020,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,,,,,,,,,,,0.942,17.2095,169.0,23.0,16.2106,1.0051,20.0332,68.0,14.0,20.1358,0.8912,5.5161,,,4.9157,0.955,14.7843,198.0,25.0,14.1188
74,COOSA VALLEY MEDICAL CENTER (010164),2020,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,1.0005,14.7063,,,14.7133,,,,,,0.9564,16.2943,117.0,15.0,15.5845,1.0073,18.9107,129.0,25.0,19.0483,0.9224,3.8833,,,3.5821,1.0071,14.0474,223.0,32.0,14.147
75,JACK HUGHSTON MEMORIAL HOSPITAL (010168),2020,Acute Care,Government - State,52.0,32.509045,-85.005696,AL,,,,,,,,,,,,,,,,0.9813,19.0988,,,18.7411,0.9276,3.7526,1247.0,42.0,3.481,0.9649,13.8453,,,13.3594
76,ATMORE COMMUNITY HOSPITAL (010169),2020,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,,,,,,,,,,,1.0129,18.4778,91.0,18.0,18.7167,0.9729,20.3887,94.0,17.0,19.8361,,,,,,0.9831,16.2329,101.0,15.0,15.9588
77,ST VINCENT'S CHILTON (010173),2020,Acute Care,Voluntary non-profit - Church,26.0,32.876585,-86.623511,AL,,,,,,,,,,,0.9791,17.2498,,,16.8888,,,,,,,,,,,0.9809,14.8725,,,14.5892
