,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,READM-30-AMI (Excess Readmission Ratio),READM-30-AMI (Expected Readmission Rate),READM-30-AMI (Number of Discharges),READM-30-AMI (Number of Readmissions),READM-30-AMI (Predicted Readmission Rate),READM-30-CABG (Excess Readmission Ratio),READM-30-CABG (Expected Readmission Rate),READM-30-CABG (Number of Discharges),READM-30-CABG (Number of Readmissions),READM-30-CABG (Predicted Readmission Rate),READM-30-COPD (Excess Readmission Ratio),READM-30-COPD (Expected Readmission Rate),READM-30-COPD (Number of Discharges),READM-30-COPD (Number of Readmissions),READM-30-COPD (Predicted Readmission Rate),READM-30-HF (Excess Readmission Ratio),READM-30-HF (Expected Readmission Rate),READM-30-HF (Number of Discharges),READM-30-HF (Number of Readmissions),READM-30-HF (Predicted Readmission Rate),READM-30-HIP-KNEE (Excess Readmission Ratio),READM-30-HIP-KNEE (Expected Readmission Rate),READM-30-HIP-KNEE (Number of Discharges),READM-30-HIP-KNEE (Number of Readmissions),READM-30-HIP-KNEE (Predicted Readmission Rate),READM-30-PN (Excess Readmission Ratio),READM-30-PN (Expected Readmission Rate),READM-30-PN (Number of Discharges),READM-30-PN (Number of Readmissions),READM-30-PN (Predicted Readmission Rate)
36,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2023,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,1.0027,14.2485,90.0,13.0,14.2869,,,,,,0.9616,19.7871,158.0,27.0,19.0271,0.9705,21.8773,259.0,53.0,21.2322,1.0232,4.1788,,,4.2757,1.0288,16.5233,270.0,48.0,16.9996
37,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS (010085),2023,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,1.0463,16.0797,,,16.8249,,,,,,1.0005,17.5906,210.0,37.0,17.5999,0.9828,20.697,389.0,78.0,20.3419,1.2003,5.1537,,,6.1859,1.0398,16.3382,448.0,79.0,16.9891
38,NORTHWEST MEDICAL CENTER (010086),2023,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,,,,,,,,,,,0.9491,17.0609,,,16.1921,0.955,18.0328,,,17.2221,,,,,,0.9789,14.5158,,,14.2102
39,USA HEALTH UNIVERSITY HOSPITAL (010087),2023,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.9468,18.6415,,,17.6496
40,WALKER BAPTIST MEDICAL CENTER (010089),2023,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,,,,,,,,,,,1.0675,18.0753,119.0,28.0,19.295,1.0589,21.8373,139.0,36.0,23.1236,0.9553,5.0626,,,4.8364,0.9983,15.5764,168.0,26.0,15.55
41,PROVIDENCE HOSPITAL (010090),2023,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,0.9812,13.152,178.0,22.0,12.9044,1.0515,12.1443,85.0,12.0,12.7701,1.0017,17.2956,132.0,23.0,17.3253,0.9738,20.573,373.0,73.0,20.0342,0.8641,3.7865,,,3.2719,0.9657,16.008,340.0,50.0,15.4583
42,GROVE HILL MEMORIAL HOSPITAL (010091),2023,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,,,,,,,,,,,,,,,,,,,,,,,,,,0.971,13.1528,,,12.7711
43,DCH REGIONAL MEDICAL CENTER (010092),2023,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,0.9098,14.0832,241.0,26.0,12.8124,1.0681,10.5586,,,11.2778,0.9984,20.6973,470.0,97.0,20.6649,1.0019,21.5674,763.0,165.0,21.6086,1.0679,4.1524,313.0,15.0,4.4343,1.1349,17.4066,716.0,151.0,19.7541
44,HALE COUNTY HOSPITAL (010095),2023,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,ELMORE COMMUNITY HOSPITAL (010097),2023,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,D W MCMILLAN MEMORIAL HOSPITAL (010099),2023,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,,,,,,,,,,,0.9709,13.5645,,,13.1702,0.9795,18.4528,,,18.0753,,,,,,0.9956,13.1655,,,13.108
47,THOMAS HOSPITAL (010100),2023,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,1.0968,13.3211,159.0,28.0,14.6112,1.0968,12.094,150.0,22.0,13.2648,0.9598,18.9429,78.0,11.0,18.1823,1.0372,20.4754,276.0,61.0,21.2362,0.8658,4.1465,,,3.5901,0.9835,15.527,283.0,42.0,15.2704
48,CITIZENS BAPTIST MEDICAL CENTER (010101),2023,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,,,,,,,,,,,0.9711,18.4282,,,17.895,1.099,20.2453,62.0,20.0,22.2497,,,0.0,,,1.011,16.0385,69.0,12.0,16.2154
49,PRINCETON BAPTIST MEDICAL CENTER (010103),2023,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,0.9499,14.9132,139.0,17.0,14.1665,1.0005,11.9797,,,11.9855,1.038,19.7349,93.0,22.0,20.4852,1.0367,21.4589,232.0,54.0,22.2458,0.9504,4.7441,,,4.5087,1.0219,19.5171,152.0,32.0,19.9453
50,GRANDVIEW MEDICAL CENTER (010104),2023,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,1.0199,15.0312,215.0,34.0,15.3303,1.1136,12.1185,93.0,15.0,13.4951,1.0189,20.9438,171.0,38.0,21.3392,1.0175,21.9673,478.0,108.0,22.3518,1.0913,4.3469,432.0,22.0,4.7436,1.0078,17.8752,352.0,64.0,18.0148
51,PRATTVILLE BAPTIST HOSPITAL (010108),2023,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,,,,,,,,,,,0.9075,21.4649,127.0,17.0,19.4786,0.9736,21.2781,134.0,26.0,20.7165,,,,,,0.9818,17.1085,151.0,24.0,16.7963
52,WHITFIELD REGIONAL HOSPITAL (010112),2023,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,,,,,,,,,,,1.0164,16.8043,,,17.0791,0.9752,20.19,,,19.6901,,,,,,0.9977,14.648,,,14.6148
53,MOBILE INFIRMARY MEDICAL CENTER (010113),2023,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,1.1407,15.1429,185.0,39.0,17.2728,1.2574,11.8193,72.0,16.0,14.8615,0.955,19.1421,222.0,37.0,18.2802,1.0027,21.2706,468.0,100.0,21.329,0.9365,3.7658,,,3.5268,1.0697,17.2615,449.0,88.0,18.4641
54,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2023,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,,,,,,,,,,,1.0349,18.5925,90.0,20.0,19.2411,0.9804,22.7907,100.0,21.0,22.3435,,,,,,0.9767,16.2808,143.0,21.0,15.9023
55,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2023,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,,,,,,,,,,,0.9974,18.9895,75.0,14.0,18.94,0.9904,21.2653,117.0,24.0,21.0615,,,,,,1.0011,18.556,118.0,22.0,18.5756
56,MONROE COUNTY HOSPITAL (010120),2023,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,,,,,,,,,,,,,,,,0.9584,17.3619,,,16.6391,,,,,,0.9813,12.6424,,,12.406
57,LAKELAND COMMUNITY HOSPITAL (010125),2023,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,,,,,,,,,,,0.8998,16.2316,143.0,13.0,14.6057,0.9998,16.6969,,,16.6942,,,,,,0.885,13.36,385.0,37.0,11.8237
58,TROY REGIONAL MEDICAL CENTER (010126),2023,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,,,,,,,,,,,1.0153,13.5382,,,13.7459,1.0161,17.881,,,18.1682,,,,,,1.0529,13.9206,50.0,11.0,14.6572
59,JACKSON MEDICAL CENTER (010128),2023,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,,,,,,,,,,,,,,,,1.028,16.1087,,,16.5604,,,,,,0.9894,12.2673,,,12.1374
60,NORTH BALDWIN INFIRMARY (010129),2023,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,,,,,,,,,,,,,,,,0.9637,21.4804,,,20.7003,,,,,,1.0531,17.0317,51.0,13.0,17.9362
61,ST VINCENT'S ST CLAIR (010130),2023,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,,,,,,,,,,,1.0361,16.6442,54.0,12.0,17.2446,0.9934,17.5553,,,17.4396,,,0.0,,,0.9945,14.3438,143.0,20.0,14.2643
62,CRESTWOOD MEDICAL CENTER (010131),2023,Acute Care,Proprietary,163.0,,,AL,0.9944,13.3718,130.0,17.0,13.2975,,,,,,0.9683,17.869,176.0,28.0,17.3018,0.9187,19.5215,242.0,38.0,17.934,0.932,3.8177,427.0,14.0,3.5579,1.004,15.5798,337.0,53.0,15.6415
63,BROOKWOOD BAPTIST MEDICAL CENTER (010139),2023,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,1.0613,12.8035,110.0,18.0,13.5886,1.1473,12.4265,62.0,12.0,14.2571,0.9899,20.6511,92.0,18.0,20.4424,1.0236,20.6308,168.0,37.0,21.117,1.2187,3.7298,,,4.5456,1.0844,16.0311,178.0,37.0,17.3849
64,SPRINGHILL MEDICAL CENTER (010144),2023,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,1.0926,13.2325,72.0,15.0,14.4572,1.1353,10.8027,,,12.2645,1.0569,16.1699,122.0,25.0,17.0898,1.022,20.1411,304.0,64.0,20.5851,1.095,3.7107,,,4.0632,1.0611,15.013,224.0,40.0,15.9298
65,EVERGREEN MEDICAL CENTER (010148),2023,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,,,0.0,,,,,,,,0.9965,13.5934,120.0,16.0,13.5453,1.0842,16.2839,62.0,16.0,17.6543,,,,,,1.0671,15.5205,110.0,23.0,16.5623
66,BAPTIST MEDICAL CENTER EAST (010149),2023,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,,,,,,,,,,,0.9519,19.7265,95.0,14.0,18.7781,0.9581,19.982,192.0,34.0,19.1456,,,,,,0.9426,16.3256,184.0,24.0,15.3885
67,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL (010150),2023,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,,,,,,,,,,,0.9956,16.7296,,,16.656,1.0395,17.2876,,,17.97,,,,,,1.0432,12.9173,,,13.4757
68,SHOALS HOSPITAL (010157),2023,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,,,,,,,,,,,,,,,,,,,,,,,,,,1.0037,12.8619,,,12.909
69,RUSSELLVILLE HOSPITAL (010158),2023,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,,,,,,,,,,,1.0881,17.3595,82.0,22.0,18.8892,0.9909,21.3224,,,21.1286,0.9834,4.8587,,,4.7779,1.0755,14.7884,99.0,21.0,15.9054
70,COOSA VALLEY MEDICAL CENTER (010164),2023,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,,,,,,,,,,,1.007,15.1669,,,15.2727,1.0224,18.1599,84.0,17.0,18.5662,1.1087,4.0201,,,4.4573,0.9467,14.8599,106.0,11.0,14.0684
71,JACK HUGHSTON MEMORIAL HOSPITAL (010168),2023,Acute Care,Government - State,52.0,32.509045,-85.005696,AL,,,,,,,,,,,0.9798,14.1938,,,13.9073,,,,,,0.8628,3.7182,919.0,27.0,3.2081,,,,,
72,ATMORE COMMUNITY HOSPITAL (010169),2023,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,,,,,,,,,,,0.9812,17.9188,,,17.5818,1.0339,20.4295,56.0,14.0,21.1223,,,,,,1.0459,15.9646,46.0,11.0,16.6982
73,ST VINCENT'S CHILTON (010173),2023,Acute Care,Voluntary non-profit - Church,26.0,32.876585,-86.623511,AL,,,,,,,,,,,,,,,,,,,,,,,,,,1.0128,13.4929,,,13.6651
74,PROVIDENCE ALASKA MEDICAL CENTER (020001),2023,Acute Care,Voluntary non-profit - Church,394.0,61.189798,-149.817622,AK,1.003,13.4169,415.0,56.0,13.4569,0.9301,11.4293,,,10.6299,0.9686,19.2805,174.0,30.0,18.6758,0.9271,20.6266,423.0,76.0,19.1239,1.2343,3.5146,,,4.3382,1.0053,16.2814,187.0,31.0,16.3683
75,MAT-SU REGIONAL MEDICAL CENTER (020006),2023,Acute Care,Voluntary non-profit - Private,90.0,61.561217,-149.258718,AK,1.0023,13.3904,96.0,13.0,13.4206,,,,,,0.9695,20.1884,79.0,13.0,19.5729,1.0346,21.5191,147.0,35.0,22.2644,1.2233,4.0415,,,4.944,0.915,16.1089,254.0,31.0,14.7398
76,BARTLETT REGIONAL HOSPITAL (020008),2023,Acute Care,Government - Local,58.0,58.328696,-134.466829,AK,,,,,,,,,,,0.9866,17.0065,,,16.7779,0.9714,18.3565,,,17.8307,1.0827,3.2011,,,3.4659,1.0293,13.7768,,,14.18
77,FAIRBANKS MEMORIAL HOSPITAL (020012),2023,Acute Care,Voluntary non-profit - Other,213.0,64.831407,-147.736254,AK,0.9843,10.4352,,,10.2716,,,,,,0.9613,16.5043,,,15.8662,0.8866,21.4567,104.0,12.0,19.0239,0.8916,2.8057,,,2.5015,0.993,14.9925,84.0,12.0,14.8874
78,ALASKA REGIONAL HOSPITAL (020017),2023,Acute Care,Proprietary,169.0,61.20979,-149.827379,AK,0.9083,13.724,128.0,11.0,12.4653,0.8395,11.8022,,,9.9077,1.0752,17.4418,61.0,17.0,18.7543,0.9941,21.5791,165.0,35.0,21.4511,1.0103,3.5305,640.0,23.0,3.5669,0.9251,15.9665,140.0,15.0,14.7702
79,YUKON KUSKOKWIM DELTA REG HOSPITAL (020018),2023,Acute Care,Tribal,34.0,,,AK,,,,,,,,,,,,,,,,0.9857,18.1541,,,17.8946,,,,,,0.9294,14.1745,,,13.1743
80,CENTRAL PENINSULA GENERAL HOSPITAL (020024),2023,Acute Care,Voluntary non-profit - Other,186.0,60.493865,-151.077658,AK,,,,,,,,,,,0.9802,22.4339,94.0,19.0,21.989,0.9855,20.2642,140.0,27.0,19.9699,1.3082,3.4579,165.0,12.0,4.5235,1.0561,14.4209,99.0,19.0,15.23
81,ALASKA NATIVE MEDICAL CENTER (020026),2023,Acute Care,Government - Federal,163.0,61.18189,-149.800578,AK,0.9246,11.2954,,,10.4434,,,,,,0.9579,20.9033,102.0,17.0,20.0228,0.9776,20.916,110.0,21.0,20.4473,1.0113,3.2784,,,3.3153,0.9544,17.8605,126.0,18.0,17.0465
