,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,READM-30-AMI (Excess Readmission Ratio),READM-30-AMI (Expected Readmission Rate),READM-30-AMI (Number of Discharges),READM-30-AMI (Number of Readmissions),READM-30-AMI (Predicted Readmission Rate),READM-30-CABG (Excess Readmission Ratio),READM-30-CABG (Expected Readmission Rate),READM-30-CABG (Number of Discharges),READM-30-CABG (Number of Readmissions),READM-30-CABG (Predicted Readmission Rate),READM-30-COPD (Excess Readmission Ratio),READM-30-COPD (Expected Readmission Rate),READM-30-COPD (Number of Discharges),READM-30-COPD (Number of Readmissions),READM-30-COPD (Predicted Readmission Rate),READM-30-HF (Excess Readmission Ratio),READM-30-HF (Expected Readmission Rate),READM-30-HF (Number of Discharges),READM-30-HF (Number of Readmissions),READM-30-HF (Predicted Readmission Rate),READM-30-HIP-KNEE (Excess Readmission Ratio),READM-30-HIP-KNEE (Expected Readmission Rate),READM-30-HIP-KNEE (Number of Discharges),READM-30-HIP-KNEE (Number of Readmissions),READM-30-HIP-KNEE (Predicted Readmission Rate),READM-30-PN (Excess Readmission Ratio),READM-30-PN (Expected Readmission Rate),READM-30-PN (Number of Discharges),READM-30-PN (Number of Readmissions),READM-30-PN (Predicted Readmission Rate)
15,UNIVERSITY OF ALABAMA HOSPITAL (010033),2017,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,1.081,16.8615,441.0,85.0,18.2266,0.9778,14.47,253.0,35.0,14.1486,0.9991,20.2355,302.0,61.0,20.218,1.0857,22.5942,680.0,172.0,24.5301,1.2627,4.9987,338.0,26.0,6.3121,1.0855,17.3596,736.0,143.0,18.8439
16,COMMUNITY HOSPITAL INC (010034),2017,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,,,,,,,,,,,1.0069,19.6075,99.0,20.0,19.7432,0.9876,21.8062,115.0,24.0,21.5357,,,,,,0.9249,15.4739,160.0,19.0,14.3115
17,CULLMAN REGIONAL MEDICAL CENTER (010035),2017,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,0.9602,15.2319,98.0,12.0,14.6251,,,,,,0.9946,18.649,320.0,59.0,18.5484,1.0371,20.943,556.0,123.0,21.7209,1.011,4.599,361.0,17.0,4.6497,0.969,16.1666,706.0,109.0,15.6649
18,ANDALUSIA REGIONAL HOSPITAL (010036),2017,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,,,,,,,,,,,0.9936,19.1289,239.0,45.0,19.0063,1.0728,21.0451,189.0,47.0,22.5771,0.8509,5.0688,,,4.3132,1.0069,15.9755,346.0,56.0,16.085
19,STRINGFELLOW MEMORIAL HOSPITAL (010038),2017,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,1.0603,18.4152,74.0,18.0,19.5255,,,,,,1.0205,17.6195,293.0,54.0,17.9814,1.1004,22.067,177.0,49.0,24.2821,1.0267,4.9105,,,5.0414,1.0344,16.4437,225.0,40.0,17.0094
20,HUNTSVILLE HOSPITAL (010039),2017,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,0.9717,14.953,1195.0,172.0,14.5305,0.9574,13.4066,565.0,71.0,12.835,0.966,18.8118,1146.0,206.0,18.1729,0.9815,22.1713,1779.0,386.0,21.7622,1.0581,4.458,1821.0,87.0,4.717,1.0103,17.5623,1823.0,324.0,17.7435
21,GADSDEN REGIONAL MEDICAL CENTER (010040),2017,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,1.0243,14.6077,198.0,31.0,14.9632,1.1238,13.075,122.0,22.0,14.6937,0.9911,19.5945,518.0,100.0,19.42,0.9586,22.1345,559.0,116.0,21.2178,1.5118,4.689,350.0,33.0,7.089,1.0531,17.1473,788.0,145.0,18.0587
22,MARION REGIONAL MEDICAL CENTER (010044),2017,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,,,,,,,,,,,0.9542,17.2124,,,16.4237,0.9441,19.6572,,,18.5587,,,,,,0.8891,14.8035,173.0,17.0,13.1623
23,FAYETTE MEDICAL CENTER (010045),2017,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,,,,,,,,,,,1.0909,18.6764,168.0,40.0,20.3734,1.0134,22.5052,106.0,25.0,22.8057,,,,,,1.1511,16.6771,191.0,44.0,19.1965
24,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2017,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,1.0728,16.6951,71.0,17.0,17.9102,0.9916,14.4315,,,14.3102,1.0741,18.7446,344.0,74.0,20.1332,1.0182,22.8763,330.0,78.0,23.292,1.0534,4.7639,,,5.0183,1.025,17.4685,367.0,67.0,17.9053
25,GEORGIANA MEDICAL CENTER (010047),2017,Acute Care,Proprietary,22.0,,,AL,,,,,,,,,,,1.0013,15.9707,,,15.9922,,,,,,,,,,,1.0595,14.7605,135.0,24.0,15.6393
26,MEDICAL CENTER ENTERPRISE (010049),2017,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,,,,,,,,,,,1.0685,16.3096,257.0,49.0,17.4275,1.028,19.8779,124.0,27.0,20.4345,0.9427,4.6821,,,4.4138,0.9261,14.1385,189.0,21.0,13.0936
27,GREENE COUNTY HOSPITAL (010051),2017,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL,,,,,,,,,,,1.0207,17.8818,64.0,13.0,18.2522,0.9591,17.5098,,,16.7935,,,,,,0.9854,16.6787,,,16.4353
28,LAKE MARTIN COMMUNITY HOSPITAL (010052),2017,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,,,,,,,,,,,0.9592,18.9743,,,18.2009,0.9791,22.225,,,21.7594,,,,,,1.0253,16.0606,132.0,23.0,16.4668
29,FLOWERS HOSPITAL (010055),2017,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,0.9535,14.549,351.0,46.0,13.8729,0.926,12.9852,130.0,13.0,12.0247,0.893,18.2646,394.0,57.0,16.3107,0.9299,20.5559,546.0,100.0,19.1142,1.0874,4.3779,533.0,27.0,4.7605,0.876,15.8593,573.0,73.0,13.8925
30,ST VINCENT'S BIRMINGHAM (010056),2017,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,1.009,15.2803,282.0,44.0,15.4186,1.1556,12.8293,121.0,23.0,14.826,1.0217,19.746,434.0,89.0,20.1753,1.0258,20.3546,529.0,112.0,20.8798,1.1341,4.0694,1529.0,73.0,4.6151,0.9417,15.8863,769.0,112.0,14.9597
31,BIBB MEDICAL CENTER (010058),2017,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,,,,,,,,,,,,,,,,,,,,,,,,,,1.0457,16.0069,76.0,15.0,16.7387
32,LAWRENCE MEDICAL CENTER (010059),2017,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,,,,,,,,,,,0.9608,19.5212,94.0,15.0,18.7558,1.0201,23.63,57.0,15.0,24.1049,,,,,,0.8855,17.9545,184.0,23.0,15.898
33,HIGHLANDS MEDICAL CENTER (010061),2017,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,,,,,,,,,,,0.9659,18.691,356.0,62.0,18.0532,1.0337,20.9043,185.0,42.0,21.6085,1.0065,4.3311,,,4.3591,0.94,16.0278,346.0,49.0,15.0658
34,WIREGRASS MEDICAL CENTER (010062),2017,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,,,,,,,,,,,0.9529,17.4226,145.0,21.0,16.6022,0.9466,20.4357,79.0,12.0,19.3439,,,,,,0.9761,15.3742,188.0,27.0,15.0068
35,RUSSELL HOSPITAL (010065),2017,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,0.9422,14.1463,,,13.3289,,,,,,0.8441,18.8616,225.0,25.0,15.921,0.959,21.2074,278.0,54.0,20.3376,1.2701,5.0447,98.0,11.0,6.4073,1.042,16.5199,406.0,72.0,17.2145
36,MEDICAL CENTER BARBOUR (010069),2017,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,,,,,,,,,,,1.0356,16.9163,90.0,18.0,17.5193,0.951,20.8347,91.0,15.0,19.8141,,,,,,0.9339,14.2861,115.0,12.0,13.342
37,CLAY COUNTY HOSPITAL (010073),2017,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,,,,,,,,,,,0.977,18.318,109.0,18.0,17.8964,0.9574,20.3265,75.0,12.0,19.4603,,,,,,0.9685,14.8853,122.0,16.0,14.4164
38,NORTHEAST ALABAMA REGIONAL MED CENTER (010078),2017,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,1.0669,16.9428,366.0,70.0,18.0755,1.1001,15.1968,111.0,22.0,16.7176,0.8597,18.8559,523.0,75.0,16.2109,0.9215,22.595,639.0,128.0,20.8207,1.3843,4.4198,386.0,30.0,6.1183,0.9856,17.6495,562.0,97.0,17.3947
39,ATHENS LIMESTONE HOSPITAL (010079),2017,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,,,,,,,,,,,1.0824,17.7388,348.0,72.0,19.2006,1.0493,20.6119,213.0,49.0,21.6271,0.929,4.4722,,,4.1546,1.0955,16.0613,303.0,58.0,17.5957
40,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2017,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,0.9752,17.6244,,,17.1868,,,,,,0.8688,18.5458,348.0,47.0,16.1133,0.9878,21.6618,354.0,75.0,21.3985,1.2266,5.0413,161.0,14.0,6.1834,1.0696,16.3233,381.0,70.0,17.4589
41,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS (010085),2017,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,1.0463,19.1951,71.0,17.0,20.0829,,,,,,1.0449,18.9018,527.0,107.0,19.7512,0.9939,22.2659,675.0,149.0,22.1303,0.941,4.5147,428.0,17.0,4.2482,1.0496,17.1061,788.0,144.0,17.954
42,NORTHWEST MEDICAL CENTER (010086),2017,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,,,,,,,,,,,1.0881,18.3127,188.0,43.0,19.9256,0.9788,21.0379,84.0,16.0,20.5923,,,,,,0.9069,15.9507,262.0,33.0,14.465
43,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER (010087),2017,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,,,,,,,,,,,1.0224,20.5512,,,21.0107,0.9953,17.1734,,,17.0919,,,,,,,,,,
44,WALKER BAPTIST MEDICAL CENTER (010089),2017,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,1.0687,17.6155,64.0,16.0,18.8252,,,,,,1.0761,20.3606,429.0,99.0,21.9098,1.0426,21.7626,231.0,55.0,22.6893,1.0607,5.0014,261.0,15.0,5.3049,0.9645,17.0058,371.0,59.0,16.4026
45,PROVIDENCE HOSPITAL (010090),2017,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,1.0793,14.655,238.0,42.0,15.8172,0.9381,12.84,151.0,16.0,12.0453,1.0344,18.9185,474.0,95.0,19.5698,0.9606,20.9277,614.0,121.0,20.104,1.0427,4.6988,514.0,26.0,4.8993,1.1916,16.274,685.0,142.0,19.3929
46,GROVE HILL MEMORIAL HOSPITAL (010091),2017,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,,,,,,,,,,,0.9762,15.1826,91.0,12.0,14.822,0.9547,19.4474,74.0,11.0,18.5668,,,,,,0.9157,13.7066,,,12.5507
47,D C H REGIONAL MEDICAL CENTER (010092),2017,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,1.1252,15.5672,480.0,91.0,17.5156,0.9652,13.5751,162.0,20.0,13.1028,0.9944,20.8945,1282.0,266.0,20.7783,1.0439,21.9652,1131.0,262.0,22.9289,1.2099,4.4936,796.0,47.0,5.4367,1.1109,17.4621,1590.0,314.0,19.3994
48,HALE COUNTY HOSPITAL (010095),2017,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,,,,,,,,,,,,,,,,,,,,,,,,,,0.9697,15.1293,,,14.6707
49,ELMORE COMMUNITY HOSPITAL (010097),2017,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,,,,,,,,,,,1.0054,16.8807,,,16.9724,1.0058,18.8285,,,18.9381,,,,,,0.9741,15.1149,,,14.7241
50,D W MCMILLAN MEMORIAL HOSPITAL (010099),2017,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,,,,,,,,,,,1.0872,16.2392,100.0,23.0,17.6553,0.9526,18.6184,95.0,14.0,17.7357,,,,,,0.9823,13.7949,191.0,25.0,13.5501
51,THOMAS HOSPITAL (010100),2017,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,0.9142,13.3188,205.0,20.0,12.1758,0.9059,12.4279,163.0,15.0,11.2586,0.8638,19.4651,176.0,20.0,16.8134,0.9649,20.7153,336.0,65.0,19.9877,1.0194,4.4066,615.0,28.0,4.4921,0.9655,15.9976,387.0,58.0,15.4463
52,CITIZENS BAPTIST MEDICAL CENTER (010101),2017,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,,,,,,,,,,,0.9732,17.0485,143.0,22.0,16.592,1.0617,21.2094,139.0,35.0,22.5175,,,,,,1.0227,15.5516,106.0,18.0,15.9045
53,J PAUL JONES HOSPITAL (010102),2017,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL,,,,,,,,,,,,,,,,,,,,,,,,,,0.9222,14.4132,,,13.2914
54,BAPTIST MEDICAL CENTER-PRINCETON (010103),2017,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,1.0615,16.0857,284.0,52.0,17.0751,1.2089,13.3813,175.0,35.0,16.1772,1.0072,20.6132,330.0,69.0,20.7617,1.0158,21.771,484.0,108.0,22.1143,0.979,4.943,298.0,14.0,4.839,0.879,18.1424,418.0,60.0,15.948
55,GRANDVIEW MEDICAL CENTER (010104),2017,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,0.9253,16.4859,246.0,33.0,15.2542,1.0018,13.9722,,,13.9967,1.0552,19.7818,227.0,51.0,20.8742,0.938,21.2795,315.0,59.0,19.9593,1.1505,4.6418,454.0,27.0,5.3405,1.0597,16.5511,268.0,50.0,17.5396
56,PRATTVILLE BAPTIST HOSPITAL (010108),2017,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,,,,,,,,,,,0.9374,18.5712,254.0,40.0,17.4084,1.0252,20.6377,163.0,36.0,21.1577,,,,,,1.0486,17.2605,246.0,47.0,18.1
57,PICKENS COUNTY MEDICAL CENTER (010109),2017,Acute Care,Government - Hospital District or Authority,49.0,33.274807,-88.089673,AL,,,,,,,,,,,1.0928,16.8974,61.0,17.0,18.4659,1.0069,19.0516,,,19.1833,,,,,,0.9539,14.0093,122.0,14.0,13.3642
58,BULLOCK COUNTY HOSPITAL (010110),2017,Acute Care,Proprietary,54.0,32.146182,-85.71638,AL,,,,,,,,,,,1.0349,15.8647,60.0,12.0,16.4187,0.9788,20.7709,,,20.33,,,,,,1.0478,14.8652,,,15.5764
59,BRYAN W. WHITFIELD MEMORIAL HOSPITAL (010112),2017,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,,,,,,,,,,,0.9474,16.3322,93.0,11.0,15.4726,0.9897,19.4348,76.0,14.0,19.2341,,,,,,1.1311,14.3856,134.0,28.0,16.2719
60,MOBILE INFIRMARY MEDICAL CENTER (010113),2017,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,1.0073,14.5862,249.0,37.0,14.6933,0.9945,13.6094,127.0,17.0,13.5352,1.113,18.9663,601.0,134.0,21.11,1.0479,20.7675,791.0,175.0,21.762,1.1218,4.4582,635.0,34.0,5.001,1.0862,16.8066,968.0,181.0,18.255
61,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2017,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,1.0028,18.1595,,,18.2103,,,,,,0.8925,17.7549,191.0,23.0,15.8459,1.0044,21.8502,181.0,40.0,21.9473,0.9884,4.7315,,,4.6765,0.9866,17.138,288.0,48.0,16.9086
62,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2017,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,1.1262,18.1464,116.0,31.0,20.4366,,,,,,0.8772,21.1616,209.0,30.0,18.5636,1.0824,22.7931,320.0,84.0,24.6714,,,0.0,,,1.0295,18.1086,217.0,42.0,18.6433
63,MONROE COUNTY HOSPITAL (010120),2017,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,,,,,,,,,,,1.0237,17.8117,63.0,13.0,18.2334,0.9295,18.5766,100.0,13.0,17.2667,,,,,,1.1331,14.3266,177.0,35.0,16.2333
64,LAKELAND COMMUNITY HOSPITAL (010125),2017,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,,,,,,,,,,,0.8614,16.4118,334.0,38.0,14.1375,0.9841,20.539,79.0,15.0,20.2117,,,,,,0.7767,14.5688,550.0,50.0,11.3154
65,TROY REGIONAL MEDICAL CENTER (010126),2017,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,,,,,,,,,,,1.0619,18.1,125.0,28.0,19.2212,1.0874,20.9696,87.0,25.0,22.8032,1.0461,3.9963,,,4.1807,0.9248,14.5279,118.0,12.0,13.4361
66,JACKSON MEDICAL CENTER (010128),2017,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,,,,,,,,,,,0.9237,14.1176,,,13.041,1.0027,16.1051,,,16.149,,,,,,0.9757,13.1148,,,12.7963
67,NORTH BALDWIN INFIRMARY (010129),2017,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,,,,,,,,,,,1.0518,18.6219,75.0,18.0,19.5871,1.0234,20.9553,68.0,16.0,21.4463,,,,,,0.9972,15.6575,161.0,25.0,15.6143
68,ST VINCENT'S ST CLAIR (010130),2017,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,,,,,,,,,,,0.9656,18.3611,120.0,19.0,17.7287,1.0471,21.6449,133.0,33.0,22.6648,,,,,,1.1868,15.5002,322.0,68.0,18.395
69,CRESTWOOD MEDICAL CENTER (010131),2017,Acute Care,Proprietary,163.0,,,AL,1.0538,14.4069,178.0,30.0,15.1817,,,,,,0.9501,17.1242,438.0,68.0,16.2701,1.0782,20.4453,410.0,95.0,22.0445,1.0498,4.3037,798.0,37.0,4.518,0.9611,15.3439,495.0,71.0,14.7468
70,BROOKWOOD MEDICAL CENTER (010139),2017,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,1.0424,15.9614,346.0,60.0,16.6382,1.0898,12.7782,194.0,30.0,13.9263,1.0623,18.5388,320.0,67.0,19.6939,0.946,20.4982,502.0,94.0,19.3906,1.1117,4.1771,774.0,38.0,4.6438,1.0742,15.4694,634.0,109.0,16.6175
71,SPRINGHILL MEMORIAL HOSPITAL (010144),2017,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,1.1135,14.1611,164.0,32.0,15.7683,1.0697,13.2309,61.0,11.0,14.1535,1.0058,18.7854,342.0,65.0,18.8941,1.0467,20.6948,495.0,110.0,21.6603,1.0622,4.6737,218.0,12.0,4.9646,1.0674,15.6179,400.0,70.0,16.6704
72,RMC JACKSONVILLE (010146),2017,Acute Care,Proprietary,65.0,,,AL,,,,,,,,,,,1.0197,17.1271,73.0,14.0,17.4641,0.984,19.5589,,,19.2463,,,,,,1.0955,15.5765,96.0,21.0,17.0635
73,EVERGREEN MEDICAL CENTER (010148),2017,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,,,,,,,,,,,1.0598,16.1724,317.0,58.0,17.1391,0.9939,19.082,139.0,26.0,18.9653,,,,,,1.0094,15.0487,122.0,19.0,15.1896
74,BAPTIST MEDICAL CENTER EAST (010149),2017,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,0.9903,18.8906,,,18.7068,,,,,,0.9931,18.4413,270.0,49.0,18.3149,1.0099,21.2092,352.0,76.0,21.4193,,,,,,0.9978,16.6423,368.0,61.0,16.6063
75,L V STABLER MEMORIAL HOSPITAL (010150),2017,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,,,,,,,,,,,0.9142,15.4235,,,14.0998,0.9935,18.8856,98.0,18.0,18.7625,0.9773,4.6423,,,4.5369,1.0318,13.4315,90.0,14.0,13.8581
76,SHOALS HOSPITAL (010157),2017,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,,,,,,,,,,,1.0561,18.2596,111.0,25.0,19.2841,1.0307,20.8757,89.0,21.0,21.5157,0.8895,4.2942,,,3.8196,1.1016,16.21,185.0,38.0,17.8571
77,RUSSELLVILLE HOSPITAL (010158),2017,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,,,,,,,,,,,1.0189,17.4729,173.0,32.0,17.8024,1.036,20.4825,103.0,24.0,21.2193,1.1943,5.002,,,5.9737,1.2154,16.2122,243.0,58.0,19.705
