,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,READM-30-AMI (Excess Readmission Ratio),READM-30-AMI (Expected Readmission Rate),READM-30-AMI (Number of Discharges),READM-30-AMI (Number of Readmissions),READM-30-AMI (Predicted Readmission Rate),READM-30-CABG (Excess Readmission Ratio),READM-30-CABG (Expected Readmission Rate),READM-30-CABG (Number of Discharges),READM-30-CABG (Number of Readmissions),READM-30-CABG (Predicted Readmission Rate),READM-30-COPD (Excess Readmission Ratio),READM-30-COPD (Expected Readmission Rate),READM-30-COPD (Number of Discharges),READM-30-COPD (Number of Readmissions),READM-30-COPD (Predicted Readmission Rate),READM-30-HF (Excess Readmission Ratio),READM-30-HF (Expected Readmission Rate),READM-30-HF (Number of Discharges),READM-30-HF (Number of Readmissions),READM-30-HF (Predicted Readmission Rate),READM-30-HIP-KNEE (Excess Readmission Ratio),READM-30-HIP-KNEE (Expected Readmission Rate),READM-30-HIP-KNEE (Number of Discharges),READM-30-HIP-KNEE (Number of Readmissions),READM-30-HIP-KNEE (Predicted Readmission Rate),READM-30-PN (Excess Readmission Ratio),READM-30-PN (Expected Readmission Rate),READM-30-PN (Number of Discharges),READM-30-PN (Number of Readmissions),READM-30-PN (Predicted Readmission Rate)
31,HIGHLANDS MEDICAL CENTER (010061),2021,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,,,,,,,,,,,0.9465,17.8166,241.0,36.0,16.8633,0.9121,19.8249,104.0,13.0,18.0826,1.201,3.8753,,,4.6544,0.982,15.5685,152.0,22.0,15.2876
32,WIREGRASS MEDICAL CENTER (010062),2021,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,,,,,,,,,,,0.9847,18.4087,79.0,13.0,18.1268,0.8854,21.3047,,,18.8622,,,,,,0.9979,14.7572,130.0,19.0,14.7258
33,RUSSELL MEDICAL CENTER (010065),2021,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,1.0315,16.5766,,,17.0982,,,,,,0.9896,19.784,163.0,31.0,19.5784,1.038,21.3268,233.0,54.0,22.1367,0.968,4.2313,,,4.0961,0.9935,16.0393,235.0,37.0,15.935
34,MEDICAL CENTER BARBOUR (010069),2021,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,,,,,,,,,,,1.0347,16.3589,66.0,14.0,16.9271,1.017,21.2453,69.0,16.0,21.607,,,,,,1.0534,14.4048,102.0,19.0,15.1745
35,CLAY COUNTY HOSPITAL (010073),2021,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,,,,,,,,,,,0.9642,15.9276,,,15.3576,0.9581,19.6335,,,18.8101,,,,,,0.97,11.8968,,,11.5396
36,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER (010078),2021,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,0.9491,16.4669,352.0,52.0,15.6285,1.1286,12.1595,,,13.7227,1.067,18.2495,536.0,110.0,19.4727,1.0085,21.4371,497.0,108.0,21.619,1.3095,3.93,311.0,21.0,5.1462,0.9557,16.2609,432.0,64.0,15.5404
37,ATHENS LIMESTONE HOSPITAL (010079),2021,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,,,,,,,,,,,0.9424,17.5165,218.0,31.0,16.508,1.0977,21.0168,199.0,52.0,23.0695,0.9543,4.2536,,,4.0591,0.9263,15.4376,239.0,29.0,14.2996
38,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2021,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,0.917,14.5553,,,13.3468,,,,,,0.9784,19.1691,282.0,51.0,18.7549,1.1672,22.2692,333.0,97.0,25.9925,1.046,3.9382,247.0,11.0,4.1192,0.9837,15.5575,419.0,63.0,15.3039
39,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS (010085),2021,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,1.0788,16.9465,52.0,14.0,18.2824,,,,,,0.9973,18.2057,519.0,94.0,18.1564,1.0099,22.2427,558.0,126.0,22.4637,1.3844,4.4476,290.0,24.0,6.1573,0.9379,16.5498,647.0,96.0,15.5221
40,NORTHWEST MEDICAL CENTER (010086),2021,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,,,,,,,,,,,0.9562,17.077,170.0,24.0,16.3289,0.9574,19.4811,,,18.6506,,,,,,0.9687,14.176,132.0,16.0,13.7328
41,USA HEALTH UNIVERSITY HOSPITAL (010087),2021,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,,,,,,,,,,,1.0207,19.6326,,,20.039,1.0028,20.8273,,,20.8866,,,,,,0.9761,17.7078,,,17.2846
42,WALKER BAPTIST MEDICAL CENTER (010089),2021,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,,,,,,,,,,,1.044,18.1662,281.0,57.0,18.9659,1.0001,21.9918,200.0,44.0,21.9951,0.8673,4.6059,,,3.9947,0.9773,15.5348,254.0,37.0,15.1823
43,PROVIDENCE HOSPITAL (010090),2021,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,1.083,13.5141,236.0,39.0,14.6354,1.066,13.0396,133.0,20.0,13.9,0.9644,19.2389,378.0,67.0,18.5545,0.867,20.7359,573.0,94.0,17.979,0.85,3.5703,,,3.0347,0.9512,14.982,508.0,69.0,14.2502
44,GROVE HILL MEMORIAL HOSPITAL (010091),2021,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,,,,,,,,,,,0.9877,14.4454,,,14.268,1.0214,17.2624,,,17.6316,,,,,,0.9418,13.7866,,,12.9839
45,D C H REGIONAL MEDICAL CENTER (010092),2021,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,1.0406,15.9872,425.0,73.0,16.6359,0.8746,12.2662,,,10.7282,0.9413,20.5806,972.0,183.0,19.3725,1.075,22.7176,1053.0,262.0,24.4214,1.2086,4.2003,699.0,39.0,5.0764,0.995,17.0512,1175.0,199.0,16.9659
46,HALE COUNTY HOSPITAL (010095),2021,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,,,,,,,,,,,0.9775,19.678,,,19.2352,,,,,,,,,,,,,,,
47,ELMORE COMMUNITY HOSPITAL (010097),2021,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,,,0.0,,,,,,,,0.9922,16.7875,,,16.6567,,,,,,,,,,,0.9562,13.6807,,,13.0818
48,D W MCMILLAN MEMORIAL HOSPITAL (010099),2021,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,,,,,,,,,,,0.9597,15.5204,,,14.8948,1.0351,18.9456,96.0,21.0,19.6099,,,,,,1.0076,13.5925,157.0,22.0,13.6952
49,THOMAS HOSPITAL (010100),2021,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,1.0455,14.5922,226.0,37.0,15.2568,1.1193,12.7878,198.0,31.0,14.3132,0.9679,19.2635,160.0,27.0,18.6443,0.9408,21.8042,341.0,66.0,20.5124,1.0158,4.0323,530.0,22.0,4.0962,0.9415,16.2537,406.0,58.0,15.3036
50,CITIZENS BAPTIST MEDICAL CENTER (010101),2021,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,,,,,,,,,,,0.9751,17.9809,75.0,11.0,17.5327,0.9786,20.4135,97.0,18.0,19.977,,,0.0,,,1.0454,16.0216,83.0,17.0,16.7495
51,PRINCETON BAPTIST MEDICAL CENTER (010103),2021,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,0.9786,15.2741,229.0,33.0,14.9471,1.0831,12.2202,137.0,20.0,13.2355,0.9992,19.5266,231.0,45.0,19.5109,1.0629,22.4728,389.0,97.0,23.8874,0.9487,4.4016,,,4.1756,1.0434,18.3609,266.0,54.0,19.1582
52,GRANDVIEW MEDICAL CENTER (010104),2021,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,1.0379,15.7961,298.0,51.0,16.395,1.056,12.5712,126.0,18.0,13.2754,1.0355,20.5648,267.0,60.0,21.2942,0.9688,22.1571,606.0,128.0,21.4654,1.4544,4.0195,804.0,54.0,5.8459,1.0755,17.0493,490.0,95.0,18.3369
53,PRATTVILLE BAPTIST HOSPITAL (010108),2021,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,,,,,,,,,,,0.9747,19.8173,255.0,47.0,19.3159,0.9721,22.1862,208.0,43.0,21.5667,,,,,,1.011,16.5151,259.0,44.0,16.696
54,PICKENS COUNTY MEDICAL CENTER (010109),2021,Acute Care,Government - Hospital District or Authority,49.0,33.274807,-88.089673,AL,,,,,,,,,,,0.9979,16.744,,,16.7088,1.0166,18.7344,,,19.0458,,,,,,0.9615,14.3193,,,13.7687
55,BULLOCK COUNTY HOSPITAL (010110),2021,Acute Care,Proprietary,54.0,32.146182,-85.71638,AL,,,,,,,,,,,0.9717,17.521,,,17.0257,,,,,,,,,,,,,,,
56,WHITFIELD REGIONAL HOSPITAL (010112),2021,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,,,,,,,,,,,0.9595,15.5797,,,14.949,1.0231,18.4378,56.0,12.0,18.8631,,,,,,0.96,14.2701,,,13.699
57,MOBILE INFIRMARY MEDICAL CENTER (010113),2021,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,1.0425,15.4689,227.0,39.0,16.1263,1.2123,12.3468,103.0,20.0,14.9682,1.0581,19.9926,468.0,104.0,21.1539,1.0701,21.1062,711.0,165.0,22.5853,0.8813,3.8177,574.0,17.0,3.3646,1.0305,16.8916,683.0,121.0,17.4063
58,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2021,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,,,,,,,,,,,0.9482,19.2091,168.0,26.0,18.2144,1.0278,23.5391,137.0,35.0,24.1924,1.0117,4.6429,,,4.6973,0.8941,16.3589,285.0,34.0,14.6262
59,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2021,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,0.9618,17.6608,,,16.9856,,,,,,0.9817,18.0828,116.0,19.0,17.752,1.0919,20.6263,223.0,56.0,22.5217,,,,,,0.9543,16.7171,221.0,32.0,15.9533
60,MONROE COUNTY HOSPITAL (010120),2021,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,,,,,,,,,,,1.0205,17.468,52.0,11.0,17.8258,1.0119,17.9535,73.0,14.0,18.1669,,,,,,1.0003,14.1293,106.0,15.0,14.1332
61,LAKELAND COMMUNITY HOSPITAL (010125),2021,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,,,,,,,,,,,0.8708,16.3599,347.0,38.0,14.2459,0.9599,18.9919,,,18.2309,,,,,,0.8796,13.4479,485.0,49.0,11.8293
62,TROY REGIONAL MEDICAL CENTER (010126),2021,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,,,,,,,,,,,1.0316,15.5222,84.0,16.0,16.0121,1.0114,18.4219,66.0,13.0,18.6313,1.0865,3.4319,,,3.7288,1.0387,14.9174,106.0,19.0,15.4945
63,JACKSON MEDICAL CENTER (010128),2021,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,,,,,,,,,,,1.0165,14.8071,,,15.0517,1.0657,17.4164,38.0,11.0,18.5602,,,,,,1.0323,12.1859,71.0,11.0,12.5791
64,NORTH BALDWIN INFIRMARY (010129),2021,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,,,,,,,,,,,0.9959,17.6993,,,17.6276,1.0185,20.727,56.0,13.0,21.11,1.0524,5.6305,,,5.9257,1.0528,16.7696,110.0,23.0,17.6555
65,ST VINCENT'S ST CLAIR (010130),2021,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,,,,,,,,,,,1.0097,18.6489,139.0,27.0,18.8291,1.0055,19.9416,93.0,19.0,20.0521,,,,,,0.9035,15.3538,244.0,27.0,13.8727
66,CRESTWOOD MEDICAL CENTER (010131),2021,Acute Care,Proprietary,163.0,,,AL,1.055,14.6528,168.0,29.0,15.4588,,,,,,1.0242,17.4899,346.0,64.0,17.9125,0.935,20.159,341.0,60.0,18.8483,1.1767,3.9377,863.0,43.0,4.6336,0.9931,15.3796,540.0,82.0,15.273
67,BROOKWOOD BAPTIST MEDICAL CENTER (010139),2021,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,1.0171,14.2672,207.0,31.0,14.5119,1.2769,11.6068,130.0,25.0,14.8205,1.0097,19.3566,272.0,54.0,19.5442,0.9519,20.855,293.0,55.0,19.8518,1.169,3.689,490.0,24.0,4.3123,1.0482,15.4095,370.0,63.0,16.152
68,SPRINGHILL MEDICAL CENTER (010144),2021,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,1.0288,13.5691,132.0,20.0,13.9595,0.957,11.0731,,,10.5967,1.1502,16.8316,238.0,58.0,19.3602,1.1039,20.4489,450.0,108.0,22.5729,1.0024,3.7619,,,3.771,1.0845,14.623,331.0,58.0,15.8589
69,EVERGREEN MEDICAL CENTER (010148),2021,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,,,,,,,,,,,0.9718,15.0859,200.0,27.0,14.6604,1.0637,17.9003,111.0,25.0,19.0408,,,,,,1.1539,15.016,174.0,40.0,17.3277
70,BAPTIST MEDICAL CENTER EAST (010149),2021,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,,,,,,,,,,,0.9908,20.3838,212.0,42.0,20.196,0.9404,21.9122,262.0,50.0,20.6061,,,,,,0.9985,15.936,296.0,47.0,15.9126
71,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL (010150),2021,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,,,,,,,,,,,0.9909,16.7132,,,16.5606,1.0675,19.4445,57.0,16.0,20.7576,,,,,,1.0255,13.4971,,,13.8408
72,SHOALS HOSPITAL (010157),2021,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,,,,,,,,,,,1.0471,15.1642,96.0,19.0,15.8782,0.9669,19.7675,,,19.1139,,,,,,1.0501,13.6311,110.0,19.0,14.3142
73,RUSSELLVILLE HOSPITAL (010158),2021,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,,,,,,,,,,,1.0358,17.5097,160.0,32.0,18.1367,1.0097,21.742,70.0,16.0,21.9527,0.9009,4.7624,,,4.2904,1.027,14.7949,179.0,29.0,15.1942
74,COOSA VALLEY MEDICAL CENTER (010164),2021,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,,,,,,,,,,,0.9816,16.6999,101.0,15.0,16.3923,1.025,19.4044,143.0,30.0,19.8886,0.9775,3.7105,,,3.627,1.0021,14.1865,196.0,28.0,14.2156
75,JACK HUGHSTON MEMORIAL HOSPITAL (010168),2021,Acute Care,Government - State,52.0,32.509045,-85.005696,AL,,,,,,,,,,,0.9844,15.0125,,,14.7787,0.9536,20.5192,,,19.5677,0.8712,3.7363,1245.0,38.0,3.2549,0.9739,14.0034,,,13.6377
76,ATMORE COMMUNITY HOSPITAL (010169),2021,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,,,,,,,,,,,0.9879,19.0684,64.0,11.0,18.8373,1.0627,21.3628,75.0,21.0,22.7016,,,,,,1.0245,15.754,95.0,17.0,16.1405
77,ST VINCENT'S CHILTON (010173),2021,Acute Care,Voluntary non-profit - Church,26.0,32.876585,-86.623511,AL,,,,,,,,,,,0.9916,16.4221,,,16.2848,,,,,,,,,,,1.0086,14.479,,,14.6028
78,PROVIDENCE ALASKA MEDICAL CENTER (020001),2021,Acute Care,Voluntary non-profit - Church,394.0,61.189798,-149.817622,AK,0.8467,14.9059,486.0,52.0,12.621,0.8777,11.4454,,,10.0454,0.9997,18.57,291.0,54.0,18.5649,0.9493,21.5185,506.0,100.0,20.4286,0.9262,3.6083,431.0,13.0,3.3422,0.9761,15.8356,386.0,58.0,15.4564
