,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,READM-30-AMI (Excess Readmission Ratio),READM-30-AMI (Expected Readmission Rate),READM-30-AMI (Number of Discharges),READM-30-AMI (Number of Readmissions),READM-30-AMI (Predicted Readmission Rate),READM-30-HF (Excess Readmission Ratio),READM-30-HF (Expected Readmission Rate),READM-30-HF (Number of Discharges),READM-30-HF (Number of Readmissions),READM-30-HF (Predicted Readmission Rate),READM-30-PN (Excess Readmission Ratio),READM-30-PN (Expected Readmission Rate),READM-30-PN (Number of Discharges),READM-30-PN (Number of Readmissions),READM-30-PN (Predicted Readmission Rate)
27,GEORGIANA HOSPITAL (010047),2013,Acute Care,Proprietary,22.0,,,AL,1.0558,23.5,31.0,10.0,24.8,1.1379,24.0,103.0,36.0,27.3,1.076,17.9,120.0,27.0,19.3
28,MEDICAL CENTER ENTERPRISE (010049),2013,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,,,20.0,,,0.9801,22.9,192.0,42.0,22.5,1.0821,16.5,190.0,38.0,17.8
29,GREENE COUNTY HOSPITAL (010051),2013,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL,,,1.0,,,1.1392,20.4,45.0,18.0,23.3,1.0257,14.3,39.0,7.0,14.7
30,LAKE MARTIN COMMUNITY HOSPITAL (010052),2013,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,,,13.0,,,1.0081,24.8,54.0,14.0,25.0,1.0293,18.1,83.0,17.0,18.6
31,PARKWAY MEDICAL CENTER (010054),2013,Acute Care,Proprietary,114.0,,,AL,,,9.0,,,1.0172,24.3,291.0,73.0,24.7,1.0829,18.9,257.0,57.0,20.5
32,FLOWERS HOSPITAL (010055),2013,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,0.9895,16.8,333.0,55.0,16.6,0.939,23.0,629.0,132.0,21.6,1.0136,16.8,435.0,75.0,17.1
33,ST. VINCENT'S BIRMINGHAM (010056),2013,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,0.9877,18.0,250.0,44.0,17.8,1.0846,23.2,586.0,152.0,25.1,1.0497,17.1,499.0,92.0,17.9
34,BIBB MEDICAL CENTER (010058),2013,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,,,1.0,,,0.9685,24.8,33.0,6.0,24.0,0.9831,17.7,51.0,8.0,17.4
35,LAWRENCE MEDICAL CENTER (010059),2013,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,1.0366,26.6,34.0,11.0,27.6,1.1409,24.2,105.0,37.0,27.6,1.1417,20.4,179.0,49.0,23.2
36,HIGHLANDS MEDICAL CENTER (010061),2013,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,,,20.0,,,1.0877,23.4,165.0,47.0,25.4,1.0429,17.6,489.0,92.0,18.4
37,WIREGRASS MEDICAL CENTER (010062),2013,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,,,13.0,,,0.9135,23.5,113.0,19.0,21.5,0.9935,17.6,236.0,41.0,17.5
38,RUSSELL MEDICAL CENTER (010065),2013,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,1.048,19.4,74.0,17.0,20.4,0.93,24.5,208.0,43.0,22.7,0.922,19.0,207.0,32.0,17.5
39,FLORALA MEMORIAL HOSPITAL (010066),2013,Acute Care,Proprietary,22.0,,,AL,,,1.0,,,1.0619,22.2,91.0,25.0,23.6,0.9617,15.5,114.0,15.0,14.9
40,MEDICAL CENTER BARBOUR (010069),2013,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,,,3.0,,,0.9011,23.9,121.0,20.0,21.6,0.9937,15.6,125.0,19.0,15.5
41,CLAY COUNTY HOSPITAL (010073),2013,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,,,23.0,,,1.0441,22.7,103.0,27.0,23.8,0.9734,16.8,125.0,19.0,16.3
42,NORTHEAST ALABAMA REGIONAL MED CENTER (010078),2013,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,0.9964,21.4,465.0,99.0,21.3,1.0119,26.1,712.0,189.0,26.4,1.0645,19.0,368.0,78.0,20.3
43,ATHENS-LIMESTONE HOSPITAL (010079),2013,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,,,22.0,,,1.0111,25.1,210.0,54.0,25.4,0.9894,19.2,203.0,38.0,19.0
44,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2013,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,0.9392,19.6,41.0,5.0,18.4,1.049,24.4,344.0,91.0,25.6,0.8276,17.7,218.0,22.0,14.6
45,DECATUR GENERAL HOSPITAL (010085),2013,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,0.9377,19.7,52.0,7.0,18.5,0.8504,25.2,450.0,87.0,21.5,1.087,18.6,374.0,80.0,20.2
46,NORTHWEST MEDICAL CENTER (010086),2013,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,,,13.0,,,1.11,22.8,102.0,32.0,25.3,1.0298,17.2,229.0,42.0,17.7
47,UNIV OF SOUTH ALABAMA MEDICAL CENTER (010087),2013,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,,,12.0,,,0.9845,24.5,37.0,8.0,24.2,,,14.0,,
48,WALKER BAPTIST MEDICAL CENTER (010089),2013,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,0.9525,20.1,68.0,11.0,19.1,0.9259,24.5,249.0,52.0,22.7,0.9068,19.0,285.0,44.0,17.3
49,PROVIDENCE HOSPITAL (010090),2013,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,1.0036,16.9,200.0,34.0,16.9,0.892,23.6,568.0,113.0,21.1,0.9214,17.6,465.0,71.0,16.2
50,GROVE HILL MEMORIAL HOSPITAL (010091),2013,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,,,1.0,,,0.9784,21.4,49.0,9.0,20.9,,,23.0,,
51,D C H REGIONAL MEDICAL CENTER (010092),2013,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,1.0446,18.0,347.0,67.0,18.8,1.0244,24.1,1087.0,270.0,24.7,1.0542,19.1,726.0,149.0,20.1
52,HALE COUNTY HOSPITAL (010095),2013,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,,,1.0,,,0.9622,21.5,59.0,10.0,20.7,0.9829,16.7,42.0,6.0,16.4
53,ELMORE COMMUNITY HOSPITAL (010097),2013,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,,,15.0,,,1.0106,22.3,55.0,13.0,22.5,1.0624,15.3,67.0,14.0,16.3
54,D W MCMILLAN MEMORIAL HOSPITAL (010099),2013,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,,,8.0,,,1.0285,21.1,108.0,25.0,21.7,1.0403,15.1,153.0,26.0,15.7
55,THOMAS HOSPITAL (010100),2013,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,0.9246,16.3,213.0,29.0,15.0,0.948,23.0,372.0,78.0,21.8,0.8976,17.3,197.0,25.0,15.5
56,CITIZENS BMC (010101),2013,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,,,21.0,,,0.9458,24.3,132.0,27.0,23.0,0.9828,19.3,100.0,18.0,18.9
57,J PAUL JONES HOSPITAL (010102),2013,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL,,,2.0,,,,,23.0,,,0.9989,15.7,45.0,7.0,15.7
58,PRINCETON BAPTIST MEDICAL CENTER (010103),2013,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,0.9864,19.4,358.0,68.0,19.2,0.9016,24.0,468.0,95.0,21.6,0.9392,19.6,322.0,56.0,18.4
59,TRINITY MEDICAL CENTER (010104),2013,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,1.0125,19.1,355.0,69.0,19.3,0.8729,24.4,436.0,85.0,21.3,0.9328,18.6,264.0,42.0,17.3
60,PRATTVILLE BAPTIST HOSPITAL (010108),2013,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,,,14.0,,,1.0915,22.9,127.0,37.0,25.0,1.0965,16.8,223.0,46.0,18.5
61,PICKENS COUNTY MEDICAL CENTER (010109),2013,Acute Care,Government - Hospital District or Authority,49.0,33.274807,-88.089673,AL,,,9.0,,,1.0292,24.3,69.0,19.0,25.0,0.9698,17.5,139.0,22.0,17.0
62,BULLOCK COUNTY HOSPITAL (010110),2013,Acute Care,Proprietary,54.0,32.146182,-85.71638,AL,,,1.0,,,1.0558,21.5,39.0,12.0,22.7,,,24.0,,
63,BRYAN W WHITFIELD MEM HOSP INC (010112),2013,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,,,11.0,,,1.0646,22.9,161.0,43.0,24.4,0.9902,15.9,130.0,20.0,15.8
64,MOBILE INFIRMARY (010113),2013,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,1.1505,17.1,246.0,54.0,19.7,1.0359,23.2,1018.0,247.0,24.1,1.0888,17.6,681.0,135.0,19.2
65,MEDICAL WEST (010114),2013,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,1.0602,22.1,92.0,24.0,23.4,0.9507,24.1,223.0,48.0,22.9,1.0803,18.4,206.0,45.0,19.8
66,"VAUGHAN REGIONAL MEDICAL CENTER, LLC (010118)",2013,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,1.0962,20.0,101.0,26.0,22.0,1.1459,24.4,371.0,112.0,27.9,1.1266,18.5,238.0,56.0,20.8
67,MONROE COUNTY HOSPITAL (010120),2013,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,,,22.0,,,1.0644,22.0,164.0,42.0,23.4,0.9354,16.2,174.0,23.0,15.2
68,LAKELAND COMMUNITY HOSPITAL (010125),2013,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,,,9.0,,,0.8872,23.7,133.0,21.0,21.0,0.9286,17.0,353.0,52.0,15.8
69,TROY REGIONAL MEDICAL CENTER (010126),2013,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,,,7.0,,,1.063,24.2,141.0,40.0,25.7,1.1682,17.1,134.0,35.0,19.9
70,JACKSON MEDICAL CENTER (010128),2013,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,,,2.0,,,1.0463,22.3,53.0,15.0,23.3,0.9207,15.1,66.0,5.0,13.9
71,NORTH BALDWIN INFIRMARY (010129),2013,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,,,5.0,,,0.983,25.0,49.0,11.0,24.6,0.9944,19.3,90.0,17.0,19.2
72,ST VINCENT'S ST CLAIR (010130),2013,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,,,7.0,,,0.965,24.1,108.0,23.0,23.3,1.1077,17.0,162.0,36.0,18.9
73,CRESTWOOD MEDICAL CENTER (010131),2013,Acute Care,Proprietary,163.0,,,AL,0.9515,18.2,162.0,26.0,17.3,0.9579,22.8,328.0,69.0,21.8,1.0077,16.0,313.0,51.0,16.2
74,HILL HOSPITAL OF SUMTER COUNTY (010138),2013,Acute Care,Voluntary non-profit - Other,33.0,32.491825,-88.296081,AL,,,0.0,,,,,2.0,,,,,2.0,,
75,BROOKWOOD MEDICAL CENTER (010139),2013,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,0.949,17.9,248.0,40.0,17.0,0.9914,23.3,496.0,114.0,23.1,0.9273,17.4,520.0,80.0,16.1
76,SPRINGHILL MEDICAL CENTER (010144),2013,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,1.1872,16.6,138.0,34.0,19.7,0.9871,23.5,526.0,121.0,23.2,1.018,17.5,191.0,35.0,17.8
77,JACKSONVILLE MEDICAL CENTER (010146),2013,Acute Care,Proprietary,65.0,,,AL,,,13.0,,,0.9893,22.2,62.0,13.0,22.0,1.0584,16.0,130.0,25.0,17.0
78,EVERGREEN MEDICAL CENTER (010148),2013,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,,,10.0,,,1.0632,21.8,183.0,46.0,23.2,1.0528,17.5,72.0,16.0,18.5
79,BAPTIST MEDICAL CENTER EAST (010149),2013,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,1.0269,20.7,56.0,13.0,21.2,1.0599,23.1,362.0,92.0,24.5,0.8873,18.5,252.0,35.0,16.4
80,L V STABLER MEMORIAL HOSPITAL (010150),2013,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,,,11.0,,,0.9875,24.0,134.0,31.0,23.7,0.917,18.0,88.0,10.0,16.5
81,SHOALS HOSPITAL (010157),2013,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,,,4.0,,,0.9902,24.4,81.0,19.0,24.2,0.9593,17.6,143.0,22.0,16.9
82,RUSSELLVILLE HOSPITAL (010158),2013,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,,,21.0,,,1.057,23.6,155.0,42.0,25.0,1.1653,17.0,227.0,53.0,19.8
83,COOSA VALLEY MEDICAL CENTER (010164),2013,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,0.9785,23.3,26.0,5.0,22.8,0.9061,22.9,206.0,37.0,20.7,1.107,16.4,240.0,49.0,18.2
84,JACK HUGHSTON MEMORIAL HOSPITAL (010168),2013,Acute Care,Government - State,52.0,32.509045,-85.005696,AL,,,7.0,,,0.9634,23.5,45.0,8.0,22.6,0.9684,15.5,71.0,9.0,15.0
85,ATMORE COMMUNITY HOSPITAL (010169),2013,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,,,11.0,,,1.0212,24.5,171.0,44.0,25.0,1.1345,19.3,101.0,29.0,21.9
86,PROVIDENCE ALASKA MEDICAL CENTER (020001),2013,Acute Care,Voluntary non-profit - Church,394.0,61.189798,-149.817622,AK,0.9181,16.3,303.0,42.0,15.0,0.8787,23.2,463.0,87.0,20.4,0.8466,17.0,302.0,35.0,14.4
87,MAT-SU REGIONAL MEDICAL CENTER (020006),2013,Acute Care,Voluntary non-profit - Private,90.0,61.561217,-149.258718,AK,1.0336,16.0,65.0,12.0,16.5,1.0073,23.6,133.0,32.0,23.7,0.9744,16.9,221.0,35.0,16.4
88,BARTLETT REGIONAL HOSPITAL (020008),2013,Acute Care,Government - Local,58.0,58.328696,-134.466829,AK,,,17.0,,,0.9349,21.0,50.0,6.0,19.6,0.9576,15.0,78.0,9.0,14.3
89,FAIRBANKS MEMORIAL HOSPITAL (020012),2013,Acute Care,Voluntary non-profit - Other,213.0,64.831407,-147.736254,AK,0.9042,16.5,53.0,4.0,15.0,0.9422,22.0,113.0,20.0,20.7,0.9638,16.9,122.0,18.0,16.3
90,ALASKA REGIONAL HOSPITAL (020017),2013,Acute Care,Proprietary,169.0,61.20979,-149.827379,AK,0.8842,15.3,86.0,7.0,13.6,0.9538,22.7,82.0,15.0,21.6,0.9487,16.7,74.0,9.0,15.8
91,YUKON KUSKOKWIM DELTA REG HOSPITAL (020018),2013,Acute Care,Tribal,34.0,,,AK,,,2.0,,,1.0541,22.8,37.0,12.0,24.0,0.8771,14.9,172.0,16.0,13.1
92,CENTRAL PENINSULA GENERAL HOSPITAL (020024),2013,Acute Care,Voluntary non-profit - Other,186.0,60.493865,-151.077658,AK,,,13.0,,,1.0248,22.7,67.0,17.0,23.2,0.9723,15.3,104.0,14.0,14.8
93,ALASKA NATIVE MEDICAL CENTER (020026),2013,Acute Care,Government - Federal,163.0,61.18189,-149.800578,AK,1.0514,17.1,28.0,7.0,17.9,0.992,22.4,92.0,20.0,22.2,1.061,17.5,145.0,30.0,18.5
94,MT EDGECUMBE HOSPITAL (020027),2013,Acute Care,Voluntary non-profit - Private,26.0,,,AK,,,1.0,,,,,23.0,,,0.9749,17.4,43.0,6.0,17.0
95,MARYVALE HOSPITAL (030001),2013,Acute Care,Proprietary,231.0,,,AZ,,,19.0,,,1.0135,25.1,44.0,12.0,25.4,0.985,17.9,33.0,5.0,17.6
96,BANNER GOOD SAMARITAN MEDICAL CENTER (030002),2013,Acute Care,Voluntary non-profit - Other,706.0,33.465724,-112.058127,AZ,0.9746,18.9,256.0,46.0,18.4,0.8942,24.7,429.0,88.0,22.1,0.9162,18.6,192.0,28.0,17.0
97,TUCSON MEDICAL CENTER (030006),2013,Acute Care,Voluntary non-profit - Private,520.0,32.250749,-110.880169,AZ,1.0699,18.8,405.0,84.0,20.1,0.9825,24.0,483.0,113.0,23.6,1.0124,17.9,454.0,83.0,18.1
98,VERDE VALLEY MEDICAL CENTER (030007),2013,Acute Care,Voluntary non-profit - Private,102.0,34.736201,-112.031784,AZ,0.8592,15.8,109.0,9.0,13.6,0.8627,21.8,177.0,25.0,18.8,0.9859,16.8,234.0,38.0,16.6
99,CARONDELET ST  MARYS HOSPITAL (030010),2013,Acute Care,Voluntary non-profit - Private,398.0,32.228923,-111.000032,AZ,1.0502,17.1,184.0,35.0,18.0,0.8341,23.3,239.0,36.0,19.5,0.961,17.4,222.0,35.0,16.7
100,CARONDELET ST JOSEPHS HOSPITAL (030011),2013,Acute Care,Voluntary non-profit - Other,474.0,32.225946,-110.857838,AZ,0.9599,16.5,193.0,29.0,15.9,0.9372,23.4,368.0,77.0,22.0,0.9859,17.7,422.0,73.0,17.5
101,YAVAPAI REGIONAL MEDICAL CENTER (030012),2013,Acute Care,Government - Local,179.0,34.55938,-112.482065,AZ,0.9833,16.7,296.0,48.0,16.4,1.0132,23.9,311.0,76.0,24.2,0.9691,17.8,461.0,78.0,17.3
102,YUMA REGIONAL MEDICAL CENTER (030013),2013,Acute Care,Voluntary non-profit - Private,397.0,32.683899,-114.633238,AZ,0.8745,18.4,512.0,77.0,16.1,0.9969,25.2,637.0,160.0,25.1,1.1013,19.3,896.0,196.0,21.3
103,JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL (030014),2013,Acute Care,Voluntary non-profit - Private,258.0,33.567754,-112.07063,AZ,1.0149,18.7,118.0,23.0,19.0,0.9957,24.5,263.0,64.0,24.4,0.9527,17.8,204.0,32.0,17.0
104,CASA GRANDE REGIONAL MEDICAL CENTER (030016),2013,Acute Care,Voluntary non-profit - Other,156.0,32.879608,-111.709253,AZ,1.0217,15.9,38.0,7.0,16.2,1.1041,23.0,170.0,49.0,25.3,1.1468,17.3,235.0,54.0,19.9
105,MARICOPA MEDICAL CENTER (030022),2013,Acute Care,Government - Local,570.0,33.458525,-112.02643,AZ,,,4.0,,,0.9895,26.7,29.0,7.0,26.4,1.0014,15.9,31.0,5.0,15.9
106,FLAGSTAFF MEDICAL CENTER (030023),2013,Acute Care,Voluntary non-profit - Private,267.0,35.209534,-111.644835,AZ,0.935,16.7,164.0,23.0,15.6,1.0118,24.3,184.0,46.0,24.6,0.8279,17.5,247.0,26.0,14.5
107,ST JOSEPH'S HOSPITAL AND MEDICAL CENTER (030024),2013,Acute Care,Voluntary non-profit - Church,560.0,33.480294,-112.079208,AZ,0.9734,18.1,159.0,27.0,17.7,0.9537,23.5,231.0,49.0,22.4,0.9737,18.2,172.0,29.0,17.7
108,PHOENIX BAPTIST HOSPITAL (030030),2013,Acute Care,Proprietary,186.0,33.524116,-112.101934,AZ,1.0439,17.2,91.0,18.0,17.9,0.9914,24.3,156.0,37.0,24.0,0.9976,18.4,88.0,16.0,18.3
109,PAYSON REGIONAL MEDICAL CENTER (030033),2013,Acute Care,Voluntary non-profit - Other,36.0,,,AZ,,,7.0,,,0.9559,24.2,85.0,17.0,23.2,0.9449,18.6,80.0,11.0,17.5
110,CHANDLER REGIONAL MEDICAL CENTER (030036),2013,Acute Care,Voluntary non-profit - Other,318.0,33.298691,-111.873508,AZ,0.9262,18.3,254.0,40.0,17.0,0.9747,25.1,354.0,85.0,24.5,1.126,18.3,406.0,90.0,20.6
111,ST LUKES MEDICAL CENTER (030037),2013,Acute Care,Proprietary,209.0,33.451436,-112.042767,AZ,1.0244,18.6,42.0,9.0,19.1,1.0556,23.3,64.0,19.0,24.6,0.9583,16.2,53.0,6.0,15.5
112,SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER (030038),2013,Acute Care,Proprietary,360.0,33.487639,-111.922725,AZ,0.9372,18.4,172.0,27.0,17.2,1.0051,24.2,480.0,117.0,24.3,1.0612,18.2,392.0,79.0,19.3
