,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,30-Day HF Readmission Rate (READM-30 HF) (Denominator),30-Day HF Readmission Rate (READM-30 HF),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE) (Denominator),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE),30-Day Pneumonia Readmission Rate (READM-30 PN) (Denominator),30-Day Pneumonia Readmission Rate (READM-30 PN),30-Day Readmission Rate (READM-30 COPD) (Denominator),30-Day Readmission Rate (READM-30 COPD),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE) (Denominator),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE),AMI 30-Day Readmission Rate (READM-30 AMI) (Denominator),AMI 30-Day Readmission Rate (READM-30 AMI),CABG 30-Day Readmission Rate (READM-30 CABG) (Denominator),CABG 30-Day Readmission Rate (READM-30 CABG),ED visit rate for patients receiving outpatient chemo (OP-35 ED) (Denominator),ED visit rate for patients receiving outpatient chemo (OP-35 ED),Hospital return days for AMI patients (EDAC-30 AMI) (Denominator),Hospital return days for AMI patients (EDAC-30 AMI),Hospital return days for AMI patients (EDAC-30 AMI) (Number of Patients),Hospital return days for AMI patients (EDAC-30 AMI) (Number of Patients Returned),Hospital return days for HF patients (EDAC-30 HF) (Denominator),Hospital return days for HF patients (EDAC-30 HF),Hospital return days for HF patients (EDAC-30 HF) (Number of Patients),Hospital return days for HF patients (EDAC-30 HF) (Number of Patients Returned),Hospital return days for PN patients (EDAC-30 PN) (Denominator),Hospital return days for PN patients (EDAC-30 PN),Hospital return days for PN patients (EDAC-30 PN) (Number of Patients),Hospital return days for PN patients (EDAC-30 PN) (Number of Patients Returned),Inpatient admit rate for patients receiving outpatient chemo (OP-35 ADM),Rate of unplanned visits after colonoscopy (per 1K) (OP-32) (Denominator),Rate of unplanned visits after colonoscopy (per 1K) (OP-32),Ratio of unplanned visits after outpatient surgery (OP-36) (Denominator),Ratio of unplanned visits after outpatient surgery (OP-36)
10,DALE MEDICAL CENTER (010021),2021,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,51.0,21.1,84.0,15.5,68.0,17.4,63.0,18.6,,,,,,,,,,,,,51.0,-19.5,43.0,15.0,68.0,20.3,65.0,20.0,,264.0,14.6,,
11,CHEROKEE MEDICAL CENTER (010022),2021,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,,,41.0,15.4,,,39.0,19.3,,,,,,,,,,,,,,,,,,,,,,131.0,17.1,,
12,BAPTIST MEDICAL CENTER SOUTH (010023),2021,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,432.0,19.5,1165.0,15.0,175.0,17.3,172.0,20.4,403.0,4.0,242.0,16.6,57.0,11.9,525.0,5.3,242.0,12.2,233.0,70.0,432.0,-15.0,337.0,105.0,175.0,17.9,168.0,47.0,9.1,280.0,16.3,316.0,1.1
13,JACKSON HOSPITAL & CLINIC INC (010024),2021,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,403.0,23.6,1011.0,16.1,352.0,17.5,213.0,19.8,208.0,4.2,196.0,17.8,135.0,14.1,146.0,5.0,196.0,40.8,192.0,61.0,403.0,12.0,322.0,125.0,352.0,10.0,321.0,95.0,9.6,295.0,16.0,565.0,0.9
14,THE EAST ALABAMA HEALTHCARE AUTHORITY (010029),2021,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,559.0,22.8,1196.0,14.8,355.0,16.6,339.0,20.7,542.0,4.2,185.0,15.9,55.0,10.5,166.0,6.3,185.0,1.2,182.0,53.0,559.0,42.3,437.0,147.0,355.0,23.5,321.0,83.0,10.7,2383.0,17.0,817.0,0.8
15,UNIVERSITY OF ALABAMA HOSPITAL (010033),2021,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,738.0,23.0,2672.0,16.2,446.0,17.8,190.0,20.4,132.0,5.0,276.0,16.4,266.0,13.5,757.0,6.3,276.0,18.9,272.0,86.0,738.0,36.8,607.0,225.0,446.0,32.7,407.0,120.0,11.7,1527.0,19.9,1375.0,0.9
16,COMMUNITY HOSPITAL INC (010034),2021,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,46.0,21.5,59.0,15.0,39.0,16.5,44.0,18.7,,,,,,,,,,,,,46.0,-2.3,43.0,11.0,39.0,-13.6,35.0,11.0,,394.0,17.6,,
17,CULLMAN REGIONAL MEDICAL CENTER (010035),2021,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,477.0,22.7,841.0,16.9,437.0,18.8,232.0,20.6,112.0,3.7,96.0,15.7,,,,,96.0,-15.8,96.0,25.0,477.0,8.0,378.0,127.0,437.0,32.1,387.0,122.0,,738.0,16.4,329.0,0.9
18,ANDALUSIA HEALTH (010036),2021,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,260.0,21.3,335.0,15.4,172.0,15.3,197.0,18.6,67.0,4.1,,,,,,,,,,,260.0,-4.4,186.0,71.0,172.0,-18.9,156.0,39.0,,482.0,16.3,247.0,0.8
19,STRINGFELLOW MEMORIAL HOSPITAL (010038),2021,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,85.0,23.5,188.0,14.7,89.0,15.7,148.0,17.7,69.0,4.4,33.0,15.1,,,,,33.0,-41.2,33.0,10.0,85.0,-0.2,67.0,26.0,89.0,-18.9,81.0,17.0,,546.0,16.5,155.0,0.9
20,HUNTSVILLE HOSPITAL (010039),2021,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,1381.0,21.7,4231.0,15.3,1454.0,17.3,847.0,21.3,1159.0,5.0,920.0,13.9,342.0,12.5,89.0,5.2,920.0,8.7,905.0,207.0,1381.0,28.5,1119.0,406.0,1454.0,42.5,1314.0,342.0,11.9,2892.0,15.7,1889.0,0.8
21,GADSDEN REGIONAL MEDICAL CENTER (010040),2021,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,336.0,23.8,1051.0,15.4,472.0,17.0,247.0,21.1,316.0,3.7,202.0,17.3,93.0,11.3,,,202.0,17.1,192.0,61.0,336.0,25.4,269.0,106.0,472.0,37.8,430.0,117.0,,718.0,15.9,443.0,1.0
22,MARION REGIONAL MEDICAL CENTER (010044),2021,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,51.0,20.4,61.0,15.8,121.0,16.4,85.0,19.5,,,,,,,,,,,,,51.0,-13.9,45.0,10.0,121.0,-6.4,111.0,30.0,,38.0,16.0,,
23,FAYETTE MEDICAL CENTER (010045),2021,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,32.0,21.0,85.0,15.9,83.0,16.5,51.0,20.0,,,,,,,,,,,,,32.0,-5.6,28.0,8.0,83.0,-6.7,78.0,19.0,,299.0,14.8,,
24,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2021,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,261.0,21.6,599.0,15.1,278.0,18.0,201.0,18.8,83.0,3.7,51.0,17.1,,,,,51.0,37.2,51.0,19.0,261.0,-12.3,193.0,68.0,278.0,22.5,244.0,75.0,,385.0,13.6,289.0,1.8
25,MEDICAL CENTER ENTERPRISE (010049),2021,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,88.0,22.6,356.0,16.0,139.0,17.7,118.0,18.8,194.0,4.0,,,,,,,,,,,88.0,5.9,78.0,29.0,139.0,9.1,127.0,47.0,,912.0,14.7,130.0,0.9
26,LAKE MARTIN COMMUNITY HOSPITAL (010052),2021,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,,,47.0,15.5,57.0,17.4,47.0,19.9,,,,,,,,,,,,,,,,,57.0,-0.2,53.0,15.0,,44.0,16.4,,
27,FLOWERS HOSPITAL (010055),2021,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,433.0,22.1,1210.0,15.2,410.0,15.9,256.0,19.5,451.0,4.3,262.0,15.3,59.0,12.3,,,262.0,0.2,249.0,68.0,433.0,12.0,369.0,128.0,410.0,28.3,385.0,99.0,,815.0,18.7,801.0,0.9
28,ST VINCENT'S BIRMINGHAM (010056),2021,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,378.0,21.7,1620.0,14.7,468.0,16.8,218.0,19.7,1244.0,3.3,179.0,16.0,80.0,13.5,,,179.0,24.6,174.0,46.0,378.0,21.3,326.0,103.0,468.0,30.4,430.0,106.0,,2657.0,15.6,1215.0,0.8
29,BIBB MEDICAL CENTER (010058),2021,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,26.0,20.9,28.0,15.6,58.0,16.7,,,,,,,,,,,,,,,26.0,-31.5,22.0,6.0,58.0,0.5,52.0,17.0,,,,,
30,LAWRENCE MEDICAL CENTER (010059),2021,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,36.0,21.2,62.0,15.0,70.0,16.7,57.0,20.2,,,,,,,,,,,,,36.0,-28.6,34.0,8.0,70.0,23.5,62.0,17.0,,41.0,17.1,,
31,HIGHLANDS MEDICAL CENTER (010061),2021,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,80.0,21.1,214.0,15.3,112.0,16.7,151.0,18.5,32.0,4.2,,,,,,,,,,,80.0,-17.9,70.0,21.0,112.0,-1.2,104.0,28.0,,385.0,14.9,109.0,0.9
32,WIREGRASS MEDICAL CENTER (010062),2021,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,72.0,19.7,77.0,15.1,89.0,16.4,63.0,19.5,,,,,,,,,,,,,72.0,-32.7,58.0,17.0,89.0,24.6,84.0,20.0,,182.0,17.4,,
33,RUSSELL MEDICAL CENTER (010065),2021,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,168.0,23.1,195.0,14.8,150.0,16.4,105.0,19.6,,,32.0,16.0,,,78.0,5.6,32.0,-24.9,31.0,13.0,168.0,5.5,133.0,59.0,150.0,-17.0,137.0,44.0,12.2,689.0,17.5,201.0,1.0
34,MEDICAL CENTER BARBOUR (010069),2021,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,61.0,22.2,66.0,15.0,75.0,17.0,42.0,20.4,,,,,,,,,,,,,61.0,-0.4,51.0,20.0,75.0,16.5,71.0,21.0,,70.0,18.1,,
35,CLAY COUNTY HOSPITAL (010073),2021,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,28.0,20.2,71.0,15.5,49.0,16.6,53.0,18.6,,,,,,,,,,,,,28.0,-31.0,25.0,3.0,49.0,-0.8,49.0,7.0,,81.0,15.7,,
36,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER (010078),2021,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,391.0,21.4,998.0,15.0,333.0,15.3,411.0,19.7,254.0,4.6,258.0,13.9,26.0,14.0,78.0,5.3,258.0,-16.7,241.0,69.0,391.0,6.0,327.0,118.0,333.0,-18.8,305.0,86.0,11.4,1134.0,18.0,449.0,1.3
37,ATHENS LIMESTONE HOSPITAL (010079),2021,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,154.0,25.0,419.0,15.6,204.0,16.4,127.0,19.4,168.0,4.1,,,,,,,,,,,154.0,-4.6,133.0,58.0,204.0,-11.0,181.0,52.0,,579.0,15.5,347.0,0.8
38,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2021,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,270.0,21.4,649.0,15.2,350.0,16.8,190.0,19.2,201.0,4.6,87.0,14.5,,,,,87.0,-14.8,83.0,17.0,270.0,-5.6,232.0,73.0,350.0,20.3,322.0,82.0,,1427.0,14.9,346.0,0.9
39,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS (010085),2021,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,429.0,22.3,1019.0,15.5,536.0,17.0,301.0,18.9,146.0,5.5,35.0,16.8,,,,,35.0,22.7,33.0,15.0,429.0,6.1,340.0,115.0,536.0,26.7,468.0,124.0,,98.0,17.7,467.0,1.0
40,NORTHWEST MEDICAL CENTER (010086),2021,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,49.0,21.1,143.0,14.8,86.0,16.8,118.0,18.6,,,,,,,,,,,,,49.0,-2.5,42.0,17.0,86.0,2.1,76.0,22.0,,283.0,15.8,39.0,1.1
41,USA HEALTH UNIVERSITY HOSPITAL (010087),2021,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,34.0,22.4,371.0,16.3,34.0,15.9,28.0,20.0,,,,,,,286.0,4.6,,,,,34.0,-10.5,32.0,14.0,34.0,-31.4,33.0,5.0,13.4,249.0,16.8,209.0,1.1
42,WALKER BAPTIST MEDICAL CENTER (010089),2021,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,156.0,23.5,405.0,15.9,202.0,16.7,196.0,22.2,89.0,3.5,,,,,,,,,,,156.0,1.5,117.0,46.0,202.0,28.6,186.0,42.0,,675.0,15.0,213.0,0.9
43,PROVIDENCE HOSPITAL (010090),2021,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,439.0,20.4,1139.0,15.5,392.0,15.3,224.0,19.8,271.0,3.0,176.0,15.8,94.0,13.4,,,176.0,39.9,173.0,37.0,439.0,31.8,369.0,125.0,392.0,5.0,360.0,85.0,,1426.0,15.1,422.0,1.1
44,GROVE HILL MEMORIAL HOSPITAL (010091),2021,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,26.0,21.9,30.0,15.5,47.0,15.8,28.0,19.1,,,,,,,,,,,,,26.0,-22.0,21.0,11.0,47.0,-18.8,43.0,7.0,,334.0,16.2,,
45,DCH REGIONAL MEDICAL CENTER (010092),2021,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,820.0,23.4,2269.0,15.7,895.0,18.1,632.0,18.5,511.0,4.4,288.0,15.1,81.0,12.0,311.0,5.2,288.0,5.7,279.0,71.0,820.0,30.0,633.0,221.0,895.0,39.9,812.0,223.0,12.2,417.0,17.2,775.0,1.0
46,HALE COUNTY HOSPITAL (010095),2021,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,,,35.0,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,ELMORE COMMUNITY HOSPITAL (010097),2021,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,,,41.0,15.9,25.0,16.9,,,,,,,,,,,,,,,,,,,25.0,5.6,25.0,5.0,,54.0,18.9,,
48,D W MCMILLAN MEMORIAL HOSPITAL (010099),2021,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,77.0,21.5,166.0,15.2,106.0,16.6,75.0,19.2,,,,,,,34.0,8.0,,,,,77.0,-7.5,62.0,17.0,106.0,-14.0,98.0,23.0,13.3,279.0,18.7,,
49,THOMAS HOSPITAL (010100),2021,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,290.0,20.7,1083.0,15.8,323.0,15.7,121.0,19.1,383.0,3.8,187.0,17.4,156.0,15.5,,,187.0,11.3,184.0,54.0,290.0,-3.3,238.0,85.0,323.0,-1.7,300.0,61.0,,1572.0,16.3,700.0,1.0
50,CITIZENS BAPTIST MEDICAL CENTER (010101),2021,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,71.0,22.6,117.0,15.1,68.0,16.7,48.0,19.2,,,,,,,,,,,,,71.0,-9.7,52.0,20.0,68.0,6.7,64.0,17.0,,157.0,15.6,,
51,PRINCETON BAPTIST MEDICAL CENTER (010103),2021,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,295.0,22.6,835.0,14.9,211.0,17.2,147.0,20.1,137.0,3.9,164.0,15.0,94.0,13.2,,,164.0,-11.5,161.0,34.0,295.0,14.5,246.0,87.0,211.0,25.8,189.0,52.0,,752.0,16.6,283.0,0.9
52,GRANDVIEW MEDICAL CENTER (010104),2021,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,509.0,21.0,1726.0,16.4,419.0,17.6,204.0,19.3,538.0,4.8,247.0,15.7,97.0,12.8,,,247.0,-4.6,237.0,70.0,509.0,3.8,424.0,161.0,419.0,40.3,381.0,109.0,,852.0,15.6,1134.0,1.0
53,PRATTVILLE BAPTIST HOSPITAL (010108),2021,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,148.0,20.8,207.0,15.3,201.0,17.1,181.0,18.7,,,,,,,,,,,,,148.0,-10.4,121.0,40.0,201.0,18.0,185.0,49.0,,372.0,16.6,,
54,BULLOCK COUNTY HOSPITAL (010110),2021,Acute Care,Proprietary,54.0,32.146182,-85.71638,AL,,,27.0,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,WHITFIELD REGIONAL HOSPITAL (010112),2021,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,50.0,22.8,74.0,15.3,52.0,16.3,43.0,19.1,,,,,,,56.0,6.2,,,,,50.0,20.4,45.0,18.0,52.0,65.5,50.0,8.0,13.0,197.0,15.4,,
56,MOBILE INFIRMARY MEDICAL CENTER (010113),2021,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,556.0,21.3,1934.0,15.5,534.0,17.9,315.0,19.9,435.0,3.4,193.0,16.5,87.0,14.9,79.0,4.7,193.0,6.5,188.0,58.0,556.0,36.9,445.0,158.0,534.0,46.9,477.0,138.0,11.8,1604.0,15.2,653.0,1.4
57,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2021,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,106.0,22.9,345.0,15.4,210.0,15.5,129.0,19.0,26.0,4.4,,,,,,,,,,,106.0,47.0,89.0,41.0,210.0,-6.8,178.0,42.0,,644.0,15.3,130.0,1.2
58,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2021,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,176.0,23.9,332.0,15.3,160.0,16.2,92.0,19.4,,,29.0,15.1,,,,,29.0,-36.0,28.0,7.0,176.0,30.3,136.0,62.0,160.0,-6.7,139.0,38.0,,368.0,18.8,36.0,1.1
59,MONROE COUNTY HOSPITAL (010120),2021,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,49.0,22.0,66.0,15.2,74.0,17.1,40.0,19.9,,,,,,,,,,,,,49.0,-4.8,44.0,17.0,74.0,5.0,70.0,23.0,,324.0,18.9,,
60,LAKELAND COMMUNITY HOSPITAL (010125),2021,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,29.0,21.8,185.0,13.6,346.0,13.9,284.0,16.9,,,,,,,,,,,,,29.0,-14.0,27.0,9.0,346.0,-15.3,254.0,64.0,,,,,
61,TROY REGIONAL MEDICAL CENTER (010126),2021,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,46.0,22.4,100.0,15.4,77.0,17.6,64.0,19.9,31.0,4.2,,,,,,,,,,,46.0,-2.2,35.0,14.0,77.0,35.8,74.0,20.0,,401.0,17.9,37.0,1.2
62,JACKSON MEDICAL CENTER (010128),2021,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,32.0,23.7,38.0,15.3,42.0,16.6,34.0,20.6,,,,,,,,,,,,,32.0,41.3,29.0,16.0,42.0,-18.4,39.0,15.0,,,,,
63,NORTH BALDWIN INFIRMARY (010129),2021,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,37.0,22.2,83.0,16.0,68.0,16.4,31.0,19.6,,,,,,,26.0,5.7,,,,,37.0,-9.6,35.0,15.0,68.0,-12.5,63.0,18.0,12.2,126.0,16.8,32.0,1.0
64,ST VINCENT'S ST CLAIR (010130),2021,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,63.0,22.8,161.0,15.6,189.0,15.7,80.0,20.1,,,,,,,,,,,,,63.0,34.6,57.0,20.0,189.0,2.6,161.0,36.0,,401.0,15.4,49.0,1.1
65,CRESTWOOD MEDICAL CENTER (010131),2021,Acute Care,Proprietary,163.0,,,AL,239.0,20.7,1120.0,14.9,429.0,16.7,271.0,19.6,670.0,3.7,134.0,16.0,,,,,134.0,21.0,132.0,37.0,239.0,35.3,201.0,52.0,429.0,5.6,401.0,103.0,,2259.0,15.9,1020.0,0.9
66,BROOKWOOD BAPTIST MEDICAL CENTER (010139),2021,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,211.0,22.2,870.0,15.9,258.0,17.3,187.0,19.6,258.0,4.6,131.0,16.9,89.0,15.5,,,131.0,31.4,130.0,35.0,211.0,27.3,181.0,59.0,258.0,38.4,242.0,60.0,,337.0,16.6,625.0,0.9
67,SPRINGHILL MEDICAL CENTER (010144),2021,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,351.0,23.8,773.0,16.1,267.0,17.6,164.0,21.3,240.0,4.0,90.0,16.5,47.0,12.4,,,90.0,47.5,89.0,31.0,351.0,35.7,267.0,95.0,267.0,20.9,248.0,68.0,,290.0,14.8,395.0,1.0
68,EVERGREEN MEDICAL CENTER (010148),2021,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,86.0,22.0,196.0,16.3,135.0,18.6,153.0,19.8,,,,,,,,,,,,,86.0,6.7,67.0,20.0,135.0,-6.5,108.0,40.0,,113.0,17.0,,
69,BAPTIST MEDICAL CENTER EAST (010149),2021,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,194.0,20.4,444.0,15.2,240.0,15.7,141.0,19.6,,,,,,,,,,,,,194.0,7.8,164.0,48.0,240.0,9.3,226.0,53.0,,2485.0,15.2,91.0,0.8
70,BIRMINGHAM VA MEDICAL CENTER (01014F),2021,Acute Care (VA),Government - Federal,,,,,623.0,21.3,1348.0,17.1,357.0,16.4,289.0,21.8,153.0,4.3,97.0,16.5,,,,,97.0,16.8,92.0,28.0,623.0,-10.1,465.0,166.0,357.0,30.6,322.0,89.0,,,,,
