,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,30-Day HF Readmission Rate (READM-30 HF) (Denominator),30-Day HF Readmission Rate (READM-30 HF),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE) (Denominator),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE),30-Day Pneumonia Readmission Rate (READM-30 PN) (Denominator),30-Day Pneumonia Readmission Rate (READM-30 PN),30-Day Readmission Rate (READM-30 COPD) (Denominator),30-Day Readmission Rate (READM-30 COPD),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE) (Denominator),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE),AMI 30-Day Readmission Rate (READM-30 AMI) (Denominator),AMI 30-Day Readmission Rate (READM-30 AMI),CABG 30-Day Readmission Rate (READM-30 CABG) (Denominator),CABG 30-Day Readmission Rate (READM-30 CABG),Hospital return days for AMI patients (EDAC-30 AMI) (Denominator),Hospital return days for AMI patients (EDAC-30 AMI),Hospital return days for HF patients (EDAC-30 HF) (Denominator),Hospital return days for HF patients (EDAC-30 HF),Hospital return days for PN patients (EDAC-30 PN) (Denominator),Hospital return days for PN patients (EDAC-30 PN),Rate of unplanned visits after colonoscopy (per 1K) (OP-32) (Denominator),Rate of unplanned visits after colonoscopy (per 1K) (OP-32)
10,FLOYD CHEROKEE MEDICAL CENTER (010022),2019,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,,,,,52.0,15.5,36.0,19.1,,,,,,,,,,,52.0,-28.4,35.0,14.5
11,BAPTIST MEDICAL CENTER SOUTH (010023),2019,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,624.0,21.7,2805.0,15.5,239.0,17.7,240.0,20.6,623.0,4.2,366.0,15.9,102.0,15.7,366.0,6.0,624.0,-0.7,239.0,22.8,69.0,14.2
12,JACKSON HOSPITAL & CLINIC INC (010024),2019,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,522.0,25.2,2699.0,15.6,471.0,18.5,324.0,19.4,316.0,4.2,269.0,17.5,184.0,14.0,269.0,45.7,523.0,26.9,471.0,34.0,79.0,14.1
13,EAST ALABAMA MEDICAL CENTER (010029),2019,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,797.0,21.2,3252.0,14.7,546.0,17.9,477.0,17.6,719.0,4.9,253.0,15.9,105.0,10.3,253.0,17.4,797.0,25.3,547.0,40.8,761.0,15.5
14,TANNER MEDICAL CENTER-EAST ALABAMA (010032),2019,Acute Care,Government - Hospital District or Authority,30.0,,,AL,,,71.0,14.7,39.0,16.0,30.0,18.5,,,,,,,,,,,39.0,-6.9,,
15,UNIVERSITY OF ALABAMA HOSPITAL (010033),2019,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,876.0,21.6,5880.0,16.2,634.0,18.1,302.0,20.1,237.0,4.3,404.0,14.9,255.0,14.7,404.0,15.2,876.0,20.5,634.0,32.9,423.0,18.6
16,COMMUNITY HOSPITAL INC (010034),2019,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,94.0,20.9,239.0,14.3,79.0,16.7,84.0,18.9,,,,,,,,,94.0,-8.8,79.0,-11.0,116.0,14.8
17,CULLMAN REGIONAL MEDICAL CENTER (010035),2019,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,648.0,23.1,2217.0,16.2,551.0,18.0,405.0,19.8,252.0,4.2,119.0,16.7,,,119.0,11.1,648.0,9.7,551.0,23.5,258.0,15.0
18,ANDALUSIA HEALTH (010036),2019,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,200.0,19.4,836.0,13.9,267.0,16.8,236.0,19.5,103.0,4.1,30.0,15.7,,,30.0,5.5,200.0,-27.2,267.0,9.7,143.0,15.6
19,STRINGFELLOW MEMORIAL HOSPITAL (010038),2019,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,150.0,24.2,645.0,16.0,153.0,16.8,273.0,17.7,54.0,4.8,60.0,15.2,,,60.0,-19.1,150.0,7.0,153.0,13.8,186.0,15.4
20,HUNTSVILLE HOSPITAL (010039),2019,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,1898.0,21.4,11078.0,16.3,1578.0,18.9,1473.0,21.9,1742.0,4.6,1118.0,14.9,515.0,11.4,1118.0,2.5,1898.0,15.6,1578.0,48.1,980.0,13.4
21,GADSDEN REGIONAL MEDICAL CENTER (010040),2019,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,454.0,24.3,2698.0,15.9,621.0,18.5,446.0,20.3,463.0,4.9,229.0,16.2,119.0,12.8,229.0,7.5,455.0,52.5,621.0,64.2,182.0,13.6
22,MARION REGIONAL MEDICAL CENTER (010044),2019,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,58.0,20.6,267.0,15.3,187.0,16.0,137.0,19.1,,,,,,,,,58.0,1.2,187.0,-6.2,,
23,FAYETTE MEDICAL CENTER (010045),2019,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,64.0,20.1,254.0,15.2,101.0,16.5,149.0,20.3,,,,,,,,,64.0,-34.4,101.0,0.0,117.0,13.8
24,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2019,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,398.0,24.9,1649.0,16.0,440.0,18.0,316.0,21.8,107.0,3.9,89.0,17.1,29.0,15.1,89.0,4.8,398.0,18.3,440.0,28.4,234.0,13.6
25,MEDICAL CENTER ENTERPRISE (010049),2019,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,137.0,23.8,672.0,15.4,140.0,16.9,175.0,19.9,253.0,3.3,,,,,,,137.0,-6.6,140.0,24.5,310.0,13.3
26,GREENE COUNTY HOSPITAL (010051),2019,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL,,,26.0,15.2,,,,,,,,,,,,,,,,,,
27,LAKE MARTIN COMMUNITY HOSPITAL (010052),2019,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,,,193.0,15.9,124.0,17.0,82.0,19.3,,,,,,,,,,,124.0,-2.8,,
28,FLOWERS HOSPITAL (010055),2019,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,514.0,21.8,3229.0,15.2,546.0,16.7,431.0,20.3,519.0,4.5,283.0,14.1,91.0,11.2,283.0,-8.4,514.0,4.2,546.0,11.5,272.0,15.9
29,ST VINCENT'S BIRMINGHAM (010056),2019,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,438.0,19.2,3793.0,14.3,645.0,15.8,348.0,18.4,1684.0,4.3,216.0,15.5,114.0,15.5,216.0,16.6,438.0,-3.0,645.0,18.3,903.0,14.4
30,BIBB MEDICAL CENTER (010058),2019,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,25.0,20.0,108.0,15.0,89.0,16.8,,,,,,,,,,,25.0,-32.9,89.0,41.8,,
31,LAWRENCE MEDICAL CENTER (010059),2019,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,48.0,21.0,196.0,14.7,82.0,16.2,78.0,21.2,,,,,,,,,48.0,3.9,82.0,-18.1,,
32,HIGHLANDS MEDICAL CENTER (010061),2019,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,129.0,19.6,681.0,14.7,203.0,16.7,293.0,19.8,33.0,4.5,,,,,,,129.0,-25.5,203.0,9.1,129.0,14.4
33,WIREGRASS MEDICAL CENTER (010062),2019,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,103.0,19.5,351.0,14.8,150.0,15.6,98.0,20.7,,,,,,,,,103.0,-10.1,150.0,1.2,73.0,16.3
34,RUSSELL MEDICAL CENTER (010065),2019,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,253.0,23.3,740.0,15.8,285.0,16.5,178.0,19.2,68.0,5.2,59.0,15.6,,,59.0,-44.2,253.0,-3.8,285.0,-5.4,234.0,16.4
35,MEDICAL CENTER BARBOUR (010069),2019,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,65.0,20.4,311.0,15.6,112.0,16.6,86.0,20.8,,,,,,,,,65.0,-17.1,112.0,0.6,,
36,CLAY COUNTY HOSPITAL (010073),2019,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,50.0,20.4,216.0,14.2,73.0,16.3,68.0,19.3,,,,,,,,,50.0,-1.5,73.0,28.7,31.0,14.5
37,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER (010078),2019,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,558.0,23.0,2780.0,15.1,459.0,16.1,520.0,20.6,343.0,5.2,400.0,15.8,76.0,14.0,400.0,19.6,558.0,40.2,459.0,12.7,385.0,17.9
38,ATHENS LIMESTONE HOSPITAL (010079),2019,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,221.0,24.6,1088.0,15.0,288.0,15.2,272.0,18.9,228.0,4.2,,,,,,,221.0,-18.3,288.0,-13.0,200.0,14.3
39,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2019,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,343.0,24.7,1612.0,14.2,380.0,15.6,264.0,18.7,220.0,4.2,122.0,14.5,,,122.0,-20.4,343.0,16.4,380.0,-13.8,490.0,12.8
40,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS (010085),2019,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,614.0,21.2,2624.0,15.5,598.0,16.2,604.0,19.5,415.0,5.9,54.0,15.9,,,54.0,-5.2,614.0,4.0,598.0,10.4,36.0,15.3
41,NORTHWEST MEDICAL CENTER (010086),2019,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,75.0,20.6,320.0,14.8,168.0,15.8,150.0,18.4,,,,,,,,,75.0,3.2,168.0,-1.9,86.0,14.6
42,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER (010087),2019,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,54.0,22.0,600.0,15.2,27.0,17.8,28.0,20.3,,,,,,,,,54.0,26.7,27.0,39.2,69.0,14.3
43,WALKER BAPTIST MEDICAL CENTER (010089),2019,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,191.0,21.9,1115.0,15.3,298.0,15.9,317.0,20.4,241.0,3.4,,,,,,,192.0,5.2,298.0,22.6,224.0,14.4
44,PROVIDENCE HOSPITAL (010090),2019,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,573.0,19.2,2908.0,15.5,536.0,16.6,447.0,19.3,408.0,3.7,252.0,17.5,136.0,14.2,252.0,48.9,573.0,15.2,536.0,27.3,513.0,14.7
45,GROVE HILL MEMORIAL HOSPITAL (010091),2019,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,43.0,22.3,103.0,15.0,49.0,16.3,53.0,19.9,,,,,,,,,43.0,18.4,49.0,6.2,117.0,14.4
46,D C H REGIONAL MEDICAL CENTER (010092),2019,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,1162.0,23.7,6094.0,15.8,1305.0,16.1,1122.0,18.7,738.0,4.6,493.0,17.0,158.0,12.3,493.0,11.9,1162.0,27.9,1305.0,21.2,160.0,14.6
47,HALE COUNTY HOSPITAL (010095),2019,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,,,124.0,15.3,37.0,16.4,30.0,18.6,,,,,,,,,,,37.0,2.0,,
48,ELMORE COMMUNITY HOSPITAL (010097),2019,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,26.0,21.4,116.0,15.5,40.0,15.7,30.0,18.9,,,,,,,,,26.0,-27.5,40.0,-36.6,,
49,D W MCMILLAN MEMORIAL HOSPITAL (010099),2019,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,96.0,21.4,418.0,15.0,163.0,16.3,66.0,19.2,,,,,,,,,96.0,18.6,163.0,12.9,94.0,14.5
50,THOMAS HOSPITAL (010100),2019,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,325.0,21.3,2501.0,15.3,394.0,16.5,164.0,18.7,569.0,4.5,213.0,16.6,228.0,16.3,213.0,31.0,325.0,-3.2,394.0,2.4,538.0,15.5
51,CITIZENS BAPTIST MEDICAL CENTER (010101),2019,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,98.0,20.7,348.0,15.6,89.0,17.6,95.0,19.1,,,,,,,,,98.0,-24.7,89.0,8.4,47.0,14.9
52,J PAUL JONES HOSPITAL (010102),2019,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL,,,38.0,15.1,,,,,,,,,,,,,,,,,,
53,PRINCETON BAPTIST MEDICAL CENTER (010103),2019,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,393.0,23.0,2564.0,15.6,291.0,16.0,259.0,18.9,231.0,4.0,234.0,15.5,160.0,13.6,234.0,-3.1,393.0,47.0,291.0,32.3,269.0,14.4
54,GRANDVIEW MEDICAL CENTER (010104),2019,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,551.0,20.3,3712.0,16.2,402.0,17.4,239.0,22.0,852.0,5.6,272.0,15.8,116.0,14.1,272.0,4.4,551.0,13.7,402.0,49.0,243.0,14.3
55,PRATTVILLE BAPTIST HOSPITAL (010108),2019,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,224.0,21.3,714.0,15.3,268.0,16.0,263.0,19.3,,,28.0,15.3,,,28.0,-24.7,224.0,6.2,268.0,7.4,123.0,15.2
56,PICKENS COUNTY MEDICAL CENTER (010109),2019,Acute Care,Government - Hospital District or Authority,49.0,33.274807,-88.089673,AL,38.0,20.6,161.0,15.3,70.0,15.6,26.0,19.7,,,,,,,,,38.0,-13.5,70.0,-18.2,43.0,14.5
57,BULLOCK COUNTY HOSPITAL (010110),2019,Acute Care,Proprietary,54.0,32.146182,-85.71638,AL,,,81.0,15.0,,,40.0,18.3,,,,,,,,,,,,,,
58,BRYAN W. WHITFIELD MEMORIAL HOSPITAL (010112),2019,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,58.0,24.2,214.0,15.8,89.0,15.3,70.0,18.8,,,,,,,,,58.0,27.3,89.0,-7.3,51.0,14.4
59,MOBILE INFIRMARY MEDICAL CENTER (010113),2019,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,758.0,24.0,4673.0,15.7,711.0,16.4,493.0,20.9,614.0,3.6,223.0,14.8,96.0,12.7,223.0,11.8,759.0,45.8,711.0,40.8,566.0,14.4
60,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2019,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,152.0,22.4,933.0,14.9,306.0,15.0,185.0,17.4,41.0,4.1,34.0,16.3,,,34.0,45.0,152.0,34.3,306.0,-14.4,195.0,15.7
61,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2019,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,257.0,24.1,914.0,15.9,247.0,16.6,133.0,18.3,,,74.0,15.7,,,74.0,-25.7,257.0,22.9,247.0,-1.3,154.0,15.9
62,MONROE COUNTY HOSPITAL (010120),2019,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,89.0,21.6,262.0,15.7,116.0,16.5,49.0,20.0,,,,,,,,,89.0,-16.7,116.0,-6.0,115.0,15.0
63,LAKELAND COMMUNITY HOSPITAL (010125),2019,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,33.0,21.4,455.0,13.7,590.0,14.3,296.0,17.4,,,,,,,,,33.0,-6.7,590.0,-25.7,,
64,TROY REGIONAL MEDICAL CENTER (010126),2019,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,86.0,22.4,337.0,15.4,110.0,16.0,83.0,20.6,33.0,4.2,,,,,,,86.0,24.1,110.0,26.4,122.0,15.4
65,JACKSON MEDICAL CENTER (010128),2019,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,36.0,23.3,171.0,15.8,65.0,17.5,62.0,19.0,,,,,,,,,36.0,34.0,65.0,2.5,,
66,NORTH BALDWIN INFIRMARY (010129),2019,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,59.0,23.4,294.0,16.4,118.0,17.4,63.0,18.8,29.0,4.1,,,,,,,59.0,8.1,118.0,-7.9,40.0,14.9
67,ST VINCENT'S ST CLAIR (010130),2019,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,107.0,21.7,422.0,15.2,282.0,15.1,147.0,18.9,,,,,,,,,107.0,30.5,282.0,-3.3,108.0,14.4
68,CRESTWOOD MEDICAL CENTER (010131),2019,Acute Care,Proprietary,163.0,,,AL,350.0,21.8,2881.0,15.7,569.0,17.0,354.0,21.4,907.0,5.4,190.0,16.5,,,190.0,21.5,350.0,37.3,569.0,27.6,767.0,14.6
69,BROOKWOOD BAPTIST MEDICAL CENTER (010139),2019,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,381.0,21.1,2738.0,15.9,443.0,15.8,287.0,20.3,727.0,4.2,272.0,16.1,149.0,15.2,272.0,23.4,381.0,44.4,443.0,19.4,125.0,14.8
70,SPRINGHILL MEMORIAL HOSPITAL (010144),2019,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,468.0,22.9,1861.0,15.8,337.0,18.9,290.0,21.9,285.0,3.9,139.0,15.5,69.0,12.6,139.0,26.0,468.0,23.6,337.0,46.9,118.0,14.2
71,EVERGREEN MEDICAL CENTER (010148),2019,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,130.0,22.0,462.0,15.3,173.0,19.3,208.0,18.8,,,,,,,,,130.0,-9.0,173.0,6.6,42.0,14.4
72,BAPTIST MEDICAL CENTER EAST (010149),2019,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,284.0,19.9,1203.0,13.5,297.0,16.3,227.0,19.8,,,31.0,15.7,,,31.0,7.3,284.0,22.8,297.0,14.0,807.0,14.6
73,BIRMINGHAM VA MEDICAL CENTER (01014F),2019,Acute Care (VA),Government - Federal,,,,,643.0,20.5,,,295.0,17.9,,,,,110.0,16.0,,,,,,,,,,
74,L V STABLER MEMORIAL HOSPITAL (010150),2019,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,82.0,22.1,303.0,15.4,54.0,16.9,71.0,19.5,,,,,,,,,82.0,-15.8,54.0,2.2,138.0,15.9
75,SHOALS HOSPITAL (010157),2019,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,72.0,21.4,295.0,15.8,147.0,17.0,123.0,19.5,,,,,,,,,72.0,-17.4,147.0,14.4,148.0,13.7
76,RUSSELLVILLE HOSPITAL (010158),2019,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,68.0,21.7,573.0,15.2,198.0,15.8,169.0,18.3,45.0,3.6,,,,,,,68.0,0.5,198.0,2.4,55.0,15.3
77,COOSA VALLEY MEDICAL CENTER (010164),2019,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,129.0,22.5,603.0,16.3,223.0,16.7,117.0,18.6,42.0,3.7,27.0,15.7,,,27.0,-6.1,129.0,14.3,223.0,20.0,179.0,15.5
78,JACK HUGHSTON MEMORIAL HOSPITAL (010168),2019,Acute Care,Government - State,52.0,32.509045,-85.005696,AL,38.0,21.2,852.0,14.2,32.0,16.0,,,1247.0,3.7,,,,,,,38.0,-29.5,32.0,-19.1,60.0,14.9
79,ATMORE COMMUNITY HOSPITAL (010169),2019,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,94.0,21.0,267.0,15.4,101.0,16.3,91.0,19.7,,,,,,,,,94.0,4.6,101.0,-10.3,46.0,14.9
80,ST VINCENT'S CHILTON (010173),2019,Acute Care,Voluntary non-profit - Church,26.0,32.876585,-86.623511,AL,,,110.0,15.1,29.0,16.3,27.0,19.1,,,,,,,,,,,29.0,-0.1,80.0,14.0
81,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY (01019F),2019,Acute Care (VA),Government - Federal,,,,,125.0,20.9,,,67.0,16.1,,,,,,,,,,,,,,,,
82,WASHINGTON COUNTY HOSPITAL (011300),2019,Critical Access,Proprietary,103.0,31.460296,-88.235291,AL,,,45.0,15.1,,,,,,,,,,,,,,,,,,
83,RED BAY HOSPITAL (011302),2019,Critical Access,Government - Hospital District or Authority,25.0,34.457425,-88.146934,AL,,,98.0,15.5,42.0,17.1,,,,,,,,,,,,,42.0,31.5,,
84,CHOCTAW GENERAL HOSPITAL (011304),2019,Critical Access,Voluntary non-profit - Private,25.0,,,AL,,,33.0,15.4,27.0,16.8,,,,,,,,,,,,,27.0,-13.4,,
85,ST VINCENTS BLOUNT (011305),2019,Critical Access,Voluntary non-profit - Private,25.0,33.932537,-86.493059,AL,25.0,20.6,143.0,15.3,97.0,17.0,60.0,19.1,,,,,,,,,25.0,-27.8,97.0,14.9,43.0,15.4
86,PROVIDENCE ALASKA MEDICAL CENTER (020001),2019,Acute Care,Voluntary non-profit - Church,394.0,61.189798,-149.817622,AK,448.0,20.0,3293.0,13.9,416.0,14.9,289.0,19.2,481.0,3.4,465.0,12.6,128.0,10.6,465.0,-6.7,448.0,36.7,416.0,11.9,159.0,16.2
87,MAT-SU REGIONAL MEDICAL CENTER (020006),2019,Acute Care,Voluntary non-profit - Private,90.0,61.561217,-149.258718,AK,119.0,21.6,1088.0,14.5,307.0,16.4,194.0,19.0,189.0,4.5,71.0,15.6,,,71.0,12.8,119.0,19.8,307.0,6.3,319.0,16.0
88,BARTLETT REGIONAL HOSPITAL (020008),2019,Acute Care,Government - Local,58.0,58.328696,-134.466829,AK,61.0,21.2,424.0,14.6,94.0,16.4,47.0,18.5,138.0,3.7,,,,,,,61.0,-0.4,94.0,13.7,183.0,15.2
89,FAIRBANKS MEMORIAL HOSPITAL (020012),2019,Acute Care,Voluntary non-profit - Other,213.0,64.831407,-147.736254,AK,115.0,20.2,825.0,14.5,133.0,15.9,105.0,19.3,175.0,3.5,101.0,14.6,,,101.0,-39.3,115.0,-25.6,133.0,-14.3,344.0,16.0
90,ALASKA REGIONAL HOSPITAL (020017),2019,Acute Care,Proprietary,169.0,61.20979,-149.827379,AK,165.0,19.9,1708.0,14.0,188.0,15.6,112.0,21.2,739.0,3.6,157.0,15.1,64.0,11.2,157.0,13.1,165.0,4.3,188.0,18.0,152.0,14.3
91,YUKON KUSKOKWIM DELTA REG HOSPITAL (020018),2019,Acute Care,Tribal,34.0,,,AK,29.0,21.4,166.0,14.5,135.0,14.6,42.0,19.0,,,,,,,,,29.0,-0.6,135.0,8.2,,
92,CENTRAL PENINSULA GENERAL HOSPITAL (020024),2019,Acute Care,Voluntary non-profit - Other,186.0,60.493865,-151.077658,AK,128.0,23.2,726.0,15.1,165.0,16.4,107.0,20.4,175.0,4.6,,,,,,,128.0,29.3,165.0,17.6,133.0,14.5
93,ALASKA NATIVE MEDICAL CENTER (020026),2019,Acute Care,Government - Federal,163.0,61.18189,-149.800578,AK,138.0,23.4,1241.0,15.5,228.0,15.8,161.0,19.0,116.0,3.8,62.0,14.8,,,62.0,-11.4,138.0,79.0,228.0,20.2,,
94,SITKA COMMUNITY HOSPITAL (021303),2019,Critical Access,Government - Local,26.0,,,AK,,,73.0,15.2,,,,,,,,,,,,,,,,,,
