,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,30-Day HF Readmission Rate (READM-30 HF) (Denominator),30-Day HF Readmission Rate (READM-30 HF),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE) (Denominator),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE),30-Day Pneumonia Readmission Rate (READM-30 PN) (Denominator),30-Day Pneumonia Readmission Rate (READM-30 PN),30-Day Readmission Rate (READM-30 COPD) (Denominator),30-Day Readmission Rate (READM-30 COPD),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE) (Denominator),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE),AMI 30-Day Readmission Rate (READM-30 AMI) (Denominator),AMI 30-Day Readmission Rate (READM-30 AMI),CABG 30-Day Readmission Rate (READM-30 CABG) (Denominator),CABG 30-Day Readmission Rate (READM-30 CABG),ED visit rate for patients receiving outpatient chemo (OP-35 ED) (Denominator),ED visit rate for patients receiving outpatient chemo (OP-35 ED),Hospital return days for AMI patients (EDAC-30 AMI) (Denominator),Hospital return days for AMI patients (EDAC-30 AMI),Hospital return days for AMI patients (EDAC-30 AMI) (Number of Patients),Hospital return days for AMI patients (EDAC-30 AMI) (Number of Patients Returned),Hospital return days for HF patients (EDAC-30 HF) (Denominator),Hospital return days for HF patients (EDAC-30 HF),Hospital return days for HF patients (EDAC-30 HF) (Number of Patients),Hospital return days for HF patients (EDAC-30 HF) (Number of Patients Returned),Hospital return days for PN patients (EDAC-30 PN) (Denominator),Hospital return days for PN patients (EDAC-30 PN),Hospital return days for PN patients (EDAC-30 PN) (Number of Patients),Hospital return days for PN patients (EDAC-30 PN) (Number of Patients Returned),Inpatient admit rate for patients receiving outpatient chemo (OP-35 ADM),Rate of unplanned visits after colonoscopy (per 1K) (OP-32) (Denominator),Rate of unplanned visits after colonoscopy (per 1K) (OP-32),Ratio of unplanned visits after outpatient surgery (OP-36) (Denominator),Ratio of unplanned visits after outpatient surgery (OP-36)
10,DALE MEDICAL CENTER (010021),2023,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,34.0,21.1,151.0,15.1,47.0,17.8,34.0,17.7,,,,,,,,,,,,,34.0,17.0,30.0,14.0,47.0,10.4,44.0,14.0,,169.0,13.5,,
11,CHEROKEE MEDICAL CENTER (010022),2023,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,,,60.0,15.2,25.0,16.3,,,,,,,,,,,,,,,,,,,25.0,-12.4,24.0,4.0,,98.0,14.1,,
12,BAPTIST MEDICAL CENTER SOUTH (010023),2023,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,283.0,19.0,1799.0,15.1,117.0,16.4,68.0,19.2,132.0,4.3,190.0,14.3,46.0,11.1,475.0,4.0,190.0,7.0,180.0,50.0,283.0,21.9,249.0,66.0,117.0,22.3,114.0,30.0,7.6,226.0,16.6,310.0,1.0
13,JACKSON HOSPITAL & CLINIC INC (010024),2023,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,256.0,19.4,1478.0,14.8,195.0,17.1,72.0,19.2,49.0,4.3,117.0,15.1,88.0,11.2,123.0,4.2,117.0,29.1,115.0,32.0,256.0,8.6,217.0,63.0,195.0,37.3,181.0,45.0,7.9,292.0,14.6,548.0,0.8
14,THE EAST ALABAMA HEALTHCARE AUTHORITY (010029),2023,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,331.0,23.2,1863.0,14.4,179.0,16.3,141.0,19.4,409.0,4.1,113.0,13.5,71.0,11.1,139.0,5.8,113.0,43.7,113.0,23.0,331.0,62.1,264.0,98.0,179.0,3.4,167.0,38.0,9.2,1598.0,13.9,668.0,0.9
15,UNIVERSITY OF ALABAMA HOSPITAL (010033),2023,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,595.0,17.9,5553.0,15.5,321.0,18.3,134.0,19.4,53.0,5.0,251.0,15.0,281.0,11.3,752.0,4.3,251.0,8.3,247.0,65.0,595.0,3.6,505.0,138.0,321.0,51.9,300.0,90.0,11.9,1518.0,13.3,1275.0,0.8
16,COMMUNITY HOSPITAL INC (010034),2023,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,,,62.0,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,254.0,15.9,,
17,CULLMAN REGIONAL MEDICAL CENTER (010035),2023,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,328.0,22.3,1424.0,14.1,315.0,17.2,113.0,21.3,45.0,4.2,50.0,13.7,,,,,50.0,10.9,46.0,11.0,328.0,-5.3,272.0,96.0,315.0,-3.3,285.0,79.0,,511.0,14.0,319.0,1.3
18,ANDALUSIA HEALTH (010036),2023,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,154.0,21.0,396.0,14.2,121.0,17.3,65.0,17.4,41.0,4.8,,,,,,,,,,,154.0,25.8,121.0,45.0,121.0,10.1,109.0,33.0,,355.0,16.3,163.0,0.9
19,HUNTSVILLE HOSPITAL (010039),2023,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,1086.0,20.3,7617.0,14.4,1085.0,16.5,396.0,18.4,334.0,5.4,613.0,12.3,243.0,9.1,90.0,5.7,613.0,2.3,603.0,124.0,1086.0,27.3,904.0,297.0,1085.0,21.4,982.0,246.0,10.2,2301.0,15.1,1664.0,0.8
20,GADSDEN REGIONAL MEDICAL CENTER (010040),2023,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,242.0,20.3,1254.0,14.1,225.0,15.6,95.0,18.8,88.0,3.7,151.0,13.8,61.0,10.5,,,151.0,21.0,143.0,32.0,242.0,7.5,209.0,61.0,225.0,19.3,217.0,46.0,,472.0,16.3,383.0,1.0
21,MARION REGIONAL MEDICAL CENTER (010044),2023,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,30.0,19.6,64.0,14.3,44.0,16.5,,,,,,,,,,,,,,,30.0,-27.0,27.0,6.0,44.0,-26.7,43.0,9.0,,64.0,13.8,,
22,FAYETTE MEDICAL CENTER (010045),2023,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,40.0,19.5,162.0,14.0,63.0,17.2,29.0,20.8,,,,,,,,,,,,,40.0,-3.2,38.0,7.0,63.0,-5.2,59.0,12.0,,132.0,15.2,,
23,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2023,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,226.0,22.2,1036.0,15.9,189.0,18.5,95.0,20.3,,,57.0,13.5,,,,,57.0,38.6,57.0,13.0,226.0,25.7,181.0,66.0,189.0,26.9,180.0,54.0,,167.0,12.8,161.0,1.1
24,MEDICAL CENTER ENTERPRISE (010049),2023,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,89.0,20.7,534.0,14.3,129.0,17.8,68.0,21.1,110.0,4.4,,,,,,,,,,,89.0,1.1,77.0,32.0,129.0,4.0,119.0,45.0,,617.0,14.1,118.0,0.9
25,LAKE MARTIN COMMUNITY HOSPITAL (010052),2023,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,,,53.0,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,FLOWERS HOSPITAL (010055),2023,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,300.0,20.5,2036.0,14.0,268.0,16.4,130.0,18.4,160.0,5.0,233.0,14.2,47.0,11.6,,,233.0,18.5,228.0,49.0,300.0,21.5,257.0,88.0,268.0,7.0,247.0,53.0,,492.0,15.9,607.0,1.1
27,ST VINCENT'S BIRMINGHAM (010056),2023,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,356.0,19.4,2431.0,15.0,304.0,16.6,80.0,19.2,290.0,3.2,122.0,14.2,90.0,11.4,,,122.0,5.1,119.0,32.0,356.0,14.6,303.0,85.0,304.0,19.6,283.0,64.0,,1866.0,13.3,1000.0,0.7
28,BIBB MEDICAL CENTER (010058),2023,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,,,32.0,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,LAWRENCE MEDICAL CENTER (010059),2023,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,,,55.0,13.8,40.0,16.5,,,,,,,,,,,,,,,,,,,40.0,9.8,35.0,7.0,,,,,
30,HIGHLANDS MEDICAL CENTER (010061),2023,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,66.0,19.2,369.0,14.1,89.0,16.7,39.0,19.6,,,,,,,,,,,,,66.0,3.4,60.0,12.0,89.0,12.2,85.0,26.0,,278.0,12.8,83.0,1.0
31,WIREGRASS MEDICAL CENTER (010062),2023,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,,,81.0,14.5,31.0,16.2,,,,,,,,,,,,,,,,,,,31.0,-12.2,29.0,7.0,,130.0,14.2,,
32,RUSSELL MEDICAL CENTER (010065),2023,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,84.0,20.4,298.0,13.3,81.0,16.5,32.0,18.9,,,27.0,14.0,,,92.0,5.5,,,,,84.0,-17.3,76.0,31.0,81.0,10.0,76.0,28.0,8.5,473.0,14.0,173.0,0.9
33,MEDICAL CENTER BARBOUR (010069),2023,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,34.0,19.5,148.0,13.9,42.0,16.1,,,,,,,,,,,,,,,34.0,-24.6,31.0,10.0,42.0,14.2,36.0,5.0,,42.0,13.9,,
34,CLAY COUNTY HOSPITAL (010073),2023,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,,,94.0,13.6,26.0,16.7,,,,,,,,,,,,,,,,,,,26.0,-11.2,26.0,5.0,,66.0,14.2,,
35,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER (010078),2023,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,251.0,19.6,1763.0,14.2,212.0,15.7,137.0,16.5,144.0,5.9,166.0,14.1,,,78.0,5.3,166.0,3.8,157.0,46.0,251.0,4.8,209.0,59.0,212.0,-0.5,190.0,42.0,9.3,898.0,15.6,323.0,1.2
36,ATHENS LIMESTONE HOSPITAL (010079),2023,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,136.0,20.7,699.0,14.1,157.0,17.9,68.0,19.3,137.0,3.9,,,,,,,,,,,136.0,-17.9,109.0,44.0,157.0,44.2,148.0,43.0,,438.0,14.9,384.0,1.0
37,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2023,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,240.0,19.5,1252.0,14.4,228.0,16.4,96.0,17.9,108.0,4.2,95.0,14.1,,,,,95.0,-20.6,94.0,27.0,240.0,-33.6,213.0,72.0,228.0,9.5,207.0,55.0,,1134.0,13.9,410.0,0.8
38,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS (010085),2023,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,350.0,19.2,1705.0,14.1,361.0,17.7,138.0,20.4,73.0,5.2,31.0,13.5,,,,,,,,,350.0,-5.9,279.0,84.0,361.0,13.9,326.0,92.0,,37.0,13.7,367.0,1.0
39,NORTHWEST MEDICAL CENTER (010086),2023,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,34.0,20.4,199.0,14.2,70.0,16.1,50.0,18.4,,,,,,,,,,,,,34.0,4.4,30.0,15.0,70.0,-5.7,64.0,20.0,,254.0,13.4,37.0,1.2
40,USA HEALTH UNIVERSITY HOSPITAL (010087),2023,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,36.0,19.6,841.0,14.2,48.0,16.7,,,,,,,,,152.0,4.5,,,,,36.0,5.5,32.0,10.0,48.0,67.0,48.0,10.0,10.7,248.0,15.3,201.0,0.9
41,WALKER BAPTIST MEDICAL CENTER (010089),2023,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,135.0,21.0,667.0,14.9,131.0,16.6,91.0,20.5,,,,,,,,,,,,,135.0,38.3,119.0,39.0,131.0,29.5,124.0,27.0,,519.0,13.4,223.0,1.1
42,PROVIDENCE HOSPITAL (010090),2023,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,291.0,20.8,1584.0,14.4,249.0,17.7,95.0,18.8,138.0,3.9,133.0,13.5,82.0,11.4,,,133.0,-15.3,128.0,36.0,291.0,26.0,257.0,84.0,249.0,25.0,236.0,76.0,,956.0,12.1,371.0,1.0
43,GROVE HILL MEMORIAL HOSPITAL (010091),2023,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,,,28.0,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,15.3,,
44,DCH REGIONAL MEDICAL CENTER (010092),2023,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,646.0,19.8,2801.0,14.0,544.0,18.8,297.0,20.4,99.0,4.2,159.0,13.8,44.0,12.1,236.0,5.3,159.0,10.8,158.0,35.0,646.0,22.9,527.0,158.0,544.0,43.9,498.0,148.0,10.0,353.0,14.2,513.0,0.6
45,HALE COUNTY HOSPITAL (010095),2023,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,,,59.0,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,ELMORE COMMUNITY HOSPITAL (010097),2023,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,,,86.0,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,14.4,,
47,D W MCMILLAN MEMORIAL HOSPITAL (010099),2023,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,32.0,19.6,183.0,14.2,38.0,16.4,,,,,,,,,40.0,5.5,,,,,32.0,8.1,32.0,6.0,38.0,-26.0,36.0,9.0,11.1,188.0,16.3,,
48,THOMAS HOSPITAL (010100),2023,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,269.0,21.9,2007.0,14.6,259.0,17.1,61.0,18.7,186.0,3.3,116.0,14.4,150.0,11.7,,,116.0,4.9,113.0,24.0,269.0,11.6,231.0,71.0,259.0,3.8,248.0,56.0,,1208.0,12.7,653.0,0.8
49,CITIZENS BAPTIST MEDICAL CENTER (010101),2023,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,54.0,21.9,181.0,15.3,53.0,18.1,,,,,,,,,,,,,,,54.0,14.5,42.0,18.0,53.0,61.6,47.0,14.0,,95.0,14.0,,
50,PRINCETON BAPTIST MEDICAL CENTER (010103),2023,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,170.0,19.1,1118.0,14.3,89.0,17.0,72.0,19.8,68.0,4.4,100.0,14.0,51.0,11.1,,,100.0,11.0,99.0,31.0,170.0,3.0,148.0,43.0,89.0,26.0,81.0,22.0,,404.0,12.8,226.0,1.0
51,GRANDVIEW MEDICAL CENTER (010104),2023,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,450.0,20.0,3510.0,15.1,262.0,16.5,132.0,20.0,368.0,4.4,171.0,14.2,94.0,13.3,47.0,4.6,171.0,7.9,167.0,52.0,450.0,22.9,398.0,126.0,262.0,2.8,242.0,64.0,8.0,471.0,14.5,1035.0,1.3
52,PRATTVILLE BAPTIST HOSPITAL (010108),2023,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,107.0,20.6,473.0,14.9,119.0,15.8,86.0,17.6,,,,,,,,,,,,,107.0,41.6,92.0,30.0,119.0,-4.1,113.0,20.0,,260.0,14.7,,
53,WHITFIELD REGIONAL HOSPITAL (010112),2023,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,58.0,20.3,191.0,14.5,47.0,16.0,,,,,,,,,,,,,,,58.0,22.7,51.0,15.0,47.0,20.2,44.0,9.0,,145.0,13.2,,
54,MOBILE INFIRMARY MEDICAL CENTER (010113),2023,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,363.0,18.7,2877.0,14.0,340.0,16.4,141.0,19.1,196.0,3.9,151.0,15.0,58.0,12.3,89.0,4.6,151.0,17.3,148.0,45.0,363.0,-15.3,310.0,94.0,340.0,7.1,323.0,78.0,10.4,1272.0,13.5,472.0,0.9
55,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2023,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,93.0,18.4,569.0,13.4,118.0,17.3,57.0,18.7,,,,,,,,,,,,,93.0,-7.5,79.0,19.0,118.0,21.2,111.0,30.0,,512.0,14.7,83.0,1.0
56,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2023,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,82.0,19.3,340.0,14.6,95.0,17.5,52.0,18.0,,,,,,,,,,,,,82.0,-21.7,69.0,26.0,95.0,80.8,81.0,25.0,,199.0,15.7,,
57,MONROE COUNTY HOSPITAL (010120),2023,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,,,136.0,14.9,33.0,17.2,,,,,,,,,,,,,,,,,,,33.0,4.9,32.0,10.0,,178.0,16.6,,
58,LAKELAND COMMUNITY HOSPITAL (010125),2023,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,30.0,20.8,218.0,13.6,310.0,15.2,57.0,17.5,,,,,,,,,,,,,30.0,23.2,28.0,10.0,310.0,5.4,225.0,58.0,,,,,
59,TROY REGIONAL MEDICAL CENTER (010126),2023,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,30.0,21.3,117.0,14.7,34.0,16.7,,,,,,,,,,,,,,,30.0,10.8,29.0,12.0,34.0,-19.0,32.0,13.0,,322.0,14.6,,
60,JACKSON MEDICAL CENTER (010128),2023,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,25.0,21.0,77.0,15.0,28.0,17.3,,,,,,,,,,,,,,,25.0,37.8,22.0,11.0,28.0,2.0,25.0,7.0,,,,,
61,NORTH BALDWIN INFIRMARY (010129),2023,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,28.0,19.8,201.0,15.7,33.0,17.7,,,,,,,,,49.0,5.3,,,,,28.0,-18.2,26.0,7.0,33.0,3.7,30.0,14.0,10.2,80.0,14.1,,
62,ST VINCENT'S ST CLAIR (010130),2023,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,54.0,20.6,309.0,15.3,117.0,16.1,27.0,19.8,,,,,,,,,,,,,54.0,53.7,49.0,15.0,117.0,21.8,107.0,22.0,,330.0,13.4,,
63,CRESTWOOD MEDICAL CENTER (010131),2023,Acute Care,Proprietary,163.0,,,AL,233.0,21.2,1645.0,14.3,297.0,17.2,94.0,18.7,172.0,3.7,112.0,15.3,,,,,112.0,22.5,110.0,32.0,233.0,31.2,197.0,66.0,297.0,16.2,277.0,71.0,,1941.0,12.4,976.0,0.8
64,BROOKWOOD BAPTIST MEDICAL CENTER (010139),2023,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,131.0,20.5,1087.0,14.3,152.0,17.4,42.0,19.3,40.0,4.6,76.0,14.2,35.0,11.2,,,76.0,40.9,75.0,17.0,131.0,25.7,122.0,41.0,152.0,81.9,143.0,29.0,,232.0,13.6,370.0,1.1
65,SPRINGHILL MEDICAL CENTER (010144),2023,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,243.0,19.5,1132.0,14.7,170.0,17.7,84.0,20.8,104.0,4.5,57.0,15.2,34.0,11.6,,,57.0,60.2,57.0,17.0,243.0,38.4,199.0,62.0,170.0,51.3,160.0,43.0,,190.0,13.4,309.0,0.8
66,EVERGREEN MEDICAL CENTER (010148),2023,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,57.0,21.2,219.0,14.6,88.0,16.3,78.0,18.7,,,,,,,,,,,,,57.0,18.3,46.0,18.0,88.0,-18.0,71.0,17.0,,77.0,14.7,,
67,BAPTIST MEDICAL CENTER EAST (010149),2023,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,193.0,21.2,964.0,14.2,148.0,17.3,60.0,18.4,,,,,,,,,,,,,193.0,29.5,166.0,48.0,148.0,37.5,141.0,43.0,,1875.0,12.5,98.0,0.9
68,BIRMINGHAM VA MEDICAL CENTER (01014F),2023,Acute Care (VA),Government - Federal,,,,,543.0,20.7,2630.0,17.9,238.0,16.2,183.0,20.7,89.0,4.6,57.0,13.7,,,,,57.0,-26.8,51.0,17.0,543.0,-0.7,420.0,141.0,238.0,-14.9,220.0,65.0,,,,,
69,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL (010150),2023,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,26.0,20.4,107.0,14.0,,,,,,,,,,,,,,,,,26.0,2.6,21.0,9.0,,,,,,119.0,13.9,,
70,NORTH ALABAMA SHOALS HOSPITAL (010157),2023,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,,,48.0,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,14.5,,
71,RUSSELLVILLE HOSPITAL (010158),2023,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,,,192.0,15.1,64.0,17.6,49.0,19.7,31.0,4.8,,,,,,,,,,,,,,,64.0,23.6,60.0,20.0,,101.0,14.3,40.0,0.9
72,COOSA VALLEY MEDICAL CENTER (010164),2023,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,75.0,20.6,344.0,15.0,71.0,16.7,40.0,18.9,,,,,,,47.0,5.2,,,,,75.0,19.6,68.0,20.0,71.0,-8.3,66.0,17.0,11.9,312.0,16.6,52.0,1.0
73,JACK HUGHSTON MEMORIAL HOSPITAL (010168),2023,Acute Care,Government - State,52.0,32.509045,-85.005696,AL,,,569.0,13.7,,,,,608.0,3.9,,,,,,,,,,,,,,,,,,,,119.0,14.0,205.0,1.0
74,ATMORE COMMUNITY HOSPITAL (010169),2023,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,44.0,20.7,106.0,14.3,30.0,17.0,,,,,,,,,,,,,,,44.0,-24.8,39.0,19.0,30.0,3.9,29.0,6.0,,89.0,13.5,,
