,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,30-Day HF Readmission Rate (READM-30 HF) (Denominator),30-Day HF Readmission Rate (READM-30 HF),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE) (Denominator),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE),30-Day Readmission Rate (READM-30 COPD) (Denominator),30-Day Readmission Rate (READM-30 COPD),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE) (Denominator),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE),AMI 30-Day Readmission Rate (READM-30 AMI) (Denominator),AMI 30-Day Readmission Rate (READM-30 AMI),CABG 30-Day Readmission Rate (READM-30 CABG) (Denominator),CABG 30-Day Readmission Rate (READM-30 CABG),ED visit rate for patients receiving outpatient chemo (OP-35 ED) (Denominator),ED visit rate for patients receiving outpatient chemo (OP-35 ED),Hospital return days for AMI patients (EDAC-30 AMI) (Denominator),Hospital return days for AMI patients (EDAC-30 AMI),Hospital return days for AMI patients (EDAC-30 AMI) (Number of Patients),Hospital return days for AMI patients (EDAC-30 AMI) (Number of Patients Returned),Hospital return days for HF patients (EDAC-30 HF) (Denominator),Hospital return days for HF patients (EDAC-30 HF),Hospital return days for HF patients (EDAC-30 HF) (Number of Patients),Hospital return days for HF patients (EDAC-30 HF) (Number of Patients Returned),Hospital return days for PN patients (EDAC-30 PN) (Denominator),Hospital return days for PN patients (EDAC-30 PN),Hospital return days for PN patients (EDAC-30 PN) (Number of Patients),Hospital return days for PN patients (EDAC-30 PN) (Number of Patients Returned),Inpatient admit rate for patients receiving outpatient chemo (OP-35 ADM),Rate of unplanned visits after colonoscopy (per 1K) (OP-32) (Denominator),Rate of unplanned visits after colonoscopy (per 1K) (OP-32),Ratio of unplanned visits after outpatient surgery (OP-36) (Denominator),Ratio of unplanned visits after outpatient surgery (OP-36)
10,DALE MEDICAL CENTER (010021),2022,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,41.0,20.9,133.0,14.7,45.0,19.0,,,,,,,,,,,,,41.0,-0.2,38.0,11.0,49.0,23.7,46.0,16.0,,220.0,14.6,,
11,CHEROKEE MEDICAL CENTER (010022),2022,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,,,47.0,14.3,38.0,19.5,,,,,,,,,,,,,,,,,30.0,38.2,28.0,6.0,,119.0,16.1,,
12,BAPTIST MEDICAL CENTER SOUTH (010023),2022,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,363.0,19.3,1986.0,14.8,122.0,19.6,278.0,4.0,216.0,16.9,47.0,11.4,410.0,4.0,216.0,23.9,205.0,66.0,363.0,0.4,303.0,79.0,144.0,-1.4,141.0,42.0,6.4,265.0,18.7,189.0,1.0
13,JACKSON HOSPITAL & CLINIC INC (010024),2022,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,337.0,21.2,1543.0,14.3,139.0,19.3,130.0,4.1,160.0,15.7,108.0,13.1,74.0,3.6,160.0,29.6,158.0,45.0,337.0,3.3,276.0,91.0,271.0,13.9,252.0,66.0,7.7,261.0,16.4,286.0,1.0
14,THE EAST ALABAMA HEALTHCARE AUTHORITY (010029),2022,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,430.0,22.9,2018.0,15.0,245.0,20.8,474.0,3.9,142.0,14.7,75.0,11.2,109.0,4.4,142.0,10.0,141.0,34.0,430.0,48.4,344.0,119.0,266.0,43.0,246.0,53.0,6.8,1895.0,16.9,400.0,1.0
15,UNIVERSITY OF ALABAMA HOSPITAL (010033),2022,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,675.0,21.4,5664.0,16.4,140.0,20.0,91.0,5.4,277.0,15.9,303.0,11.2,583.0,4.7,277.0,9.4,273.0,70.0,675.0,12.7,558.0,199.0,366.0,46.8,339.0,105.0,8.0,1384.0,15.9,575.0,0.7
16,COMMUNITY HOSPITAL INC (010034),2022,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,28.0,21.4,70.0,14.9,28.0,19.3,,,,,,,,,,,,,28.0,28.1,28.0,6.0,,,,,,323.0,18.7,,
17,CULLMAN REGIONAL MEDICAL CENTER (010035),2022,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,414.0,23.3,1491.0,15.7,167.0,20.5,69.0,4.2,71.0,14.0,,,,,71.0,-29.8,68.0,16.0,414.0,10.6,334.0,121.0,353.0,27.3,314.0,107.0,,586.0,15.6,176.0,0.9
18,ANDALUSIA HEALTH (010036),2022,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,229.0,21.3,507.0,14.8,119.0,18.9,52.0,4.4,,,,,,,,,,,229.0,3.0,166.0,58.0,160.0,3.4,143.0,44.0,,406.0,15.2,102.0,1.2
19,STRINGFELLOW CAMPUS OF NORTHEAST RMC (010038),2022,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,67.0,20.2,394.0,14.9,100.0,19.1,64.0,4.8,,,,,,,,,,,67.0,-11.7,56.0,12.0,70.0,-26.3,65.0,17.0,,432.0,15.5,80.0,1.0
20,HUNTSVILLE HOSPITAL (010039),2022,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,1242.0,20.7,7973.0,15.0,565.0,19.8,776.0,5.0,770.0,14.5,289.0,10.2,44.0,4.1,770.0,19.2,758.0,185.0,1242.0,22.1,1044.0,350.0,1296.0,31.6,1175.0,309.0,8.0,2351.0,17.2,840.0,0.9
21,GADSDEN REGIONAL MEDICAL CENTER (010040),2022,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,285.0,22.1,1355.0,14.8,166.0,20.2,199.0,3.3,185.0,15.6,74.0,11.0,,,185.0,25.9,172.0,51.0,285.0,13.0,233.0,87.0,322.0,21.0,303.0,76.0,,598.0,16.6,213.0,0.9
22,MARION REGIONAL MEDICAL CENTER (010044),2022,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,42.0,20.2,79.0,14.3,41.0,18.8,,,,,,,,,,,,,42.0,-24.7,38.0,6.0,64.0,0.0,59.0,15.0,,31.0,15.6,,
23,FAYETTE MEDICAL CENTER (010045),2022,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,33.0,20.7,157.0,15.0,42.0,20.3,,,,,,,,,,,,,33.0,14.2,30.0,6.0,76.0,10.9,70.0,14.0,,195.0,16.3,,
24,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2022,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,227.0,20.8,1078.0,16.6,140.0,18.5,54.0,3.9,52.0,15.9,,,,,52.0,24.3,52.0,18.0,227.0,-12.1,187.0,64.0,208.0,22.3,192.0,60.0,,181.0,14.0,89.0,1.1
25,MEDICAL CENTER ENTERPRISE (010049),2022,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,78.0,22.3,575.0,15.0,86.0,19.1,155.0,4.2,,,,,,,,,,,78.0,26.9,70.0,29.0,151.0,2.6,137.0,54.0,,724.0,15.9,42.0,1.0
26,LAKE MARTIN COMMUNITY HOSPITAL (010052),2022,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,,,49.0,15.3,,,,,,,,,,,,,,,,,,,34.0,-12.4,33.0,9.0,,,,,
27,FLOWERS HOSPITAL (010055),2022,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,388.0,20.5,2104.0,13.7,181.0,18.6,329.0,4.2,264.0,15.3,40.0,13.8,,,264.0,8.5,254.0,67.0,388.0,18.0,335.0,112.0,347.0,15.7,322.0,85.0,,633.0,17.9,350.0,1.1
28,ST VINCENT'S BIRMINGHAM (010056),2022,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,392.0,21.3,2607.0,15.4,145.0,20.0,754.0,2.8,166.0,15.3,73.0,12.9,,,166.0,17.6,160.0,46.0,392.0,26.9,335.0,106.0,365.0,37.2,332.0,89.0,,2106.0,15.6,556.0,0.8
29,BIBB MEDICAL CENTER (010058),2022,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,,,44.0,14.4,,,,,,,,,,,,,,,,,,,32.0,-32.6,30.0,7.0,,,,,
30,LAWRENCE MEDICAL CENTER (010059),2022,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,,,61.0,14.3,31.0,20.1,,,,,,,,,,,,,,,,,59.0,58.7,51.0,15.0,,,,,
31,HIGHLANDS MEDICAL CENTER (010061),2022,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,53.0,20.1,329.0,14.3,89.0,19.7,27.0,4.5,,,,,,,,,,,53.0,7.5,47.0,9.0,88.0,7.6,86.0,25.0,,304.0,14.1,48.0,1.0
32,WIREGRASS MEDICAL CENTER (010062),2022,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,41.0,20.2,111.0,14.6,43.0,18.9,,,,,,,,,,,,,41.0,-30.3,36.0,14.0,52.0,29.1,50.0,13.0,,132.0,15.2,,
33,RUSSELL MEDICAL CENTER (010065),2022,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,123.0,20.3,363.0,14.1,61.0,19.3,,,30.0,14.9,,,72.0,3.5,30.0,-12.0,30.0,10.0,123.0,-31.7,106.0,42.0,103.0,22.4,95.0,38.0,6.7,549.0,15.6,99.0,1.0
34,MEDICAL CENTER BARBOUR (010069),2022,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,54.0,21.2,156.0,14.9,,,,,,,,,,,,,,,54.0,-6.6,48.0,18.0,44.0,6.2,42.0,10.0,,52.0,16.7,,
35,CLAY COUNTY HOSPITAL (010073),2022,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,26.0,20.2,107.0,14.6,32.0,19.5,,,,,,,,,,,,,26.0,-32.5,24.0,5.0,33.0,-7.9,33.0,5.0,,61.0,15.4,,
36,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER (010078),2022,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,302.0,20.2,1467.0,14.4,239.0,19.1,206.0,4.7,193.0,13.6,,,52.0,3.7,193.0,-23.0,182.0,51.0,302.0,-1.0,266.0,81.0,272.0,-7.4,246.0,65.0,7.2,913.0,15.3,168.0,0.9
37,ATHENS LIMESTONE HOSPITAL (010079),2022,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,146.0,22.5,786.0,15.1,87.0,19.3,155.0,3.8,,,,,,,,,,,146.0,-27.9,118.0,45.0,174.0,5.4,159.0,49.0,,464.0,16.3,194.0,0.9
38,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2022,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,259.0,20.6,1326.0,14.8,158.0,18.9,178.0,4.1,90.0,15.0,,,,,90.0,-4.6,87.0,23.0,259.0,-17.4,228.0,77.0,270.0,46.6,248.0,78.0,,1111.0,17.0,149.0,1.2
39,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS (010085),2022,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,389.0,20.8,1687.0,15.6,210.0,19.8,94.0,4.8,33.0,15.7,,,,,33.0,9.1,33.0,15.0,389.0,-1.0,318.0,103.0,448.0,21.3,400.0,115.0,,63.0,16.6,175.0,1.0
40,NORTHWEST MEDICAL CENTER (010086),2022,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,40.0,20.3,230.0,14.8,86.0,18.6,,,,,,,,,,,,,40.0,-3.1,37.0,16.0,67.0,-7.4,58.0,20.0,,249.0,15.6,,
41,USA HEALTH UNIVERSITY HOSPITAL (010087),2022,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,31.0,20.6,709.0,15.6,,,,,,,,,123.0,3.2,,,,,31.0,-17.1,29.0,7.0,38.0,71.5,37.0,5.0,7.8,227.0,17.1,104.0,0.9
42,WALKER BAPTIST MEDICAL CENTER (010089),2022,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,139.0,22.5,708.0,15.2,119.0,21.3,37.0,3.9,,,,,,,,,,,139.0,28.9,113.0,43.0,168.0,39.8,151.0,38.0,,561.0,15.1,88.0,0.9
43,PROVIDENCE HOSPITAL (010090),2022,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,373.0,20.6,1888.0,14.9,132.0,19.8,228.0,3.5,178.0,14.6,85.0,12.5,,,178.0,21.1,171.0,42.0,373.0,35.4,323.0,102.0,340.0,24.7,316.0,89.0,,1079.0,13.0,210.0,0.9
44,GROVE HILL MEMORIAL HOSPITAL (010091),2022,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,,,33.0,15.3,,,,,,,,,,,,,,,,,,,32.0,-6.0,29.0,5.0,,226.0,16.1,,
45,DCH REGIONAL MEDICAL CENTER (010092),2022,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,763.0,21.2,3722.0,15.9,470.0,19.7,313.0,4.3,241.0,13.6,58.0,12.7,195.0,3.2,241.0,8.7,237.0,56.0,763.0,20.4,610.0,211.0,716.0,42.6,651.0,197.0,7.9,310.0,16.7,303.0,0.7
46,HALE COUNTY HOSPITAL (010095),2022,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,,,52.0,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,ELMORE COMMUNITY HOSPITAL (010097),2022,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,,,78.0,15.1,,,,,,,,,,,,,,,,,,,,,,,,40.0,16.7,,
48,D W MCMILLAN MEMORIAL HOSPITAL (010099),2022,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,57.0,20.9,189.0,14.2,54.0,19.1,,,,,,,28.0,4.6,,,,,57.0,18.4,51.0,10.0,71.0,-19.0,69.0,17.0,7.4,213.0,17.4,,
49,THOMAS HOSPITAL (010100),2022,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,276.0,22.0,2002.0,15.8,78.0,18.8,291.0,3.5,159.0,16.3,150.0,13.0,,,159.0,-0.5,157.0,45.0,276.0,5.5,242.0,86.0,283.0,5.5,268.0,59.0,,1244.0,14.5,286.0,1.0
50,CITIZENS BAPTIST MEDICAL CENTER (010101),2022,Acute Care,Voluntary non-profit - Private,98.0,33.439801,-86.090641,AL,62.0,23.4,248.0,15.4,35.0,19.1,,,,,,,,,,,,,62.0,16.9,51.0,21.0,69.0,25.7,64.0,19.0,,124.0,14.7,,
51,PRINCETON BAPTIST MEDICAL CENTER (010103),2022,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,232.0,22.0,1254.0,14.5,93.0,20.6,86.0,3.9,139.0,14.2,75.0,11.9,,,139.0,1.0,139.0,37.0,232.0,27.2,200.0,73.0,152.0,11.3,139.0,38.0,,535.0,16.5,130.0,1.2
52,GRANDVIEW MEDICAL CENTER (010104),2022,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,478.0,21.5,3660.0,15.6,171.0,20.2,432.0,4.4,215.0,15.3,93.0,13.2,,,215.0,4.1,208.0,64.0,478.0,12.0,409.0,139.0,351.0,9.5,324.0,83.0,,659.0,16.1,556.0,1.0
53,PRATTVILLE BAPTIST HOSPITAL (010108),2022,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,134.0,20.7,393.0,14.5,127.0,17.7,,,,,,,,,,,,,134.0,25.3,108.0,35.0,151.0,15.8,139.0,32.0,,293.0,14.9,,
54,WHITFIELD REGIONAL HOSPITAL (010112),2022,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,54.0,20.8,182.0,15.2,28.0,20.2,,,,,,,31.0,3.7,,,,,54.0,23.2,48.0,13.0,49.0,56.3,49.0,9.0,7.8,173.0,15.1,,
55,MOBILE INFIRMARY MEDICAL CENTER (010113),2022,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,468.0,21.2,3171.0,15.5,222.0,18.7,315.0,3.8,185.0,16.9,72.0,14.8,63.0,4.2,185.0,16.0,183.0,61.0,468.0,21.7,392.0,135.0,448.0,41.7,414.0,122.0,7.5,1301.0,14.4,262.0,1.1
56,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2022,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,100.0,21.0,590.0,15.7,90.0,20.8,,,,,,,,,,,,,100.0,47.4,85.0,34.0,143.0,12.5,133.0,36.0,,551.0,15.9,54.0,1.1
57,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2022,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,117.0,21.2,439.0,14.6,75.0,19.7,,,,,,,,,,,,,117.0,-1.4,88.0,37.0,118.0,62.8,108.0,30.0,,243.0,17.8,,
58,MONROE COUNTY HOSPITAL (010120),2022,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,34.0,20.4,110.0,15.0,,,,,,,,,,,,,,,34.0,-18.2,31.0,7.0,51.0,-2.9,47.0,12.0,,236.0,18.2,,
59,LAKELAND COMMUNITY HOSPITAL (010125),2022,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,36.0,21.3,257.0,14.3,143.0,17.4,,,,,,,,,,,,,36.0,28.6,33.0,10.0,385.0,8.5,267.0,71.0,,,,,
60,TROY REGIONAL MEDICAL CENTER (010126),2022,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,44.0,21.6,149.0,15.0,43.0,20.1,,,,,,,,,,,,,44.0,-5.9,38.0,15.0,50.0,2.8,48.0,17.0,,329.0,16.6,,
61,JACKSON MEDICAL CENTER (010128),2022,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,26.0,21.9,88.0,14.9,,,,,,,,,,,,,,,26.0,28.4,25.0,13.0,39.0,-15.6,35.0,13.0,,,,,
62,NORTH BALDWIN INFIRMARY (010129),2022,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,31.0,20.5,197.0,15.8,,,,,,,,,28.0,4.0,,,,,31.0,-28.8,28.0,9.0,51.0,10.4,45.0,18.0,7.9,103.0,16.0,,
63,ST VINCENT'S ST CLAIR (010130),2022,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,54.0,21.1,286.0,14.4,54.0,20.6,,,,,,,,,,,,,54.0,28.8,51.0,13.0,143.0,15.1,128.0,27.0,,340.0,15.0,,
64,CRESTWOOD MEDICAL CENTER (010131),2022,Acute Care,Proprietary,163.0,,,AL,242.0,19.5,1843.0,14.7,176.0,19.0,427.0,3.8,130.0,14.9,,,,,130.0,15.1,128.0,36.0,242.0,14.4,205.0,53.0,337.0,4.7,314.0,84.0,,1885.0,14.6,528.0,0.9
65,BROOKWOOD BAPTIST MEDICAL CENTER (010139),2022,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,168.0,21.7,1339.0,14.4,92.0,19.5,102.0,4.9,110.0,15.8,62.0,13.6,,,110.0,42.7,109.0,25.0,168.0,24.4,152.0,55.0,178.0,44.2,168.0,44.0,,274.0,16.7,237.0,0.9
66,SPRINGHILL MEDICAL CENTER (010144),2022,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,304.0,21.7,1266.0,15.1,122.0,21.1,159.0,4.4,72.0,16.3,42.0,13.4,,,72.0,62.3,69.0,23.0,304.0,32.7,242.0,84.0,224.0,25.1,210.0,60.0,,209.0,14.6,146.0,0.8
67,EVERGREEN MEDICAL CENTER (010148),2022,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,62.0,23.1,300.0,15.8,120.0,19.6,,,,,,,,,,,,,62.0,31.3,51.0,24.0,110.0,-5.6,90.0,30.0,,88.0,16.8,,
68,BAPTIST MEDICAL CENTER EAST (010149),2022,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,192.0,20.5,936.0,15.1,95.0,18.7,,,,,,,,,,,,,192.0,8.7,162.0,46.0,184.0,32.7,172.0,43.0,,1996.0,14.2,50.0,0.9
69,BIRMINGHAM VA MEDICAL CENTER (01014F),2022,Acute Care (VA),Government - Federal,,,,,597.0,21.5,2533.0,15.4,223.0,22.6,101.0,4.5,79.0,15.6,,,,,79.0,11.1,75.0,22.0,597.0,-3.1,444.0,164.0,288.0,1.0,259.0,68.0,,,,,
70,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL (010150),2022,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,31.0,22.1,158.0,15.4,38.0,19.7,,,,,,,,,,,,,31.0,25.7,28.0,12.0,30.0,7.4,29.0,10.0,,158.0,16.2,,
71,SHOALS HOSPITAL (010157),2022,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,,,58.0,14.6,,,,,,,,,,,,,,,,,,,29.0,-15.2,28.0,10.0,,191.0,18.2,,
72,RUSSELLVILLE HOSPITAL (010158),2022,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,36.0,21.1,218.0,15.4,82.0,21.8,27.0,4.0,,,,,,,,,,,36.0,-7.0,31.0,10.0,99.0,10.0,90.0,28.0,,115.0,17.0,48.0,1.0
73,COOSA VALLEY MEDICAL CENTER (010164),2022,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,84.0,21.7,354.0,14.9,49.0,19.9,28.0,4.5,,,,,46.0,4.1,,,,,84.0,21.2,76.0,26.0,106.0,-15.6,101.0,25.0,6.8,355.0,18.0,,
74,JACK HUGHSTON MEMORIAL HOSPITAL (010168),2022,Acute Care,Government - State,52.0,32.509045,-85.005696,AL,,,741.0,13.7,25.0,19.3,919.0,3.5,,,,,,,,,,,,,,,,,,,,137.0,16.1,121.0,0.9
75,ATMORE COMMUNITY HOSPITAL (010169),2022,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,56.0,22.0,126.0,15.7,31.0,19.4,,,,,,,,,,,,,56.0,-26.2,53.0,25.0,46.0,27.8,42.0,14.0,,130.0,16.2,,
76,ST VINCENT'S CHILTON (010173),2022,Acute Care,Voluntary non-profit - Church,26.0,32.876585,-86.623511,AL,,,76.0,14.8,,,,,,,,,,,,,,,,,,,30.0,-1.0,29.0,9.0,,149.0,16.0,,
77,THOMASVILLE REGIONAL MEDICAL CENTER (010174),2022,Acute Care,Voluntary non-profit - Private,29.0,,,AL,,,50.0,15.2,,,,,,,,,,,,,,,,,,,,,,,,37.0,16.7,,
